entity,start_date,end_date,context,AARSRAPPORT_html,AARSRAPPORT_pdf,AARSRAPPORT_xml,AccountingPoliciesAreUnchangedFromPreviousPeriod,AddressOfReportingEntityDistrictName,AddressOfReportingEntityPostCodeIdentifier,AddressOfReportingEntityStreetBuildingIdentifier,AddressOfReportingEntityStreetName,AddressOfSubmittingEnterprisePostcodeAndTown,AddressOfSubmittingEnterpriseStreetAndNumber,ClassOfReportingEntity,DateOfApprovalOfAnnualReport,DateOfGeneralMeeting,DisclosureOfMortgagesAndCollaterals,ExternalExpenses,GrossResult,IdentificationNumberCvrOfReportingEntity,IncomeFromOtherLongtermInvestmentsAndReceivables,InformationOnReportingClassOfEntity,InformationOnTypeOfSubmittedReport,NameAndSurnameOfChairmanOfGeneralMeeting,NameAndSurnameOfMemberOfExecutiveBoard,NameOfReportingEntity,NameOfSubmittingEnterprise,OtherFinanceExpenses,PlaceOfSignatureOfStatement,PrecedingReportingPeriodStartDate,PredingReportingPeriodEndDate,ProfitLoss,ProfitLossFromOrdinaryActivitiesBeforeTax,ProfitLossFromOrdinaryOperatingActivities,ReportingPeriodEndDate,ReportingPeriodStartDate,SelectedElementsFromReportingClassC,SelectedElementsFromReportingClassD,StatementOnOptingOutOfAuditingFinancialStatementsInNextReportingPeriodDueToExemption,TaxExpense,TheCompanyHasPresentedTheAnnualReportEtcWithReferenceToTheDanishFinancialStatementsAct78aConcerningTheExceptionForReportingClassCMediumsizeSubsidiariesWhichChoosesToPresentTheAnnualReportEtcAccordingToReportingClassB,TheReportingEntityAppliesTheExceptionConcerningOptingOutOfTheStatementByManagementEtc,TypeOfAuditorAssistance,_id,_index,_score,cvrNummer,indlaesningsId,indlaesningsTidspunkt,offentliggoerelsesTidspunkt,offentliggoerelsestype,omgoerelse,regNummer,regnskabsperiode_slutDato,regnskabsperiode_startDato,sagsNummer,sidstOpdateret,Assets,ContributedCapital,CurrentAssets,Equity,LiabilitiesAndEquity,LongtermInvestmentsAndReceivables,LongtermInvestmentsInGroupEnterprises,NoncurrentAssets,OtherShorttermReceivables,RetainedEarnings,ShorttermReceivables,ShorttermReceivablesFromGroupEnterprises,NameAndSurnameOfMemberOfSupervisoryBoard
28115393,2014-10-01,2015-09-30,c5,http://regnskaber.virk.dk/39351182/ZG9rdW1lbnRsYWdlcjovLzAzLzdlL2ZiLzcyLzY4LzEzN2QtNGE5Ni05Y2VmLTRkN2M5NmZmNWU0Yg.xhtml,http://regnskaber.virk.dk/39351182/ZG9rdW1lbnRsYWdlcjovLzAzL2E4LzYyLzgxL2NjL2ZhZTktNGQyYi04NTRhLTU3ODgzNjM5MzM3ZQ.pdf,http://regnskaber.virk.dk/39351182/ZG9rdW1lbnRsYWdlcjovLzAzLzc0L2IyL2U0LzBjL2ZmMzItNDVmZi05YjBhLTA2NjhlMjRmNjJjOQ.xml,true,Hammel,8450.0,33.0,Solbakken,8450 Hammel,Solbakken 33,Regnskabsklasse B,2016-05-22,2016-05-22,"<p xmlns=""http://www.w3.org/1999/xhtml"">Ingen</p>",0.0,0.0,28115393.0,-4786.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Nina Munk,SÃ¸ren Munk,EACP A/S,Erik Munk,2055.0,Hammel,2014-10-01,2015-09-30,-6000.0,-6841.0,0.0,2015-12-31,2015-10-01,false,false,Revision er fravalgt for det kommende regnskabsÃ¥r.,-841.0,false,false,Ingen bistand,urn:ofk:oid:22472611,indberetninger-20180424,2.59278,28115393.0,,2018-03-29T06:10:55.837Z,2016-05-27T21:34:42.940Z,regnskab,0.0,,2015-12-31,2015-10-01,X16-AU-51-JJ,2016-05-27T21:34:43.153Z,,,,,,,,,,,,,
28115393,2014-10-01,2015-09-30,c7,http://regnskaber.virk.dk/39351182/ZG9rdW1lbnRsYWdlcjovLzAzLzdlL2ZiLzcyLzY4LzEzN2QtNGE5Ni05Y2VmLTRkN2M5NmZmNWU0Yg.xhtml,http://regnskaber.virk.dk/39351182/ZG9rdW1lbnRsYWdlcjovLzAzL2E4LzYyLzgxL2NjL2ZhZTktNGQyYi04NTRhLTU3ODgzNjM5MzM3ZQ.pdf,http://regnskaber.virk.dk/39351182/ZG9rdW1lbnRsYWdlcjovLzAzLzc0L2IyL2U0LzBjL2ZmMzItNDVmZi05YjBhLTA2NjhlMjRmNjJjOQ.xml,true,Hammel,8450.0,33.0,Solbakken,8450 Hammel,Solbakken 33,Regnskabsklasse B,2016-05-22,2016-05-22,"<p xmlns=""http://www.w3.org/1999/xhtml"">Ingen</p>",,,28115393.0,,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Nina Munk,SÃ¸ren Munk,EACP A/S,Erik Munk,,Hammel,2014-10-01,2015-09-30,-6000.0,,,2015-12-31,2015-10-01,false,false,Revision er fravalgt for det kommende regnskabsÃ¥r.,,false,false,Ingen bistand,urn:ofk:oid:22472611,indberetninger-20180424,2.59278,28115393.0,,2018-03-29T06:10:55.837Z,2016-05-27T21:34:42.940Z,regnskab,0.0,,2015-12-31,2015-10-01,X16-AU-51-JJ,2016-05-27T21:34:43.153Z,,,,,,,,,,,,,
28115393,2015-09-30,2015-09-30,c9,http://regnskaber.virk.dk/39351182/ZG9rdW1lbnRsYWdlcjovLzAzLzdlL2ZiLzcyLzY4LzEzN2QtNGE5Ni05Y2VmLTRkN2M5NmZmNWU0Yg.xhtml,http://regnskaber.virk.dk/39351182/ZG9rdW1lbnRsYWdlcjovLzAzL2E4LzYyLzgxL2NjL2ZhZTktNGQyYi04NTRhLTU3ODgzNjM5MzM3ZQ.pdf,http://regnskaber.virk.dk/39351182/ZG9rdW1lbnRsYWdlcjovLzAzLzc0L2IyL2U0LzBjL2ZmMzItNDVmZi05YjBhLTA2NjhlMjRmNjJjOQ.xml,true,Hammel,8450.0,33.0,Solbakken,8450 Hammel,Solbakken 33,Regnskabsklasse B,2016-05-22,2016-05-22,"<p xmlns=""http://www.w3.org/1999/xhtml"">Ingen</p>",,,28115393.0,,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Nina Munk,SÃ¸ren Munk,EACP A/S,Erik Munk,,Hammel,2014-10-01,2015-09-30,,,,2015-12-31,2015-10-01,false,false,Revision er fravalgt for det kommende regnskabsÃ¥r.,,false,false,Ingen bistand,urn:ofk:oid:22472611,indberetninger-20180424,2.59278,28115393.0,,2018-03-29T06:10:55.837Z,2016-05-27T21:34:42.940Z,regnskab,0.0,,2015-12-31,2015-10-01,X16-AU-51-JJ,2016-05-27T21:34:43.153Z,50170.0,530000.0,11883.0,50170.0,50170.0,38287.0,38287.0,38287.0,8448.0,-479830.0,11883.0,3435.0,
28115393,2015-10-01,2015-10-01,c10,http://regnskaber.virk.dk/39351182/ZG9rdW1lbnRsYWdlcjovLzAzLzdlL2ZiLzcyLzY4LzEzN2QtNGE5Ni05Y2VmLTRkN2M5NmZmNWU0Yg.xhtml,http://regnskaber.virk.dk/39351182/ZG9rdW1lbnRsYWdlcjovLzAzL2E4LzYyLzgxL2NjL2ZhZTktNGQyYi04NTRhLTU3ODgzNjM5MzM3ZQ.pdf,http://regnskaber.virk.dk/39351182/ZG9rdW1lbnRsYWdlcjovLzAzLzc0L2IyL2U0LzBjL2ZmMzItNDVmZi05YjBhLTA2NjhlMjRmNjJjOQ.xml,true,Hammel,8450.0,33.0,Solbakken,8450 Hammel,Solbakken 33,Regnskabsklasse B,2016-05-22,2016-05-22,"<p xmlns=""http://www.w3.org/1999/xhtml"">Ingen</p>",,,28115393.0,,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Nina Munk,SÃ¸ren Munk,EACP A/S,Erik Munk,,Hammel,2014-10-01,2015-09-30,,,,2015-12-31,2015-10-01,false,false,Revision er fravalgt for det kommende regnskabsÃ¥r.,,false,false,Ingen bistand,urn:ofk:oid:22472611,indberetninger-20180424,2.59278,28115393.0,,2018-03-29T06:10:55.837Z,2016-05-27T21:34:42.940Z,regnskab,0.0,,2015-12-31,2015-10-01,X16-AU-51-JJ,2016-05-27T21:34:43.153Z,,,,530000.0,,,,,,,,,
28115393,2015-10-01,2015-10-01,c11,http://regnskaber.virk.dk/39351182/ZG9rdW1lbnRsYWdlcjovLzAzLzdlL2ZiLzcyLzY4LzEzN2QtNGE5Ni05Y2VmLTRkN2M5NmZmNWU0Yg.xhtml,http://regnskaber.virk.dk/39351182/ZG9rdW1lbnRsYWdlcjovLzAzL2E4LzYyLzgxL2NjL2ZhZTktNGQyYi04NTRhLTU3ODgzNjM5MzM3ZQ.pdf,http://regnskaber.virk.dk/39351182/ZG9rdW1lbnRsYWdlcjovLzAzLzc0L2IyL2U0LzBjL2ZmMzItNDVmZi05YjBhLTA2NjhlMjRmNjJjOQ.xml,true,Hammel,8450.0,33.0,Solbakken,8450 Hammel,Solbakken 33,Regnskabsklasse B,2016-05-22,2016-05-22,"<p xmlns=""http://www.w3.org/1999/xhtml"">Ingen</p>",,,28115393.0,,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Nina Munk,SÃ¸ren Munk,EACP A/S,Erik Munk,,Hammel,2014-10-01,2015-09-30,,,,2015-12-31,2015-10-01,false,false,Revision er fravalgt for det kommende regnskabsÃ¥r.,,false,false,Ingen bistand,urn:ofk:oid:22472611,indberetninger-20180424,2.59278,28115393.0,,2018-03-29T06:10:55.837Z,2016-05-27T21:34:42.940Z,regnskab,0.0,,2015-12-31,2015-10-01,X16-AU-51-JJ,2016-05-27T21:34:43.153Z,,,,-479830.0,,,,,,,,,
28115393,2015-10-01,2015-10-01,c12,http://regnskaber.virk.dk/39351182/ZG9rdW1lbnRsYWdlcjovLzAzLzdlL2ZiLzcyLzY4LzEzN2QtNGE5Ni05Y2VmLTRkN2M5NmZmNWU0Yg.xhtml,http://regnskaber.virk.dk/39351182/ZG9rdW1lbnRsYWdlcjovLzAzL2E4LzYyLzgxL2NjL2ZhZTktNGQyYi04NTRhLTU3ODgzNjM5MzM3ZQ.pdf,http://regnskaber.virk.dk/39351182/ZG9rdW1lbnRsYWdlcjovLzAzLzc0L2IyL2U0LzBjL2ZmMzItNDVmZi05YjBhLTA2NjhlMjRmNjJjOQ.xml,true,Hammel,8450.0,33.0,Solbakken,8450 Hammel,Solbakken 33,Regnskabsklasse B,2016-05-22,2016-05-22,"<p xmlns=""http://www.w3.org/1999/xhtml"">Ingen</p>",,,28115393.0,,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Nina Munk,SÃ¸ren Munk,EACP A/S,Erik Munk,,Hammel,2014-10-01,2015-09-30,,,,2015-12-31,2015-10-01,false,false,Revision er fravalgt for det kommende regnskabsÃ¥r.,,false,false,Ingen bistand,urn:ofk:oid:22472611,indberetninger-20180424,2.59278,28115393.0,,2018-03-29T06:10:55.837Z,2016-05-27T21:34:42.940Z,regnskab,0.0,,2015-12-31,2015-10-01,X16-AU-51-JJ,2016-05-27T21:34:43.153Z,,,,0.0,,,,,,,,,
28115393,2015-10-01,2015-10-01,c13,http://regnskaber.virk.dk/39351182/ZG9rdW1lbnRsYWdlcjovLzAzLzdlL2ZiLzcyLzY4LzEzN2QtNGE5Ni05Y2VmLTRkN2M5NmZmNWU0Yg.xhtml,http://regnskaber.virk.dk/39351182/ZG9rdW1lbnRsYWdlcjovLzAzL2E4LzYyLzgxL2NjL2ZhZTktNGQyYi04NTRhLTU3ODgzNjM5MzM3ZQ.pdf,http://regnskaber.virk.dk/39351182/ZG9rdW1lbnRsYWdlcjovLzAzLzc0L2IyL2U0LzBjL2ZmMzItNDVmZi05YjBhLTA2NjhlMjRmNjJjOQ.xml,true,Hammel,8450.0,33.0,Solbakken,8450 Hammel,Solbakken 33,Regnskabsklasse B,2016-05-22,2016-05-22,"<p xmlns=""http://www.w3.org/1999/xhtml"">Ingen</p>",,,28115393.0,,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Nina Munk,SÃ¸ren Munk,EACP A/S,Erik Munk,,Hammel,2014-10-01,2015-09-30,,,,2015-12-31,2015-10-01,false,false,Revision er fravalgt for det kommende regnskabsÃ¥r.,,false,false,Ingen bistand,urn:ofk:oid:22472611,indberetninger-20180424,2.59278,28115393.0,,2018-03-29T06:10:55.837Z,2016-05-27T21:34:42.940Z,regnskab,0.0,,2015-12-31,2015-10-01,X16-AU-51-JJ,2016-05-27T21:34:43.153Z,,,,50170.0,,,,,,,,,
28115393,2015-10-01,2015-12-31,c0,http://regnskaber.virk.dk/39351182/ZG9rdW1lbnRsYWdlcjovLzAzLzdlL2ZiLzcyLzY4LzEzN2QtNGE5Ni05Y2VmLTRkN2M5NmZmNWU0Yg.xhtml,http://regnskaber.virk.dk/39351182/ZG9rdW1lbnRsYWdlcjovLzAzL2E4LzYyLzgxL2NjL2ZhZTktNGQyYi04NTRhLTU3ODgzNjM5MzM3ZQ.pdf,http://regnskaber.virk.dk/39351182/ZG9rdW1lbnRsYWdlcjovLzAzLzc0L2IyL2U0LzBjL2ZmMzItNDVmZi05YjBhLTA2NjhlMjRmNjJjOQ.xml,true,Hammel,8450.0,33.0,Solbakken,8450 Hammel,Solbakken 33,Regnskabsklasse B,2016-05-22,2016-05-22,"<p xmlns=""http://www.w3.org/1999/xhtml"">Ingen</p>",180.0,-180.0,28115393.0,0.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Nina Munk,SÃ¸ren Munk,EACP A/S,Erik Munk,0.0,Hammel,2014-10-01,2015-09-30,-180.0,-180.0,-180.0,2015-12-31,2015-10-01,false,false,Revision er fravalgt for det kommende regnskabsÃ¥r.,0.0,false,false,Ingen bistand,urn:ofk:oid:22472611,indberetninger-20180424,2.59278,28115393.0,,2018-03-29T06:10:55.837Z,2016-05-27T21:34:42.940Z,regnskab,0.0,,2015-12-31,2015-10-01,X16-AU-51-JJ,2016-05-27T21:34:43.153Z,,,,,,,,,,,,,
28115393,2015-10-01,2015-12-31,c1,http://regnskaber.virk.dk/39351182/ZG9rdW1lbnRsYWdlcjovLzAzLzdlL2ZiLzcyLzY4LzEzN2QtNGE5Ni05Y2VmLTRkN2M5NmZmNWU0Yg.xhtml,http://regnskaber.virk.dk/39351182/ZG9rdW1lbnRsYWdlcjovLzAzL2E4LzYyLzgxL2NjL2ZhZTktNGQyYi04NTRhLTU3ODgzNjM5MzM3ZQ.pdf,http://regnskaber.virk.dk/39351182/ZG9rdW1lbnRsYWdlcjovLzAzLzc0L2IyL2U0LzBjL2ZmMzItNDVmZi05YjBhLTA2NjhlMjRmNjJjOQ.xml,true,Hammel,8450.0,33.0,Solbakken,8450 Hammel,Solbakken 33,Regnskabsklasse B,2016-05-22,2016-05-22,"<p xmlns=""http://www.w3.org/1999/xhtml"">Ingen</p>",,,28115393.0,,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Nina Munk,SÃ¸ren Munk,EACP A/S,Erik Munk,,Hammel,2014-10-01,2015-09-30,,,,2015-12-31,2015-10-01,false,false,Revision er fravalgt for det kommende regnskabsÃ¥r.,,false,false,Ingen bistand,urn:ofk:oid:22472611,indberetninger-20180424,2.59278,28115393.0,,2018-03-29T06:10:55.837Z,2016-05-27T21:34:42.940Z,regnskab,0.0,,2015-12-31,2015-10-01,X16-AU-51-JJ,2016-05-27T21:34:43.153Z,,,,,,,,,,,,,
28115393,2015-10-01,2015-12-31,c14,http://regnskaber.virk.dk/39351182/ZG9rdW1lbnRsYWdlcjovLzAzLzdlL2ZiLzcyLzY4LzEzN2QtNGE5Ni05Y2VmLTRkN2M5NmZmNWU0Yg.xhtml,http://regnskaber.virk.dk/39351182/ZG9rdW1lbnRsYWdlcjovLzAzL2E4LzYyLzgxL2NjL2ZhZTktNGQyYi04NTRhLTU3ODgzNjM5MzM3ZQ.pdf,http://regnskaber.virk.dk/39351182/ZG9rdW1lbnRsYWdlcjovLzAzLzc0L2IyL2U0LzBjL2ZmMzItNDVmZi05YjBhLTA2NjhlMjRmNjJjOQ.xml,true,Hammel,8450.0,33.0,Solbakken,8450 Hammel,Solbakken 33,Regnskabsklasse B,2016-05-22,2016-05-22,"<p xmlns=""http://www.w3.org/1999/xhtml"">Ingen</p>",,,28115393.0,,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Nina Munk,SÃ¸ren Munk,EACP A/S,Erik Munk,,Hammel,2014-10-01,2015-09-30,0.0,,,2015-12-31,2015-10-01,false,false,Revision er fravalgt for det kommende regnskabsÃ¥r.,,false,false,Ingen bistand,urn:ofk:oid:22472611,indberetninger-20180424,2.59278,28115393.0,,2018-03-29T06:10:55.837Z,2016-05-27T21:34:42.940Z,regnskab,0.0,,2015-12-31,2015-10-01,X16-AU-51-JJ,2016-05-27T21:34:43.153Z,,,,,,,,,,,,,
