entity,start_date,end_date,context,AARSRAPPORT_html,AARSRAPPORT_pdf,AARSRAPPORT_xml,AccountingPoliciesAreUnchangedFromPreviousPeriod,AddressOfFinancialDistrictName,AddressOfReportingEntityDistrictName,AddressOfReportingEntityPostCodeIdentifier,AddressOfReportingEntityStreetBuildingIdentifier,AddressOfReportingEntityStreetName,AddressOfSubmittingEnterprisePostcodeAndTown,AddressOfSubmittingEnterpriseStreetAndNumber,ClassOfReportingEntity,DateOfApprovalOfAnnualReport,DateOfGeneralMeeting,ExternalExpenses,FaxNumberOfReportingEntity,GrossResult,IdentificationNumberCvrOfReportingEntity,InformationOnReportingClassOfEntity,InformationOnTypeOfSubmittedReport,NameAndSurnameOfChairmanOfGeneralMeeting,NameAndSurnameOfMemberOfExecutiveBoard,NameOfFinancialInstitution,NameOfReportingEntity,NameOfSubmittingEnterprise,PlaceOfSignatureOfStatement,PrecedingReportingPeriodStartDate,PredingReportingPeriodEndDate,ProfitLoss,ProfitLossFromOrdinaryActivitiesBeforeTax,ProfitLossFromOrdinaryOperatingActivities,ReportingPeriodEndDate,ReportingPeriodStartDate,Revenue,SelectedElementsFromReportingClassC,SelectedElementsFromReportingClassD,StatementOnOptingOutOfAuditingFinancialStatementsInNextReportingPeriodDueToExemption,TaxExpense,TelephoneNumberOfReportingEntity,TheCompanyHasPresentedTheAnnualReportEtcWithReferenceToTheDanishFinancialStatementsAct78aConcerningTheExceptionForReportingClassCMediumsizeSubsidiariesWhichChoosesToPresentTheAnnualReportEtcAccordingToReportingClassB,TheReportingEntityAppliesTheExceptionConcerningOptingOutOfTheStatementByManagementEtc,TypeOfAuditorAssistance,_id,_index,_score,cvrNummer,indlaesningsId,indlaesningsTidspunkt,offentliggoerelsesTidspunkt,offentliggoerelsestype,omgoerelse,regNummer,regnskabsperiode_slutDato,regnskabsperiode_startDato,sagsNummer,sidstOpdateret,Assets,CashAndCashEquivalents,ContributedCapital,CurrentAssets,Equity,LiabilitiesAndEquity,LiabilitiesOtherThanProvisions,OtherReserves,OtherShorttermPayables,ProposedDividendRecognisedInEquity,RetainedEarnings,ShorttermLiabilitiesOtherThanProvisions,NameAndSurnameOfMemberOfSupervisoryBoard
32768725,2016-01-01,2016-12-31,c5,http://regnskaber.virk.dk/52786723/ZG9rdW1lbnRsYWdlcjovLzAzLzg2L2EzLzA5L2U4LzdjYjktNDZiZS04ZTI4LWExYjBkMjk4ZmY0Yw.xhtml,http://regnskaber.virk.dk/52786723/ZG9rdW1lbnRsYWdlcjovLzAzL2E0LzlhLzNhLzk5LzRmZTEtNDkzZi1iYzZiLTA5YzE1NjE3ZTk0MA.pdf,http://regnskaber.virk.dk/52786723/ZG9rdW1lbnRsYWdlcjovLzAzLzZjL2EwLzcxLzE3Lzg0NzQtNDQ3NS04N2EzLTM0ODhlZDk0NTVhYg.xml,true,4200 Slagelse,Kalundborg,4400.0,54.0,Solbakken,4400  Kalundborg,Solbakken 54,Regnskabsklasse B,2018-05-27,2018-05-27,0.0,59501562.0,-35139.0,32768725.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Bent Daugaard,Bent Daugaard,Sydbank A/S,2X2 INVEST A/S,Bent Daugaard,Kalundborg,2016-01-01,2016-12-31,-35139.0,-35139.0,-35139.0,2017-12-31,2017-01-01,-35139.0,false,false,"Det indstilles desuden til generalforsamlingen, at fravÃ¦lge revision for det kommende regnskabsÃ¥r.",0.0,59501526.0,false,false,Ingen bistand,urn:ofk:oid:25562491,indberetninger-20180424,2.595549,32768725.0,AWOm90S50wkEsASktFDl,2018-05-28T13:37:33.196Z,2018-05-28T13:36:51.280Z,regnskab,0.0,,2017-12-31,2017-01-01,X18-AM-77-RW,2018-05-28T13:36:51.535Z,,,,,,,,,,,,,
32768725,2016-01-01,2016-12-31,c7,http://regnskaber.virk.dk/52786723/ZG9rdW1lbnRsYWdlcjovLzAzLzg2L2EzLzA5L2U4LzdjYjktNDZiZS04ZTI4LWExYjBkMjk4ZmY0Yw.xhtml,http://regnskaber.virk.dk/52786723/ZG9rdW1lbnRsYWdlcjovLzAzL2E0LzlhLzNhLzk5LzRmZTEtNDkzZi1iYzZiLTA5YzE1NjE3ZTk0MA.pdf,http://regnskaber.virk.dk/52786723/ZG9rdW1lbnRsYWdlcjovLzAzLzZjL2EwLzcxLzE3Lzg0NzQtNDQ3NS04N2EzLTM0ODhlZDk0NTVhYg.xml,true,4200 Slagelse,Kalundborg,4400.0,54.0,Solbakken,4400  Kalundborg,Solbakken 54,Regnskabsklasse B,2018-05-27,2018-05-27,,59501562.0,,32768725.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Bent Daugaard,Bent Daugaard,Sydbank A/S,2X2 INVEST A/S,Bent Daugaard,Kalundborg,2016-01-01,2016-12-31,-35139.0,,,2017-12-31,2017-01-01,,false,false,"Det indstilles desuden til generalforsamlingen, at fravÃ¦lge revision for det kommende regnskabsÃ¥r.",,59501526.0,false,false,Ingen bistand,urn:ofk:oid:25562491,indberetninger-20180424,2.595549,32768725.0,AWOm90S50wkEsASktFDl,2018-05-28T13:37:33.196Z,2018-05-28T13:36:51.280Z,regnskab,0.0,,2017-12-31,2017-01-01,X18-AM-77-RW,2018-05-28T13:36:51.535Z,,,,,,,,,,,,,
32768725,2016-12-31,2016-12-31,c9,http://regnskaber.virk.dk/52786723/ZG9rdW1lbnRsYWdlcjovLzAzLzg2L2EzLzA5L2U4LzdjYjktNDZiZS04ZTI4LWExYjBkMjk4ZmY0Yw.xhtml,http://regnskaber.virk.dk/52786723/ZG9rdW1lbnRsYWdlcjovLzAzL2E0LzlhLzNhLzk5LzRmZTEtNDkzZi1iYzZiLTA5YzE1NjE3ZTk0MA.pdf,http://regnskaber.virk.dk/52786723/ZG9rdW1lbnRsYWdlcjovLzAzLzZjL2EwLzcxLzE3Lzg0NzQtNDQ3NS04N2EzLTM0ODhlZDk0NTVhYg.xml,true,4200 Slagelse,Kalundborg,4400.0,54.0,Solbakken,4400  Kalundborg,Solbakken 54,Regnskabsklasse B,2018-05-27,2018-05-27,,59501562.0,,32768725.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Bent Daugaard,Bent Daugaard,Sydbank A/S,2X2 INVEST A/S,Bent Daugaard,Kalundborg,2016-01-01,2016-12-31,,,,2017-12-31,2017-01-01,,false,false,"Det indstilles desuden til generalforsamlingen, at fravÃ¦lge revision for det kommende regnskabsÃ¥r.",,59501526.0,false,false,Ingen bistand,urn:ofk:oid:25562491,indberetninger-20180424,2.595549,32768725.0,AWOm90S50wkEsASktFDl,2018-05-28T13:37:33.196Z,2018-05-28T13:36:51.280Z,regnskab,0.0,,2017-12-31,2017-01-01,X18-AM-77-RW,2018-05-28T13:36:51.535Z,1765.0,1765.0,600000.0,1765.0,-98335.0,1765.0,100100.0,-663196.0,100100.0,0.0,-35139.0,100100.0,
32768725,2017-01-01,2017-12-31,c0,http://regnskaber.virk.dk/52786723/ZG9rdW1lbnRsYWdlcjovLzAzLzg2L2EzLzA5L2U4LzdjYjktNDZiZS04ZTI4LWExYjBkMjk4ZmY0Yw.xhtml,http://regnskaber.virk.dk/52786723/ZG9rdW1lbnRsYWdlcjovLzAzL2E0LzlhLzNhLzk5LzRmZTEtNDkzZi1iYzZiLTA5YzE1NjE3ZTk0MA.pdf,http://regnskaber.virk.dk/52786723/ZG9rdW1lbnRsYWdlcjovLzAzLzZjL2EwLzcxLzE3Lzg0NzQtNDQ3NS04N2EzLTM0ODhlZDk0NTVhYg.xml,true,4200 Slagelse,Kalundborg,4400.0,54.0,Solbakken,4400  Kalundborg,Solbakken 54,Regnskabsklasse B,2018-05-27,2018-05-27,0.0,59501562.0,-952.0,32768725.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Bent Daugaard,Bent Daugaard,Sydbank A/S,2X2 INVEST A/S,Bent Daugaard,Kalundborg,2016-01-01,2016-12-31,-952.0,-952.0,-952.0,2017-12-31,2017-01-01,-952.0,false,false,"Det indstilles desuden til generalforsamlingen, at fravÃ¦lge revision for det kommende regnskabsÃ¥r.",0.0,59501526.0,false,false,Ingen bistand,urn:ofk:oid:25562491,indberetninger-20180424,2.595549,32768725.0,AWOm90S50wkEsASktFDl,2018-05-28T13:37:33.196Z,2018-05-28T13:36:51.280Z,regnskab,0.0,,2017-12-31,2017-01-01,X18-AM-77-RW,2018-05-28T13:36:51.535Z,,,,,,,,,,,,,
32768725,2017-01-01,2017-12-31,c1,http://regnskaber.virk.dk/52786723/ZG9rdW1lbnRsYWdlcjovLzAzLzg2L2EzLzA5L2U4LzdjYjktNDZiZS04ZTI4LWExYjBkMjk4ZmY0Yw.xhtml,http://regnskaber.virk.dk/52786723/ZG9rdW1lbnRsYWdlcjovLzAzL2E0LzlhLzNhLzk5LzRmZTEtNDkzZi1iYzZiLTA5YzE1NjE3ZTk0MA.pdf,http://regnskaber.virk.dk/52786723/ZG9rdW1lbnRsYWdlcjovLzAzLzZjL2EwLzcxLzE3Lzg0NzQtNDQ3NS04N2EzLTM0ODhlZDk0NTVhYg.xml,true,4200 Slagelse,Kalundborg,4400.0,54.0,Solbakken,4400  Kalundborg,Solbakken 54,Regnskabsklasse B,2018-05-27,2018-05-27,,59501562.0,,32768725.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Bent Daugaard,Bent Daugaard,Sydbank A/S,2X2 INVEST A/S,Bent Daugaard,Kalundborg,2016-01-01,2016-12-31,,,,2017-12-31,2017-01-01,,false,false,"Det indstilles desuden til generalforsamlingen, at fravÃ¦lge revision for det kommende regnskabsÃ¥r.",,59501526.0,false,false,Ingen bistand,urn:ofk:oid:25562491,indberetninger-20180424,2.595549,32768725.0,AWOm90S50wkEsASktFDl,2018-05-28T13:37:33.196Z,2018-05-28T13:36:51.280Z,regnskab,0.0,,2017-12-31,2017-01-01,X18-AM-77-RW,2018-05-28T13:36:51.535Z,,,,,,,,,,,,,
32768725,2017-01-01,2017-12-31,c2,http://regnskaber.virk.dk/52786723/ZG9rdW1lbnRsYWdlcjovLzAzLzg2L2EzLzA5L2U4LzdjYjktNDZiZS04ZTI4LWExYjBkMjk4ZmY0Yw.xhtml,http://regnskaber.virk.dk/52786723/ZG9rdW1lbnRsYWdlcjovLzAzL2E0LzlhLzNhLzk5LzRmZTEtNDkzZi1iYzZiLTA5YzE1NjE3ZTk0MA.pdf,http://regnskaber.virk.dk/52786723/ZG9rdW1lbnRsYWdlcjovLzAzLzZjL2EwLzcxLzE3Lzg0NzQtNDQ3NS04N2EzLTM0ODhlZDk0NTVhYg.xml,true,4200 Slagelse,Kalundborg,4400.0,54.0,Solbakken,4400  Kalundborg,Solbakken 54,Regnskabsklasse B,2018-05-27,2018-05-27,,59501562.0,,32768725.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Bent Daugaard,Bent Daugaard,Sydbank A/S,2X2 INVEST A/S,Bent Daugaard,Kalundborg,2016-01-01,2016-12-31,,,,2017-12-31,2017-01-01,,false,false,"Det indstilles desuden til generalforsamlingen, at fravÃ¦lge revision for det kommende regnskabsÃ¥r.",,59501526.0,false,false,Ingen bistand,urn:ofk:oid:25562491,indberetninger-20180424,2.595549,32768725.0,AWOm90S50wkEsASktFDl,2018-05-28T13:37:33.196Z,2018-05-28T13:36:51.280Z,regnskab,0.0,,2017-12-31,2017-01-01,X18-AM-77-RW,2018-05-28T13:36:51.535Z,,,,,,,,,,,,,Henrik Daugaard Pedersen
32768725,2017-01-01,2017-12-31,c3,http://regnskaber.virk.dk/52786723/ZG9rdW1lbnRsYWdlcjovLzAzLzg2L2EzLzA5L2U4LzdjYjktNDZiZS04ZTI4LWExYjBkMjk4ZmY0Yw.xhtml,http://regnskaber.virk.dk/52786723/ZG9rdW1lbnRsYWdlcjovLzAzL2E0LzlhLzNhLzk5LzRmZTEtNDkzZi1iYzZiLTA5YzE1NjE3ZTk0MA.pdf,http://regnskaber.virk.dk/52786723/ZG9rdW1lbnRsYWdlcjovLzAzLzZjL2EwLzcxLzE3Lzg0NzQtNDQ3NS04N2EzLTM0ODhlZDk0NTVhYg.xml,true,4200 Slagelse,Kalundborg,4400.0,54.0,Solbakken,4400  Kalundborg,Solbakken 54,Regnskabsklasse B,2018-05-27,2018-05-27,,59501562.0,,32768725.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Bent Daugaard,Bent Daugaard,Sydbank A/S,2X2 INVEST A/S,Bent Daugaard,Kalundborg,2016-01-01,2016-12-31,,,,2017-12-31,2017-01-01,,false,false,"Det indstilles desuden til generalforsamlingen, at fravÃ¦lge revision for det kommende regnskabsÃ¥r.",,59501526.0,false,false,Ingen bistand,urn:ofk:oid:25562491,indberetninger-20180424,2.595549,32768725.0,AWOm90S50wkEsASktFDl,2018-05-28T13:37:33.196Z,2018-05-28T13:36:51.280Z,regnskab,0.0,,2017-12-31,2017-01-01,X18-AM-77-RW,2018-05-28T13:36:51.535Z,,,,,,,,,,,,,BÃ¸je Ivan Larsen
32768725,2017-01-01,2017-12-31,c4,http://regnskaber.virk.dk/52786723/ZG9rdW1lbnRsYWdlcjovLzAzLzg2L2EzLzA5L2U4LzdjYjktNDZiZS04ZTI4LWExYjBkMjk4ZmY0Yw.xhtml,http://regnskaber.virk.dk/52786723/ZG9rdW1lbnRsYWdlcjovLzAzL2E0LzlhLzNhLzk5LzRmZTEtNDkzZi1iYzZiLTA5YzE1NjE3ZTk0MA.pdf,http://regnskaber.virk.dk/52786723/ZG9rdW1lbnRsYWdlcjovLzAzLzZjL2EwLzcxLzE3Lzg0NzQtNDQ3NS04N2EzLTM0ODhlZDk0NTVhYg.xml,true,4200 Slagelse,Kalundborg,4400.0,54.0,Solbakken,4400  Kalundborg,Solbakken 54,Regnskabsklasse B,2018-05-27,2018-05-27,,59501562.0,,32768725.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Bent Daugaard,Bent Daugaard,Sydbank A/S,2X2 INVEST A/S,Bent Daugaard,Kalundborg,2016-01-01,2016-12-31,,,,2017-12-31,2017-01-01,,false,false,"Det indstilles desuden til generalforsamlingen, at fravÃ¦lge revision for det kommende regnskabsÃ¥r.",,59501526.0,false,false,Ingen bistand,urn:ofk:oid:25562491,indberetninger-20180424,2.595549,32768725.0,AWOm90S50wkEsASktFDl,2018-05-28T13:37:33.196Z,2018-05-28T13:36:51.280Z,regnskab,0.0,,2017-12-31,2017-01-01,X18-AM-77-RW,2018-05-28T13:36:51.535Z,,,,,,,,,,,,,Margit Irene Zume Daugaard
32768725,2017-01-01,2017-12-31,c6,http://regnskaber.virk.dk/52786723/ZG9rdW1lbnRsYWdlcjovLzAzLzg2L2EzLzA5L2U4LzdjYjktNDZiZS04ZTI4LWExYjBkMjk4ZmY0Yw.xhtml,http://regnskaber.virk.dk/52786723/ZG9rdW1lbnRsYWdlcjovLzAzL2E0LzlhLzNhLzk5LzRmZTEtNDkzZi1iYzZiLTA5YzE1NjE3ZTk0MA.pdf,http://regnskaber.virk.dk/52786723/ZG9rdW1lbnRsYWdlcjovLzAzLzZjL2EwLzcxLzE3Lzg0NzQtNDQ3NS04N2EzLTM0ODhlZDk0NTVhYg.xml,true,4200 Slagelse,Kalundborg,4400.0,54.0,Solbakken,4400  Kalundborg,Solbakken 54,Regnskabsklasse B,2018-05-27,2018-05-27,,59501562.0,,32768725.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Bent Daugaard,Bent Daugaard,Sydbank A/S,2X2 INVEST A/S,Bent Daugaard,Kalundborg,2016-01-01,2016-12-31,-952.0,,,2017-12-31,2017-01-01,,false,false,"Det indstilles desuden til generalforsamlingen, at fravÃ¦lge revision for det kommende regnskabsÃ¥r.",,59501526.0,false,false,Ingen bistand,urn:ofk:oid:25562491,indberetninger-20180424,2.595549,32768725.0,AWOm90S50wkEsASktFDl,2018-05-28T13:37:33.196Z,2018-05-28T13:36:51.280Z,regnskab,0.0,,2017-12-31,2017-01-01,X18-AM-77-RW,2018-05-28T13:36:51.535Z,,,,,,,,,,,,,
32768725,2017-12-31,2017-12-31,c8,http://regnskaber.virk.dk/52786723/ZG9rdW1lbnRsYWdlcjovLzAzLzg2L2EzLzA5L2U4LzdjYjktNDZiZS04ZTI4LWExYjBkMjk4ZmY0Yw.xhtml,http://regnskaber.virk.dk/52786723/ZG9rdW1lbnRsYWdlcjovLzAzL2E0LzlhLzNhLzk5LzRmZTEtNDkzZi1iYzZiLTA5YzE1NjE3ZTk0MA.pdf,http://regnskaber.virk.dk/52786723/ZG9rdW1lbnRsYWdlcjovLzAzLzZjL2EwLzcxLzE3Lzg0NzQtNDQ3NS04N2EzLTM0ODhlZDk0NTVhYg.xml,true,4200 Slagelse,Kalundborg,4400.0,54.0,Solbakken,4400  Kalundborg,Solbakken 54,Regnskabsklasse B,2018-05-27,2018-05-27,,59501562.0,,32768725.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Bent Daugaard,Bent Daugaard,Sydbank A/S,2X2 INVEST A/S,Bent Daugaard,Kalundborg,2016-01-01,2016-12-31,,,,2017-12-31,2017-01-01,,false,false,"Det indstilles desuden til generalforsamlingen, at fravÃ¦lge revision for det kommende regnskabsÃ¥r.",,59501526.0,false,false,Ingen bistand,urn:ofk:oid:25562491,indberetninger-20180424,2.595549,32768725.0,AWOm90S50wkEsASktFDl,2018-05-28T13:37:33.196Z,2018-05-28T13:36:51.280Z,regnskab,0.0,,2017-12-31,2017-01-01,X18-AM-77-RW,2018-05-28T13:36:51.535Z,813.0,813.0,600000.0,813.0,-99287.0,813.0,100100.0,-698335.0,100100.0,0.0,-952.0,100100.0,
