entity,start_date,end_date,context,AARSRAPPORT_html,AARSRAPPORT_pdf,AARSRAPPORT_xml,AccountingPoliciesAreUnchangedFromPreviousPeriod,AddressOfSubmittingEnterprisePostcodeAndTown,AddressOfSubmittingEnterpriseStreetAndNumber,ClassOfReportingEntity,ConfirmationThatAnnualReportIsPresentedInAccordanceWithRequirementsProvidedForByLegislationAnyStandardsAndRequirementsProvidedByArticlesOfAssociationOrByAgreement,ConfirmationThatFinancialStatementGivesTrueAndFairViewOfAssetsLiabilitiesEquityFinancialPositionAndResults,DateOfApprovalOfAnnualReport,DateOfApprovalOfReport,DateOfFoundationOfReportingEntity,DateOfGeneralMeeting,DepreciationAmortisationExpenseAndImpairmentLossesOfPropertyPlantAndEquipmentAndIntangibleAssetsRecognisedInProfitOrLoss,EmailOfReportingEntity,EmployeeBenefitsExpense,ExplanationOfNotDisclosingCashFlowsStatements,GrossProfitLoss,HomepageOfReportingEntity,IdentificationNumberCvrOfReportingEntity,IdentificationOfApprovedAnnualReport,InformationOnTypeOfSubmittedReport,ManagementsStatementAboutManagementsReview,NameAndSurnameOfChairmanOfGeneralMeeting,NameOfFinancialInstitution,NameOfReportingEntity,NameOfSubmittingEnterprise,OtherFinanceExpenses,PlaceOfSignatureOfStatement,PrecedingReportingPeriodStartDate,PredingReportingPeriodEndDate,ProfitLoss,ProfitLossFromOrdinaryActivitiesBeforeTax,ProfitLossFromOrdinaryOperatingActivities,RecommendationForApprovalOfAnnualReportByGeneralMeeting,RegisteredOfficeOfReportingEntity,ReportingPeriodEndDate,ReportingPeriodStartDate,SelectedElementsFromReportingClassC,TaxExpenseOnOrdinaryActivities,TelephoneNumberOfReportingEntity,TitleOfMemberOfExecutiveBoard,TypeOfAuditorAssistance,_id,_index,_score,cvrNummer,indlaesningsId,indlaesningsTidspunkt,offentliggoerelsesTidspunkt,offentliggoerelsestype,omgoerelse,regNummer,regnskabsperiode_slutDato,regnskabsperiode_startDato,sagsNummer,sidstOpdateret,Assets,CashAndCashEquivalents,ContributedCapital,CurrentAssets,DeferredIncomeAssets,Equity,FixturesFittingsToolsAndEquipment,LiabilitiesAndEquity,LiabilitiesOtherThanProvisions,NoncurrentAssets,OtherShorttermPayables,OtherShorttermReceivables,PropertyPlantAndEquipment,ProposedDividendRecognisedInEquity,RetainedEarnings,ShorttermLiabilitiesOtherThanProvisions,ShorttermReceivables,ShorttermTaxPayables,ShorttermTradeReceivables,NameAndSurnameOfMemberOfExecutiveBoard
29313814,2016-01-01,2016-12-31,ID_5,,http://regnskaber.virk.dk/41831392/ZG9rdW1lbnRsYWdlcjovLzAzLzQzLzNiL2IwLzQ0L2MyMjMtNDVlYS04OGFmLWJjOTNjNTk5ODdkOQ.pdf,http://regnskaber.virk.dk/41831392/ZG9rdW1lbnRsYWdlcjovLzAzLzJkL2FiLzdhLzRhLzRlY2QtNDQ5NS04NGFlLTYwZTcwYWM0OWNmOQ.xml,true,"9200, Aalborg SV",Hobrovej 372,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31-12-2017 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 01-01-2017 - 31-12-2017.",2018-03-16,2018-03-16,2006-01-20,2018-03-16,422840.0,ee@kimegedal.dk,2602447.0,Selskabet har i henhold til Ã¥rsregnskabslovens Â§86 stk. 4 undladt at udarbejde pengestrÃ¸msopgÃ¸relse.,3188811.0,www.kimegedal.dk,29313814.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 01-01-2017 - 31-12-2017 for Egedal EntreprenÃ¸rfirma ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Kim Andersen,Nordea Bank,Egedal EntreprenÃ¸rfirma ApS,Bjarne Bilenberg,907.0,StenlÃ¸se,2016-01-01,2016-12-31,126842.0,162617.0,163524.0,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,"Frederikssund, 250",2017-12-31,2017-01-01,false,35775.0,40450720.0,DirektÃ¸r,Ingen bistand,urn:ofk:oid:25278138,indberetninger-20180424,2.5095785,29313814.0,,2018-04-10T10:03:22.005Z,2018-04-09T09:26:45.409Z,regnskab,0.0,,2017-12-31,2017-01-01,X18-AH-36-DE,2018-04-09T09:26:45.577Z,,,,,,,,,,,,,,,,,,,,
29313814,2016-01-01,2016-12-31,ID_7,,http://regnskaber.virk.dk/41831392/ZG9rdW1lbnRsYWdlcjovLzAzLzQzLzNiL2IwLzQ0L2MyMjMtNDVlYS04OGFmLWJjOTNjNTk5ODdkOQ.pdf,http://regnskaber.virk.dk/41831392/ZG9rdW1lbnRsYWdlcjovLzAzLzJkL2FiLzdhLzRhLzRlY2QtNDQ5NS04NGFlLTYwZTcwYWM0OWNmOQ.xml,true,"9200, Aalborg SV",Hobrovej 372,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31-12-2017 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 01-01-2017 - 31-12-2017.",2018-03-16,2018-03-16,2006-01-20,2018-03-16,,ee@kimegedal.dk,,Selskabet har i henhold til Ã¥rsregnskabslovens Â§86 stk. 4 undladt at udarbejde pengestrÃ¸msopgÃ¸relse.,,www.kimegedal.dk,29313814.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 01-01-2017 - 31-12-2017 for Egedal EntreprenÃ¸rfirma ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Kim Andersen,Nordea Bank,Egedal EntreprenÃ¸rfirma ApS,Bjarne Bilenberg,,StenlÃ¸se,2016-01-01,2016-12-31,-101200.0,,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,"Frederikssund, 250",2017-12-31,2017-01-01,false,,40450720.0,DirektÃ¸r,Ingen bistand,urn:ofk:oid:25278138,indberetninger-20180424,2.5095785,29313814.0,,2018-04-10T10:03:22.005Z,2018-04-09T09:26:45.409Z,regnskab,0.0,,2017-12-31,2017-01-01,X18-AH-36-DE,2018-04-09T09:26:45.577Z,,,,,,,,,,,,,,,,,,,,
29313814,2016-01-01,2016-12-31,ID_9,,http://regnskaber.virk.dk/41831392/ZG9rdW1lbnRsYWdlcjovLzAzLzQzLzNiL2IwLzQ0L2MyMjMtNDVlYS04OGFmLWJjOTNjNTk5ODdkOQ.pdf,http://regnskaber.virk.dk/41831392/ZG9rdW1lbnRsYWdlcjovLzAzLzJkL2FiLzdhLzRhLzRlY2QtNDQ5NS04NGFlLTYwZTcwYWM0OWNmOQ.xml,true,"9200, Aalborg SV",Hobrovej 372,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31-12-2017 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 01-01-2017 - 31-12-2017.",2018-03-16,2018-03-16,2006-01-20,2018-03-16,,ee@kimegedal.dk,,Selskabet har i henhold til Ã¥rsregnskabslovens Â§86 stk. 4 undladt at udarbejde pengestrÃ¸msopgÃ¸relse.,,www.kimegedal.dk,29313814.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 01-01-2017 - 31-12-2017 for Egedal EntreprenÃ¸rfirma ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Kim Andersen,Nordea Bank,Egedal EntreprenÃ¸rfirma ApS,Bjarne Bilenberg,,StenlÃ¸se,2016-01-01,2016-12-31,-25642.0,,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,"Frederikssund, 250",2017-12-31,2017-01-01,false,,40450720.0,DirektÃ¸r,Ingen bistand,urn:ofk:oid:25278138,indberetninger-20180424,2.5095785,29313814.0,,2018-04-10T10:03:22.005Z,2018-04-09T09:26:45.409Z,regnskab,0.0,,2017-12-31,2017-01-01,X18-AH-36-DE,2018-04-09T09:26:45.577Z,,,,,,,,,,,,,,,,,,,,
29313814,2016-12-31,2016-12-31,ID_4,,http://regnskaber.virk.dk/41831392/ZG9rdW1lbnRsYWdlcjovLzAzLzQzLzNiL2IwLzQ0L2MyMjMtNDVlYS04OGFmLWJjOTNjNTk5ODdkOQ.pdf,http://regnskaber.virk.dk/41831392/ZG9rdW1lbnRsYWdlcjovLzAzLzJkL2FiLzdhLzRhLzRlY2QtNDQ5NS04NGFlLTYwZTcwYWM0OWNmOQ.xml,true,"9200, Aalborg SV",Hobrovej 372,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31-12-2017 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 01-01-2017 - 31-12-2017.",2018-03-16,2018-03-16,2006-01-20,2018-03-16,,ee@kimegedal.dk,,Selskabet har i henhold til Ã¥rsregnskabslovens Â§86 stk. 4 undladt at udarbejde pengestrÃ¸msopgÃ¸relse.,,www.kimegedal.dk,29313814.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 01-01-2017 - 31-12-2017 for Egedal EntreprenÃ¸rfirma ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Kim Andersen,Nordea Bank,Egedal EntreprenÃ¸rfirma ApS,Bjarne Bilenberg,,StenlÃ¸se,2016-01-01,2016-12-31,,,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,"Frederikssund, 250",2017-12-31,2017-01-01,false,,40450720.0,DirektÃ¸r,Ingen bistand,urn:ofk:oid:25278138,indberetninger-20180424,2.5095785,29313814.0,,2018-04-10T10:03:22.005Z,2018-04-09T09:26:45.409Z,regnskab,0.0,,2017-12-31,2017-01-01,X18-AH-36-DE,2018-04-09T09:26:45.577Z,3130191.0,995347.0,125000.0,2220454.0,53181.0,2330578.0,909737.0,3130191.0,799613.0,909737.0,762489.0,551.0,909737.0,101200.0,2104378.0,799613.0,1225107.0,37124.0,1171375.0,
29313814,2017-01-01,2017-12-31,ID_0,,http://regnskaber.virk.dk/41831392/ZG9rdW1lbnRsYWdlcjovLzAzLzQzLzNiL2IwLzQ0L2MyMjMtNDVlYS04OGFmLWJjOTNjNTk5ODdkOQ.pdf,http://regnskaber.virk.dk/41831392/ZG9rdW1lbnRsYWdlcjovLzAzLzJkL2FiLzdhLzRhLzRlY2QtNDQ5NS04NGFlLTYwZTcwYWM0OWNmOQ.xml,true,"9200, Aalborg SV",Hobrovej 372,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31-12-2017 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 01-01-2017 - 31-12-2017.",2018-03-16,2018-03-16,2006-01-20,2018-03-16,,ee@kimegedal.dk,,Selskabet har i henhold til Ã¥rsregnskabslovens Â§86 stk. 4 undladt at udarbejde pengestrÃ¸msopgÃ¸relse.,,www.kimegedal.dk,29313814.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 01-01-2017 - 31-12-2017 for Egedal EntreprenÃ¸rfirma ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Kim Andersen,Nordea Bank,Egedal EntreprenÃ¸rfirma ApS,Bjarne Bilenberg,,StenlÃ¸se,2016-01-01,2016-12-31,,,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,"Frederikssund, 250",2017-12-31,2017-01-01,false,,40450720.0,DirektÃ¸r,Ingen bistand,urn:ofk:oid:25278138,indberetninger-20180424,2.5095785,29313814.0,,2018-04-10T10:03:22.005Z,2018-04-09T09:26:45.409Z,regnskab,0.0,,2017-12-31,2017-01-01,X18-AH-36-DE,2018-04-09T09:26:45.577Z,,,,,,,,,,,,,,,,,,,,Kim Andersen
29313814,2017-01-01,2017-12-31,ID_1,,http://regnskaber.virk.dk/41831392/ZG9rdW1lbnRsYWdlcjovLzAzLzQzLzNiL2IwLzQ0L2MyMjMtNDVlYS04OGFmLWJjOTNjNTk5ODdkOQ.pdf,http://regnskaber.virk.dk/41831392/ZG9rdW1lbnRsYWdlcjovLzAzLzJkL2FiLzdhLzRhLzRlY2QtNDQ5NS04NGFlLTYwZTcwYWM0OWNmOQ.xml,true,"9200, Aalborg SV",Hobrovej 372,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31-12-2017 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 01-01-2017 - 31-12-2017.",2018-03-16,2018-03-16,2006-01-20,2018-03-16,,ee@kimegedal.dk,,Selskabet har i henhold til Ã¥rsregnskabslovens Â§86 stk. 4 undladt at udarbejde pengestrÃ¸msopgÃ¸relse.,,www.kimegedal.dk,29313814.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 01-01-2017 - 31-12-2017 for Egedal EntreprenÃ¸rfirma ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Kim Andersen,Nordea Bank,Egedal EntreprenÃ¸rfirma ApS,Bjarne Bilenberg,,StenlÃ¸se,2016-01-01,2016-12-31,,,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,"Frederikssund, 250",2017-12-31,2017-01-01,false,,40450720.0,DirektÃ¸r,Ingen bistand,urn:ofk:oid:25278138,indberetninger-20180424,2.5095785,29313814.0,,2018-04-10T10:03:22.005Z,2018-04-09T09:26:45.409Z,regnskab,0.0,,2017-12-31,2017-01-01,X18-AH-36-DE,2018-04-09T09:26:45.577Z,,,,,,,,,,,,,,,,,,,,
29313814,2017-01-01,2017-12-31,ID_2,,http://regnskaber.virk.dk/41831392/ZG9rdW1lbnRsYWdlcjovLzAzLzQzLzNiL2IwLzQ0L2MyMjMtNDVlYS04OGFmLWJjOTNjNTk5ODdkOQ.pdf,http://regnskaber.virk.dk/41831392/ZG9rdW1lbnRsYWdlcjovLzAzLzJkL2FiLzdhLzRhLzRlY2QtNDQ5NS04NGFlLTYwZTcwYWM0OWNmOQ.xml,true,"9200, Aalborg SV",Hobrovej 372,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31-12-2017 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 01-01-2017 - 31-12-2017.",2018-03-16,2018-03-16,2006-01-20,2018-03-16,316761.0,ee@kimegedal.dk,2936348.0,Selskabet har i henhold til Ã¥rsregnskabslovens Â§86 stk. 4 undladt at udarbejde pengestrÃ¸msopgÃ¸relse.,3391081.0,www.kimegedal.dk,29313814.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 01-01-2017 - 31-12-2017 for Egedal EntreprenÃ¸rfirma ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Kim Andersen,Nordea Bank,Egedal EntreprenÃ¸rfirma ApS,Bjarne Bilenberg,608.0,StenlÃ¸se,2016-01-01,2016-12-31,152496.0,137364.0,137972.0,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,"Frederikssund, 250",2017-12-31,2017-01-01,false,-15132.0,40450720.0,DirektÃ¸r,Ingen bistand,urn:ofk:oid:25278138,indberetninger-20180424,2.5095785,29313814.0,,2018-04-10T10:03:22.005Z,2018-04-09T09:26:45.409Z,regnskab,0.0,,2017-12-31,2017-01-01,X18-AH-36-DE,2018-04-09T09:26:45.577Z,,,,,,,,,,,,,,,,,,,,
29313814,2017-01-01,2017-12-31,ID_6,,http://regnskaber.virk.dk/41831392/ZG9rdW1lbnRsYWdlcjovLzAzLzQzLzNiL2IwLzQ0L2MyMjMtNDVlYS04OGFmLWJjOTNjNTk5ODdkOQ.pdf,http://regnskaber.virk.dk/41831392/ZG9rdW1lbnRsYWdlcjovLzAzLzJkL2FiLzdhLzRhLzRlY2QtNDQ5NS04NGFlLTYwZTcwYWM0OWNmOQ.xml,true,"9200, Aalborg SV",Hobrovej 372,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31-12-2017 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 01-01-2017 - 31-12-2017.",2018-03-16,2018-03-16,2006-01-20,2018-03-16,,ee@kimegedal.dk,,Selskabet har i henhold til Ã¥rsregnskabslovens Â§86 stk. 4 undladt at udarbejde pengestrÃ¸msopgÃ¸relse.,,www.kimegedal.dk,29313814.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 01-01-2017 - 31-12-2017 for Egedal EntreprenÃ¸rfirma ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Kim Andersen,Nordea Bank,Egedal EntreprenÃ¸rfirma ApS,Bjarne Bilenberg,,StenlÃ¸se,2016-01-01,2016-12-31,-103400.0,,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,"Frederikssund, 250",2017-12-31,2017-01-01,false,,40450720.0,DirektÃ¸r,Ingen bistand,urn:ofk:oid:25278138,indberetninger-20180424,2.5095785,29313814.0,,2018-04-10T10:03:22.005Z,2018-04-09T09:26:45.409Z,regnskab,0.0,,2017-12-31,2017-01-01,X18-AH-36-DE,2018-04-09T09:26:45.577Z,,,,,,,,,,,,,,,,,,,,
29313814,2017-01-01,2017-12-31,ID_8,,http://regnskaber.virk.dk/41831392/ZG9rdW1lbnRsYWdlcjovLzAzLzQzLzNiL2IwLzQ0L2MyMjMtNDVlYS04OGFmLWJjOTNjNTk5ODdkOQ.pdf,http://regnskaber.virk.dk/41831392/ZG9rdW1lbnRsYWdlcjovLzAzLzJkL2FiLzdhLzRhLzRlY2QtNDQ5NS04NGFlLTYwZTcwYWM0OWNmOQ.xml,true,"9200, Aalborg SV",Hobrovej 372,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31-12-2017 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 01-01-2017 - 31-12-2017.",2018-03-16,2018-03-16,2006-01-20,2018-03-16,,ee@kimegedal.dk,,Selskabet har i henhold til Ã¥rsregnskabslovens Â§86 stk. 4 undladt at udarbejde pengestrÃ¸msopgÃ¸relse.,,www.kimegedal.dk,29313814.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 01-01-2017 - 31-12-2017 for Egedal EntreprenÃ¸rfirma ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Kim Andersen,Nordea Bank,Egedal EntreprenÃ¸rfirma ApS,Bjarne Bilenberg,,StenlÃ¸se,2016-01-01,2016-12-31,-49096.0,,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,"Frederikssund, 250",2017-12-31,2017-01-01,false,,40450720.0,DirektÃ¸r,Ingen bistand,urn:ofk:oid:25278138,indberetninger-20180424,2.5095785,29313814.0,,2018-04-10T10:03:22.005Z,2018-04-09T09:26:45.409Z,regnskab,0.0,,2017-12-31,2017-01-01,X18-AH-36-DE,2018-04-09T09:26:45.577Z,,,,,,,,,,,,,,,,,,,,
29313814,2017-12-31,2017-12-31,ID_3,,http://regnskaber.virk.dk/41831392/ZG9rdW1lbnRsYWdlcjovLzAzLzQzLzNiL2IwLzQ0L2MyMjMtNDVlYS04OGFmLWJjOTNjNTk5ODdkOQ.pdf,http://regnskaber.virk.dk/41831392/ZG9rdW1lbnRsYWdlcjovLzAzLzJkL2FiLzdhLzRhLzRlY2QtNDQ5NS04NGFlLTYwZTcwYWM0OWNmOQ.xml,true,"9200, Aalborg SV",Hobrovej 372,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31-12-2017 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 01-01-2017 - 31-12-2017.",2018-03-16,2018-03-16,2006-01-20,2018-03-16,,ee@kimegedal.dk,,Selskabet har i henhold til Ã¥rsregnskabslovens Â§86 stk. 4 undladt at udarbejde pengestrÃ¸msopgÃ¸relse.,,www.kimegedal.dk,29313814.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 01-01-2017 - 31-12-2017 for Egedal EntreprenÃ¸rfirma ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Kim Andersen,Nordea Bank,Egedal EntreprenÃ¸rfirma ApS,Bjarne Bilenberg,,StenlÃ¸se,2016-01-01,2016-12-31,,,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,"Frederikssund, 250",2017-12-31,2017-01-01,false,,40450720.0,DirektÃ¸r,Ingen bistand,urn:ofk:oid:25278138,indberetninger-20180424,2.5095785,29313814.0,,2018-04-10T10:03:22.005Z,2018-04-09T09:26:45.409Z,regnskab,0.0,,2017-12-31,2017-01-01,X18-AH-36-DE,2018-04-09T09:26:45.577Z,2985465.0,260518.0,125000.0,1726489.0,52246.0,2381873.0,1258976.0,2985465.0,603592.0,1258976.0,601382.0,3182.0,1258976.0,2200.0,2254673.0,603592.0,1465971.0,2210.0,1410543.0,
