entity,start_date,end_date,context,AARSRAPPORT_pdf,AARSRAPPORT_xml,AddressOfReportingEntityPostcodeAndTown,AddressOfReportingEntityStreetAndNumber,AddressOfSubmittingEnterprisePostcodeAndTown,AddressOfSubmittingEnterpriseStreetAndNumber,Assets,CashAndCashEquivalents,ClassOfReportingEntity,ConfirmationThatAnnualReportIsPresentedInAccordanceWithRequirementsProvidedForByLegislationAnyStandardsAndRequirementsProvidedByArticlesOfAssociationOrByAgreement,ConfirmationThatFinancialStatementsAreExemptedFromAuditing,ContributedCapital,CurrentAssets,DateOfAuditorsReportOnAuditedFinancialStatements,DateOfGeneralMeeting,EmployeeBenefitsExpense,Equity,GrossProfitLoss,IdentificationNumberCvrOfReportingEntity,IdentificationNumberCvrOfSubmittingEnterprise,IdentificationOfApprovedAnnualReport,InformationOnTypeOfSubmittedReport,IntangibleAssets,Inventories,LeaseholdImprovements,LiabilitiesAndEquity,LiabilitiesOtherThanProvisions,ManufacturedGoodsAndGoodsForResale,NameAndSurnameOfChairmanOfGeneralMeeting,NameOfReportingEntity,NameOfSubmittingEnterprise,NoncurrentAssets,OtherFinanceExpenses,OtherFinanceIncome,OtherShorttermPayables,OtherShorttermReceivables,PlaceOfCompilationOfAuditorsReportOnAuditedFinancialStatements,PrepaymentsForIntangibleAssets,ProfitLossFromOrdinaryActivitiesBeforeTax,ProfitLossFromOrdinaryOperatingActivities,PropertyPlantAndEquipment,Provisions,ProvisionsForDeferredTax,RegisteredOfficeOfReportingEntity,ReportingPeriodEndDate,ReportingPeriodStartDate,RetainedEarnings,ShorttermLiabilitiesOtherThanProvisions,ShorttermPayablesToShareholdersAndManagement,ShorttermReceivables,ShorttermReceivablesFromGroupEnterprises,ShorttermTaxPayables,ShorttermTradePayables,TaxExpenseOnOrdinaryActivities,TelephoneNumberOfReportingEntity,_id,_index,_score,cvrNummer,indlaesningsId,indlaesningsTidspunkt,offentliggoerelsesTidspunkt,offentliggoerelsestype,omgoerelse,regNummer,regnskabsperiode_slutDato,regnskabsperiode_startDato,sagsNummer,sidstOpdateret,ProfitLoss,NameAndSurnameOfMemberOfExecutiveBoard,TitleOfMemberOfExecutiveBoard
entity identifier,2011-11-29,2012-12-31,ID_0,http://regnskaber.virk.dk/85037043/Y3ZyLmRrOi8vcGRmcy8zNDA3MzA1ODtBcFM1MDMzOTQ7MjAxMTExMjk7MjAxMjEyMzE7UjtS.pdf,http://regnskaber.virk.dk/85037043/Y3ZyLmRrOi8veGJybHMvWC04NENGOTA0QS0yMDEzMDcxOV8xMDA1MzhfOTgw.xml,"6400, SÃ¸nderborg","Store RÃ¥dhusgade 13, Mongolien Barbeque ApS","SÃ¸nderborg, 6400",Istedvej,824119.0,302759.0,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er pÃ¥ generalforsamlingen vedtaget, at selskabets Ã¥rsregnskaber ikke skal revideres. Betingelserne for at undlade revision af Ã¥rsregnskabet er opfyldt.",-300000.0,401519.0,2013-01-20,2013-01-20,1813985.0,-395812.0,-1941866.0,34073058.0,33758405.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for 29-11-2011 - 31-12-2012 for Djengis Khan - .,Ãrsrapport,400000.0,22000.0,22600.0,-824119.0,-427407.0,22000.0,Sang Trinh,Djengis Khan -,Sang Trinh,422600.0,1137.0,-368.0,-118610.0,58139.0,SÃ¸nderborg,400000.0,-127112.0,-127881.0,22600.0,-900.0,-900.0,"540, SÃ¸nderborg",2012-12-31,2011-11-29,-95812.0,-427407.0,-200000.0,76760.0,18621.0,-30400.0,-78397.0,31300.0,74 43 28 99,urn:ofk:oid:14427496,indberetninger-20180424,2.512175,34073058.0,,2018-04-01T16:04:56.797Z,2013-08-15T22:00:00.000Z,regnskab,0.0,,2012-12-31,2011-11-29,13-7.649,2013-08-15T22:00:00.000Z,,,
entity identifier,2011-11-29,2012-12-31,ID_1,http://regnskaber.virk.dk/85037043/Y3ZyLmRrOi8vcGRmcy8zNDA3MzA1ODtBcFM1MDMzOTQ7MjAxMTExMjk7MjAxMjEyMzE7UjtS.pdf,http://regnskaber.virk.dk/85037043/Y3ZyLmRrOi8veGJybHMvWC04NENGOTA0QS0yMDEzMDcxOV8xMDA1MzhfOTgw.xml,"6400, SÃ¸nderborg","Store RÃ¥dhusgade 13, Mongolien Barbeque ApS","SÃ¸nderborg, 6400",Istedvej,824119.0,302759.0,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er pÃ¥ generalforsamlingen vedtaget, at selskabets Ã¥rsregnskaber ikke skal revideres. Betingelserne for at undlade revision af Ã¥rsregnskabet er opfyldt.",-300000.0,401519.0,2013-01-20,2013-01-20,1813985.0,-395812.0,-1941866.0,34073058.0,33758405.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for 29-11-2011 - 31-12-2012 for Djengis Khan - .,Ãrsrapport,400000.0,22000.0,22600.0,-824119.0,-427407.0,22000.0,Sang Trinh,Djengis Khan -,Sang Trinh,422600.0,1137.0,-368.0,-118610.0,58139.0,SÃ¸nderborg,400000.0,-127112.0,-127881.0,22600.0,-900.0,-900.0,"540, SÃ¸nderborg",2012-12-31,2011-11-29,-95812.0,-427407.0,-200000.0,76760.0,18621.0,-30400.0,-78397.0,31300.0,74 43 28 99,urn:ofk:oid:14427496,indberetninger-20180424,2.512175,34073058.0,,2018-04-01T16:04:56.797Z,2013-08-15T22:00:00.000Z,regnskab,0.0,,2012-12-31,2011-11-29,13-7.649,2013-08-15T22:00:00.000Z,,,
entity identifier,2011-11-29,2012-12-31,ID_10,http://regnskaber.virk.dk/85037043/Y3ZyLmRrOi8vcGRmcy8zNDA3MzA1ODtBcFM1MDMzOTQ7MjAxMTExMjk7MjAxMjEyMzE7UjtS.pdf,http://regnskaber.virk.dk/85037043/Y3ZyLmRrOi8veGJybHMvWC04NENGOTA0QS0yMDEzMDcxOV8xMDA1MzhfOTgw.xml,"6400, SÃ¸nderborg","Store RÃ¥dhusgade 13, Mongolien Barbeque ApS","SÃ¸nderborg, 6400",Istedvej,824119.0,302759.0,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er pÃ¥ generalforsamlingen vedtaget, at selskabets Ã¥rsregnskaber ikke skal revideres. Betingelserne for at undlade revision af Ã¥rsregnskabet er opfyldt.",-300000.0,401519.0,2013-01-20,2013-01-20,1813985.0,-395812.0,-1941866.0,34073058.0,33758405.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for 29-11-2011 - 31-12-2012 for Djengis Khan - .,Ãrsrapport,400000.0,22000.0,22600.0,-824119.0,-427407.0,22000.0,Sang Trinh,Djengis Khan -,Sang Trinh,422600.0,1137.0,-368.0,-118610.0,58139.0,SÃ¸nderborg,400000.0,-127112.0,-127881.0,22600.0,-900.0,-900.0,"540, SÃ¸nderborg",2012-12-31,2011-11-29,-95812.0,-427407.0,-200000.0,76760.0,18621.0,-30400.0,-78397.0,31300.0,74 43 28 99,urn:ofk:oid:14427496,indberetninger-20180424,2.512175,34073058.0,,2018-04-01T16:04:56.797Z,2013-08-15T22:00:00.000Z,regnskab,0.0,,2012-12-31,2011-11-29,13-7.649,2013-08-15T22:00:00.000Z,95812.0,,
entity identifier,2011-11-29,2012-12-31,ID_12,http://regnskaber.virk.dk/85037043/Y3ZyLmRrOi8vcGRmcy8zNDA3MzA1ODtBcFM1MDMzOTQ7MjAxMTExMjk7MjAxMjEyMzE7UjtS.pdf,http://regnskaber.virk.dk/85037043/Y3ZyLmRrOi8veGJybHMvWC04NENGOTA0QS0yMDEzMDcxOV8xMDA1MzhfOTgw.xml,"6400, SÃ¸nderborg","Store RÃ¥dhusgade 13, Mongolien Barbeque ApS","SÃ¸nderborg, 6400",Istedvej,824119.0,302759.0,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er pÃ¥ generalforsamlingen vedtaget, at selskabets Ã¥rsregnskaber ikke skal revideres. Betingelserne for at undlade revision af Ã¥rsregnskabet er opfyldt.",-300000.0,401519.0,2013-01-20,2013-01-20,1813985.0,-395812.0,-1941866.0,34073058.0,33758405.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for 29-11-2011 - 31-12-2012 for Djengis Khan - .,Ãrsrapport,400000.0,22000.0,22600.0,-824119.0,-427407.0,22000.0,Sang Trinh,Djengis Khan -,Sang Trinh,422600.0,1137.0,-368.0,-118610.0,58139.0,SÃ¸nderborg,400000.0,-127112.0,-127881.0,22600.0,-900.0,-900.0,"540, SÃ¸nderborg",2012-12-31,2011-11-29,-95812.0,-427407.0,-200000.0,76760.0,18621.0,-30400.0,-78397.0,31300.0,74 43 28 99,urn:ofk:oid:14427496,indberetninger-20180424,2.512175,34073058.0,,2018-04-01T16:04:56.797Z,2013-08-15T22:00:00.000Z,regnskab,0.0,,2012-12-31,2011-11-29,13-7.649,2013-08-15T22:00:00.000Z,,,
entity identifier,2011-11-29,2012-12-31,ID_13,http://regnskaber.virk.dk/85037043/Y3ZyLmRrOi8vcGRmcy8zNDA3MzA1ODtBcFM1MDMzOTQ7MjAxMTExMjk7MjAxMjEyMzE7UjtS.pdf,http://regnskaber.virk.dk/85037043/Y3ZyLmRrOi8veGJybHMvWC04NENGOTA0QS0yMDEzMDcxOV8xMDA1MzhfOTgw.xml,"6400, SÃ¸nderborg","Store RÃ¥dhusgade 13, Mongolien Barbeque ApS","SÃ¸nderborg, 6400",Istedvej,824119.0,302759.0,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er pÃ¥ generalforsamlingen vedtaget, at selskabets Ã¥rsregnskaber ikke skal revideres. Betingelserne for at undlade revision af Ã¥rsregnskabet er opfyldt.",-300000.0,401519.0,2013-01-20,2013-01-20,1813985.0,-395812.0,-1941866.0,34073058.0,33758405.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for 29-11-2011 - 31-12-2012 for Djengis Khan - .,Ãrsrapport,400000.0,22000.0,22600.0,-824119.0,-427407.0,22000.0,Sang Trinh,Djengis Khan -,Sang Trinh,422600.0,1137.0,-368.0,-118610.0,58139.0,SÃ¸nderborg,400000.0,-127112.0,-127881.0,22600.0,-900.0,-900.0,"540, SÃ¸nderborg",2012-12-31,2011-11-29,-95812.0,-427407.0,-200000.0,76760.0,18621.0,-30400.0,-78397.0,31300.0,74 43 28 99,urn:ofk:oid:14427496,indberetninger-20180424,2.512175,34073058.0,,2018-04-01T16:04:56.797Z,2013-08-15T22:00:00.000Z,regnskab,0.0,,2012-12-31,2011-11-29,13-7.649,2013-08-15T22:00:00.000Z,,,
entity identifier,2011-11-29,2012-12-31,ID_14,http://regnskaber.virk.dk/85037043/Y3ZyLmRrOi8vcGRmcy8zNDA3MzA1ODtBcFM1MDMzOTQ7MjAxMTExMjk7MjAxMjEyMzE7UjtS.pdf,http://regnskaber.virk.dk/85037043/Y3ZyLmRrOi8veGJybHMvWC04NENGOTA0QS0yMDEzMDcxOV8xMDA1MzhfOTgw.xml,"6400, SÃ¸nderborg","Store RÃ¥dhusgade 13, Mongolien Barbeque ApS","SÃ¸nderborg, 6400",Istedvej,824119.0,302759.0,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er pÃ¥ generalforsamlingen vedtaget, at selskabets Ã¥rsregnskaber ikke skal revideres. Betingelserne for at undlade revision af Ã¥rsregnskabet er opfyldt.",-300000.0,401519.0,2013-01-20,2013-01-20,1813985.0,-395812.0,-1941866.0,34073058.0,33758405.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for 29-11-2011 - 31-12-2012 for Djengis Khan - .,Ãrsrapport,400000.0,22000.0,22600.0,-824119.0,-427407.0,22000.0,Sang Trinh,Djengis Khan -,Sang Trinh,422600.0,1137.0,-368.0,-118610.0,58139.0,SÃ¸nderborg,400000.0,-127112.0,-127881.0,22600.0,-900.0,-900.0,"540, SÃ¸nderborg",2012-12-31,2011-11-29,-95812.0,-427407.0,-200000.0,76760.0,18621.0,-30400.0,-78397.0,31300.0,74 43 28 99,urn:ofk:oid:14427496,indberetninger-20180424,2.512175,34073058.0,,2018-04-01T16:04:56.797Z,2013-08-15T22:00:00.000Z,regnskab,0.0,,2012-12-31,2011-11-29,13-7.649,2013-08-15T22:00:00.000Z,,,
entity identifier,2011-11-29,2012-12-31,ID_2,http://regnskaber.virk.dk/85037043/Y3ZyLmRrOi8vcGRmcy8zNDA3MzA1ODtBcFM1MDMzOTQ7MjAxMTExMjk7MjAxMjEyMzE7UjtS.pdf,http://regnskaber.virk.dk/85037043/Y3ZyLmRrOi8veGJybHMvWC04NENGOTA0QS0yMDEzMDcxOV8xMDA1MzhfOTgw.xml,"6400, SÃ¸nderborg","Store RÃ¥dhusgade 13, Mongolien Barbeque ApS","SÃ¸nderborg, 6400",Istedvej,824119.0,302759.0,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er pÃ¥ generalforsamlingen vedtaget, at selskabets Ã¥rsregnskaber ikke skal revideres. Betingelserne for at undlade revision af Ã¥rsregnskabet er opfyldt.",-300000.0,401519.0,2013-01-20,2013-01-20,1813985.0,-395812.0,-1941866.0,34073058.0,33758405.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for 29-11-2011 - 31-12-2012 for Djengis Khan - .,Ãrsrapport,400000.0,22000.0,22600.0,-824119.0,-427407.0,22000.0,Sang Trinh,Djengis Khan -,Sang Trinh,422600.0,1137.0,-368.0,-118610.0,58139.0,SÃ¸nderborg,400000.0,-127112.0,-127881.0,22600.0,-900.0,-900.0,"540, SÃ¸nderborg",2012-12-31,2011-11-29,-95812.0,-427407.0,-200000.0,76760.0,18621.0,-30400.0,-78397.0,31300.0,74 43 28 99,urn:ofk:oid:14427496,indberetninger-20180424,2.512175,34073058.0,,2018-04-01T16:04:56.797Z,2013-08-15T22:00:00.000Z,regnskab,0.0,,2012-12-31,2011-11-29,13-7.649,2013-08-15T22:00:00.000Z,,Thi Bay Vu,DirektÃ¸r
entity identifier,2011-11-29,2012-12-31,ID_3,http://regnskaber.virk.dk/85037043/Y3ZyLmRrOi8vcGRmcy8zNDA3MzA1ODtBcFM1MDMzOTQ7MjAxMTExMjk7MjAxMjEyMzE7UjtS.pdf,http://regnskaber.virk.dk/85037043/Y3ZyLmRrOi8veGJybHMvWC04NENGOTA0QS0yMDEzMDcxOV8xMDA1MzhfOTgw.xml,"6400, SÃ¸nderborg","Store RÃ¥dhusgade 13, Mongolien Barbeque ApS","SÃ¸nderborg, 6400",Istedvej,824119.0,302759.0,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er pÃ¥ generalforsamlingen vedtaget, at selskabets Ã¥rsregnskaber ikke skal revideres. Betingelserne for at undlade revision af Ã¥rsregnskabet er opfyldt.",-300000.0,401519.0,2013-01-20,2013-01-20,1813985.0,-395812.0,-1941866.0,34073058.0,33758405.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for 29-11-2011 - 31-12-2012 for Djengis Khan - .,Ãrsrapport,400000.0,22000.0,22600.0,-824119.0,-427407.0,22000.0,Sang Trinh,Djengis Khan -,Sang Trinh,422600.0,1137.0,-368.0,-118610.0,58139.0,SÃ¸nderborg,400000.0,-127112.0,-127881.0,22600.0,-900.0,-900.0,"540, SÃ¸nderborg",2012-12-31,2011-11-29,-95812.0,-427407.0,-200000.0,76760.0,18621.0,-30400.0,-78397.0,31300.0,74 43 28 99,urn:ofk:oid:14427496,indberetninger-20180424,2.512175,34073058.0,,2018-04-01T16:04:56.797Z,2013-08-15T22:00:00.000Z,regnskab,0.0,,2012-12-31,2011-11-29,13-7.649,2013-08-15T22:00:00.000Z,,Sang  Trinh,DirektÃ¸r
entity identifier,2011-11-29,2012-12-31,ID_4,http://regnskaber.virk.dk/85037043/Y3ZyLmRrOi8vcGRmcy8zNDA3MzA1ODtBcFM1MDMzOTQ7MjAxMTExMjk7MjAxMjEyMzE7UjtS.pdf,http://regnskaber.virk.dk/85037043/Y3ZyLmRrOi8veGJybHMvWC04NENGOTA0QS0yMDEzMDcxOV8xMDA1MzhfOTgw.xml,"6400, SÃ¸nderborg","Store RÃ¥dhusgade 13, Mongolien Barbeque ApS","SÃ¸nderborg, 6400",Istedvej,824119.0,302759.0,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er pÃ¥ generalforsamlingen vedtaget, at selskabets Ã¥rsregnskaber ikke skal revideres. Betingelserne for at undlade revision af Ã¥rsregnskabet er opfyldt.",-300000.0,401519.0,2013-01-20,2013-01-20,1813985.0,-395812.0,-1941866.0,34073058.0,33758405.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for 29-11-2011 - 31-12-2012 for Djengis Khan - .,Ãrsrapport,400000.0,22000.0,22600.0,-824119.0,-427407.0,22000.0,Sang Trinh,Djengis Khan -,Sang Trinh,422600.0,1137.0,-368.0,-118610.0,58139.0,SÃ¸nderborg,400000.0,-127112.0,-127881.0,22600.0,-900.0,-900.0,"540, SÃ¸nderborg",2012-12-31,2011-11-29,-95812.0,-427407.0,-200000.0,76760.0,18621.0,-30400.0,-78397.0,31300.0,74 43 28 99,urn:ofk:oid:14427496,indberetninger-20180424,2.512175,34073058.0,,2018-04-01T16:04:56.797Z,2013-08-15T22:00:00.000Z,regnskab,0.0,,2012-12-31,2011-11-29,13-7.649,2013-08-15T22:00:00.000Z,,,
entity identifier,2011-11-29,2012-12-31,ID_5,http://regnskaber.virk.dk/85037043/Y3ZyLmRrOi8vcGRmcy8zNDA3MzA1ODtBcFM1MDMzOTQ7MjAxMTExMjk7MjAxMjEyMzE7UjtS.pdf,http://regnskaber.virk.dk/85037043/Y3ZyLmRrOi8veGJybHMvWC04NENGOTA0QS0yMDEzMDcxOV8xMDA1MzhfOTgw.xml,"6400, SÃ¸nderborg","Store RÃ¥dhusgade 13, Mongolien Barbeque ApS","SÃ¸nderborg, 6400",Istedvej,824119.0,302759.0,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er pÃ¥ generalforsamlingen vedtaget, at selskabets Ã¥rsregnskaber ikke skal revideres. Betingelserne for at undlade revision af Ã¥rsregnskabet er opfyldt.",-300000.0,401519.0,2013-01-20,2013-01-20,1813985.0,-395812.0,-1941866.0,34073058.0,33758405.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for 29-11-2011 - 31-12-2012 for Djengis Khan - .,Ãrsrapport,400000.0,22000.0,22600.0,-824119.0,-427407.0,22000.0,Sang Trinh,Djengis Khan -,Sang Trinh,422600.0,1137.0,-368.0,-118610.0,58139.0,SÃ¸nderborg,400000.0,-127112.0,-127881.0,22600.0,-900.0,-900.0,"540, SÃ¸nderborg",2012-12-31,2011-11-29,-95812.0,-427407.0,-200000.0,76760.0,18621.0,-30400.0,-78397.0,31300.0,74 43 28 99,urn:ofk:oid:14427496,indberetninger-20180424,2.512175,34073058.0,,2018-04-01T16:04:56.797Z,2013-08-15T22:00:00.000Z,regnskab,0.0,,2012-12-31,2011-11-29,13-7.649,2013-08-15T22:00:00.000Z,,,
