entity,start_date,end_date,context,AARSRAPPORT_pdf,AARSRAPPORT_xml,AddressOfReportingEntityPostcodeAndTown,AddressOfReportingEntityStreetAndNumber,AddressOfSubmittingEnterprisePostcodeAndTown,AddressOfSubmittingEnterpriseStreetAndNumber,ClassOfReportingEntity,ConfirmationThatFinancialStatementsAreExemptedFromAuditing,DateOfFoundationOfReportingEntity,DateOfGeneralMeeting,DescriptionOfAuditor,IdentificationNumberCvrOfAuditFirm,IdentificationNumberCvrOfReportingEntity,IdentificationNumberCvrOfSubmittingEnterprise,InformationOnTypeOfSubmittedReport,NameAndSurnameOfAuditor,NameAndSurnameOfChairmanOfGeneralMeeting,NameAndSurnameOfMemberOfExecutiveBoard,NameOfAuditFirm,NameOfReportingEntity,NameOfSubmittingEnterprise,ProfitLoss,ReportingPeriodEndDate,ReportingPeriodStartDate,SignatureOfAuditorsDate,SignatureOfAuditorsPlace,TitleOfMemberOfExecutiveBoard,_id,_index,_score,cvrNummer,indlaesningsId,indlaesningsTidspunkt,offentliggoerelsesTidspunkt,offentliggoerelsestype,omgoerelse,regNummer,regnskabsperiode_slutDato,regnskabsperiode_startDato,sagsNummer,sidstOpdateret,GrossResult,OtherExternalExpenses,OtherFinanceExpenses,OtherFinanceIncome,ProfitLossFromOrdinaryActivitiesBeforeTax,ProfitLossFromOrdinaryOperatingActivities,TaxExpenseOnOrdinaryActivities,Assets,CashAndCashEquivalents,ContributedCapital,CurrentAssets,Equity,LiabilitiesAndEquity,LiabilitiesOtherThanProvisions,OtherShorttermInvestments,ProposedDividend,RetainedEarnings,ShorttermInvestments,ShorttermLiabilitiesOtherThanProvisions,ShorttermReceivables,ShorttermTaxPayables
entity identifier,2011-07-01,2012-06-30,ID_10,http://regnskaber.virk.dk/55704852/Y3ZyLmRrOi8vcGRmcy8yNTg0MDc1NTtBcFMyODEzODA7MjAxMjA3MDE7MjAxMzA2MzA7UjtS.pdf,http://regnskaber.virk.dk/55704852/Y3ZyLmRrOi8veGJybHMvWC02NTQ1QjRBQS0yMDEzMDkxNl8xMDAyMTBfNjc3.xml,"ÃlsgÃ¥rde, 3140","c/o Klaus Bech, OdinshÃ¸jvej 52","Kastrup, 2770",TÃ¸mmerupvej 75,Regnskabsklasse B,"Det er pÃ¥ generalforsamlingen vedtaget, at selskabets Ã¥rsrapporter ikke skal revideres. Betingelserne for at undlade revision af Ã¥rsrapporten er opfyldt.",2001-01-01,2013-09-15,Registreret revisor,13254192.0,25840755.0,13254192.0,Ãrsrapport,Lennart Gutfelt Skalbo,Klaus Bech,Klaus Bech,Revisionsfirmaet Gutfelt & Partnere A/S,Gurmer Invest ApS,Revisionsfirmaet Gutfelt & Partnere A/S,0.0,2013-06-30,2012-07-01,2013-09-01,Kastrup,DirektÃ¸r,urn:ofk:oid:16271511,indberetninger-20180424,2.5124211,25840755,,2018-04-01T17:46:33.353Z,2013-09-16T22:00:00.000Z,regnskab,0.0,,2013-06-30,2012-07-01,13-281.919,2013-09-16T22:00:00.000Z,,,,,,,,,,,,,,,,,,,,,
entity identifier,2011-07-01,2012-06-30,ID_12,http://regnskaber.virk.dk/55704852/Y3ZyLmRrOi8vcGRmcy8yNTg0MDc1NTtBcFMyODEzODA7MjAxMjA3MDE7MjAxMzA2MzA7UjtS.pdf,http://regnskaber.virk.dk/55704852/Y3ZyLmRrOi8veGJybHMvWC02NTQ1QjRBQS0yMDEzMDkxNl8xMDAyMTBfNjc3.xml,"ÃlsgÃ¥rde, 3140","c/o Klaus Bech, OdinshÃ¸jvej 52","Kastrup, 2770",TÃ¸mmerupvej 75,Regnskabsklasse B,"Det er pÃ¥ generalforsamlingen vedtaget, at selskabets Ã¥rsrapporter ikke skal revideres. Betingelserne for at undlade revision af Ã¥rsrapporten er opfyldt.",2001-01-01,2013-09-15,Registreret revisor,13254192.0,25840755.0,13254192.0,Ãrsrapport,Lennart Gutfelt Skalbo,Klaus Bech,Klaus Bech,Revisionsfirmaet Gutfelt & Partnere A/S,Gurmer Invest ApS,Revisionsfirmaet Gutfelt & Partnere A/S,21690600.0,2013-06-30,2012-07-01,2013-09-01,Kastrup,DirektÃ¸r,urn:ofk:oid:16271511,indberetninger-20180424,2.5124211,25840755,,2018-04-01T17:46:33.353Z,2013-09-16T22:00:00.000Z,regnskab,0.0,,2013-06-30,2012-07-01,13-281.919,2013-09-16T22:00:00.000Z,,,,,,,,,,,,,,,,,,,,,
entity identifier,2011-07-01,2012-06-30,ID_14,http://regnskaber.virk.dk/55704852/Y3ZyLmRrOi8vcGRmcy8yNTg0MDc1NTtBcFMyODEzODA7MjAxMjA3MDE7MjAxMzA2MzA7UjtS.pdf,http://regnskaber.virk.dk/55704852/Y3ZyLmRrOi8veGJybHMvWC02NTQ1QjRBQS0yMDEzMDkxNl8xMDAyMTBfNjc3.xml,"ÃlsgÃ¥rde, 3140","c/o Klaus Bech, OdinshÃ¸jvej 52","Kastrup, 2770",TÃ¸mmerupvej 75,Regnskabsklasse B,"Det er pÃ¥ generalforsamlingen vedtaget, at selskabets Ã¥rsrapporter ikke skal revideres. Betingelserne for at undlade revision af Ã¥rsrapporten er opfyldt.",2001-01-01,2013-09-15,Registreret revisor,13254192.0,25840755.0,13254192.0,Ãrsrapport,Lennart Gutfelt Skalbo,Klaus Bech,Klaus Bech,Revisionsfirmaet Gutfelt & Partnere A/S,Gurmer Invest ApS,Revisionsfirmaet Gutfelt & Partnere A/S,21690600.0,2013-06-30,2012-07-01,2013-09-01,Kastrup,DirektÃ¸r,urn:ofk:oid:16271511,indberetninger-20180424,2.5124211,25840755,,2018-04-01T17:46:33.353Z,2013-09-16T22:00:00.000Z,regnskab,0.0,,2013-06-30,2012-07-01,13-281.919,2013-09-16T22:00:00.000Z,,,,,,,,,,,,,,,,,,,,,
entity identifier,2011-07-01,2012-06-30,ID_8,http://regnskaber.virk.dk/55704852/Y3ZyLmRrOi8vcGRmcy8yNTg0MDc1NTtBcFMyODEzODA7MjAxMjA3MDE7MjAxMzA2MzA7UjtS.pdf,http://regnskaber.virk.dk/55704852/Y3ZyLmRrOi8veGJybHMvWC02NTQ1QjRBQS0yMDEzMDkxNl8xMDAyMTBfNjc3.xml,"ÃlsgÃ¥rde, 3140","c/o Klaus Bech, OdinshÃ¸jvej 52","Kastrup, 2770",TÃ¸mmerupvej 75,Regnskabsklasse B,"Det er pÃ¥ generalforsamlingen vedtaget, at selskabets Ã¥rsrapporter ikke skal revideres. Betingelserne for at undlade revision af Ã¥rsrapporten er opfyldt.",2001-01-01,2013-09-15,Registreret revisor,13254192.0,25840755.0,13254192.0,Ãrsrapport,Lennart Gutfelt Skalbo,Klaus Bech,Klaus Bech,Revisionsfirmaet Gutfelt & Partnere A/S,Gurmer Invest ApS,Revisionsfirmaet Gutfelt & Partnere A/S,-632339.0,2013-06-30,2012-07-01,2013-09-01,Kastrup,DirektÃ¸r,urn:ofk:oid:16271511,indberetninger-20180424,2.5124211,25840755,,2018-04-01T17:46:33.353Z,2013-09-16T22:00:00.000Z,regnskab,0.0,,2013-06-30,2012-07-01,13-281.919,2013-09-16T22:00:00.000Z,45695.0,45695.0,253013.0,-1141797.0,-843089.0,45695.0,210750.0,,,,,,,,,,,,,,
entity identifier,2012-06-30,2012-06-30,ID_16,http://regnskaber.virk.dk/55704852/Y3ZyLmRrOi8vcGRmcy8yNTg0MDc1NTtBcFMyODEzODA7MjAxMjA3MDE7MjAxMzA2MzA7UjtS.pdf,http://regnskaber.virk.dk/55704852/Y3ZyLmRrOi8veGJybHMvWC02NTQ1QjRBQS0yMDEzMDkxNl8xMDAyMTBfNjc3.xml,"ÃlsgÃ¥rde, 3140","c/o Klaus Bech, OdinshÃ¸jvej 52","Kastrup, 2770",TÃ¸mmerupvej 75,Regnskabsklasse B,"Det er pÃ¥ generalforsamlingen vedtaget, at selskabets Ã¥rsrapporter ikke skal revideres. Betingelserne for at undlade revision af Ã¥rsrapporten er opfyldt.",2001-01-01,2013-09-15,Registreret revisor,13254192.0,25840755.0,13254192.0,Ãrsrapport,Lennart Gutfelt Skalbo,Klaus Bech,Klaus Bech,Revisionsfirmaet Gutfelt & Partnere A/S,Gurmer Invest ApS,Revisionsfirmaet Gutfelt & Partnere A/S,,2013-06-30,2012-07-01,2013-09-01,Kastrup,DirektÃ¸r,urn:ofk:oid:16271511,indberetninger-20180424,2.5124211,25840755,,2018-04-01T17:46:33.353Z,2013-09-16T22:00:00.000Z,regnskab,0.0,,2013-06-30,2012-07-01,13-281.919,2013-09-16T22:00:00.000Z,,,,,,,,21988843.0,2087865.0,-125000.0,21988843.0,-21815600.0,-21988843.0,-173243.0,19415009.0,0.0,-21690600.0,19415009.0,-173243.0,485969.0,-170743.0
entity identifier,2012-07-01,2013-06-30,ID_0,http://regnskaber.virk.dk/55704852/Y3ZyLmRrOi8vcGRmcy8yNTg0MDc1NTtBcFMyODEzODA7MjAxMjA3MDE7MjAxMzA2MzA7UjtS.pdf,http://regnskaber.virk.dk/55704852/Y3ZyLmRrOi8veGJybHMvWC02NTQ1QjRBQS0yMDEzMDkxNl8xMDAyMTBfNjc3.xml,"ÃlsgÃ¥rde, 3140","c/o Klaus Bech, OdinshÃ¸jvej 52","Kastrup, 2770",TÃ¸mmerupvej 75,Regnskabsklasse B,"Det er pÃ¥ generalforsamlingen vedtaget, at selskabets Ã¥rsrapporter ikke skal revideres. Betingelserne for at undlade revision af Ã¥rsrapporten er opfyldt.",2001-01-01,2013-09-15,Registreret revisor,13254192.0,25840755.0,13254192.0,Ãrsrapport,Lennart Gutfelt Skalbo,Klaus Bech,Klaus Bech,Revisionsfirmaet Gutfelt & Partnere A/S,Gurmer Invest ApS,Revisionsfirmaet Gutfelt & Partnere A/S,,2013-06-30,2012-07-01,2013-09-01,Kastrup,DirektÃ¸r,urn:ofk:oid:16271511,indberetninger-20180424,2.5124211,25840755,,2018-04-01T17:46:33.353Z,2013-09-16T22:00:00.000Z,regnskab,0.0,,2013-06-30,2012-07-01,13-281.919,2013-09-16T22:00:00.000Z,,,,,,,,,,,,,,,,,,,,,
entity identifier,2012-07-01,2013-06-30,ID_1,http://regnskaber.virk.dk/55704852/Y3ZyLmRrOi8vcGRmcy8yNTg0MDc1NTtBcFMyODEzODA7MjAxMjA3MDE7MjAxMzA2MzA7UjtS.pdf,http://regnskaber.virk.dk/55704852/Y3ZyLmRrOi8veGJybHMvWC02NTQ1QjRBQS0yMDEzMDkxNl8xMDAyMTBfNjc3.xml,"ÃlsgÃ¥rde, 3140","c/o Klaus Bech, OdinshÃ¸jvej 52","Kastrup, 2770",TÃ¸mmerupvej 75,Regnskabsklasse B,"Det er pÃ¥ generalforsamlingen vedtaget, at selskabets Ã¥rsrapporter ikke skal revideres. Betingelserne for at undlade revision af Ã¥rsrapporten er opfyldt.",2001-01-01,2013-09-15,Registreret revisor,13254192.0,25840755.0,13254192.0,Ãrsrapport,Lennart Gutfelt Skalbo,Klaus Bech,Klaus Bech,Revisionsfirmaet Gutfelt & Partnere A/S,Gurmer Invest ApS,Revisionsfirmaet Gutfelt & Partnere A/S,,2013-06-30,2012-07-01,2013-09-01,Kastrup,DirektÃ¸r,urn:ofk:oid:16271511,indberetninger-20180424,2.5124211,25840755,,2018-04-01T17:46:33.353Z,2013-09-16T22:00:00.000Z,regnskab,0.0,,2013-06-30,2012-07-01,13-281.919,2013-09-16T22:00:00.000Z,,,,,,,,,,,,,,,,,,,,,
entity identifier,2012-07-01,2013-06-30,ID_11,http://regnskaber.virk.dk/55704852/Y3ZyLmRrOi8vcGRmcy8yNTg0MDc1NTtBcFMyODEzODA7MjAxMjA3MDE7MjAxMzA2MzA7UjtS.pdf,http://regnskaber.virk.dk/55704852/Y3ZyLmRrOi8veGJybHMvWC02NTQ1QjRBQS0yMDEzMDkxNl8xMDAyMTBfNjc3.xml,"ÃlsgÃ¥rde, 3140","c/o Klaus Bech, OdinshÃ¸jvej 52","Kastrup, 2770",TÃ¸mmerupvej 75,Regnskabsklasse B,"Det er pÃ¥ generalforsamlingen vedtaget, at selskabets Ã¥rsrapporter ikke skal revideres. Betingelserne for at undlade revision af Ã¥rsrapporten er opfyldt.",2001-01-01,2013-09-15,Registreret revisor,13254192.0,25840755.0,13254192.0,Ãrsrapport,Lennart Gutfelt Skalbo,Klaus Bech,Klaus Bech,Revisionsfirmaet Gutfelt & Partnere A/S,Gurmer Invest ApS,Revisionsfirmaet Gutfelt & Partnere A/S,22394403.0,2013-06-30,2012-07-01,2013-09-01,Kastrup,DirektÃ¸r,urn:ofk:oid:16271511,indberetninger-20180424,2.5124211,25840755,,2018-04-01T17:46:33.353Z,2013-09-16T22:00:00.000Z,regnskab,0.0,,2013-06-30,2012-07-01,13-281.919,2013-09-16T22:00:00.000Z,,,,,,,,,,,,,,,,,,,,,
entity identifier,2012-07-01,2013-06-30,ID_13,http://regnskaber.virk.dk/55704852/Y3ZyLmRrOi8vcGRmcy8yNTg0MDc1NTtBcFMyODEzODA7MjAxMjA3MDE7MjAxMzA2MzA7UjtS.pdf,http://regnskaber.virk.dk/55704852/Y3ZyLmRrOi8veGJybHMvWC02NTQ1QjRBQS0yMDEzMDkxNl8xMDAyMTBfNjc3.xml,"ÃlsgÃ¥rde, 3140","c/o Klaus Bech, OdinshÃ¸jvej 52","Kastrup, 2770",TÃ¸mmerupvej 75,Regnskabsklasse B,"Det er pÃ¥ generalforsamlingen vedtaget, at selskabets Ã¥rsrapporter ikke skal revideres. Betingelserne for at undlade revision af Ã¥rsrapporten er opfyldt.",2001-01-01,2013-09-15,Registreret revisor,13254192.0,25840755.0,13254192.0,Ãrsrapport,Lennart Gutfelt Skalbo,Klaus Bech,Klaus Bech,Revisionsfirmaet Gutfelt & Partnere A/S,Gurmer Invest ApS,Revisionsfirmaet Gutfelt & Partnere A/S,23394403.0,2013-06-30,2012-07-01,2013-09-01,Kastrup,DirektÃ¸r,urn:ofk:oid:16271511,indberetninger-20180424,2.5124211,25840755,,2018-04-01T17:46:33.353Z,2013-09-16T22:00:00.000Z,regnskab,0.0,,2013-06-30,2012-07-01,13-281.919,2013-09-16T22:00:00.000Z,,,,,,,,,,,,,,,,,,,,,
entity identifier,2012-07-01,2013-06-30,ID_17,http://regnskaber.virk.dk/55704852/Y3ZyLmRrOi8vcGRmcy8yNTg0MDc1NTtBcFMyODEzODA7MjAxMjA3MDE7MjAxMzA2MzA7UjtS.pdf,http://regnskaber.virk.dk/55704852/Y3ZyLmRrOi8veGJybHMvWC02NTQ1QjRBQS0yMDEzMDkxNl8xMDAyMTBfNjc3.xml,"ÃlsgÃ¥rde, 3140","c/o Klaus Bech, OdinshÃ¸jvej 52","Kastrup, 2770",TÃ¸mmerupvej 75,Regnskabsklasse B,"Det er pÃ¥ generalforsamlingen vedtaget, at selskabets Ã¥rsrapporter ikke skal revideres. Betingelserne for at undlade revision af Ã¥rsrapporten er opfyldt.",2001-01-01,2013-09-15,Registreret revisor,13254192.0,25840755.0,13254192.0,Ãrsrapport,Lennart Gutfelt Skalbo,Klaus Bech,Klaus Bech,Revisionsfirmaet Gutfelt & Partnere A/S,Gurmer Invest ApS,Revisionsfirmaet Gutfelt & Partnere A/S,,2013-06-30,2012-07-01,2013-09-01,Kastrup,DirektÃ¸r,urn:ofk:oid:16271511,indberetninger-20180424,2.5124211,25840755,,2018-04-01T17:46:33.353Z,2013-09-16T22:00:00.000Z,regnskab,0.0,,2013-06-30,2012-07-01,13-281.919,2013-09-16T22:00:00.000Z,,,,,,,,,,,,,,,,,,,,,
