entity,start_date,end_date,context,AARSRAPPORT_pdf,AARSRAPPORT_xml,AddressOfReportingEntityPostcodeAndTown,AddressOfReportingEntityStreetAndNumber,AddressOfSubmittingEnterprisePostcodeAndTown,AddressOfSubmittingEnterpriseStreetAndNumber,ClassOfReportingEntity,ConfirmationThatFinancialStatementsAreExemptedFromAuditing,DateOfFoundationOfReportingEntity,DateOfGeneralMeeting,DescriptionOfAuditor,IdentificationNumberCvrOfAuditFirm,IdentificationNumberCvrOfReportingEntity,IdentificationNumberCvrOfSubmittingEnterprise,InformationOnTypeOfSubmittedReport,NameAndSurnameOfAuditor,NameAndSurnameOfChairmanOfGeneralMeeting,NameAndSurnameOfMemberOfExecutiveBoard,NameOfAuditFirm,NameOfReportingEntity,NameOfSubmittingEnterprise,ProfitLoss,ReportingPeriodEndDate,ReportingPeriodStartDate,SignatureOfAuditorsDate,SignatureOfAuditorsPlace,TitleOfMemberOfExecutiveBoard,_id,_index,_score,cvrNummer,indlaesningsId,indlaesningsTidspunkt,offentliggoerelsesTidspunkt,offentliggoerelsestype,omgoerelse,regNummer,regnskabsperiode_slutDato,regnskabsperiode_startDato,sagsNummer,sidstOpdateret,GrossResult,OtherExternalExpenses,OtherFinanceExpenses,OtherFinanceIncome,ProfitLossFromOrdinaryActivitiesBeforeTax,ProfitLossFromOrdinaryOperatingActivities,TaxExpenseOnOrdinaryActivities,Assets,CashAndCashEquivalents,ContributedCapital,CurrentAssets,Equity,LiabilitiesAndEquity,LiabilitiesOtherThanProvisions,OtherShorttermInvestments,RetainedEarnings,ShorttermInvestments,ShorttermLiabilitiesOtherThanProvisions,ShorttermReceivables,ShorttermTaxPayables
entity identifier,2010-07-01,2011-06-30,ID_10,http://regnskaber.virk.dk/55704852/Y3ZyLmRrOi8vcGRmcy8yNTg0MDc1NTtBcFMyODEzODA7MjAxMTA3MDE7MjAxMjA2MzA7UjtS.pdf,http://regnskaber.virk.dk/55704852/Y3ZyLmRrOi8veGJybHMvWC02NTQ1QjRBQS0yMDEyMDkyNV8wOTQwMjBfOTcx.xml,"3140, ÃlsgÃ¥rde","c/o Klaus Bech, OdinshÃ¸jvej 52","2770, Kastrup",TÃ¸mmerupvej 75,Regnskabsklasse B,"Det er pÃ¥ generalforsamlingen vedtaget, at selskabets Ã¥rsrapporter ikke skal revideres. Betingelserne for at undlade revision af Ã¥rsrapporten er opfyldt.",2001-01-01,2012-09-24,Registreret revisor,13254192.0,25840755.0,13254192.0,Ãrsrapport,Lennart Gutfelt Skalbo,Klaus Bech,Klaus Bech,Revisionsfirmaet Gutfelt & Partnere A/S,Gurmer Invest ApS,Revisionsfirmaet Gutfelt & Partnere A/S,21058261.0,2012-06-30,2011-07-01,2012-09-24,Kastrup,DirektÃ¸r,urn:ofk:oid:16271508,indberetninger-20180424,2.5124211,25840755,,2018-04-02T06:09:08.958Z,2012-09-25T22:00:00.000Z,regnskab,0.0,,2012-06-30,2011-07-01,12-282.180,2012-09-25T22:00:00.000Z,,,,,,,,,,,,,,,,,,,,
entity identifier,2010-07-01,2011-06-30,ID_12,http://regnskaber.virk.dk/55704852/Y3ZyLmRrOi8vcGRmcy8yNTg0MDc1NTtBcFMyODEzODA7MjAxMTA3MDE7MjAxMjA2MzA7UjtS.pdf,http://regnskaber.virk.dk/55704852/Y3ZyLmRrOi8veGJybHMvWC02NTQ1QjRBQS0yMDEyMDkyNV8wOTQwMjBfOTcx.xml,"3140, ÃlsgÃ¥rde","c/o Klaus Bech, OdinshÃ¸jvej 52","2770, Kastrup",TÃ¸mmerupvej 75,Regnskabsklasse B,"Det er pÃ¥ generalforsamlingen vedtaget, at selskabets Ã¥rsrapporter ikke skal revideres. Betingelserne for at undlade revision af Ã¥rsrapporten er opfyldt.",2001-01-01,2012-09-24,Registreret revisor,13254192.0,25840755.0,13254192.0,Ãrsrapport,Lennart Gutfelt Skalbo,Klaus Bech,Klaus Bech,Revisionsfirmaet Gutfelt & Partnere A/S,Gurmer Invest ApS,Revisionsfirmaet Gutfelt & Partnere A/S,21058261.0,2012-06-30,2011-07-01,2012-09-24,Kastrup,DirektÃ¸r,urn:ofk:oid:16271508,indberetninger-20180424,2.5124211,25840755,,2018-04-02T06:09:08.958Z,2012-09-25T22:00:00.000Z,regnskab,0.0,,2012-06-30,2011-07-01,12-282.180,2012-09-25T22:00:00.000Z,,,,,,,,,,,,,,,,,,,,
entity identifier,2010-07-01,2011-06-30,ID_8,http://regnskaber.virk.dk/55704852/Y3ZyLmRrOi8vcGRmcy8yNTg0MDc1NTtBcFMyODEzODA7MjAxMTA3MDE7MjAxMjA2MzA7UjtS.pdf,http://regnskaber.virk.dk/55704852/Y3ZyLmRrOi8veGJybHMvWC02NTQ1QjRBQS0yMDEyMDkyNV8wOTQwMjBfOTcx.xml,"3140, ÃlsgÃ¥rde","c/o Klaus Bech, OdinshÃ¸jvej 52","2770, Kastrup",TÃ¸mmerupvej 75,Regnskabsklasse B,"Det er pÃ¥ generalforsamlingen vedtaget, at selskabets Ã¥rsrapporter ikke skal revideres. Betingelserne for at undlade revision af Ã¥rsrapporten er opfyldt.",2001-01-01,2012-09-24,Registreret revisor,13254192.0,25840755.0,13254192.0,Ãrsrapport,Lennart Gutfelt Skalbo,Klaus Bech,Klaus Bech,Revisionsfirmaet Gutfelt & Partnere A/S,Gurmer Invest ApS,Revisionsfirmaet Gutfelt & Partnere A/S,-586340.0,2012-06-30,2011-07-01,2012-09-24,Kastrup,DirektÃ¸r,urn:ofk:oid:16271508,indberetninger-20180424,2.5124211,25840755,,2018-04-02T06:09:08.958Z,2012-09-25T22:00:00.000Z,regnskab,0.0,,2012-06-30,2011-07-01,12-282.180,2012-09-25T22:00:00.000Z,41481.0,41481.0,513383.0,-1337470.0,-782606.0,41481.0,196266.0,,,,,,,,,,,,,
entity identifier,2011-06-30,2011-06-30,ID_14,http://regnskaber.virk.dk/55704852/Y3ZyLmRrOi8vcGRmcy8yNTg0MDc1NTtBcFMyODEzODA7MjAxMTA3MDE7MjAxMjA2MzA7UjtS.pdf,http://regnskaber.virk.dk/55704852/Y3ZyLmRrOi8veGJybHMvWC02NTQ1QjRBQS0yMDEyMDkyNV8wOTQwMjBfOTcx.xml,"3140, ÃlsgÃ¥rde","c/o Klaus Bech, OdinshÃ¸jvej 52","2770, Kastrup",TÃ¸mmerupvej 75,Regnskabsklasse B,"Det er pÃ¥ generalforsamlingen vedtaget, at selskabets Ã¥rsrapporter ikke skal revideres. Betingelserne for at undlade revision af Ã¥rsrapporten er opfyldt.",2001-01-01,2012-09-24,Registreret revisor,13254192.0,25840755.0,13254192.0,Ãrsrapport,Lennart Gutfelt Skalbo,Klaus Bech,Klaus Bech,Revisionsfirmaet Gutfelt & Partnere A/S,Gurmer Invest ApS,Revisionsfirmaet Gutfelt & Partnere A/S,,2012-06-30,2011-07-01,2012-09-24,Kastrup,DirektÃ¸r,urn:ofk:oid:16271508,indberetninger-20180424,2.5124211,25840755,,2018-04-02T06:09:08.958Z,2012-09-25T22:00:00.000Z,regnskab,0.0,,2012-06-30,2011-07-01,12-282.180,2012-09-25T22:00:00.000Z,,,,,,,,21395248.0,10949831.0,-125000.0,21395248.0,-21183261.0,-21395248.0,-211987.0,10247383.0,-21058261.0,10247383.0,-211987.0,198034.0,-193237.0
entity identifier,2011-07-01,2012-06-30,ID_0,http://regnskaber.virk.dk/55704852/Y3ZyLmRrOi8vcGRmcy8yNTg0MDc1NTtBcFMyODEzODA7MjAxMTA3MDE7MjAxMjA2MzA7UjtS.pdf,http://regnskaber.virk.dk/55704852/Y3ZyLmRrOi8veGJybHMvWC02NTQ1QjRBQS0yMDEyMDkyNV8wOTQwMjBfOTcx.xml,"3140, ÃlsgÃ¥rde","c/o Klaus Bech, OdinshÃ¸jvej 52","2770, Kastrup",TÃ¸mmerupvej 75,Regnskabsklasse B,"Det er pÃ¥ generalforsamlingen vedtaget, at selskabets Ã¥rsrapporter ikke skal revideres. Betingelserne for at undlade revision af Ã¥rsrapporten er opfyldt.",2001-01-01,2012-09-24,Registreret revisor,13254192.0,25840755.0,13254192.0,Ãrsrapport,Lennart Gutfelt Skalbo,Klaus Bech,Klaus Bech,Revisionsfirmaet Gutfelt & Partnere A/S,Gurmer Invest ApS,Revisionsfirmaet Gutfelt & Partnere A/S,,2012-06-30,2011-07-01,2012-09-24,Kastrup,DirektÃ¸r,urn:ofk:oid:16271508,indberetninger-20180424,2.5124211,25840755,,2018-04-02T06:09:08.958Z,2012-09-25T22:00:00.000Z,regnskab,0.0,,2012-06-30,2011-07-01,12-282.180,2012-09-25T22:00:00.000Z,,,,,,,,,,,,,,,,,,,,
entity identifier,2011-07-01,2012-06-30,ID_1,http://regnskaber.virk.dk/55704852/Y3ZyLmRrOi8vcGRmcy8yNTg0MDc1NTtBcFMyODEzODA7MjAxMTA3MDE7MjAxMjA2MzA7UjtS.pdf,http://regnskaber.virk.dk/55704852/Y3ZyLmRrOi8veGJybHMvWC02NTQ1QjRBQS0yMDEyMDkyNV8wOTQwMjBfOTcx.xml,"3140, ÃlsgÃ¥rde","c/o Klaus Bech, OdinshÃ¸jvej 52","2770, Kastrup",TÃ¸mmerupvej 75,Regnskabsklasse B,"Det er pÃ¥ generalforsamlingen vedtaget, at selskabets Ã¥rsrapporter ikke skal revideres. Betingelserne for at undlade revision af Ã¥rsrapporten er opfyldt.",2001-01-01,2012-09-24,Registreret revisor,13254192.0,25840755.0,13254192.0,Ãrsrapport,Lennart Gutfelt Skalbo,Klaus Bech,Klaus Bech,Revisionsfirmaet Gutfelt & Partnere A/S,Gurmer Invest ApS,Revisionsfirmaet Gutfelt & Partnere A/S,,2012-06-30,2011-07-01,2012-09-24,Kastrup,DirektÃ¸r,urn:ofk:oid:16271508,indberetninger-20180424,2.5124211,25840755,,2018-04-02T06:09:08.958Z,2012-09-25T22:00:00.000Z,regnskab,0.0,,2012-06-30,2011-07-01,12-282.180,2012-09-25T22:00:00.000Z,,,,,,,,,,,,,,,,,,,,
entity identifier,2011-07-01,2012-06-30,ID_11,http://regnskaber.virk.dk/55704852/Y3ZyLmRrOi8vcGRmcy8yNTg0MDc1NTtBcFMyODEzODA7MjAxMTA3MDE7MjAxMjA2MzA7UjtS.pdf,http://regnskaber.virk.dk/55704852/Y3ZyLmRrOi8veGJybHMvWC02NTQ1QjRBQS0yMDEyMDkyNV8wOTQwMjBfOTcx.xml,"3140, ÃlsgÃ¥rde","c/o Klaus Bech, OdinshÃ¸jvej 52","2770, Kastrup",TÃ¸mmerupvej 75,Regnskabsklasse B,"Det er pÃ¥ generalforsamlingen vedtaget, at selskabets Ã¥rsrapporter ikke skal revideres. Betingelserne for at undlade revision af Ã¥rsrapporten er opfyldt.",2001-01-01,2012-09-24,Registreret revisor,13254192.0,25840755.0,13254192.0,Ãrsrapport,Lennart Gutfelt Skalbo,Klaus Bech,Klaus Bech,Revisionsfirmaet Gutfelt & Partnere A/S,Gurmer Invest ApS,Revisionsfirmaet Gutfelt & Partnere A/S,21690600.0,2012-06-30,2011-07-01,2012-09-24,Kastrup,DirektÃ¸r,urn:ofk:oid:16271508,indberetninger-20180424,2.5124211,25840755,,2018-04-02T06:09:08.958Z,2012-09-25T22:00:00.000Z,regnskab,0.0,,2012-06-30,2011-07-01,12-282.180,2012-09-25T22:00:00.000Z,,,,,,,,,,,,,,,,,,,,
entity identifier,2011-07-01,2012-06-30,ID_15,http://regnskaber.virk.dk/55704852/Y3ZyLmRrOi8vcGRmcy8yNTg0MDc1NTtBcFMyODEzODA7MjAxMTA3MDE7MjAxMjA2MzA7UjtS.pdf,http://regnskaber.virk.dk/55704852/Y3ZyLmRrOi8veGJybHMvWC02NTQ1QjRBQS0yMDEyMDkyNV8wOTQwMjBfOTcx.xml,"3140, ÃlsgÃ¥rde","c/o Klaus Bech, OdinshÃ¸jvej 52","2770, Kastrup",TÃ¸mmerupvej 75,Regnskabsklasse B,"Det er pÃ¥ generalforsamlingen vedtaget, at selskabets Ã¥rsrapporter ikke skal revideres. Betingelserne for at undlade revision af Ã¥rsrapporten er opfyldt.",2001-01-01,2012-09-24,Registreret revisor,13254192.0,25840755.0,13254192.0,Ãrsrapport,Lennart Gutfelt Skalbo,Klaus Bech,Klaus Bech,Revisionsfirmaet Gutfelt & Partnere A/S,Gurmer Invest ApS,Revisionsfirmaet Gutfelt & Partnere A/S,,2012-06-30,2011-07-01,2012-09-24,Kastrup,DirektÃ¸r,urn:ofk:oid:16271508,indberetninger-20180424,2.5124211,25840755,,2018-04-02T06:09:08.958Z,2012-09-25T22:00:00.000Z,regnskab,0.0,,2012-06-30,2011-07-01,12-282.180,2012-09-25T22:00:00.000Z,,,,,,,,,,,,,,,,,,,,
entity identifier,2011-07-01,2012-06-30,ID_16,http://regnskaber.virk.dk/55704852/Y3ZyLmRrOi8vcGRmcy8yNTg0MDc1NTtBcFMyODEzODA7MjAxMTA3MDE7MjAxMjA2MzA7UjtS.pdf,http://regnskaber.virk.dk/55704852/Y3ZyLmRrOi8veGJybHMvWC02NTQ1QjRBQS0yMDEyMDkyNV8wOTQwMjBfOTcx.xml,"3140, ÃlsgÃ¥rde","c/o Klaus Bech, OdinshÃ¸jvej 52","2770, Kastrup",TÃ¸mmerupvej 75,Regnskabsklasse B,"Det er pÃ¥ generalforsamlingen vedtaget, at selskabets Ã¥rsrapporter ikke skal revideres. Betingelserne for at undlade revision af Ã¥rsrapporten er opfyldt.",2001-01-01,2012-09-24,Registreret revisor,13254192.0,25840755.0,13254192.0,Ãrsrapport,Lennart Gutfelt Skalbo,Klaus Bech,Klaus Bech,Revisionsfirmaet Gutfelt & Partnere A/S,Gurmer Invest ApS,Revisionsfirmaet Gutfelt & Partnere A/S,,2012-06-30,2011-07-01,2012-09-24,Kastrup,DirektÃ¸r,urn:ofk:oid:16271508,indberetninger-20180424,2.5124211,25840755,,2018-04-02T06:09:08.958Z,2012-09-25T22:00:00.000Z,regnskab,0.0,,2012-06-30,2011-07-01,12-282.180,2012-09-25T22:00:00.000Z,,,,,,,,,,,,,,,,,,,,
entity identifier,2011-07-01,2012-06-30,ID_17,http://regnskaber.virk.dk/55704852/Y3ZyLmRrOi8vcGRmcy8yNTg0MDc1NTtBcFMyODEzODA7MjAxMTA3MDE7MjAxMjA2MzA7UjtS.pdf,http://regnskaber.virk.dk/55704852/Y3ZyLmRrOi8veGJybHMvWC02NTQ1QjRBQS0yMDEyMDkyNV8wOTQwMjBfOTcx.xml,"3140, ÃlsgÃ¥rde","c/o Klaus Bech, OdinshÃ¸jvej 52","2770, Kastrup",TÃ¸mmerupvej 75,Regnskabsklasse B,"Det er pÃ¥ generalforsamlingen vedtaget, at selskabets Ã¥rsrapporter ikke skal revideres. Betingelserne for at undlade revision af Ã¥rsrapporten er opfyldt.",2001-01-01,2012-09-24,Registreret revisor,13254192.0,25840755.0,13254192.0,Ãrsrapport,Lennart Gutfelt Skalbo,Klaus Bech,Klaus Bech,Revisionsfirmaet Gutfelt & Partnere A/S,Gurmer Invest ApS,Revisionsfirmaet Gutfelt & Partnere A/S,,2012-06-30,2011-07-01,2012-09-24,Kastrup,DirektÃ¸r,urn:ofk:oid:16271508,indberetninger-20180424,2.5124211,25840755,,2018-04-02T06:09:08.958Z,2012-09-25T22:00:00.000Z,regnskab,0.0,,2012-06-30,2011-07-01,12-282.180,2012-09-25T22:00:00.000Z,,,,,,,,,,,,,,,,,,,,
