entity,start_date,end_date,context,AARSRAPPORT_pdf,AARSRAPPORT_xml,AddressOfFinancialInstitutionPostcodeAndTown,AddressOfFinancialInstitutionStreetAndNumber,AddressOfReportingEntityPostcodeAndTown,AddressOfReportingEntityStreetAndNumber,AddressOfSubmittingEnterprisePostcodeAndTown,AddressOfSubmittingEnterpriseStreetAndNumber,ClassOfReportingEntity,ConfirmationThatAnnualReportIsPresentedInAccordanceWithRequirementsProvidedForByLegislationAnyStandardsAndRequirementsProvidedByArticlesOfAssociationOrByAgreement,ConfirmationThatFinancialStatementGivesTrueAndFairViewOfAssetsLiabilitiesEquityFinancialPositionAndResults,ConfirmationThatFinancialStatementsAreExemptedFromAuditing,DateOfGeneralMeeting,DepreciationAmortisationExpenseAndImpairmentLossesOfPropertyPlantAndEquipmentAndIntangibleAssetsRecognisedInProfitOrLoss,DisclosureOfMainActivitiesAndAccountingAndFinancialMatters,EmailOfReportingEntity,FaxNumberOfReportingEntity,GrossProfitLoss,IdentificationNumberCvrOfAuditFirm,IdentificationNumberCvrOfReportingEntity,IdentificationNumberCvrOfSubmittingEnterprise,IdentificationOfApprovedAnnualReport,InformationOnTypeOfSubmittedReport,NameAndSurnameOfAuditor,NameAndSurnameOfChairmanOfGeneralMeeting,NameAndSurnameOfMemberOfExecutiveBoard,NameOfAuditFirm,NameOfFinancialInstitution,NameOfReportingEntity,NameOfSubmittingEnterprise,OtherFinanceExpenses,ProfitLoss,ProfitLossFromOrdinaryActivitiesBeforeTax,ProfitLossFromOrdinaryOperatingActivities,ReportingPeriodEndDate,ReportingPeriodStartDate,SignatureOfAuditorsDate,SignatureOfAuditorsPlace,TaxExpenseOnOrdinaryActivities,TelephoneNumberOfReportingEntity,TitleOfMemberOfExecutiveBoard,_id,_index,_score,cvrNummer,indlaesningsId,indlaesningsTidspunkt,offentliggoerelsesTidspunkt,offentliggoerelsestype,omgoerelse,regNummer,regnskabsperiode_slutDato,regnskabsperiode_startDato,sagsNummer,sidstOpdateret,Assets,CashAndCashEquivalents,ContributedCapital,CurrentAssets,CurrentDeferredTaxAssets,Equity,FixturesFittingsToolsAndEquipment,LeaseholdImprovements,LiabilitiesAndEquity,LiabilitiesOtherThanProvisions,NoncurrentAssets,OtherShorttermPayables,OtherShorttermReceivables,PropertyPlantAndEquipment,RetainedEarnings,ShorttermLiabilitiesOtherThanProvisions,ShorttermPayablesToGroupEnterprises,ShorttermReceivables,ShorttermReceivablesFromGroupEnterprises,NameAndSurnameOfMemberOfSupervisoryBoard,TitleOfMemberOfSupervisoryBoard
entity identifier,2011-04-01,2012-03-31,ID_10,http://regnskaber.virk.dk/84977752/Y3ZyLmRrOi8vcGRmcy8yNTc3Nzk0ODtBcFMyNzk4NDU7MjAxMjA0MDE7MjAxMzAzMzE7UjtS.pdf,http://regnskaber.virk.dk/84977752/Y3ZyLmRrOi8veGJybHMvWC1EMzdBMjhDRC0yMDEzMDcxNV8xMzA5NDlfMzYy.xml,"Faaborg, 5600",Kanalvej 1,"5260, Odense S",GrÃ¸nvej 105,"Odense SV, 5250",Lindholmvej 1A,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. marts 2013 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. april 2012 - 31. marts 2013.","Det er pÃ¥ generalforsamlingen vedtaget, at selskabets Ã¥rsregnskaber ikke skal revideres. Betingelserne for at undlade revision af Ã¥rsregnskabet er opfyldt.",2013-07-10,25377.0,. Virksomhedens formÃ¥l,michaelballe@os.dk,6615 2729,38876.0,10092159.0,25777948.0,10092159.0,"Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. april 2012 - 31. marts 2013 for Michael Balle, StenlÃ¸se ApS.",Ãrsrapport,John  Hansen,Michael Balle,Michael Balle,"Revisionsfirmaet Leif Vesterlund ApS, Registreret Revisionsanpartsselskab",Jyske Bank,"Michael Balle, StenlÃ¸se ApS","Revisionsfirmaet Leif Vesterlund ApS, Registreret Revisionsanpartsselskab",4606.0,51644.0,68859.0,64253.0,2013-03-31,2012-04-01,2013-07-10,Bellinge,-17215.0,6615 2725,DirektÃ¸r,urn:ofk:oid:16160945,indberetninger-20180424,2.5121894,25777948.0,,2018-04-01T14:57:00.584Z,2013-07-15T22:00:00.000Z,regnskab,0.0,,2013-03-31,2012-04-01,13-199.013,2013-07-15T22:00:00.000Z,,,,,,,,,,,,,,,,,,,,,
entity identifier,2011-04-01,2012-03-31,ID_12,http://regnskaber.virk.dk/84977752/Y3ZyLmRrOi8vcGRmcy8yNTc3Nzk0ODtBcFMyNzk4NDU7MjAxMjA0MDE7MjAxMzAzMzE7UjtS.pdf,http://regnskaber.virk.dk/84977752/Y3ZyLmRrOi8veGJybHMvWC1EMzdBMjhDRC0yMDEzMDcxNV8xMzA5NDlfMzYy.xml,"Faaborg, 5600",Kanalvej 1,"5260, Odense S",GrÃ¸nvej 105,"Odense SV, 5250",Lindholmvej 1A,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. marts 2013 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. april 2012 - 31. marts 2013.","Det er pÃ¥ generalforsamlingen vedtaget, at selskabets Ã¥rsregnskaber ikke skal revideres. Betingelserne for at undlade revision af Ã¥rsregnskabet er opfyldt.",2013-07-10,,. Virksomhedens formÃ¥l,michaelballe@os.dk,6615 2729,,10092159.0,25777948.0,10092159.0,"Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. april 2012 - 31. marts 2013 for Michael Balle, StenlÃ¸se ApS.",Ãrsrapport,John  Hansen,Michael Balle,Michael Balle,"Revisionsfirmaet Leif Vesterlund ApS, Registreret Revisionsanpartsselskab",Jyske Bank,"Michael Balle, StenlÃ¸se ApS","Revisionsfirmaet Leif Vesterlund ApS, Registreret Revisionsanpartsselskab",,-51644.0,,,2013-03-31,2012-04-01,2013-07-10,Bellinge,,6615 2725,DirektÃ¸r,urn:ofk:oid:16160945,indberetninger-20180424,2.5121894,25777948.0,,2018-04-01T14:57:00.584Z,2013-07-15T22:00:00.000Z,regnskab,0.0,,2013-03-31,2012-04-01,13-199.013,2013-07-15T22:00:00.000Z,,,,,,,,,,,,,,,,,,,,,
entity identifier,2011-04-01,2012-03-31,ID_14,http://regnskaber.virk.dk/84977752/Y3ZyLmRrOi8vcGRmcy8yNTc3Nzk0ODtBcFMyNzk4NDU7MjAxMjA0MDE7MjAxMzAzMzE7UjtS.pdf,http://regnskaber.virk.dk/84977752/Y3ZyLmRrOi8veGJybHMvWC1EMzdBMjhDRC0yMDEzMDcxNV8xMzA5NDlfMzYy.xml,"Faaborg, 5600",Kanalvej 1,"5260, Odense S",GrÃ¸nvej 105,"Odense SV, 5250",Lindholmvej 1A,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. marts 2013 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. april 2012 - 31. marts 2013.","Det er pÃ¥ generalforsamlingen vedtaget, at selskabets Ã¥rsregnskaber ikke skal revideres. Betingelserne for at undlade revision af Ã¥rsregnskabet er opfyldt.",2013-07-10,,. Virksomhedens formÃ¥l,michaelballe@os.dk,6615 2729,,10092159.0,25777948.0,10092159.0,"Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. april 2012 - 31. marts 2013 for Michael Balle, StenlÃ¸se ApS.",Ãrsrapport,John  Hansen,Michael Balle,Michael Balle,"Revisionsfirmaet Leif Vesterlund ApS, Registreret Revisionsanpartsselskab",Jyske Bank,"Michael Balle, StenlÃ¸se ApS","Revisionsfirmaet Leif Vesterlund ApS, Registreret Revisionsanpartsselskab",,-51644.0,,,2013-03-31,2012-04-01,2013-07-10,Bellinge,,6615 2725,DirektÃ¸r,urn:ofk:oid:16160945,indberetninger-20180424,2.5121894,25777948.0,,2018-04-01T14:57:00.584Z,2013-07-15T22:00:00.000Z,regnskab,0.0,,2013-03-31,2012-04-01,13-199.013,2013-07-15T22:00:00.000Z,,,,,,,,,,,,,,,,,,,,,
entity identifier,2012-03-31,2012-03-31,ID_16,http://regnskaber.virk.dk/84977752/Y3ZyLmRrOi8vcGRmcy8yNTc3Nzk0ODtBcFMyNzk4NDU7MjAxMjA0MDE7MjAxMzAzMzE7UjtS.pdf,http://regnskaber.virk.dk/84977752/Y3ZyLmRrOi8veGJybHMvWC1EMzdBMjhDRC0yMDEzMDcxNV8xMzA5NDlfMzYy.xml,"Faaborg, 5600",Kanalvej 1,"5260, Odense S",GrÃ¸nvej 105,"Odense SV, 5250",Lindholmvej 1A,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. marts 2013 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. april 2012 - 31. marts 2013.","Det er pÃ¥ generalforsamlingen vedtaget, at selskabets Ã¥rsregnskaber ikke skal revideres. Betingelserne for at undlade revision af Ã¥rsregnskabet er opfyldt.",2013-07-10,,. Virksomhedens formÃ¥l,michaelballe@os.dk,6615 2729,,10092159.0,25777948.0,10092159.0,"Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. april 2012 - 31. marts 2013 for Michael Balle, StenlÃ¸se ApS.",Ãrsrapport,John  Hansen,Michael Balle,Michael Balle,"Revisionsfirmaet Leif Vesterlund ApS, Registreret Revisionsanpartsselskab",Jyske Bank,"Michael Balle, StenlÃ¸se ApS","Revisionsfirmaet Leif Vesterlund ApS, Registreret Revisionsanpartsselskab",,,,,2013-03-31,2012-04-01,2013-07-10,Bellinge,,6615 2725,DirektÃ¸r,urn:ofk:oid:16160945,indberetninger-20180424,2.5121894,25777948.0,,2018-04-01T14:57:00.584Z,2013-07-15T22:00:00.000Z,regnskab,0.0,,2013-03-31,2012-04-01,13-199.013,2013-07-15T22:00:00.000Z,194763.0,94375.0,-200000.0,158096.0,49141.0,-66684.0,35528.0,1139.0,-194763.0,-128079.0,36667.0,-10000.0,1475.0,36667.0,133316.0,-128079.0,-118079.0,63721.0,13105.0,,
entity identifier,2012-04-01,2013-03-31,ID_0,http://regnskaber.virk.dk/84977752/Y3ZyLmRrOi8vcGRmcy8yNTc3Nzk0ODtBcFMyNzk4NDU7MjAxMjA0MDE7MjAxMzAzMzE7UjtS.pdf,http://regnskaber.virk.dk/84977752/Y3ZyLmRrOi8veGJybHMvWC1EMzdBMjhDRC0yMDEzMDcxNV8xMzA5NDlfMzYy.xml,"Faaborg, 5600",Kanalvej 1,"5260, Odense S",GrÃ¸nvej 105,"Odense SV, 5250",Lindholmvej 1A,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. marts 2013 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. april 2012 - 31. marts 2013.","Det er pÃ¥ generalforsamlingen vedtaget, at selskabets Ã¥rsregnskaber ikke skal revideres. Betingelserne for at undlade revision af Ã¥rsregnskabet er opfyldt.",2013-07-10,,. Virksomhedens formÃ¥l,michaelballe@os.dk,6615 2729,,10092159.0,25777948.0,10092159.0,"Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. april 2012 - 31. marts 2013 for Michael Balle, StenlÃ¸se ApS.",Ãrsrapport,John  Hansen,Michael Balle,Michael Balle,"Revisionsfirmaet Leif Vesterlund ApS, Registreret Revisionsanpartsselskab",Jyske Bank,"Michael Balle, StenlÃ¸se ApS","Revisionsfirmaet Leif Vesterlund ApS, Registreret Revisionsanpartsselskab",,,,,2013-03-31,2012-04-01,2013-07-10,Bellinge,,6615 2725,DirektÃ¸r,urn:ofk:oid:16160945,indberetninger-20180424,2.5121894,25777948.0,,2018-04-01T14:57:00.584Z,2013-07-15T22:00:00.000Z,regnskab,0.0,,2013-03-31,2012-04-01,13-199.013,2013-07-15T22:00:00.000Z,,,,,,,,,,,,,,,,,,,,,
entity identifier,2012-04-01,2013-03-31,ID_1,http://regnskaber.virk.dk/84977752/Y3ZyLmRrOi8vcGRmcy8yNTc3Nzk0ODtBcFMyNzk4NDU7MjAxMjA0MDE7MjAxMzAzMzE7UjtS.pdf,http://regnskaber.virk.dk/84977752/Y3ZyLmRrOi8veGJybHMvWC1EMzdBMjhDRC0yMDEzMDcxNV8xMzA5NDlfMzYy.xml,"Faaborg, 5600",Kanalvej 1,"5260, Odense S",GrÃ¸nvej 105,"Odense SV, 5250",Lindholmvej 1A,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. marts 2013 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. april 2012 - 31. marts 2013.","Det er pÃ¥ generalforsamlingen vedtaget, at selskabets Ã¥rsregnskaber ikke skal revideres. Betingelserne for at undlade revision af Ã¥rsregnskabet er opfyldt.",2013-07-10,,. Virksomhedens formÃ¥l,michaelballe@os.dk,6615 2729,,10092159.0,25777948.0,10092159.0,"Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. april 2012 - 31. marts 2013 for Michael Balle, StenlÃ¸se ApS.",Ãrsrapport,John  Hansen,Michael Balle,Michael Balle,"Revisionsfirmaet Leif Vesterlund ApS, Registreret Revisionsanpartsselskab",Jyske Bank,"Michael Balle, StenlÃ¸se ApS","Revisionsfirmaet Leif Vesterlund ApS, Registreret Revisionsanpartsselskab",,,,,2013-03-31,2012-04-01,2013-07-10,Bellinge,,6615 2725,DirektÃ¸r,urn:ofk:oid:16160945,indberetninger-20180424,2.5121894,25777948.0,,2018-04-01T14:57:00.584Z,2013-07-15T22:00:00.000Z,regnskab,0.0,,2013-03-31,2012-04-01,13-199.013,2013-07-15T22:00:00.000Z,,,,,,,,,,,,,,,,,,,,,
entity identifier,2012-04-01,2013-03-31,ID_11,http://regnskaber.virk.dk/84977752/Y3ZyLmRrOi8vcGRmcy8yNTc3Nzk0ODtBcFMyNzk4NDU7MjAxMjA0MDE7MjAxMzAzMzE7UjtS.pdf,http://regnskaber.virk.dk/84977752/Y3ZyLmRrOi8veGJybHMvWC1EMzdBMjhDRC0yMDEzMDcxNV8xMzA5NDlfMzYy.xml,"Faaborg, 5600",Kanalvej 1,"5260, Odense S",GrÃ¸nvej 105,"Odense SV, 5250",Lindholmvej 1A,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. marts 2013 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. april 2012 - 31. marts 2013.","Det er pÃ¥ generalforsamlingen vedtaget, at selskabets Ã¥rsregnskaber ikke skal revideres. Betingelserne for at undlade revision af Ã¥rsregnskabet er opfyldt.",2013-07-10,,. Virksomhedens formÃ¥l,michaelballe@os.dk,6615 2729,,10092159.0,25777948.0,10092159.0,"Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. april 2012 - 31. marts 2013 for Michael Balle, StenlÃ¸se ApS.",Ãrsrapport,John  Hansen,Michael Balle,Michael Balle,"Revisionsfirmaet Leif Vesterlund ApS, Registreret Revisionsanpartsselskab",Jyske Bank,"Michael Balle, StenlÃ¸se ApS","Revisionsfirmaet Leif Vesterlund ApS, Registreret Revisionsanpartsselskab",,-34898.0,,,2013-03-31,2012-04-01,2013-07-10,Bellinge,,6615 2725,DirektÃ¸r,urn:ofk:oid:16160945,indberetninger-20180424,2.5121894,25777948.0,,2018-04-01T14:57:00.584Z,2013-07-15T22:00:00.000Z,regnskab,0.0,,2013-03-31,2012-04-01,13-199.013,2013-07-15T22:00:00.000Z,,,,,,,,,,,,,,,,,,,,,
entity identifier,2012-04-01,2013-03-31,ID_13,http://regnskaber.virk.dk/84977752/Y3ZyLmRrOi8vcGRmcy8yNTc3Nzk0ODtBcFMyNzk4NDU7MjAxMjA0MDE7MjAxMzAzMzE7UjtS.pdf,http://regnskaber.virk.dk/84977752/Y3ZyLmRrOi8veGJybHMvWC1EMzdBMjhDRC0yMDEzMDcxNV8xMzA5NDlfMzYy.xml,"Faaborg, 5600",Kanalvej 1,"5260, Odense S",GrÃ¸nvej 105,"Odense SV, 5250",Lindholmvej 1A,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. marts 2013 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. april 2012 - 31. marts 2013.","Det er pÃ¥ generalforsamlingen vedtaget, at selskabets Ã¥rsregnskaber ikke skal revideres. Betingelserne for at undlade revision af Ã¥rsregnskabet er opfyldt.",2013-07-10,,. Virksomhedens formÃ¥l,michaelballe@os.dk,6615 2729,,10092159.0,25777948.0,10092159.0,"Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. april 2012 - 31. marts 2013 for Michael Balle, StenlÃ¸se ApS.",Ãrsrapport,John  Hansen,Michael Balle,Michael Balle,"Revisionsfirmaet Leif Vesterlund ApS, Registreret Revisionsanpartsselskab",Jyske Bank,"Michael Balle, StenlÃ¸se ApS","Revisionsfirmaet Leif Vesterlund ApS, Registreret Revisionsanpartsselskab",,-34898.0,,,2013-03-31,2012-04-01,2013-07-10,Bellinge,,6615 2725,DirektÃ¸r,urn:ofk:oid:16160945,indberetninger-20180424,2.5121894,25777948.0,,2018-04-01T14:57:00.584Z,2013-07-15T22:00:00.000Z,regnskab,0.0,,2013-03-31,2012-04-01,13-199.013,2013-07-15T22:00:00.000Z,,,,,,,,,,,,,,,,,,,,,
entity identifier,2012-04-01,2013-03-31,ID_17,http://regnskaber.virk.dk/84977752/Y3ZyLmRrOi8vcGRmcy8yNTc3Nzk0ODtBcFMyNzk4NDU7MjAxMjA0MDE7MjAxMzAzMzE7UjtS.pdf,http://regnskaber.virk.dk/84977752/Y3ZyLmRrOi8veGJybHMvWC1EMzdBMjhDRC0yMDEzMDcxNV8xMzA5NDlfMzYy.xml,"Faaborg, 5600",Kanalvej 1,"5260, Odense S",GrÃ¸nvej 105,"Odense SV, 5250",Lindholmvej 1A,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. marts 2013 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. april 2012 - 31. marts 2013.","Det er pÃ¥ generalforsamlingen vedtaget, at selskabets Ã¥rsregnskaber ikke skal revideres. Betingelserne for at undlade revision af Ã¥rsregnskabet er opfyldt.",2013-07-10,,. Virksomhedens formÃ¥l,michaelballe@os.dk,6615 2729,,10092159.0,25777948.0,10092159.0,"Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. april 2012 - 31. marts 2013 for Michael Balle, StenlÃ¸se ApS.",Ãrsrapport,John  Hansen,Michael Balle,Michael Balle,"Revisionsfirmaet Leif Vesterlund ApS, Registreret Revisionsanpartsselskab",Jyske Bank,"Michael Balle, StenlÃ¸se ApS","Revisionsfirmaet Leif Vesterlund ApS, Registreret Revisionsanpartsselskab",,,,,2013-03-31,2012-04-01,2013-07-10,Bellinge,,6615 2725,DirektÃ¸r,urn:ofk:oid:16160945,indberetninger-20180424,2.5121894,25777948.0,,2018-04-01T14:57:00.584Z,2013-07-15T22:00:00.000Z,regnskab,0.0,,2013-03-31,2012-04-01,13-199.013,2013-07-15T22:00:00.000Z,,,,,,,,,,,,,,,,,,,,,
entity identifier,2012-04-01,2013-03-31,ID_18,http://regnskaber.virk.dk/84977752/Y3ZyLmRrOi8vcGRmcy8yNTc3Nzk0ODtBcFMyNzk4NDU7MjAxMjA0MDE7MjAxMzAzMzE7UjtS.pdf,http://regnskaber.virk.dk/84977752/Y3ZyLmRrOi8veGJybHMvWC1EMzdBMjhDRC0yMDEzMDcxNV8xMzA5NDlfMzYy.xml,"Faaborg, 5600",Kanalvej 1,"5260, Odense S",GrÃ¸nvej 105,"Odense SV, 5250",Lindholmvej 1A,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. marts 2013 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. april 2012 - 31. marts 2013.","Det er pÃ¥ generalforsamlingen vedtaget, at selskabets Ã¥rsregnskaber ikke skal revideres. Betingelserne for at undlade revision af Ã¥rsregnskabet er opfyldt.",2013-07-10,,. Virksomhedens formÃ¥l,michaelballe@os.dk,6615 2729,,10092159.0,25777948.0,10092159.0,"Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. april 2012 - 31. marts 2013 for Michael Balle, StenlÃ¸se ApS.",Ãrsrapport,John  Hansen,Michael Balle,Michael Balle,"Revisionsfirmaet Leif Vesterlund ApS, Registreret Revisionsanpartsselskab",Jyske Bank,"Michael Balle, StenlÃ¸se ApS","Revisionsfirmaet Leif Vesterlund ApS, Registreret Revisionsanpartsselskab",,,,,2013-03-31,2012-04-01,2013-07-10,Bellinge,,6615 2725,DirektÃ¸r,urn:ofk:oid:16160945,indberetninger-20180424,2.5121894,25777948.0,,2018-04-01T14:57:00.584Z,2013-07-15T22:00:00.000Z,regnskab,0.0,,2013-03-31,2012-04-01,13-199.013,2013-07-15T22:00:00.000Z,,,,,,,,,,,,,,,,,,,,,
