entity,start_date,end_date,context,AARSRAPPORT_html,AARSRAPPORT_pdf,AARSRAPPORT_xml,AccountingPoliciesAreUnchangedFromPreviousPeriod,AddressOfSubmittingEnterprisePostcodeAndTown,AddressOfSubmittingEnterpriseStreetAndNumber,AverageNumberOfEmployees,ClassOfReportingEntity,ConfirmationThatAnnualReportIsPresentedInAccordanceWithRequirementsProvidedForByLegislationAnyStandardsAndRequirementsProvidedByArticlesOfAssociationOrByAgreement,ConfirmationThatFinancialStatementGivesTrueAndFairViewOfAssetsLiabilitiesEquityFinancialPositionAndResults,ConfirmationThatFinancialStatementsAreExemptedFromAuditing,DateOfApprovalOfAnnualReport,DateOfApprovalOfReport,DateOfFoundationOfReportingEntity,DateOfGeneralMeeting,EmailOfReportingEntity,HomepageOfReportingEntity,IdentificationNumberCvrOfReportingEntity,IdentificationOfApprovedAnnualReport,InformationOnTypeOfSubmittedReport,ManagementsStatementAboutManagementsReview,NameAndSurnameOfChairmanOfGeneralMeeting,NameOfFinancialInstitution,NameOfReportingEntity,NameOfSubmittingEnterprise,PlaceOfSignatureOfStatement,PrecedingReportingPeriodStartDate,PredingReportingPeriodEndDate,ProfitLoss,RecommendationForApprovalOfAnnualReportByGeneralMeeting,RegisteredOfficeOfReportingEntity,ReportingPeriodEndDate,ReportingPeriodStartDate,SelectedElementsFromReportingClassC,TelephoneNumberOfReportingEntity,TitleOfMemberOfExecutiveBoard,TypeOfAuditorAssistance,_id,_index,_score,cvrNummer,indlaesningsId,indlaesningsTidspunkt,offentliggoerelsesTidspunkt,offentliggoerelsestype,omgoerelse,regNummer,regnskabsperiode_slutDato,regnskabsperiode_startDato,sagsNummer,sidstOpdateret,EmployeeBenefitsExpense,GrossProfitLoss,OtherFinanceExpenses,ProfitLossFromOrdinaryActivitiesBeforeTax,ProfitLossFromOrdinaryOperatingActivities,TaxExpenseOnOrdinaryActivities,Assets,CashAndCashEquivalents,ContributedCapital,CurrentAssets,DepositsLongtermInvestmentsAndReceivables,Equity,LiabilitiesAndEquity,LiabilitiesOtherThanProvisions,LongtermInvestmentsAndReceivables,NoncurrentAssets,OtherShorttermPayables,ProposedDividendRecognisedInEquity,RetainedEarnings,SharePremium,ShorttermLiabilitiesOtherThanProvisions,ShorttermPayablesToGroupEnterprises,ShorttermPayablesToShareholdersAndManagement,ShorttermReceivables,ShorttermReceivablesFromGroupEnterprises,ShorttermTradePayables,ShorttermTradeReceivables,NameAndSurnameOfMemberOfExecutiveBoard
36074795,2016-01-01,2016-12-31,ID_10,,http://regnskaber.virk.dk/59747063/ZG9rdW1lbnRsYWdlcjovLzAzLzYxL2M5L2EwL2RiLzlkY2EtNDBkMi1hYmU0LTcxYmJiMGY2ZDQxYw.pdf,http://regnskaber.virk.dk/59747063/ZG9rdW1lbnRsYWdlcjovLzAzLzA3L2M4L2Y2LzEyLzJkYTgtNDc3Mi1hNDQxLTI2YzhkMzM3ODgzOA.xml,false,"Tune, 4030",TinggÃ¥rdsvÃ¦nget 60,1.0,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2017 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar 2017 - 31. december 2017.",Betingelserne for at undlade revision af Ã¥rsregnskabet anses som opfyldt.,2018-03-21,2018-03-21,2015-08-16,2018-03-21,kj@finanzia.dk,www.finanzia.dk,36074795.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar 2017 - 31. december 2017 for Finanzia ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Kim Jensen,Sydbank,Finanzia ApS,Finanzia ApS,Tune,2016-01-01,2016-12-31,-31251.0,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,"Greve, 253",2017-12-31,2017-01-01,false,2971 1710,Administrerende direktÃ¸r,Ingen bistand,urn:ofk:oid:25212807,indberetninger-20180424,2.5097403999999996,36074795.0,,2018-04-04T09:26:33.726Z,2018-03-21T14:22:19.113Z,regnskab,0.0,,2017-12-31,2017-01-01,X18-AG-29-DC,2018-03-21T14:22:19.968Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36074795,2016-01-01,2016-12-31,ID_6,,http://regnskaber.virk.dk/59747063/ZG9rdW1lbnRsYWdlcjovLzAzLzYxL2M5L2EwL2RiLzlkY2EtNDBkMi1hYmU0LTcxYmJiMGY2ZDQxYw.pdf,http://regnskaber.virk.dk/59747063/ZG9rdW1lbnRsYWdlcjovLzAzLzA3L2M4L2Y2LzEyLzJkYTgtNDc3Mi1hNDQxLTI2YzhkMzM3ODgzOA.xml,false,"Tune, 4030",TinggÃ¥rdsvÃ¦nget 60,1.0,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2017 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar 2017 - 31. december 2017.",Betingelserne for at undlade revision af Ã¥rsregnskabet anses som opfyldt.,2018-03-21,2018-03-21,2015-08-16,2018-03-21,kj@finanzia.dk,www.finanzia.dk,36074795.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar 2017 - 31. december 2017 for Finanzia ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Kim Jensen,Sydbank,Finanzia ApS,Finanzia ApS,Tune,2016-01-01,2016-12-31,281251.0,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,"Greve, 253",2017-12-31,2017-01-01,false,2971 1710,Administrerende direktÃ¸r,Ingen bistand,urn:ofk:oid:25212807,indberetninger-20180424,2.5097403999999996,36074795.0,,2018-04-04T09:26:33.726Z,2018-03-21T14:22:19.113Z,regnskab,0.0,,2017-12-31,2017-01-01,X18-AG-29-DC,2018-03-21T14:22:19.968Z,0.0,361534.0,0.0,361534.0,361534.0,80283.0,,,,,,,,,,,,,,,,,,,,,,
36074795,2016-01-01,2016-12-31,ID_8,,http://regnskaber.virk.dk/59747063/ZG9rdW1lbnRsYWdlcjovLzAzLzYxL2M5L2EwL2RiLzlkY2EtNDBkMi1hYmU0LTcxYmJiMGY2ZDQxYw.pdf,http://regnskaber.virk.dk/59747063/ZG9rdW1lbnRsYWdlcjovLzAzLzA3L2M4L2Y2LzEyLzJkYTgtNDc3Mi1hNDQxLTI2YzhkMzM3ODgzOA.xml,false,"Tune, 4030",TinggÃ¥rdsvÃ¦nget 60,1.0,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2017 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar 2017 - 31. december 2017.",Betingelserne for at undlade revision af Ã¥rsregnskabet anses som opfyldt.,2018-03-21,2018-03-21,2015-08-16,2018-03-21,kj@finanzia.dk,www.finanzia.dk,36074795.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar 2017 - 31. december 2017 for Finanzia ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Kim Jensen,Sydbank,Finanzia ApS,Finanzia ApS,Tune,2016-01-01,2016-12-31,-250000.0,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,"Greve, 253",2017-12-31,2017-01-01,false,2971 1710,Administrerende direktÃ¸r,Ingen bistand,urn:ofk:oid:25212807,indberetninger-20180424,2.5097403999999996,36074795.0,,2018-04-04T09:26:33.726Z,2018-03-21T14:22:19.113Z,regnskab,0.0,,2017-12-31,2017-01-01,X18-AG-29-DC,2018-03-21T14:22:19.968Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36074795,2016-12-31,2016-12-31,ID_4,,http://regnskaber.virk.dk/59747063/ZG9rdW1lbnRsYWdlcjovLzAzLzYxL2M5L2EwL2RiLzlkY2EtNDBkMi1hYmU0LTcxYmJiMGY2ZDQxYw.pdf,http://regnskaber.virk.dk/59747063/ZG9rdW1lbnRsYWdlcjovLzAzLzA3L2M4L2Y2LzEyLzJkYTgtNDc3Mi1hNDQxLTI2YzhkMzM3ODgzOA.xml,false,"Tune, 4030",TinggÃ¥rdsvÃ¦nget 60,1.0,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2017 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar 2017 - 31. december 2017.",Betingelserne for at undlade revision af Ã¥rsregnskabet anses som opfyldt.,2018-03-21,2018-03-21,2015-08-16,2018-03-21,kj@finanzia.dk,www.finanzia.dk,36074795.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar 2017 - 31. december 2017 for Finanzia ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Kim Jensen,Sydbank,Finanzia ApS,Finanzia ApS,Tune,2016-01-01,2016-12-31,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,"Greve, 253",2017-12-31,2017-01-01,false,2971 1710,Administrerende direktÃ¸r,Ingen bistand,urn:ofk:oid:25212807,indberetninger-20180424,2.5097403999999996,36074795.0,,2018-04-04T09:26:33.726Z,2018-03-21T14:22:19.113Z,regnskab,0.0,,2017-12-31,2017-01-01,X18-AG-29-DC,2018-03-21T14:22:19.968Z,,,,,,,611558.0,577120.0,50100.0,611558.0,0.0,320901.0,611558.0,290657.0,0.0,0.0,25052.0,250000.0,13787.0,7014.0,290657.0,262564.0,3041.0,34438.0,0.0,0.0,34438.0,
36074795,2017-01-01,2017-12-31,ID_0,,http://regnskaber.virk.dk/59747063/ZG9rdW1lbnRsYWdlcjovLzAzLzYxL2M5L2EwL2RiLzlkY2EtNDBkMi1hYmU0LTcxYmJiMGY2ZDQxYw.pdf,http://regnskaber.virk.dk/59747063/ZG9rdW1lbnRsYWdlcjovLzAzLzA3L2M4L2Y2LzEyLzJkYTgtNDc3Mi1hNDQxLTI2YzhkMzM3ODgzOA.xml,false,"Tune, 4030",TinggÃ¥rdsvÃ¦nget 60,1.0,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2017 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar 2017 - 31. december 2017.",Betingelserne for at undlade revision af Ã¥rsregnskabet anses som opfyldt.,2018-03-21,2018-03-21,2015-08-16,2018-03-21,kj@finanzia.dk,www.finanzia.dk,36074795.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar 2017 - 31. december 2017 for Finanzia ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Kim Jensen,Sydbank,Finanzia ApS,Finanzia ApS,Tune,2016-01-01,2016-12-31,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,"Greve, 253",2017-12-31,2017-01-01,false,2971 1710,Administrerende direktÃ¸r,Ingen bistand,urn:ofk:oid:25212807,indberetninger-20180424,2.5097403999999996,36074795.0,,2018-04-04T09:26:33.726Z,2018-03-21T14:22:19.113Z,regnskab,0.0,,2017-12-31,2017-01-01,X18-AG-29-DC,2018-03-21T14:22:19.968Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kim Jensen
36074795,2017-01-01,2017-12-31,ID_1,,http://regnskaber.virk.dk/59747063/ZG9rdW1lbnRsYWdlcjovLzAzLzYxL2M5L2EwL2RiLzlkY2EtNDBkMi1hYmU0LTcxYmJiMGY2ZDQxYw.pdf,http://regnskaber.virk.dk/59747063/ZG9rdW1lbnRsYWdlcjovLzAzLzA3L2M4L2Y2LzEyLzJkYTgtNDc3Mi1hNDQxLTI2YzhkMzM3ODgzOA.xml,false,"Tune, 4030",TinggÃ¥rdsvÃ¦nget 60,1.0,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2017 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar 2017 - 31. december 2017.",Betingelserne for at undlade revision af Ã¥rsregnskabet anses som opfyldt.,2018-03-21,2018-03-21,2015-08-16,2018-03-21,kj@finanzia.dk,www.finanzia.dk,36074795.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar 2017 - 31. december 2017 for Finanzia ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Kim Jensen,Sydbank,Finanzia ApS,Finanzia ApS,Tune,2016-01-01,2016-12-31,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,"Greve, 253",2017-12-31,2017-01-01,false,2971 1710,Administrerende direktÃ¸r,Ingen bistand,urn:ofk:oid:25212807,indberetninger-20180424,2.5097403999999996,36074795.0,,2018-04-04T09:26:33.726Z,2018-03-21T14:22:19.113Z,regnskab,0.0,,2017-12-31,2017-01-01,X18-AG-29-DC,2018-03-21T14:22:19.968Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36074795,2017-01-01,2017-12-31,ID_2,,http://regnskaber.virk.dk/59747063/ZG9rdW1lbnRsYWdlcjovLzAzLzYxL2M5L2EwL2RiLzlkY2EtNDBkMi1hYmU0LTcxYmJiMGY2ZDQxYw.pdf,http://regnskaber.virk.dk/59747063/ZG9rdW1lbnRsYWdlcjovLzAzLzA3L2M4L2Y2LzEyLzJkYTgtNDc3Mi1hNDQxLTI2YzhkMzM3ODgzOA.xml,false,"Tune, 4030",TinggÃ¥rdsvÃ¦nget 60,1.0,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2017 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar 2017 - 31. december 2017.",Betingelserne for at undlade revision af Ã¥rsregnskabet anses som opfyldt.,2018-03-21,2018-03-21,2015-08-16,2018-03-21,kj@finanzia.dk,www.finanzia.dk,36074795.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar 2017 - 31. december 2017 for Finanzia ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Kim Jensen,Sydbank,Finanzia ApS,Finanzia ApS,Tune,2016-01-01,2016-12-31,367050.0,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,"Greve, 253",2017-12-31,2017-01-01,false,2971 1710,Administrerende direktÃ¸r,Ingen bistand,urn:ofk:oid:25212807,indberetninger-20180424,2.5097403999999996,36074795.0,,2018-04-04T09:26:33.726Z,2018-03-21T14:22:19.113Z,regnskab,0.0,,2017-12-31,2017-01-01,X18-AG-29-DC,2018-03-21T14:22:19.968Z,679515.0,1153860.0,15.0,474330.0,474345.0,107280.0,,,,,,,,,,,,,,,,,,,,,,
36074795,2017-01-01,2017-12-31,ID_5,,http://regnskaber.virk.dk/59747063/ZG9rdW1lbnRsYWdlcjovLzAzLzYxL2M5L2EwL2RiLzlkY2EtNDBkMi1hYmU0LTcxYmJiMGY2ZDQxYw.pdf,http://regnskaber.virk.dk/59747063/ZG9rdW1lbnRsYWdlcjovLzAzLzA3L2M4L2Y2LzEyLzJkYTgtNDc3Mi1hNDQxLTI2YzhkMzM3ODgzOA.xml,false,"Tune, 4030",TinggÃ¥rdsvÃ¦nget 60,1.0,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2017 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar 2017 - 31. december 2017.",Betingelserne for at undlade revision af Ã¥rsregnskabet anses som opfyldt.,2018-03-21,2018-03-21,2015-08-16,2018-03-21,kj@finanzia.dk,www.finanzia.dk,36074795.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar 2017 - 31. december 2017 for Finanzia ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Kim Jensen,Sydbank,Finanzia ApS,Finanzia ApS,Tune,2016-01-01,2016-12-31,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,"Greve, 253",2017-12-31,2017-01-01,false,2971 1710,Administrerende direktÃ¸r,Ingen bistand,urn:ofk:oid:25212807,indberetninger-20180424,2.5097403999999996,36074795.0,,2018-04-04T09:26:33.726Z,2018-03-21T14:22:19.113Z,regnskab,0.0,,2017-12-31,2017-01-01,X18-AG-29-DC,2018-03-21T14:22:19.968Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36074795,2017-01-01,2017-12-31,ID_7,,http://regnskaber.virk.dk/59747063/ZG9rdW1lbnRsYWdlcjovLzAzLzYxL2M5L2EwL2RiLzlkY2EtNDBkMi1hYmU0LTcxYmJiMGY2ZDQxYw.pdf,http://regnskaber.virk.dk/59747063/ZG9rdW1lbnRsYWdlcjovLzAzLzA3L2M4L2Y2LzEyLzJkYTgtNDc3Mi1hNDQxLTI2YzhkMzM3ODgzOA.xml,false,"Tune, 4030",TinggÃ¥rdsvÃ¦nget 60,1.0,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2017 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar 2017 - 31. december 2017.",Betingelserne for at undlade revision af Ã¥rsregnskabet anses som opfyldt.,2018-03-21,2018-03-21,2015-08-16,2018-03-21,kj@finanzia.dk,www.finanzia.dk,36074795.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar 2017 - 31. december 2017 for Finanzia ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Kim Jensen,Sydbank,Finanzia ApS,Finanzia ApS,Tune,2016-01-01,2016-12-31,-350000.0,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,"Greve, 253",2017-12-31,2017-01-01,false,2971 1710,Administrerende direktÃ¸r,Ingen bistand,urn:ofk:oid:25212807,indberetninger-20180424,2.5097403999999996,36074795.0,,2018-04-04T09:26:33.726Z,2018-03-21T14:22:19.113Z,regnskab,0.0,,2017-12-31,2017-01-01,X18-AG-29-DC,2018-03-21T14:22:19.968Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36074795,2017-01-01,2017-12-31,ID_9,,http://regnskaber.virk.dk/59747063/ZG9rdW1lbnRsYWdlcjovLzAzLzYxL2M5L2EwL2RiLzlkY2EtNDBkMi1hYmU0LTcxYmJiMGY2ZDQxYw.pdf,http://regnskaber.virk.dk/59747063/ZG9rdW1lbnRsYWdlcjovLzAzLzA3L2M4L2Y2LzEyLzJkYTgtNDc3Mi1hNDQxLTI2YzhkMzM3ODgzOA.xml,false,"Tune, 4030",TinggÃ¥rdsvÃ¦nget 60,1.0,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2017 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar 2017 - 31. december 2017.",Betingelserne for at undlade revision af Ã¥rsregnskabet anses som opfyldt.,2018-03-21,2018-03-21,2015-08-16,2018-03-21,kj@finanzia.dk,www.finanzia.dk,36074795.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar 2017 - 31. december 2017 for Finanzia ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Kim Jensen,Sydbank,Finanzia ApS,Finanzia ApS,Tune,2016-01-01,2016-12-31,-17050.0,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,"Greve, 253",2017-12-31,2017-01-01,false,2971 1710,Administrerende direktÃ¸r,Ingen bistand,urn:ofk:oid:25212807,indberetninger-20180424,2.5097403999999996,36074795.0,,2018-04-04T09:26:33.726Z,2018-03-21T14:22:19.113Z,regnskab,0.0,,2017-12-31,2017-01-01,X18-AG-29-DC,2018-03-21T14:22:19.968Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,
