entity,start_date,end_date,context,AARSRAPPORT_html,AARSRAPPORT_pdf,AARSRAPPORT_xml,AccountingPoliciesAreUnchangedFromPreviousPeriod,AddressOfReportingEntityDistrictName,AddressOfReportingEntityPostCodeIdentifier,AddressOfReportingEntityStreetBuildingIdentifier,AddressOfReportingEntityStreetName,AddressOfSubmittingEnterprisePostcodeAndTown,AddressOfSubmittingEnterpriseStreetAndNumber,ClassOfReportingEntity,DateOfApprovalOfAnnualReport,DateOfGeneralMeeting,DepreciationAmortisationExpenseAndImpairmentLossesOfPropertyPlantAndEquipmentAndIntangibleAssetsRecognisedInProfitOrLoss,DisclosureOfMainActivitiesAndAccountingAndFinancialMatters,GrossResult,IdentificationNumberCvrOfReportingEntity,InformationOnReportingClassOfEntity,InformationOnTypeOfSubmittedReport,NameAndSurnameOfChairmanOfGeneralMeeting,NameAndSurnameOfMemberOfExecutiveBoard,NameOfReportingEntity,NameOfSubmittingEnterprise,PlaceOfSignatureOfStatement,PrecedingReportingPeriodStartDate,PredingReportingPeriodEndDate,ProfitLoss,ProfitLossFromOrdinaryActivitiesBeforeTax,ProfitLossFromOrdinaryOperatingActivities,ReportingPeriodEndDate,ReportingPeriodStartDate,SelectedElementsFromReportingClassC,SelectedElementsFromReportingClassD,TaxExpense,TheCompanyHasPresentedTheAnnualReportEtcWithReferenceToTheDanishFinancialStatementsAct78aConcerningTheExceptionForReportingClassCMediumsizeSubsidiariesWhichChoosesToPresentTheAnnualReportEtcAccordingToReportingClassB,TheReportingEntityAppliesTheExceptionConcerningOptingOutOfTheStatementByManagementEtc,TypeOfAuditorAssistance,_id,_index,_score,cvrNummer,indlaesningsId,indlaesningsTidspunkt,offentliggoerelsesTidspunkt,offentliggoerelsestype,omgoerelse,regNummer,regnskabsperiode_slutDato,regnskabsperiode_startDato,sagsNummer,sidstOpdateret,Assets,CashAndCashEquivalents,ContributedCapital,CurrentAssets,Equity,LiabilitiesAndEquity,LiabilitiesOtherThanProvisions,OtherShorttermPayables,OtherShorttermReceivables,Provisions,ProvisionsForDeferredTax,RetainedEarnings,ShorttermLiabilitiesOtherThanProvisions,ShorttermReceivables
34603642,2016-01-01,2016-12-31,c2,http://regnskaber.virk.dk/24630643/ZG9rdW1lbnRsYWdlcjovLzAzLzczLzg0LzRkL2RhL2QyOTAtNDBkZS1hZDUyLWEwZGM0M2VhMjU1OA.xhtml,http://regnskaber.virk.dk/24630643/ZG9rdW1lbnRsYWdlcjovLzAzL2EwLzA3L2E4L2U3LzJmY2MtNDcyYS1iZTU3LTM1ODYwNjY4OWIxOA.pdf,http://regnskaber.virk.dk/24630643/ZG9rdW1lbnRsYWdlcjovLzAzL2I3L2NlLzQ1LzU4L2QxYjUtNDQ2MS1hMjdmLTY4MWZlZDBjODExMA.xml,true,Vejle,7100.0,10.0,Mosevej,7100 vejle,roms hule 8,Regnskabsklasse B,2018-03-15,2018-05-25,20000.0,"<p xmlns=""http://www.w3.org/1999/xhtml"">Selskabets hovedaktivitet bestÃ¥r udleje af driftsmidler samt i at vÃ¦re holdingsselskab.</p>",-126609.0,34603642.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Karin Weng,Karin Weng,BK HOLDING 2012 ApS,holm hansen p/s,Vejle,2016-01-01,2016-12-31,-148174.0,32916.0,-146609.0,2017-12-31,2017-01-01,false,false,1565.0,false,false,Ingen bistand,urn:ofk:oid:25554682,indberetninger-20180424,2.5949414,34603642.0,AWOiv9l0x8uVRSOdg4Ka,2018-05-27T17:58:02.255Z,2018-05-27T17:57:47.004Z,regnskab,0.0,,2017-12-31,2017-01-01,X18-AF-50-PT,2018-05-27T17:57:47.173Z,,,,,,,,,,,,,,
34603642,2016-01-01,2016-12-31,c4,http://regnskaber.virk.dk/24630643/ZG9rdW1lbnRsYWdlcjovLzAzLzczLzg0LzRkL2RhL2QyOTAtNDBkZS1hZDUyLWEwZGM0M2VhMjU1OA.xhtml,http://regnskaber.virk.dk/24630643/ZG9rdW1lbnRsYWdlcjovLzAzL2EwLzA3L2E4L2U3LzJmY2MtNDcyYS1iZTU3LTM1ODYwNjY4OWIxOA.pdf,http://regnskaber.virk.dk/24630643/ZG9rdW1lbnRsYWdlcjovLzAzL2I3L2NlLzQ1LzU4L2QxYjUtNDQ2MS1hMjdmLTY4MWZlZDBjODExMA.xml,true,Vejle,7100.0,10.0,Mosevej,7100 vejle,roms hule 8,Regnskabsklasse B,2018-03-15,2018-05-25,,"<p xmlns=""http://www.w3.org/1999/xhtml"">Selskabets hovedaktivitet bestÃ¥r udleje af driftsmidler samt i at vÃ¦re holdingsselskab.</p>",,34603642.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Karin Weng,Karin Weng,BK HOLDING 2012 ApS,holm hansen p/s,Vejle,2016-01-01,2016-12-31,-40120.0,32916.0,,2017-12-31,2017-01-01,false,false,,false,false,Ingen bistand,urn:ofk:oid:25554682,indberetninger-20180424,2.5949414,34603642.0,AWOiv9l0x8uVRSOdg4Ka,2018-05-27T17:58:02.255Z,2018-05-27T17:57:47.004Z,regnskab,0.0,,2017-12-31,2017-01-01,X18-AF-50-PT,2018-05-27T17:57:47.173Z,,,,,,,,,,,,,,
34603642,2016-01-01,2016-12-31,c6,http://regnskaber.virk.dk/24630643/ZG9rdW1lbnRsYWdlcjovLzAzLzczLzg0LzRkL2RhL2QyOTAtNDBkZS1hZDUyLWEwZGM0M2VhMjU1OA.xhtml,http://regnskaber.virk.dk/24630643/ZG9rdW1lbnRsYWdlcjovLzAzL2EwLzA3L2E4L2U3LzJmY2MtNDcyYS1iZTU3LTM1ODYwNjY4OWIxOA.pdf,http://regnskaber.virk.dk/24630643/ZG9rdW1lbnRsYWdlcjovLzAzL2I3L2NlLzQ1LzU4L2QxYjUtNDQ2MS1hMjdmLTY4MWZlZDBjODExMA.xml,true,Vejle,7100.0,10.0,Mosevej,7100 vejle,roms hule 8,Regnskabsklasse B,2018-03-15,2018-05-25,,"<p xmlns=""http://www.w3.org/1999/xhtml"">Selskabets hovedaktivitet bestÃ¥r udleje af driftsmidler samt i at vÃ¦re holdingsselskab.</p>",,34603642.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Karin Weng,Karin Weng,BK HOLDING 2012 ApS,holm hansen p/s,Vejle,2016-01-01,2016-12-31,-108054.0,32916.0,,2017-12-31,2017-01-01,false,false,,false,false,Ingen bistand,urn:ofk:oid:25554682,indberetninger-20180424,2.5949414,34603642.0,AWOiv9l0x8uVRSOdg4Ka,2018-05-27T17:58:02.255Z,2018-05-27T17:57:47.004Z,regnskab,0.0,,2017-12-31,2017-01-01,X18-AF-50-PT,2018-05-27T17:57:47.173Z,,,,,,,,,,,,,,
34603642,2016-12-31,2016-12-31,c8,http://regnskaber.virk.dk/24630643/ZG9rdW1lbnRsYWdlcjovLzAzLzczLzg0LzRkL2RhL2QyOTAtNDBkZS1hZDUyLWEwZGM0M2VhMjU1OA.xhtml,http://regnskaber.virk.dk/24630643/ZG9rdW1lbnRsYWdlcjovLzAzL2EwLzA3L2E4L2U3LzJmY2MtNDcyYS1iZTU3LTM1ODYwNjY4OWIxOA.pdf,http://regnskaber.virk.dk/24630643/ZG9rdW1lbnRsYWdlcjovLzAzL2I3L2NlLzQ1LzU4L2QxYjUtNDQ2MS1hMjdmLTY4MWZlZDBjODExMA.xml,true,Vejle,7100.0,10.0,Mosevej,7100 vejle,roms hule 8,Regnskabsklasse B,2018-03-15,2018-05-25,,"<p xmlns=""http://www.w3.org/1999/xhtml"">Selskabets hovedaktivitet bestÃ¥r udleje af driftsmidler samt i at vÃ¦re holdingsselskab.</p>",,34603642.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Karin Weng,Karin Weng,BK HOLDING 2012 ApS,holm hansen p/s,Vejle,2016-01-01,2016-12-31,,32916.0,,2017-12-31,2017-01-01,false,false,,false,false,Ingen bistand,urn:ofk:oid:25554682,indberetninger-20180424,2.5949414,34603642.0,AWOiv9l0x8uVRSOdg4Ka,2018-05-27T17:58:02.255Z,2018-05-27T17:57:47.004Z,regnskab,0.0,,2017-12-31,2017-01-01,X18-AF-50-PT,2018-05-27T17:57:47.173Z,11483.0,753.0,80000.0,11483.0,-33864.0,11483.0,42687.0,42687.0,10730.0,2660.0,2660.0,-113864.0,42687.0,10730.0
34603642,2017-01-01,2017-01-01,c10,http://regnskaber.virk.dk/24630643/ZG9rdW1lbnRsYWdlcjovLzAzLzczLzg0LzRkL2RhL2QyOTAtNDBkZS1hZDUyLWEwZGM0M2VhMjU1OA.xhtml,http://regnskaber.virk.dk/24630643/ZG9rdW1lbnRsYWdlcjovLzAzL2EwLzA3L2E4L2U3LzJmY2MtNDcyYS1iZTU3LTM1ODYwNjY4OWIxOA.pdf,http://regnskaber.virk.dk/24630643/ZG9rdW1lbnRsYWdlcjovLzAzL2I3L2NlLzQ1LzU4L2QxYjUtNDQ2MS1hMjdmLTY4MWZlZDBjODExMA.xml,true,Vejle,7100.0,10.0,Mosevej,7100 vejle,roms hule 8,Regnskabsklasse B,2018-03-15,2018-05-25,,"<p xmlns=""http://www.w3.org/1999/xhtml"">Selskabets hovedaktivitet bestÃ¥r udleje af driftsmidler samt i at vÃ¦re holdingsselskab.</p>",,34603642.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Karin Weng,Karin Weng,BK HOLDING 2012 ApS,holm hansen p/s,Vejle,2016-01-01,2016-12-31,,32916.0,,2017-12-31,2017-01-01,false,false,,false,false,Ingen bistand,urn:ofk:oid:25554682,indberetninger-20180424,2.5949414,34603642.0,AWOiv9l0x8uVRSOdg4Ka,2018-05-27T17:58:02.255Z,2018-05-27T17:57:47.004Z,regnskab,0.0,,2017-12-31,2017-01-01,X18-AF-50-PT,2018-05-27T17:57:47.173Z,,,,,-113864.0,,,,,,,,,
34603642,2017-01-01,2017-01-01,c11,http://regnskaber.virk.dk/24630643/ZG9rdW1lbnRsYWdlcjovLzAzLzczLzg0LzRkL2RhL2QyOTAtNDBkZS1hZDUyLWEwZGM0M2VhMjU1OA.xhtml,http://regnskaber.virk.dk/24630643/ZG9rdW1lbnRsYWdlcjovLzAzL2EwLzA3L2E4L2U3LzJmY2MtNDcyYS1iZTU3LTM1ODYwNjY4OWIxOA.pdf,http://regnskaber.virk.dk/24630643/ZG9rdW1lbnRsYWdlcjovLzAzL2I3L2NlLzQ1LzU4L2QxYjUtNDQ2MS1hMjdmLTY4MWZlZDBjODExMA.xml,true,Vejle,7100.0,10.0,Mosevej,7100 vejle,roms hule 8,Regnskabsklasse B,2018-03-15,2018-05-25,,"<p xmlns=""http://www.w3.org/1999/xhtml"">Selskabets hovedaktivitet bestÃ¥r udleje af driftsmidler samt i at vÃ¦re holdingsselskab.</p>",,34603642.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Karin Weng,Karin Weng,BK HOLDING 2012 ApS,holm hansen p/s,Vejle,2016-01-01,2016-12-31,,32916.0,,2017-12-31,2017-01-01,false,false,,false,false,Ingen bistand,urn:ofk:oid:25554682,indberetninger-20180424,2.5949414,34603642.0,AWOiv9l0x8uVRSOdg4Ka,2018-05-27T17:58:02.255Z,2018-05-27T17:57:47.004Z,regnskab,0.0,,2017-12-31,2017-01-01,X18-AF-50-PT,2018-05-27T17:57:47.173Z,,,,,-33864.0,,,,,,,,,
34603642,2017-01-01,2017-01-01,c9,http://regnskaber.virk.dk/24630643/ZG9rdW1lbnRsYWdlcjovLzAzLzczLzg0LzRkL2RhL2QyOTAtNDBkZS1hZDUyLWEwZGM0M2VhMjU1OA.xhtml,http://regnskaber.virk.dk/24630643/ZG9rdW1lbnRsYWdlcjovLzAzL2EwLzA3L2E4L2U3LzJmY2MtNDcyYS1iZTU3LTM1ODYwNjY4OWIxOA.pdf,http://regnskaber.virk.dk/24630643/ZG9rdW1lbnRsYWdlcjovLzAzL2I3L2NlLzQ1LzU4L2QxYjUtNDQ2MS1hMjdmLTY4MWZlZDBjODExMA.xml,true,Vejle,7100.0,10.0,Mosevej,7100 vejle,roms hule 8,Regnskabsklasse B,2018-03-15,2018-05-25,,"<p xmlns=""http://www.w3.org/1999/xhtml"">Selskabets hovedaktivitet bestÃ¥r udleje af driftsmidler samt i at vÃ¦re holdingsselskab.</p>",,34603642.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Karin Weng,Karin Weng,BK HOLDING 2012 ApS,holm hansen p/s,Vejle,2016-01-01,2016-12-31,,32916.0,,2017-12-31,2017-01-01,false,false,,false,false,Ingen bistand,urn:ofk:oid:25554682,indberetninger-20180424,2.5949414,34603642.0,AWOiv9l0x8uVRSOdg4Ka,2018-05-27T17:58:02.255Z,2018-05-27T17:57:47.004Z,regnskab,0.0,,2017-12-31,2017-01-01,X18-AF-50-PT,2018-05-27T17:57:47.173Z,,,,,80000.0,,,,,,,,,
34603642,2017-01-01,2017-12-31,c0,http://regnskaber.virk.dk/24630643/ZG9rdW1lbnRsYWdlcjovLzAzLzczLzg0LzRkL2RhL2QyOTAtNDBkZS1hZDUyLWEwZGM0M2VhMjU1OA.xhtml,http://regnskaber.virk.dk/24630643/ZG9rdW1lbnRsYWdlcjovLzAzL2EwLzA3L2E4L2U3LzJmY2MtNDcyYS1iZTU3LTM1ODYwNjY4OWIxOA.pdf,http://regnskaber.virk.dk/24630643/ZG9rdW1lbnRsYWdlcjovLzAzL2I3L2NlLzQ1LzU4L2QxYjUtNDQ2MS1hMjdmLTY4MWZlZDBjODExMA.xml,true,Vejle,7100.0,10.0,Mosevej,7100 vejle,roms hule 8,Regnskabsklasse B,2018-03-15,2018-05-25,0.0,"<p xmlns=""http://www.w3.org/1999/xhtml"">Selskabets hovedaktivitet bestÃ¥r udleje af driftsmidler samt i at vÃ¦re holdingsselskab.</p>",32916.0,34603642.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Karin Weng,Karin Weng,BK HOLDING 2012 ApS,holm hansen p/s,Vejle,2016-01-01,2016-12-31,22350.0,32916.0,32916.0,2017-12-31,2017-01-01,false,false,10566.0,false,false,Ingen bistand,urn:ofk:oid:25554682,indberetninger-20180424,2.5949414,34603642.0,AWOiv9l0x8uVRSOdg4Ka,2018-05-27T17:58:02.255Z,2018-05-27T17:57:47.004Z,regnskab,0.0,,2017-12-31,2017-01-01,X18-AF-50-PT,2018-05-27T17:57:47.173Z,,,,,,,,,,,,,,
34603642,2017-01-01,2017-12-31,c1,http://regnskaber.virk.dk/24630643/ZG9rdW1lbnRsYWdlcjovLzAzLzczLzg0LzRkL2RhL2QyOTAtNDBkZS1hZDUyLWEwZGM0M2VhMjU1OA.xhtml,http://regnskaber.virk.dk/24630643/ZG9rdW1lbnRsYWdlcjovLzAzL2EwLzA3L2E4L2U3LzJmY2MtNDcyYS1iZTU3LTM1ODYwNjY4OWIxOA.pdf,http://regnskaber.virk.dk/24630643/ZG9rdW1lbnRsYWdlcjovLzAzL2I3L2NlLzQ1LzU4L2QxYjUtNDQ2MS1hMjdmLTY4MWZlZDBjODExMA.xml,true,Vejle,7100.0,10.0,Mosevej,7100 vejle,roms hule 8,Regnskabsklasse B,2018-03-15,2018-05-25,,"<p xmlns=""http://www.w3.org/1999/xhtml"">Selskabets hovedaktivitet bestÃ¥r udleje af driftsmidler samt i at vÃ¦re holdingsselskab.</p>",,34603642.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Karin Weng,Karin Weng,BK HOLDING 2012 ApS,holm hansen p/s,Vejle,2016-01-01,2016-12-31,,32916.0,,2017-12-31,2017-01-01,false,false,,false,false,Ingen bistand,urn:ofk:oid:25554682,indberetninger-20180424,2.5949414,34603642.0,AWOiv9l0x8uVRSOdg4Ka,2018-05-27T17:58:02.255Z,2018-05-27T17:57:47.004Z,regnskab,0.0,,2017-12-31,2017-01-01,X18-AF-50-PT,2018-05-27T17:57:47.173Z,,,,,,,,,,,,,,
34603642,2017-01-01,2017-12-31,c12,http://regnskaber.virk.dk/24630643/ZG9rdW1lbnRsYWdlcjovLzAzLzczLzg0LzRkL2RhL2QyOTAtNDBkZS1hZDUyLWEwZGM0M2VhMjU1OA.xhtml,http://regnskaber.virk.dk/24630643/ZG9rdW1lbnRsYWdlcjovLzAzL2EwLzA3L2E4L2U3LzJmY2MtNDcyYS1iZTU3LTM1ODYwNjY4OWIxOA.pdf,http://regnskaber.virk.dk/24630643/ZG9rdW1lbnRsYWdlcjovLzAzL2I3L2NlLzQ1LzU4L2QxYjUtNDQ2MS1hMjdmLTY4MWZlZDBjODExMA.xml,true,Vejle,7100.0,10.0,Mosevej,7100 vejle,roms hule 8,Regnskabsklasse B,2018-03-15,2018-05-25,,"<p xmlns=""http://www.w3.org/1999/xhtml"">Selskabets hovedaktivitet bestÃ¥r udleje af driftsmidler samt i at vÃ¦re holdingsselskab.</p>",,34603642.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Karin Weng,Karin Weng,BK HOLDING 2012 ApS,holm hansen p/s,Vejle,2016-01-01,2016-12-31,0.0,32916.0,,2017-12-31,2017-01-01,false,false,,false,false,Ingen bistand,urn:ofk:oid:25554682,indberetninger-20180424,2.5949414,34603642.0,AWOiv9l0x8uVRSOdg4Ka,2018-05-27T17:58:02.255Z,2018-05-27T17:57:47.004Z,regnskab,0.0,,2017-12-31,2017-01-01,X18-AF-50-PT,2018-05-27T17:57:47.173Z,,,,,,,,,,,,,,
