entity,start_date,end_date,context,AARSRAPPORT_html,AARSRAPPORT_pdf,AARSRAPPORT_xml,AccountingPoliciesAreUnchangedFromPreviousPeriod,AddressOfAuditorDistrictName,AddressOfAuditorPostCodeIdentifier,AddressOfAuditorStreetBuildingIdentifier,AddressOfAuditorStreetName,AddressOfFinancialDistrictName,AddressOfFinancialPostCodeIdentifier,AddressOfFinancialStreetBuildingIdentifier,AddressOfFinancialStreetName,AddressOfReportingEntityPostCodeIdentifier,AddressOfReportingEntityStreetName,AddressOfSubmittingEnterprisePostcodeAndTown,AddressOfSubmittingEnterpriseStreetAndNumber,AddresseeOfAuditorsReportOnAuditedFinancialStatements,ClassOfReportingEntity,ConfirmationThatAnnualReportIsPresentedInAccordanceWithRequirementsProvidedForByLegislationAnyStandardsAndRequirementsProvidedByArticlesOfAssociationOrByAgreement,ConfirmationThatFinancialStatementGivesTrueAndFairViewOfAssetsLiabilitiesEquityFinancialPositionAndResults,DateOfApprovalOfAnnualReport,DateOfFoundationOfReportingEntity,DateOfGeneralMeeting,DescriptionOfAuditor,IdentificationNumberCvrOfAuditFirm,IdentificationNumberCvrOfReportingEntity,IdentificationNumberCvrOfSubmittingEnterprise,IdentificationOfApprovedAnnualReport,IdentificationOfAuditedFinancialStatements,InformationOnTypeOfSubmittedReport,LongtermLiabilitiesOtherThanProvisionsDueAfterFiveYearsAndMore,LongtermLiabilitiesOtherThanProvisionsDueInOneYear,ManagementsStatementAboutManagementsReview,NameAndSurnameOfAuditor,NameAndSurnameOfChairmanOfGeneralMeeting,NameOfFinancialInstitution,NameOfReportingEntity,NameOfSubmittingEnterprise,PlaceOfSignatureOfStatement,ProfitLoss,RecommendationForApprovalOfAnnualReportByGeneralMeeting,RegisteredOfficeOfReportingEntity,ReportingPeriodEndDate,ReportingPeriodStartDate,SignatureOfAuditorsDate,SignatureOfAuditorsPlace,TypeOfAuditorAssistance,_id,_index,_score,cvrNummer,indlaesningsId,indlaesningsTidspunkt,offentliggoerelsesTidspunkt,offentliggoerelsestype,omgoerelse,regNummer,regnskabsperiode_slutDato,regnskabsperiode_startDato,sagsNummer,sidstOpdateret,AdjustmentsForDeferredTax,CostOfSales,CurrentTaxExpense,GrossResult,IncomeFromInvestmentsInGroupEnterprisesAndAssociates,IncomeFromOtherLongtermInvestmentsAndReceivables,InterestExpenseAssignedToGroupEnterprises,OtherExternalExpenses,OtherFinanceExpenses,OtherFinanceIncome,OtherInterestExpenses,OtherOperatingIncome,ProfitLossFromOrdinaryActivitiesBeforeTax,ProfitLossFromOrdinaryOperatingActivities,TaxExpenseOnOrdinaryActivities,Assets,CashAndCashEquivalents,ContributedCapital,CurrentAssets,Equity,LiabilitiesAndEquity,LiabilitiesOtherThanProvisions,LongtermInvestmentsAndReceivables,LongtermInvestmentsInAssociates,LongtermInvestmentsInGroupEnterprises,LongtermLiabilitiesOtherThanProvisions,LongtermReceivablesFromAssociates,LongtermReceivablesFromGroupEnterprises,NoncurrentAssets,OtherLongtermDebtRaisedByIssuanceOfBonds,OtherLongtermInvestments,OtherShorttermPayables,OtherShorttermReceivables,RetainedEarnings,ShorttermLiabilitiesOtherThanProvisions,ShorttermPayablesToGroupEnterprises,ShorttermPayablesToShareholdersAndManagement,ShorttermReceivables,ShorttermTaxPayables,ShorttermTaxReceivables,ShorttermTradePayables,AccumulatedImpairmentLossesAndDepreciationOfInvestments,InvestmentsGross,NameOfAuditFirm,NameAndSurnameOfMemberOfExecutiveBoard,AdditionsToInvestments,DisposalsOfInvestments,ReversalsOfImpairmentLossesOfInvestmentsFromPreviousPeriods
34072345,2014-01-01,2014-12-31,c110,,http://regnskaber.virk.dk/54327043/ZG9rdW1lbnRsYWdlcjovLzAzL2I2LzY5LzBkLzdiLzBmOWMtNDgwYS1hOWE4LWUwYjE3YWVmNmQ0OQ.pdf,http://regnskaber.virk.dk/54327043/ZG9rdW1lbnRsYWdlcjovLzAzLzFmLzU0L2VlL2UyLzUwMDktNGM5Ni1hZjhiLTM1ZTY0ZjEyMGEzYw.xml,1.0,Skive,7800.0,"1 U, 5. sal",Asylgade,SpÃ¸ttrup,7860.0,12A,SÃ¸ndergade,7860 SpÃ¸ttrup,"DalgÃ¥rdvej 11, BrÃ¸ndum",DK-7800 Skive,"Asylgade 1 U, 5. sal",Til kapitalejeren i HOT 064708 Holding ApS,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2015 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar - 31. december 2015.",2016-06-21,2011-11-29,2016-06-21,Statsautoriseret revisor,20222670.0,34072345.0,20222670.0,Direktionen har dags dato behandlet og godkendt Ã¥rsrapporten for 1. januar - 31. december 2015 for HOT 064708 Holding ApS.,"Vi har revideret Ã¥rsregnskabet for HOT 064708 Holding ApS for regnskabsÃ¥ret 1. januar - 31. december 2015, der omfatter anvendt regnskabspraksis, resultatopgÃ¸relse, balance og noter. Ãrsregnskabet udarbejdes efter Ã¥rsregnskabsloven.",Ãrsrapport,0.0,0.0,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Morten Hagerup,Esper Goul Jensen,Sparekassen Balling,HOT 064708 Holding ApS,BDO Statsautoriseret revisionsaktieselskab,Skive,1696907.0,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,Skive,2015-12-31,2015-01-01,2016-06-21,Skive,RevisionspÃ¥tegning,urn:ofk:oid:22753164,indberetninger-20180424,2.5117235,34072345.0,,2018-03-29T13:06:47.217Z,2016-06-21T15:27:23.064Z,regnskab,0.0,,2015-12-31,2015-01-01,X16-BA-14-YZ,2016-06-21T15:27:23.176Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34072345,2014-01-01,2014-12-31,c90,,http://regnskaber.virk.dk/54327043/ZG9rdW1lbnRsYWdlcjovLzAzL2I2LzY5LzBkLzdiLzBmOWMtNDgwYS1hOWE4LWUwYjE3YWVmNmQ0OQ.pdf,http://regnskaber.virk.dk/54327043/ZG9rdW1lbnRsYWdlcjovLzAzLzFmLzU0L2VlL2UyLzUwMDktNGM5Ni1hZjhiLTM1ZTY0ZjEyMGEzYw.xml,1.0,Skive,7800.0,"1 U, 5. sal",Asylgade,SpÃ¸ttrup,7860.0,12A,SÃ¸ndergade,7860 SpÃ¸ttrup,"DalgÃ¥rdvej 11, BrÃ¸ndum",DK-7800 Skive,"Asylgade 1 U, 5. sal",Til kapitalejeren i HOT 064708 Holding ApS,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2015 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar - 31. december 2015.",2016-06-21,2011-11-29,2016-06-21,Statsautoriseret revisor,20222670.0,34072345.0,20222670.0,Direktionen har dags dato behandlet og godkendt Ã¥rsrapporten for 1. januar - 31. december 2015 for HOT 064708 Holding ApS.,"Vi har revideret Ã¥rsregnskabet for HOT 064708 Holding ApS for regnskabsÃ¥ret 1. januar - 31. december 2015, der omfatter anvendt regnskabspraksis, resultatopgÃ¸relse, balance og noter. Ãrsregnskabet udarbejdes efter Ã¥rsregnskabsloven.",Ãrsrapport,0.0,0.0,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Morten Hagerup,Esper Goul Jensen,Sparekassen Balling,HOT 064708 Holding ApS,BDO Statsautoriseret revisionsaktieselskab,Skive,1696907.0,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,Skive,2015-12-31,2015-01-01,2016-06-21,Skive,RevisionspÃ¥tegning,urn:ofk:oid:22753164,indberetninger-20180424,2.5117235,34072345.0,,2018-03-29T13:06:47.217Z,2016-06-21T15:27:23.064Z,regnskab,0.0,,2015-12-31,2015-01-01,X16-BA-14-YZ,2016-06-21T15:27:23.176Z,34686.0,1560116.0,-336410.0,2745076.0,1282335.0,0.0,-56011.0,-85150.0,-667837.0,6542.0,-611826.0,-97375.0,1998631.0,2659926.0,-301724.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34072345,2014-12-31,2014-12-31,c112,,http://regnskaber.virk.dk/54327043/ZG9rdW1lbnRsYWdlcjovLzAzL2I2LzY5LzBkLzdiLzBmOWMtNDgwYS1hOWE4LWUwYjE3YWVmNmQ0OQ.pdf,http://regnskaber.virk.dk/54327043/ZG9rdW1lbnRsYWdlcjovLzAzLzFmLzU0L2VlL2UyLzUwMDktNGM5Ni1hZjhiLTM1ZTY0ZjEyMGEzYw.xml,1.0,Skive,7800.0,"1 U, 5. sal",Asylgade,SpÃ¸ttrup,7860.0,12A,SÃ¸ndergade,7860 SpÃ¸ttrup,"DalgÃ¥rdvej 11, BrÃ¸ndum",DK-7800 Skive,"Asylgade 1 U, 5. sal",Til kapitalejeren i HOT 064708 Holding ApS,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2015 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar - 31. december 2015.",2016-06-21,2011-11-29,2016-06-21,Statsautoriseret revisor,20222670.0,34072345.0,20222670.0,Direktionen har dags dato behandlet og godkendt Ã¥rsrapporten for 1. januar - 31. december 2015 for HOT 064708 Holding ApS.,"Vi har revideret Ã¥rsregnskabet for HOT 064708 Holding ApS for regnskabsÃ¥ret 1. januar - 31. december 2015, der omfatter anvendt regnskabspraksis, resultatopgÃ¸relse, balance og noter. Ãrsregnskabet udarbejdes efter Ã¥rsregnskabsloven.",Ãrsrapport,0.0,0.0,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Morten Hagerup,Esper Goul Jensen,Sparekassen Balling,HOT 064708 Holding ApS,BDO Statsautoriseret revisionsaktieselskab,Skive,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,Skive,2015-12-31,2015-01-01,2016-06-21,Skive,RevisionspÃ¥tegning,urn:ofk:oid:22753164,indberetninger-20180424,2.5117235,34072345.0,,2018-03-29T13:06:47.217Z,2016-06-21T15:27:23.064Z,regnskab,0.0,,2015-12-31,2015-01-01,X16-BA-14-YZ,2016-06-21T15:27:23.176Z,,,,,,,,,,,,,,,,7402523.0,3832.0,80000.0,849881.0,1560581.0,7402523.0,5841942.0,6552642.0,1475466.0,700000.0,707750.0,4315074.0,0.0,6552642.0,707750.0,62102.0,343553.0,0.0,1480581.0,5134192.0,2471903.0,40514.0,846049.0,2278222.0,846049.0,0.0,,,,,,,
34072345,2015-01-01,2015-01-01,c231,,http://regnskaber.virk.dk/54327043/ZG9rdW1lbnRsYWdlcjovLzAzL2I2LzY5LzBkLzdiLzBmOWMtNDgwYS1hOWE4LWUwYjE3YWVmNmQ0OQ.pdf,http://regnskaber.virk.dk/54327043/ZG9rdW1lbnRsYWdlcjovLzAzLzFmLzU0L2VlL2UyLzUwMDktNGM5Ni1hZjhiLTM1ZTY0ZjEyMGEzYw.xml,1.0,Skive,7800.0,"1 U, 5. sal",Asylgade,SpÃ¸ttrup,7860.0,12A,SÃ¸ndergade,7860 SpÃ¸ttrup,"DalgÃ¥rdvej 11, BrÃ¸ndum",DK-7800 Skive,"Asylgade 1 U, 5. sal",Til kapitalejeren i HOT 064708 Holding ApS,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2015 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar - 31. december 2015.",2016-06-21,2011-11-29,2016-06-21,Statsautoriseret revisor,20222670.0,34072345.0,20222670.0,Direktionen har dags dato behandlet og godkendt Ã¥rsrapporten for 1. januar - 31. december 2015 for HOT 064708 Holding ApS.,"Vi har revideret Ã¥rsregnskabet for HOT 064708 Holding ApS for regnskabsÃ¥ret 1. januar - 31. december 2015, der omfatter anvendt regnskabspraksis, resultatopgÃ¸relse, balance og noter. Ãrsregnskabet udarbejdes efter Ã¥rsregnskabsloven.",Ãrsrapport,0.0,0.0,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Morten Hagerup,Esper Goul Jensen,Sparekassen Balling,HOT 064708 Holding ApS,BDO Statsautoriseret revisionsaktieselskab,Skive,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,Skive,2015-12-31,2015-01-01,2016-06-21,Skive,RevisionspÃ¥tegning,urn:ofk:oid:22753164,indberetninger-20180424,2.5117235,34072345.0,,2018-03-29T13:06:47.217Z,2016-06-21T15:27:23.064Z,regnskab,0.0,,2015-12-31,2015-01-01,X16-BA-14-YZ,2016-06-21T15:27:23.176Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,700000.0,,,,,
34072345,2015-01-01,2015-01-01,c234,,http://regnskaber.virk.dk/54327043/ZG9rdW1lbnRsYWdlcjovLzAzL2I2LzY5LzBkLzdiLzBmOWMtNDgwYS1hOWE4LWUwYjE3YWVmNmQ0OQ.pdf,http://regnskaber.virk.dk/54327043/ZG9rdW1lbnRsYWdlcjovLzAzLzFmLzU0L2VlL2UyLzUwMDktNGM5Ni1hZjhiLTM1ZTY0ZjEyMGEzYw.xml,1.0,Skive,7800.0,"1 U, 5. sal",Asylgade,SpÃ¸ttrup,7860.0,12A,SÃ¸ndergade,7860 SpÃ¸ttrup,"DalgÃ¥rdvej 11, BrÃ¸ndum",DK-7800 Skive,"Asylgade 1 U, 5. sal",Til kapitalejeren i HOT 064708 Holding ApS,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2015 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar - 31. december 2015.",2016-06-21,2011-11-29,2016-06-21,Statsautoriseret revisor,20222670.0,34072345.0,20222670.0,Direktionen har dags dato behandlet og godkendt Ã¥rsrapporten for 1. januar - 31. december 2015 for HOT 064708 Holding ApS.,"Vi har revideret Ã¥rsregnskabet for HOT 064708 Holding ApS for regnskabsÃ¥ret 1. januar - 31. december 2015, der omfatter anvendt regnskabspraksis, resultatopgÃ¸relse, balance og noter. Ãrsregnskabet udarbejdes efter Ã¥rsregnskabsloven.",Ãrsrapport,0.0,0.0,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Morten Hagerup,Esper Goul Jensen,Sparekassen Balling,HOT 064708 Holding ApS,BDO Statsautoriseret revisionsaktieselskab,Skive,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,Skive,2015-12-31,2015-01-01,2016-06-21,Skive,RevisionspÃ¥tegning,urn:ofk:oid:22753164,indberetninger-20180424,2.5117235,34072345.0,,2018-03-29T13:06:47.217Z,2016-06-21T15:27:23.064Z,regnskab,0.0,,2015-12-31,2015-01-01,X16-BA-14-YZ,2016-06-21T15:27:23.176Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1145243.0,2620709.0,,,,,
34072345,2015-01-01,2015-01-01,c237,,http://regnskaber.virk.dk/54327043/ZG9rdW1lbnRsYWdlcjovLzAzL2I2LzY5LzBkLzdiLzBmOWMtNDgwYS1hOWE4LWUwYjE3YWVmNmQ0OQ.pdf,http://regnskaber.virk.dk/54327043/ZG9rdW1lbnRsYWdlcjovLzAzLzFmLzU0L2VlL2UyLzUwMDktNGM5Ni1hZjhiLTM1ZTY0ZjEyMGEzYw.xml,1.0,Skive,7800.0,"1 U, 5. sal",Asylgade,SpÃ¸ttrup,7860.0,12A,SÃ¸ndergade,7860 SpÃ¸ttrup,"DalgÃ¥rdvej 11, BrÃ¸ndum",DK-7800 Skive,"Asylgade 1 U, 5. sal",Til kapitalejeren i HOT 064708 Holding ApS,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2015 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar - 31. december 2015.",2016-06-21,2011-11-29,2016-06-21,Statsautoriseret revisor,20222670.0,34072345.0,20222670.0,Direktionen har dags dato behandlet og godkendt Ã¥rsrapporten for 1. januar - 31. december 2015 for HOT 064708 Holding ApS.,"Vi har revideret Ã¥rsregnskabet for HOT 064708 Holding ApS for regnskabsÃ¥ret 1. januar - 31. december 2015, der omfatter anvendt regnskabspraksis, resultatopgÃ¸relse, balance og noter. Ãrsregnskabet udarbejdes efter Ã¥rsregnskabsloven.",Ãrsrapport,0.0,0.0,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Morten Hagerup,Esper Goul Jensen,Sparekassen Balling,HOT 064708 Holding ApS,BDO Statsautoriseret revisionsaktieselskab,Skive,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,Skive,2015-12-31,2015-01-01,2016-06-21,Skive,RevisionspÃ¥tegning,urn:ofk:oid:22753164,indberetninger-20180424,2.5117235,34072345.0,,2018-03-29T13:06:47.217Z,2016-06-21T15:27:23.064Z,regnskab,0.0,,2015-12-31,2015-01-01,X16-BA-14-YZ,2016-06-21T15:27:23.176Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,62102.0,,,,,
34072345,2015-01-01,2015-01-01,c240,,http://regnskaber.virk.dk/54327043/ZG9rdW1lbnRsYWdlcjovLzAzL2I2LzY5LzBkLzdiLzBmOWMtNDgwYS1hOWE4LWUwYjE3YWVmNmQ0OQ.pdf,http://regnskaber.virk.dk/54327043/ZG9rdW1lbnRsYWdlcjovLzAzLzFmLzU0L2VlL2UyLzUwMDktNGM5Ni1hZjhiLTM1ZTY0ZjEyMGEzYw.xml,1.0,Skive,7800.0,"1 U, 5. sal",Asylgade,SpÃ¸ttrup,7860.0,12A,SÃ¸ndergade,7860 SpÃ¸ttrup,"DalgÃ¥rdvej 11, BrÃ¸ndum",DK-7800 Skive,"Asylgade 1 U, 5. sal",Til kapitalejeren i HOT 064708 Holding ApS,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2015 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar - 31. december 2015.",2016-06-21,2011-11-29,2016-06-21,Statsautoriseret revisor,20222670.0,34072345.0,20222670.0,Direktionen har dags dato behandlet og godkendt Ã¥rsrapporten for 1. januar - 31. december 2015 for HOT 064708 Holding ApS.,"Vi har revideret Ã¥rsregnskabet for HOT 064708 Holding ApS for regnskabsÃ¥ret 1. januar - 31. december 2015, der omfatter anvendt regnskabspraksis, resultatopgÃ¸relse, balance og noter. Ãrsregnskabet udarbejdes efter Ã¥rsregnskabsloven.",Ãrsrapport,0.0,0.0,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Morten Hagerup,Esper Goul Jensen,Sparekassen Balling,HOT 064708 Holding ApS,BDO Statsautoriseret revisionsaktieselskab,Skive,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,Skive,2015-12-31,2015-01-01,2016-06-21,Skive,RevisionspÃ¥tegning,urn:ofk:oid:22753164,indberetninger-20180424,2.5117235,34072345.0,,2018-03-29T13:06:47.217Z,2016-06-21T15:27:23.064Z,regnskab,0.0,,2015-12-31,2015-01-01,X16-BA-14-YZ,2016-06-21T15:27:23.176Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,
34072345,2015-01-01,2015-01-01,c243,,http://regnskaber.virk.dk/54327043/ZG9rdW1lbnRsYWdlcjovLzAzL2I2LzY5LzBkLzdiLzBmOWMtNDgwYS1hOWE4LWUwYjE3YWVmNmQ0OQ.pdf,http://regnskaber.virk.dk/54327043/ZG9rdW1lbnRsYWdlcjovLzAzLzFmLzU0L2VlL2UyLzUwMDktNGM5Ni1hZjhiLTM1ZTY0ZjEyMGEzYw.xml,1.0,Skive,7800.0,"1 U, 5. sal",Asylgade,SpÃ¸ttrup,7860.0,12A,SÃ¸ndergade,7860 SpÃ¸ttrup,"DalgÃ¥rdvej 11, BrÃ¸ndum",DK-7800 Skive,"Asylgade 1 U, 5. sal",Til kapitalejeren i HOT 064708 Holding ApS,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2015 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar - 31. december 2015.",2016-06-21,2011-11-29,2016-06-21,Statsautoriseret revisor,20222670.0,34072345.0,20222670.0,Direktionen har dags dato behandlet og godkendt Ã¥rsrapporten for 1. januar - 31. december 2015 for HOT 064708 Holding ApS.,"Vi har revideret Ã¥rsregnskabet for HOT 064708 Holding ApS for regnskabsÃ¥ret 1. januar - 31. december 2015, der omfatter anvendt regnskabspraksis, resultatopgÃ¸relse, balance og noter. Ãrsregnskabet udarbejdes efter Ã¥rsregnskabsloven.",Ãrsrapport,0.0,0.0,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Morten Hagerup,Esper Goul Jensen,Sparekassen Balling,HOT 064708 Holding ApS,BDO Statsautoriseret revisionsaktieselskab,Skive,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,Skive,2015-12-31,2015-01-01,2016-06-21,Skive,RevisionspÃ¥tegning,urn:ofk:oid:22753164,indberetninger-20180424,2.5117235,34072345.0,,2018-03-29T13:06:47.217Z,2016-06-21T15:27:23.064Z,regnskab,0.0,,2015-12-31,2015-01-01,X16-BA-14-YZ,2016-06-21T15:27:23.176Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,4315074.0,,,,,
34072345,2015-01-01,2015-01-01,c252,,http://regnskaber.virk.dk/54327043/ZG9rdW1lbnRsYWdlcjovLzAzL2I2LzY5LzBkLzdiLzBmOWMtNDgwYS1hOWE4LWUwYjE3YWVmNmQ0OQ.pdf,http://regnskaber.virk.dk/54327043/ZG9rdW1lbnRsYWdlcjovLzAzLzFmLzU0L2VlL2UyLzUwMDktNGM5Ni1hZjhiLTM1ZTY0ZjEyMGEzYw.xml,1.0,Skive,7800.0,"1 U, 5. sal",Asylgade,SpÃ¸ttrup,7860.0,12A,SÃ¸ndergade,7860 SpÃ¸ttrup,"DalgÃ¥rdvej 11, BrÃ¸ndum",DK-7800 Skive,"Asylgade 1 U, 5. sal",Til kapitalejeren i HOT 064708 Holding ApS,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2015 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar - 31. december 2015.",2016-06-21,2011-11-29,2016-06-21,Statsautoriseret revisor,20222670.0,34072345.0,20222670.0,Direktionen har dags dato behandlet og godkendt Ã¥rsrapporten for 1. januar - 31. december 2015 for HOT 064708 Holding ApS.,"Vi har revideret Ã¥rsregnskabet for HOT 064708 Holding ApS for regnskabsÃ¥ret 1. januar - 31. december 2015, der omfatter anvendt regnskabspraksis, resultatopgÃ¸relse, balance og noter. Ãrsregnskabet udarbejdes efter Ã¥rsregnskabsloven.",Ãrsrapport,0.0,0.0,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Morten Hagerup,Esper Goul Jensen,Sparekassen Balling,HOT 064708 Holding ApS,BDO Statsautoriseret revisionsaktieselskab,Skive,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,Skive,2015-12-31,2015-01-01,2016-06-21,Skive,RevisionspÃ¥tegning,urn:ofk:oid:22753164,indberetninger-20180424,2.5117235,34072345.0,,2018-03-29T13:06:47.217Z,2016-06-21T15:27:23.064Z,regnskab,0.0,,2015-12-31,2015-01-01,X16-BA-14-YZ,2016-06-21T15:27:23.176Z,,,,,,,,,,,,,,,,,,,,80000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34072345,2015-01-01,2015-01-01,c273,,http://regnskaber.virk.dk/54327043/ZG9rdW1lbnRsYWdlcjovLzAzL2I2LzY5LzBkLzdiLzBmOWMtNDgwYS1hOWE4LWUwYjE3YWVmNmQ0OQ.pdf,http://regnskaber.virk.dk/54327043/ZG9rdW1lbnRsYWdlcjovLzAzLzFmLzU0L2VlL2UyLzUwMDktNGM5Ni1hZjhiLTM1ZTY0ZjEyMGEzYw.xml,1.0,Skive,7800.0,"1 U, 5. sal",Asylgade,SpÃ¸ttrup,7860.0,12A,SÃ¸ndergade,7860 SpÃ¸ttrup,"DalgÃ¥rdvej 11, BrÃ¸ndum",DK-7800 Skive,"Asylgade 1 U, 5. sal",Til kapitalejeren i HOT 064708 Holding ApS,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2015 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar - 31. december 2015.",2016-06-21,2011-11-29,2016-06-21,Statsautoriseret revisor,20222670.0,34072345.0,20222670.0,Direktionen har dags dato behandlet og godkendt Ã¥rsrapporten for 1. januar - 31. december 2015 for HOT 064708 Holding ApS.,"Vi har revideret Ã¥rsregnskabet for HOT 064708 Holding ApS for regnskabsÃ¥ret 1. januar - 31. december 2015, der omfatter anvendt regnskabspraksis, resultatopgÃ¸relse, balance og noter. Ãrsregnskabet udarbejdes efter Ã¥rsregnskabsloven.",Ãrsrapport,0.0,0.0,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Morten Hagerup,Esper Goul Jensen,Sparekassen Balling,HOT 064708 Holding ApS,BDO Statsautoriseret revisionsaktieselskab,Skive,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,Skive,2015-12-31,2015-01-01,2016-06-21,Skive,RevisionspÃ¥tegning,urn:ofk:oid:22753164,indberetninger-20180424,2.5117235,34072345.0,,2018-03-29T13:06:47.217Z,2016-06-21T15:27:23.064Z,regnskab,0.0,,2015-12-31,2015-01-01,X16-BA-14-YZ,2016-06-21T15:27:23.176Z,,,,,,,,,,,,,,,,,,,,1480581.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
