entity,start_date,end_date,context,AARSRAPPORT_html,AARSRAPPORT_pdf,AARSRAPPORT_xml,AddressOfAuditorCountry,AddressOfAuditorCountryIdentificationCode,AddressOfAuditorDistrictName,AddressOfAuditorStreetBuildingIdentifier,AddressOfAuditorStreetName,AddressOfReportingEntityDistrictName,AddressOfReportingEntityPostCodeIdentifier,AddressOfReportingEntityStreetBuildingIdentifier,AddressOfReportingEntityStreetName,AddressOfSubmittingEnterprisePostcodeAndTown,AddressOfSubmittingEnterpriseStreetAndNumber,AddresseeOfAuditorsReportOnOtherReport,AuditorsReportsOtherReports,ClassOfReportingEntity,DateOfApprovalOfAnnualReport,DateOfGeneralMeeting,DescriptionOfAuditor,ExtraordinaryProfitLossBeforeTax,GrossProfitLoss,IdentificationNumberCvrOfAuditFirm,IdentificationNumberCvrOfReportingEntity,IdentificationNumberPnrOfAuditFirm,InformationOnReportingClassOfEntity,InformationOnTypeOfSubmittedReport,NameAndSurnameOfAuditor,NameAndSurnameOfChairmanOfGeneralMeeting,NameAndSurnameOfMemberOfExecutiveBoard,NameOfFinancialInstitution,NameOfReportingEntity,NameOfSubmittingEnterprise,PlaceOfSignatureOfStatement,PrecedingReportingPeriodStartDate,PredingReportingPeriodEndDate,ProfitLoss,ProfitLossFromOrdinaryActivitiesBeforeTax,ProfitLossFromOrdinaryOperatingActivities,ReportingPeriodEndDate,ReportingPeriodStartDate,SignatureOfAuditorsDate,SignatureOfAuditorsPlace,TypeOfAuditorAssistance,_id,_index,_score,cvrNummer,indlaesningsId,indlaesningsTidspunkt,offentliggoerelsesTidspunkt,offentliggoerelsestype,omgoerelse,regNummer,regnskabsperiode_slutDato,regnskabsperiode_startDato,sagsNummer,sidstOpdateret,Assets,CashAndCashEquivalents,ContributedCapital,CurrentAssets,Equity,LiabilitiesAndEquity,LiabilitiesOtherThanProvisions,OtherShorttermPayables,RetainedEarnings,ShorttermLiabilitiesOtherThanProvisions,NameOfAuditFirm,NameAndSurnameOfMemberOfSupervisoryBoard
13367043,2013-01-01,2013-12-31,c5,http://regnskaber.virk.dk/34076331/ZG9rdW1lbnRsYWdlcjovLzAzLzZhLzAyLzJjLzlkLzA0ZmItNDgxNi04NjE0LTUxOGVlYTM3ZTBjMg.xhtml,http://regnskaber.virk.dk/34076331/ZG9rdW1lbnRsYWdlcjovLzAzL2NkLzE5LzlmL2RmL2E4MTItNGM2OC04NDkyLTQyMmQxZDM4YzZmMw.pdf,http://regnskaber.virk.dk/34076331/ZG9rdW1lbnRsYWdlcjovLzAzLzVkL2ViLzNjLzEzLzAxMzgtNDI0YS04M2QwLTNkNmZiNWU4OTU2MQ.xml,Danmark,DK,Roskilde,"4, 1 null",Hovedvejen,Virum,2830.0,4.0,Geels Plads,4000 Roskilde,Hovedvejen 4,Til den daglige ledelse i Systuen Gima ApS,Revisors erklÃ¦ring om opstilling af Ã¥rsregnskab,Regnskabsklasse B,2015-05-14,2015-05-14,Registreret revisor,0.0,0.0,52886252.0,13367043.0,1008543298.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Iben Green Madsen,Kim Jacob Skaarup,Gitte Malmberg,Danske Bank A/S,SYSTUEN GIMA ApS,Iben Green Madsen,VÃ¦rlÃ¸se,2013-01-01,2013-12-31,0.0,0.0,0.0,2014-12-31,2014-01-01,2015-05-14,Roskilde,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:5241401,indberetninger-20180424,2.5953991000000003,13367043.0,,2018-03-30T11:28:06.361Z,2015-05-14T10:58:06.284Z,regnskab,0.0,,2014-12-31,2014-01-01,X15-AB-73-TG,2015-05-14T10:58:06.344Z,,,,,,,,,,,,
13367043,2013-01-01,2013-12-31,c7,http://regnskaber.virk.dk/34076331/ZG9rdW1lbnRsYWdlcjovLzAzLzZhLzAyLzJjLzlkLzA0ZmItNDgxNi04NjE0LTUxOGVlYTM3ZTBjMg.xhtml,http://regnskaber.virk.dk/34076331/ZG9rdW1lbnRsYWdlcjovLzAzL2NkLzE5LzlmL2RmL2E4MTItNGM2OC04NDkyLTQyMmQxZDM4YzZmMw.pdf,http://regnskaber.virk.dk/34076331/ZG9rdW1lbnRsYWdlcjovLzAzLzVkL2ViLzNjLzEzLzAxMzgtNDI0YS04M2QwLTNkNmZiNWU4OTU2MQ.xml,Danmark,DK,Roskilde,"4, 1 null",Hovedvejen,Virum,2830.0,4.0,Geels Plads,4000 Roskilde,Hovedvejen 4,Til den daglige ledelse i Systuen Gima ApS,Revisors erklÃ¦ring om opstilling af Ã¥rsregnskab,Regnskabsklasse B,2015-05-14,2015-05-14,Registreret revisor,,,52886252.0,13367043.0,1008543298.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Iben Green Madsen,Kim Jacob Skaarup,Gitte Malmberg,Danske Bank A/S,SYSTUEN GIMA ApS,Iben Green Madsen,VÃ¦rlÃ¸se,2013-01-01,2013-12-31,0.0,,,2014-12-31,2014-01-01,2015-05-14,Roskilde,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:5241401,indberetninger-20180424,2.5953991000000003,13367043.0,,2018-03-30T11:28:06.361Z,2015-05-14T10:58:06.284Z,regnskab,0.0,,2014-12-31,2014-01-01,X15-AB-73-TG,2015-05-14T10:58:06.344Z,,,,,,,,,,,,
13367043,2013-12-31,2013-12-31,c9,http://regnskaber.virk.dk/34076331/ZG9rdW1lbnRsYWdlcjovLzAzLzZhLzAyLzJjLzlkLzA0ZmItNDgxNi04NjE0LTUxOGVlYTM3ZTBjMg.xhtml,http://regnskaber.virk.dk/34076331/ZG9rdW1lbnRsYWdlcjovLzAzL2NkLzE5LzlmL2RmL2E4MTItNGM2OC04NDkyLTQyMmQxZDM4YzZmMw.pdf,http://regnskaber.virk.dk/34076331/ZG9rdW1lbnRsYWdlcjovLzAzLzVkL2ViLzNjLzEzLzAxMzgtNDI0YS04M2QwLTNkNmZiNWU4OTU2MQ.xml,Danmark,DK,Roskilde,"4, 1 null",Hovedvejen,Virum,2830.0,4.0,Geels Plads,4000 Roskilde,Hovedvejen 4,Til den daglige ledelse i Systuen Gima ApS,Revisors erklÃ¦ring om opstilling af Ã¥rsregnskab,Regnskabsklasse B,2015-05-14,2015-05-14,Registreret revisor,,,52886252.0,13367043.0,1008543298.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Iben Green Madsen,Kim Jacob Skaarup,Gitte Malmberg,Danske Bank A/S,SYSTUEN GIMA ApS,Iben Green Madsen,VÃ¦rlÃ¸se,2013-01-01,2013-12-31,,,,2014-12-31,2014-01-01,2015-05-14,Roskilde,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:5241401,indberetninger-20180424,2.5953991000000003,13367043.0,,2018-03-30T11:28:06.361Z,2015-05-14T10:58:06.284Z,regnskab,0.0,,2014-12-31,2014-01-01,X15-AB-73-TG,2015-05-14T10:58:06.344Z,80000.0,80000.0,80000.0,80000.0,80000.0,80000.0,0.0,0.0,0.0,0.0,,
13367043,2014-01-01,2014-12-31,c0,http://regnskaber.virk.dk/34076331/ZG9rdW1lbnRsYWdlcjovLzAzLzZhLzAyLzJjLzlkLzA0ZmItNDgxNi04NjE0LTUxOGVlYTM3ZTBjMg.xhtml,http://regnskaber.virk.dk/34076331/ZG9rdW1lbnRsYWdlcjovLzAzL2NkLzE5LzlmL2RmL2E4MTItNGM2OC04NDkyLTQyMmQxZDM4YzZmMw.pdf,http://regnskaber.virk.dk/34076331/ZG9rdW1lbnRsYWdlcjovLzAzLzVkL2ViLzNjLzEzLzAxMzgtNDI0YS04M2QwLTNkNmZiNWU4OTU2MQ.xml,Danmark,DK,Roskilde,"4, 1 null",Hovedvejen,Virum,2830.0,4.0,Geels Plads,4000 Roskilde,Hovedvejen 4,Til den daglige ledelse i Systuen Gima ApS,Revisors erklÃ¦ring om opstilling af Ã¥rsregnskab,Regnskabsklasse B,2015-05-14,2015-05-14,Registreret revisor,0.0,0.0,52886252.0,13367043.0,1008543298.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Iben Green Madsen,Kim Jacob Skaarup,Gitte Malmberg,Danske Bank A/S,SYSTUEN GIMA ApS,Iben Green Madsen,VÃ¦rlÃ¸se,2013-01-01,2013-12-31,0.0,0.0,0.0,2014-12-31,2014-01-01,2015-05-14,Roskilde,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:5241401,indberetninger-20180424,2.5953991000000003,13367043.0,,2018-03-30T11:28:06.361Z,2015-05-14T10:58:06.284Z,regnskab,0.0,,2014-12-31,2014-01-01,X15-AB-73-TG,2015-05-14T10:58:06.344Z,,,,,,,,,,,,
13367043,2014-01-01,2014-12-31,c1,http://regnskaber.virk.dk/34076331/ZG9rdW1lbnRsYWdlcjovLzAzLzZhLzAyLzJjLzlkLzA0ZmItNDgxNi04NjE0LTUxOGVlYTM3ZTBjMg.xhtml,http://regnskaber.virk.dk/34076331/ZG9rdW1lbnRsYWdlcjovLzAzL2NkLzE5LzlmL2RmL2E4MTItNGM2OC04NDkyLTQyMmQxZDM4YzZmMw.pdf,http://regnskaber.virk.dk/34076331/ZG9rdW1lbnRsYWdlcjovLzAzLzVkL2ViLzNjLzEzLzAxMzgtNDI0YS04M2QwLTNkNmZiNWU4OTU2MQ.xml,Danmark,DK,Roskilde,"4, 1 null",Hovedvejen,Virum,2830.0,4.0,Geels Plads,4000 Roskilde,Hovedvejen 4,Til den daglige ledelse i Systuen Gima ApS,Revisors erklÃ¦ring om opstilling af Ã¥rsregnskab,Regnskabsklasse B,2015-05-14,2015-05-14,Registreret revisor,,,52886252.0,13367043.0,1008543298.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Iben Green Madsen,Kim Jacob Skaarup,Gitte Malmberg,Danske Bank A/S,SYSTUEN GIMA ApS,Iben Green Madsen,VÃ¦rlÃ¸se,2013-01-01,2013-12-31,,,,2014-12-31,2014-01-01,2015-05-14,Roskilde,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:5241401,indberetninger-20180424,2.5953991000000003,13367043.0,,2018-03-30T11:28:06.361Z,2015-05-14T10:58:06.284Z,regnskab,0.0,,2014-12-31,2014-01-01,X15-AB-73-TG,2015-05-14T10:58:06.344Z,,,,,,,,,,,IGM REVISION V/IBEN GREEN MADSEN,
13367043,2014-01-01,2014-12-31,c2,http://regnskaber.virk.dk/34076331/ZG9rdW1lbnRsYWdlcjovLzAzLzZhLzAyLzJjLzlkLzA0ZmItNDgxNi04NjE0LTUxOGVlYTM3ZTBjMg.xhtml,http://regnskaber.virk.dk/34076331/ZG9rdW1lbnRsYWdlcjovLzAzL2NkLzE5LzlmL2RmL2E4MTItNGM2OC04NDkyLTQyMmQxZDM4YzZmMw.pdf,http://regnskaber.virk.dk/34076331/ZG9rdW1lbnRsYWdlcjovLzAzLzVkL2ViLzNjLzEzLzAxMzgtNDI0YS04M2QwLTNkNmZiNWU4OTU2MQ.xml,Danmark,DK,Roskilde,"4, 1 null",Hovedvejen,Virum,2830.0,4.0,Geels Plads,4000 Roskilde,Hovedvejen 4,Til den daglige ledelse i Systuen Gima ApS,Revisors erklÃ¦ring om opstilling af Ã¥rsregnskab,Regnskabsklasse B,2015-05-14,2015-05-14,Registreret revisor,,,52886252.0,13367043.0,1008543298.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Iben Green Madsen,Kim Jacob Skaarup,Gitte Malmberg,Danske Bank A/S,SYSTUEN GIMA ApS,Iben Green Madsen,VÃ¦rlÃ¸se,2013-01-01,2013-12-31,,,,2014-12-31,2014-01-01,2015-05-14,Roskilde,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:5241401,indberetninger-20180424,2.5953991000000003,13367043.0,,2018-03-30T11:28:06.361Z,2015-05-14T10:58:06.284Z,regnskab,0.0,,2014-12-31,2014-01-01,X15-AB-73-TG,2015-05-14T10:58:06.344Z,,,,,,,,,,,,
13367043,2014-01-01,2014-12-31,c3,http://regnskaber.virk.dk/34076331/ZG9rdW1lbnRsYWdlcjovLzAzLzZhLzAyLzJjLzlkLzA0ZmItNDgxNi04NjE0LTUxOGVlYTM3ZTBjMg.xhtml,http://regnskaber.virk.dk/34076331/ZG9rdW1lbnRsYWdlcjovLzAzL2NkLzE5LzlmL2RmL2E4MTItNGM2OC04NDkyLTQyMmQxZDM4YzZmMw.pdf,http://regnskaber.virk.dk/34076331/ZG9rdW1lbnRsYWdlcjovLzAzLzVkL2ViLzNjLzEzLzAxMzgtNDI0YS04M2QwLTNkNmZiNWU4OTU2MQ.xml,Danmark,DK,Roskilde,"4, 1 null",Hovedvejen,Virum,2830.0,4.0,Geels Plads,4000 Roskilde,Hovedvejen 4,Til den daglige ledelse i Systuen Gima ApS,Revisors erklÃ¦ring om opstilling af Ã¥rsregnskab,Regnskabsklasse B,2015-05-14,2015-05-14,Registreret revisor,,,52886252.0,13367043.0,1008543298.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Iben Green Madsen,Kim Jacob Skaarup,Gitte Malmberg,Danske Bank A/S,SYSTUEN GIMA ApS,Iben Green Madsen,VÃ¦rlÃ¸se,2013-01-01,2013-12-31,,,,2014-12-31,2014-01-01,2015-05-14,Roskilde,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:5241401,indberetninger-20180424,2.5953991000000003,13367043.0,,2018-03-30T11:28:06.361Z,2015-05-14T10:58:06.284Z,regnskab,0.0,,2014-12-31,2014-01-01,X15-AB-73-TG,2015-05-14T10:58:06.344Z,,,,,,,,,,,,Kim Jacob Skaarup
13367043,2014-01-01,2014-12-31,c4,http://regnskaber.virk.dk/34076331/ZG9rdW1lbnRsYWdlcjovLzAzLzZhLzAyLzJjLzlkLzA0ZmItNDgxNi04NjE0LTUxOGVlYTM3ZTBjMg.xhtml,http://regnskaber.virk.dk/34076331/ZG9rdW1lbnRsYWdlcjovLzAzL2NkLzE5LzlmL2RmL2E4MTItNGM2OC04NDkyLTQyMmQxZDM4YzZmMw.pdf,http://regnskaber.virk.dk/34076331/ZG9rdW1lbnRsYWdlcjovLzAzLzVkL2ViLzNjLzEzLzAxMzgtNDI0YS04M2QwLTNkNmZiNWU4OTU2MQ.xml,Danmark,DK,Roskilde,"4, 1 null",Hovedvejen,Virum,2830.0,4.0,Geels Plads,4000 Roskilde,Hovedvejen 4,Til den daglige ledelse i Systuen Gima ApS,Revisors erklÃ¦ring om opstilling af Ã¥rsregnskab,Regnskabsklasse B,2015-05-14,2015-05-14,Registreret revisor,,,52886252.0,13367043.0,1008543298.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Iben Green Madsen,Kim Jacob Skaarup,Gitte Malmberg,Danske Bank A/S,SYSTUEN GIMA ApS,Iben Green Madsen,VÃ¦rlÃ¸se,2013-01-01,2013-12-31,,,,2014-12-31,2014-01-01,2015-05-14,Roskilde,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:5241401,indberetninger-20180424,2.5953991000000003,13367043.0,,2018-03-30T11:28:06.361Z,2015-05-14T10:58:06.284Z,regnskab,0.0,,2014-12-31,2014-01-01,X15-AB-73-TG,2015-05-14T10:58:06.344Z,,,,,,,,,,,,Gitte Malmberg
13367043,2014-01-01,2014-12-31,c6,http://regnskaber.virk.dk/34076331/ZG9rdW1lbnRsYWdlcjovLzAzLzZhLzAyLzJjLzlkLzA0ZmItNDgxNi04NjE0LTUxOGVlYTM3ZTBjMg.xhtml,http://regnskaber.virk.dk/34076331/ZG9rdW1lbnRsYWdlcjovLzAzL2NkLzE5LzlmL2RmL2E4MTItNGM2OC04NDkyLTQyMmQxZDM4YzZmMw.pdf,http://regnskaber.virk.dk/34076331/ZG9rdW1lbnRsYWdlcjovLzAzLzVkL2ViLzNjLzEzLzAxMzgtNDI0YS04M2QwLTNkNmZiNWU4OTU2MQ.xml,Danmark,DK,Roskilde,"4, 1 null",Hovedvejen,Virum,2830.0,4.0,Geels Plads,4000 Roskilde,Hovedvejen 4,Til den daglige ledelse i Systuen Gima ApS,Revisors erklÃ¦ring om opstilling af Ã¥rsregnskab,Regnskabsklasse B,2015-05-14,2015-05-14,Registreret revisor,,,52886252.0,13367043.0,1008543298.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Iben Green Madsen,Kim Jacob Skaarup,Gitte Malmberg,Danske Bank A/S,SYSTUEN GIMA ApS,Iben Green Madsen,VÃ¦rlÃ¸se,2013-01-01,2013-12-31,0.0,,,2014-12-31,2014-01-01,2015-05-14,Roskilde,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:5241401,indberetninger-20180424,2.5953991000000003,13367043.0,,2018-03-30T11:28:06.361Z,2015-05-14T10:58:06.284Z,regnskab,0.0,,2014-12-31,2014-01-01,X15-AB-73-TG,2015-05-14T10:58:06.344Z,,,,,,,,,,,,
13367043,2014-12-31,2014-12-31,c8,http://regnskaber.virk.dk/34076331/ZG9rdW1lbnRsYWdlcjovLzAzLzZhLzAyLzJjLzlkLzA0ZmItNDgxNi04NjE0LTUxOGVlYTM3ZTBjMg.xhtml,http://regnskaber.virk.dk/34076331/ZG9rdW1lbnRsYWdlcjovLzAzL2NkLzE5LzlmL2RmL2E4MTItNGM2OC04NDkyLTQyMmQxZDM4YzZmMw.pdf,http://regnskaber.virk.dk/34076331/ZG9rdW1lbnRsYWdlcjovLzAzLzVkL2ViLzNjLzEzLzAxMzgtNDI0YS04M2QwLTNkNmZiNWU4OTU2MQ.xml,Danmark,DK,Roskilde,"4, 1 null",Hovedvejen,Virum,2830.0,4.0,Geels Plads,4000 Roskilde,Hovedvejen 4,Til den daglige ledelse i Systuen Gima ApS,Revisors erklÃ¦ring om opstilling af Ã¥rsregnskab,Regnskabsklasse B,2015-05-14,2015-05-14,Registreret revisor,,,52886252.0,13367043.0,1008543298.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Iben Green Madsen,Kim Jacob Skaarup,Gitte Malmberg,Danske Bank A/S,SYSTUEN GIMA ApS,Iben Green Madsen,VÃ¦rlÃ¸se,2013-01-01,2013-12-31,,,,2014-12-31,2014-01-01,2015-05-14,Roskilde,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:5241401,indberetninger-20180424,2.5953991000000003,13367043.0,,2018-03-30T11:28:06.361Z,2015-05-14T10:58:06.284Z,regnskab,0.0,,2014-12-31,2014-01-01,X15-AB-73-TG,2015-05-14T10:58:06.344Z,80000.0,80000.0,80000.0,80000.0,80000.0,80000.0,0.0,0.0,0.0,0.0,,
