entity,start_date,end_date,context,AARSRAPPORT_html,AARSRAPPORT_pdf,AARSRAPPORT_xml,AddressOfFinancialCountry,AddressOfFinancialDistrictName,AddressOfFinancialPostCodeIdentifier,AddressOfFinancialStreetBuildingIdentifier,AddressOfFinancialStreetName,AddressOfReportingEntityDistrictName,AddressOfReportingEntityPostCodeIdentifier,AddressOfReportingEntityStreetBuildingIdentifier,AddressOfReportingEntityStreetName,AddressOfSubmittingEnterprisePostcodeAndTown,AddressOfSubmittingEnterpriseStreetAndNumber,AuditorsReportsOtherReports,ClassOfReportingEntity,DateOfApprovalOfAnnualReport,DateOfGeneralMeeting,DepreciationAmortisationExpenseAndImpairmentLossesOfPropertyPlantAndEquipmentAndIntangibleAssetsRecognisedInProfitOrLoss,DescriptionOfAuditor,DisclosureOfContributedCapital,ExternalExpenses,GrossResult,IdentificationNumberCvrOfAuditFirm,IdentificationNumberCvrOfReportingEntity,IncomeFromOtherLongtermInvestmentsAndReceivables,InformationOnReportingClassOfEntity,InformationOnTypeOfSubmittedReport,NameAndSurnameOfAuditor,NameAndSurnameOfChairmanOfGeneralMeeting,NameAndSurnameOfMemberOfExecutiveBoard,NameOfAuditFirm,NameOfFinancialInstitution,NameOfReportingEntity,NameOfSubmittingEnterprise,OtherFinanceExpenses,PlaceOfSignatureOfStatement,PrecedingReportingPeriodStartDate,PredingReportingPeriodEndDate,ProfitLoss,ProfitLossFromOrdinaryActivitiesBeforeTax,ProfitLossFromOrdinaryOperatingActivities,ReportingPeriodEndDate,ReportingPeriodStartDate,SignatureOfAuditorsDate,SignatureOfAuditorsPlace,StatementOnOptingOutOfAuditingFinancialStatementsInNextReportingPeriodDueToExemption,TaxExpense,TelephoneNumberOfReportingEntity,TheReportingEntityAppliesTheExceptionConcerningOptingOutOfTheStatementByManagementEtc,TypeOfAuditorAssistance,_id,_index,_score,cvrNummer,indlaesningsId,indlaesningsTidspunkt,offentliggoerelsesTidspunkt,offentliggoerelsestype,omgoerelse,regNummer,regnskabsperiode_slutDato,regnskabsperiode_startDato,sagsNummer,sidstOpdateret,Assets,CashAndCashEquivalents,ContributedCapital,CurrentAssets,Equity,LandAndBuildings,LiabilitiesAndEquity,NoncurrentAssets,OtherShorttermInvestments,PropertyPlantAndEquipment,ProposedDividendRecognisedInEquity,Provisions,ProvisionsForDeferredTax,RetainedEarnings,ShorttermInvestments
87086615,2013-10-01,2014-09-30,c3,http://regnskaber.virk.dk/51668078/ZG9rdW1lbnRsYWdlcjovLzAzLzY0L2NlLzlhL2Q0LzI5YTQtNDFjOC1hMzAzLTc5OWE0ZWI5YWU4MQ.xhtml,http://regnskaber.virk.dk/51668078/ZG9rdW1lbnRsYWdlcjovLzAzLzA4L2U3LzkyL2M1Lzc1MjktNGZlYi1hZjQyLTUyYjdlYjg3NDQ0Yg.pdf,http://regnskaber.virk.dk/51668078/ZG9rdW1lbnRsYWdlcjovLzAzL2ZmLzZjLzNlLzEyLzI1N2ItNDU3OS04ZmU0LTFjNWFlZTIxMmJiMA.xml,Danmark,Odense C,5100.0,8.0,MagelÃ¸s,Aarup,5560.0,15.0,HÃ¥revej,5492 Vissenbjerg,Damsbovej 11,Revisors erklÃ¦ring om opstilling af Ã¥rsregnskab,Regnskabsklasse B,2016-01-04,2016-01-04,12635.0,Registreret revisor,"<p xmlns=""http://www.w3.org/1999/xhtml"">Anparterne er udstedt af multiplan Ã¡ kr. 1.000.</p>",35892.0,-35892.0,26935865.0,87086615.0,254394.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Niels Bebe,Hans Christophersen,Hans Christophersen,Centrovice,Jyske Bank,H. C. TOPINVEST ApS,Mette Kirketorp,118582.0,TopgÃ¥rden,2013-10-01,2014-09-30,82364.0,87285.0,-48527.0,2015-09-30,2014-10-01,2016-01-04,Vissenbjerg,"Generalforsamlingen har besluttet, at Ã¥rsrapporten for kommende regnskabsÃ¥r ikke skal revideres.",4921.0,64491666.0,false,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:21901226,indberetninger-20180424,2.5949402000000004,87086615.0,,2018-03-28T16:33:56.133Z,2016-01-19T10:34:19.940Z,regnskab,0.0,,2015-09-30,2014-10-01,X16-AN-69-CB,2016-01-19T10:34:20.137Z,,,,,,,,,,,,,,,
87086615,2013-10-01,2014-09-30,c5,http://regnskaber.virk.dk/51668078/ZG9rdW1lbnRsYWdlcjovLzAzLzY0L2NlLzlhL2Q0LzI5YTQtNDFjOC1hMzAzLTc5OWE0ZWI5YWU4MQ.xhtml,http://regnskaber.virk.dk/51668078/ZG9rdW1lbnRsYWdlcjovLzAzLzA4L2U3LzkyL2M1Lzc1MjktNGZlYi1hZjQyLTUyYjdlYjg3NDQ0Yg.pdf,http://regnskaber.virk.dk/51668078/ZG9rdW1lbnRsYWdlcjovLzAzL2ZmLzZjLzNlLzEyLzI1N2ItNDU3OS04ZmU0LTFjNWFlZTIxMmJiMA.xml,Danmark,Odense C,5100.0,8.0,MagelÃ¸s,Aarup,5560.0,15.0,HÃ¥revej,5492 Vissenbjerg,Damsbovej 11,Revisors erklÃ¦ring om opstilling af Ã¥rsregnskab,Regnskabsklasse B,2016-01-04,2016-01-04,,Registreret revisor,"<p xmlns=""http://www.w3.org/1999/xhtml"">Anparterne er udstedt af multiplan Ã¡ kr. 1.000.</p>",,,26935865.0,87086615.0,,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Niels Bebe,Hans Christophersen,Hans Christophersen,Centrovice,Jyske Bank,H. C. TOPINVEST ApS,Mette Kirketorp,,TopgÃ¥rden,2013-10-01,2014-09-30,300000.0,,,2015-09-30,2014-10-01,2016-01-04,Vissenbjerg,"Generalforsamlingen har besluttet, at Ã¥rsrapporten for kommende regnskabsÃ¥r ikke skal revideres.",,64491666.0,false,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:21901226,indberetninger-20180424,2.5949402000000004,87086615.0,,2018-03-28T16:33:56.133Z,2016-01-19T10:34:19.940Z,regnskab,0.0,,2015-09-30,2014-10-01,X16-AN-69-CB,2016-01-19T10:34:20.137Z,,,,,,,,,,,,,,,
87086615,2013-10-01,2014-09-30,c7,http://regnskaber.virk.dk/51668078/ZG9rdW1lbnRsYWdlcjovLzAzLzY0L2NlLzlhL2Q0LzI5YTQtNDFjOC1hMzAzLTc5OWE0ZWI5YWU4MQ.xhtml,http://regnskaber.virk.dk/51668078/ZG9rdW1lbnRsYWdlcjovLzAzLzA4L2U3LzkyL2M1Lzc1MjktNGZlYi1hZjQyLTUyYjdlYjg3NDQ0Yg.pdf,http://regnskaber.virk.dk/51668078/ZG9rdW1lbnRsYWdlcjovLzAzL2ZmLzZjLzNlLzEyLzI1N2ItNDU3OS04ZmU0LTFjNWFlZTIxMmJiMA.xml,Danmark,Odense C,5100.0,8.0,MagelÃ¸s,Aarup,5560.0,15.0,HÃ¥revej,5492 Vissenbjerg,Damsbovej 11,Revisors erklÃ¦ring om opstilling af Ã¥rsregnskab,Regnskabsklasse B,2016-01-04,2016-01-04,,Registreret revisor,"<p xmlns=""http://www.w3.org/1999/xhtml"">Anparterne er udstedt af multiplan Ã¡ kr. 1.000.</p>",,,26935865.0,87086615.0,,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Niels Bebe,Hans Christophersen,Hans Christophersen,Centrovice,Jyske Bank,H. C. TOPINVEST ApS,Mette Kirketorp,,TopgÃ¥rden,2013-10-01,2014-09-30,-217636.0,,,2015-09-30,2014-10-01,2016-01-04,Vissenbjerg,"Generalforsamlingen har besluttet, at Ã¥rsrapporten for kommende regnskabsÃ¥r ikke skal revideres.",,64491666.0,false,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:21901226,indberetninger-20180424,2.5949402000000004,87086615.0,,2018-03-28T16:33:56.133Z,2016-01-19T10:34:19.940Z,regnskab,0.0,,2015-09-30,2014-10-01,X16-AN-69-CB,2016-01-19T10:34:20.137Z,,,,,,,,,,,,,,,
87086615,2014-09-30,2014-09-30,c9,http://regnskaber.virk.dk/51668078/ZG9rdW1lbnRsYWdlcjovLzAzLzY0L2NlLzlhL2Q0LzI5YTQtNDFjOC1hMzAzLTc5OWE0ZWI5YWU4MQ.xhtml,http://regnskaber.virk.dk/51668078/ZG9rdW1lbnRsYWdlcjovLzAzLzA4L2U3LzkyL2M1Lzc1MjktNGZlYi1hZjQyLTUyYjdlYjg3NDQ0Yg.pdf,http://regnskaber.virk.dk/51668078/ZG9rdW1lbnRsYWdlcjovLzAzL2ZmLzZjLzNlLzEyLzI1N2ItNDU3OS04ZmU0LTFjNWFlZTIxMmJiMA.xml,Danmark,Odense C,5100.0,8.0,MagelÃ¸s,Aarup,5560.0,15.0,HÃ¥revej,5492 Vissenbjerg,Damsbovej 11,Revisors erklÃ¦ring om opstilling af Ã¥rsregnskab,Regnskabsklasse B,2016-01-04,2016-01-04,,Registreret revisor,"<p xmlns=""http://www.w3.org/1999/xhtml"">Anparterne er udstedt af multiplan Ã¡ kr. 1.000.</p>",,,26935865.0,87086615.0,,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Niels Bebe,Hans Christophersen,Hans Christophersen,Centrovice,Jyske Bank,H. C. TOPINVEST ApS,Mette Kirketorp,,TopgÃ¥rden,2013-10-01,2014-09-30,,,,2015-09-30,2014-10-01,2016-01-04,Vissenbjerg,"Generalforsamlingen har besluttet, at Ã¥rsrapporten for kommende regnskabsÃ¥r ikke skal revideres.",,64491666.0,false,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:21901226,indberetninger-20180424,2.5949402000000004,87086615.0,,2018-03-28T16:33:56.133Z,2016-01-19T10:34:19.940Z,regnskab,0.0,,2015-09-30,2014-10-01,X16-AN-69-CB,2016-01-19T10:34:20.137Z,5829906.0,370844.0,200000.0,4580816.0,5825842.0,1249090.0,5829906.0,1249090.0,4209972.0,1249090.0,300000.0,4064.0,4064.0,5325842.0,4209972.0
87086615,2014-10-01,2015-09-30,c0,http://regnskaber.virk.dk/51668078/ZG9rdW1lbnRsYWdlcjovLzAzLzY0L2NlLzlhL2Q0LzI5YTQtNDFjOC1hMzAzLTc5OWE0ZWI5YWU4MQ.xhtml,http://regnskaber.virk.dk/51668078/ZG9rdW1lbnRsYWdlcjovLzAzLzA4L2U3LzkyL2M1Lzc1MjktNGZlYi1hZjQyLTUyYjdlYjg3NDQ0Yg.pdf,http://regnskaber.virk.dk/51668078/ZG9rdW1lbnRsYWdlcjovLzAzL2ZmLzZjLzNlLzEyLzI1N2ItNDU3OS04ZmU0LTFjNWFlZTIxMmJiMA.xml,Danmark,Odense C,5100.0,8.0,MagelÃ¸s,Aarup,5560.0,15.0,HÃ¥revej,5492 Vissenbjerg,Damsbovej 11,Revisors erklÃ¦ring om opstilling af Ã¥rsregnskab,Regnskabsklasse B,2016-01-04,2016-01-04,12635.0,Registreret revisor,"<p xmlns=""http://www.w3.org/1999/xhtml"">Anparterne er udstedt af multiplan Ã¡ kr. 1.000.</p>",42858.0,-42858.0,26935865.0,87086615.0,138305.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Niels Bebe,Hans Christophersen,Hans Christophersen,Centrovice,Jyske Bank,H. C. TOPINVEST ApS,Mette Kirketorp,78891.0,TopgÃ¥rden,2013-10-01,2014-09-30,-204.0,3921.0,-55493.0,2015-09-30,2014-10-01,2016-01-04,Vissenbjerg,"Generalforsamlingen har besluttet, at Ã¥rsrapporten for kommende regnskabsÃ¥r ikke skal revideres.",4125.0,64491666.0,false,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:21901226,indberetninger-20180424,2.5949402000000004,87086615.0,,2018-03-28T16:33:56.133Z,2016-01-19T10:34:19.940Z,regnskab,0.0,,2015-09-30,2014-10-01,X16-AN-69-CB,2016-01-19T10:34:20.137Z,,,,,,,,,,,,,,,
87086615,2014-10-01,2015-09-30,c1,http://regnskaber.virk.dk/51668078/ZG9rdW1lbnRsYWdlcjovLzAzLzY0L2NlLzlhL2Q0LzI5YTQtNDFjOC1hMzAzLTc5OWE0ZWI5YWU4MQ.xhtml,http://regnskaber.virk.dk/51668078/ZG9rdW1lbnRsYWdlcjovLzAzLzA4L2U3LzkyL2M1Lzc1MjktNGZlYi1hZjQyLTUyYjdlYjg3NDQ0Yg.pdf,http://regnskaber.virk.dk/51668078/ZG9rdW1lbnRsYWdlcjovLzAzL2ZmLzZjLzNlLzEyLzI1N2ItNDU3OS04ZmU0LTFjNWFlZTIxMmJiMA.xml,Danmark,Odense C,5100.0,8.0,MagelÃ¸s,Aarup,5560.0,15.0,HÃ¥revej,5492 Vissenbjerg,Damsbovej 11,Revisors erklÃ¦ring om opstilling af Ã¥rsregnskab,Regnskabsklasse B,2016-01-04,2016-01-04,,Registreret revisor,"<p xmlns=""http://www.w3.org/1999/xhtml"">Anparterne er udstedt af multiplan Ã¡ kr. 1.000.</p>",,,26935865.0,87086615.0,,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Niels Bebe,Hans Christophersen,Hans Christophersen,Centrovice,Jyske Bank,H. C. TOPINVEST ApS,Mette Kirketorp,,TopgÃ¥rden,2013-10-01,2014-09-30,,,,2015-09-30,2014-10-01,2016-01-04,Vissenbjerg,"Generalforsamlingen har besluttet, at Ã¥rsrapporten for kommende regnskabsÃ¥r ikke skal revideres.",,64491666.0,false,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:21901226,indberetninger-20180424,2.5949402000000004,87086615.0,,2018-03-28T16:33:56.133Z,2016-01-19T10:34:19.940Z,regnskab,0.0,,2015-09-30,2014-10-01,X16-AN-69-CB,2016-01-19T10:34:20.137Z,,,,,,,,,,,,,,,
87086615,2014-10-01,2015-09-30,c2,http://regnskaber.virk.dk/51668078/ZG9rdW1lbnRsYWdlcjovLzAzLzY0L2NlLzlhL2Q0LzI5YTQtNDFjOC1hMzAzLTc5OWE0ZWI5YWU4MQ.xhtml,http://regnskaber.virk.dk/51668078/ZG9rdW1lbnRsYWdlcjovLzAzLzA4L2U3LzkyL2M1Lzc1MjktNGZlYi1hZjQyLTUyYjdlYjg3NDQ0Yg.pdf,http://regnskaber.virk.dk/51668078/ZG9rdW1lbnRsYWdlcjovLzAzL2ZmLzZjLzNlLzEyLzI1N2ItNDU3OS04ZmU0LTFjNWFlZTIxMmJiMA.xml,Danmark,Odense C,5100.0,8.0,MagelÃ¸s,Aarup,5560.0,15.0,HÃ¥revej,5492 Vissenbjerg,Damsbovej 11,Revisors erklÃ¦ring om opstilling af Ã¥rsregnskab,Regnskabsklasse B,2016-01-04,2016-01-04,,Registreret revisor,"<p xmlns=""http://www.w3.org/1999/xhtml"">Anparterne er udstedt af multiplan Ã¡ kr. 1.000.</p>",,,26935865.0,87086615.0,,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Niels Bebe,Hans Christophersen,Hans Christophersen,Centrovice,Jyske Bank,H. C. TOPINVEST ApS,Mette Kirketorp,,TopgÃ¥rden,2013-10-01,2014-09-30,,,,2015-09-30,2014-10-01,2016-01-04,Vissenbjerg,"Generalforsamlingen har besluttet, at Ã¥rsrapporten for kommende regnskabsÃ¥r ikke skal revideres.",,64491666.0,false,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:21901226,indberetninger-20180424,2.5949402000000004,87086615.0,,2018-03-28T16:33:56.133Z,2016-01-19T10:34:19.940Z,regnskab,0.0,,2015-09-30,2014-10-01,X16-AN-69-CB,2016-01-19T10:34:20.137Z,,,,,,,,,,,,,,,
87086615,2014-10-01,2015-09-30,c4,http://regnskaber.virk.dk/51668078/ZG9rdW1lbnRsYWdlcjovLzAzLzY0L2NlLzlhL2Q0LzI5YTQtNDFjOC1hMzAzLTc5OWE0ZWI5YWU4MQ.xhtml,http://regnskaber.virk.dk/51668078/ZG9rdW1lbnRsYWdlcjovLzAzLzA4L2U3LzkyL2M1Lzc1MjktNGZlYi1hZjQyLTUyYjdlYjg3NDQ0Yg.pdf,http://regnskaber.virk.dk/51668078/ZG9rdW1lbnRsYWdlcjovLzAzL2ZmLzZjLzNlLzEyLzI1N2ItNDU3OS04ZmU0LTFjNWFlZTIxMmJiMA.xml,Danmark,Odense C,5100.0,8.0,MagelÃ¸s,Aarup,5560.0,15.0,HÃ¥revej,5492 Vissenbjerg,Damsbovej 11,Revisors erklÃ¦ring om opstilling af Ã¥rsregnskab,Regnskabsklasse B,2016-01-04,2016-01-04,,Registreret revisor,"<p xmlns=""http://www.w3.org/1999/xhtml"">Anparterne er udstedt af multiplan Ã¡ kr. 1.000.</p>",,,26935865.0,87086615.0,,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Niels Bebe,Hans Christophersen,Hans Christophersen,Centrovice,Jyske Bank,H. C. TOPINVEST ApS,Mette Kirketorp,,TopgÃ¥rden,2013-10-01,2014-09-30,300000.0,,,2015-09-30,2014-10-01,2016-01-04,Vissenbjerg,"Generalforsamlingen har besluttet, at Ã¥rsrapporten for kommende regnskabsÃ¥r ikke skal revideres.",,64491666.0,false,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:21901226,indberetninger-20180424,2.5949402000000004,87086615.0,,2018-03-28T16:33:56.133Z,2016-01-19T10:34:19.940Z,regnskab,0.0,,2015-09-30,2014-10-01,X16-AN-69-CB,2016-01-19T10:34:20.137Z,,,,,,,,,,,,,,,
87086615,2014-10-01,2015-09-30,c6,http://regnskaber.virk.dk/51668078/ZG9rdW1lbnRsYWdlcjovLzAzLzY0L2NlLzlhL2Q0LzI5YTQtNDFjOC1hMzAzLTc5OWE0ZWI5YWU4MQ.xhtml,http://regnskaber.virk.dk/51668078/ZG9rdW1lbnRsYWdlcjovLzAzLzA4L2U3LzkyL2M1Lzc1MjktNGZlYi1hZjQyLTUyYjdlYjg3NDQ0Yg.pdf,http://regnskaber.virk.dk/51668078/ZG9rdW1lbnRsYWdlcjovLzAzL2ZmLzZjLzNlLzEyLzI1N2ItNDU3OS04ZmU0LTFjNWFlZTIxMmJiMA.xml,Danmark,Odense C,5100.0,8.0,MagelÃ¸s,Aarup,5560.0,15.0,HÃ¥revej,5492 Vissenbjerg,Damsbovej 11,Revisors erklÃ¦ring om opstilling af Ã¥rsregnskab,Regnskabsklasse B,2016-01-04,2016-01-04,,Registreret revisor,"<p xmlns=""http://www.w3.org/1999/xhtml"">Anparterne er udstedt af multiplan Ã¡ kr. 1.000.</p>",,,26935865.0,87086615.0,,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Niels Bebe,Hans Christophersen,Hans Christophersen,Centrovice,Jyske Bank,H. C. TOPINVEST ApS,Mette Kirketorp,,TopgÃ¥rden,2013-10-01,2014-09-30,-300204.0,,,2015-09-30,2014-10-01,2016-01-04,Vissenbjerg,"Generalforsamlingen har besluttet, at Ã¥rsrapporten for kommende regnskabsÃ¥r ikke skal revideres.",,64491666.0,false,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:21901226,indberetninger-20180424,2.5949402000000004,87086615.0,,2018-03-28T16:33:56.133Z,2016-01-19T10:34:19.940Z,regnskab,0.0,,2015-09-30,2014-10-01,X16-AN-69-CB,2016-01-19T10:34:20.137Z,,,,,,,,,,,,,,,
87086615,2015-09-30,2015-09-30,c8,http://regnskaber.virk.dk/51668078/ZG9rdW1lbnRsYWdlcjovLzAzLzY0L2NlLzlhL2Q0LzI5YTQtNDFjOC1hMzAzLTc5OWE0ZWI5YWU4MQ.xhtml,http://regnskaber.virk.dk/51668078/ZG9rdW1lbnRsYWdlcjovLzAzLzA4L2U3LzkyL2M1Lzc1MjktNGZlYi1hZjQyLTUyYjdlYjg3NDQ0Yg.pdf,http://regnskaber.virk.dk/51668078/ZG9rdW1lbnRsYWdlcjovLzAzL2ZmLzZjLzNlLzEyLzI1N2ItNDU3OS04ZmU0LTFjNWFlZTIxMmJiMA.xml,Danmark,Odense C,5100.0,8.0,MagelÃ¸s,Aarup,5560.0,15.0,HÃ¥revej,5492 Vissenbjerg,Damsbovej 11,Revisors erklÃ¦ring om opstilling af Ã¥rsregnskab,Regnskabsklasse B,2016-01-04,2016-01-04,,Registreret revisor,"<p xmlns=""http://www.w3.org/1999/xhtml"">Anparterne er udstedt af multiplan Ã¡ kr. 1.000.</p>",,,26935865.0,87086615.0,,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Niels Bebe,Hans Christophersen,Hans Christophersen,Centrovice,Jyske Bank,H. C. TOPINVEST ApS,Mette Kirketorp,,TopgÃ¥rden,2013-10-01,2014-09-30,,,,2015-09-30,2014-10-01,2016-01-04,Vissenbjerg,"Generalforsamlingen har besluttet, at Ã¥rsrapporten for kommende regnskabsÃ¥r ikke skal revideres.",,64491666.0,false,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:21901226,indberetninger-20180424,2.5949402000000004,87086615.0,,2018-03-28T16:33:56.133Z,2016-01-19T10:34:19.940Z,regnskab,0.0,,2015-09-30,2014-10-01,X16-AN-69-CB,2016-01-19T10:34:20.137Z,5522768.0,97334.0,200000.0,4286313.0,5525638.0,1236455.0,5522768.0,1236455.0,4188979.0,1236455.0,300000.0,-2870.0,-2870.0,5025638.0,4188979.0
