entity,start_date,end_date,context,AARSRAPPORT_pdf,AARSRAPPORT_xml,AddressOfAuditorCountry,AddressOfAuditorPostcodeAndTown,AddressOfAuditorStreetAndNumber,AddressOfReportingEntityPostcodeAndTown,AddressOfReportingEntityStreetAndNumber,AddressOfSubmittingEnterprisePostcodeAndTown,AddressOfSubmittingEnterpriseStreetAndNumber,AdjustmentsForDeferredTax,ClassOfReportingEntity,CurrentTaxExpense,DateOfApprovalOfReport,DateOfFoundationOfReportingEntity,DateOfGeneralMeeting,DescriptionOfAuditor,DescriptionOfMemberOfExecutiveBoardApprovingStatementOfExecutiveAndSupervisoryBoard,EmployeeBenefitsExpense,GrossProfitLoss,HomepageOfReportingEntity,IdentificationNumberCvrOfAuditFirm,IdentificationNumberCvrOfReportingEntity,IdentificationNumberCvrOfSubmittingEnterprise,InformationOnTypeOfSubmittedReport,NameAndSurnameOfMemberOfExecutiveBoard,NameOfFinancialInstitution,NameOfReportingEntity,NameOfSubmittingEnterprise,NominalValueOfIssuedShares,NumberOfIssuedShares,OtherFinanceExpenses,OtherFinanceIncome,ProfitLoss,ProfitLossFromOrdinaryOperatingActivities,RegisteredOfficeOfReportingEntity,ReportingPeriodEndDate,ReportingPeriodStartDate,SignatureOfAuditorsDate,SignatureOfAuditorsPlace,TaxExpense,TaxExpenseOnOrdinaryActivities,_id,_index,_score,cvrNummer,indlaesningsId,indlaesningsTidspunkt,offentliggoerelsesTidspunkt,offentliggoerelsestype,omgoerelse,regNummer,regnskabsperiode_slutDato,regnskabsperiode_startDato,sagsNummer,sidstOpdateret,Assets,CashAndCashEquivalents,ContributedCapital,CurrentAssets,CurrentDeferredTaxAssets,Equity,LiabilitiesAndEquity,LiabilitiesOtherThanProvisions,OtherShorttermPayables,ProposedDividend,RetainedEarnings,ShorttermLiabilitiesOtherThanProvisions,ShorttermPayablesToAssociates,ShorttermPayablesToShareholdersAndManagement,ShorttermReceivables,ShorttermTaxPayables,ShorttermTradePayables,ShorttermTradeReceivables,NameAndSurnameOfAuditor,NameOfAuditFirm
32838324,2010-10-01,2011-09-30,c58,http://regnskaber.virk.dk/42383823/Y3ZyLmRrOi8vcGRmcy8zMjgzODMyNDtBcFM0NzE3Nzg7MjAxMTEwMDE7MjAxMjA5MzA7UjtS.pdf,http://regnskaber.virk.dk/42383823/Y3ZyLmRrOi8veGJybHMvWC02MzhBRDA0MS0yMDEyMTAzMF8wODExMzJfNjg3.xml,Danmark,2840 Holte,Fyrresvinget 11,2100  KÃ¸benhavn Ã,Borgmester Jensens AllÃ© 22 1 th,2840 Holte,Fyrresvinget 11,-3060.0,Regnskabsklasse B,111225.0,2012-10-29,2010-04-08,2012-10-29,Statsautoriseret Revisor,arkitekt m.a.a,569882.0,1012122.0,www.bm-arkitekter.dk,13068135.0,32838324.0,13068135.0,Ãrsrapport,Berih Mavrommatis,Den Spanske Bank,BM Arkitekter ApS,Kurt Astrup,1000.0,80.0,13054.0,86.0,321107.0,442240.0,KÃ¸benhavn,2012-09-30,2011-10-01,2012-10-29,Holte,108165.0,108165.0,urn:ofk:oid:20658134,indberetninger-20180424,2.5097342,32838324.0,,2018-04-02T05:29:07.096Z,2012-10-31T23:00:00.000Z,regnskab,0.0,,2012-09-30,2011-10-01,12-368.046,2012-10-31T23:00:00.000Z,,,,,,,,,,,,,,,,,,,,
32838324,2010-10-01,2011-09-30,c60,http://regnskaber.virk.dk/42383823/Y3ZyLmRrOi8vcGRmcy8zMjgzODMyNDtBcFM0NzE3Nzg7MjAxMTEwMDE7MjAxMjA5MzA7UjtS.pdf,http://regnskaber.virk.dk/42383823/Y3ZyLmRrOi8veGJybHMvWC02MzhBRDA0MS0yMDEyMTAzMF8wODExMzJfNjg3.xml,Danmark,2840 Holte,Fyrresvinget 11,2100  KÃ¸benhavn Ã,Borgmester Jensens AllÃ© 22 1 th,2840 Holte,Fyrresvinget 11,,Regnskabsklasse B,,2012-10-29,2010-04-08,2012-10-29,Statsautoriseret Revisor,arkitekt m.a.a,,,www.bm-arkitekter.dk,13068135.0,32838324.0,13068135.0,Ãrsrapport,Berih Mavrommatis,Den Spanske Bank,BM Arkitekter ApS,Kurt Astrup,1000.0,80.0,,,0.0,,KÃ¸benhavn,2012-09-30,2011-10-01,2012-10-29,Holte,,108165.0,urn:ofk:oid:20658134,indberetninger-20180424,2.5097342,32838324.0,,2018-04-02T05:29:07.096Z,2012-10-31T23:00:00.000Z,regnskab,0.0,,2012-09-30,2011-10-01,12-368.046,2012-10-31T23:00:00.000Z,,,,,,,,,,,,,,,,,,,,
32838324,2010-10-01,2011-09-30,c73,http://regnskaber.virk.dk/42383823/Y3ZyLmRrOi8vcGRmcy8zMjgzODMyNDtBcFM0NzE3Nzg7MjAxMTEwMDE7MjAxMjA5MzA7UjtS.pdf,http://regnskaber.virk.dk/42383823/Y3ZyLmRrOi8veGJybHMvWC02MzhBRDA0MS0yMDEyMTAzMF8wODExMzJfNjg3.xml,Danmark,2840 Holte,Fyrresvinget 11,2100  KÃ¸benhavn Ã,Borgmester Jensens AllÃ© 22 1 th,2840 Holte,Fyrresvinget 11,,Regnskabsklasse B,,2012-10-29,2010-04-08,2012-10-29,Statsautoriseret Revisor,arkitekt m.a.a,,,www.bm-arkitekter.dk,13068135.0,32838324.0,13068135.0,Ãrsrapport,Berih Mavrommatis,Den Spanske Bank,BM Arkitekter ApS,Kurt Astrup,1000.0,80.0,,,321107.0,,KÃ¸benhavn,2012-09-30,2011-10-01,2012-10-29,Holte,,108165.0,urn:ofk:oid:20658134,indberetninger-20180424,2.5097342,32838324.0,,2018-04-02T05:29:07.096Z,2012-10-31T23:00:00.000Z,regnskab,0.0,,2012-09-30,2011-10-01,12-368.046,2012-10-31T23:00:00.000Z,,,,,,,,,,,,,,,,,,,,
32838324,2011-09-30,2011-09-30,c74,http://regnskaber.virk.dk/42383823/Y3ZyLmRrOi8vcGRmcy8zMjgzODMyNDtBcFM0NzE3Nzg7MjAxMTEwMDE7MjAxMjA5MzA7UjtS.pdf,http://regnskaber.virk.dk/42383823/Y3ZyLmRrOi8veGJybHMvWC02MzhBRDA0MS0yMDEyMTAzMF8wODExMzJfNjg3.xml,Danmark,2840 Holte,Fyrresvinget 11,2100  KÃ¸benhavn Ã,Borgmester Jensens AllÃ© 22 1 th,2840 Holte,Fyrresvinget 11,,Regnskabsklasse B,,2012-10-29,2010-04-08,2012-10-29,Statsautoriseret Revisor,arkitekt m.a.a,,,www.bm-arkitekter.dk,13068135.0,32838324.0,13068135.0,Ãrsrapport,Berih Mavrommatis,Den Spanske Bank,BM Arkitekter ApS,Kurt Astrup,1000.0,80.0,,,,,KÃ¸benhavn,2012-09-30,2011-10-01,2012-10-29,Holte,,108165.0,urn:ofk:oid:20658134,indberetninger-20180424,2.5097342,32838324.0,,2018-04-02T05:29:07.096Z,2012-10-31T23:00:00.000Z,regnskab,0.0,,2012-09-30,2011-10-01,12-368.046,2012-10-31T23:00:00.000Z,956483.0,735830.0,80000.0,956483.0,3060.0,401107.0,956483.0,555376.0,99283.0,0.0,321107.0,555376.0,311390.0,8343.0,220653.0,101225.0,35135.0,217593.0,,
32838324,2011-10-01,2011-10-01,c113,http://regnskaber.virk.dk/42383823/Y3ZyLmRrOi8vcGRmcy8zMjgzODMyNDtBcFM0NzE3Nzg7MjAxMTEwMDE7MjAxMjA5MzA7UjtS.pdf,http://regnskaber.virk.dk/42383823/Y3ZyLmRrOi8veGJybHMvWC02MzhBRDA0MS0yMDEyMTAzMF8wODExMzJfNjg3.xml,Danmark,2840 Holte,Fyrresvinget 11,2100  KÃ¸benhavn Ã,Borgmester Jensens AllÃ© 22 1 th,2840 Holte,Fyrresvinget 11,,Regnskabsklasse B,,2012-10-29,2010-04-08,2012-10-29,Statsautoriseret Revisor,arkitekt m.a.a,,,www.bm-arkitekter.dk,13068135.0,32838324.0,13068135.0,Ãrsrapport,Berih Mavrommatis,Den Spanske Bank,BM Arkitekter ApS,Kurt Astrup,1000.0,80.0,,,,,KÃ¸benhavn,2012-09-30,2011-10-01,2012-10-29,Holte,,108165.0,urn:ofk:oid:20658134,indberetninger-20180424,2.5097342,32838324.0,,2018-04-02T05:29:07.096Z,2012-10-31T23:00:00.000Z,regnskab,0.0,,2012-09-30,2011-10-01,12-368.046,2012-10-31T23:00:00.000Z,,,,,,80000.0,,,,,,,,,,,,,,
32838324,2011-10-01,2011-10-01,c131,http://regnskaber.virk.dk/42383823/Y3ZyLmRrOi8vcGRmcy8zMjgzODMyNDtBcFM0NzE3Nzg7MjAxMTEwMDE7MjAxMjA5MzA7UjtS.pdf,http://regnskaber.virk.dk/42383823/Y3ZyLmRrOi8veGJybHMvWC02MzhBRDA0MS0yMDEyMTAzMF8wODExMzJfNjg3.xml,Danmark,2840 Holte,Fyrresvinget 11,2100  KÃ¸benhavn Ã,Borgmester Jensens AllÃ© 22 1 th,2840 Holte,Fyrresvinget 11,,Regnskabsklasse B,,2012-10-29,2010-04-08,2012-10-29,Statsautoriseret Revisor,arkitekt m.a.a,,,www.bm-arkitekter.dk,13068135.0,32838324.0,13068135.0,Ãrsrapport,Berih Mavrommatis,Den Spanske Bank,BM Arkitekter ApS,Kurt Astrup,1000.0,80.0,,,,,KÃ¸benhavn,2012-09-30,2011-10-01,2012-10-29,Holte,,108165.0,urn:ofk:oid:20658134,indberetninger-20180424,2.5097342,32838324.0,,2018-04-02T05:29:07.096Z,2012-10-31T23:00:00.000Z,regnskab,0.0,,2012-09-30,2011-10-01,12-368.046,2012-10-31T23:00:00.000Z,,,,,,321107.0,,,,,,,,,,,,,,
32838324,2011-10-01,2012-09-30,c104,http://regnskaber.virk.dk/42383823/Y3ZyLmRrOi8vcGRmcy8zMjgzODMyNDtBcFM0NzE3Nzg7MjAxMTEwMDE7MjAxMjA5MzA7UjtS.pdf,http://regnskaber.virk.dk/42383823/Y3ZyLmRrOi8veGJybHMvWC02MzhBRDA0MS0yMDEyMTAzMF8wODExMzJfNjg3.xml,Danmark,2840 Holte,Fyrresvinget 11,2100  KÃ¸benhavn Ã,Borgmester Jensens AllÃ© 22 1 th,2840 Holte,Fyrresvinget 11,,Regnskabsklasse B,,2012-10-29,2010-04-08,2012-10-29,Statsautoriseret Revisor,arkitekt m.a.a,,,www.bm-arkitekter.dk,13068135.0,32838324.0,13068135.0,Ãrsrapport,Berih Mavrommatis,Den Spanske Bank,BM Arkitekter ApS,Kurt Astrup,1000.0,80.0,,,,,KÃ¸benhavn,2012-09-30,2011-10-01,2012-10-29,Holte,,108165.0,urn:ofk:oid:20658134,indberetninger-20180424,2.5097342,32838324.0,,2018-04-02T05:29:07.096Z,2012-10-31T23:00:00.000Z,regnskab,0.0,,2012-09-30,2011-10-01,12-368.046,2012-10-31T23:00:00.000Z,,,,,,,,,,,,,,,,,,,,
32838324,2011-10-01,2012-09-30,c11,http://regnskaber.virk.dk/42383823/Y3ZyLmRrOi8vcGRmcy8zMjgzODMyNDtBcFM0NzE3Nzg7MjAxMTEwMDE7MjAxMjA5MzA7UjtS.pdf,http://regnskaber.virk.dk/42383823/Y3ZyLmRrOi8veGJybHMvWC02MzhBRDA0MS0yMDEyMTAzMF8wODExMzJfNjg3.xml,Danmark,2840 Holte,Fyrresvinget 11,2100  KÃ¸benhavn Ã,Borgmester Jensens AllÃ© 22 1 th,2840 Holte,Fyrresvinget 11,-4515.0,Regnskabsklasse B,137600.0,2012-10-29,2010-04-08,2012-10-29,Statsautoriseret Revisor,arkitekt m.a.a,900954.0,1435092.0,www.bm-arkitekter.dk,13068135.0,32838324.0,13068135.0,Ãrsrapport,Berih Mavrommatis,Den Spanske Bank,BM Arkitekter ApS,Kurt Astrup,1000.0,80.0,638.0,1494.0,401909.0,534138.0,KÃ¸benhavn,2012-09-30,2011-10-01,2012-10-29,Holte,133085.0,108165.0,urn:ofk:oid:20658134,indberetninger-20180424,2.5097342,32838324.0,,2018-04-02T05:29:07.096Z,2012-10-31T23:00:00.000Z,regnskab,0.0,,2012-09-30,2011-10-01,12-368.046,2012-10-31T23:00:00.000Z,,,,,,,,,,,,,,,,,,,Kurt Astrup,Revisionsfirmaet Kurt Astrup ApS
32838324,2011-10-01,2012-09-30,c12,http://regnskaber.virk.dk/42383823/Y3ZyLmRrOi8vcGRmcy8zMjgzODMyNDtBcFM0NzE3Nzg7MjAxMTEwMDE7MjAxMjA5MzA7UjtS.pdf,http://regnskaber.virk.dk/42383823/Y3ZyLmRrOi8veGJybHMvWC02MzhBRDA0MS0yMDEyMTAzMF8wODExMzJfNjg3.xml,Danmark,2840 Holte,Fyrresvinget 11,2100  KÃ¸benhavn Ã,Borgmester Jensens AllÃ© 22 1 th,2840 Holte,Fyrresvinget 11,,Regnskabsklasse B,,2012-10-29,2010-04-08,2012-10-29,Statsautoriseret Revisor,arkitekt m.a.a,,,www.bm-arkitekter.dk,13068135.0,32838324.0,13068135.0,Ãrsrapport,Berih Mavrommatis,Den Spanske Bank,BM Arkitekter ApS,Kurt Astrup,1000.0,80.0,,,,,KÃ¸benhavn,2012-09-30,2011-10-01,2012-10-29,Holte,,108165.0,urn:ofk:oid:20658134,indberetninger-20180424,2.5097342,32838324.0,,2018-04-02T05:29:07.096Z,2012-10-31T23:00:00.000Z,regnskab,0.0,,2012-09-30,2011-10-01,12-368.046,2012-10-31T23:00:00.000Z,,,,,,,,,,,,,,,,,,,Kurt Astrup,Revisionsfirmaet Kurt Astrup ApS
32838324,2011-10-01,2012-09-30,c132,http://regnskaber.virk.dk/42383823/Y3ZyLmRrOi8vcGRmcy8zMjgzODMyNDtBcFM0NzE3Nzg7MjAxMTEwMDE7MjAxMjA5MzA7UjtS.pdf,http://regnskaber.virk.dk/42383823/Y3ZyLmRrOi8veGJybHMvWC02MzhBRDA0MS0yMDEyMTAzMF8wODExMzJfNjg3.xml,Danmark,2840 Holte,Fyrresvinget 11,2100  KÃ¸benhavn Ã,Borgmester Jensens AllÃ© 22 1 th,2840 Holte,Fyrresvinget 11,,Regnskabsklasse B,,2012-10-29,2010-04-08,2012-10-29,Statsautoriseret Revisor,arkitekt m.a.a,,,www.bm-arkitekter.dk,13068135.0,32838324.0,13068135.0,Ãrsrapport,Berih Mavrommatis,Den Spanske Bank,BM Arkitekter ApS,Kurt Astrup,1000.0,80.0,,,353609.0,,KÃ¸benhavn,2012-09-30,2011-10-01,2012-10-29,Holte,,108165.0,urn:ofk:oid:20658134,indberetninger-20180424,2.5097342,32838324.0,,2018-04-02T05:29:07.096Z,2012-10-31T23:00:00.000Z,regnskab,0.0,,2012-09-30,2011-10-01,12-368.046,2012-10-31T23:00:00.000Z,,,,,,,,,,,,,,,,,,,,
