entity,start_date,end_date,context,AARSRAPPORT_html,AARSRAPPORT_pdf,AARSRAPPORT_xml,AccountingPoliciesAreUnchangedFromPreviousPeriod,AddressOfFinancialCountry,AddressOfFinancialCountryIdentificationCode,AddressOfFinancialDistrictName,AddressOfFinancialPostCodeIdentifier,AddressOfFinancialStreetName,AddressOfReportingEntityDistrictName,AddressOfReportingEntityPostCodeIdentifier,AddressOfReportingEntityStreetBuildingIdentifier,AddressOfReportingEntityStreetName,AddressOfSubmittingEnterprisePostcodeAndTown,AddressOfSubmittingEnterpriseStreetAndNumber,ClassOfReportingEntity,DateOfApprovalOfAnnualReport,DateOfGeneralMeeting,DepreciationAmortisationExpenseAndImpairmentLossesOfPropertyPlantAndEquipmentAndIntangibleAssetsRecognisedInProfitOrLoss,EmployeeBenefitsExpense,ExternalExpenses,GrossResult,IdentificationNumberCvrOfReportingEntity,InformationOnReportingClassOfEntity,InformationOnTypeOfSubmittedReport,NameAndSurnameOfChairmanOfGeneralMeeting,NameAndSurnameOfMemberOfExecutiveBoard,NameOfFinancialInstitution,NameOfReportingEntity,NameOfSubmittingEnterprise,OtherFinanceExpenses,PlaceOfSignatureOfStatement,PrecedingReportingPeriodStartDate,PredingReportingPeriodEndDate,ProfitLoss,ProfitLossFromOrdinaryActivitiesBeforeTax,ProfitLossFromOrdinaryOperatingActivities,ReportingPeriodEndDate,ReportingPeriodStartDate,Revenue,SelectedElementsFromReportingClassC,SelectedElementsFromReportingClassD,TaxExpense,TheCompanyHasPresentedTheAnnualReportEtcWithReferenceToTheDanishFinancialStatementsAct78aConcerningTheExceptionForReportingClassCMediumsizeSubsidiariesWhichChoosesToPresentTheAnnualReportEtcAccordingToReportingClassB,TheReportingEntityAppliesTheExceptionConcerningOptingOutOfTheStatementByManagementEtc,TitleOfMemberOfExecutiveBoard,TypeOfAuditorAssistance,_id,_index,_score,cvrNummer,indlaesningsId,indlaesningsTidspunkt,offentliggoerelsesTidspunkt,offentliggoerelsestype,omgoerelse,regNummer,regnskabsperiode_slutDato,regnskabsperiode_startDato,sagsNummer,sidstOpdateret,Assets,CashAndCashEquivalents,ContractWorkInProgress,ContributedCapital,CurrentAssets,Equity,FixturesFittingsToolsAndEquipment,Goodwill,IntangibleAssets,Inventories,LandAndBuildings,LiabilitiesAndEquity,LiabilitiesOtherThanProvisions,LongtermDebtToBanks,LongtermInvestmentsAndReceivables,LongtermInvestmentsInAssociates,LongtermInvestmentsInGroupEnterprises,LongtermLiabilitiesOtherThanProvisions,LongtermMortgageDebt,LongtermTaxPayables,ManufacturedGoodsAndGoodsForResale,NoncurrentAssets,OtherLongtermInvestments,OtherReserves,OtherShorttermInvestments,OtherShorttermPayables,OtherShorttermReceivables,PlantAndMachinery,PropertyPlantAndEquipment,ProposedDividend,ProposedDividendRecognisedInEquity,Provisions,ProvisionsForDeferredTax,RawMaterialsAndConsumables,RetainedEarnings,ShorttermDebtToBanks,ShorttermInvestments,ShorttermLiabilitiesOtherThanProvisions,ShorttermMortgageDebt,ShorttermPayablesToAssociates,ShorttermPayablesToGroupEnterprises,ShorttermReceivables,ShorttermReceivablesFromAssociates,ShorttermReceivablesFromGroupEnterprises,ShorttermTaxPayables,ShorttermTaxReceivables,ShorttermTradePayables,ShorttermTradeReceivables
32771874,2016-01-01,2016-12-31,c2,http://regnskaber.virk.dk/47817723/ZG9rdW1lbnRsYWdlcjovLzAzL2Y1L2I4L2MwL2EyLzZlMDUtNGFmMy1iODcwLTYxMGUwMjQzOTIxNg.xhtml,http://regnskaber.virk.dk/47817723/ZG9rdW1lbnRsYWdlcjovLzAzL2Y5L2EyL2ZiLzAwLzU4OTctNDVhOC05ZTBhLTBiZTVkMDAwNzg2NA.pdf,http://regnskaber.virk.dk/47817723/ZG9rdW1lbnRsYWdlcjovLzAzL2Q3LzgzL2ZmLzZhL2RlNjktNDhmZS1iODJiLTcwZDM4MTQ0MDhiYg.xml,true,Danmark,DK,Aalborg,9000.0,Skelagervej 15,Fredensborg,3480.0,13.0,Stationsvej,3480 Fredensborg,Stationsvej 13,Regnskabsklasse B,2018-04-06,2018-04-06,0.0,0.0,367678.0,-367678.0,32771874.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Paul Christtreu,Paul Christtreu,Spar Nord Bank A/S,GENERATIONSSKIFTE RÃDGIVNING ApS,Paul Christtreu,67369.0,Fredensborg,2016-01-01,2016-12-31,-339337.0,-435047.0,-367678.0,2017-12-31,2017-01-01,0.0,false,false,-95710.0,false,false,DirektÃ¸r,Ingen bistand,urn:ofk:oid:25274665,indberetninger-20180424,2.5953817000000003,32771874.0,,2018-04-08T04:28:04.697Z,2018-04-07T08:54:43.081Z,regnskab,0.0,,2017-12-31,2017-01-01,X18-AH-29-EG,2018-04-07T08:54:43.274Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32771874,2016-01-01,2016-12-31,c4,http://regnskaber.virk.dk/47817723/ZG9rdW1lbnRsYWdlcjovLzAzL2Y1L2I4L2MwL2EyLzZlMDUtNGFmMy1iODcwLTYxMGUwMjQzOTIxNg.xhtml,http://regnskaber.virk.dk/47817723/ZG9rdW1lbnRsYWdlcjovLzAzL2Y5L2EyL2ZiLzAwLzU4OTctNDVhOC05ZTBhLTBiZTVkMDAwNzg2NA.pdf,http://regnskaber.virk.dk/47817723/ZG9rdW1lbnRsYWdlcjovLzAzL2Q3LzgzL2ZmLzZhL2RlNjktNDhmZS1iODJiLTcwZDM4MTQ0MDhiYg.xml,true,Danmark,DK,Aalborg,9000.0,Skelagervej 15,Fredensborg,3480.0,13.0,Stationsvej,3480 Fredensborg,Stationsvej 13,Regnskabsklasse B,2018-04-06,2018-04-06,,,,,32771874.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Paul Christtreu,Paul Christtreu,Spar Nord Bank A/S,GENERATIONSSKIFTE RÃDGIVNING ApS,Paul Christtreu,,Fredensborg,2016-01-01,2016-12-31,0.0,,,2017-12-31,2017-01-01,,false,false,,false,false,DirektÃ¸r,Ingen bistand,urn:ofk:oid:25274665,indberetninger-20180424,2.5953817000000003,32771874.0,,2018-04-08T04:28:04.697Z,2018-04-07T08:54:43.081Z,regnskab,0.0,,2017-12-31,2017-01-01,X18-AH-29-EG,2018-04-07T08:54:43.274Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32771874,2016-01-01,2016-12-31,c6,http://regnskaber.virk.dk/47817723/ZG9rdW1lbnRsYWdlcjovLzAzL2Y1L2I4L2MwL2EyLzZlMDUtNGFmMy1iODcwLTYxMGUwMjQzOTIxNg.xhtml,http://regnskaber.virk.dk/47817723/ZG9rdW1lbnRsYWdlcjovLzAzL2Y5L2EyL2ZiLzAwLzU4OTctNDVhOC05ZTBhLTBiZTVkMDAwNzg2NA.pdf,http://regnskaber.virk.dk/47817723/ZG9rdW1lbnRsYWdlcjovLzAzL2Q3LzgzL2ZmLzZhL2RlNjktNDhmZS1iODJiLTcwZDM4MTQ0MDhiYg.xml,true,Danmark,DK,Aalborg,9000.0,Skelagervej 15,Fredensborg,3480.0,13.0,Stationsvej,3480 Fredensborg,Stationsvej 13,Regnskabsklasse B,2018-04-06,2018-04-06,,,,,32771874.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Paul Christtreu,Paul Christtreu,Spar Nord Bank A/S,GENERATIONSSKIFTE RÃDGIVNING ApS,Paul Christtreu,,Fredensborg,2016-01-01,2016-12-31,0.0,,,2017-12-31,2017-01-01,,false,false,,false,false,DirektÃ¸r,Ingen bistand,urn:ofk:oid:25274665,indberetninger-20180424,2.5953817000000003,32771874.0,,2018-04-08T04:28:04.697Z,2018-04-07T08:54:43.081Z,regnskab,0.0,,2017-12-31,2017-01-01,X18-AH-29-EG,2018-04-07T08:54:43.274Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32771874,2016-01-01,2016-12-31,c8,http://regnskaber.virk.dk/47817723/ZG9rdW1lbnRsYWdlcjovLzAzL2Y1L2I4L2MwL2EyLzZlMDUtNGFmMy1iODcwLTYxMGUwMjQzOTIxNg.xhtml,http://regnskaber.virk.dk/47817723/ZG9rdW1lbnRsYWdlcjovLzAzL2Y5L2EyL2ZiLzAwLzU4OTctNDVhOC05ZTBhLTBiZTVkMDAwNzg2NA.pdf,http://regnskaber.virk.dk/47817723/ZG9rdW1lbnRsYWdlcjovLzAzL2Q3LzgzL2ZmLzZhL2RlNjktNDhmZS1iODJiLTcwZDM4MTQ0MDhiYg.xml,true,Danmark,DK,Aalborg,9000.0,Skelagervej 15,Fredensborg,3480.0,13.0,Stationsvej,3480 Fredensborg,Stationsvej 13,Regnskabsklasse B,2018-04-06,2018-04-06,,,,,32771874.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Paul Christtreu,Paul Christtreu,Spar Nord Bank A/S,GENERATIONSSKIFTE RÃDGIVNING ApS,Paul Christtreu,,Fredensborg,2016-01-01,2016-12-31,-339337.0,,,2017-12-31,2017-01-01,,false,false,,false,false,DirektÃ¸r,Ingen bistand,urn:ofk:oid:25274665,indberetninger-20180424,2.5953817000000003,32771874.0,,2018-04-08T04:28:04.697Z,2018-04-07T08:54:43.081Z,regnskab,0.0,,2017-12-31,2017-01-01,X18-AH-29-EG,2018-04-07T08:54:43.274Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32771874,2016-12-31,2016-12-31,c10,http://regnskaber.virk.dk/47817723/ZG9rdW1lbnRsYWdlcjovLzAzL2Y1L2I4L2MwL2EyLzZlMDUtNGFmMy1iODcwLTYxMGUwMjQzOTIxNg.xhtml,http://regnskaber.virk.dk/47817723/ZG9rdW1lbnRsYWdlcjovLzAzL2Y5L2EyL2ZiLzAwLzU4OTctNDVhOC05ZTBhLTBiZTVkMDAwNzg2NA.pdf,http://regnskaber.virk.dk/47817723/ZG9rdW1lbnRsYWdlcjovLzAzL2Q3LzgzL2ZmLzZhL2RlNjktNDhmZS1iODJiLTcwZDM4MTQ0MDhiYg.xml,true,Danmark,DK,Aalborg,9000.0,Skelagervej 15,Fredensborg,3480.0,13.0,Stationsvej,3480 Fredensborg,Stationsvej 13,Regnskabsklasse B,2018-04-06,2018-04-06,,,,,32771874.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Paul Christtreu,Paul Christtreu,Spar Nord Bank A/S,GENERATIONSSKIFTE RÃDGIVNING ApS,Paul Christtreu,,Fredensborg,2016-01-01,2016-12-31,,,,2017-12-31,2017-01-01,,false,false,,false,false,DirektÃ¸r,Ingen bistand,urn:ofk:oid:25274665,indberetninger-20180424,2.5953817000000003,32771874.0,,2018-04-08T04:28:04.697Z,2018-04-07T08:54:43.081Z,regnskab,0.0,,2017-12-31,2017-01-01,X18-AH-29-EG,2018-04-07T08:54:43.274Z,3422305.0,143.0,0.0,125000.0,95853.0,591401.0,0.0,0.0,0.0,0.0,0.0,3422305.0,2830904.0,1462067.0,3326452.0,0.0,0.0,1496337.0,0.0,34270.0,0.0,3326452.0,3326452.0,0.0,0.0,1334567.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,466401.0,0.0,0.0,1334567.0,0.0,0.0,0.0,95710.0,0.0,0.0,0.0,95710.0,0.0,0.0
32771874,2017-01-01,2017-12-31,c0,http://regnskaber.virk.dk/47817723/ZG9rdW1lbnRsYWdlcjovLzAzL2Y1L2I4L2MwL2EyLzZlMDUtNGFmMy1iODcwLTYxMGUwMjQzOTIxNg.xhtml,http://regnskaber.virk.dk/47817723/ZG9rdW1lbnRsYWdlcjovLzAzL2Y5L2EyL2ZiLzAwLzU4OTctNDVhOC05ZTBhLTBiZTVkMDAwNzg2NA.pdf,http://regnskaber.virk.dk/47817723/ZG9rdW1lbnRsYWdlcjovLzAzL2Q3LzgzL2ZmLzZhL2RlNjktNDhmZS1iODJiLTcwZDM4MTQ0MDhiYg.xml,true,Danmark,DK,Aalborg,9000.0,Skelagervej 15,Fredensborg,3480.0,13.0,Stationsvej,3480 Fredensborg,Stationsvej 13,Regnskabsklasse B,2018-04-06,2018-04-06,0.0,0.0,-90889.0,90889.0,32771874.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Paul Christtreu,Paul Christtreu,Spar Nord Bank A/S,GENERATIONSSKIFTE RÃDGIVNING ApS,Paul Christtreu,67787.0,Fredensborg,2016-01-01,2016-12-31,18020.0,23102.0,90889.0,2017-12-31,2017-01-01,0.0,false,false,5082.0,false,false,DirektÃ¸r,Ingen bistand,urn:ofk:oid:25274665,indberetninger-20180424,2.5953817000000003,32771874.0,,2018-04-08T04:28:04.697Z,2018-04-07T08:54:43.081Z,regnskab,0.0,,2017-12-31,2017-01-01,X18-AH-29-EG,2018-04-07T08:54:43.274Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32771874,2017-01-01,2017-12-31,c1,http://regnskaber.virk.dk/47817723/ZG9rdW1lbnRsYWdlcjovLzAzL2Y1L2I4L2MwL2EyLzZlMDUtNGFmMy1iODcwLTYxMGUwMjQzOTIxNg.xhtml,http://regnskaber.virk.dk/47817723/ZG9rdW1lbnRsYWdlcjovLzAzL2Y5L2EyL2ZiLzAwLzU4OTctNDVhOC05ZTBhLTBiZTVkMDAwNzg2NA.pdf,http://regnskaber.virk.dk/47817723/ZG9rdW1lbnRsYWdlcjovLzAzL2Q3LzgzL2ZmLzZhL2RlNjktNDhmZS1iODJiLTcwZDM4MTQ0MDhiYg.xml,true,Danmark,DK,Aalborg,9000.0,Skelagervej 15,Fredensborg,3480.0,13.0,Stationsvej,3480 Fredensborg,Stationsvej 13,Regnskabsklasse B,2018-04-06,2018-04-06,,,,,32771874.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Paul Christtreu,Paul Christtreu,Spar Nord Bank A/S,GENERATIONSSKIFTE RÃDGIVNING ApS,Paul Christtreu,,Fredensborg,2016-01-01,2016-12-31,,,,2017-12-31,2017-01-01,,false,false,,false,false,DirektÃ¸r,Ingen bistand,urn:ofk:oid:25274665,indberetninger-20180424,2.5953817000000003,32771874.0,,2018-04-08T04:28:04.697Z,2018-04-07T08:54:43.081Z,regnskab,0.0,,2017-12-31,2017-01-01,X18-AH-29-EG,2018-04-07T08:54:43.274Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32771874,2017-01-01,2017-12-31,c3,http://regnskaber.virk.dk/47817723/ZG9rdW1lbnRsYWdlcjovLzAzL2Y1L2I4L2MwL2EyLzZlMDUtNGFmMy1iODcwLTYxMGUwMjQzOTIxNg.xhtml,http://regnskaber.virk.dk/47817723/ZG9rdW1lbnRsYWdlcjovLzAzL2Y5L2EyL2ZiLzAwLzU4OTctNDVhOC05ZTBhLTBiZTVkMDAwNzg2NA.pdf,http://regnskaber.virk.dk/47817723/ZG9rdW1lbnRsYWdlcjovLzAzL2Q3LzgzL2ZmLzZhL2RlNjktNDhmZS1iODJiLTcwZDM4MTQ0MDhiYg.xml,true,Danmark,DK,Aalborg,9000.0,Skelagervej 15,Fredensborg,3480.0,13.0,Stationsvej,3480 Fredensborg,Stationsvej 13,Regnskabsklasse B,2018-04-06,2018-04-06,,,,,32771874.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Paul Christtreu,Paul Christtreu,Spar Nord Bank A/S,GENERATIONSSKIFTE RÃDGIVNING ApS,Paul Christtreu,,Fredensborg,2016-01-01,2016-12-31,0.0,,,2017-12-31,2017-01-01,,false,false,,false,false,DirektÃ¸r,Ingen bistand,urn:ofk:oid:25274665,indberetninger-20180424,2.5953817000000003,32771874.0,,2018-04-08T04:28:04.697Z,2018-04-07T08:54:43.081Z,regnskab,0.0,,2017-12-31,2017-01-01,X18-AH-29-EG,2018-04-07T08:54:43.274Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32771874,2017-01-01,2017-12-31,c5,http://regnskaber.virk.dk/47817723/ZG9rdW1lbnRsYWdlcjovLzAzL2Y1L2I4L2MwL2EyLzZlMDUtNGFmMy1iODcwLTYxMGUwMjQzOTIxNg.xhtml,http://regnskaber.virk.dk/47817723/ZG9rdW1lbnRsYWdlcjovLzAzL2Y5L2EyL2ZiLzAwLzU4OTctNDVhOC05ZTBhLTBiZTVkMDAwNzg2NA.pdf,http://regnskaber.virk.dk/47817723/ZG9rdW1lbnRsYWdlcjovLzAzL2Q3LzgzL2ZmLzZhL2RlNjktNDhmZS1iODJiLTcwZDM4MTQ0MDhiYg.xml,true,Danmark,DK,Aalborg,9000.0,Skelagervej 15,Fredensborg,3480.0,13.0,Stationsvej,3480 Fredensborg,Stationsvej 13,Regnskabsklasse B,2018-04-06,2018-04-06,,,,,32771874.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Paul Christtreu,Paul Christtreu,Spar Nord Bank A/S,GENERATIONSSKIFTE RÃDGIVNING ApS,Paul Christtreu,,Fredensborg,2016-01-01,2016-12-31,0.0,,,2017-12-31,2017-01-01,,false,false,,false,false,DirektÃ¸r,Ingen bistand,urn:ofk:oid:25274665,indberetninger-20180424,2.5953817000000003,32771874.0,,2018-04-08T04:28:04.697Z,2018-04-07T08:54:43.081Z,regnskab,0.0,,2017-12-31,2017-01-01,X18-AH-29-EG,2018-04-07T08:54:43.274Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32771874,2017-01-01,2017-12-31,c7,http://regnskaber.virk.dk/47817723/ZG9rdW1lbnRsYWdlcjovLzAzL2Y1L2I4L2MwL2EyLzZlMDUtNGFmMy1iODcwLTYxMGUwMjQzOTIxNg.xhtml,http://regnskaber.virk.dk/47817723/ZG9rdW1lbnRsYWdlcjovLzAzL2Y5L2EyL2ZiLzAwLzU4OTctNDVhOC05ZTBhLTBiZTVkMDAwNzg2NA.pdf,http://regnskaber.virk.dk/47817723/ZG9rdW1lbnRsYWdlcjovLzAzL2Q3LzgzL2ZmLzZhL2RlNjktNDhmZS1iODJiLTcwZDM4MTQ0MDhiYg.xml,true,Danmark,DK,Aalborg,9000.0,Skelagervej 15,Fredensborg,3480.0,13.0,Stationsvej,3480 Fredensborg,Stationsvej 13,Regnskabsklasse B,2018-04-06,2018-04-06,,,,,32771874.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Paul Christtreu,Paul Christtreu,Spar Nord Bank A/S,GENERATIONSSKIFTE RÃDGIVNING ApS,Paul Christtreu,,Fredensborg,2016-01-01,2016-12-31,18020.0,,,2017-12-31,2017-01-01,,false,false,,false,false,DirektÃ¸r,Ingen bistand,urn:ofk:oid:25274665,indberetninger-20180424,2.5953817000000003,32771874.0,,2018-04-08T04:28:04.697Z,2018-04-07T08:54:43.081Z,regnskab,0.0,,2017-12-31,2017-01-01,X18-AH-29-EG,2018-04-07T08:54:43.274Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
