entity,start_date,end_date,context,AARSRAPPORT_pdf,AARSRAPPORT_xml,AddressOfAuditorCountry,AddressOfReportingEntityDistrictName,AddressOfReportingEntityPostCodeIdentifier,AddressOfReportingEntityStreetBuildingIdentifier,AddressOfReportingEntityStreetName,AddressOfSubmittingEnterprisePostcodeAndTown,AddressOfSubmittingEnterpriseStreetAndNumber,CashAndCashEquivalents,ClassOfReportingEntity,DateOfApprovalOfAnnualReport,DateOfGeneralMeeting,DescriptionOfAuditor,DescriptionOfClassOfIssuedShares,FaxNumberOfReportingEntity,IdentificationNumberCvrOfReportingEntity,InformationOnTypeOfSubmittedReport,LongtermLiabilitiesOtherThanProvisionsDueInOneYear,NameAndSurnameOfAuditor,NameAndSurnameOfChairmanOfGeneralMeeting,NameAndSurnameOfMemberOfExecutiveBoard,NameOfFinancialInstitution,NameOfReportingEntity,NameOfSubmittingEnterprise,NominalValueOfIssuedShares,NumberOfIssuedShares,PlaceOfSignatureOfStatement,RegisteredOfficeOfReportingEntity,ReportingPeriodEndDate,ReportingPeriodStartDate,SignatureOfAuditorsDate,SignatureOfAuditorsPlace,TypeOfAuditorAssistance,_id,_index,_score,cvrNummer,indlaesningsId,indlaesningsTidspunkt,offentliggoerelsesTidspunkt,offentliggoerelsestype,omgoerelse,regNummer,regnskabsperiode_slutDato,regnskabsperiode_startDato,sagsNummer,sidstOpdateret,Equity,AdjustmentsForDeferredTax,AdjustmentsOfInterestAndSimilarIncomes,AdjustmentsOfTaxExpense,AdjustmentsfInterestAndSimilarExpenses,AverageNumberOfEmployees,CashFlowFromOperatingActivitiesBeforeFinancialItems,CashFlowsFromUsedInFinancingActivities,CashFlowsFromUsedInOperatingActivities,CurrentTaxExpense,DecreaseIncreaseInInventories,DecreaseIncreaseInReceivables,DecreaseIncreaseInTradePayables,DividendPaidCashFlow,EmployeeBenefitsExpense,ExchangeRateAdjustmentsOtherFinanceIncome,IncomeTaxesPaidRefundClassifiedAsOperatingActivities,InterestExpenseAssignedToGroupEnterprises,InterestPaidClassifiedAsOperatingActivities,InterestReceivedClassifiedAsOperatingActivities,NetIncreaseDecreaseInCashAndCashEquivalents,OperatingMargin,OtherAdjustmentsForDecreaseIncreaseInWorkingCapital,OtherEmployeeExpense,OtherExternalExpenses,OtherFinanceExpenses,OtherFinanceIncome,OtherInterestExpenses,OtherInterestIncome,OtherOperatingIncome,PostemploymentBenefitExpense,ProceedsFromLongtermLiabilitiesClassifiedAsFinancingActivities,ProfitLoss,ProfitLossFromOrdinaryActivitiesBeforeTax,ProfitLossFromOrdinaryOperatingActivities,RawMaterialsAndConsumablesUsed,RepaymentsOfLongtermLiabilitiesClassifiedAsFinancingActivities,ReturnOnEquity,ReturnOnInvestedCapital,Revenue,SocialSecurityContributions,TaxExpense,TaxExpenseOnOrdinaryActivities,WagesAndSalaries,FeesForAuditorsPerformingStatutoryAudit,FeesForOtherServicesPerformedByAuditors,Dividend,LongtermLiabilitiesOtherThanProvisions,Assets,CashAndCashEquivalentsConcerningCashflowStatement,ContributedCapital,CurrentAssets,CurrentDeferredTaxAssets,Inventories,LiabilitiesAndEquity,LiabilitiesOtherThanProvisions,OtherShorttermPayables,OtherShorttermReceivables,PrepaymentsForGoods,ProposedDividendRecognisedInEquity,RawMaterialsAndConsumables,RetainedEarnings,ShorttermDebtToBanks,ShorttermDebtToOtherCreditInstitutions,ShorttermLiabilitiesOtherThanProvisions,ShorttermPartOfLongtermLiabilitiesOtherThanProvisions,ShorttermPayablesToGroupEnterprises,ShorttermReceivables,ShorttermReceivablesFromGroupEnterprises,ShorttermTaxPayables,ShorttermTradePayables,ShorttermTradeReceivables,DividendPaid,AddressOfAuditorDistrictName,AddressOfAuditorPostCodeIdentifier,AddressOfAuditorStreetBuildingIdentifier,AddressOfAuditorStreetName,NameOfAuditFirm,ValueOfKeyFigureOrFinancialRatio,NameAndSurnameOfMemberOfSupervisoryBoard
29197202,2012-01-01,2012-01-01,c285,http://regnskaber.virk.dk/20279192/Y3ZyLmRrOi8vcGRmcy8yOTE5NzIwMjtBL1MzNjE5MTk7MjAxMzAxMDE7MjAxMzEyMzE7UjtS.pdf,http://regnskaber.virk.dk/20279192/Y3ZyLmRrOi8veGJybHMvWC1GNzY5MUY0Ny0yMDE0MDUxMF8yMDM1NDlfMDM0.xml,Danmark,Dronninglund,9330.0,5.0,Nordre Ringgade,9200 Aalborg SV,Voergaardvej 2,2697000.0,"Regnskabsklasse C, mellemstor virksomhed",2014-04-15,2014-05-05,Statsaut. revisor,Aktieklasse A,98 84 74 01,29197202.0,Ãrsrapport,40000000.0,Mogens Andersen,Ulrik Bjerre Rasmussen,Finn Gertov,Spar Nord Bank A/S,Northcoast Seafoods DK A/S,Beierholm,500.0,1.0,Dronninglund,BrÃ¸nderslev,2013-12-31,2013-01-01,2014-04-15,Viborg,RevisionspÃ¥tegning,urn:ofk:oid:21182842,indberetninger-20180424,2.5118406,29197202.0,,2018-03-31T19:37:14.781Z,2014-05-10T22:00:00.000Z,regnskab,0.0,,2013-12-31,2013-01-01,14-83.371,2014-05-10T22:00:00.000Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29197202,2012-01-01,2012-01-01,c696,http://regnskaber.virk.dk/20279192/Y3ZyLmRrOi8vcGRmcy8yOTE5NzIwMjtBL1MzNjE5MTk7MjAxMzAxMDE7MjAxMzEyMzE7UjtS.pdf,http://regnskaber.virk.dk/20279192/Y3ZyLmRrOi8veGJybHMvWC1GNzY5MUY0Ny0yMDE0MDUxMF8yMDM1NDlfMDM0.xml,Danmark,Dronninglund,9330.0,5.0,Nordre Ringgade,9200 Aalborg SV,Voergaardvej 2,,"Regnskabsklasse C, mellemstor virksomhed",2014-04-15,2014-05-05,Statsaut. revisor,Aktieklasse A,98 84 74 01,29197202.0,Ãrsrapport,40000000.0,Mogens Andersen,Ulrik Bjerre Rasmussen,Finn Gertov,Spar Nord Bank A/S,Northcoast Seafoods DK A/S,Beierholm,500.0,1.0,Dronninglund,BrÃ¸nderslev,2013-12-31,2013-01-01,2014-04-15,Viborg,RevisionspÃ¥tegning,urn:ofk:oid:21182842,indberetninger-20180424,2.5118406,29197202.0,,2018-03-31T19:37:14.781Z,2014-05-10T22:00:00.000Z,regnskab,0.0,,2013-12-31,2013-01-01,14-83.371,2014-05-10T22:00:00.000Z,500000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29197202,2012-01-01,2012-01-01,c717,http://regnskaber.virk.dk/20279192/Y3ZyLmRrOi8vcGRmcy8yOTE5NzIwMjtBL1MzNjE5MTk7MjAxMzAxMDE7MjAxMzEyMzE7UjtS.pdf,http://regnskaber.virk.dk/20279192/Y3ZyLmRrOi8veGJybHMvWC1GNzY5MUY0Ny0yMDE0MDUxMF8yMDM1NDlfMDM0.xml,Danmark,Dronninglund,9330.0,5.0,Nordre Ringgade,9200 Aalborg SV,Voergaardvej 2,,"Regnskabsklasse C, mellemstor virksomhed",2014-04-15,2014-05-05,Statsaut. revisor,Aktieklasse A,98 84 74 01,29197202.0,Ãrsrapport,40000000.0,Mogens Andersen,Ulrik Bjerre Rasmussen,Finn Gertov,Spar Nord Bank A/S,Northcoast Seafoods DK A/S,Beierholm,500.0,1.0,Dronninglund,BrÃ¸nderslev,2013-12-31,2013-01-01,2014-04-15,Viborg,RevisionspÃ¥tegning,urn:ofk:oid:21182842,indberetninger-20180424,2.5118406,29197202.0,,2018-03-31T19:37:14.781Z,2014-05-10T22:00:00.000Z,regnskab,0.0,,2013-12-31,2013-01-01,14-83.371,2014-05-10T22:00:00.000Z,13951000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29197202,2012-01-01,2012-01-01,c720,http://regnskaber.virk.dk/20279192/Y3ZyLmRrOi8vcGRmcy8yOTE5NzIwMjtBL1MzNjE5MTk7MjAxMzAxMDE7MjAxMzEyMzE7UjtS.pdf,http://regnskaber.virk.dk/20279192/Y3ZyLmRrOi8veGJybHMvWC1GNzY5MUY0Ny0yMDE0MDUxMF8yMDM1NDlfMDM0.xml,Danmark,Dronninglund,9330.0,5.0,Nordre Ringgade,9200 Aalborg SV,Voergaardvej 2,,"Regnskabsklasse C, mellemstor virksomhed",2014-04-15,2014-05-05,Statsaut. revisor,Aktieklasse A,98 84 74 01,29197202.0,Ãrsrapport,40000000.0,Mogens Andersen,Ulrik Bjerre Rasmussen,Finn Gertov,Spar Nord Bank A/S,Northcoast Seafoods DK A/S,Beierholm,500.0,1.0,Dronninglund,BrÃ¸nderslev,2013-12-31,2013-01-01,2014-04-15,Viborg,RevisionspÃ¥tegning,urn:ofk:oid:21182842,indberetninger-20180424,2.5118406,29197202.0,,2018-03-31T19:37:14.781Z,2014-05-10T22:00:00.000Z,regnskab,0.0,,2013-12-31,2013-01-01,14-83.371,2014-05-10T22:00:00.000Z,4500000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29197202,2012-01-01,2012-12-31,c14,http://regnskaber.virk.dk/20279192/Y3ZyLmRrOi8vcGRmcy8yOTE5NzIwMjtBL1MzNjE5MTk7MjAxMzAxMDE7MjAxMzEyMzE7UjtS.pdf,http://regnskaber.virk.dk/20279192/Y3ZyLmRrOi8veGJybHMvWC1GNzY5MUY0Ny0yMDE0MDUxMF8yMDM1NDlfMDM0.xml,Danmark,Dronninglund,9330.0,5.0,Nordre Ringgade,9200 Aalborg SV,Voergaardvej 2,,"Regnskabsklasse C, mellemstor virksomhed",2014-04-15,2014-05-05,Statsaut. revisor,Aktieklasse A,98 84 74 01,29197202.0,Ãrsrapport,40000000.0,Mogens Andersen,Ulrik Bjerre Rasmussen,Finn Gertov,Spar Nord Bank A/S,Northcoast Seafoods DK A/S,Beierholm,500.0,1.0,Dronninglund,BrÃ¸nderslev,2013-12-31,2013-01-01,2014-04-15,Viborg,RevisionspÃ¥tegning,urn:ofk:oid:21182842,indberetninger-20180424,2.5118406,29197202.0,,2018-03-31T19:37:14.781Z,2014-05-10T22:00:00.000Z,regnskab,0.0,,2013-12-31,2013-01-01,14-83.371,2014-05-10T22:00:00.000Z,,-64000.0,-699000.0,580000.0,3139000.0,2.0,9476000.0,-14500000.0,5312000.0,644000.0,-5779000.0,-2677000.0,11027000.0,-4500000.0,1495000.0,628000.0,-1724000.0,0.0,-3139000.0,699000.0,-9188000.0,2.8,2217000.0,6000.0,2997000.0,3139000.0,699000.0,3139000.0,71000.0,2219000.0,0.0,5000000.0,1668000.0,2248000.0,4688000.0,158169000.0,-15000000.0,9.5,6.7,165130000.0,0.0,580000.0,580000.0,1489000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29197202,2012-01-01,2012-12-31,c1970,http://regnskaber.virk.dk/20279192/Y3ZyLmRrOi8vcGRmcy8yOTE5NzIwMjtBL1MzNjE5MTk7MjAxMzAxMDE7MjAxMzEyMzE7UjtS.pdf,http://regnskaber.virk.dk/20279192/Y3ZyLmRrOi8veGJybHMvWC1GNzY5MUY0Ny0yMDE0MDUxMF8yMDM1NDlfMDM0.xml,Danmark,Dronninglund,9330.0,5.0,Nordre Ringgade,9200 Aalborg SV,Voergaardvej 2,,"Regnskabsklasse C, mellemstor virksomhed",2014-04-15,2014-05-05,Statsaut. revisor,Aktieklasse A,98 84 74 01,29197202.0,Ãrsrapport,40000000.0,Mogens Andersen,Ulrik Bjerre Rasmussen,Finn Gertov,Spar Nord Bank A/S,Northcoast Seafoods DK A/S,Beierholm,500.0,1.0,Dronninglund,BrÃ¸nderslev,2013-12-31,2013-01-01,2014-04-15,Viborg,RevisionspÃ¥tegning,urn:ofk:oid:21182842,indberetninger-20180424,2.5118406,29197202.0,,2018-03-31T19:37:14.781Z,2014-05-10T22:00:00.000Z,regnskab,0.0,,2013-12-31,2013-01-01,14-83.371,2014-05-10T22:00:00.000Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54000.0,8000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29197202,2012-01-01,2012-12-31,c56,http://regnskaber.virk.dk/20279192/Y3ZyLmRrOi8vcGRmcy8yOTE5NzIwMjtBL1MzNjE5MTk7MjAxMzAxMDE7MjAxMzEyMzE7UjtS.pdf,http://regnskaber.virk.dk/20279192/Y3ZyLmRrOi8veGJybHMvWC1GNzY5MUY0Ny0yMDE0MDUxMF8yMDM1NDlfMDM0.xml,Danmark,Dronninglund,9330.0,5.0,Nordre Ringgade,9200 Aalborg SV,Voergaardvej 2,,"Regnskabsklasse C, mellemstor virksomhed",2014-04-15,2014-05-05,Statsaut. revisor,Aktieklasse A,98 84 74 01,29197202.0,Ãrsrapport,40000000.0,Mogens Andersen,Ulrik Bjerre Rasmussen,Finn Gertov,Spar Nord Bank A/S,Northcoast Seafoods DK A/S,Beierholm,500.0,1.0,Dronninglund,BrÃ¸nderslev,2013-12-31,2013-01-01,2014-04-15,Viborg,RevisionspÃ¥tegning,urn:ofk:oid:21182842,indberetninger-20180424,2.5118406,29197202.0,,2018-03-31T19:37:14.781Z,2014-05-10T22:00:00.000Z,regnskab,0.0,,2013-12-31,2013-01-01,14-83.371,2014-05-10T22:00:00.000Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1500000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29197202,2012-01-01,2012-12-31,c69,http://regnskaber.virk.dk/20279192/Y3ZyLmRrOi8vcGRmcy8yOTE5NzIwMjtBL1MzNjE5MTk7MjAxMzAxMDE7MjAxMzEyMzE7UjtS.pdf,http://regnskaber.virk.dk/20279192/Y3ZyLmRrOi8veGJybHMvWC1GNzY5MUY0Ny0yMDE0MDUxMF8yMDM1NDlfMDM0.xml,Danmark,Dronninglund,9330.0,5.0,Nordre Ringgade,9200 Aalborg SV,Voergaardvej 2,,"Regnskabsklasse C, mellemstor virksomhed",2014-04-15,2014-05-05,Statsaut. revisor,Aktieklasse A,98 84 74 01,29197202.0,Ãrsrapport,40000000.0,Mogens Andersen,Ulrik Bjerre Rasmussen,Finn Gertov,Spar Nord Bank A/S,Northcoast Seafoods DK A/S,Beierholm,500.0,1.0,Dronninglund,BrÃ¸nderslev,2013-12-31,2013-01-01,2014-04-15,Viborg,RevisionspÃ¥tegning,urn:ofk:oid:21182842,indberetninger-20180424,2.5118406,29197202.0,,2018-03-31T19:37:14.781Z,2014-05-10T22:00:00.000Z,regnskab,0.0,,2013-12-31,2013-01-01,14-83.371,2014-05-10T22:00:00.000Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,168000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29197202,2012-01-01,2012-12-31,c718,http://regnskaber.virk.dk/20279192/Y3ZyLmRrOi8vcGRmcy8yOTE5NzIwMjtBL1MzNjE5MTk7MjAxMzAxMDE7MjAxMzEyMzE7UjtS.pdf,http://regnskaber.virk.dk/20279192/Y3ZyLmRrOi8veGJybHMvWC1GNzY5MUY0Ny0yMDE0MDUxMF8yMDM1NDlfMDM0.xml,Danmark,Dronninglund,9330.0,5.0,Nordre Ringgade,9200 Aalborg SV,Voergaardvej 2,,"Regnskabsklasse C, mellemstor virksomhed",2014-04-15,2014-05-05,Statsaut. revisor,Aktieklasse A,98 84 74 01,29197202.0,Ãrsrapport,40000000.0,Mogens Andersen,Ulrik Bjerre Rasmussen,Finn Gertov,Spar Nord Bank A/S,Northcoast Seafoods DK A/S,Beierholm,500.0,1.0,Dronninglund,BrÃ¸nderslev,2013-12-31,2013-01-01,2014-04-15,Viborg,RevisionspÃ¥tegning,urn:ofk:oid:21182842,indberetninger-20180424,2.5118406,29197202.0,,2018-03-31T19:37:14.781Z,2014-05-10T22:00:00.000Z,regnskab,0.0,,2013-12-31,2013-01-01,14-83.371,2014-05-10T22:00:00.000Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,168000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29197202,2012-01-01,2012-12-31,c721,http://regnskaber.virk.dk/20279192/Y3ZyLmRrOi8vcGRmcy8yOTE5NzIwMjtBL1MzNjE5MTk7MjAxMzAxMDE7MjAxMzEyMzE7UjtS.pdf,http://regnskaber.virk.dk/20279192/Y3ZyLmRrOi8veGJybHMvWC1GNzY5MUY0Ny0yMDE0MDUxMF8yMDM1NDlfMDM0.xml,Danmark,Dronninglund,9330.0,5.0,Nordre Ringgade,9200 Aalborg SV,Voergaardvej 2,,"Regnskabsklasse C, mellemstor virksomhed",2014-04-15,2014-05-05,Statsaut. revisor,Aktieklasse A,98 84 74 01,29197202.0,Ãrsrapport,40000000.0,Mogens Andersen,Ulrik Bjerre Rasmussen,Finn Gertov,Spar Nord Bank A/S,Northcoast Seafoods DK A/S,Beierholm,500.0,1.0,Dronninglund,BrÃ¸nderslev,2013-12-31,2013-01-01,2014-04-15,Viborg,RevisionspÃ¥tegning,urn:ofk:oid:21182842,indberetninger-20180424,2.5118406,29197202.0,,2018-03-31T19:37:14.781Z,2014-05-10T22:00:00.000Z,regnskab,0.0,,2013-12-31,2013-01-01,14-83.371,2014-05-10T22:00:00.000Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1500000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
