entity,start_date,end_date,context,AARSRAPPORT_html,AARSRAPPORT_pdf,AARSRAPPORT_xml,AddressOfAuditorCountry,AddressOfAuditorDistrictName,AddressOfAuditorPostCodeIdentifier,AddressOfAuditorStreetBuildingIdentifier,AddressOfAuditorStreetName,AddressOfReportingEntityDistrictName,AddressOfReportingEntityPostCodeIdentifier,AddressOfReportingEntityStreetBuildingIdentifier,AddressOfReportingEntityStreetName,AddressOfSubmittingEnterprisePostcodeAndTown,AddressOfSubmittingEnterpriseStreetAndNumber,Adjustments,AdjustmentsForDeferredTax,AverageNumberOfEmployees,CashFlowFromOperatingActivitiesBeforeFinancialItems,CashFlowFromOrdinaryOperatingActivities,CashFlowsFromUsedInFinancingActivities,ClassOfReportingEntity,CurrentTaxExpense,DateOfApprovalOfAnnualReport,DateOfGeneralMeeting,DecreaseIncreaseInInventories,DecreaseIncreaseInReceivables,DecreaseIncreaseInTradePayables,DescriptionOfAuditor,DescriptionOfClassOfIssuedShares,DividendPaidCashFlow,EmployeeBenefitsExpense,IdentificationNumberCvrOfAuditFirm,IdentificationNumberCvrOfReportingEntity,IncomeTaxesPaidRefundClassifiedAsOperatingActivities,InformationOnTypeOfSubmittedReport,InterestPaidClassifiedAsOperatingActivities,InterestReceivedClassifiedAsOperatingActivities,NameAndSurnameOfAuditor,NameAndSurnameOfChairmanOfGeneralMeeting,NameAndSurnameOfMemberOfExecutiveBoard,NameOfAuditFirm,NameOfReportingEntity,NameOfSubmittingEnterprise,NetIncreaseDecreaseInCashAndCashEquivalents,NominalValueOfIssuedShares,NumberOfIssuedShares,OperatingMargin,OtherAdjustmentsForDecreaseIncreaseInWorkingCapital,OtherAdjustmentsOfFinanceExpenses,OtherExternalExpenses,OtherFinanceExpenses,OtherFinanceIncome,OtherInterestExpenses,OtherOperatingIncome,ProfitLoss,ProfitLossFromOrdinaryActivitiesBeforeTax,RawMaterialsAndConsumablesUsed,RegisteredOfficeOfReportingEntity,RepaymentOfOtherLongtermPayables,ReportingPeriodEndDate,ReportingPeriodStartDate,ReturnOnEquity,Revenue,SignatureOfAuditorsDate,SignatureOfAuditorsPlace,TaxExpense,TypeOfAuditorAssistance,_id,_index,_score,cvrNummer,indlaesningsId,indlaesningsTidspunkt,offentliggoerelsesTidspunkt,offentliggoerelsestype,omgoerelse,regNummer,regnskabsperiode_slutDato,regnskabsperiode_startDato,sagsNummer,sidstOpdateret,Assets,CashAndCashEquivalents,CashAndCashEquivalentsConcerningCashflowStatement,ContributedCapital,CurrentAssets,CurrentDeferredTaxAssets,Equity,Inventories,LiabilitiesAndEquity,LiabilitiesOtherThanProvisions,ManufacturedGoodsAndGoodsForResale,OtherShorttermPayables,OtherShorttermReceivables,PrepaymentsForGoods,ProposedDividendRecognisedInEquity,RetainedEarnings,ShorttermDebtToBanks,ShorttermLiabilitiesOtherThanProvisions,ShorttermPayablesToGroupEnterprises,ShorttermPrepaymentsReceivedFromCustomers,ShorttermReceivables,ShorttermReceivablesFromGroupEnterprises,ShorttermTaxPayables,ShorttermTradePayables,ShorttermTradeReceivables,PlaceOfSignatureOfStatement,CashFlowsFromUsedInOperatingActivities,ProfitLossFromOrdinaryOperatingActivities,ResultsFromNetFinancials,NameAndSurnameOfMemberOfSupervisoryBoard
29197202,2015-01-01,2015-12-31,c14,,http://regnskaber.virk.dk/20279192/ZG9rdW1lbnRsYWdlcjovLzAzLzI4L2Q0LzE4L2FhLzJiZGUtNGVlNC1hZWE2LTNiMjNiMmQwZDM1YQ.pdf,http://regnskaber.virk.dk/20279192/ZG9rdW1lbnRsYWdlcjovLzAzLzVlL2FiLzI4Lzk0LzRmYWMtNDNkYy1hMWM3LTVmNTkzMGQwMGQxMg.xml,Danmark,Viborg,8800.0,73B,Gl. Skivevej,Dronninglund,9330.0,5.0,Nordre Ringgade,9200 Aalborg SV,Voergaardvej 2,2483000.0,67000.0,4.0,-16951000.0,-18615000.0,-46400000.0,"Regnskabsklasse C, mellemstor virksomhed",1300000.0,2017-04-03,2017-04-03,-72442000.0,-24138000.0,53804000.0,Statsaut. revisor,Aktiekapital A,-6400000.0,5728000.0,32895468.0,29197202.0,-548000.0,Ãrsrapport,-2910000.0,1794000.0,JÃ¸rgen Jakobsen,Ulrik Bjerre Rasmussen,Nicholai MÃ¸ller KarlshÃ¸j,Beierholm,Northcoast Seafoods DK A/S,Beierholm,-67984000.0,500.0,1.0,2.0,18989000.0,167000.0,2775000.0,2912000.0,1796000.0,2353000.0,2575000.0,4353000.0,5720000.0,328671000.0,BrÃ¸nderslev,-40000000.0,2016-12-31,2016-01-01,21.7,341435000.0,2017-04-03,Viborg,1367000.0,RevisionspÃ¥tegning,urn:ofk:oid:23817011,indberetninger-20180424,2.5097342,29197202.0,,2018-03-27T20:36:36.533Z,2017-05-05T11:19:58.242Z,regnskab,0.0,,2016-12-31,2016-01-01,X17-AH-59-JJ,2017-05-05T11:19:58.483Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29197202,2015-01-01,2015-12-31,c56,,http://regnskaber.virk.dk/20279192/ZG9rdW1lbnRsYWdlcjovLzAzLzI4L2Q0LzE4L2FhLzJiZGUtNGVlNC1hZWE2LTNiMjNiMmQwZDM1YQ.pdf,http://regnskaber.virk.dk/20279192/ZG9rdW1lbnRsYWdlcjovLzAzLzVlL2FiLzI4Lzk0LzRmYWMtNDNkYy1hMWM3LTVmNTkzMGQwMGQxMg.xml,Danmark,Viborg,8800.0,73B,Gl. Skivevej,Dronninglund,9330.0,5.0,Nordre Ringgade,9200 Aalborg SV,Voergaardvej 2,,,,,,,"Regnskabsklasse C, mellemstor virksomhed",,2017-04-03,2017-04-03,,,,Statsaut. revisor,Aktiekapital A,,,32895468.0,29197202.0,,Ãrsrapport,,,JÃ¸rgen Jakobsen,Ulrik Bjerre Rasmussen,Nicholai MÃ¸ller KarlshÃ¸j,Beierholm,Northcoast Seafoods DK A/S,Beierholm,,500.0,1.0,,,,,,,,,0.0,,,BrÃ¸nderslev,,2016-12-31,2016-01-01,,,2017-04-03,Viborg,,RevisionspÃ¥tegning,urn:ofk:oid:23817011,indberetninger-20180424,2.5097342,29197202.0,,2018-03-27T20:36:36.533Z,2017-05-05T11:19:58.242Z,regnskab,0.0,,2016-12-31,2016-01-01,X17-AH-59-JJ,2017-05-05T11:19:58.483Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29197202,2015-01-01,2015-12-31,c69,,http://regnskaber.virk.dk/20279192/ZG9rdW1lbnRsYWdlcjovLzAzLzI4L2Q0LzE4L2FhLzJiZGUtNGVlNC1hZWE2LTNiMjNiMmQwZDM1YQ.pdf,http://regnskaber.virk.dk/20279192/ZG9rdW1lbnRsYWdlcjovLzAzLzVlL2FiLzI4Lzk0LzRmYWMtNDNkYy1hMWM3LTVmNTkzMGQwMGQxMg.xml,Danmark,Viborg,8800.0,73B,Gl. Skivevej,Dronninglund,9330.0,5.0,Nordre Ringgade,9200 Aalborg SV,Voergaardvej 2,,,,,,,"Regnskabsklasse C, mellemstor virksomhed",,2017-04-03,2017-04-03,,,,Statsaut. revisor,Aktiekapital A,,,32895468.0,29197202.0,,Ãrsrapport,,,JÃ¸rgen Jakobsen,Ulrik Bjerre Rasmussen,Nicholai MÃ¸ller KarlshÃ¸j,Beierholm,Northcoast Seafoods DK A/S,Beierholm,,500.0,1.0,,,,,,,,,4353000.0,,,BrÃ¸nderslev,,2016-12-31,2016-01-01,,,2017-04-03,Viborg,,RevisionspÃ¥tegning,urn:ofk:oid:23817011,indberetninger-20180424,2.5097342,29197202.0,,2018-03-27T20:36:36.533Z,2017-05-05T11:19:58.242Z,regnskab,0.0,,2016-12-31,2016-01-01,X17-AH-59-JJ,2017-05-05T11:19:58.483Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29197202,2015-12-31,2015-12-31,c70,,http://regnskaber.virk.dk/20279192/ZG9rdW1lbnRsYWdlcjovLzAzLzI4L2Q0LzE4L2FhLzJiZGUtNGVlNC1hZWE2LTNiMjNiMmQwZDM1YQ.pdf,http://regnskaber.virk.dk/20279192/ZG9rdW1lbnRsYWdlcjovLzAzLzVlL2FiLzI4Lzk0LzRmYWMtNDNkYy1hMWM3LTVmNTkzMGQwMGQxMg.xml,Danmark,Viborg,8800.0,73B,Gl. Skivevej,Dronninglund,9330.0,5.0,Nordre Ringgade,9200 Aalborg SV,Voergaardvej 2,,,,,,,"Regnskabsklasse C, mellemstor virksomhed",,2017-04-03,2017-04-03,,,,Statsaut. revisor,Aktiekapital A,,,32895468.0,29197202.0,,Ãrsrapport,,,JÃ¸rgen Jakobsen,Ulrik Bjerre Rasmussen,Nicholai MÃ¸ller KarlshÃ¸j,Beierholm,Northcoast Seafoods DK A/S,Beierholm,,500.0,1.0,,,,,,,,,,,,BrÃ¸nderslev,,2016-12-31,2016-01-01,,,2017-04-03,Viborg,,RevisionspÃ¥tegning,urn:ofk:oid:23817011,indberetninger-20180424,2.5097342,29197202.0,,2018-03-27T20:36:36.533Z,2017-05-05T11:19:58.242Z,regnskab,0.0,,2016-12-31,2016-01-01,X17-AH-59-JJ,2017-05-05T11:19:58.483Z,180470000.0,1429000.0,-67984000.0,500000.0,180470000.0,0.0,19049000.0,138103000.0,180470000.0,161421000.0,136266000.0,15849000.0,5000.0,1837000.0,0.0,18549000.0,69413000.0,161421000.0,13371000.0,0.0,40938000.0,2203000.0,2150000.0,60638000.0,38730000.0,,,,,
29197202,2016-01-01,2016-12-31,c1,,http://regnskaber.virk.dk/20279192/ZG9rdW1lbnRsYWdlcjovLzAzLzI4L2Q0LzE4L2FhLzJiZGUtNGVlNC1hZWE2LTNiMjNiMmQwZDM1YQ.pdf,http://regnskaber.virk.dk/20279192/ZG9rdW1lbnRsYWdlcjovLzAzLzVlL2FiLzI4Lzk0LzRmYWMtNDNkYy1hMWM3LTVmNTkzMGQwMGQxMg.xml,Danmark,Viborg,8800.0,73B,Gl. Skivevej,Dronninglund,9330.0,5.0,Nordre Ringgade,9200 Aalborg SV,Voergaardvej 2,2006000.0,-75000.0,5.0,22324000.0,18725000.0,0.0,"Regnskabsklasse C, mellemstor virksomhed",1230000.0,2017-04-03,2017-04-03,28485000.0,-5035000.0,-6338000.0,Statsaut. revisor,Aktiekapital A,0.0,4504000.0,32895468.0,29197202.0,-2748000.0,Ãrsrapport,-2964000.0,2113000.0,JÃ¸rgen Jakobsen,Ulrik Bjerre Rasmussen,Nicholai MÃ¸ller KarlshÃ¸j,Beierholm,Northcoast Seafoods DK A/S,Beierholm,-49259000.0,500.0,1.0,1.7,-845000.0,345000.0,4329000.0,2964000.0,2113000.0,1431000.0,904000.0,4051000.0,5206000.0,348233000.0,BrÃ¸nderslev,0.0,2016-12-31,2016-01-01,19.2,362219000.0,2017-04-03,Viborg,1155000.0,RevisionspÃ¥tegning,urn:ofk:oid:23817011,indberetninger-20180424,2.5097342,29197202.0,,2018-03-27T20:36:36.533Z,2017-05-05T11:19:58.242Z,regnskab,0.0,,2016-12-31,2016-01-01,X17-AH-59-JJ,2017-05-05T11:19:58.483Z,,,,,,,,,,,,,,,,,,,,,,,,,,Dronninglund,,,,
29197202,2016-01-01,2016-12-31,c15,,http://regnskaber.virk.dk/20279192/ZG9rdW1lbnRsYWdlcjovLzAzLzI4L2Q0LzE4L2FhLzJiZGUtNGVlNC1hZWE2LTNiMjNiMmQwZDM1YQ.pdf,http://regnskaber.virk.dk/20279192/ZG9rdW1lbnRsYWdlcjovLzAzLzVlL2FiLzI4Lzk0LzRmYWMtNDNkYy1hMWM3LTVmNTkzMGQwMGQxMg.xml,Danmark,Viborg,8800.0,73B,Gl. Skivevej,Dronninglund,9330.0,5.0,Nordre Ringgade,9200 Aalborg SV,Voergaardvej 2,,,3.0,,,-2500000.0,"Regnskabsklasse C, mellemstor virksomhed",,2017-04-03,2017-04-03,,,,Statsaut. revisor,Aktiekapital A,,,32895468.0,29197202.0,,Ãrsrapport,,,JÃ¸rgen Jakobsen,Ulrik Bjerre Rasmussen,Nicholai MÃ¸ller KarlshÃ¸j,Beierholm,Northcoast Seafoods DK A/S,Beierholm,,500.0,1.0,4.8,,,,,,,,6425000.0,,,BrÃ¸nderslev,,2016-12-31,2016-01-01,33.6,229105000.0,2017-04-03,Viborg,,RevisionspÃ¥tegning,urn:ofk:oid:23817011,indberetninger-20180424,2.5097342,29197202.0,,2018-03-27T20:36:36.533Z,2017-05-05T11:19:58.242Z,regnskab,0.0,,2016-12-31,2016-01-01,X17-AH-59-JJ,2017-05-05T11:19:58.483Z,,,,,,,,,,,,,,,,,,,,,,,,,,,1968000.0,10970000.0,-2451000.0,
29197202,2016-01-01,2016-12-31,c18,,http://regnskaber.virk.dk/20279192/ZG9rdW1lbnRsYWdlcjovLzAzLzI4L2Q0LzE4L2FhLzJiZGUtNGVlNC1hZWE2LTNiMjNiMmQwZDM1YQ.pdf,http://regnskaber.virk.dk/20279192/ZG9rdW1lbnRsYWdlcjovLzAzLzVlL2FiLzI4Lzk0LzRmYWMtNDNkYy1hMWM3LTVmNTkzMGQwMGQxMg.xml,Danmark,Viborg,8800.0,73B,Gl. Skivevej,Dronninglund,9330.0,5.0,Nordre Ringgade,9200 Aalborg SV,Voergaardvej 2,,,3.0,,,-6500000.0,"Regnskabsklasse C, mellemstor virksomhed",,2017-04-03,2017-04-03,,,,Statsaut. revisor,Aktiekapital A,,,32895468.0,29197202.0,,Ãrsrapport,,,JÃ¸rgen Jakobsen,Ulrik Bjerre Rasmussen,Nicholai MÃ¸ller KarlshÃ¸j,Beierholm,Northcoast Seafoods DK A/S,Beierholm,,500.0,1.0,3.3,,,,,,,,2551000.0,,,BrÃ¸nderslev,,2016-12-31,2016-01-01,15.3,179454000.0,2017-04-03,Viborg,,RevisionspÃ¥tegning,urn:ofk:oid:23817011,indberetninger-20180424,2.5097342,29197202.0,,2018-03-27T20:36:36.533Z,2017-05-05T11:19:58.242Z,regnskab,0.0,,2016-12-31,2016-01-01,X17-AH-59-JJ,2017-05-05T11:19:58.483Z,,,,,,,,,,,,,,,,,,,,,,,,,,,10554000.0,5915000.0,-2498000.0,
29197202,2016-01-01,2016-12-31,c1967,,http://regnskaber.virk.dk/20279192/ZG9rdW1lbnRsYWdlcjovLzAzLzI4L2Q0LzE4L2FhLzJiZGUtNGVlNC1hZWE2LTNiMjNiMmQwZDM1YQ.pdf,http://regnskaber.virk.dk/20279192/ZG9rdW1lbnRsYWdlcjovLzAzLzVlL2FiLzI4Lzk0LzRmYWMtNDNkYy1hMWM3LTVmNTkzMGQwMGQxMg.xml,Danmark,Viborg,8800.0,73B,Gl. Skivevej,Dronninglund,9330.0,5.0,Nordre Ringgade,9200 Aalborg SV,Voergaardvej 2,,,,,,,"Regnskabsklasse C, mellemstor virksomhed",,2017-04-03,2017-04-03,,,,Statsaut. revisor,Aktiekapital A,,,32895468.0,29197202.0,,Ãrsrapport,,,JÃ¸rgen Jakobsen,Ulrik Bjerre Rasmussen,Nicholai MÃ¸ller KarlshÃ¸j,Beierholm,Northcoast Seafoods DK A/S,Beierholm,,500.0,1.0,,,,,,,,,,,,BrÃ¸nderslev,,2016-12-31,2016-01-01,,,2017-04-03,Viborg,,RevisionspÃ¥tegning,urn:ofk:oid:23817011,indberetninger-20180424,2.5097342,29197202.0,,2018-03-27T20:36:36.533Z,2017-05-05T11:19:58.242Z,regnskab,0.0,,2016-12-31,2016-01-01,X17-AH-59-JJ,2017-05-05T11:19:58.483Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29197202,2016-01-01,2016-12-31,c21,,http://regnskaber.virk.dk/20279192/ZG9rdW1lbnRsYWdlcjovLzAzLzI4L2Q0LzE4L2FhLzJiZGUtNGVlNC1hZWE2LTNiMjNiMmQwZDM1YQ.pdf,http://regnskaber.virk.dk/20279192/ZG9rdW1lbnRsYWdlcjovLzAzLzVlL2FiLzI4Lzk0LzRmYWMtNDNkYy1hMWM3LTVmNTkzMGQwMGQxMg.xml,Danmark,Viborg,8800.0,73B,Gl. Skivevej,Dronninglund,9330.0,5.0,Nordre Ringgade,9200 Aalborg SV,Voergaardvej 2,,,2.0,,,-14500000.0,"Regnskabsklasse C, mellemstor virksomhed",,2017-04-03,2017-04-03,,,,Statsaut. revisor,Aktiekapital A,,,32895468.0,29197202.0,,Ãrsrapport,,,JÃ¸rgen Jakobsen,Ulrik Bjerre Rasmussen,Nicholai MÃ¸ller KarlshÃ¸j,Beierholm,Northcoast Seafoods DK A/S,Beierholm,,500.0,1.0,2.8,,,,,,,,1668000.0,,,BrÃ¸nderslev,,2016-12-31,2016-01-01,9.5,165130000.0,2017-04-03,Viborg,,RevisionspÃ¥tegning,urn:ofk:oid:23817011,indberetninger-20180424,2.5097342,29197202.0,,2018-03-27T20:36:36.533Z,2017-05-05T11:19:58.242Z,regnskab,0.0,,2016-12-31,2016-01-01,X17-AH-59-JJ,2017-05-05T11:19:58.483Z,,,,,,,,,,,,,,,,,,,,,,,,,,,5312000.0,4688000.0,-2440000.0,
29197202,2016-01-01,2016-12-31,c55,,http://regnskaber.virk.dk/20279192/ZG9rdW1lbnRsYWdlcjovLzAzLzI4L2Q0LzE4L2FhLzJiZGUtNGVlNC1hZWE2LTNiMjNiMmQwZDM1YQ.pdf,http://regnskaber.virk.dk/20279192/ZG9rdW1lbnRsYWdlcjovLzAzLzVlL2FiLzI4Lzk0LzRmYWMtNDNkYy1hMWM3LTVmNTkzMGQwMGQxMg.xml,Danmark,Viborg,8800.0,73B,Gl. Skivevej,Dronninglund,9330.0,5.0,Nordre Ringgade,9200 Aalborg SV,Voergaardvej 2,,,,,,,"Regnskabsklasse C, mellemstor virksomhed",,2017-04-03,2017-04-03,,,,Statsaut. revisor,Aktiekapital A,,,32895468.0,29197202.0,,Ãrsrapport,,,JÃ¸rgen Jakobsen,Ulrik Bjerre Rasmussen,Nicholai MÃ¸ller KarlshÃ¸j,Beierholm,Northcoast Seafoods DK A/S,Beierholm,,500.0,1.0,,,,,,,,,4000000.0,,,BrÃ¸nderslev,,2016-12-31,2016-01-01,,,2017-04-03,Viborg,,RevisionspÃ¥tegning,urn:ofk:oid:23817011,indberetninger-20180424,2.5097342,29197202.0,,2018-03-27T20:36:36.533Z,2017-05-05T11:19:58.242Z,regnskab,0.0,,2016-12-31,2016-01-01,X17-AH-59-JJ,2017-05-05T11:19:58.483Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
