entity,start_date,end_date,context,AARSRAPPORT_html,AARSRAPPORT_pdf,AARSRAPPORT_xml,AccountingPoliciesAreUnchangedFromPreviousPeriod,AddressOfReportingEntityDistrictName,AddressOfReportingEntityPostCodeIdentifier,AddressOfReportingEntityStreetBuildingIdentifier,AddressOfReportingEntityStreetName,AddressOfSubmittingEnterprisePostcodeAndTown,AddressOfSubmittingEnterpriseStreetAndNumber,ClassOfReportingEntity,CurrentDeferredTaxAssets,DateOfApprovalOfAnnualReport,DateOfGeneralMeeting,DepreciationAmortisationExpenseAndImpairmentLossesOfPropertyPlantAndEquipmentAndIntangibleAssetsRecognisedInProfitOrLoss,DisclosureOfMainActivitiesAndAccountingAndFinancialMatters,EmailOfReportingEntity,EmployeeBenefitsExpense,GrossResult,IdentificationNumberCvrOfReportingEntity,InformationOnReportingClassOfEntity,InformationOnTypeOfSubmittedReport,NameAndSurnameOfChairmanOfGeneralMeeting,NameAndSurnameOfMemberOfExecutiveBoard,NameOfFinancialInstitution,NameOfReportingEntity,NameOfSubmittingEnterprise,OtherFinanceExpenses,OtherFinanceIncome,PlaceOfSignatureOfStatement,PrecedingReportingPeriodStartDate,PredingReportingPeriodEndDate,ProfitLoss,ProfitLossFromOrdinaryActivitiesBeforeTax,ProfitLossFromOrdinaryOperatingActivities,ReportingPeriodEndDate,ReportingPeriodStartDate,SelectedElementsFromReportingClassC,SelectedElementsFromReportingClassD,ShorttermPayablesToGroupEnterprises,ShorttermTaxReceivables,StatementOfChangesInEquity,StatementOnOptingOutOfAuditingFinancialStatementsInNextReportingPeriodDueToExemption,TaxExpense,TelephoneNumberOfReportingEntity,TheCompanyHasPresentedTheAnnualReportEtcWithReferenceToTheDanishFinancialStatementsAct78aConcerningTheExceptionForReportingClassCMediumsizeSubsidiariesWhichChoosesToPresentTheAnnualReportEtcAccordingToReportingClassB,TheReportingEntityAppliesTheExceptionConcerningOptingOutOfTheStatementByManagementEtc,TitleOfMemberOfExecutiveBoard,TypeOfAuditorAssistance,_id,_index,_score,cvrNummer,indlaesningsId,indlaesningsTidspunkt,offentliggoerelsesTidspunkt,offentliggoerelsestype,omgoerelse,regNummer,regnskabsperiode_slutDato,regnskabsperiode_startDato,sagsNummer,sidstOpdateret,Assets,ContributedCapital,CurrentAssets,Equity,LiabilitiesAndEquity,LiabilitiesOtherThanProvisions,LongtermDebtToBanks,LongtermLiabilitiesOtherThanProvisions,NoncurrentAssets,OtherShorttermPayables,OtherShorttermReceivables,PlantAndMachinery,PropertyPlantAndEquipment,RetainedEarnings,ShorttermDebtToBanks,ShorttermLiabilitiesOtherThanProvisions,ShorttermReceivables,ShorttermReceivablesFromGroupEnterprises,ShorttermTradePayables,ShorttermTradeReceivables
30577612,2014-10-01,2015-09-30,c2,http://regnskaber.virk.dk/21677503/ZG9rdW1lbnRsYWdlcjovLzAzLzEwL2RlL2VmLzZkL2JjMzktNDgyNy1hZjJiLTYzYWEzMWM1YzU2Zg.xhtml,http://regnskaber.virk.dk/21677503/ZG9rdW1lbnRsYWdlcjovLzAzLzUyL2U0L2FjLzI0LzZmYmUtNDU3NC1hYWJhLTFiYmU3MGNkNDY1ZQ.pdf,http://regnskaber.virk.dk/21677503/ZG9rdW1lbnRsYWdlcjovLzAzLzdhL2QzLzk4L2Q0LzNkYWMtNGRkNi05NzcwLWYzZTA0OGJiYWQxMw.xml,true,Vejle,7100.0,17.0,Hjulmagervej,6000 Kolding,Jernbanegade 27,Regnskabsklasse B,21000.0,2017-02-28,2017-02-28,38138.0,"<p xmlns=""http://www.w3.org/1999/xhtml"">Selskabets aktiviteter omfatter drift af hÃ¥ndvÃ¦rkervirksomhed herunder svejsecenter.</p>",jan@laser-tek.dk,199471.0,592421.0,30577612.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Jan EugÃ©n,Jan EugÃ©n,Nordea A/S,LASER-TEK ApS,Claus Sommer,40034.0,152.0,Egtved,2014-10-01,2015-09-30,268378.0,314930.0,354812.0,2016-09-30,2015-10-01,false,false,14073.0,67342.0,"<p xmlns=""http://www.w3.org/1999/xhtml"">Selskabets anpartskapital er uÃ¦ndret siden selskabets stiftelse.</p>",Ledelsen har besluttet at fravÃ¦lge revision for det kommende regnskabsÃ¥r,46552.0,60650965.0,false,false,DirektÃ¸r,Ingen bistand,urn:ofk:oid:23571028,indberetninger-20180424,2.5955422,30577612.0,,2018-03-27T22:09:41.117Z,2017-03-08T13:52:04.520Z,regnskab,0.0,,2016-09-30,2015-10-01,X17-AD-41-LX,2017-03-08T13:52:04.703Z,,,,,,,,,,,,,,,,,,,,
30577612,2014-10-01,2015-09-30,c4,http://regnskaber.virk.dk/21677503/ZG9rdW1lbnRsYWdlcjovLzAzLzEwL2RlL2VmLzZkL2JjMzktNDgyNy1hZjJiLTYzYWEzMWM1YzU2Zg.xhtml,http://regnskaber.virk.dk/21677503/ZG9rdW1lbnRsYWdlcjovLzAzLzUyL2U0L2FjLzI0LzZmYmUtNDU3NC1hYWJhLTFiYmU3MGNkNDY1ZQ.pdf,http://regnskaber.virk.dk/21677503/ZG9rdW1lbnRsYWdlcjovLzAzLzdhL2QzLzk4L2Q0LzNkYWMtNGRkNi05NzcwLWYzZTA0OGJiYWQxMw.xml,true,Vejle,7100.0,17.0,Hjulmagervej,6000 Kolding,Jernbanegade 27,Regnskabsklasse B,21000.0,2017-02-28,2017-02-28,,"<p xmlns=""http://www.w3.org/1999/xhtml"">Selskabets aktiviteter omfatter drift af hÃ¥ndvÃ¦rkervirksomhed herunder svejsecenter.</p>",jan@laser-tek.dk,,,30577612.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Jan EugÃ©n,Jan EugÃ©n,Nordea A/S,LASER-TEK ApS,Claus Sommer,,,Egtved,2014-10-01,2015-09-30,268378.0,,,2016-09-30,2015-10-01,false,false,14073.0,67342.0,"<p xmlns=""http://www.w3.org/1999/xhtml"">Selskabets anpartskapital er uÃ¦ndret siden selskabets stiftelse.</p>",Ledelsen har besluttet at fravÃ¦lge revision for det kommende regnskabsÃ¥r,,60650965.0,false,false,DirektÃ¸r,Ingen bistand,urn:ofk:oid:23571028,indberetninger-20180424,2.5955422,30577612.0,,2018-03-27T22:09:41.117Z,2017-03-08T13:52:04.520Z,regnskab,0.0,,2016-09-30,2015-10-01,X17-AD-41-LX,2017-03-08T13:52:04.703Z,,,,,,,,,,,,,,,,,,,,
30577612,2015-09-30,2015-09-30,c6,http://regnskaber.virk.dk/21677503/ZG9rdW1lbnRsYWdlcjovLzAzLzEwL2RlL2VmLzZkL2JjMzktNDgyNy1hZjJiLTYzYWEzMWM1YzU2Zg.xhtml,http://regnskaber.virk.dk/21677503/ZG9rdW1lbnRsYWdlcjovLzAzLzUyL2U0L2FjLzI0LzZmYmUtNDU3NC1hYWJhLTFiYmU3MGNkNDY1ZQ.pdf,http://regnskaber.virk.dk/21677503/ZG9rdW1lbnRsYWdlcjovLzAzLzdhL2QzLzk4L2Q0LzNkYWMtNGRkNi05NzcwLWYzZTA0OGJiYWQxMw.xml,true,Vejle,7100.0,17.0,Hjulmagervej,6000 Kolding,Jernbanegade 27,Regnskabsklasse B,21000.0,2017-02-28,2017-02-28,,"<p xmlns=""http://www.w3.org/1999/xhtml"">Selskabets aktiviteter omfatter drift af hÃ¥ndvÃ¦rkervirksomhed herunder svejsecenter.</p>",jan@laser-tek.dk,,,30577612.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Jan EugÃ©n,Jan EugÃ©n,Nordea A/S,LASER-TEK ApS,Claus Sommer,,,Egtved,2014-10-01,2015-09-30,,,,2016-09-30,2015-10-01,false,false,14073.0,67342.0,"<p xmlns=""http://www.w3.org/1999/xhtml"">Selskabets anpartskapital er uÃ¦ndret siden selskabets stiftelse.</p>",Ledelsen har besluttet at fravÃ¦lge revision for det kommende regnskabsÃ¥r,,60650965.0,false,false,DirektÃ¸r,Ingen bistand,urn:ofk:oid:23571028,indberetninger-20180424,2.5955422,30577612.0,,2018-03-27T22:09:41.117Z,2017-03-08T13:52:04.520Z,regnskab,0.0,,2016-09-30,2015-10-01,X17-AD-41-LX,2017-03-08T13:52:04.703Z,338051.0,125000.0,137751.0,-127893.0,338051.0,465944.0,15312.0,15312.0,200300.0,11105.0,16940.0,200300.0,200300.0,-252893.0,396016.0,450632.0,137751.0,18281.0,29438.0,35188.0
30577612,2015-10-01,2015-10-01,c10,http://regnskaber.virk.dk/21677503/ZG9rdW1lbnRsYWdlcjovLzAzLzEwL2RlL2VmLzZkL2JjMzktNDgyNy1hZjJiLTYzYWEzMWM1YzU2Zg.xhtml,http://regnskaber.virk.dk/21677503/ZG9rdW1lbnRsYWdlcjovLzAzLzUyL2U0L2FjLzI0LzZmYmUtNDU3NC1hYWJhLTFiYmU3MGNkNDY1ZQ.pdf,http://regnskaber.virk.dk/21677503/ZG9rdW1lbnRsYWdlcjovLzAzLzdhL2QzLzk4L2Q0LzNkYWMtNGRkNi05NzcwLWYzZTA0OGJiYWQxMw.xml,true,Vejle,7100.0,17.0,Hjulmagervej,6000 Kolding,Jernbanegade 27,Regnskabsklasse B,21000.0,2017-02-28,2017-02-28,,"<p xmlns=""http://www.w3.org/1999/xhtml"">Selskabets aktiviteter omfatter drift af hÃ¥ndvÃ¦rkervirksomhed herunder svejsecenter.</p>",jan@laser-tek.dk,,,30577612.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Jan EugÃ©n,Jan EugÃ©n,Nordea A/S,LASER-TEK ApS,Claus Sommer,,,Egtved,2014-10-01,2015-09-30,,,,2016-09-30,2015-10-01,false,false,14073.0,67342.0,"<p xmlns=""http://www.w3.org/1999/xhtml"">Selskabets anpartskapital er uÃ¦ndret siden selskabets stiftelse.</p>",Ledelsen har besluttet at fravÃ¦lge revision for det kommende regnskabsÃ¥r,,60650965.0,false,false,DirektÃ¸r,Ingen bistand,urn:ofk:oid:23571028,indberetninger-20180424,2.5955422,30577612.0,,2018-03-27T22:09:41.117Z,2017-03-08T13:52:04.520Z,regnskab,0.0,,2016-09-30,2015-10-01,X17-AD-41-LX,2017-03-08T13:52:04.703Z,,,,60142.0,,,,,,,,,,,,,,,,
30577612,2015-10-01,2015-10-01,c7,http://regnskaber.virk.dk/21677503/ZG9rdW1lbnRsYWdlcjovLzAzLzEwL2RlL2VmLzZkL2JjMzktNDgyNy1hZjJiLTYzYWEzMWM1YzU2Zg.xhtml,http://regnskaber.virk.dk/21677503/ZG9rdW1lbnRsYWdlcjovLzAzLzUyL2U0L2FjLzI0LzZmYmUtNDU3NC1hYWJhLTFiYmU3MGNkNDY1ZQ.pdf,http://regnskaber.virk.dk/21677503/ZG9rdW1lbnRsYWdlcjovLzAzLzdhL2QzLzk4L2Q0LzNkYWMtNGRkNi05NzcwLWYzZTA0OGJiYWQxMw.xml,true,Vejle,7100.0,17.0,Hjulmagervej,6000 Kolding,Jernbanegade 27,Regnskabsklasse B,21000.0,2017-02-28,2017-02-28,,"<p xmlns=""http://www.w3.org/1999/xhtml"">Selskabets aktiviteter omfatter drift af hÃ¥ndvÃ¦rkervirksomhed herunder svejsecenter.</p>",jan@laser-tek.dk,,,30577612.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Jan EugÃ©n,Jan EugÃ©n,Nordea A/S,LASER-TEK ApS,Claus Sommer,,,Egtved,2014-10-01,2015-09-30,,,,2016-09-30,2015-10-01,false,false,14073.0,67342.0,"<p xmlns=""http://www.w3.org/1999/xhtml"">Selskabets anpartskapital er uÃ¦ndret siden selskabets stiftelse.</p>",Ledelsen har besluttet at fravÃ¦lge revision for det kommende regnskabsÃ¥r,,60650965.0,false,false,DirektÃ¸r,Ingen bistand,urn:ofk:oid:23571028,indberetninger-20180424,2.5955422,30577612.0,,2018-03-27T22:09:41.117Z,2017-03-08T13:52:04.520Z,regnskab,0.0,,2016-09-30,2015-10-01,X17-AD-41-LX,2017-03-08T13:52:04.703Z,,,,125000.0,,,,,,,,,,,,,,,,
30577612,2015-10-01,2015-10-01,c8,http://regnskaber.virk.dk/21677503/ZG9rdW1lbnRsYWdlcjovLzAzLzEwL2RlL2VmLzZkL2JjMzktNDgyNy1hZjJiLTYzYWEzMWM1YzU2Zg.xhtml,http://regnskaber.virk.dk/21677503/ZG9rdW1lbnRsYWdlcjovLzAzLzUyL2U0L2FjLzI0LzZmYmUtNDU3NC1hYWJhLTFiYmU3MGNkNDY1ZQ.pdf,http://regnskaber.virk.dk/21677503/ZG9rdW1lbnRsYWdlcjovLzAzLzdhL2QzLzk4L2Q0LzNkYWMtNGRkNi05NzcwLWYzZTA0OGJiYWQxMw.xml,true,Vejle,7100.0,17.0,Hjulmagervej,6000 Kolding,Jernbanegade 27,Regnskabsklasse B,21000.0,2017-02-28,2017-02-28,,"<p xmlns=""http://www.w3.org/1999/xhtml"">Selskabets aktiviteter omfatter drift af hÃ¥ndvÃ¦rkervirksomhed herunder svejsecenter.</p>",jan@laser-tek.dk,,,30577612.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Jan EugÃ©n,Jan EugÃ©n,Nordea A/S,LASER-TEK ApS,Claus Sommer,,,Egtved,2014-10-01,2015-09-30,,,,2016-09-30,2015-10-01,false,false,14073.0,67342.0,"<p xmlns=""http://www.w3.org/1999/xhtml"">Selskabets anpartskapital er uÃ¦ndret siden selskabets stiftelse.</p>",Ledelsen har besluttet at fravÃ¦lge revision for det kommende regnskabsÃ¥r,,60650965.0,false,false,DirektÃ¸r,Ingen bistand,urn:ofk:oid:23571028,indberetninger-20180424,2.5955422,30577612.0,,2018-03-27T22:09:41.117Z,2017-03-08T13:52:04.520Z,regnskab,0.0,,2016-09-30,2015-10-01,X17-AD-41-LX,2017-03-08T13:52:04.703Z,,,,0.0,,,,,,,,,,,,,,,,
30577612,2015-10-01,2015-10-01,c9,http://regnskaber.virk.dk/21677503/ZG9rdW1lbnRsYWdlcjovLzAzLzEwL2RlL2VmLzZkL2JjMzktNDgyNy1hZjJiLTYzYWEzMWM1YzU2Zg.xhtml,http://regnskaber.virk.dk/21677503/ZG9rdW1lbnRsYWdlcjovLzAzLzUyL2U0L2FjLzI0LzZmYmUtNDU3NC1hYWJhLTFiYmU3MGNkNDY1ZQ.pdf,http://regnskaber.virk.dk/21677503/ZG9rdW1lbnRsYWdlcjovLzAzLzdhL2QzLzk4L2Q0LzNkYWMtNGRkNi05NzcwLWYzZTA0OGJiYWQxMw.xml,true,Vejle,7100.0,17.0,Hjulmagervej,6000 Kolding,Jernbanegade 27,Regnskabsklasse B,21000.0,2017-02-28,2017-02-28,,"<p xmlns=""http://www.w3.org/1999/xhtml"">Selskabets aktiviteter omfatter drift af hÃ¥ndvÃ¦rkervirksomhed herunder svejsecenter.</p>",jan@laser-tek.dk,,,30577612.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Jan EugÃ©n,Jan EugÃ©n,Nordea A/S,LASER-TEK ApS,Claus Sommer,,,Egtved,2014-10-01,2015-09-30,,,,2016-09-30,2015-10-01,false,false,14073.0,67342.0,"<p xmlns=""http://www.w3.org/1999/xhtml"">Selskabets anpartskapital er uÃ¦ndret siden selskabets stiftelse.</p>",Ledelsen har besluttet at fravÃ¦lge revision for det kommende regnskabsÃ¥r,,60650965.0,false,false,DirektÃ¸r,Ingen bistand,urn:ofk:oid:23571028,indberetninger-20180424,2.5955422,30577612.0,,2018-03-27T22:09:41.117Z,2017-03-08T13:52:04.520Z,regnskab,0.0,,2016-09-30,2015-10-01,X17-AD-41-LX,2017-03-08T13:52:04.703Z,,,,-64858.0,,,,,,,,,,,,,,,,
30577612,2015-10-01,2016-09-30,c0,http://regnskaber.virk.dk/21677503/ZG9rdW1lbnRsYWdlcjovLzAzLzEwL2RlL2VmLzZkL2JjMzktNDgyNy1hZjJiLTYzYWEzMWM1YzU2Zg.xhtml,http://regnskaber.virk.dk/21677503/ZG9rdW1lbnRsYWdlcjovLzAzLzUyL2U0L2FjLzI0LzZmYmUtNDU3NC1hYWJhLTFiYmU3MGNkNDY1ZQ.pdf,http://regnskaber.virk.dk/21677503/ZG9rdW1lbnRsYWdlcjovLzAzLzdhL2QzLzk4L2Q0LzNkYWMtNGRkNi05NzcwLWYzZTA0OGJiYWQxMw.xml,true,Vejle,7100.0,17.0,Hjulmagervej,6000 Kolding,Jernbanegade 27,Regnskabsklasse B,21000.0,2017-02-28,2017-02-28,21547.0,"<p xmlns=""http://www.w3.org/1999/xhtml"">Selskabets aktiviteter omfatter drift af hÃ¥ndvÃ¦rkervirksomhed herunder svejsecenter.</p>",jan@laser-tek.dk,290829.0,369105.0,30577612.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Jan EugÃ©n,Jan EugÃ©n,Nordea A/S,LASER-TEK ApS,Claus Sommer,5830.0,5165.0,Egtved,2014-10-01,2015-09-30,136617.0,56064.0,56729.0,2016-09-30,2015-10-01,false,false,14073.0,67342.0,"<p xmlns=""http://www.w3.org/1999/xhtml"">Selskabets anpartskapital er uÃ¦ndret siden selskabets stiftelse.</p>",Ledelsen har besluttet at fravÃ¦lge revision for det kommende regnskabsÃ¥r,-80553.0,60650965.0,false,false,DirektÃ¸r,Ingen bistand,urn:ofk:oid:23571028,indberetninger-20180424,2.5955422,30577612.0,,2018-03-27T22:09:41.117Z,2017-03-08T13:52:04.520Z,regnskab,0.0,,2016-09-30,2015-10-01,X17-AD-41-LX,2017-03-08T13:52:04.703Z,,,,,,,,,,,,,,,,,,,,
30577612,2015-10-01,2016-09-30,c1,http://regnskaber.virk.dk/21677503/ZG9rdW1lbnRsYWdlcjovLzAzLzEwL2RlL2VmLzZkL2JjMzktNDgyNy1hZjJiLTYzYWEzMWM1YzU2Zg.xhtml,http://regnskaber.virk.dk/21677503/ZG9rdW1lbnRsYWdlcjovLzAzLzUyL2U0L2FjLzI0LzZmYmUtNDU3NC1hYWJhLTFiYmU3MGNkNDY1ZQ.pdf,http://regnskaber.virk.dk/21677503/ZG9rdW1lbnRsYWdlcjovLzAzLzdhL2QzLzk4L2Q0LzNkYWMtNGRkNi05NzcwLWYzZTA0OGJiYWQxMw.xml,true,Vejle,7100.0,17.0,Hjulmagervej,6000 Kolding,Jernbanegade 27,Regnskabsklasse B,21000.0,2017-02-28,2017-02-28,,"<p xmlns=""http://www.w3.org/1999/xhtml"">Selskabets aktiviteter omfatter drift af hÃ¥ndvÃ¦rkervirksomhed herunder svejsecenter.</p>",jan@laser-tek.dk,,,30577612.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Jan EugÃ©n,Jan EugÃ©n,Nordea A/S,LASER-TEK ApS,Claus Sommer,,,Egtved,2014-10-01,2015-09-30,,,,2016-09-30,2015-10-01,false,false,14073.0,67342.0,"<p xmlns=""http://www.w3.org/1999/xhtml"">Selskabets anpartskapital er uÃ¦ndret siden selskabets stiftelse.</p>",Ledelsen har besluttet at fravÃ¦lge revision for det kommende regnskabsÃ¥r,,60650965.0,false,false,DirektÃ¸r,Ingen bistand,urn:ofk:oid:23571028,indberetninger-20180424,2.5955422,30577612.0,,2018-03-27T22:09:41.117Z,2017-03-08T13:52:04.520Z,regnskab,0.0,,2016-09-30,2015-10-01,X17-AD-41-LX,2017-03-08T13:52:04.703Z,,,,,,,,,,,,,,,,,,,,
30577612,2015-10-01,2016-09-30,c11,http://regnskaber.virk.dk/21677503/ZG9rdW1lbnRsYWdlcjovLzAzLzEwL2RlL2VmLzZkL2JjMzktNDgyNy1hZjJiLTYzYWEzMWM1YzU2Zg.xhtml,http://regnskaber.virk.dk/21677503/ZG9rdW1lbnRsYWdlcjovLzAzLzUyL2U0L2FjLzI0LzZmYmUtNDU3NC1hYWJhLTFiYmU3MGNkNDY1ZQ.pdf,http://regnskaber.virk.dk/21677503/ZG9rdW1lbnRsYWdlcjovLzAzLzdhL2QzLzk4L2Q0LzNkYWMtNGRkNi05NzcwLWYzZTA0OGJiYWQxMw.xml,true,Vejle,7100.0,17.0,Hjulmagervej,6000 Kolding,Jernbanegade 27,Regnskabsklasse B,21000.0,2017-02-28,2017-02-28,,"<p xmlns=""http://www.w3.org/1999/xhtml"">Selskabets aktiviteter omfatter drift af hÃ¥ndvÃ¦rkervirksomhed herunder svejsecenter.</p>",jan@laser-tek.dk,,,30577612.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Jan EugÃ©n,Jan EugÃ©n,Nordea A/S,LASER-TEK ApS,Claus Sommer,,,Egtved,2014-10-01,2015-09-30,136617.0,,,2016-09-30,2015-10-01,false,false,14073.0,67342.0,"<p xmlns=""http://www.w3.org/1999/xhtml"">Selskabets anpartskapital er uÃ¦ndret siden selskabets stiftelse.</p>",Ledelsen har besluttet at fravÃ¦lge revision for det kommende regnskabsÃ¥r,,60650965.0,false,false,DirektÃ¸r,Ingen bistand,urn:ofk:oid:23571028,indberetninger-20180424,2.5955422,30577612.0,,2018-03-27T22:09:41.117Z,2017-03-08T13:52:04.520Z,regnskab,0.0,,2016-09-30,2015-10-01,X17-AD-41-LX,2017-03-08T13:52:04.703Z,,,,,,,,,,,,,,,,,,,,
