entity,start_date,end_date,context,AARSRAPPORT_html,AARSRAPPORT_pdf,AARSRAPPORT_xml,AddressOfReportingEntityDistrictName,AddressOfReportingEntityPostCodeIdentifier,AddressOfReportingEntityStreetBuildingIdentifier,AddressOfReportingEntityStreetName,AddressOfSubmittingEnterprisePostcodeAndTown,AddressOfSubmittingEnterpriseStreetAndNumber,AddresseeOfAuditorsReportOnOtherReport,ClassOfReportingEntity,ConfirmationThatAnnualReportIsPresentedInAccordanceWithRequirementsProvidedForByLegislationAnyStandardsAndRequirementsProvidedByArticlesOfAssociationOrByAgreement,ConfirmationThatFinancialStatementGivesTrueAndFairViewOfAssetsLiabilitiesEquityFinancialPositionAndResults,ConfirmationThatFinancialStatementsAreExemptedFromAuditing,DateOfApprovalOfAnnualReport,DateOfApprovalOfReport,DateOfFoundationOfReportingEntity,DateOfGeneralMeeting,DepreciationOfPropertyPlantAndEquipment,IdentificationNumberCvrOfReportingEntity,IdentificationNumberCvrOfSubmittingEnterprise,IdentificationOfApprovedAnnualReport,InformationOnTypeOfSubmittedReport,ManagementsStatementAboutManagementsReview,NameAndSurnameOfChairmanOfGeneralMeeting,NameAndSurnameOfMemberOfExecutiveBoard,NameOfReportingEntity,NameOfSubmittingEnterprise,PlaceOfSignatureOfStatement,PrecedingReportingPeriodStartDate,PredingReportingPeriodEndDate,RecognisedButNotOwnedAssets,RecommendationForApprovalOfAnnualReportByGeneralMeeting,ReportingPeriodEndDate,ReportingPeriodStartDate,RevaluationReserve,SignatureOfAuditorsDate,SignatureOfAuditorsPlace,TypeOfAuditorAssistance,_id,_index,_score,cvrNummer,indlaesningsId,indlaesningsTidspunkt,offentliggoerelsesTidspunkt,offentliggoerelsestype,omgoerelse,regNummer,regnskabsperiode_slutDato,regnskabsperiode_startDato,sagsNummer,sidstOpdateret,Equity,ProfitLoss,DepreciationAmortisationExpenseAndImpairmentLossesOfPropertyPlantAndEquipmentAndIntangibleAssetsRecognisedInProfitOrLoss,GrossProfitLoss,OtherFinanceExpenses,OtherInterestExpenses,ProfitLossFromOrdinaryActivitiesBeforeTax,ProfitLossFromOrdinaryOperatingActivities,Assets,CashAndCashEquivalents,ContributedCapital,CurrentAssets,LandAndBuildings,LiabilitiesAndEquity,LiabilitiesOtherThanProvisions,NoncurrentAssets,OtherShorttermPayables,OtherShorttermReceivables,PropertyPlantAndEquipment,RetainedEarnings,ShorttermLiabilitiesOtherThanProvisions,ShorttermReceivables,ShorttermTradePayables,AccumulatedImpairmentLossesAndDepreciationOfPropertyPlantAndEquipment,AccumulatedRevaluationOfPropertyPlantAndEquipment,PropertyPlantAndEquipmentGross,AddressOfAuditorCountry,EmailOfAuditor,AddressOfAuditorDistrictName,AddressOfAuditorPostCodeIdentifier,AddressOfAuditorStreetBuildingIdentifier,AddressOfAuditorStreetName,DescriptionOfAuditor,IdentificationNumberCvrOfAuditFirm,IdentificationNumberOfAuditor,NameAndSurnameOfAuditor,NameOfAuditFirm,TelephoneNumberOfAuditor
51489713,2017-05-01,2017-05-01,c405,,http://regnskaber.virk.dk/31798415/ZG9rdW1lbnRsYWdlcjovLzAzLzFjLzBlLzE2L2RkLzg2MmItNDljNS1iNWQwLTc2Y2EzNjExYTk2ZA.pdf,http://regnskaber.virk.dk/31798415/ZG9rdW1lbnRsYWdlcjovLzAzL2Q0L2U4LzJiL2IwLzhiOGQtNDQ1OC05YmU3LTkwYjc2ZTZhNDAyNg.xml,NÃ¸rresundby,9400.0,37.0,Solsiden,"9000, Aalborg","Danalien, 1",kapitalejeren,Regnskabsklasse B,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabsloven.,"Jeg anser den valgte regnskabspraksis for hensigtsmÃ¦ssig, og efter min opfattelse giver Ã¥rsregnskabet et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 30. april 2019 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. maj 2018 - 30. april 2019.",Direktionen anser betingelserne for at undlade revision af Ã¥rsregnskabet for 2018/19 for opfyldt.,2019-08-20,2019-08-20,1974-09-27,2019-10-01,42792.0,51489713.0,36717785.0,Direktionen har dags dato aflagt Ã¥rsrapporten for regnskabsÃ¥ret 1. maj 2018 - 30. april 2019 for LJ Erhverv ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, som beretningen omhandler.",Leif Jensen,Leif Jensen,LJ Erhverv ApS,"Kvist & Jensen, Statsautoriseret Revisionspartnerselskab",NÃ¸rresundby,2017-05-01,2018-04-30,0.0,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,2019-04-30,2018-05-01,889871.0,2019-08-20,Aalborg,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:27878400,indberetninger-20180424,2.5124211,51489713.0,AW2LGIg-IXJRhhXBOKvu,2019-10-02T06:12:09.576Z,2019-10-02T06:11:43.126Z,regnskab,0.0,,2019-04-30,2018-05-01,X19-CY-28-TV,2019-10-02T06:11:43.294Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51489713,2017-05-01,2017-05-01,c704,,http://regnskaber.virk.dk/31798415/ZG9rdW1lbnRsYWdlcjovLzAzLzFjLzBlLzE2L2RkLzg2MmItNDljNS1iNWQwLTc2Y2EzNjExYTk2ZA.pdf,http://regnskaber.virk.dk/31798415/ZG9rdW1lbnRsYWdlcjovLzAzL2Q0L2U4LzJiL2IwLzhiOGQtNDQ1OC05YmU3LTkwYjc2ZTZhNDAyNg.xml,NÃ¸rresundby,9400.0,37.0,Solsiden,"9000, Aalborg","Danalien, 1",kapitalejeren,Regnskabsklasse B,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabsloven.,"Jeg anser den valgte regnskabspraksis for hensigtsmÃ¦ssig, og efter min opfattelse giver Ã¥rsregnskabet et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 30. april 2019 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. maj 2018 - 30. april 2019.",Direktionen anser betingelserne for at undlade revision af Ã¥rsregnskabet for 2018/19 for opfyldt.,2019-08-20,2019-08-20,1974-09-27,2019-10-01,42792.0,51489713.0,36717785.0,Direktionen har dags dato aflagt Ã¥rsrapporten for regnskabsÃ¥ret 1. maj 2018 - 30. april 2019 for LJ Erhverv ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, som beretningen omhandler.",Leif Jensen,Leif Jensen,LJ Erhverv ApS,"Kvist & Jensen, Statsautoriseret Revisionspartnerselskab",NÃ¸rresundby,2017-05-01,2018-04-30,0.0,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,2019-04-30,2018-05-01,,2019-08-20,Aalborg,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:27878400,indberetninger-20180424,2.5124211,51489713.0,AW2LGIg-IXJRhhXBOKvu,2019-10-02T06:12:09.576Z,2019-10-02T06:11:43.126Z,regnskab,0.0,,2019-04-30,2018-05-01,X19-CY-28-TV,2019-10-02T06:11:43.294Z,675000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51489713,2017-05-01,2017-05-01,c725,,http://regnskaber.virk.dk/31798415/ZG9rdW1lbnRsYWdlcjovLzAzLzFjLzBlLzE2L2RkLzg2MmItNDljNS1iNWQwLTc2Y2EzNjExYTk2ZA.pdf,http://regnskaber.virk.dk/31798415/ZG9rdW1lbnRsYWdlcjovLzAzL2Q0L2U4LzJiL2IwLzhiOGQtNDQ1OC05YmU3LTkwYjc2ZTZhNDAyNg.xml,NÃ¸rresundby,9400.0,37.0,Solsiden,"9000, Aalborg","Danalien, 1",kapitalejeren,Regnskabsklasse B,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabsloven.,"Jeg anser den valgte regnskabspraksis for hensigtsmÃ¦ssig, og efter min opfattelse giver Ã¥rsregnskabet et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 30. april 2019 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. maj 2018 - 30. april 2019.",Direktionen anser betingelserne for at undlade revision af Ã¥rsregnskabet for 2018/19 for opfyldt.,2019-08-20,2019-08-20,1974-09-27,2019-10-01,42792.0,51489713.0,36717785.0,Direktionen har dags dato aflagt Ã¥rsrapporten for regnskabsÃ¥ret 1. maj 2018 - 30. april 2019 for LJ Erhverv ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, som beretningen omhandler.",Leif Jensen,Leif Jensen,LJ Erhverv ApS,"Kvist & Jensen, Statsautoriseret Revisionspartnerselskab",NÃ¸rresundby,2017-05-01,2018-04-30,0.0,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,2019-04-30,2018-05-01,,2019-08-20,Aalborg,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:27878400,indberetninger-20180424,2.5124211,51489713.0,AW2LGIg-IXJRhhXBOKvu,2019-10-02T06:12:09.576Z,2019-10-02T06:11:43.126Z,regnskab,0.0,,2019-04-30,2018-05-01,X19-CY-28-TV,2019-10-02T06:11:43.294Z,2045958.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51489713,2017-05-01,2018-04-30,c120,,http://regnskaber.virk.dk/31798415/ZG9rdW1lbnRsYWdlcjovLzAzLzFjLzBlLzE2L2RkLzg2MmItNDljNS1iNWQwLTc2Y2EzNjExYTk2ZA.pdf,http://regnskaber.virk.dk/31798415/ZG9rdW1lbnRsYWdlcjovLzAzL2Q0L2U4LzJiL2IwLzhiOGQtNDQ1OC05YmU3LTkwYjc2ZTZhNDAyNg.xml,NÃ¸rresundby,9400.0,37.0,Solsiden,"9000, Aalborg","Danalien, 1",kapitalejeren,Regnskabsklasse B,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabsloven.,"Jeg anser den valgte regnskabspraksis for hensigtsmÃ¦ssig, og efter min opfattelse giver Ã¥rsregnskabet et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 30. april 2019 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. maj 2018 - 30. april 2019.",Direktionen anser betingelserne for at undlade revision af Ã¥rsregnskabet for 2018/19 for opfyldt.,2019-08-20,2019-08-20,1974-09-27,2019-10-01,42792.0,51489713.0,36717785.0,Direktionen har dags dato aflagt Ã¥rsrapporten for regnskabsÃ¥ret 1. maj 2018 - 30. april 2019 for LJ Erhverv ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, som beretningen omhandler.",Leif Jensen,Leif Jensen,LJ Erhverv ApS,"Kvist & Jensen, Statsautoriseret Revisionspartnerselskab",NÃ¸rresundby,2017-05-01,2018-04-30,0.0,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,2019-04-30,2018-05-01,,2019-08-20,Aalborg,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:27878400,indberetninger-20180424,2.5124211,51489713.0,AW2LGIg-IXJRhhXBOKvu,2019-10-02T06:12:09.576Z,2019-10-02T06:11:43.126Z,regnskab,0.0,,2019-04-30,2018-05-01,X19-CY-28-TV,2019-10-02T06:11:43.294Z,,-106499.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51489713,2017-05-01,2018-04-30,c3,,http://regnskaber.virk.dk/31798415/ZG9rdW1lbnRsYWdlcjovLzAzLzFjLzBlLzE2L2RkLzg2MmItNDljNS1iNWQwLTc2Y2EzNjExYTk2ZA.pdf,http://regnskaber.virk.dk/31798415/ZG9rdW1lbnRsYWdlcjovLzAzL2Q0L2U4LzJiL2IwLzhiOGQtNDQ1OC05YmU3LTkwYjc2ZTZhNDAyNg.xml,NÃ¸rresundby,9400.0,37.0,Solsiden,"9000, Aalborg","Danalien, 1",kapitalejeren,Regnskabsklasse B,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabsloven.,"Jeg anser den valgte regnskabspraksis for hensigtsmÃ¦ssig, og efter min opfattelse giver Ã¥rsregnskabet et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 30. april 2019 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. maj 2018 - 30. april 2019.",Direktionen anser betingelserne for at undlade revision af Ã¥rsregnskabet for 2018/19 for opfyldt.,2019-08-20,2019-08-20,1974-09-27,2019-10-01,42792.0,51489713.0,36717785.0,Direktionen har dags dato aflagt Ã¥rsrapporten for regnskabsÃ¥ret 1. maj 2018 - 30. april 2019 for LJ Erhverv ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, som beretningen omhandler.",Leif Jensen,Leif Jensen,LJ Erhverv ApS,"Kvist & Jensen, Statsautoriseret Revisionspartnerselskab",NÃ¸rresundby,2017-05-01,2018-04-30,0.0,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,2019-04-30,2018-05-01,,2019-08-20,Aalborg,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:27878400,indberetninger-20180424,2.5124211,51489713.0,AW2LGIg-IXJRhhXBOKvu,2019-10-02T06:12:09.576Z,2019-10-02T06:11:43.126Z,regnskab,0.0,,2019-04-30,2018-05-01,X19-CY-28-TV,2019-10-02T06:11:43.294Z,,-106499.0,42792.0,-45660.0,18047.0,18047.0,-106499.0,-88452.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51489713,2017-05-01,2018-04-30,c726,,http://regnskaber.virk.dk/31798415/ZG9rdW1lbnRsYWdlcjovLzAzLzFjLzBlLzE2L2RkLzg2MmItNDljNS1iNWQwLTc2Y2EzNjExYTk2ZA.pdf,http://regnskaber.virk.dk/31798415/ZG9rdW1lbnRsYWdlcjovLzAzL2Q0L2U4LzJiL2IwLzhiOGQtNDQ1OC05YmU3LTkwYjc2ZTZhNDAyNg.xml,NÃ¸rresundby,9400.0,37.0,Solsiden,"9000, Aalborg","Danalien, 1",kapitalejeren,Regnskabsklasse B,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabsloven.,"Jeg anser den valgte regnskabspraksis for hensigtsmÃ¦ssig, og efter min opfattelse giver Ã¥rsregnskabet et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 30. april 2019 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. maj 2018 - 30. april 2019.",Direktionen anser betingelserne for at undlade revision af Ã¥rsregnskabet for 2018/19 for opfyldt.,2019-08-20,2019-08-20,1974-09-27,2019-10-01,42792.0,51489713.0,36717785.0,Direktionen har dags dato aflagt Ã¥rsrapporten for regnskabsÃ¥ret 1. maj 2018 - 30. april 2019 for LJ Erhverv ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, som beretningen omhandler.",Leif Jensen,Leif Jensen,LJ Erhverv ApS,"Kvist & Jensen, Statsautoriseret Revisionspartnerselskab",NÃ¸rresundby,2017-05-01,2018-04-30,0.0,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,2019-04-30,2018-05-01,,2019-08-20,Aalborg,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:27878400,indberetninger-20180424,2.5124211,51489713.0,AW2LGIg-IXJRhhXBOKvu,2019-10-02T06:12:09.576Z,2019-10-02T06:11:43.126Z,regnskab,0.0,,2019-04-30,2018-05-01,X19-CY-28-TV,2019-10-02T06:11:43.294Z,,-106499.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51489713,2018-04-30,2018-04-30,c4,,http://regnskaber.virk.dk/31798415/ZG9rdW1lbnRsYWdlcjovLzAzLzFjLzBlLzE2L2RkLzg2MmItNDljNS1iNWQwLTc2Y2EzNjExYTk2ZA.pdf,http://regnskaber.virk.dk/31798415/ZG9rdW1lbnRsYWdlcjovLzAzL2Q0L2U4LzJiL2IwLzhiOGQtNDQ1OC05YmU3LTkwYjc2ZTZhNDAyNg.xml,NÃ¸rresundby,9400.0,37.0,Solsiden,"9000, Aalborg","Danalien, 1",kapitalejeren,Regnskabsklasse B,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabsloven.,"Jeg anser den valgte regnskabspraksis for hensigtsmÃ¦ssig, og efter min opfattelse giver Ã¥rsregnskabet et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 30. april 2019 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. maj 2018 - 30. april 2019.",Direktionen anser betingelserne for at undlade revision af Ã¥rsregnskabet for 2018/19 for opfyldt.,2019-08-20,2019-08-20,1974-09-27,2019-10-01,42792.0,51489713.0,36717785.0,Direktionen har dags dato aflagt Ã¥rsrapporten for regnskabsÃ¥ret 1. maj 2018 - 30. april 2019 for LJ Erhverv ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, som beretningen omhandler.",Leif Jensen,Leif Jensen,LJ Erhverv ApS,"Kvist & Jensen, Statsautoriseret Revisionspartnerselskab",NÃ¸rresundby,2017-05-01,2018-04-30,0.0,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,2019-04-30,2018-05-01,889871.0,2019-08-20,Aalborg,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:27878400,indberetninger-20180424,2.5124211,51489713.0,AW2LGIg-IXJRhhXBOKvu,2019-10-02T06:12:09.576Z,2019-10-02T06:11:43.126Z,regnskab,0.0,,2019-04-30,2018-05-01,X19-CY-28-TV,2019-10-02T06:11:43.294Z,3504330.0,,,,,,,,4035984.0,186574.0,675000.0,186992.0,3848992.0,4035984.0,531654.0,3848992.0,514486.0,418.0,3848992.0,1939459.0,531654.0,418.0,17168.0,,,,,,,,,,,,,,,
51489713,2018-04-30,2018-04-30,c706,,http://regnskaber.virk.dk/31798415/ZG9rdW1lbnRsYWdlcjovLzAzLzFjLzBlLzE2L2RkLzg2MmItNDljNS1iNWQwLTc2Y2EzNjExYTk2ZA.pdf,http://regnskaber.virk.dk/31798415/ZG9rdW1lbnRsYWdlcjovLzAzL2Q0L2U4LzJiL2IwLzhiOGQtNDQ1OC05YmU3LTkwYjc2ZTZhNDAyNg.xml,NÃ¸rresundby,9400.0,37.0,Solsiden,"9000, Aalborg","Danalien, 1",kapitalejeren,Regnskabsklasse B,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabsloven.,"Jeg anser den valgte regnskabspraksis for hensigtsmÃ¦ssig, og efter min opfattelse giver Ã¥rsregnskabet et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 30. april 2019 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. maj 2018 - 30. april 2019.",Direktionen anser betingelserne for at undlade revision af Ã¥rsregnskabet for 2018/19 for opfyldt.,2019-08-20,2019-08-20,1974-09-27,2019-10-01,42792.0,51489713.0,36717785.0,Direktionen har dags dato aflagt Ã¥rsrapporten for regnskabsÃ¥ret 1. maj 2018 - 30. april 2019 for LJ Erhverv ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, som beretningen omhandler.",Leif Jensen,Leif Jensen,LJ Erhverv ApS,"Kvist & Jensen, Statsautoriseret Revisionspartnerselskab",NÃ¸rresundby,2017-05-01,2018-04-30,0.0,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,2019-04-30,2018-05-01,,2019-08-20,Aalborg,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:27878400,indberetninger-20180424,2.5124211,51489713.0,AW2LGIg-IXJRhhXBOKvu,2019-10-02T06:12:09.576Z,2019-10-02T06:11:43.126Z,regnskab,0.0,,2019-04-30,2018-05-01,X19-CY-28-TV,2019-10-02T06:11:43.294Z,675000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51489713,2018-04-30,2018-04-30,c715,,http://regnskaber.virk.dk/31798415/ZG9rdW1lbnRsYWdlcjovLzAzLzFjLzBlLzE2L2RkLzg2MmItNDljNS1iNWQwLTc2Y2EzNjExYTk2ZA.pdf,http://regnskaber.virk.dk/31798415/ZG9rdW1lbnRsYWdlcjovLzAzL2Q0L2U4LzJiL2IwLzhiOGQtNDQ1OC05YmU3LTkwYjc2ZTZhNDAyNg.xml,NÃ¸rresundby,9400.0,37.0,Solsiden,"9000, Aalborg","Danalien, 1",kapitalejeren,Regnskabsklasse B,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabsloven.,"Jeg anser den valgte regnskabspraksis for hensigtsmÃ¦ssig, og efter min opfattelse giver Ã¥rsregnskabet et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 30. april 2019 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. maj 2018 - 30. april 2019.",Direktionen anser betingelserne for at undlade revision af Ã¥rsregnskabet for 2018/19 for opfyldt.,2019-08-20,2019-08-20,1974-09-27,2019-10-01,42792.0,51489713.0,36717785.0,Direktionen har dags dato aflagt Ã¥rsrapporten for regnskabsÃ¥ret 1. maj 2018 - 30. april 2019 for LJ Erhverv ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, som beretningen omhandler.",Leif Jensen,Leif Jensen,LJ Erhverv ApS,"Kvist & Jensen, Statsautoriseret Revisionspartnerselskab",NÃ¸rresundby,2017-05-01,2018-04-30,0.0,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,2019-04-30,2018-05-01,,2019-08-20,Aalborg,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:27878400,indberetninger-20180424,2.5124211,51489713.0,AW2LGIg-IXJRhhXBOKvu,2019-10-02T06:12:09.576Z,2019-10-02T06:11:43.126Z,regnskab,0.0,,2019-04-30,2018-05-01,X19-CY-28-TV,2019-10-02T06:11:43.294Z,889871.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51489713,2018-04-30,2018-04-30,c727,,http://regnskaber.virk.dk/31798415/ZG9rdW1lbnRsYWdlcjovLzAzLzFjLzBlLzE2L2RkLzg2MmItNDljNS1iNWQwLTc2Y2EzNjExYTk2ZA.pdf,http://regnskaber.virk.dk/31798415/ZG9rdW1lbnRsYWdlcjovLzAzL2Q0L2U4LzJiL2IwLzhiOGQtNDQ1OC05YmU3LTkwYjc2ZTZhNDAyNg.xml,NÃ¸rresundby,9400.0,37.0,Solsiden,"9000, Aalborg","Danalien, 1",kapitalejeren,Regnskabsklasse B,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabsloven.,"Jeg anser den valgte regnskabspraksis for hensigtsmÃ¦ssig, og efter min opfattelse giver Ã¥rsregnskabet et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 30. april 2019 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. maj 2018 - 30. april 2019.",Direktionen anser betingelserne for at undlade revision af Ã¥rsregnskabet for 2018/19 for opfyldt.,2019-08-20,2019-08-20,1974-09-27,2019-10-01,42792.0,51489713.0,36717785.0,Direktionen har dags dato aflagt Ã¥rsrapporten for regnskabsÃ¥ret 1. maj 2018 - 30. april 2019 for LJ Erhverv ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, som beretningen omhandler.",Leif Jensen,Leif Jensen,LJ Erhverv ApS,"Kvist & Jensen, Statsautoriseret Revisionspartnerselskab",NÃ¸rresundby,2017-05-01,2018-04-30,0.0,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,2019-04-30,2018-05-01,,2019-08-20,Aalborg,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:27878400,indberetninger-20180424,2.5124211,51489713.0,AW2LGIg-IXJRhhXBOKvu,2019-10-02T06:12:09.576Z,2019-10-02T06:11:43.126Z,regnskab,0.0,,2019-04-30,2018-05-01,X19-CY-28-TV,2019-10-02T06:11:43.294Z,1939459.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
