entity,start_date,end_date,context,AARSRAPPORT_html,AARSRAPPORT_pdf,AARSRAPPORT_xml,AccountingPoliciesAreUnchangedFromPreviousPeriod,AddressOfAuditorCountry,AddressOfAuditorCountryIdentificationCode,AddressOfAuditorDistrictName,AddressOfAuditorPostCodeIdentifier,AddressOfAuditorStreetBuildingIdentifier,AddressOfAuditorStreetName,AddressOfReportingEntityDistrictName,AddressOfReportingEntityPostCodeIdentifier,AddressOfReportingEntityStreetBuildingIdentifier,AddressOfReportingEntityStreetName,AddressOfSubmittingEnterprisePostcodeAndTown,AddressOfSubmittingEnterpriseStreetAndNumber,AddresseeOfAuditorsReportOnOtherReport,AuditorsReportsOtherReports,ClassOfReportingEntity,DateOfApprovalOfAnnualReport,DateOfGeneralMeeting,DescriptionOfAuditor,IdentificationNumberCvrOfReportingEntity,IdentificationNumberPnrOfAuditFirm,InformationOnReportingClassOfEntity,InformationOnTypeOfSubmittedReport,NameAndSurnameOfAuditor,NameAndSurnameOfChairmanOfGeneralMeeting,NameAndSurnameOfMemberOfExecutiveBoard,NameOfFinancialInstitution,NameOfReportingEntity,NameOfSubmittingEnterprise,NumberOfEmployees,PlaceOfSignatureOfStatement,PrecedingReportingPeriodStartDate,PredingReportingPeriodEndDate,ReportingPeriodEndDate,ReportingPeriodStartDate,SelectedElementsFromReportingClassC,SelectedElementsFromReportingClassD,SignatureOfAuditorsDate,SignatureOfAuditorsPlace,StatementOnOptingOutOfAuditingFinancialStatementsInNextReportingPeriodDueToExemption,TheCompanyHasPresentedTheAnnualReportEtcWithReferenceToTheDanishFinancialStatementsAct78aConcerningTheExceptionForReportingClassCMediumsizeSubsidiariesWhichChoosesToPresentTheAnnualReportEtcAccordingToReportingClassB,TheReportingEntityAppliesTheExceptionConcerningOptingOutOfTheStatementByManagementEtc,TypeOfAuditorAssistance,_id,_index,_score,cvrNummer,indlaesningsId,indlaesningsTidspunkt,offentliggoerelsesTidspunkt,offentliggoerelsestype,omgoerelse,regNummer,regnskabsperiode_slutDato,regnskabsperiode_startDato,sagsNummer,sidstOpdateret,AverageNumberOfEmployees,EmployeeBenefitsExpense,GrossResult,OtherFinanceIncome,ProfitLoss,ProfitLossFromOrdinaryActivitiesBeforeTax,ProfitLossFromOrdinaryOperatingActivities,TaxExpense,Assets,CashAndCashEquivalents,ContributedCapital,CurrentAssets,Equity,LiabilitiesAndEquity,LiabilitiesOtherThanProvisions,OtherShorttermPayables,ProposedDividendRecognisedInEquity,RetainedEarnings,ShorttermLiabilitiesOtherThanProvisions,ShorttermPayablesToShareholdersAndManagement,ShorttermReceivables,ShorttermTaxPayables,ShorttermTaxReceivables,ShorttermTradePayables,DividendPaid,IdentificationNumberCvrOfAuditFirm,NameOfAuditFirm,NameAndSurnameOfMemberOfSupervisoryBoard
31253683,2016-01-01,2016-01-01,c21,http://regnskaber.virk.dk/38635213/ZG9rdW1lbnRsYWdlcjovLzAzL2I1LzA2LzM0LzQyLzRlZjctNGM1YS1hZTNjLTllNWJhM2Y2YTJkMQ.xhtml,http://regnskaber.virk.dk/38635213/ZG9rdW1lbnRsYWdlcjovLzAzLzQ3LzQzLzZhL2JiL2RmN2ItNDdhMC04YmNmLTcwZGJjMWY0Y2M2MQ.pdf,http://regnskaber.virk.dk/38635213/ZG9rdW1lbnRsYWdlcjovLzAzLzUyL2FkLzMyL2QyLzk5YzAtNGYxMi05NGY2LWEwOTY3Mjc2ZGFiNw.xml,true,Danmark,DK,Herlev,2730.0,"1, 3",LyskÃ¦r,BirkerÃ¸d,3460.0,35.0,Birkevej,2000.0,"Blytsvej 8, st. tv.",Til den daglige ledelse i Art Attack ApS,Revisors erklÃ¦ring om opstilling af finansielle oplysninger,Regnskabsklasse B,2018-02-06,2018-02-07,Statsautoriseret revisor,31253683.0,1005265189.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Henrik Volland,Lars-Ole Hedegaard Hansen,Lars-Ole Hedegaard Hansen,Danske Bank,ART ATTACK ApS,Henrik Volland,2.0,BirkerÃ¸d,2016-01-01,2016-12-31,2017-12-31,2017-01-01,false,false,2018-02-06,Herlev,"Generalforsamlingen vil beslutte, at Ã¥rsregnskabet for det kommende regnskabsÃ¥r ikke skal revideres.",false,false,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:25034330,indberetninger-20180424,2.59278,31253683.0,,2018-04-03T19:14:54.206Z,2018-02-07T15:07:50.222Z,regnskab,0.0,,2017-12-31,2017-01-01,X18-AD-07-VS,2018-02-07T15:07:50.417Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31253683,2016-01-01,2016-12-31,c5,http://regnskaber.virk.dk/38635213/ZG9rdW1lbnRsYWdlcjovLzAzL2I1LzA2LzM0LzQyLzRlZjctNGM1YS1hZTNjLTllNWJhM2Y2YTJkMQ.xhtml,http://regnskaber.virk.dk/38635213/ZG9rdW1lbnRsYWdlcjovLzAzLzQ3LzQzLzZhL2JiL2RmN2ItNDdhMC04YmNmLTcwZGJjMWY0Y2M2MQ.pdf,http://regnskaber.virk.dk/38635213/ZG9rdW1lbnRsYWdlcjovLzAzLzUyL2FkLzMyL2QyLzk5YzAtNGYxMi05NGY2LWEwOTY3Mjc2ZGFiNw.xml,true,Danmark,DK,Herlev,2730.0,"1, 3",LyskÃ¦r,BirkerÃ¸d,3460.0,35.0,Birkevej,2000.0,"Blytsvej 8, st. tv.",Til den daglige ledelse i Art Attack ApS,Revisors erklÃ¦ring om opstilling af finansielle oplysninger,Regnskabsklasse B,2018-02-06,2018-02-07,Statsautoriseret revisor,31253683.0,1005265189.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Henrik Volland,Lars-Ole Hedegaard Hansen,Lars-Ole Hedegaard Hansen,Danske Bank,ART ATTACK ApS,Henrik Volland,,BirkerÃ¸d,2016-01-01,2016-12-31,2017-12-31,2017-01-01,false,false,2018-02-06,Herlev,"Generalforsamlingen vil beslutte, at Ã¥rsregnskabet for det kommende regnskabsÃ¥r ikke skal revideres.",false,false,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:25034330,indberetninger-20180424,2.59278,31253683.0,,2018-04-03T19:14:54.206Z,2018-02-07T15:07:50.222Z,regnskab,0.0,,2017-12-31,2017-01-01,X18-AD-07-VS,2018-02-07T15:07:50.417Z,2.0,678202.0,942926.0,0.0,203032.0,264724.0,264724.0,61692.0,,,,,,,,,,,,,,,,,,,,
31253683,2016-01-01,2016-12-31,c7,http://regnskaber.virk.dk/38635213/ZG9rdW1lbnRsYWdlcjovLzAzL2I1LzA2LzM0LzQyLzRlZjctNGM1YS1hZTNjLTllNWJhM2Y2YTJkMQ.xhtml,http://regnskaber.virk.dk/38635213/ZG9rdW1lbnRsYWdlcjovLzAzLzQ3LzQzLzZhL2JiL2RmN2ItNDdhMC04YmNmLTcwZGJjMWY0Y2M2MQ.pdf,http://regnskaber.virk.dk/38635213/ZG9rdW1lbnRsYWdlcjovLzAzLzUyL2FkLzMyL2QyLzk5YzAtNGYxMi05NGY2LWEwOTY3Mjc2ZGFiNw.xml,true,Danmark,DK,Herlev,2730.0,"1, 3",LyskÃ¦r,BirkerÃ¸d,3460.0,35.0,Birkevej,2000.0,"Blytsvej 8, st. tv.",Til den daglige ledelse i Art Attack ApS,Revisors erklÃ¦ring om opstilling af finansielle oplysninger,Regnskabsklasse B,2018-02-06,2018-02-07,Statsautoriseret revisor,31253683.0,1005265189.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Henrik Volland,Lars-Ole Hedegaard Hansen,Lars-Ole Hedegaard Hansen,Danske Bank,ART ATTACK ApS,Henrik Volland,,BirkerÃ¸d,2016-01-01,2016-12-31,2017-12-31,2017-01-01,false,false,2018-02-06,Herlev,"Generalforsamlingen vil beslutte, at Ã¥rsregnskabet for det kommende regnskabsÃ¥r ikke skal revideres.",false,false,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:25034330,indberetninger-20180424,2.59278,31253683.0,,2018-04-03T19:14:54.206Z,2018-02-07T15:07:50.222Z,regnskab,0.0,,2017-12-31,2017-01-01,X18-AD-07-VS,2018-02-07T15:07:50.417Z,,,,,103400.0,,,,,,,,,,,,,,,,,,,,,,,
31253683,2016-01-01,2016-12-31,c9,http://regnskaber.virk.dk/38635213/ZG9rdW1lbnRsYWdlcjovLzAzL2I1LzA2LzM0LzQyLzRlZjctNGM1YS1hZTNjLTllNWJhM2Y2YTJkMQ.xhtml,http://regnskaber.virk.dk/38635213/ZG9rdW1lbnRsYWdlcjovLzAzLzQ3LzQzLzZhL2JiL2RmN2ItNDdhMC04YmNmLTcwZGJjMWY0Y2M2MQ.pdf,http://regnskaber.virk.dk/38635213/ZG9rdW1lbnRsYWdlcjovLzAzLzUyL2FkLzMyL2QyLzk5YzAtNGYxMi05NGY2LWEwOTY3Mjc2ZGFiNw.xml,true,Danmark,DK,Herlev,2730.0,"1, 3",LyskÃ¦r,BirkerÃ¸d,3460.0,35.0,Birkevej,2000.0,"Blytsvej 8, st. tv.",Til den daglige ledelse i Art Attack ApS,Revisors erklÃ¦ring om opstilling af finansielle oplysninger,Regnskabsklasse B,2018-02-06,2018-02-07,Statsautoriseret revisor,31253683.0,1005265189.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Henrik Volland,Lars-Ole Hedegaard Hansen,Lars-Ole Hedegaard Hansen,Danske Bank,ART ATTACK ApS,Henrik Volland,,BirkerÃ¸d,2016-01-01,2016-12-31,2017-12-31,2017-01-01,false,false,2018-02-06,Herlev,"Generalforsamlingen vil beslutte, at Ã¥rsregnskabet for det kommende regnskabsÃ¥r ikke skal revideres.",false,false,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:25034330,indberetninger-20180424,2.59278,31253683.0,,2018-04-03T19:14:54.206Z,2018-02-07T15:07:50.222Z,regnskab,0.0,,2017-12-31,2017-01-01,X18-AD-07-VS,2018-02-07T15:07:50.417Z,,,,,99632.0,,,,,,,,,,,,,,,,,,,,,,,
31253683,2016-12-31,2016-12-31,c11,http://regnskaber.virk.dk/38635213/ZG9rdW1lbnRsYWdlcjovLzAzL2I1LzA2LzM0LzQyLzRlZjctNGM1YS1hZTNjLTllNWJhM2Y2YTJkMQ.xhtml,http://regnskaber.virk.dk/38635213/ZG9rdW1lbnRsYWdlcjovLzAzLzQ3LzQzLzZhL2JiL2RmN2ItNDdhMC04YmNmLTcwZGJjMWY0Y2M2MQ.pdf,http://regnskaber.virk.dk/38635213/ZG9rdW1lbnRsYWdlcjovLzAzLzUyL2FkLzMyL2QyLzk5YzAtNGYxMi05NGY2LWEwOTY3Mjc2ZGFiNw.xml,true,Danmark,DK,Herlev,2730.0,"1, 3",LyskÃ¦r,BirkerÃ¸d,3460.0,35.0,Birkevej,2000.0,"Blytsvej 8, st. tv.",Til den daglige ledelse i Art Attack ApS,Revisors erklÃ¦ring om opstilling af finansielle oplysninger,Regnskabsklasse B,2018-02-06,2018-02-07,Statsautoriseret revisor,31253683.0,1005265189.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Henrik Volland,Lars-Ole Hedegaard Hansen,Lars-Ole Hedegaard Hansen,Danske Bank,ART ATTACK ApS,Henrik Volland,2.0,BirkerÃ¸d,2016-01-01,2016-12-31,2017-12-31,2017-01-01,false,false,2018-02-06,Herlev,"Generalforsamlingen vil beslutte, at Ã¥rsregnskabet for det kommende regnskabsÃ¥r ikke skal revideres.",false,false,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:25034330,indberetninger-20180424,2.59278,31253683.0,,2018-04-03T19:14:54.206Z,2018-02-07T15:07:50.222Z,regnskab,0.0,,2017-12-31,2017-01-01,X18-AD-07-VS,2018-02-07T15:07:50.417Z,,,,,,,,,821900.0,821900.0,125000.0,821900.0,505966.0,821900.0,315934.0,208631.0,103400.0,277566.0,315934.0,43288.0,0.0,54015.0,0.0,10000.0,,,,
31253683,2017-01-01,2017-01-01,c12,http://regnskaber.virk.dk/38635213/ZG9rdW1lbnRsYWdlcjovLzAzL2I1LzA2LzM0LzQyLzRlZjctNGM1YS1hZTNjLTllNWJhM2Y2YTJkMQ.xhtml,http://regnskaber.virk.dk/38635213/ZG9rdW1lbnRsYWdlcjovLzAzLzQ3LzQzLzZhL2JiL2RmN2ItNDdhMC04YmNmLTcwZGJjMWY0Y2M2MQ.pdf,http://regnskaber.virk.dk/38635213/ZG9rdW1lbnRsYWdlcjovLzAzLzUyL2FkLzMyL2QyLzk5YzAtNGYxMi05NGY2LWEwOTY3Mjc2ZGFiNw.xml,true,Danmark,DK,Herlev,2730.0,"1, 3",LyskÃ¦r,BirkerÃ¸d,3460.0,35.0,Birkevej,2000.0,"Blytsvej 8, st. tv.",Til den daglige ledelse i Art Attack ApS,Revisors erklÃ¦ring om opstilling af finansielle oplysninger,Regnskabsklasse B,2018-02-06,2018-02-07,Statsautoriseret revisor,31253683.0,1005265189.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Henrik Volland,Lars-Ole Hedegaard Hansen,Lars-Ole Hedegaard Hansen,Danske Bank,ART ATTACK ApS,Henrik Volland,,BirkerÃ¸d,2016-01-01,2016-12-31,2017-12-31,2017-01-01,false,false,2018-02-06,Herlev,"Generalforsamlingen vil beslutte, at Ã¥rsregnskabet for det kommende regnskabsÃ¥r ikke skal revideres.",false,false,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:25034330,indberetninger-20180424,2.59278,31253683.0,,2018-04-03T19:14:54.206Z,2018-02-07T15:07:50.222Z,regnskab,0.0,,2017-12-31,2017-01-01,X18-AD-07-VS,2018-02-07T15:07:50.417Z,,,,,,,,,,,,,125000.0,,,,,,,,,,,,,,,
31253683,2017-01-01,2017-01-01,c13,http://regnskaber.virk.dk/38635213/ZG9rdW1lbnRsYWdlcjovLzAzL2I1LzA2LzM0LzQyLzRlZjctNGM1YS1hZTNjLTllNWJhM2Y2YTJkMQ.xhtml,http://regnskaber.virk.dk/38635213/ZG9rdW1lbnRsYWdlcjovLzAzLzQ3LzQzLzZhL2JiL2RmN2ItNDdhMC04YmNmLTcwZGJjMWY0Y2M2MQ.pdf,http://regnskaber.virk.dk/38635213/ZG9rdW1lbnRsYWdlcjovLzAzLzUyL2FkLzMyL2QyLzk5YzAtNGYxMi05NGY2LWEwOTY3Mjc2ZGFiNw.xml,true,Danmark,DK,Herlev,2730.0,"1, 3",LyskÃ¦r,BirkerÃ¸d,3460.0,35.0,Birkevej,2000.0,"Blytsvej 8, st. tv.",Til den daglige ledelse i Art Attack ApS,Revisors erklÃ¦ring om opstilling af finansielle oplysninger,Regnskabsklasse B,2018-02-06,2018-02-07,Statsautoriseret revisor,31253683.0,1005265189.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Henrik Volland,Lars-Ole Hedegaard Hansen,Lars-Ole Hedegaard Hansen,Danske Bank,ART ATTACK ApS,Henrik Volland,,BirkerÃ¸d,2016-01-01,2016-12-31,2017-12-31,2017-01-01,false,false,2018-02-06,Herlev,"Generalforsamlingen vil beslutte, at Ã¥rsregnskabet for det kommende regnskabsÃ¥r ikke skal revideres.",false,false,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:25034330,indberetninger-20180424,2.59278,31253683.0,,2018-04-03T19:14:54.206Z,2018-02-07T15:07:50.222Z,regnskab,0.0,,2017-12-31,2017-01-01,X18-AD-07-VS,2018-02-07T15:07:50.417Z,,,,,,,,,,,,,277566.0,,,,,,,,,,,,,,,
31253683,2017-01-01,2017-01-01,c14,http://regnskaber.virk.dk/38635213/ZG9rdW1lbnRsYWdlcjovLzAzL2I1LzA2LzM0LzQyLzRlZjctNGM1YS1hZTNjLTllNWJhM2Y2YTJkMQ.xhtml,http://regnskaber.virk.dk/38635213/ZG9rdW1lbnRsYWdlcjovLzAzLzQ3LzQzLzZhL2JiL2RmN2ItNDdhMC04YmNmLTcwZGJjMWY0Y2M2MQ.pdf,http://regnskaber.virk.dk/38635213/ZG9rdW1lbnRsYWdlcjovLzAzLzUyL2FkLzMyL2QyLzk5YzAtNGYxMi05NGY2LWEwOTY3Mjc2ZGFiNw.xml,true,Danmark,DK,Herlev,2730.0,"1, 3",LyskÃ¦r,BirkerÃ¸d,3460.0,35.0,Birkevej,2000.0,"Blytsvej 8, st. tv.",Til den daglige ledelse i Art Attack ApS,Revisors erklÃ¦ring om opstilling af finansielle oplysninger,Regnskabsklasse B,2018-02-06,2018-02-07,Statsautoriseret revisor,31253683.0,1005265189.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Henrik Volland,Lars-Ole Hedegaard Hansen,Lars-Ole Hedegaard Hansen,Danske Bank,ART ATTACK ApS,Henrik Volland,,BirkerÃ¸d,2016-01-01,2016-12-31,2017-12-31,2017-01-01,false,false,2018-02-06,Herlev,"Generalforsamlingen vil beslutte, at Ã¥rsregnskabet for det kommende regnskabsÃ¥r ikke skal revideres.",false,false,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:25034330,indberetninger-20180424,2.59278,31253683.0,,2018-04-03T19:14:54.206Z,2018-02-07T15:07:50.222Z,regnskab,0.0,,2017-12-31,2017-01-01,X18-AD-07-VS,2018-02-07T15:07:50.417Z,,,,,,,,,,,,,103400.0,,,,,,,,,,,,,,,
31253683,2017-01-01,2017-01-01,c15,http://regnskaber.virk.dk/38635213/ZG9rdW1lbnRsYWdlcjovLzAzL2I1LzA2LzM0LzQyLzRlZjctNGM1YS1hZTNjLTllNWJhM2Y2YTJkMQ.xhtml,http://regnskaber.virk.dk/38635213/ZG9rdW1lbnRsYWdlcjovLzAzLzQ3LzQzLzZhL2JiL2RmN2ItNDdhMC04YmNmLTcwZGJjMWY0Y2M2MQ.pdf,http://regnskaber.virk.dk/38635213/ZG9rdW1lbnRsYWdlcjovLzAzLzUyL2FkLzMyL2QyLzk5YzAtNGYxMi05NGY2LWEwOTY3Mjc2ZGFiNw.xml,true,Danmark,DK,Herlev,2730.0,"1, 3",LyskÃ¦r,BirkerÃ¸d,3460.0,35.0,Birkevej,2000.0,"Blytsvej 8, st. tv.",Til den daglige ledelse i Art Attack ApS,Revisors erklÃ¦ring om opstilling af finansielle oplysninger,Regnskabsklasse B,2018-02-06,2018-02-07,Statsautoriseret revisor,31253683.0,1005265189.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Henrik Volland,Lars-Ole Hedegaard Hansen,Lars-Ole Hedegaard Hansen,Danske Bank,ART ATTACK ApS,Henrik Volland,2.0,BirkerÃ¸d,2016-01-01,2016-12-31,2017-12-31,2017-01-01,false,false,2018-02-06,Herlev,"Generalforsamlingen vil beslutte, at Ã¥rsregnskabet for det kommende regnskabsÃ¥r ikke skal revideres.",false,false,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:25034330,indberetninger-20180424,2.59278,31253683.0,,2018-04-03T19:14:54.206Z,2018-02-07T15:07:50.222Z,regnskab,0.0,,2017-12-31,2017-01-01,X18-AD-07-VS,2018-02-07T15:07:50.417Z,,,,,,,,,,,,,505966.0,,,,,,,,,,,,,,,
31253683,2017-01-01,2017-12-31,c0,http://regnskaber.virk.dk/38635213/ZG9rdW1lbnRsYWdlcjovLzAzL2I1LzA2LzM0LzQyLzRlZjctNGM1YS1hZTNjLTllNWJhM2Y2YTJkMQ.xhtml,http://regnskaber.virk.dk/38635213/ZG9rdW1lbnRsYWdlcjovLzAzLzQ3LzQzLzZhL2JiL2RmN2ItNDdhMC04YmNmLTcwZGJjMWY0Y2M2MQ.pdf,http://regnskaber.virk.dk/38635213/ZG9rdW1lbnRsYWdlcjovLzAzLzUyL2FkLzMyL2QyLzk5YzAtNGYxMi05NGY2LWEwOTY3Mjc2ZGFiNw.xml,true,Danmark,DK,Herlev,2730.0,"1, 3",LyskÃ¦r,BirkerÃ¸d,3460.0,35.0,Birkevej,2000.0,"Blytsvej 8, st. tv.",Til den daglige ledelse i Art Attack ApS,Revisors erklÃ¦ring om opstilling af finansielle oplysninger,Regnskabsklasse B,2018-02-06,2018-02-07,Statsautoriseret revisor,31253683.0,1005265189.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Henrik Volland,Lars-Ole Hedegaard Hansen,Lars-Ole Hedegaard Hansen,Danske Bank,ART ATTACK ApS,Henrik Volland,,BirkerÃ¸d,2016-01-01,2016-12-31,2017-12-31,2017-01-01,false,false,2018-02-06,Herlev,"Generalforsamlingen vil beslutte, at Ã¥rsregnskabet for det kommende regnskabsÃ¥r ikke skal revideres.",false,false,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:25034330,indberetninger-20180424,2.59278,31253683.0,,2018-04-03T19:14:54.206Z,2018-02-07T15:07:50.222Z,regnskab,0.0,,2017-12-31,2017-01-01,X18-AD-07-VS,2018-02-07T15:07:50.417Z,2.0,637757.0,719589.0,1181.0,65072.0,83013.0,81832.0,17941.0,,,,,,,,,,,,,,,,,103400.0,,,
