entity,start_date,end_date,context,AARSRAPPORT_html,AARSRAPPORT_pdf,AARSRAPPORT_xml,AddressOfReportingEntityDistrictName,AddressOfReportingEntityPostCodeIdentifier,AddressOfReportingEntityStreetBuildingIdentifier,AddressOfReportingEntityStreetName,AddressOfSubmittingEnterprisePostcodeAndTown,AddresseeOfAuditorsReportOnOtherReport,ClassOfReportingEntity,ConfirmationThatAnnualReportIsPresentedInAccordanceWithRequirementsProvidedForByLegislationAnyStandardsAndRequirementsProvidedByArticlesOfAssociationOrByAgreement,ConfirmationThatFinancialStatementGivesTrueAndFairViewOfAssetsLiabilitiesEquityFinancialPositionAndResults,ConfirmationThatFinancialStatementsAreExemptedFromAuditing,DateOfApprovalOfAnnualReport,DateOfApprovalOfReport,DateOfGeneralMeeting,DescriptionOfMethodsOfRecognitionAndMeasurementBasisOfExternalExpenses,Equity,IdentificationNumberCvrOfReportingEntity,IdentificationNumberCvrOfSubmittingEnterprise,IdentificationOfApprovedAnnualReport,InformationOnTypeOfSubmittedReport,ManagementsStatementAboutManagementsReview,NameAndSurnameOfChairmanOfGeneralMeeting,NameAndSurnameOfMemberOfExecutiveBoard,NameOfReportingEntity,NameOfSubmittingEnterprise,PlaceOfSignatureOfStatement,RecommendationForApprovalOfAnnualReportByGeneralMeeting,RegisteredOfficeOfReportingEntity,ReportingPeriodEndDate,ReportingPeriodStartDate,SignatureOfAuditorsDate,SignatureOfAuditorsPlace,TypeOfAuditorAssistance,_id,_index,_score,cvrNummer,indlaesningsId,indlaesningsTidspunkt,offentliggoerelsesTidspunkt,offentliggoerelsestype,omgoerelse,regNummer,regnskabsperiode_slutDato,regnskabsperiode_startDato,sagsNummer,sidstOpdateret,ProfitLoss,GrossProfitLoss,ProfitLossFromOrdinaryActivitiesBeforeTax,ProfitLossFromOrdinaryOperatingActivities,TaxExpenseOnOrdinaryActivities,Assets,CashAndCashEquivalents,ContributedCapital,CurrentAssets,LiabilitiesAndEquity,LiabilitiesOtherThanProvisions,OtherShorttermPayables,OtherShorttermReceivables,RetainedEarnings,ShorttermLiabilitiesOtherThanProvisions,ShorttermReceivables,ShorttermReceivablesFromGroupEnterprises,ShorttermTaxPayables
29843368,2014-01-01,2014-01-01,c720,,http://regnskaber.virk.dk/86334892/ZG9rdW1lbnRsYWdlcjovLzAzL2FiLzUzLzc3L2U1L2Y2NzQtNDZjYy05ODgyLTY0NjFiZTdkZDA2MA.pdf,http://regnskaber.virk.dk/86334892/ZG9rdW1lbnRsYWdlcjovLzAzLzU1LzgwLzVhLzE3L2QyNDktNGFlYS05MTAwLTMyYTFlY2Q1NjU2MQ.xml,Middelfart,5500.0,140.0,Gl. Strandvej,"7000, Fredericia",kapitalejeren,Regnskabsklasse B,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabsloven.,"Jeg anser den valgte regnskabspraksis for hensigtsmÃ¦ssig, og efter min opfattelse giver Ã¥rsregnskabet et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2015 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar - 31. december 2015.",Direktionen anser betingelserne for at undlade revision af Ã¥rsregnskabet for 2015 for opfyldt.,2016-05-02,2016-05-02,2016-05-13,Eksterne omkostninger omfatter omkostninger til administration.,390000.0,29843368.0,25492145.0,Direktionen har dags dato aflagt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar - 31. december 2015 for Danmark C Invest I ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, som beretningen omhandler.",Per Johansen,Per Johansen,Danmark C Invest I ApS,"BRANDT, Statsautoriseret Revisionspartnerselskab",Middelfart,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,Middelfart,2015-12-31,2015-01-01,2016-05-02,Fredericia,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:22366349,indberetninger-20180424,2.5118406,29843368.0,,2018-03-28T20:11:02.280Z,2016-05-16T14:04:44.569Z,regnskab,0.0,,2015-12-31,2015-01-01,X16-AV-96-TN,2016-05-16T14:04:44.662Z,,,,,,,,,,,,,,,,,,
29843368,2014-01-01,2014-01-01,c741,,http://regnskaber.virk.dk/86334892/ZG9rdW1lbnRsYWdlcjovLzAzL2FiLzUzLzc3L2U1L2Y2NzQtNDZjYy05ODgyLTY0NjFiZTdkZDA2MA.pdf,http://regnskaber.virk.dk/86334892/ZG9rdW1lbnRsYWdlcjovLzAzLzU1LzgwLzVhLzE3L2QyNDktNGFlYS05MTAwLTMyYTFlY2Q1NjU2MQ.xml,Middelfart,5500.0,140.0,Gl. Strandvej,"7000, Fredericia",kapitalejeren,Regnskabsklasse B,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabsloven.,"Jeg anser den valgte regnskabspraksis for hensigtsmÃ¦ssig, og efter min opfattelse giver Ã¥rsregnskabet et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2015 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar - 31. december 2015.",Direktionen anser betingelserne for at undlade revision af Ã¥rsregnskabet for 2015 for opfyldt.,2016-05-02,2016-05-02,2016-05-13,Eksterne omkostninger omfatter omkostninger til administration.,-603114.0,29843368.0,25492145.0,Direktionen har dags dato aflagt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar - 31. december 2015 for Danmark C Invest I ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, som beretningen omhandler.",Per Johansen,Per Johansen,Danmark C Invest I ApS,"BRANDT, Statsautoriseret Revisionspartnerselskab",Middelfart,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,Middelfart,2015-12-31,2015-01-01,2016-05-02,Fredericia,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:22366349,indberetninger-20180424,2.5118406,29843368.0,,2018-03-28T20:11:02.280Z,2016-05-16T14:04:44.569Z,regnskab,0.0,,2015-12-31,2015-01-01,X16-AV-96-TN,2016-05-16T14:04:44.662Z,,,,,,,,,,,,,,,,,,
29843368,2014-01-01,2014-12-31,c123,,http://regnskaber.virk.dk/86334892/ZG9rdW1lbnRsYWdlcjovLzAzL2FiLzUzLzc3L2U1L2Y2NzQtNDZjYy05ODgyLTY0NjFiZTdkZDA2MA.pdf,http://regnskaber.virk.dk/86334892/ZG9rdW1lbnRsYWdlcjovLzAzLzU1LzgwLzVhLzE3L2QyNDktNGFlYS05MTAwLTMyYTFlY2Q1NjU2MQ.xml,Middelfart,5500.0,140.0,Gl. Strandvej,"7000, Fredericia",kapitalejeren,Regnskabsklasse B,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabsloven.,"Jeg anser den valgte regnskabspraksis for hensigtsmÃ¦ssig, og efter min opfattelse giver Ã¥rsregnskabet et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2015 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar - 31. december 2015.",Direktionen anser betingelserne for at undlade revision af Ã¥rsregnskabet for 2015 for opfyldt.,2016-05-02,2016-05-02,2016-05-13,Eksterne omkostninger omfatter omkostninger til administration.,,29843368.0,25492145.0,Direktionen har dags dato aflagt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar - 31. december 2015 for Danmark C Invest I ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, som beretningen omhandler.",Per Johansen,Per Johansen,Danmark C Invest I ApS,"BRANDT, Statsautoriseret Revisionspartnerselskab",Middelfart,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,Middelfart,2015-12-31,2015-01-01,2016-05-02,Fredericia,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:22366349,indberetninger-20180424,2.5118406,29843368.0,,2018-03-28T20:11:02.280Z,2016-05-16T14:04:44.569Z,regnskab,0.0,,2015-12-31,2015-01-01,X16-AV-96-TN,2016-05-16T14:04:44.662Z,215482.0,,,,,,,,,,,,,,,,,
29843368,2014-01-01,2014-12-31,c3,,http://regnskaber.virk.dk/86334892/ZG9rdW1lbnRsYWdlcjovLzAzL2FiLzUzLzc3L2U1L2Y2NzQtNDZjYy05ODgyLTY0NjFiZTdkZDA2MA.pdf,http://regnskaber.virk.dk/86334892/ZG9rdW1lbnRsYWdlcjovLzAzLzU1LzgwLzVhLzE3L2QyNDktNGFlYS05MTAwLTMyYTFlY2Q1NjU2MQ.xml,Middelfart,5500.0,140.0,Gl. Strandvej,"7000, Fredericia",kapitalejeren,Regnskabsklasse B,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabsloven.,"Jeg anser den valgte regnskabspraksis for hensigtsmÃ¦ssig, og efter min opfattelse giver Ã¥rsregnskabet et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2015 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar - 31. december 2015.",Direktionen anser betingelserne for at undlade revision af Ã¥rsregnskabet for 2015 for opfyldt.,2016-05-02,2016-05-02,2016-05-13,Eksterne omkostninger omfatter omkostninger til administration.,,29843368.0,25492145.0,Direktionen har dags dato aflagt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar - 31. december 2015 for Danmark C Invest I ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, som beretningen omhandler.",Per Johansen,Per Johansen,Danmark C Invest I ApS,"BRANDT, Statsautoriseret Revisionspartnerselskab",Middelfart,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,Middelfart,2015-12-31,2015-01-01,2016-05-02,Fredericia,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:22366349,indberetninger-20180424,2.5118406,29843368.0,,2018-03-28T20:11:02.280Z,2016-05-16T14:04:44.569Z,regnskab,0.0,,2015-12-31,2015-01-01,X16-AV-96-TN,2016-05-16T14:04:44.662Z,215482.0,285381.0,285381.0,285381.0,69899.0,,,,,,,,,,,,,
29843368,2014-01-01,2014-12-31,c742,,http://regnskaber.virk.dk/86334892/ZG9rdW1lbnRsYWdlcjovLzAzL2FiLzUzLzc3L2U1L2Y2NzQtNDZjYy05ODgyLTY0NjFiZTdkZDA2MA.pdf,http://regnskaber.virk.dk/86334892/ZG9rdW1lbnRsYWdlcjovLzAzLzU1LzgwLzVhLzE3L2QyNDktNGFlYS05MTAwLTMyYTFlY2Q1NjU2MQ.xml,Middelfart,5500.0,140.0,Gl. Strandvej,"7000, Fredericia",kapitalejeren,Regnskabsklasse B,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabsloven.,"Jeg anser den valgte regnskabspraksis for hensigtsmÃ¦ssig, og efter min opfattelse giver Ã¥rsregnskabet et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2015 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar - 31. december 2015.",Direktionen anser betingelserne for at undlade revision af Ã¥rsregnskabet for 2015 for opfyldt.,2016-05-02,2016-05-02,2016-05-13,Eksterne omkostninger omfatter omkostninger til administration.,,29843368.0,25492145.0,Direktionen har dags dato aflagt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar - 31. december 2015 for Danmark C Invest I ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, som beretningen omhandler.",Per Johansen,Per Johansen,Danmark C Invest I ApS,"BRANDT, Statsautoriseret Revisionspartnerselskab",Middelfart,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,Middelfart,2015-12-31,2015-01-01,2016-05-02,Fredericia,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:22366349,indberetninger-20180424,2.5118406,29843368.0,,2018-03-28T20:11:02.280Z,2016-05-16T14:04:44.569Z,regnskab,0.0,,2015-12-31,2015-01-01,X16-AV-96-TN,2016-05-16T14:04:44.662Z,215482.0,,,,,,,,,,,,,,,,,
29843368,2014-12-31,2014-12-31,c4,,http://regnskaber.virk.dk/86334892/ZG9rdW1lbnRsYWdlcjovLzAzL2FiLzUzLzc3L2U1L2Y2NzQtNDZjYy05ODgyLTY0NjFiZTdkZDA2MA.pdf,http://regnskaber.virk.dk/86334892/ZG9rdW1lbnRsYWdlcjovLzAzLzU1LzgwLzVhLzE3L2QyNDktNGFlYS05MTAwLTMyYTFlY2Q1NjU2MQ.xml,Middelfart,5500.0,140.0,Gl. Strandvej,"7000, Fredericia",kapitalejeren,Regnskabsklasse B,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabsloven.,"Jeg anser den valgte regnskabspraksis for hensigtsmÃ¦ssig, og efter min opfattelse giver Ã¥rsregnskabet et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2015 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar - 31. december 2015.",Direktionen anser betingelserne for at undlade revision af Ã¥rsregnskabet for 2015 for opfyldt.,2016-05-02,2016-05-02,2016-05-13,Eksterne omkostninger omfatter omkostninger til administration.,2368.0,29843368.0,25492145.0,Direktionen har dags dato aflagt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar - 31. december 2015 for Danmark C Invest I ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, som beretningen omhandler.",Per Johansen,Per Johansen,Danmark C Invest I ApS,"BRANDT, Statsautoriseret Revisionspartnerselskab",Middelfart,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,Middelfart,2015-12-31,2015-01-01,2016-05-02,Fredericia,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:22366349,indberetninger-20180424,2.5118406,29843368.0,,2018-03-28T20:11:02.280Z,2016-05-16T14:04:44.569Z,regnskab,0.0,,2015-12-31,2015-01-01,X16-AV-96-TN,2016-05-16T14:04:44.662Z,,,,,,807730.0,27248.0,390000.0,807730.0,807730.0,805362.0,735463.0,6199.0,-387632.0,805362.0,780482.0,774283.0,69899.0
29843368,2014-12-31,2014-12-31,c722,,http://regnskaber.virk.dk/86334892/ZG9rdW1lbnRsYWdlcjovLzAzL2FiLzUzLzc3L2U1L2Y2NzQtNDZjYy05ODgyLTY0NjFiZTdkZDA2MA.pdf,http://regnskaber.virk.dk/86334892/ZG9rdW1lbnRsYWdlcjovLzAzLzU1LzgwLzVhLzE3L2QyNDktNGFlYS05MTAwLTMyYTFlY2Q1NjU2MQ.xml,Middelfart,5500.0,140.0,Gl. Strandvej,"7000, Fredericia",kapitalejeren,Regnskabsklasse B,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabsloven.,"Jeg anser den valgte regnskabspraksis for hensigtsmÃ¦ssig, og efter min opfattelse giver Ã¥rsregnskabet et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2015 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar - 31. december 2015.",Direktionen anser betingelserne for at undlade revision af Ã¥rsregnskabet for 2015 for opfyldt.,2016-05-02,2016-05-02,2016-05-13,Eksterne omkostninger omfatter omkostninger til administration.,390000.0,29843368.0,25492145.0,Direktionen har dags dato aflagt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar - 31. december 2015 for Danmark C Invest I ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, som beretningen omhandler.",Per Johansen,Per Johansen,Danmark C Invest I ApS,"BRANDT, Statsautoriseret Revisionspartnerselskab",Middelfart,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,Middelfart,2015-12-31,2015-01-01,2016-05-02,Fredericia,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:22366349,indberetninger-20180424,2.5118406,29843368.0,,2018-03-28T20:11:02.280Z,2016-05-16T14:04:44.569Z,regnskab,0.0,,2015-12-31,2015-01-01,X16-AV-96-TN,2016-05-16T14:04:44.662Z,,,,,,,,,,,,,,,,,,
29843368,2014-12-31,2014-12-31,c743,,http://regnskaber.virk.dk/86334892/ZG9rdW1lbnRsYWdlcjovLzAzL2FiLzUzLzc3L2U1L2Y2NzQtNDZjYy05ODgyLTY0NjFiZTdkZDA2MA.pdf,http://regnskaber.virk.dk/86334892/ZG9rdW1lbnRsYWdlcjovLzAzLzU1LzgwLzVhLzE3L2QyNDktNGFlYS05MTAwLTMyYTFlY2Q1NjU2MQ.xml,Middelfart,5500.0,140.0,Gl. Strandvej,"7000, Fredericia",kapitalejeren,Regnskabsklasse B,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabsloven.,"Jeg anser den valgte regnskabspraksis for hensigtsmÃ¦ssig, og efter min opfattelse giver Ã¥rsregnskabet et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2015 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar - 31. december 2015.",Direktionen anser betingelserne for at undlade revision af Ã¥rsregnskabet for 2015 for opfyldt.,2016-05-02,2016-05-02,2016-05-13,Eksterne omkostninger omfatter omkostninger til administration.,-387632.0,29843368.0,25492145.0,Direktionen har dags dato aflagt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar - 31. december 2015 for Danmark C Invest I ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, som beretningen omhandler.",Per Johansen,Per Johansen,Danmark C Invest I ApS,"BRANDT, Statsautoriseret Revisionspartnerselskab",Middelfart,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,Middelfart,2015-12-31,2015-01-01,2016-05-02,Fredericia,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:22366349,indberetninger-20180424,2.5118406,29843368.0,,2018-03-28T20:11:02.280Z,2016-05-16T14:04:44.569Z,regnskab,0.0,,2015-12-31,2015-01-01,X16-AV-96-TN,2016-05-16T14:04:44.662Z,,,,,,,,,,,,,,,,,,
29843368,2015-01-01,2015-01-01,c181,,http://regnskaber.virk.dk/86334892/ZG9rdW1lbnRsYWdlcjovLzAzL2FiLzUzLzc3L2U1L2Y2NzQtNDZjYy05ODgyLTY0NjFiZTdkZDA2MA.pdf,http://regnskaber.virk.dk/86334892/ZG9rdW1lbnRsYWdlcjovLzAzLzU1LzgwLzVhLzE3L2QyNDktNGFlYS05MTAwLTMyYTFlY2Q1NjU2MQ.xml,Middelfart,5500.0,140.0,Gl. Strandvej,"7000, Fredericia",kapitalejeren,Regnskabsklasse B,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabsloven.,"Jeg anser den valgte regnskabspraksis for hensigtsmÃ¦ssig, og efter min opfattelse giver Ã¥rsregnskabet et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2015 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar - 31. december 2015.",Direktionen anser betingelserne for at undlade revision af Ã¥rsregnskabet for 2015 for opfyldt.,2016-05-02,2016-05-02,2016-05-13,Eksterne omkostninger omfatter omkostninger til administration.,390000.0,29843368.0,25492145.0,Direktionen har dags dato aflagt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar - 31. december 2015 for Danmark C Invest I ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, som beretningen omhandler.",Per Johansen,Per Johansen,Danmark C Invest I ApS,"BRANDT, Statsautoriseret Revisionspartnerselskab",Middelfart,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,Middelfart,2015-12-31,2015-01-01,2016-05-02,Fredericia,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:22366349,indberetninger-20180424,2.5118406,29843368.0,,2018-03-28T20:11:02.280Z,2016-05-16T14:04:44.569Z,regnskab,0.0,,2015-12-31,2015-01-01,X16-AV-96-TN,2016-05-16T14:04:44.662Z,,,,,,,,,,,,,,,,,,
29843368,2015-01-01,2015-01-01,c199,,http://regnskaber.virk.dk/86334892/ZG9rdW1lbnRsYWdlcjovLzAzL2FiLzUzLzc3L2U1L2Y2NzQtNDZjYy05ODgyLTY0NjFiZTdkZDA2MA.pdf,http://regnskaber.virk.dk/86334892/ZG9rdW1lbnRsYWdlcjovLzAzLzU1LzgwLzVhLzE3L2QyNDktNGFlYS05MTAwLTMyYTFlY2Q1NjU2MQ.xml,Middelfart,5500.0,140.0,Gl. Strandvej,"7000, Fredericia",kapitalejeren,Regnskabsklasse B,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabsloven.,"Jeg anser den valgte regnskabspraksis for hensigtsmÃ¦ssig, og efter min opfattelse giver Ã¥rsregnskabet et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2015 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar - 31. december 2015.",Direktionen anser betingelserne for at undlade revision af Ã¥rsregnskabet for 2015 for opfyldt.,2016-05-02,2016-05-02,2016-05-13,Eksterne omkostninger omfatter omkostninger til administration.,-387632.0,29843368.0,25492145.0,Direktionen har dags dato aflagt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar - 31. december 2015 for Danmark C Invest I ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, som beretningen omhandler.",Per Johansen,Per Johansen,Danmark C Invest I ApS,"BRANDT, Statsautoriseret Revisionspartnerselskab",Middelfart,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,Middelfart,2015-12-31,2015-01-01,2016-05-02,Fredericia,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:22366349,indberetninger-20180424,2.5118406,29843368.0,,2018-03-28T20:11:02.280Z,2016-05-16T14:04:44.569Z,regnskab,0.0,,2015-12-31,2015-01-01,X16-AV-96-TN,2016-05-16T14:04:44.662Z,,,,,,,,,,,,,,,,,,
