entity,start_date,end_date,context,AARSRAPPORT_html,AARSRAPPORT_pdf,AARSRAPPORT_xml,AccountingPoliciesAreUnchangedFromPreviousPeriod,AddressOfSubmittingEnterprisePostcodeAndTown,AddressOfSubmittingEnterpriseStreetAndNumber,AddresseeOfAuditorsReportOnOtherReport,ClassOfReportingEntity,ConfirmationThatAnnualReportIsPresentedInAccordanceWithRequirementsProvidedForByLegislationAnyStandardsAndRequirementsProvidedByArticlesOfAssociationOrByAgreement,ConfirmationThatFinancialStatementGivesTrueAndFairViewOfAssetsLiabilitiesEquityFinancialPositionAndResults,ConfirmationThatFinancialStatementsAreExemptedFromAuditing,DateOfApprovalOfAnnualReport,DateOfApprovalOfReport,DateOfFoundationOfReportingEntity,DateOfGeneralMeeting,EmailOfReportingEntity,IdentificationNumberCvrOfAuditFirm,IdentificationNumberCvrOfFinancialInstitution,IdentificationNumberCvrOfLawFirm,IdentificationNumberCvrOfReportingEntity,IdentificationNumberCvrOfSubmittingEnterprise,IdentificationNumberOfAuditor,IdentificationOfApprovedAnnualReport,InformationOnTypeOfSubmittedReport,ManagementsStatementAboutManagementsReview,NameAndSurnameOfAuditor,NameAndSurnameOfChairmanOfGeneralMeeting,NameOfAuditFirm,NameOfFinancialInstitution,NameOfLawFirm,NameOfReportingEntity,NameOfSubmittingEnterprise,PlaceOfSignatureOfStatement,PrecedingReportingPeriodStartDate,PredingReportingPeriodEndDate,ProfitLoss,RecommendationForApprovalOfAnnualReportByGeneralMeeting,RegisteredOfficeOfReportingEntity,ReportingPeriodEndDate,ReportingPeriodStartDate,SelectedElementsFromReportingClassC,SignatureOfAuditorsDate,SignatureOfAuditorsPlace,TelephoneNumberOfReportingEntity,TitleOfMemberOfExecutiveBoard,TypeOfAuditorAssistance,_id,_index,_score,cvrNummer,indlaesningsId,indlaesningsTidspunkt,offentliggoerelsesTidspunkt,offentliggoerelsestype,omgoerelse,regNummer,regnskabsperiode_slutDato,regnskabsperiode_startDato,sagsNummer,sidstOpdateret,AverageNumberOfEmployees,DepreciationAmortisationExpenseAndImpairmentLossesOfPropertyPlantAndEquipmentAndIntangibleAssetsRecognisedInProfitOrLoss,GrossProfitLoss,ImpairmentOfFinancialAssets,IncomeFromOtherLongtermInvestmentsAndReceivables,OtherFinanceExpenses,OtherFinanceIncome,ProfitLossFromOrdinaryActivitiesBeforeTax,ProfitLossFromOrdinaryOperatingActivities,TaxExpenseOnOrdinaryActivities,Assets,CashAndCashEquivalents,ContributedCapital,CurrentAssets,CurrentDeferredTaxAssets,DepositsLongtermLiabilitiesOtherThanProvisions,Equity,FixturesFittingsToolsAndEquipment,Inventories,LiabilitiesAndEquity,LiabilitiesOtherThanProvisions,LongtermInvestmentsAndReceivables,LongtermLiabilitiesOtherThanProvisions,NoncurrentAssets,OtherLongtermInvestments,OtherLongtermReceivables,OtherShorttermPayables,PropertyPlantAndEquipment,ProposedDividendRecognisedInEquity,RawMaterialsAndConsumables,RetainedEarnings,ShorttermLiabilitiesOtherThanProvisions,ShorttermMortgageDebt,ShorttermReceivables,ShorttermReceivablesFromGroupEnterprises,ShorttermReceivablesFromOwnersAndManagement,ShorttermTaxReceivables,ShorttermTradePayables,ShorttermTradeReceivables,NameAndSurnameOfMemberOfExecutiveBoard
13460574,2017-01-01,2017-12-31,ID_10,,http://regnskaber.virk.dk/47506431/ZG9rdW1lbnRsYWdlcjovLzAzLzg1LzFkLzJkLzJmLzJjNTctNGZiYy1hZGNkLTY2NjhkNzkyYTlhNg.pdf,http://regnskaber.virk.dk/47506431/ZG9rdW1lbnRsYWdlcjovLzAzLzg2LzEyLzNiL2MwLzQ4NjktNDE3Yi1iY2E4LTVmNTZkNDhmZWZhMg.xml,true,"Herning, 7400",Ãstergade 12,Til den daglige ledelse i Global Trading ApS,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2018 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar 2018 - 31. december 2018.",Betingelserne for at undlade revision af Ã¥rsregnskabet anses som opfyldt.,2019-04-24,2019-04-24,1989-10-01,2019-04-29,kontor@skovtex.dk,31626536.0,12345679.0,12345678.0,13460574.0,31626536.0,mne16922,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar 2018 - 31. december 2018 for Global Trading ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Flemming MÃ¸rup,Michael Skov,ANKER HÃST,Nykredit Bank A/S,Advokatfirmaet DAHL,Global Trading ApS,"ANKER HÃST, registreret revisionsaktieselskab",Herning,2017-01-01,2017-12-31,0.0,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,"657, Herning",2018-12-31,2018-01-01,false,2019-04-24,Herning,40 35 80 33,DirektÃ¸r,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:27050796,indberetninger-20180424,2.5124316,13460574.0,AWpt_JjsRYGX6_YTHP8L,2019-04-30T11:23:54.718Z,2019-04-30T11:23:51.298Z,regnskab,0.0,,2018-12-31,2018-01-01,X19-AZ-99-SS,2019-04-30T11:23:51.504Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13460574,2017-01-01,2017-12-31,ID_12,,http://regnskaber.virk.dk/47506431/ZG9rdW1lbnRsYWdlcjovLzAzLzg1LzFkLzJkLzJmLzJjNTctNGZiYy1hZGNkLTY2NjhkNzkyYTlhNg.pdf,http://regnskaber.virk.dk/47506431/ZG9rdW1lbnRsYWdlcjovLzAzLzg2LzEyLzNiL2MwLzQ4NjktNDE3Yi1iY2E4LTVmNTZkNDhmZWZhMg.xml,true,"Herning, 7400",Ãstergade 12,Til den daglige ledelse i Global Trading ApS,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2018 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar 2018 - 31. december 2018.",Betingelserne for at undlade revision af Ã¥rsregnskabet anses som opfyldt.,2019-04-24,2019-04-24,1989-10-01,2019-04-29,kontor@skovtex.dk,31626536.0,12345679.0,12345678.0,13460574.0,31626536.0,mne16922,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar 2018 - 31. december 2018 for Global Trading ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Flemming MÃ¸rup,Michael Skov,ANKER HÃST,Nykredit Bank A/S,Advokatfirmaet DAHL,Global Trading ApS,"ANKER HÃST, registreret revisionsaktieselskab",Herning,2017-01-01,2017-12-31,143482.0,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,"657, Herning",2018-12-31,2018-01-01,false,2019-04-24,Herning,40 35 80 33,DirektÃ¸r,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:27050796,indberetninger-20180424,2.5124316,13460574.0,AWpt_JjsRYGX6_YTHP8L,2019-04-30T11:23:54.718Z,2019-04-30T11:23:51.298Z,regnskab,0.0,,2018-12-31,2018-01-01,X19-AZ-99-SS,2019-04-30T11:23:51.504Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13460574,2017-01-01,2017-12-31,ID_14,,http://regnskaber.virk.dk/47506431/ZG9rdW1lbnRsYWdlcjovLzAzLzg1LzFkLzJkLzJmLzJjNTctNGZiYy1hZGNkLTY2NjhkNzkyYTlhNg.pdf,http://regnskaber.virk.dk/47506431/ZG9rdW1lbnRsYWdlcjovLzAzLzg2LzEyLzNiL2MwLzQ4NjktNDE3Yi1iY2E4LTVmNTZkNDhmZWZhMg.xml,true,"Herning, 7400",Ãstergade 12,Til den daglige ledelse i Global Trading ApS,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2018 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar 2018 - 31. december 2018.",Betingelserne for at undlade revision af Ã¥rsregnskabet anses som opfyldt.,2019-04-24,2019-04-24,1989-10-01,2019-04-29,kontor@skovtex.dk,31626536.0,12345679.0,12345678.0,13460574.0,31626536.0,mne16922,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar 2018 - 31. december 2018 for Global Trading ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Flemming MÃ¸rup,Michael Skov,ANKER HÃST,Nykredit Bank A/S,Advokatfirmaet DAHL,Global Trading ApS,"ANKER HÃST, registreret revisionsaktieselskab",Herning,2017-01-01,2017-12-31,100000.0,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,"657, Herning",2018-12-31,2018-01-01,false,2019-04-24,Herning,40 35 80 33,DirektÃ¸r,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:27050796,indberetninger-20180424,2.5124316,13460574.0,AWpt_JjsRYGX6_YTHP8L,2019-04-30T11:23:54.718Z,2019-04-30T11:23:51.298Z,regnskab,0.0,,2018-12-31,2018-01-01,X19-AZ-99-SS,2019-04-30T11:23:51.504Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13460574,2017-01-01,2017-12-31,ID_8,,http://regnskaber.virk.dk/47506431/ZG9rdW1lbnRsYWdlcjovLzAzLzg1LzFkLzJkLzJmLzJjNTctNGZiYy1hZGNkLTY2NjhkNzkyYTlhNg.pdf,http://regnskaber.virk.dk/47506431/ZG9rdW1lbnRsYWdlcjovLzAzLzg2LzEyLzNiL2MwLzQ4NjktNDE3Yi1iY2E4LTVmNTZkNDhmZWZhMg.xml,true,"Herning, 7400",Ãstergade 12,Til den daglige ledelse i Global Trading ApS,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2018 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar 2018 - 31. december 2018.",Betingelserne for at undlade revision af Ã¥rsregnskabet anses som opfyldt.,2019-04-24,2019-04-24,1989-10-01,2019-04-29,kontor@skovtex.dk,31626536.0,12345679.0,12345678.0,13460574.0,31626536.0,mne16922,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar 2018 - 31. december 2018 for Global Trading ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Flemming MÃ¸rup,Michael Skov,ANKER HÃST,Nykredit Bank A/S,Advokatfirmaet DAHL,Global Trading ApS,"ANKER HÃST, registreret revisionsaktieselskab",Herning,2017-01-01,2017-12-31,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,"657, Herning",2018-12-31,2018-01-01,false,2019-04-24,Herning,40 35 80 33,DirektÃ¸r,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:27050796,indberetninger-20180424,2.5124316,13460574.0,AWpt_JjsRYGX6_YTHP8L,2019-04-30T11:23:54.718Z,2019-04-30T11:23:51.298Z,regnskab,0.0,,2018-12-31,2018-01-01,X19-AZ-99-SS,2019-04-30T11:23:51.504Z,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13460574,2017-01-01,2017-12-31,ID_9,,http://regnskaber.virk.dk/47506431/ZG9rdW1lbnRsYWdlcjovLzAzLzg1LzFkLzJkLzJmLzJjNTctNGZiYy1hZGNkLTY2NjhkNzkyYTlhNg.pdf,http://regnskaber.virk.dk/47506431/ZG9rdW1lbnRsYWdlcjovLzAzLzg2LzEyLzNiL2MwLzQ4NjktNDE3Yi1iY2E4LTVmNTZkNDhmZWZhMg.xml,true,"Herning, 7400",Ãstergade 12,Til den daglige ledelse i Global Trading ApS,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2018 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar 2018 - 31. december 2018.",Betingelserne for at undlade revision af Ã¥rsregnskabet anses som opfyldt.,2019-04-24,2019-04-24,1989-10-01,2019-04-29,kontor@skovtex.dk,31626536.0,12345679.0,12345678.0,13460574.0,31626536.0,mne16922,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar 2018 - 31. december 2018 for Global Trading ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Flemming MÃ¸rup,Michael Skov,ANKER HÃST,Nykredit Bank A/S,Advokatfirmaet DAHL,Global Trading ApS,"ANKER HÃST, registreret revisionsaktieselskab",Herning,2017-01-01,2017-12-31,243482.0,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,"657, Herning",2018-12-31,2018-01-01,false,2019-04-24,Herning,40 35 80 33,DirektÃ¸r,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:27050796,indberetninger-20180424,2.5124316,13460574.0,AWpt_JjsRYGX6_YTHP8L,2019-04-30T11:23:54.718Z,2019-04-30T11:23:51.298Z,regnskab,0.0,,2018-12-31,2018-01-01,X19-AZ-99-SS,2019-04-30T11:23:51.504Z,,298041.0,547177.0,0.0,49524.0,260.0,13194.0,311594.0,249136.0,68112.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13460574,2017-12-31,2017-12-31,ID_6,,http://regnskaber.virk.dk/47506431/ZG9rdW1lbnRsYWdlcjovLzAzLzg1LzFkLzJkLzJmLzJjNTctNGZiYy1hZGNkLTY2NjhkNzkyYTlhNg.pdf,http://regnskaber.virk.dk/47506431/ZG9rdW1lbnRsYWdlcjovLzAzLzg2LzEyLzNiL2MwLzQ4NjktNDE3Yi1iY2E4LTVmNTZkNDhmZWZhMg.xml,true,"Herning, 7400",Ãstergade 12,Til den daglige ledelse i Global Trading ApS,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2018 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar 2018 - 31. december 2018.",Betingelserne for at undlade revision af Ã¥rsregnskabet anses som opfyldt.,2019-04-24,2019-04-24,1989-10-01,2019-04-29,kontor@skovtex.dk,31626536.0,12345679.0,12345678.0,13460574.0,31626536.0,mne16922,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar 2018 - 31. december 2018 for Global Trading ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Flemming MÃ¸rup,Michael Skov,ANKER HÃST,Nykredit Bank A/S,Advokatfirmaet DAHL,Global Trading ApS,"ANKER HÃST, registreret revisionsaktieselskab",Herning,2017-01-01,2017-12-31,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,"657, Herning",2018-12-31,2018-01-01,false,2019-04-24,Herning,40 35 80 33,DirektÃ¸r,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:27050796,indberetninger-20180424,2.5124316,13460574.0,AWpt_JjsRYGX6_YTHP8L,2019-04-30T11:23:54.718Z,2019-04-30T11:23:51.298Z,regnskab,0.0,,2018-12-31,2018-01-01,X19-AZ-99-SS,2019-04-30T11:23:51.504Z,,,,,,,,,,,2015610.0,116444.0,200000.0,655057.0,19427.0,83781.0,1892794.0,1106777.0,430499.0,2015610.0,122816.0,253776.0,83781.0,1360553.0,253776.0,0.0,19235.0,1106777.0,100000.0,430499.0,1592794.0,39035.0,0.0,108114.0,42730.0,6355.0,26807.0,19800.0,12795.0,
13460574,2018-01-01,2018-12-31,ID_0,,http://regnskaber.virk.dk/47506431/ZG9rdW1lbnRsYWdlcjovLzAzLzg1LzFkLzJkLzJmLzJjNTctNGZiYy1hZGNkLTY2NjhkNzkyYTlhNg.pdf,http://regnskaber.virk.dk/47506431/ZG9rdW1lbnRsYWdlcjovLzAzLzg2LzEyLzNiL2MwLzQ4NjktNDE3Yi1iY2E4LTVmNTZkNDhmZWZhMg.xml,true,"Herning, 7400",Ãstergade 12,Til den daglige ledelse i Global Trading ApS,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2018 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar 2018 - 31. december 2018.",Betingelserne for at undlade revision af Ã¥rsregnskabet anses som opfyldt.,2019-04-24,2019-04-24,1989-10-01,2019-04-29,kontor@skovtex.dk,31626536.0,12345679.0,12345678.0,13460574.0,31626536.0,mne16922,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar 2018 - 31. december 2018 for Global Trading ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Flemming MÃ¸rup,Michael Skov,ANKER HÃST,Nykredit Bank A/S,Advokatfirmaet DAHL,Global Trading ApS,"ANKER HÃST, registreret revisionsaktieselskab",Herning,2017-01-01,2017-12-31,-201624.0,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,"657, Herning",2018-12-31,2018-01-01,false,2019-04-24,Herning,40 35 80 33,DirektÃ¸r,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:27050796,indberetninger-20180424,2.5124316,13460574.0,AWpt_JjsRYGX6_YTHP8L,2019-04-30T11:23:54.718Z,2019-04-30T11:23:51.298Z,regnskab,0.0,,2018-12-31,2018-01-01,X19-AZ-99-SS,2019-04-30T11:23:51.504Z,,285860.0,45456.0,13948.0,9188.0,14935.0,1620.0,-258479.0,-240404.0,-56855.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13460574,2018-01-01,2018-12-31,ID_1,,http://regnskaber.virk.dk/47506431/ZG9rdW1lbnRsYWdlcjovLzAzLzg1LzFkLzJkLzJmLzJjNTctNGZiYy1hZGNkLTY2NjhkNzkyYTlhNg.pdf,http://regnskaber.virk.dk/47506431/ZG9rdW1lbnRsYWdlcjovLzAzLzg2LzEyLzNiL2MwLzQ4NjktNDE3Yi1iY2E4LTVmNTZkNDhmZWZhMg.xml,true,"Herning, 7400",Ãstergade 12,Til den daglige ledelse i Global Trading ApS,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2018 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar 2018 - 31. december 2018.",Betingelserne for at undlade revision af Ã¥rsregnskabet anses som opfyldt.,2019-04-24,2019-04-24,1989-10-01,2019-04-29,kontor@skovtex.dk,31626536.0,12345679.0,12345678.0,13460574.0,31626536.0,mne16922,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar 2018 - 31. december 2018 for Global Trading ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Flemming MÃ¸rup,Michael Skov,ANKER HÃST,Nykredit Bank A/S,Advokatfirmaet DAHL,Global Trading ApS,"ANKER HÃST, registreret revisionsaktieselskab",Herning,2017-01-01,2017-12-31,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,"657, Herning",2018-12-31,2018-01-01,false,2019-04-24,Herning,40 35 80 33,DirektÃ¸r,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:27050796,indberetninger-20180424,2.5124316,13460574.0,AWpt_JjsRYGX6_YTHP8L,2019-04-30T11:23:54.718Z,2019-04-30T11:23:51.298Z,regnskab,0.0,,2018-12-31,2018-01-01,X19-AZ-99-SS,2019-04-30T11:23:51.504Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13460574,2018-01-01,2018-12-31,ID_11,,http://regnskaber.virk.dk/47506431/ZG9rdW1lbnRsYWdlcjovLzAzLzg1LzFkLzJkLzJmLzJjNTctNGZiYy1hZGNkLTY2NjhkNzkyYTlhNg.pdf,http://regnskaber.virk.dk/47506431/ZG9rdW1lbnRsYWdlcjovLzAzLzg2LzEyLzNiL2MwLzQ4NjktNDE3Yi1iY2E4LTVmNTZkNDhmZWZhMg.xml,true,"Herning, 7400",Ãstergade 12,Til den daglige ledelse i Global Trading ApS,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2018 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar 2018 - 31. december 2018.",Betingelserne for at undlade revision af Ã¥rsregnskabet anses som opfyldt.,2019-04-24,2019-04-24,1989-10-01,2019-04-29,kontor@skovtex.dk,31626536.0,12345679.0,12345678.0,13460574.0,31626536.0,mne16922,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar 2018 - 31. december 2018 for Global Trading ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Flemming MÃ¸rup,Michael Skov,ANKER HÃST,Nykredit Bank A/S,Advokatfirmaet DAHL,Global Trading ApS,"ANKER HÃST, registreret revisionsaktieselskab",Herning,2017-01-01,2017-12-31,-207979.0,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,"657, Herning",2018-12-31,2018-01-01,false,2019-04-24,Herning,40 35 80 33,DirektÃ¸r,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:27050796,indberetninger-20180424,2.5124316,13460574.0,AWpt_JjsRYGX6_YTHP8L,2019-04-30T11:23:54.718Z,2019-04-30T11:23:51.298Z,regnskab,0.0,,2018-12-31,2018-01-01,X19-AZ-99-SS,2019-04-30T11:23:51.504Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13460574,2018-01-01,2018-12-31,ID_13,,http://regnskaber.virk.dk/47506431/ZG9rdW1lbnRsYWdlcjovLzAzLzg1LzFkLzJkLzJmLzJjNTctNGZiYy1hZGNkLTY2NjhkNzkyYTlhNg.pdf,http://regnskaber.virk.dk/47506431/ZG9rdW1lbnRsYWdlcjovLzAzLzg2LzEyLzNiL2MwLzQ4NjktNDE3Yi1iY2E4LTVmNTZkNDhmZWZhMg.xml,true,"Herning, 7400",Ãstergade 12,Til den daglige ledelse i Global Trading ApS,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2018 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar 2018 - 31. december 2018.",Betingelserne for at undlade revision af Ã¥rsregnskabet anses som opfyldt.,2019-04-24,2019-04-24,1989-10-01,2019-04-29,kontor@skovtex.dk,31626536.0,12345679.0,12345678.0,13460574.0,31626536.0,mne16922,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar 2018 - 31. december 2018 for Global Trading ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Flemming MÃ¸rup,Michael Skov,ANKER HÃST,Nykredit Bank A/S,Advokatfirmaet DAHL,Global Trading ApS,"ANKER HÃST, registreret revisionsaktieselskab",Herning,2017-01-01,2017-12-31,0.0,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,"657, Herning",2018-12-31,2018-01-01,false,2019-04-24,Herning,40 35 80 33,DirektÃ¸r,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:27050796,indberetninger-20180424,2.5124316,13460574.0,AWpt_JjsRYGX6_YTHP8L,2019-04-30T11:23:54.718Z,2019-04-30T11:23:51.298Z,regnskab,0.0,,2018-12-31,2018-01-01,X19-AZ-99-SS,2019-04-30T11:23:51.504Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
