entity,start_date,end_date,context,AARSRAPPORT_html,AARSRAPPORT_pdf,AARSRAPPORT_xml,AccountingPoliciesAreUnchangedFromPreviousPeriod,AddressOfSubmittingEnterprisePostcodeAndTown,AddressOfSubmittingEnterpriseStreetAndNumber,AddresseeOfAuditorsReportOnAuditedFinancialStatements,AverageNumberOfEmployees,ClassOfReportingEntity,ConfirmationThatAnnualReportIsPresentedInAccordanceWithRequirementsProvidedForByLegislationAnyStandardsAndRequirementsProvidedByArticlesOfAssociationOrByAgreement,ConfirmationThatFinancialStatementGivesTrueAndFairViewOfAssetsLiabilitiesEquityFinancialPositionAndResults,DateOfApprovalOfAnnualReport,DateOfApprovalOfReport,DateOfFoundationOfReportingEntity,DateOfGeneralMeeting,DepreciationAmortisationExpenseAndImpairmentLossesOfPropertyPlantAndEquipmentAndIntangibleAssetsRecognisedInProfitOrLoss,EmployeeBenefitsExpense,GrossProfitLoss,IdentificationNumberCvrOfAuditFirm,IdentificationNumberCvrOfReportingEntity,IdentificationNumberCvrOfSubmittingEnterprise,IdentificationNumberOfAuditor,IdentificationOfApprovedAnnualReport,InformationOnTypeOfSubmittedReport,ManagementsStatementAboutManagementsReview,NameAndSurnameOfAuditor,NameAndSurnameOfChairmanOfGeneralMeeting,NameOfAuditFirm,NameOfFinancialInstitution,NameOfReportingEntity,NameOfSubmittingEnterprise,OtherFinanceExpenses,PlaceOfSignatureOfStatement,PrecedingReportingPeriodStartDate,PredingReportingPeriodEndDate,ProfitLoss,ProfitLossFromOrdinaryActivitiesBeforeTax,ProfitLossFromOrdinaryOperatingActivities,RecommendationForApprovalOfAnnualReportByGeneralMeeting,RegisteredOfficeOfReportingEntity,ReportingPeriodEndDate,ReportingPeriodStartDate,SelectedElementsFromReportingClassC,SignatureOfAuditorsDate,SignatureOfAuditorsPlace,TaxExpenseOnOrdinaryActivities,TitleOfMemberOfExecutiveBoard,TypeOfAuditorAssistance,_id,_index,_score,cvrNummer,indlaesningsId,indlaesningsTidspunkt,offentliggoerelsesTidspunkt,offentliggoerelsestype,omgoerelse,regNummer,regnskabsperiode_slutDato,regnskabsperiode_startDato,sagsNummer,sidstOpdateret,Assets,CashAndCashEquivalents,ContributedCapital,CurrentAssets,DepositsLongtermInvestmentsAndReceivables,Equity,FixturesFittingsToolsAndEquipment,LiabilitiesAndEquity,LiabilitiesOtherThanProvisions,LongtermInvestmentsAndReceivables,LongtermLiabilitiesOtherThanProvisions,LongtermPrepaymentsReceivedFromCustomers,NoncurrentAssets,OtherShorttermPayables,OtherShorttermReceivables,PropertyPlantAndEquipment,ProposedDividendRecognisedInEquity,RetainedEarnings,ShorttermDebtToBanks,ShorttermLiabilitiesOtherThanProvisions,ShorttermPayablesToShareholdersAndManagement,ShorttermPrepaymentsReceivedFromCustomers,ShorttermReceivables,ShorttermReceivablesFromGroupEnterprises,ShorttermTaxPayables,ShorttermTradePayables,ShorttermTradeReceivables,NameAndSurnameOfMemberOfExecutiveBoard,NameAndSurnameOfMemberOfSupervisoryBoard,TitleOfMemberOfSupervisoryBoard
24229262,2017-01-01,2017-12-31,ID_12,,http://regnskaber.virk.dk/26292242/ZG9rdW1lbnRsYWdlcjovLzAzLzNkLzViLzE1L2Y1LzU5Y2ItNDA4MC05MWQ4LTQ2N2QxOGNjNzM3Zg.pdf,http://regnskaber.virk.dk/26292242/ZG9rdW1lbnRsYWdlcjovLzAzL2U3LzU2L2Q3LzE4L2I3YzAtNDYxMS05YTIwLTFiNDBjNzc1MjdmZg.xml,true,"Hellerup, 2900","Tuborg Boulevard 12, 3.",Til kapitalejerne i Art Management ApS,4.0,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31-12-2018 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 01-01-2018 - 31-12-2018.",2019-03-20,2019-03-20,1999-07-01,2019-03-20,0.0,22648686.0,26144091.0,28108303.0,24229262.0,28108303.0,mne2738,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 01-01-2018 - 31-12-2018 for Art Management ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Steen Gilfelt,Bent FlintsÃ¸,Gilfelt Revision ApS,Danske Bank A/S,Art Management ApS,Gilfelt Revision ApS,37459.0,KÃ¸benhavn,2017-01-01,2017-12-31,2645398.0,3457946.0,3495405.0,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,"KÃ¸benhavn, 101",2018-12-31,2018-01-01,false,2019-03-05,Hellerup,812548.0,Bestyrelsesmedlem/DirektÃ¸r,RevisionspÃ¥tegning,urn:ofk:oid:26869237,indberetninger-20180424,2.5118417999999996,24229262.0,AWmphCs0RYGX6_YTGJur,2019-03-23T07:47:11.893Z,2019-03-23T07:46:44.223Z,regnskab,0.0,,2018-12-31,2018-01-01,X19-AT-77-GY,2019-03-23T07:46:44.546Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24229262,2017-01-01,2017-12-31,ID_13,,http://regnskaber.virk.dk/26292242/ZG9rdW1lbnRsYWdlcjovLzAzLzNkLzViLzE1L2Y1LzU5Y2ItNDA4MC05MWQ4LTQ2N2QxOGNjNzM3Zg.pdf,http://regnskaber.virk.dk/26292242/ZG9rdW1lbnRsYWdlcjovLzAzL2U3LzU2L2Q3LzE4L2I3YzAtNDYxMS05YTIwLTFiNDBjNzc1MjdmZg.xml,true,"Hellerup, 2900","Tuborg Boulevard 12, 3.",Til kapitalejerne i Art Management ApS,4.0,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31-12-2018 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 01-01-2018 - 31-12-2018.",2019-03-20,2019-03-20,1999-07-01,2019-03-20,,,,28108303.0,24229262.0,28108303.0,mne2738,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 01-01-2018 - 31-12-2018 for Art Management ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Steen Gilfelt,Bent FlintsÃ¸,Gilfelt Revision ApS,Danske Bank A/S,Art Management ApS,Gilfelt Revision ApS,,KÃ¸benhavn,2017-01-01,2017-12-31,1500000.0,,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,"KÃ¸benhavn, 101",2018-12-31,2018-01-01,false,2019-03-05,Hellerup,,Bestyrelsesmedlem/DirektÃ¸r,RevisionspÃ¥tegning,urn:ofk:oid:26869237,indberetninger-20180424,2.5118417999999996,24229262.0,AWmphCs0RYGX6_YTGJur,2019-03-23T07:47:11.893Z,2019-03-23T07:46:44.223Z,regnskab,0.0,,2018-12-31,2018-01-01,X19-AT-77-GY,2019-03-23T07:46:44.546Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24229262,2017-01-01,2017-12-31,ID_15,,http://regnskaber.virk.dk/26292242/ZG9rdW1lbnRsYWdlcjovLzAzLzNkLzViLzE1L2Y1LzU5Y2ItNDA4MC05MWQ4LTQ2N2QxOGNjNzM3Zg.pdf,http://regnskaber.virk.dk/26292242/ZG9rdW1lbnRsYWdlcjovLzAzL2U3LzU2L2Q3LzE4L2I3YzAtNDYxMS05YTIwLTFiNDBjNzc1MjdmZg.xml,true,"Hellerup, 2900","Tuborg Boulevard 12, 3.",Til kapitalejerne i Art Management ApS,4.0,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31-12-2018 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 01-01-2018 - 31-12-2018.",2019-03-20,2019-03-20,1999-07-01,2019-03-20,,,,28108303.0,24229262.0,28108303.0,mne2738,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 01-01-2018 - 31-12-2018 for Art Management ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Steen Gilfelt,Bent FlintsÃ¸,Gilfelt Revision ApS,Danske Bank A/S,Art Management ApS,Gilfelt Revision ApS,,KÃ¸benhavn,2017-01-01,2017-12-31,1145399.0,,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,"KÃ¸benhavn, 101",2018-12-31,2018-01-01,false,2019-03-05,Hellerup,,Bestyrelsesmedlem/DirektÃ¸r,RevisionspÃ¥tegning,urn:ofk:oid:26869237,indberetninger-20180424,2.5118417999999996,24229262.0,AWmphCs0RYGX6_YTGJur,2019-03-23T07:47:11.893Z,2019-03-23T07:46:44.223Z,regnskab,0.0,,2018-12-31,2018-01-01,X19-AT-77-GY,2019-03-23T07:46:44.546Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24229262,2017-12-31,2017-12-31,ID_10,,http://regnskaber.virk.dk/26292242/ZG9rdW1lbnRsYWdlcjovLzAzLzNkLzViLzE1L2Y1LzU5Y2ItNDA4MC05MWQ4LTQ2N2QxOGNjNzM3Zg.pdf,http://regnskaber.virk.dk/26292242/ZG9rdW1lbnRsYWdlcjovLzAzL2U3LzU2L2Q3LzE4L2I3YzAtNDYxMS05YTIwLTFiNDBjNzc1MjdmZg.xml,true,"Hellerup, 2900","Tuborg Boulevard 12, 3.",Til kapitalejerne i Art Management ApS,4.0,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31-12-2018 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 01-01-2018 - 31-12-2018.",2019-03-20,2019-03-20,1999-07-01,2019-03-20,,,,28108303.0,24229262.0,28108303.0,mne2738,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 01-01-2018 - 31-12-2018 for Art Management ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Steen Gilfelt,Bent FlintsÃ¸,Gilfelt Revision ApS,Danske Bank A/S,Art Management ApS,Gilfelt Revision ApS,,KÃ¸benhavn,2017-01-01,2017-12-31,,,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,"KÃ¸benhavn, 101",2018-12-31,2018-01-01,false,2019-03-05,Hellerup,,Bestyrelsesmedlem/DirektÃ¸r,RevisionspÃ¥tegning,urn:ofk:oid:26869237,indberetninger-20180424,2.5118417999999996,24229262.0,AWmphCs0RYGX6_YTGJur,2019-03-23T07:47:11.893Z,2019-03-23T07:46:44.223Z,regnskab,0.0,,2018-12-31,2018-01-01,X19-AT-77-GY,2019-03-23T07:46:44.546Z,9250040.0,5210270.0,125000.0,9113322.0,136717.0,3942637.0,1.0,9250041.0,5307404.0,136717.0,82266.0,82266.0,136718.0,1321755.0,481462.0,1.0,1500000.0,2317637.0,15983.0,5225138.0,198722.0,1740300.0,3903052.0,2145515.0,812548.0,1135830.0,1276075.0,,,
24229262,2018-01-01,2018-12-31,ID_0,,http://regnskaber.virk.dk/26292242/ZG9rdW1lbnRsYWdlcjovLzAzLzNkLzViLzE1L2Y1LzU5Y2ItNDA4MC05MWQ4LTQ2N2QxOGNjNzM3Zg.pdf,http://regnskaber.virk.dk/26292242/ZG9rdW1lbnRsYWdlcjovLzAzL2U3LzU2L2Q3LzE4L2I3YzAtNDYxMS05YTIwLTFiNDBjNzc1MjdmZg.xml,true,"Hellerup, 2900","Tuborg Boulevard 12, 3.",Til kapitalejerne i Art Management ApS,4.0,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31-12-2018 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 01-01-2018 - 31-12-2018.",2019-03-20,2019-03-20,1999-07-01,2019-03-20,77190.0,23789188.0,28969952.0,28108303.0,24229262.0,28108303.0,mne2738,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 01-01-2018 - 31-12-2018 for Art Management ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Steen Gilfelt,Bent FlintsÃ¸,Gilfelt Revision ApS,Danske Bank A/S,Art Management ApS,Gilfelt Revision ApS,4821.0,KÃ¸benhavn,2017-01-01,2017-12-31,3942279.0,5098753.0,5103574.0,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,"KÃ¸benhavn, 101",2018-12-31,2018-01-01,false,2019-03-05,Hellerup,1156474.0,Bestyrelsesmedlem/DirektÃ¸r,RevisionspÃ¥tegning,urn:ofk:oid:26869237,indberetninger-20180424,2.5118417999999996,24229262.0,AWmphCs0RYGX6_YTGJur,2019-03-23T07:47:11.893Z,2019-03-23T07:46:44.223Z,regnskab,0.0,,2018-12-31,2018-01-01,X19-AT-77-GY,2019-03-23T07:46:44.546Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24229262,2018-01-01,2018-12-31,ID_1,,http://regnskaber.virk.dk/26292242/ZG9rdW1lbnRsYWdlcjovLzAzLzNkLzViLzE1L2Y1LzU5Y2ItNDA4MC05MWQ4LTQ2N2QxOGNjNzM3Zg.pdf,http://regnskaber.virk.dk/26292242/ZG9rdW1lbnRsYWdlcjovLzAzL2U3LzU2L2Q3LzE4L2I3YzAtNDYxMS05YTIwLTFiNDBjNzc1MjdmZg.xml,true,"Hellerup, 2900","Tuborg Boulevard 12, 3.",Til kapitalejerne i Art Management ApS,4.0,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31-12-2018 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 01-01-2018 - 31-12-2018.",2019-03-20,2019-03-20,1999-07-01,2019-03-20,,,,28108303.0,24229262.0,28108303.0,mne2738,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 01-01-2018 - 31-12-2018 for Art Management ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Steen Gilfelt,Bent FlintsÃ¸,Gilfelt Revision ApS,Danske Bank A/S,Art Management ApS,Gilfelt Revision ApS,,KÃ¸benhavn,2017-01-01,2017-12-31,,,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,"KÃ¸benhavn, 101",2018-12-31,2018-01-01,false,2019-03-05,Hellerup,,Bestyrelsesmedlem/DirektÃ¸r,RevisionspÃ¥tegning,urn:ofk:oid:26869237,indberetninger-20180424,2.5118417999999996,24229262.0,AWmphCs0RYGX6_YTGJur,2019-03-23T07:47:11.893Z,2019-03-23T07:46:44.223Z,regnskab,0.0,,2018-12-31,2018-01-01,X19-AT-77-GY,2019-03-23T07:46:44.546Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24229262,2018-01-01,2018-12-31,ID_11,,http://regnskaber.virk.dk/26292242/ZG9rdW1lbnRsYWdlcjovLzAzLzNkLzViLzE1L2Y1LzU5Y2ItNDA4MC05MWQ4LTQ2N2QxOGNjNzM3Zg.pdf,http://regnskaber.virk.dk/26292242/ZG9rdW1lbnRsYWdlcjovLzAzL2U3LzU2L2Q3LzE4L2I3YzAtNDYxMS05YTIwLTFiNDBjNzc1MjdmZg.xml,true,"Hellerup, 2900","Tuborg Boulevard 12, 3.",Til kapitalejerne i Art Management ApS,4.0,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31-12-2018 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 01-01-2018 - 31-12-2018.",2019-03-20,2019-03-20,1999-07-01,2019-03-20,,,,28108303.0,24229262.0,28108303.0,mne2738,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 01-01-2018 - 31-12-2018 for Art Management ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Steen Gilfelt,Bent FlintsÃ¸,Gilfelt Revision ApS,Danske Bank A/S,Art Management ApS,Gilfelt Revision ApS,,KÃ¸benhavn,2017-01-01,2017-12-31,,,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,"KÃ¸benhavn, 101",2018-12-31,2018-01-01,false,2019-03-05,Hellerup,,Bestyrelsesmedlem/DirektÃ¸r,RevisionspÃ¥tegning,urn:ofk:oid:26869237,indberetninger-20180424,2.5118417999999996,24229262.0,AWmphCs0RYGX6_YTGJur,2019-03-23T07:47:11.893Z,2019-03-23T07:46:44.223Z,regnskab,0.0,,2018-12-31,2018-01-01,X19-AT-77-GY,2019-03-23T07:46:44.546Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24229262,2018-01-01,2018-12-31,ID_14,,http://regnskaber.virk.dk/26292242/ZG9rdW1lbnRsYWdlcjovLzAzLzNkLzViLzE1L2Y1LzU5Y2ItNDA4MC05MWQ4LTQ2N2QxOGNjNzM3Zg.pdf,http://regnskaber.virk.dk/26292242/ZG9rdW1lbnRsYWdlcjovLzAzL2U3LzU2L2Q3LzE4L2I3YzAtNDYxMS05YTIwLTFiNDBjNzc1MjdmZg.xml,true,"Hellerup, 2900","Tuborg Boulevard 12, 3.",Til kapitalejerne i Art Management ApS,4.0,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31-12-2018 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 01-01-2018 - 31-12-2018.",2019-03-20,2019-03-20,1999-07-01,2019-03-20,,,,28108303.0,24229262.0,28108303.0,mne2738,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 01-01-2018 - 31-12-2018 for Art Management ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Steen Gilfelt,Bent FlintsÃ¸,Gilfelt Revision ApS,Danske Bank A/S,Art Management ApS,Gilfelt Revision ApS,,KÃ¸benhavn,2017-01-01,2017-12-31,442279.0,,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,"KÃ¸benhavn, 101",2018-12-31,2018-01-01,false,2019-03-05,Hellerup,,Bestyrelsesmedlem/DirektÃ¸r,RevisionspÃ¥tegning,urn:ofk:oid:26869237,indberetninger-20180424,2.5118417999999996,24229262.0,AWmphCs0RYGX6_YTGJur,2019-03-23T07:47:11.893Z,2019-03-23T07:46:44.223Z,regnskab,0.0,,2018-12-31,2018-01-01,X19-AT-77-GY,2019-03-23T07:46:44.546Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24229262,2018-01-01,2018-12-31,ID_16,,http://regnskaber.virk.dk/26292242/ZG9rdW1lbnRsYWdlcjovLzAzLzNkLzViLzE1L2Y1LzU5Y2ItNDA4MC05MWQ4LTQ2N2QxOGNjNzM3Zg.pdf,http://regnskaber.virk.dk/26292242/ZG9rdW1lbnRsYWdlcjovLzAzL2U3LzU2L2Q3LzE4L2I3YzAtNDYxMS05YTIwLTFiNDBjNzc1MjdmZg.xml,true,"Hellerup, 2900","Tuborg Boulevard 12, 3.",Til kapitalejerne i Art Management ApS,4.0,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31-12-2018 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 01-01-2018 - 31-12-2018.",2019-03-20,2019-03-20,1999-07-01,2019-03-20,,,,28108303.0,24229262.0,28108303.0,mne2738,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 01-01-2018 - 31-12-2018 for Art Management ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Steen Gilfelt,Bent FlintsÃ¸,Gilfelt Revision ApS,Danske Bank A/S,Art Management ApS,Gilfelt Revision ApS,,KÃ¸benhavn,2017-01-01,2017-12-31,3500000.0,,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,"KÃ¸benhavn, 101",2018-12-31,2018-01-01,false,2019-03-05,Hellerup,,Bestyrelsesmedlem/DirektÃ¸r,RevisionspÃ¥tegning,urn:ofk:oid:26869237,indberetninger-20180424,2.5118417999999996,24229262.0,AWmphCs0RYGX6_YTGJur,2019-03-23T07:47:11.893Z,2019-03-23T07:46:44.223Z,regnskab,0.0,,2018-12-31,2018-01-01,X19-AT-77-GY,2019-03-23T07:46:44.546Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24229262,2018-01-01,2018-12-31,ID_2,,http://regnskaber.virk.dk/26292242/ZG9rdW1lbnRsYWdlcjovLzAzLzNkLzViLzE1L2Y1LzU5Y2ItNDA4MC05MWQ4LTQ2N2QxOGNjNzM3Zg.pdf,http://regnskaber.virk.dk/26292242/ZG9rdW1lbnRsYWdlcjovLzAzL2U3LzU2L2Q3LzE4L2I3YzAtNDYxMS05YTIwLTFiNDBjNzc1MjdmZg.xml,true,"Hellerup, 2900","Tuborg Boulevard 12, 3.",Til kapitalejerne i Art Management ApS,4.0,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31-12-2018 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 01-01-2018 - 31-12-2018.",2019-03-20,2019-03-20,1999-07-01,2019-03-20,,,,28108303.0,24229262.0,28108303.0,mne2738,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 01-01-2018 - 31-12-2018 for Art Management ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Steen Gilfelt,Bent FlintsÃ¸,Gilfelt Revision ApS,Danske Bank A/S,Art Management ApS,Gilfelt Revision ApS,,KÃ¸benhavn,2017-01-01,2017-12-31,,,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,"KÃ¸benhavn, 101",2018-12-31,2018-01-01,false,2019-03-05,Hellerup,,Bestyrelsesmedlem/DirektÃ¸r,RevisionspÃ¥tegning,urn:ofk:oid:26869237,indberetninger-20180424,2.5118417999999996,24229262.0,AWmphCs0RYGX6_YTGJur,2019-03-23T07:47:11.893Z,2019-03-23T07:46:44.223Z,regnskab,0.0,,2018-12-31,2018-01-01,X19-AT-77-GY,2019-03-23T07:46:44.546Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
