entity,start_date,end_date,context,AARSRAPPORT_html,AARSRAPPORT_pdf,AARSRAPPORT_xml,AccountingPoliciesAreUnchangedFromPreviousPeriod,AddressOfFinancialCountry,AddressOfFinancialCountryIdentificationCode,AddressOfFinancialDistrictName,AddressOfFinancialPostCodeIdentifier,AddressOfFinancialStreetBuildingIdentifier,AddressOfFinancialStreetName,AddressOfReportingEntityDistrictName,AddressOfReportingEntityPostCodeIdentifier,AddressOfReportingEntityStreetBuildingIdentifier,AddressOfReportingEntityStreetName,AddressOfSubmittingEnterprisePostcodeAndTown,AddressOfSubmittingEnterpriseStreetAndNumber,AddresseeOfAuditorsReportOnOtherReport,AuditorsReportsOtherReports,ClassOfReportingEntity,DateOfApprovalOfAnnualReport,DateOfGeneralMeeting,DescriptionOfAuditor,GrossResult,IdentificationNumberCvrOfAuditFirm,IdentificationNumberCvrOfReportingEntity,IdentificationNumberOfAuditor,IncomeFromInvestmentsInGroupEnterprises,InformationOnAverageNumberOfEmployees,InformationOnReportingClassOfEntity,InformationOnTypeOfSubmittedReport,NameAndSurnameOfAuditor,NameAndSurnameOfChairmanOfGeneralMeeting,NameAndSurnameOfMemberOfExecutiveBoard,NameOfAuditFirm,NameOfFinancialInstitution,NameOfReportingEntity,NameOfSubmittingEnterprise,OtherFinanceIncome,OtherTaxExpenses,PlaceOfSignatureOfStatement,PrecedingReportingPeriodStartDate,PredingReportingPeriodEndDate,ProfitLoss,ProfitLossFromOrdinaryActivitiesBeforeTax,ProfitLossFromOrdinaryOperatingActivities,ReportingPeriodEndDate,ReportingPeriodStartDate,RestOfOtherFinanceExpenses,SelectedElementsFromReportingClassC,SelectedElementsFromReportingClassD,SignatureOfAuditorsDate,SignatureOfAuditorsPlace,StatementOnOptingOutOfAuditingFinancialStatementsInNextReportingPeriodDueToExemption,TaxExpense,TheCompanyHasPresentedTheAnnualReportEtcWithReferenceToTheDanishFinancialStatementsAct78aConcerningTheExceptionForReportingClassCMediumsizeSubsidiariesWhichChoosesToPresentTheAnnualReportEtcAccordingToReportingClassB,TheReportingEntityAppliesTheExceptionConcerningOptingOutOfTheStatementByManagementEtc,TypeOfAuditorAssistance,_id,_index,_score,cvrNummer,indlaesningsId,indlaesningsTidspunkt,offentliggoerelsesTidspunkt,offentliggoerelsestype,omgoerelse,regNummer,regnskabsperiode_slutDato,regnskabsperiode_startDato,sagsNummer,sidstOpdateret,Assets,CashAndCashEquivalents,ContributedCapital,CurrentAssets,Equity,LiabilitiesAndEquity,LiabilitiesOtherThanProvisions,LongtermInvestmentsAndReceivables,LongtermInvestmentsInGroupEnterprises,NoncurrentAssets,OtherShorttermInvestments,ProposedDividendRecognisedInEquity,RetainedEarnings,RevaluationReserve,ShorttermInvestments,ShorttermLiabilitiesOtherThanProvisions,ShorttermReceivables,ShorttermReceivablesFromGroupEnterprises,ShorttermTaxReceivables,ShorttermTradePayables
30555287,2016-01-01,2016-12-31,c3,http://regnskaber.virk.dk/78255503/ZG9rdW1lbnRsYWdlcjovLzAzL2MxLzE5L2ZkL2ZiL2M1NWUtNGE4My04YmNmLTEyNWJmYTBiMzk3MA.xhtml,http://regnskaber.virk.dk/78255503/ZG9rdW1lbnRsYWdlcjovLzAzL2QzLzY3Lzk2LzY0LzgxY2ItNDQ1Ny1iOGJkLTlhZDIyMDg2MjEyNQ.pdf,http://regnskaber.virk.dk/78255503/ZG9rdW1lbnRsYWdlcjovLzAzLzc2LzQ5LzgyL2NhLzc4OGQtNDVhMy1hOWU0LTM3MTY5MzIxMWYwMA.xml,true,Danmark,DK,K,2100.0,25.0,Ãsterbrogade,KÃ¸benhavn Ã,2100.0,"13, 5 2",Marskensgade,2800 Kgs. Lyngby,Ulrikkenborg Alle 38-40,Til den daglige ledelse i  Vitality Holding ApS,Revisors erklÃ¦ring om opstilling af finansielle oplysninger,Regnskabsklasse B,2018-01-30,2018-01-30,"Reg. revisor, FSR-danske revisorer",-9851.0,12697791.0,30555287.0,mne7521,263652.0,"<p xmlns=""http://www.w3.org/1999/xhtml"">Der er ingen ansatte</p>",Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Paul Bo Frier Nielsen,Peter Speck,Peter Speck,"Revisionscentret Frier, registreret Revisionsanpartsselskab",Jyske Bank,VITALITY HOLDING ApS,Revisionscentret Frier,135631.0,0.0,Kgs. Lyngby,2016-01-01,2016-12-31,361198.0,388632.0,-9851.0,2017-12-31,2017-01-01,800.0,false,false,2018-01-23,Kgs. Lyngby,"Generalforsamlingen har besluttet, at Ã¥rsrapporten for det kommende regnskabsÃ¥r ikke skal revideres. Betingelserne herfor er opfyldt.",27434.0,false,false,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:24997939,indberetninger-20180424,2.5926397,30555287.0,,2018-04-03T17:28:36.383Z,2018-01-30T12:20:47.232Z,regnskab,0.0,,2017-12-31,2017-01-01,X18-AC-41-RH,2018-01-30T12:20:47.447Z,,,,,,,,,,,,,,,,,,,,
30555287,2016-01-01,2016-12-31,c5,http://regnskaber.virk.dk/78255503/ZG9rdW1lbnRsYWdlcjovLzAzL2MxLzE5L2ZkL2ZiL2M1NWUtNGE4My04YmNmLTEyNWJmYTBiMzk3MA.xhtml,http://regnskaber.virk.dk/78255503/ZG9rdW1lbnRsYWdlcjovLzAzL2QzLzY3Lzk2LzY0LzgxY2ItNDQ1Ny1iOGJkLTlhZDIyMDg2MjEyNQ.pdf,http://regnskaber.virk.dk/78255503/ZG9rdW1lbnRsYWdlcjovLzAzLzc2LzQ5LzgyL2NhLzc4OGQtNDVhMy1hOWU0LTM3MTY5MzIxMWYwMA.xml,true,Danmark,DK,K,2100.0,25.0,Ãsterbrogade,KÃ¸benhavn Ã,2100.0,"13, 5 2",Marskensgade,2800 Kgs. Lyngby,Ulrikkenborg Alle 38-40,Til den daglige ledelse i  Vitality Holding ApS,Revisors erklÃ¦ring om opstilling af finansielle oplysninger,Regnskabsklasse B,2018-01-30,2018-01-30,"Reg. revisor, FSR-danske revisorer",,12697791.0,30555287.0,mne7521,,"<p xmlns=""http://www.w3.org/1999/xhtml"">Der er ingen ansatte</p>",Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Paul Bo Frier Nielsen,Peter Speck,Peter Speck,"Revisionscentret Frier, registreret Revisionsanpartsselskab",Jyske Bank,VITALITY HOLDING ApS,Revisionscentret Frier,,,Kgs. Lyngby,2016-01-01,2016-12-31,51700.0,,,2017-12-31,2017-01-01,,false,false,2018-01-23,Kgs. Lyngby,"Generalforsamlingen har besluttet, at Ã¥rsrapporten for det kommende regnskabsÃ¥r ikke skal revideres. Betingelserne herfor er opfyldt.",,false,false,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:24997939,indberetninger-20180424,2.5926397,30555287.0,,2018-04-03T17:28:36.383Z,2018-01-30T12:20:47.232Z,regnskab,0.0,,2017-12-31,2017-01-01,X18-AC-41-RH,2018-01-30T12:20:47.447Z,,,,,,,,,,,,,,,,,,,,
30555287,2016-01-01,2016-12-31,c7,http://regnskaber.virk.dk/78255503/ZG9rdW1lbnRsYWdlcjovLzAzL2MxLzE5L2ZkL2ZiL2M1NWUtNGE4My04YmNmLTEyNWJmYTBiMzk3MA.xhtml,http://regnskaber.virk.dk/78255503/ZG9rdW1lbnRsYWdlcjovLzAzL2QzLzY3Lzk2LzY0LzgxY2ItNDQ1Ny1iOGJkLTlhZDIyMDg2MjEyNQ.pdf,http://regnskaber.virk.dk/78255503/ZG9rdW1lbnRsYWdlcjovLzAzLzc2LzQ5LzgyL2NhLzc4OGQtNDVhMy1hOWU0LTM3MTY5MzIxMWYwMA.xml,true,Danmark,DK,K,2100.0,25.0,Ãsterbrogade,KÃ¸benhavn Ã,2100.0,"13, 5 2",Marskensgade,2800 Kgs. Lyngby,Ulrikkenborg Alle 38-40,Til den daglige ledelse i  Vitality Holding ApS,Revisors erklÃ¦ring om opstilling af finansielle oplysninger,Regnskabsklasse B,2018-01-30,2018-01-30,"Reg. revisor, FSR-danske revisorer",,12697791.0,30555287.0,mne7521,,"<p xmlns=""http://www.w3.org/1999/xhtml"">Der er ingen ansatte</p>",Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Paul Bo Frier Nielsen,Peter Speck,Peter Speck,"Revisionscentret Frier, registreret Revisionsanpartsselskab",Jyske Bank,VITALITY HOLDING ApS,Revisionscentret Frier,,,Kgs. Lyngby,2016-01-01,2016-12-31,13777.0,,,2017-12-31,2017-01-01,,false,false,2018-01-23,Kgs. Lyngby,"Generalforsamlingen har besluttet, at Ã¥rsrapporten for det kommende regnskabsÃ¥r ikke skal revideres. Betingelserne herfor er opfyldt.",,false,false,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:24997939,indberetninger-20180424,2.5926397,30555287.0,,2018-04-03T17:28:36.383Z,2018-01-30T12:20:47.232Z,regnskab,0.0,,2017-12-31,2017-01-01,X18-AC-41-RH,2018-01-30T12:20:47.447Z,,,,,,,,,,,,,,,,,,,,
30555287,2016-01-01,2016-12-31,c9,http://regnskaber.virk.dk/78255503/ZG9rdW1lbnRsYWdlcjovLzAzL2MxLzE5L2ZkL2ZiL2M1NWUtNGE4My04YmNmLTEyNWJmYTBiMzk3MA.xhtml,http://regnskaber.virk.dk/78255503/ZG9rdW1lbnRsYWdlcjovLzAzL2QzLzY3Lzk2LzY0LzgxY2ItNDQ1Ny1iOGJkLTlhZDIyMDg2MjEyNQ.pdf,http://regnskaber.virk.dk/78255503/ZG9rdW1lbnRsYWdlcjovLzAzLzc2LzQ5LzgyL2NhLzc4OGQtNDVhMy1hOWU0LTM3MTY5MzIxMWYwMA.xml,true,Danmark,DK,K,2100.0,25.0,Ãsterbrogade,KÃ¸benhavn Ã,2100.0,"13, 5 2",Marskensgade,2800 Kgs. Lyngby,Ulrikkenborg Alle 38-40,Til den daglige ledelse i  Vitality Holding ApS,Revisors erklÃ¦ring om opstilling af finansielle oplysninger,Regnskabsklasse B,2018-01-30,2018-01-30,"Reg. revisor, FSR-danske revisorer",,12697791.0,30555287.0,mne7521,,"<p xmlns=""http://www.w3.org/1999/xhtml"">Der er ingen ansatte</p>",Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Paul Bo Frier Nielsen,Peter Speck,Peter Speck,"Revisionscentret Frier, registreret Revisionsanpartsselskab",Jyske Bank,VITALITY HOLDING ApS,Revisionscentret Frier,,,Kgs. Lyngby,2016-01-01,2016-12-31,295721.0,,,2017-12-31,2017-01-01,,false,false,2018-01-23,Kgs. Lyngby,"Generalforsamlingen har besluttet, at Ã¥rsrapporten for det kommende regnskabsÃ¥r ikke skal revideres. Betingelserne herfor er opfyldt.",,false,false,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:24997939,indberetninger-20180424,2.5926397,30555287.0,,2018-04-03T17:28:36.383Z,2018-01-30T12:20:47.232Z,regnskab,0.0,,2017-12-31,2017-01-01,X18-AC-41-RH,2018-01-30T12:20:47.447Z,,,,,,,,,,,,,,,,,,,,
30555287,2016-12-31,2016-12-31,c11,http://regnskaber.virk.dk/78255503/ZG9rdW1lbnRsYWdlcjovLzAzL2MxLzE5L2ZkL2ZiL2M1NWUtNGE4My04YmNmLTEyNWJmYTBiMzk3MA.xhtml,http://regnskaber.virk.dk/78255503/ZG9rdW1lbnRsYWdlcjovLzAzL2QzLzY3Lzk2LzY0LzgxY2ItNDQ1Ny1iOGJkLTlhZDIyMDg2MjEyNQ.pdf,http://regnskaber.virk.dk/78255503/ZG9rdW1lbnRsYWdlcjovLzAzLzc2LzQ5LzgyL2NhLzc4OGQtNDVhMy1hOWU0LTM3MTY5MzIxMWYwMA.xml,true,Danmark,DK,K,2100.0,25.0,Ãsterbrogade,KÃ¸benhavn Ã,2100.0,"13, 5 2",Marskensgade,2800 Kgs. Lyngby,Ulrikkenborg Alle 38-40,Til den daglige ledelse i  Vitality Holding ApS,Revisors erklÃ¦ring om opstilling af finansielle oplysninger,Regnskabsklasse B,2018-01-30,2018-01-30,"Reg. revisor, FSR-danske revisorer",,12697791.0,30555287.0,mne7521,,"<p xmlns=""http://www.w3.org/1999/xhtml"">Der er ingen ansatte</p>",Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Paul Bo Frier Nielsen,Peter Speck,Peter Speck,"Revisionscentret Frier, registreret Revisionsanpartsselskab",Jyske Bank,VITALITY HOLDING ApS,Revisionscentret Frier,,,Kgs. Lyngby,2016-01-01,2016-12-31,,,,2017-12-31,2017-01-01,,false,false,2018-01-23,Kgs. Lyngby,"Generalforsamlingen har besluttet, at Ã¥rsrapporten for det kommende regnskabsÃ¥r ikke skal revideres. Betingelserne herfor er opfyldt.",,false,false,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:24997939,indberetninger-20180424,2.5926397,30555287.0,,2018-04-03T17:28:36.383Z,2018-01-30T12:20:47.232Z,regnskab,0.0,,2017-12-31,2017-01-01,X18-AC-41-RH,2018-01-30T12:20:47.447Z,4326340.0,409858.0,125000.0,1930417.0,4321340.0,4326340.0,5000.0,2395923.0,2395923.0,2395923.0,980247.0,51700.0,3969222.0,175418.0,980247.0,5000.0,540312.0,532123.0,8189.0,5000.0
30555287,2017-01-01,2017-12-31,c0,http://regnskaber.virk.dk/78255503/ZG9rdW1lbnRsYWdlcjovLzAzL2MxLzE5L2ZkL2ZiL2M1NWUtNGE4My04YmNmLTEyNWJmYTBiMzk3MA.xhtml,http://regnskaber.virk.dk/78255503/ZG9rdW1lbnRsYWdlcjovLzAzL2QzLzY3Lzk2LzY0LzgxY2ItNDQ1Ny1iOGJkLTlhZDIyMDg2MjEyNQ.pdf,http://regnskaber.virk.dk/78255503/ZG9rdW1lbnRsYWdlcjovLzAzLzc2LzQ5LzgyL2NhLzc4OGQtNDVhMy1hOWU0LTM3MTY5MzIxMWYwMA.xml,true,Danmark,DK,K,2100.0,25.0,Ãsterbrogade,KÃ¸benhavn Ã,2100.0,"13, 5 2",Marskensgade,2800 Kgs. Lyngby,Ulrikkenborg Alle 38-40,Til den daglige ledelse i  Vitality Holding ApS,Revisors erklÃ¦ring om opstilling af finansielle oplysninger,Regnskabsklasse B,2018-01-30,2018-01-30,"Reg. revisor, FSR-danske revisorer",-10396.0,12697791.0,30555287.0,mne7521,1003882.0,"<p xmlns=""http://www.w3.org/1999/xhtml"">Der er ingen ansatte</p>",Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Paul Bo Frier Nielsen,Peter Speck,Peter Speck,"Revisionscentret Frier, registreret Revisionsanpartsselskab",Jyske Bank,VITALITY HOLDING ApS,Revisionscentret Frier,306282.0,0.0,Kgs. Lyngby,2016-01-01,2016-12-31,1233191.0,1296023.0,-10396.0,2017-12-31,2017-01-01,3745.0,false,false,2018-01-23,Kgs. Lyngby,"Generalforsamlingen har besluttet, at Ã¥rsrapporten for det kommende regnskabsÃ¥r ikke skal revideres. Betingelserne herfor er opfyldt.",62832.0,false,false,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:24997939,indberetninger-20180424,2.5926397,30555287.0,,2018-04-03T17:28:36.383Z,2018-01-30T12:20:47.232Z,regnskab,0.0,,2017-12-31,2017-01-01,X18-AC-41-RH,2018-01-30T12:20:47.447Z,,,,,,,,,,,,,,,,,,,,
30555287,2017-01-01,2017-12-31,c1,http://regnskaber.virk.dk/78255503/ZG9rdW1lbnRsYWdlcjovLzAzL2MxLzE5L2ZkL2ZiL2M1NWUtNGE4My04YmNmLTEyNWJmYTBiMzk3MA.xhtml,http://regnskaber.virk.dk/78255503/ZG9rdW1lbnRsYWdlcjovLzAzL2QzLzY3Lzk2LzY0LzgxY2ItNDQ1Ny1iOGJkLTlhZDIyMDg2MjEyNQ.pdf,http://regnskaber.virk.dk/78255503/ZG9rdW1lbnRsYWdlcjovLzAzLzc2LzQ5LzgyL2NhLzc4OGQtNDVhMy1hOWU0LTM3MTY5MzIxMWYwMA.xml,true,Danmark,DK,K,2100.0,25.0,Ãsterbrogade,KÃ¸benhavn Ã,2100.0,"13, 5 2",Marskensgade,2800 Kgs. Lyngby,Ulrikkenborg Alle 38-40,Til den daglige ledelse i  Vitality Holding ApS,Revisors erklÃ¦ring om opstilling af finansielle oplysninger,Regnskabsklasse B,2018-01-30,2018-01-30,"Reg. revisor, FSR-danske revisorer",,12697791.0,30555287.0,mne7521,,"<p xmlns=""http://www.w3.org/1999/xhtml"">Der er ingen ansatte</p>",Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Paul Bo Frier Nielsen,Peter Speck,Peter Speck,"Revisionscentret Frier, registreret Revisionsanpartsselskab",Jyske Bank,VITALITY HOLDING ApS,Revisionscentret Frier,,,Kgs. Lyngby,2016-01-01,2016-12-31,,,,2017-12-31,2017-01-01,,false,false,2018-01-23,Kgs. Lyngby,"Generalforsamlingen har besluttet, at Ã¥rsrapporten for det kommende regnskabsÃ¥r ikke skal revideres. Betingelserne herfor er opfyldt.",,false,false,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:24997939,indberetninger-20180424,2.5926397,30555287.0,,2018-04-03T17:28:36.383Z,2018-01-30T12:20:47.232Z,regnskab,0.0,,2017-12-31,2017-01-01,X18-AC-41-RH,2018-01-30T12:20:47.447Z,,,,,,,,,,,,,,,,,,,,
30555287,2017-01-01,2017-12-31,c2,http://regnskaber.virk.dk/78255503/ZG9rdW1lbnRsYWdlcjovLzAzL2MxLzE5L2ZkL2ZiL2M1NWUtNGE4My04YmNmLTEyNWJmYTBiMzk3MA.xhtml,http://regnskaber.virk.dk/78255503/ZG9rdW1lbnRsYWdlcjovLzAzL2QzLzY3Lzk2LzY0LzgxY2ItNDQ1Ny1iOGJkLTlhZDIyMDg2MjEyNQ.pdf,http://regnskaber.virk.dk/78255503/ZG9rdW1lbnRsYWdlcjovLzAzLzc2LzQ5LzgyL2NhLzc4OGQtNDVhMy1hOWU0LTM3MTY5MzIxMWYwMA.xml,true,Danmark,DK,K,2100.0,25.0,Ãsterbrogade,KÃ¸benhavn Ã,2100.0,"13, 5 2",Marskensgade,2800 Kgs. Lyngby,Ulrikkenborg Alle 38-40,Til den daglige ledelse i  Vitality Holding ApS,Revisors erklÃ¦ring om opstilling af finansielle oplysninger,Regnskabsklasse B,2018-01-30,2018-01-30,"Reg. revisor, FSR-danske revisorer",,12697791.0,30555287.0,mne7521,,"<p xmlns=""http://www.w3.org/1999/xhtml"">Der er ingen ansatte</p>",Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Paul Bo Frier Nielsen,Peter Speck,Peter Speck,"Revisionscentret Frier, registreret Revisionsanpartsselskab",Jyske Bank,VITALITY HOLDING ApS,Revisionscentret Frier,,,Kgs. Lyngby,2016-01-01,2016-12-31,,,,2017-12-31,2017-01-01,,false,false,2018-01-23,Kgs. Lyngby,"Generalforsamlingen har besluttet, at Ã¥rsrapporten for det kommende regnskabsÃ¥r ikke skal revideres. Betingelserne herfor er opfyldt.",,false,false,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:24997939,indberetninger-20180424,2.5926397,30555287.0,,2018-04-03T17:28:36.383Z,2018-01-30T12:20:47.232Z,regnskab,0.0,,2017-12-31,2017-01-01,X18-AC-41-RH,2018-01-30T12:20:47.447Z,,,,,,,,,,,,,,,,,,,,
30555287,2017-01-01,2017-12-31,c4,http://regnskaber.virk.dk/78255503/ZG9rdW1lbnRsYWdlcjovLzAzL2MxLzE5L2ZkL2ZiL2M1NWUtNGE4My04YmNmLTEyNWJmYTBiMzk3MA.xhtml,http://regnskaber.virk.dk/78255503/ZG9rdW1lbnRsYWdlcjovLzAzL2QzLzY3Lzk2LzY0LzgxY2ItNDQ1Ny1iOGJkLTlhZDIyMDg2MjEyNQ.pdf,http://regnskaber.virk.dk/78255503/ZG9rdW1lbnRsYWdlcjovLzAzLzc2LzQ5LzgyL2NhLzc4OGQtNDVhMy1hOWU0LTM3MTY5MzIxMWYwMA.xml,true,Danmark,DK,K,2100.0,25.0,Ãsterbrogade,KÃ¸benhavn Ã,2100.0,"13, 5 2",Marskensgade,2800 Kgs. Lyngby,Ulrikkenborg Alle 38-40,Til den daglige ledelse i  Vitality Holding ApS,Revisors erklÃ¦ring om opstilling af finansielle oplysninger,Regnskabsklasse B,2018-01-30,2018-01-30,"Reg. revisor, FSR-danske revisorer",,12697791.0,30555287.0,mne7521,,"<p xmlns=""http://www.w3.org/1999/xhtml"">Der er ingen ansatte</p>",Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Paul Bo Frier Nielsen,Peter Speck,Peter Speck,"Revisionscentret Frier, registreret Revisionsanpartsselskab",Jyske Bank,VITALITY HOLDING ApS,Revisionscentret Frier,,,Kgs. Lyngby,2016-01-01,2016-12-31,52900.0,,,2017-12-31,2017-01-01,,false,false,2018-01-23,Kgs. Lyngby,"Generalforsamlingen har besluttet, at Ã¥rsrapporten for det kommende regnskabsÃ¥r ikke skal revideres. Betingelserne herfor er opfyldt.",,false,false,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:24997939,indberetninger-20180424,2.5926397,30555287.0,,2018-04-03T17:28:36.383Z,2018-01-30T12:20:47.232Z,regnskab,0.0,,2017-12-31,2017-01-01,X18-AC-41-RH,2018-01-30T12:20:47.447Z,,,,,,,,,,,,,,,,,,,,
30555287,2017-01-01,2017-12-31,c6,http://regnskaber.virk.dk/78255503/ZG9rdW1lbnRsYWdlcjovLzAzL2MxLzE5L2ZkL2ZiL2M1NWUtNGE4My04YmNmLTEyNWJmYTBiMzk3MA.xhtml,http://regnskaber.virk.dk/78255503/ZG9rdW1lbnRsYWdlcjovLzAzL2QzLzY3Lzk2LzY0LzgxY2ItNDQ1Ny1iOGJkLTlhZDIyMDg2MjEyNQ.pdf,http://regnskaber.virk.dk/78255503/ZG9rdW1lbnRsYWdlcjovLzAzLzc2LzQ5LzgyL2NhLzc4OGQtNDVhMy1hOWU0LTM3MTY5MzIxMWYwMA.xml,true,Danmark,DK,K,2100.0,25.0,Ãsterbrogade,KÃ¸benhavn Ã,2100.0,"13, 5 2",Marskensgade,2800 Kgs. Lyngby,Ulrikkenborg Alle 38-40,Til den daglige ledelse i  Vitality Holding ApS,Revisors erklÃ¦ring om opstilling af finansielle oplysninger,Regnskabsklasse B,2018-01-30,2018-01-30,"Reg. revisor, FSR-danske revisorer",,12697791.0,30555287.0,mne7521,,"<p xmlns=""http://www.w3.org/1999/xhtml"">Der er ingen ansatte</p>",Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Paul Bo Frier Nielsen,Peter Speck,Peter Speck,"Revisionscentret Frier, registreret Revisionsanpartsselskab",Jyske Bank,VITALITY HOLDING ApS,Revisionscentret Frier,,,Kgs. Lyngby,2016-01-01,2016-12-31,740230.0,,,2017-12-31,2017-01-01,,false,false,2018-01-23,Kgs. Lyngby,"Generalforsamlingen har besluttet, at Ã¥rsrapporten for det kommende regnskabsÃ¥r ikke skal revideres. Betingelserne herfor er opfyldt.",,false,false,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:24997939,indberetninger-20180424,2.5926397,30555287.0,,2018-04-03T17:28:36.383Z,2018-01-30T12:20:47.232Z,regnskab,0.0,,2017-12-31,2017-01-01,X18-AC-41-RH,2018-01-30T12:20:47.447Z,,,,,,,,,,,,,,,,,,,,
