entity,start_date,end_date,context,AARSRAPPORT_pdf,AARSRAPPORT_xml,AccumulatedRevaluationsOfInvestments,AddressOfAuditorCountry,AddressOfAuditorPostcodeAndTown,AddressOfFinancialInstitutionPostcodeAndTown,AddressOfFinancialInstitutionStreetAndNumber,AddressOfReportingEntityPostcodeAndTown,AddressOfReportingEntityStreetAndNumber,AddressOfSubmittingEnterprisePostcodeAndTown,ClassOfReportingEntity,DateOfApprovalOfAnnualReport,DateOfGeneralMeeting,DescriptionOfAuditor,DescriptionOfClassOfIssuedShares,Dividend,DividendPaid,IdentificationNumberCvrOfReportingEntity,IdentificationNumberCvrOfSubmittingEnterprise,InformationOnTypeOfSubmittedReport,InvestmentsGross,NameAndSurnameOfChairmanOfGeneralMeeting,NameAndSurnameOfMemberOfExecutiveBoard,NameOfFinancialInstitution,NameOfReportingEntity,NameOfSubmittingEnterprise,PlaceOfSignatureOfStatement,RegisteredOfficeOfReportingEntity,RelatedEntityName,RelatedEntityRegisteredOffice,ReportingPeriodEndDate,ReportingPeriodStartDate,ShareHeldByEntityOrConsolidatedEnterprisesInRelatedEntity,SignatureOfAuditorsDate,SignatureOfAuditorsPlace,_id,_index,_score,cvrNummer,indlaesningsId,indlaesningsTidspunkt,offentliggoerelsesTidspunkt,offentliggoerelsestype,omgoerelse,regNummer,regnskabsperiode_slutDato,regnskabsperiode_startDato,sagsNummer,sidstOpdateret,ProfitLoss,DividendIncomeRelatedToInvestments,ProfitLossRelatedToInvestments,CurrentTaxExpense,GrossResult,IncomeFromInvestmentsInGroupEnterprises,OtherExternalExpenses,OtherFinanceExpenses,OtherFinanceIncome,TaxExpense,TaxExpenseOnOrdinaryActivities,Assets,CashAndCashEquivalents,ContributedCapital,CurrentAssets,Equity,LiabilitiesAndEquity,LiabilitiesOtherThanProvisions,LongtermInvestmentsAndReceivables,LongtermInvestmentsInGroupEnterprises,NoncurrentAssets,OtherShorttermPayables,PaidContributedCapital,PropertyPlantAndEquipment,PropertyPlantAndEquipmentInProgress,ProposedDividendRecognisedInEquity,ReserveForNetRevaluationAccordingToEquityMethod,RetainedEarnings,ShorttermDebtToOtherCreditInstitutions,ShorttermLiabilitiesOtherThanProvisions,ShorttermPayablesToGroupEnterprises,ShorttermReceivables,ShorttermReceivablesFromGroupEnterprises,ShorttermTaxReceivables,AccumulatedImpairmentLossesAndDepreciationOfPropertyPlantAndEquipment,AccumulatedRevaluationOfPropertyPlantAndEquipment,PropertyPlantAndEquipmentGross,NameAndSurnameOfAuditor,NameOfAuditFirm
31857465,2011-01-01,2011-01-01,c347,http://regnskaber.virk.dk/56475813/Y3ZyLmRrOi8vcGRmcy8zMTg1NzQ2NTtBcFM0NDgzNjQ7MjAxMjAxMDE7MjAxMjEyMzE7UjtS.pdf,http://regnskaber.virk.dk/56475813/Y3ZyLmRrOi8veGJybHMvWC03RENCRUIxMi0yMDEzMDYxN18xNjQwMDZfMDQ2.xml,673878.0,Danmark,8000 Aarhus C,9600 Aars,Himmerlandsgade 70,"GrÃ¥r  upgÃ¥rde, 9600 Aars",Bandsholmvej 45,8000 Aarhus C,Regnskabsklasse B,2013-05-31,2013-05-31,statsautoriseret revisor,Selskabskapitalen bestÃ¥r af 125 anparter Ã  nominelt DKK 1.000. Ingen anparter er tillagt sÃ¦rlige rettigheder.,96600.0,-96600.0,31857465.0,33771231.0,Ãrsrapport,1295156.0,Frank Halvorsen,Frank Halvorsen,Spar Nord Aars Afd.,Frank Halvorsen Holding ApS,PricewaterhouseCoopers Statsautoriseret Revisionspartnerselskab,Aars,Vesthimmerland,"Frank Halvorsen, 727 Ãrs ApS",Ãrs,2012-12-31,2012-01-01,100.0,2013-05-31,Aarhus,urn:ofk:oid:20004718,indberetninger-20180424,2.5118417999999996,31857465.0,,2018-04-02T04:38:03.067Z,2013-06-17T22:00:00.000Z,regnskab,0.0,,2012-12-31,2012-01-01,13-139.324,2013-06-17T22:00:00.000Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31857465,2011-01-01,2011-12-31,c257,http://regnskaber.virk.dk/56475813/Y3ZyLmRrOi8vcGRmcy8zMTg1NzQ2NTtBcFM0NDgzNjQ7MjAxMjAxMDE7MjAxMjEyMzE7UjtS.pdf,http://regnskaber.virk.dk/56475813/Y3ZyLmRrOi8veGJybHMvWC03RENCRUIxMi0yMDEzMDYxN18xNjQwMDZfMDQ2.xml,,Danmark,8000 Aarhus C,9600 Aars,Himmerlandsgade 70,"GrÃ¥r  upgÃ¥rde, 9600 Aars",Bandsholmvej 45,8000 Aarhus C,Regnskabsklasse B,2013-05-31,2013-05-31,statsautoriseret revisor,Selskabskapitalen bestÃ¥r af 125 anparter Ã  nominelt DKK 1.000. Ingen anparter er tillagt sÃ¦rlige rettigheder.,96600.0,-96600.0,31857465.0,33771231.0,Ãrsrapport,,Frank Halvorsen,Frank Halvorsen,Spar Nord Aars Afd.,Frank Halvorsen Holding ApS,PricewaterhouseCoopers Statsautoriseret Revisionspartnerselskab,Aars,Vesthimmerland,"Frank Halvorsen, 727 Ãrs ApS",Ãrs,2012-12-31,2012-01-01,100.0,2013-05-31,Aarhus,urn:ofk:oid:20004718,indberetninger-20180424,2.5118417999999996,31857465.0,,2018-04-02T04:38:03.067Z,2013-06-17T22:00:00.000Z,regnskab,0.0,,2012-12-31,2012-01-01,13-139.324,2013-06-17T22:00:00.000Z,96600.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31857465,2011-01-01,2011-12-31,c267,http://regnskaber.virk.dk/56475813/Y3ZyLmRrOi8vcGRmcy8zMTg1NzQ2NTtBcFM0NDgzNjQ7MjAxMjAxMDE7MjAxMjEyMzE7UjtS.pdf,http://regnskaber.virk.dk/56475813/Y3ZyLmRrOi8veGJybHMvWC03RENCRUIxMi0yMDEzMDYxN18xNjQwMDZfMDQ2.xml,,Danmark,8000 Aarhus C,9600 Aars,Himmerlandsgade 70,"GrÃ¥r  upgÃ¥rde, 9600 Aars",Bandsholmvej 45,8000 Aarhus C,Regnskabsklasse B,2013-05-31,2013-05-31,statsautoriseret revisor,Selskabskapitalen bestÃ¥r af 125 anparter Ã  nominelt DKK 1.000. Ingen anparter er tillagt sÃ¦rlige rettigheder.,96600.0,-96600.0,31857465.0,33771231.0,Ãrsrapport,,Frank Halvorsen,Frank Halvorsen,Spar Nord Aars Afd.,Frank Halvorsen Holding ApS,PricewaterhouseCoopers Statsautoriseret Revisionspartnerselskab,Aars,Vesthimmerland,"Frank Halvorsen, 727 Ãrs ApS",Ãrs,2012-12-31,2012-01-01,100.0,2013-05-31,Aarhus,urn:ofk:oid:20004718,indberetninger-20180424,2.5118417999999996,31857465.0,,2018-04-02T04:38:03.067Z,2013-06-17T22:00:00.000Z,regnskab,0.0,,2012-12-31,2012-01-01,13-139.324,2013-06-17T22:00:00.000Z,406054.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31857465,2011-01-01,2011-12-31,c279,http://regnskaber.virk.dk/56475813/Y3ZyLmRrOi8vcGRmcy8zMTg1NzQ2NTtBcFM0NDgzNjQ7MjAxMjAxMDE7MjAxMjEyMzE7UjtS.pdf,http://regnskaber.virk.dk/56475813/Y3ZyLmRrOi8veGJybHMvWC03RENCRUIxMi0yMDEzMDYxN18xNjQwMDZfMDQ2.xml,,Danmark,8000 Aarhus C,9600 Aars,Himmerlandsgade 70,"GrÃ¥r  upgÃ¥rde, 9600 Aars",Bandsholmvej 45,8000 Aarhus C,Regnskabsklasse B,2013-05-31,2013-05-31,statsautoriseret revisor,Selskabskapitalen bestÃ¥r af 125 anparter Ã  nominelt DKK 1.000. Ingen anparter er tillagt sÃ¦rlige rettigheder.,96600.0,-96600.0,31857465.0,33771231.0,Ãrsrapport,,Frank Halvorsen,Frank Halvorsen,Spar Nord Aars Afd.,Frank Halvorsen Holding ApS,PricewaterhouseCoopers Statsautoriseret Revisionspartnerselskab,Aars,Vesthimmerland,"Frank Halvorsen, 727 Ãrs ApS",Ãrs,2012-12-31,2012-01-01,100.0,2013-05-31,Aarhus,urn:ofk:oid:20004718,indberetninger-20180424,2.5118417999999996,31857465.0,,2018-04-02T04:38:03.067Z,2013-06-17T22:00:00.000Z,regnskab,0.0,,2012-12-31,2012-01-01,13-139.324,2013-06-17T22:00:00.000Z,1063313.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31857465,2011-01-01,2011-12-31,c349,http://regnskaber.virk.dk/56475813/Y3ZyLmRrOi8vcGRmcy8zMTg1NzQ2NTtBcFM0NDgzNjQ7MjAxMjAxMDE7MjAxMjEyMzE7UjtS.pdf,http://regnskaber.virk.dk/56475813/Y3ZyLmRrOi8veGJybHMvWC03RENCRUIxMi0yMDEzMDYxN18xNjQwMDZfMDQ2.xml,,Danmark,8000 Aarhus C,9600 Aars,Himmerlandsgade 70,"GrÃ¥r  upgÃ¥rde, 9600 Aars",Bandsholmvej 45,8000 Aarhus C,Regnskabsklasse B,2013-05-31,2013-05-31,statsautoriseret revisor,Selskabskapitalen bestÃ¥r af 125 anparter Ã  nominelt DKK 1.000. Ingen anparter er tillagt sÃ¦rlige rettigheder.,96600.0,-96600.0,31857465.0,33771231.0,Ãrsrapport,,Frank Halvorsen,Frank Halvorsen,Spar Nord Aars Afd.,Frank Halvorsen Holding ApS,PricewaterhouseCoopers Statsautoriseret Revisionspartnerselskab,Aars,Vesthimmerland,"Frank Halvorsen, 727 Ãrs ApS",Ãrs,2012-12-31,2012-01-01,100.0,2013-05-31,Aarhus,urn:ofk:oid:20004718,indberetninger-20180424,2.5118417999999996,31857465.0,,2018-04-02T04:38:03.067Z,2013-06-17T22:00:00.000Z,regnskab,0.0,,2012-12-31,2012-01-01,13-139.324,2013-06-17T22:00:00.000Z,,-1196600.0,1602654.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31857465,2011-01-01,2011-12-31,c68,http://regnskaber.virk.dk/56475813/Y3ZyLmRrOi8vcGRmcy8zMTg1NzQ2NTtBcFM0NDgzNjQ7MjAxMjAxMDE7MjAxMjEyMzE7UjtS.pdf,http://regnskaber.virk.dk/56475813/Y3ZyLmRrOi8veGJybHMvWC03RENCRUIxMi0yMDEzMDYxN18xNjQwMDZfMDQ2.xml,,Danmark,8000 Aarhus C,9600 Aars,Himmerlandsgade 70,"GrÃ¥r  upgÃ¥rde, 9600 Aars",Bandsholmvej 45,8000 Aarhus C,Regnskabsklasse B,2013-05-31,2013-05-31,statsautoriseret revisor,Selskabskapitalen bestÃ¥r af 125 anparter Ã  nominelt DKK 1.000. Ingen anparter er tillagt sÃ¦rlige rettigheder.,96600.0,-96600.0,31857465.0,33771231.0,Ãrsrapport,,Frank Halvorsen,Frank Halvorsen,Spar Nord Aars Afd.,Frank Halvorsen Holding ApS,PricewaterhouseCoopers Statsautoriseret Revisionspartnerselskab,Aars,Vesthimmerland,"Frank Halvorsen, 727 Ãrs ApS",Ãrs,2012-12-31,2012-01-01,100.0,2013-05-31,Aarhus,urn:ofk:oid:20004718,indberetninger-20180424,2.5118417999999996,31857465.0,,2018-04-02T04:38:03.067Z,2013-06-17T22:00:00.000Z,regnskab,0.0,,2012-12-31,2012-01-01,13-139.324,2013-06-17T22:00:00.000Z,1565967.0,,,-2689.0,-10763.0,1602654.0,10763.0,28940.0,327.0,-2689.0,-2689.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31857465,2011-12-31,2011-12-31,c351,http://regnskaber.virk.dk/56475813/Y3ZyLmRrOi8vcGRmcy8zMTg1NzQ2NTtBcFM0NDgzNjQ7MjAxMjAxMDE7MjAxMjEyMzE7UjtS.pdf,http://regnskaber.virk.dk/56475813/Y3ZyLmRrOi8veGJybHMvWC03RENCRUIxMi0yMDEzMDYxN18xNjQwMDZfMDQ2.xml,1079932.0,Danmark,8000 Aarhus C,9600 Aars,Himmerlandsgade 70,"GrÃ¥r  upgÃ¥rde, 9600 Aars",Bandsholmvej 45,8000 Aarhus C,Regnskabsklasse B,2013-05-31,2013-05-31,statsautoriseret revisor,Selskabskapitalen bestÃ¥r af 125 anparter Ã  nominelt DKK 1.000. Ingen anparter er tillagt sÃ¦rlige rettigheder.,96600.0,-96600.0,31857465.0,33771231.0,Ãrsrapport,1295156.0,Frank Halvorsen,Frank Halvorsen,Spar Nord Aars Afd.,Frank Halvorsen Holding ApS,PricewaterhouseCoopers Statsautoriseret Revisionspartnerselskab,Aars,Vesthimmerland,"Frank Halvorsen, 727 Ãrs ApS",Ãrs,2012-12-31,2012-01-01,100.0,2013-05-31,Aarhus,urn:ofk:oid:20004718,indberetninger-20180424,2.5118417999999996,31857465.0,,2018-04-02T04:38:03.067Z,2013-06-17T22:00:00.000Z,regnskab,0.0,,2012-12-31,2012-01-01,13-139.324,2013-06-17T22:00:00.000Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31857465,2011-12-31,2011-12-31,c69,http://regnskaber.virk.dk/56475813/Y3ZyLmRrOi8vcGRmcy8zMTg1NzQ2NTtBcFM0NDgzNjQ7MjAxMjAxMDE7MjAxMjEyMzE7UjtS.pdf,http://regnskaber.virk.dk/56475813/Y3ZyLmRrOi8veGJybHMvWC03RENCRUIxMi0yMDEzMDYxN18xNjQwMDZfMDQ2.xml,,Danmark,8000 Aarhus C,9600 Aars,Himmerlandsgade 70,"GrÃ¥r  upgÃ¥rde, 9600 Aars",Bandsholmvej 45,8000 Aarhus C,Regnskabsklasse B,2013-05-31,2013-05-31,statsautoriseret revisor,Selskabskapitalen bestÃ¥r af 125 anparter Ã  nominelt DKK 1.000. Ingen anparter er tillagt sÃ¦rlige rettigheder.,96600.0,-96600.0,31857465.0,33771231.0,Ãrsrapport,,Frank Halvorsen,Frank Halvorsen,Spar Nord Aars Afd.,Frank Halvorsen Holding ApS,PricewaterhouseCoopers Statsautoriseret Revisionspartnerselskab,Aars,Vesthimmerland,"Frank Halvorsen, 727 Ãrs ApS",Ãrs,2012-12-31,2012-01-01,100.0,2013-05-31,Aarhus,urn:ofk:oid:20004718,indberetninger-20180424,2.5118417999999996,31857465.0,,2018-04-02T04:38:03.067Z,2013-06-17T22:00:00.000Z,regnskab,0.0,,2012-12-31,2012-01-01,13-139.324,2013-06-17T22:00:00.000Z,,,,,,,,,,,,5552269.0,39318.0,125000.0,498007.0,5024294.0,5552269.0,527975.0,2375088.0,2375088.0,5054262.0,15000.0,125000.0,2679174.0,2679174.0,96600.0,1079932.0,3722762.0,0.0,527975.0,512975.0,458689.0,0.0,458689.0,,,,,
31857465,2012-01-01,2012-01-01,c16,http://regnskaber.virk.dk/56475813/Y3ZyLmRrOi8vcGRmcy8zMTg1NzQ2NTtBcFM0NDgzNjQ7MjAxMjAxMDE7MjAxMjEyMzE7UjtS.pdf,http://regnskaber.virk.dk/56475813/Y3ZyLmRrOi8veGJybHMvWC03RENCRUIxMi0yMDEzMDYxN18xNjQwMDZfMDQ2.xml,,Danmark,8000 Aarhus C,9600 Aars,Himmerlandsgade 70,"GrÃ¥r  upgÃ¥rde, 9600 Aars",Bandsholmvej 45,8000 Aarhus C,Regnskabsklasse B,2013-05-31,2013-05-31,statsautoriseret revisor,Selskabskapitalen bestÃ¥r af 125 anparter Ã  nominelt DKK 1.000. Ingen anparter er tillagt sÃ¦rlige rettigheder.,96600.0,-96600.0,31857465.0,33771231.0,Ãrsrapport,,Frank Halvorsen,Frank Halvorsen,Spar Nord Aars Afd.,Frank Halvorsen Holding ApS,PricewaterhouseCoopers Statsautoriseret Revisionspartnerselskab,Aars,Vesthimmerland,"Frank Halvorsen, 727 Ãrs ApS",Ãrs,2012-12-31,2012-01-01,100.0,2013-05-31,Aarhus,urn:ofk:oid:20004718,indberetninger-20180424,2.5118417999999996,31857465.0,,2018-04-02T04:38:03.067Z,2013-06-17T22:00:00.000Z,regnskab,0.0,,2012-12-31,2012-01-01,13-139.324,2013-06-17T22:00:00.000Z,,,,,,,,,,,,,,,,1079932.0,,,,,,,,,,,,,,,,,,,,,,,
31857465,2012-01-01,2012-01-01,c2,http://regnskaber.virk.dk/56475813/Y3ZyLmRrOi8vcGRmcy8zMTg1NzQ2NTtBcFM0NDgzNjQ7MjAxMjAxMDE7MjAxMjEyMzE7UjtS.pdf,http://regnskaber.virk.dk/56475813/Y3ZyLmRrOi8veGJybHMvWC03RENCRUIxMi0yMDEzMDYxN18xNjQwMDZfMDQ2.xml,,Danmark,8000 Aarhus C,9600 Aars,Himmerlandsgade 70,"GrÃ¥r  upgÃ¥rde, 9600 Aars",Bandsholmvej 45,8000 Aarhus C,Regnskabsklasse B,2013-05-31,2013-05-31,statsautoriseret revisor,Selskabskapitalen bestÃ¥r af 125 anparter Ã  nominelt DKK 1.000. Ingen anparter er tillagt sÃ¦rlige rettigheder.,96600.0,-96600.0,31857465.0,33771231.0,Ãrsrapport,,Frank Halvorsen,Frank Halvorsen,Spar Nord Aars Afd.,Frank Halvorsen Holding ApS,PricewaterhouseCoopers Statsautoriseret Revisionspartnerselskab,Aars,Vesthimmerland,"Frank Halvorsen, 727 Ãrs ApS",Ãrs,2012-12-31,2012-01-01,100.0,2013-05-31,Aarhus,urn:ofk:oid:20004718,indberetninger-20180424,2.5118417999999996,31857465.0,,2018-04-02T04:38:03.067Z,2013-06-17T22:00:00.000Z,regnskab,0.0,,2012-12-31,2012-01-01,13-139.324,2013-06-17T22:00:00.000Z,,,,,,,,,,,,,,,,125000.0,,,,,,,,,,,,,,,,,,,,,,,
