entity,start_date,end_date,context,AARSRAPPORT_html,AARSRAPPORT_pdf,AARSRAPPORT_xml,AddressOfAuditorCountry,AddressOfAuditorDistrictName,AddressOfAuditorPostCodeIdentifier,AddressOfAuditorStreetBuildingIdentifier,AddressOfAuditorStreetName,AddressOfReportingEntityDistrictName,AddressOfReportingEntityPostCodeIdentifier,AddressOfReportingEntityStreetBuildingIdentifier,AddressOfReportingEntityStreetName,AddressOfSubmittingEnterprisePostcodeAndTown,AddressOfSubmittingEnterpriseStreetAndNumber,ClassOfReportingEntity,DateOfApprovalOfAnnualReport,DateOfGeneralMeeting,DescriptionOfAuditor,IdentificationNumberCvrOfAuditFirm,IdentificationNumberCvrOfReportingEntity,IdentificationNumberCvrOfSubmittingEnterprise,IdentificationNumberOfAuditor,InformationOnTypeOfSubmittedReport,NameAndSurnameOfAuditor,NameAndSurnameOfChairmanOfGeneralMeeting,NameAndSurnameOfMemberOfExecutiveBoard,NameOfReportingEntity,NameOfSubmittingEnterprise,PlaceOfSignatureOfStatement,PrecedingReportingPeriodStartDate,PredingReportingPeriodEndDate,ProfitLoss,RegisteredOfficeOfReportingEntity,ReportingPeriodEndDate,ReportingPeriodStartDate,SelectedElementsFromReportingClassC,SignatureOfAuditorsPlace,TypeOfAuditorAssistance,_id,_index,_score,cvrNummer,indlaesningsId,indlaesningsTidspunkt,offentliggoerelsesTidspunkt,offentliggoerelsestype,omgoerelse,regNummer,regnskabsperiode_slutDato,regnskabsperiode_startDato,sagsNummer,sidstOpdateret,AdjustmentsForCurrentTaxOfPriorPeriod,AdjustmentsForDeferredTax,CurrentTaxExpense,DepreciationAmortisationExpenseAndImpairmentLossesOfPropertyPlantAndEquipmentAndIntangibleAssetsRecognisedInProfitOrLoss,ExchangeRateAdjustmentsOtherFinanceIncome,ExchangeRateLoss,GrossProfitLoss,InterestIncomeFromGroupEnterprises,OtherFinanceExpenses,OtherFinanceIncome,OtherInterestExpenses,OtherInterestIncome,ProfitLossFromOrdinaryActivitiesBeforeTax,ProfitLossFromOrdinaryOperatingActivities,TaxExpense,TaxExpenseOnOrdinaryActivities,Assets,CashAndCashEquivalents,ContributedCapital,CurrentAssets,Equity,FixturesFittingsToolsAndEquipment,Inventories,LandAndBuildings,LiabilitiesAndEquity,LiabilitiesOtherThanProvisions,NoncurrentAssets,OtherShorttermPayables,OtherShorttermReceivables,PaidContributedCapital,PropertyPlantAndEquipment,Provisions,ProvisionsForDeferredTax,RetainedEarnings,ShorttermDebtToOtherCreditInstitutions,ShorttermLiabilitiesOtherThanProvisions,ShorttermPayablesToGroupEnterprises,ShorttermReceivables,ShorttermReceivablesFromGroupEnterprises,ShorttermTaxPayablesToGroupEnterprises,ShorttermTradePayables,ShorttermTradeReceivables,AccumulatedImpairmentLossesAndDepreciationOfPropertyPlantAndEquipment,PropertyPlantAndEquipmentGross,AdditionsToPropertyPlantAndEquipment,DepreciationOfPropertyPlantAndEquipment,IncreaseDecreaseOfPropertyPlantAndEquipmentThroughTransfers,AddresseeOfAuditorsReportOnAuditedFinancialStatements,ConfirmationThatAnnualReportIsPresentedInAccordanceWithRequirementsProvidedForByLegislationAnyStandardsAndRequirementsProvidedByArticlesOfAssociationOrByAgreement,ConfirmationThatFinancialStatementGivesTrueAndFairViewOfAssetsLiabilitiesEquityFinancialPositionAndResults,DescriptionOfMethodsOfCurrentTaxReceivablesAndLiabilities,DescriptionOfMethodsOfImpairmentLossesAndDepreciation,DescriptionOfMethodsOfRecognitionAndMeasurementBasisOfExternalExpenses,DescriptionOfMethodsOfRecognitionAndMeasurementBasisOfFinanceIncomeAndExpenses,DescriptionOfMethodsOfRecognitionAndMeasurementBasisOfGrossProfitLoss,DescriptionOfMethodsOfRecognitionAndMeasurementBasisOfLiabilitiesOtherThanProvisions,DescriptionOfMethodsOfRecognitionAndMeasurementBasisOfOtherOperatingIncomeAndExpenses,DescriptionOfMethodsOfRecognitionAndMeasurementBasisOfReceivables,DescriptionOfQualificationsOfAuditedFinancialStatements,DisclosureOfMainActivitiesAndAccountingAndFinancialMatters,IdentificationOfApprovedAnnualReport,IdentificationOfAuditedFinancialStatements,OpinionOnAuditedFinancialStatements,RecommendationForApprovalOfAnnualReportByGeneralMeeting,SignatureOfAuditorsDate,NameOfAuditFirm
34206872,2017-01-01,2017-12-31,c106,,http://regnskaber.virk.dk/27860243/ZG9rdW1lbnRsYWdlcjovLzAzLzhkLzJlL2UwL2I3LzE0M2YtNGZkNS04ZWIzLTNiZTRjNjkyYjQ2OQ.pdf,http://regnskaber.virk.dk/27860243/ZG9rdW1lbnRsYWdlcjovLzAzLzA2L2Q3LzVlLzYxLzE1MDYtNGIxYi1hMGJmLTNmOGQ5YTk5NDQ0Zg.xml,Danmark,Esbjerg,6700.0,28.0,Esbjerg Brygge,Varde,6800.0,15.0,Gl KÃ¦rvej,2900 Hellerup,Strandvejen 44,Regnskabsklasse B,2019-06-17,2019-06-17,statsautoriseret revisor,33771231.0,34206872.0,33771231.0,mne32115,Ãrsrapport,Palle Habekost Jensen,Jeroen Jan Mol,Jeroen Jan Mol,SÃ¸hÃ¸jlandet Centerbygning ApS,PricewaterhouseCoopers Statsautoriseret Revisionspartnerselskab,Varde,2017-01-01,2017-12-31,2285704.0,Varde,2018-12-31,2018-01-01,1.0,Esbjerg,RevisionspÃ¥tegning,urn:ofk:oid:27608354,indberetninger-20180424,2.5117154,34206872.0,AWuT19a6IXJRhhXBLc_C,2019-06-26T12:52:17.051Z,2019-06-26T12:52:03.824Z,regnskab,0.0,,2018-12-31,2018-01-01,X19-BR-19-RL,2019-06-26T12:52:03.985Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34206872,2017-01-01,2017-12-31,c92,,http://regnskaber.virk.dk/27860243/ZG9rdW1lbnRsYWdlcjovLzAzLzhkLzJlL2UwL2I3LzE0M2YtNGZkNS04ZWIzLTNiZTRjNjkyYjQ2OQ.pdf,http://regnskaber.virk.dk/27860243/ZG9rdW1lbnRsYWdlcjovLzAzLzA2L2Q3LzVlLzYxLzE1MDYtNGIxYi1hMGJmLTNmOGQ5YTk5NDQ0Zg.xml,Danmark,Esbjerg,6700.0,28.0,Esbjerg Brygge,Varde,6800.0,15.0,Gl KÃ¦rvej,2900 Hellerup,Strandvejen 44,Regnskabsklasse B,2019-06-17,2019-06-17,statsautoriseret revisor,33771231.0,34206872.0,33771231.0,mne32115,Ãrsrapport,Palle Habekost Jensen,Jeroen Jan Mol,Jeroen Jan Mol,SÃ¸hÃ¸jlandet Centerbygning ApS,PricewaterhouseCoopers Statsautoriseret Revisionspartnerselskab,Varde,2017-01-01,2017-12-31,2285704.0,Varde,2018-12-31,2018-01-01,1.0,Esbjerg,RevisionspÃ¥tegning,urn:ofk:oid:27608354,indberetninger-20180424,2.5117154,34206872.0,AWuT19a6IXJRhhXBLc_C,2019-06-26T12:52:17.051Z,2019-06-26T12:52:03.824Z,regnskab,0.0,,2018-12-31,2018-01-01,X19-BR-19-RL,2019-06-26T12:52:03.985Z,-803.0,86000.0,558492.0,212730.0,0.0,932.0,2826219.0,298211.0,932.0,316836.0,0.0,18625.0,2929393.0,2613489.0,643689.0,643689.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34206872,2017-12-31,2017-12-31,c109,,http://regnskaber.virk.dk/27860243/ZG9rdW1lbnRsYWdlcjovLzAzLzhkLzJlL2UwL2I3LzE0M2YtNGZkNS04ZWIzLTNiZTRjNjkyYjQ2OQ.pdf,http://regnskaber.virk.dk/27860243/ZG9rdW1lbnRsYWdlcjovLzAzLzA2L2Q3LzVlLzYxLzE1MDYtNGIxYi1hMGJmLTNmOGQ5YTk5NDQ0Zg.xml,Danmark,Esbjerg,6700.0,28.0,Esbjerg Brygge,Varde,6800.0,15.0,Gl KÃ¦rvej,2900 Hellerup,Strandvejen 44,Regnskabsklasse B,2019-06-17,2019-06-17,statsautoriseret revisor,33771231.0,34206872.0,33771231.0,mne32115,Ãrsrapport,Palle Habekost Jensen,Jeroen Jan Mol,Jeroen Jan Mol,SÃ¸hÃ¸jlandet Centerbygning ApS,PricewaterhouseCoopers Statsautoriseret Revisionspartnerselskab,Varde,2017-01-01,2017-12-31,,Varde,2018-12-31,2018-01-01,1.0,Esbjerg,RevisionspÃ¥tegning,urn:ofk:oid:27608354,indberetninger-20180424,2.5117154,34206872.0,AWuT19a6IXJRhhXBLc_C,2019-06-26T12:52:17.051Z,2019-06-26T12:52:03.824Z,regnskab,0.0,,2018-12-31,2018-01-01,X19-BR-19-RL,2019-06-26T12:52:03.985Z,,,,,,,,,,,,,,,,,35605494.0,221579.0,80000.0,24874936.0,34711564.0,303388.0,15268431.0,10427170.0,35605494.0,865930.0,10730558.0,272650.0,1544853.0,80000.0,10730558.0,28000.0,28000.0,34631564.0,0.0,865930.0,19788.0,9384926.0,7486094.0,558492.0,15000.0,353979.0,,,,,,,,,,,,,,,,,,,,,,,,
34206872,2018-01-01,2018-01-01,c0,,http://regnskaber.virk.dk/27860243/ZG9rdW1lbnRsYWdlcjovLzAzLzhkLzJlL2UwL2I3LzE0M2YtNGZkNS04ZWIzLTNiZTRjNjkyYjQ2OQ.pdf,http://regnskaber.virk.dk/27860243/ZG9rdW1lbnRsYWdlcjovLzAzLzA2L2Q3LzVlLzYxLzE1MDYtNGIxYi1hMGJmLTNmOGQ5YTk5NDQ0Zg.xml,Danmark,Esbjerg,6700.0,28.0,Esbjerg Brygge,Varde,6800.0,15.0,Gl KÃ¦rvej,2900 Hellerup,Strandvejen 44,Regnskabsklasse B,2019-06-17,2019-06-17,statsautoriseret revisor,33771231.0,34206872.0,33771231.0,mne32115,Ãrsrapport,Palle Habekost Jensen,Jeroen Jan Mol,Jeroen Jan Mol,SÃ¸hÃ¸jlandet Centerbygning ApS,PricewaterhouseCoopers Statsautoriseret Revisionspartnerselskab,Varde,2017-01-01,2017-12-31,,Varde,2018-12-31,2018-01-01,1.0,Esbjerg,RevisionspÃ¥tegning,urn:ofk:oid:27608354,indberetninger-20180424,2.5117154,34206872.0,AWuT19a6IXJRhhXBLc_C,2019-06-26T12:52:17.051Z,2019-06-26T12:52:03.824Z,regnskab,0.0,,2018-12-31,2018-01-01,X19-BR-19-RL,2019-06-26T12:52:03.985Z,,,,,,,,,,,,,,,,,,,,,80000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34206872,2018-01-01,2018-01-01,c179,,http://regnskaber.virk.dk/27860243/ZG9rdW1lbnRsYWdlcjovLzAzLzhkLzJlL2UwL2I3LzE0M2YtNGZkNS04ZWIzLTNiZTRjNjkyYjQ2OQ.pdf,http://regnskaber.virk.dk/27860243/ZG9rdW1lbnRsYWdlcjovLzAzLzA2L2Q3LzVlLzYxLzE1MDYtNGIxYi1hMGJmLTNmOGQ5YTk5NDQ0Zg.xml,Danmark,Esbjerg,6700.0,28.0,Esbjerg Brygge,Varde,6800.0,15.0,Gl KÃ¦rvej,2900 Hellerup,Strandvejen 44,Regnskabsklasse B,2019-06-17,2019-06-17,statsautoriseret revisor,33771231.0,34206872.0,33771231.0,mne32115,Ãrsrapport,Palle Habekost Jensen,Jeroen Jan Mol,Jeroen Jan Mol,SÃ¸hÃ¸jlandet Centerbygning ApS,PricewaterhouseCoopers Statsautoriseret Revisionspartnerselskab,Varde,2017-01-01,2017-12-31,,Varde,2018-12-31,2018-01-01,1.0,Esbjerg,RevisionspÃ¥tegning,urn:ofk:oid:27608354,indberetninger-20180424,2.5117154,34206872.0,AWuT19a6IXJRhhXBLc_C,2019-06-26T12:52:17.051Z,2019-06-26T12:52:03.824Z,regnskab,0.0,,2018-12-31,2018-01-01,X19-BR-19-RL,2019-06-26T12:52:03.985Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,899025.0,11326195.0,,,,,,,,,,,,,,,,,,,,,,
34206872,2018-01-01,2018-01-01,c188,,http://regnskaber.virk.dk/27860243/ZG9rdW1lbnRsYWdlcjovLzAzLzhkLzJlL2UwL2I3LzE0M2YtNGZkNS04ZWIzLTNiZTRjNjkyYjQ2OQ.pdf,http://regnskaber.virk.dk/27860243/ZG9rdW1lbnRsYWdlcjovLzAzLzA2L2Q3LzVlLzYxLzE1MDYtNGIxYi1hMGJmLTNmOGQ5YTk5NDQ0Zg.xml,Danmark,Esbjerg,6700.0,28.0,Esbjerg Brygge,Varde,6800.0,15.0,Gl KÃ¦rvej,2900 Hellerup,Strandvejen 44,Regnskabsklasse B,2019-06-17,2019-06-17,statsautoriseret revisor,33771231.0,34206872.0,33771231.0,mne32115,Ãrsrapport,Palle Habekost Jensen,Jeroen Jan Mol,Jeroen Jan Mol,SÃ¸hÃ¸jlandet Centerbygning ApS,PricewaterhouseCoopers Statsautoriseret Revisionspartnerselskab,Varde,2017-01-01,2017-12-31,,Varde,2018-12-31,2018-01-01,1.0,Esbjerg,RevisionspÃ¥tegning,urn:ofk:oid:27608354,indberetninger-20180424,2.5117154,34206872.0,AWuT19a6IXJRhhXBLc_C,2019-06-26T12:52:17.051Z,2019-06-26T12:52:03.824Z,regnskab,0.0,,2018-12-31,2018-01-01,X19-BR-19-RL,2019-06-26T12:52:03.985Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29769.0,333157.0,,,,,,,,,,,,,,,,,,,,,,
34206872,2018-01-01,2018-01-01,c20,,http://regnskaber.virk.dk/27860243/ZG9rdW1lbnRsYWdlcjovLzAzLzhkLzJlL2UwL2I3LzE0M2YtNGZkNS04ZWIzLTNiZTRjNjkyYjQ2OQ.pdf,http://regnskaber.virk.dk/27860243/ZG9rdW1lbnRsYWdlcjovLzAzLzA2L2Q3LzVlLzYxLzE1MDYtNGIxYi1hMGJmLTNmOGQ5YTk5NDQ0Zg.xml,Danmark,Esbjerg,6700.0,28.0,Esbjerg Brygge,Varde,6800.0,15.0,Gl KÃ¦rvej,2900 Hellerup,Strandvejen 44,Regnskabsklasse B,2019-06-17,2019-06-17,statsautoriseret revisor,33771231.0,34206872.0,33771231.0,mne32115,Ãrsrapport,Palle Habekost Jensen,Jeroen Jan Mol,Jeroen Jan Mol,SÃ¸hÃ¸jlandet Centerbygning ApS,PricewaterhouseCoopers Statsautoriseret Revisionspartnerselskab,Varde,2017-01-01,2017-12-31,,Varde,2018-12-31,2018-01-01,1.0,Esbjerg,RevisionspÃ¥tegning,urn:ofk:oid:27608354,indberetninger-20180424,2.5117154,34206872.0,AWuT19a6IXJRhhXBLc_C,2019-06-26T12:52:17.051Z,2019-06-26T12:52:03.824Z,regnskab,0.0,,2018-12-31,2018-01-01,X19-BR-19-RL,2019-06-26T12:52:03.985Z,,,,,,,,,,,,,,,,,,,,,34631564.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34206872,2018-01-01,2018-12-31,c105,,http://regnskaber.virk.dk/27860243/ZG9rdW1lbnRsYWdlcjovLzAzLzhkLzJlL2UwL2I3LzE0M2YtNGZkNS04ZWIzLTNiZTRjNjkyYjQ2OQ.pdf,http://regnskaber.virk.dk/27860243/ZG9rdW1lbnRsYWdlcjovLzAzLzA2L2Q3LzVlLzYxLzE1MDYtNGIxYi1hMGJmLTNmOGQ5YTk5NDQ0Zg.xml,Danmark,Esbjerg,6700.0,28.0,Esbjerg Brygge,Varde,6800.0,15.0,Gl KÃ¦rvej,2900 Hellerup,Strandvejen 44,Regnskabsklasse B,2019-06-17,2019-06-17,statsautoriseret revisor,33771231.0,34206872.0,33771231.0,mne32115,Ãrsrapport,Palle Habekost Jensen,Jeroen Jan Mol,Jeroen Jan Mol,SÃ¸hÃ¸jlandet Centerbygning ApS,PricewaterhouseCoopers Statsautoriseret Revisionspartnerselskab,Varde,2017-01-01,2017-12-31,1512525.0,Varde,2018-12-31,2018-01-01,1.0,Esbjerg,RevisionspÃ¥tegning,urn:ofk:oid:27608354,indberetninger-20180424,2.5117154,34206872.0,AWuT19a6IXJRhhXBLc_C,2019-06-26T12:52:17.051Z,2019-06-26T12:52:03.824Z,regnskab,0.0,,2018-12-31,2018-01-01,X19-BR-19-RL,2019-06-26T12:52:03.985Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34206872,2018-01-01,2018-12-31,c183,,http://regnskaber.virk.dk/27860243/ZG9rdW1lbnRsYWdlcjovLzAzLzhkLzJlL2UwL2I3LzE0M2YtNGZkNS04ZWIzLTNiZTRjNjkyYjQ2OQ.pdf,http://regnskaber.virk.dk/27860243/ZG9rdW1lbnRsYWdlcjovLzAzLzA2L2Q3LzVlLzYxLzE1MDYtNGIxYi1hMGJmLTNmOGQ5YTk5NDQ0Zg.xml,Danmark,Esbjerg,6700.0,28.0,Esbjerg Brygge,Varde,6800.0,15.0,Gl KÃ¦rvej,2900 Hellerup,Strandvejen 44,Regnskabsklasse B,2019-06-17,2019-06-17,statsautoriseret revisor,33771231.0,34206872.0,33771231.0,mne32115,Ãrsrapport,Palle Habekost Jensen,Jeroen Jan Mol,Jeroen Jan Mol,SÃ¸hÃ¸jlandet Centerbygning ApS,PricewaterhouseCoopers Statsautoriseret Revisionspartnerselskab,Varde,2017-01-01,2017-12-31,,Varde,2018-12-31,2018-01-01,1.0,Esbjerg,RevisionspÃ¥tegning,urn:ofk:oid:27608354,indberetninger-20180424,2.5117154,34206872.0,AWuT19a6IXJRhhXBLc_C,2019-06-26T12:52:17.051Z,2019-06-26T12:52:03.824Z,regnskab,0.0,,2018-12-31,2018-01-01,X19-BR-19-RL,2019-06-26T12:52:03.985Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9628139.0,811129.0,15268431.0,,,,,,,,,,,,,,,,,,,
34206872,2018-01-01,2018-12-31,c189,,http://regnskaber.virk.dk/27860243/ZG9rdW1lbnRsYWdlcjovLzAzLzhkLzJlL2UwL2I3LzE0M2YtNGZkNS04ZWIzLTNiZTRjNjkyYjQ2OQ.pdf,http://regnskaber.virk.dk/27860243/ZG9rdW1lbnRsYWdlcjovLzAzLzA2L2Q3LzVlLzYxLzE1MDYtNGIxYi1hMGJmLTNmOGQ5YTk5NDQ0Zg.xml,Danmark,Esbjerg,6700.0,28.0,Esbjerg Brygge,Varde,6800.0,15.0,Gl KÃ¦rvej,2900 Hellerup,Strandvejen 44,Regnskabsklasse B,2019-06-17,2019-06-17,statsautoriseret revisor,33771231.0,34206872.0,33771231.0,mne32115,Ãrsrapport,Palle Habekost Jensen,Jeroen Jan Mol,Jeroen Jan Mol,SÃ¸hÃ¸jlandet Centerbygning ApS,PricewaterhouseCoopers Statsautoriseret Revisionspartnerselskab,Varde,2017-01-01,2017-12-31,,Varde,2018-12-31,2018-01-01,1.0,Esbjerg,RevisionspÃ¥tegning,urn:ofk:oid:27608354,indberetninger-20180424,2.5117154,34206872.0,AWuT19a6IXJRhhXBLc_C,2019-06-26T12:52:17.051Z,2019-06-26T12:52:03.824Z,regnskab,0.0,,2018-12-31,2018-01-01,X19-BR-19-RL,2019-06-26T12:52:03.985Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,137080.0,25163.0,0.0,,,,,,,,,,,,,,,,,,,
