entity,start_date,end_date,context,AARSRAPPORT_pdf,AARSRAPPORT_xml,AdditionsToPropertyPlantAndEquipment,AddressOfAuditorCountry,AddressOfAuditorDistrictName,AddressOfAuditorPostCodeIdentifier,AddressOfAuditorStreetBuildingIdentifier,AddressOfAuditorStreetName,AddressOfFinancialDistrictName,AddressOfFinancialPostCodeIdentifier,AddressOfFinancialStreetBuildingIdentifier,AddressOfFinancialStreetName,AddressOfReportingEntityDistrictName,AddressOfReportingEntityPostCodeIdentifier,AddressOfReportingEntityStreetBuildingIdentifier,AddressOfReportingEntityStreetName,AddressOfSubmittingEnterprisePostcodeAndTown,AddressOfSubmittingEnterpriseStreetAndNumber,AddresseeOfAuditorsReportOnAuditedFinancialStatements,ClassOfReportingEntity,DateOfApprovalOfAnnualReport,DateOfApprovalOfReport,DateOfFoundationOfReportingEntity,DateOfGeneralMeeting,DepreciationOfPropertyPlantAndEquipment,DescriptionOfAuditor,EmailOfAuditor,EmailOfReportingEntity,Equity,HomepageOfReportingEntity,IdentificationNumberCvrOfAuditFirm,IdentificationNumberCvrOfFinancialInstitution,IdentificationNumberCvrOfReportingEntity,IdentificationNumberCvrOfSubmittingEnterprise,InformationOnTypeOfSubmittedReport,NameAndSurnameOfAuditor,NameAndSurnameOfChairmanOfGeneralMeeting,NameOfAuditFirm,NameOfFinancialInstitution,NameOfReportingEntity,NameOfSubmittingEnterprise,PlaceOfSignatureOfStatement,RegisteredOfficeOfReportingEntity,ReportingPeriodEndDate,ReportingPeriodStartDate,SignatureOfAuditorsDate,SignatureOfAuditorsPlace,TelephoneNumberOfAuditor,TelephoneNumberOfReportingEntity,TypeOfAuditorAssistance,_id,_index,_score,cvrNummer,indlaesningsId,indlaesningsTidspunkt,offentliggoerelsesTidspunkt,offentliggoerelsestype,omgoerelse,regNummer,regnskabsperiode_slutDato,regnskabsperiode_startDato,sagsNummer,sidstOpdateret,ProfitLoss,DepreciationAmortisationExpenseAndImpairmentLossesOfPropertyPlantAndEquipmentAndIntangibleAssetsRecognisedInProfitOrLoss,EmployeeBenefitsExpense,GrossProfitLoss,InterestExpenseAssignedToGroupEnterprises,OtherEmployeeExpense,OtherFinanceExpenses,OtherFinanceIncome,OtherFinanceIncomeFromGroupEnterprises,OtherInterestExpenses,OtherOperatingExpenses,PostemploymentBenefitExpense,ProfitLossFromOrdinaryActivitiesBeforeTax,ProfitLossFromOrdinaryOperatingActivities,SocialSecurityContributions,TaxExpenseOnOrdinaryActivities,WagesAndSalaries,Assets,CashAndCashEquivalents,ContributedCapital,CurrentAssets,CurrentDeferredTaxAssets,FixturesFittingsToolsAndEquipment,Inventories,LiabilitiesAndEquity,LiabilitiesOtherThanProvisions,LongtermInvestmentsAndReceivables,ManufacturedGoodsAndGoodsForResale,NoncurrentAssets,OtherLongtermReceivables,OtherShorttermPayables,OtherShorttermReceivables,PropertyPlantAndEquipment,ProposedDividend,RetainedEarnings,ShorttermDebtToBanks,ShorttermDeferredIncome,ShorttermLiabilitiesOtherThanProvisions,ShorttermPrepaymentsReceivedFromCustomers,ShorttermReceivables,ShorttermTaxReceivables,ShorttermTradePayables,ShorttermTradeReceivables,AccumulatedImpairmentLossesAndDepreciationOfPropertyPlantAndEquipment,PropertyPlantAndEquipmentGross,AccumulatedImpairmentLossesAndAmortisationOfIntangibleAssets,IntangibleAssetsGross,NameAndSurnameOfMemberOfExecutiveBoard
28515952,2012-01-01,2012-01-01,c460,http://regnskaber.virk.dk/25951582/Y3ZyLmRrOi8vcGRmcy8yODUxNTk1MjtBcFMzNDY0Njk7MjAxMzAxMDE7MjAxMzEyMzE7UjtS.pdf,http://regnskaber.virk.dk/25951582/Y3ZyLmRrOi8veGJybHMvWC0xMUQwMDU2OS0yMDE0MDUyOF8yMDI5NDBfNTk0.xml,84435.0,Danmark,KÃ¸ge,4600.0,13.0,FÃ¦ndediget,Kgs. Lyngby,2800.0,25.0,Lyngby Hovedgade,Gentofte,2820.0,10.0,Sandtoften,"4600, KÃ¸ge","FÃ¦ndediget, 13",anpartshaverne,Regnskabsklasse B,2014-05-28,2014-05-28,2005-03-23,2014-05-28,6267.0,statsautoriseret revisor,koege@glb.dk,info@sofiamanning.com,125000.0,www.sofiamanning.com,30821963.0,61126228.0,28515952.0,30821963.0,Ãrsrapport,Allan Ãstergaard JÃ¸rgensen,Dennis Chris Manning,"GLB REVISION, Statsautoriserede Revisorer A/S",Danske Bank,Manning Inspire ApS,"GLB REVISION, Statsautoriserede Revisorer A/S",Gentofte,Gentofte,2013-12-31,2013-01-01,2014-05-28,KÃ¸ge,56655252.0,70223592.0,RevisionspÃ¥tegning,urn:ofk:oid:16608235,indberetninger-20180424,2.5097508,28515952.0,,2018-04-01T05:35:08.943Z,2014-05-29T22:00:00.000Z,regnskab,0.0,,2013-12-31,2013-01-01,14-79.851,2014-05-29T22:00:00.000Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28515952,2012-01-01,2012-01-01,c478,http://regnskaber.virk.dk/25951582/Y3ZyLmRrOi8vcGRmcy8yODUxNTk1MjtBcFMzNDY0Njk7MjAxMzAxMDE7MjAxMzEyMzE7UjtS.pdf,http://regnskaber.virk.dk/25951582/Y3ZyLmRrOi8veGJybHMvWC0xMUQwMDU2OS0yMDE0MDUyOF8yMDI5NDBfNTk0.xml,84435.0,Danmark,KÃ¸ge,4600.0,13.0,FÃ¦ndediget,Kgs. Lyngby,2800.0,25.0,Lyngby Hovedgade,Gentofte,2820.0,10.0,Sandtoften,"4600, KÃ¸ge","FÃ¦ndediget, 13",anpartshaverne,Regnskabsklasse B,2014-05-28,2014-05-28,2005-03-23,2014-05-28,6267.0,statsautoriseret revisor,koege@glb.dk,info@sofiamanning.com,160.0,www.sofiamanning.com,30821963.0,61126228.0,28515952.0,30821963.0,Ãrsrapport,Allan Ãstergaard JÃ¸rgensen,Dennis Chris Manning,"GLB REVISION, Statsautoriserede Revisorer A/S",Danske Bank,Manning Inspire ApS,"GLB REVISION, Statsautoriserede Revisorer A/S",Gentofte,Gentofte,2013-12-31,2013-01-01,2014-05-28,KÃ¸ge,56655252.0,70223592.0,RevisionspÃ¥tegning,urn:ofk:oid:16608235,indberetninger-20180424,2.5097508,28515952.0,,2018-04-01T05:35:08.943Z,2014-05-29T22:00:00.000Z,regnskab,0.0,,2013-12-31,2013-01-01,14-79.851,2014-05-29T22:00:00.000Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28515952,2012-01-01,2012-12-31,c108,http://regnskaber.virk.dk/25951582/Y3ZyLmRrOi8vcGRmcy8yODUxNTk1MjtBcFMzNDY0Njk7MjAxMzAxMDE7MjAxMzEyMzE7UjtS.pdf,http://regnskaber.virk.dk/25951582/Y3ZyLmRrOi8veGJybHMvWC0xMUQwMDU2OS0yMDE0MDUyOF8yMDI5NDBfNTk0.xml,84435.0,Danmark,KÃ¸ge,4600.0,13.0,FÃ¦ndediget,Kgs. Lyngby,2800.0,25.0,Lyngby Hovedgade,Gentofte,2820.0,10.0,Sandtoften,"4600, KÃ¸ge","FÃ¦ndediget, 13",anpartshaverne,Regnskabsklasse B,2014-05-28,2014-05-28,2005-03-23,2014-05-28,6267.0,statsautoriseret revisor,koege@glb.dk,info@sofiamanning.com,,www.sofiamanning.com,30821963.0,61126228.0,28515952.0,30821963.0,Ãrsrapport,Allan Ãstergaard JÃ¸rgensen,Dennis Chris Manning,"GLB REVISION, Statsautoriserede Revisorer A/S",Danske Bank,Manning Inspire ApS,"GLB REVISION, Statsautoriserede Revisorer A/S",Gentofte,Gentofte,2013-12-31,2013-01-01,2014-05-28,KÃ¸ge,56655252.0,70223592.0,RevisionspÃ¥tegning,urn:ofk:oid:16608235,indberetninger-20180424,2.5097508,28515952.0,,2018-04-01T05:35:08.943Z,2014-05-29T22:00:00.000Z,regnskab,0.0,,2013-12-31,2013-01-01,14-79.851,2014-05-29T22:00:00.000Z,103000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28515952,2012-01-01,2012-12-31,c120,http://regnskaber.virk.dk/25951582/Y3ZyLmRrOi8vcGRmcy8yODUxNTk1MjtBcFMzNDY0Njk7MjAxMzAxMDE7MjAxMzEyMzE7UjtS.pdf,http://regnskaber.virk.dk/25951582/Y3ZyLmRrOi8veGJybHMvWC0xMUQwMDU2OS0yMDE0MDUyOF8yMDI5NDBfNTk0.xml,84435.0,Danmark,KÃ¸ge,4600.0,13.0,FÃ¦ndediget,Kgs. Lyngby,2800.0,25.0,Lyngby Hovedgade,Gentofte,2820.0,10.0,Sandtoften,"4600, KÃ¸ge","FÃ¦ndediget, 13",anpartshaverne,Regnskabsklasse B,2014-05-28,2014-05-28,2005-03-23,2014-05-28,6267.0,statsautoriseret revisor,koege@glb.dk,info@sofiamanning.com,,www.sofiamanning.com,30821963.0,61126228.0,28515952.0,30821963.0,Ãrsrapport,Allan Ãstergaard JÃ¸rgensen,Dennis Chris Manning,"GLB REVISION, Statsautoriserede Revisorer A/S",Danske Bank,Manning Inspire ApS,"GLB REVISION, Statsautoriserede Revisorer A/S",Gentofte,Gentofte,2013-12-31,2013-01-01,2014-05-28,KÃ¸ge,56655252.0,70223592.0,RevisionspÃ¥tegning,urn:ofk:oid:16608235,indberetninger-20180424,2.5097508,28515952.0,,2018-04-01T05:35:08.943Z,2014-05-29T22:00:00.000Z,regnskab,0.0,,2013-12-31,2013-01-01,14-79.851,2014-05-29T22:00:00.000Z,516.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28515952,2012-01-01,2012-12-31,c3,http://regnskaber.virk.dk/25951582/Y3ZyLmRrOi8vcGRmcy8yODUxNTk1MjtBcFMzNDY0Njk7MjAxMzAxMDE7MjAxMzEyMzE7UjtS.pdf,http://regnskaber.virk.dk/25951582/Y3ZyLmRrOi8veGJybHMvWC0xMUQwMDU2OS0yMDE0MDUyOF8yMDI5NDBfNTk0.xml,84435.0,Danmark,KÃ¸ge,4600.0,13.0,FÃ¦ndediget,Kgs. Lyngby,2800.0,25.0,Lyngby Hovedgade,Gentofte,2820.0,10.0,Sandtoften,"4600, KÃ¸ge","FÃ¦ndediget, 13",anpartshaverne,Regnskabsklasse B,2014-05-28,2014-05-28,2005-03-23,2014-05-28,6267.0,statsautoriseret revisor,koege@glb.dk,info@sofiamanning.com,,www.sofiamanning.com,30821963.0,61126228.0,28515952.0,30821963.0,Ãrsrapport,Allan Ãstergaard JÃ¸rgensen,Dennis Chris Manning,"GLB REVISION, Statsautoriserede Revisorer A/S",Danske Bank,Manning Inspire ApS,"GLB REVISION, Statsautoriserede Revisorer A/S",Gentofte,Gentofte,2013-12-31,2013-01-01,2014-05-28,KÃ¸ge,56655252.0,70223592.0,RevisionspÃ¥tegning,urn:ofk:oid:16608235,indberetninger-20180424,2.5097508,28515952.0,,2018-04-01T05:35:08.943Z,2014-05-29T22:00:00.000Z,regnskab,0.0,,2013-12-31,2013-01-01,14-79.851,2014-05-29T22:00:00.000Z,1033914.0,32032.0,5532652.0,6965533.0,0.0,357969.0,5883.0,11717.0,8305.0,5883.0,20337.0,0.0,1394651.0,1380512.0,24004.0,360737.0,5150679.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28515952,2012-01-01,2012-12-31,c389,http://regnskaber.virk.dk/25951582/Y3ZyLmRrOi8vcGRmcy8yODUxNTk1MjtBcFMzNDY0Njk7MjAxMzAxMDE7MjAxMzEyMzE7UjtS.pdf,http://regnskaber.virk.dk/25951582/Y3ZyLmRrOi8veGJybHMvWC0xMUQwMDU2OS0yMDE0MDUyOF8yMDI5NDBfNTk0.xml,84435.0,Danmark,KÃ¸ge,4600.0,13.0,FÃ¦ndediget,Kgs. Lyngby,2800.0,25.0,Lyngby Hovedgade,Gentofte,2820.0,10.0,Sandtoften,"4600, KÃ¸ge","FÃ¦ndediget, 13",anpartshaverne,Regnskabsklasse B,2014-05-28,2014-05-28,2005-03-23,2014-05-28,6267.0,statsautoriseret revisor,koege@glb.dk,info@sofiamanning.com,,www.sofiamanning.com,30821963.0,61126228.0,28515952.0,30821963.0,Ãrsrapport,Allan Ãstergaard JÃ¸rgensen,Dennis Chris Manning,"GLB REVISION, Statsautoriserede Revisorer A/S",Danske Bank,Manning Inspire ApS,"GLB REVISION, Statsautoriserede Revisorer A/S",Gentofte,Gentofte,2013-12-31,2013-01-01,2014-05-28,KÃ¸ge,56655252.0,70223592.0,RevisionspÃ¥tegning,urn:ofk:oid:16608235,indberetninger-20180424,2.5097508,28515952.0,,2018-04-01T05:35:08.943Z,2014-05-29T22:00:00.000Z,regnskab,0.0,,2013-12-31,2013-01-01,14-79.851,2014-05-29T22:00:00.000Z,930398.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28515952,2012-01-01,2012-12-31,c479,http://regnskaber.virk.dk/25951582/Y3ZyLmRrOi8vcGRmcy8yODUxNTk1MjtBcFMzNDY0Njk7MjAxMzAxMDE7MjAxMzEyMzE7UjtS.pdf,http://regnskaber.virk.dk/25951582/Y3ZyLmRrOi8veGJybHMvWC0xMUQwMDU2OS0yMDE0MDUyOF8yMDI5NDBfNTk0.xml,84435.0,Danmark,KÃ¸ge,4600.0,13.0,FÃ¦ndediget,Kgs. Lyngby,2800.0,25.0,Lyngby Hovedgade,Gentofte,2820.0,10.0,Sandtoften,"4600, KÃ¸ge","FÃ¦ndediget, 13",anpartshaverne,Regnskabsklasse B,2014-05-28,2014-05-28,2005-03-23,2014-05-28,6267.0,statsautoriseret revisor,koege@glb.dk,info@sofiamanning.com,,www.sofiamanning.com,30821963.0,61126228.0,28515952.0,30821963.0,Ãrsrapport,Allan Ãstergaard JÃ¸rgensen,Dennis Chris Manning,"GLB REVISION, Statsautoriserede Revisorer A/S",Danske Bank,Manning Inspire ApS,"GLB REVISION, Statsautoriserede Revisorer A/S",Gentofte,Gentofte,2013-12-31,2013-01-01,2014-05-28,KÃ¸ge,56655252.0,70223592.0,RevisionspÃ¥tegning,urn:ofk:oid:16608235,indberetninger-20180424,2.5097508,28515952.0,,2018-04-01T05:35:08.943Z,2014-05-29T22:00:00.000Z,regnskab,0.0,,2013-12-31,2013-01-01,14-79.851,2014-05-29T22:00:00.000Z,516.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28515952,2012-12-31,2012-12-31,c4,http://regnskaber.virk.dk/25951582/Y3ZyLmRrOi8vcGRmcy8yODUxNTk1MjtBcFMzNDY0Njk7MjAxMzAxMDE7MjAxMzEyMzE7UjtS.pdf,http://regnskaber.virk.dk/25951582/Y3ZyLmRrOi8veGJybHMvWC0xMUQwMDU2OS0yMDE0MDUyOF8yMDI5NDBfNTk0.xml,84435.0,Danmark,KÃ¸ge,4600.0,13.0,FÃ¦ndediget,Kgs. Lyngby,2800.0,25.0,Lyngby Hovedgade,Gentofte,2820.0,10.0,Sandtoften,"4600, KÃ¸ge","FÃ¦ndediget, 13",anpartshaverne,Regnskabsklasse B,2014-05-28,2014-05-28,2005-03-23,2014-05-28,6267.0,statsautoriseret revisor,koege@glb.dk,info@sofiamanning.com,125676.0,www.sofiamanning.com,30821963.0,61126228.0,28515952.0,30821963.0,Ãrsrapport,Allan Ãstergaard JÃ¸rgensen,Dennis Chris Manning,"GLB REVISION, Statsautoriserede Revisorer A/S",Danske Bank,Manning Inspire ApS,"GLB REVISION, Statsautoriserede Revisorer A/S",Gentofte,Gentofte,2013-12-31,2013-01-01,2014-05-28,KÃ¸ge,56655252.0,70223592.0,RevisionspÃ¥tegning,urn:ofk:oid:16608235,indberetninger-20180424,2.5097508,28515952.0,,2018-04-01T05:35:08.943Z,2014-05-29T22:00:00.000Z,regnskab,0.0,,2013-12-31,2013-01-01,14-79.851,2014-05-29T22:00:00.000Z,,,,,,,,,,,,,,,,,,4479530.0,2565383.0,125000.0,4206351.0,15270.0,6789.0,30743.0,4479530.0,4353854.0,266390.0,30743.0,273179.0,266390.0,1015617.0,0.0,6789.0,103000.0,676.0,40502.0,2987831.0,4353854.0,0.0,1610225.0,186075.0,206904.0,1408880.0,,,,,
28515952,2012-12-31,2012-12-31,c456,http://regnskaber.virk.dk/25951582/Y3ZyLmRrOi8vcGRmcy8yODUxNTk1MjtBcFMzNDY0Njk7MjAxMzAxMDE7MjAxMzEyMzE7UjtS.pdf,http://regnskaber.virk.dk/25951582/Y3ZyLmRrOi8veGJybHMvWC0xMUQwMDU2OS0yMDE0MDUyOF8yMDI5NDBfNTk0.xml,84435.0,Danmark,KÃ¸ge,4600.0,13.0,FÃ¦ndediget,Kgs. Lyngby,2800.0,25.0,Lyngby Hovedgade,Gentofte,2820.0,10.0,Sandtoften,"4600, KÃ¸ge","FÃ¦ndediget, 13",anpartshaverne,Regnskabsklasse B,2014-05-28,2014-05-28,2005-03-23,2014-05-28,6267.0,statsautoriseret revisor,koege@glb.dk,info@sofiamanning.com,125000.0,www.sofiamanning.com,30821963.0,61126228.0,28515952.0,30821963.0,Ãrsrapport,Allan Ãstergaard JÃ¸rgensen,Dennis Chris Manning,"GLB REVISION, Statsautoriserede Revisorer A/S",Danske Bank,Manning Inspire ApS,"GLB REVISION, Statsautoriserede Revisorer A/S",Gentofte,Gentofte,2013-12-31,2013-01-01,2014-05-28,KÃ¸ge,56655252.0,70223592.0,RevisionspÃ¥tegning,urn:ofk:oid:16608235,indberetninger-20180424,2.5097508,28515952.0,,2018-04-01T05:35:08.943Z,2014-05-29T22:00:00.000Z,regnskab,0.0,,2013-12-31,2013-01-01,14-79.851,2014-05-29T22:00:00.000Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28515952,2012-12-31,2012-12-31,c480,http://regnskaber.virk.dk/25951582/Y3ZyLmRrOi8vcGRmcy8yODUxNTk1MjtBcFMzNDY0Njk7MjAxMzAxMDE7MjAxMzEyMzE7UjtS.pdf,http://regnskaber.virk.dk/25951582/Y3ZyLmRrOi8veGJybHMvWC0xMUQwMDU2OS0yMDE0MDUyOF8yMDI5NDBfNTk0.xml,84435.0,Danmark,KÃ¸ge,4600.0,13.0,FÃ¦ndediget,Kgs. Lyngby,2800.0,25.0,Lyngby Hovedgade,Gentofte,2820.0,10.0,Sandtoften,"4600, KÃ¸ge","FÃ¦ndediget, 13",anpartshaverne,Regnskabsklasse B,2014-05-28,2014-05-28,2005-03-23,2014-05-28,6267.0,statsautoriseret revisor,koege@glb.dk,info@sofiamanning.com,676.0,www.sofiamanning.com,30821963.0,61126228.0,28515952.0,30821963.0,Ãrsrapport,Allan Ãstergaard JÃ¸rgensen,Dennis Chris Manning,"GLB REVISION, Statsautoriserede Revisorer A/S",Danske Bank,Manning Inspire ApS,"GLB REVISION, Statsautoriserede Revisorer A/S",Gentofte,Gentofte,2013-12-31,2013-01-01,2014-05-28,KÃ¸ge,56655252.0,70223592.0,RevisionspÃ¥tegning,urn:ofk:oid:16608235,indberetninger-20180424,2.5097508,28515952.0,,2018-04-01T05:35:08.943Z,2014-05-29T22:00:00.000Z,regnskab,0.0,,2013-12-31,2013-01-01,14-79.851,2014-05-29T22:00:00.000Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
