entity,start_date,end_date,context,AARSRAPPORT_html,AARSRAPPORT_pdf,AARSRAPPORT_xml,AddressOfReportingEntityDistrictName,AddressOfSubmittingEnterprisePostcodeAndTown,AddressOfSubmittingEnterpriseStreetAndNumber,ClassOfReportingEntity,DateOfApprovalOfAnnualReport,DateOfFoundationOfReportingEntity,DateOfGeneralMeeting,GrossResult,IdentificationNumberCvrOfReportingEntity,IdentificationNumberCvrOfSubmittingEnterprise,InformationOnTypeOfSubmittedReport,NameAndSurnameOfChairmanOfGeneralMeeting,NameAndSurnameOfMemberOfExecutiveBoard,NameOfReportingEntity,NameOfSubmittingEnterprise,OtherFinanceIncome,PlaceOfSignatureOfStatement,ProfitLoss,ProfitLossFromOrdinaryOperatingActivities,RegisteredOfficeOfReportingEntity,ReportingPeriodEndDate,ReportingPeriodStartDate,TaxExpenseOnOrdinaryActivities,TypeOfAuditorAssistance,_id,_index,_score,cvrNummer,indlaesningsId,indlaesningsTidspunkt,offentliggoerelsesTidspunkt,offentliggoerelsestype,omgoerelse,regNummer,regnskabsperiode_slutDato,regnskabsperiode_startDato,sagsNummer,sidstOpdateret,Assets,ContributedCapital,CurrentAssets,Equity,LiabilitiesAndEquity,RetainedEarnings,ShorttermReceivables,ShorttermReceivablesFromGroupEnterprises,AddressOfReportingEntityStreetName
30826507,2014-01-01,2014-12-31,c1,,http://regnskaber.virk.dk/70562803/ZG9rdW1lbnRsYWdlcjovLzAzLzE4LzBlLzczLzJkL2EwZGEtNDYxZS04OTlkLWRlNzE0NmNkODYyNA.pdf,http://regnskaber.virk.dk/70562803/ZG9rdW1lbnRsYWdlcjovLzAzL2Y1L2U5LzBiLzNjL2VkNTAtNGViYS04ZTQzLThkM2NjOWE3MTA3MA.xml,DK-9000 Aalborg,9000 Aalborg,Vesterbro 18,Regnskabsklasse B,2016-02-26,2007-09-13,2016-04-12,-5000.0,30826507.0,20438401.0,Ãrsrapport,Anne Marie SÃ¸rensen,Anne Marie SÃ¸rensen,BÃ¼nde 2007 ApS,Kristensen Properties A/S,5000.0,Aalborg,0.0,-5000.0,Aalborg,2015-12-31,2015-01-01,0.0,Ingen bistand,urn:ofk:oid:22376751,indberetninger-20180424,2.5124266,30826507.0,,2018-03-28T21:05:05.160Z,2016-05-18T07:11:10.244Z,regnskab,0.0,,2015-12-31,2015-01-01,X16-AW-08-YL,2016-05-18T07:11:10.583Z,,,,,,,,,
30826507,2014-01-01,2014-12-31,c30,,http://regnskaber.virk.dk/70562803/ZG9rdW1lbnRsYWdlcjovLzAzLzE4LzBlLzczLzJkL2EwZGEtNDYxZS04OTlkLWRlNzE0NmNkODYyNA.pdf,http://regnskaber.virk.dk/70562803/ZG9rdW1lbnRsYWdlcjovLzAzL2Y1L2U5LzBiLzNjL2VkNTAtNGViYS04ZTQzLThkM2NjOWE3MTA3MA.xml,DK-9000 Aalborg,9000 Aalborg,Vesterbro 18,Regnskabsklasse B,2016-02-26,2007-09-13,2016-04-12,,30826507.0,20438401.0,Ãrsrapport,Anne Marie SÃ¸rensen,Anne Marie SÃ¸rensen,BÃ¼nde 2007 ApS,Kristensen Properties A/S,,Aalborg,0.0,,Aalborg,2015-12-31,2015-01-01,,Ingen bistand,urn:ofk:oid:22376751,indberetninger-20180424,2.5124266,30826507.0,,2018-03-28T21:05:05.160Z,2016-05-18T07:11:10.244Z,regnskab,0.0,,2015-12-31,2015-01-01,X16-AW-08-YL,2016-05-18T07:11:10.583Z,,,,,,,,,
30826507,2014-12-31,2014-12-31,c4,,http://regnskaber.virk.dk/70562803/ZG9rdW1lbnRsYWdlcjovLzAzLzE4LzBlLzczLzJkL2EwZGEtNDYxZS04OTlkLWRlNzE0NmNkODYyNA.pdf,http://regnskaber.virk.dk/70562803/ZG9rdW1lbnRsYWdlcjovLzAzL2Y1L2U5LzBiLzNjL2VkNTAtNGViYS04ZTQzLThkM2NjOWE3MTA3MA.xml,DK-9000 Aalborg,9000 Aalborg,Vesterbro 18,Regnskabsklasse B,2016-02-26,2007-09-13,2016-04-12,,30826507.0,20438401.0,Ãrsrapport,Anne Marie SÃ¸rensen,Anne Marie SÃ¸rensen,BÃ¼nde 2007 ApS,Kristensen Properties A/S,,Aalborg,,,Aalborg,2015-12-31,2015-01-01,,Ingen bistand,urn:ofk:oid:22376751,indberetninger-20180424,2.5124266,30826507.0,,2018-03-28T21:05:05.160Z,2016-05-18T07:11:10.244Z,regnskab,0.0,,2015-12-31,2015-01-01,X16-AW-08-YL,2016-05-18T07:11:10.583Z,125047.0,125000.0,125047.0,125047.0,125047.0,47.0,125047.0,125047.0,
30826507,2015-01-01,2015-01-01,c137,,http://regnskaber.virk.dk/70562803/ZG9rdW1lbnRsYWdlcjovLzAzLzE4LzBlLzczLzJkL2EwZGEtNDYxZS04OTlkLWRlNzE0NmNkODYyNA.pdf,http://regnskaber.virk.dk/70562803/ZG9rdW1lbnRsYWdlcjovLzAzL2Y1L2U5LzBiLzNjL2VkNTAtNGViYS04ZTQzLThkM2NjOWE3MTA3MA.xml,DK-9000 Aalborg,9000 Aalborg,Vesterbro 18,Regnskabsklasse B,2016-02-26,2007-09-13,2016-04-12,,30826507.0,20438401.0,Ãrsrapport,Anne Marie SÃ¸rensen,Anne Marie SÃ¸rensen,BÃ¼nde 2007 ApS,Kristensen Properties A/S,,Aalborg,,,Aalborg,2015-12-31,2015-01-01,,Ingen bistand,urn:ofk:oid:22376751,indberetninger-20180424,2.5124266,30826507.0,,2018-03-28T21:05:05.160Z,2016-05-18T07:11:10.244Z,regnskab,0.0,,2015-12-31,2015-01-01,X16-AW-08-YL,2016-05-18T07:11:10.583Z,,,,125000.0,,,,,
30826507,2015-01-01,2015-01-01,c158,,http://regnskaber.virk.dk/70562803/ZG9rdW1lbnRsYWdlcjovLzAzLzE4LzBlLzczLzJkL2EwZGEtNDYxZS04OTlkLWRlNzE0NmNkODYyNA.pdf,http://regnskaber.virk.dk/70562803/ZG9rdW1lbnRsYWdlcjovLzAzL2Y1L2U5LzBiLzNjL2VkNTAtNGViYS04ZTQzLThkM2NjOWE3MTA3MA.xml,DK-9000 Aalborg,9000 Aalborg,Vesterbro 18,Regnskabsklasse B,2016-02-26,2007-09-13,2016-04-12,,30826507.0,20438401.0,Ãrsrapport,Anne Marie SÃ¸rensen,Anne Marie SÃ¸rensen,BÃ¼nde 2007 ApS,Kristensen Properties A/S,,Aalborg,,,Aalborg,2015-12-31,2015-01-01,,Ingen bistand,urn:ofk:oid:22376751,indberetninger-20180424,2.5124266,30826507.0,,2018-03-28T21:05:05.160Z,2016-05-18T07:11:10.244Z,regnskab,0.0,,2015-12-31,2015-01-01,X16-AW-08-YL,2016-05-18T07:11:10.583Z,,,,47.0,,,,,
30826507,2015-01-01,2015-12-31,c0,,http://regnskaber.virk.dk/70562803/ZG9rdW1lbnRsYWdlcjovLzAzLzE4LzBlLzczLzJkL2EwZGEtNDYxZS04OTlkLWRlNzE0NmNkODYyNA.pdf,http://regnskaber.virk.dk/70562803/ZG9rdW1lbnRsYWdlcjovLzAzL2Y1L2U5LzBiLzNjL2VkNTAtNGViYS04ZTQzLThkM2NjOWE3MTA3MA.xml,DK-9000 Aalborg,9000 Aalborg,Vesterbro 18,Regnskabsklasse B,2016-02-26,2007-09-13,2016-04-12,-5000.0,30826507.0,20438401.0,Ãrsrapport,Anne Marie SÃ¸rensen,Anne Marie SÃ¸rensen,BÃ¼nde 2007 ApS,Kristensen Properties A/S,5000.0,Aalborg,0.0,-5000.0,Aalborg,2015-12-31,2015-01-01,0.0,Ingen bistand,urn:ofk:oid:22376751,indberetninger-20180424,2.5124266,30826507.0,,2018-03-28T21:05:05.160Z,2016-05-18T07:11:10.244Z,regnskab,0.0,,2015-12-31,2015-01-01,X16-AW-08-YL,2016-05-18T07:11:10.583Z,,,,,,,,,"Vesterbro 18, DK-9000 Aalborg"
30826507,2015-01-01,2015-12-31,c199,,http://regnskaber.virk.dk/70562803/ZG9rdW1lbnRsYWdlcjovLzAzLzE4LzBlLzczLzJkL2EwZGEtNDYxZS04OTlkLWRlNzE0NmNkODYyNA.pdf,http://regnskaber.virk.dk/70562803/ZG9rdW1lbnRsYWdlcjovLzAzL2Y1L2U5LzBiLzNjL2VkNTAtNGViYS04ZTQzLThkM2NjOWE3MTA3MA.xml,DK-9000 Aalborg,9000 Aalborg,Vesterbro 18,Regnskabsklasse B,2016-02-26,2007-09-13,2016-04-12,,30826507.0,20438401.0,Ãrsrapport,Anne Marie SÃ¸rensen,Anne Marie SÃ¸rensen,BÃ¼nde 2007 ApS,Kristensen Properties A/S,,Aalborg,,,Aalborg,2015-12-31,2015-01-01,,Ingen bistand,urn:ofk:oid:22376751,indberetninger-20180424,2.5124266,30826507.0,,2018-03-28T21:05:05.160Z,2016-05-18T07:11:10.244Z,regnskab,0.0,,2015-12-31,2015-01-01,X16-AW-08-YL,2016-05-18T07:11:10.583Z,,,,,,,,,
30826507,2015-01-01,2015-12-31,c29,,http://regnskaber.virk.dk/70562803/ZG9rdW1lbnRsYWdlcjovLzAzLzE4LzBlLzczLzJkL2EwZGEtNDYxZS04OTlkLWRlNzE0NmNkODYyNA.pdf,http://regnskaber.virk.dk/70562803/ZG9rdW1lbnRsYWdlcjovLzAzL2Y1L2U5LzBiLzNjL2VkNTAtNGViYS04ZTQzLThkM2NjOWE3MTA3MA.xml,DK-9000 Aalborg,9000 Aalborg,Vesterbro 18,Regnskabsklasse B,2016-02-26,2007-09-13,2016-04-12,,30826507.0,20438401.0,Ãrsrapport,Anne Marie SÃ¸rensen,Anne Marie SÃ¸rensen,BÃ¼nde 2007 ApS,Kristensen Properties A/S,,Aalborg,0.0,,Aalborg,2015-12-31,2015-01-01,,Ingen bistand,urn:ofk:oid:22376751,indberetninger-20180424,2.5124266,30826507.0,,2018-03-28T21:05:05.160Z,2016-05-18T07:11:10.244Z,regnskab,0.0,,2015-12-31,2015-01-01,X16-AW-08-YL,2016-05-18T07:11:10.583Z,,,,,,,,,
30826507,2015-12-31,2015-12-31,c139,,http://regnskaber.virk.dk/70562803/ZG9rdW1lbnRsYWdlcjovLzAzLzE4LzBlLzczLzJkL2EwZGEtNDYxZS04OTlkLWRlNzE0NmNkODYyNA.pdf,http://regnskaber.virk.dk/70562803/ZG9rdW1lbnRsYWdlcjovLzAzL2Y1L2U5LzBiLzNjL2VkNTAtNGViYS04ZTQzLThkM2NjOWE3MTA3MA.xml,DK-9000 Aalborg,9000 Aalborg,Vesterbro 18,Regnskabsklasse B,2016-02-26,2007-09-13,2016-04-12,,30826507.0,20438401.0,Ãrsrapport,Anne Marie SÃ¸rensen,Anne Marie SÃ¸rensen,BÃ¼nde 2007 ApS,Kristensen Properties A/S,,Aalborg,,,Aalborg,2015-12-31,2015-01-01,,Ingen bistand,urn:ofk:oid:22376751,indberetninger-20180424,2.5124266,30826507.0,,2018-03-28T21:05:05.160Z,2016-05-18T07:11:10.244Z,regnskab,0.0,,2015-12-31,2015-01-01,X16-AW-08-YL,2016-05-18T07:11:10.583Z,,,,125000.0,,,,,
30826507,2015-12-31,2015-12-31,c160,,http://regnskaber.virk.dk/70562803/ZG9rdW1lbnRsYWdlcjovLzAzLzE4LzBlLzczLzJkL2EwZGEtNDYxZS04OTlkLWRlNzE0NmNkODYyNA.pdf,http://regnskaber.virk.dk/70562803/ZG9rdW1lbnRsYWdlcjovLzAzL2Y1L2U5LzBiLzNjL2VkNTAtNGViYS04ZTQzLThkM2NjOWE3MTA3MA.xml,DK-9000 Aalborg,9000 Aalborg,Vesterbro 18,Regnskabsklasse B,2016-02-26,2007-09-13,2016-04-12,,30826507.0,20438401.0,Ãrsrapport,Anne Marie SÃ¸rensen,Anne Marie SÃ¸rensen,BÃ¼nde 2007 ApS,Kristensen Properties A/S,,Aalborg,,,Aalborg,2015-12-31,2015-01-01,,Ingen bistand,urn:ofk:oid:22376751,indberetninger-20180424,2.5124266,30826507.0,,2018-03-28T21:05:05.160Z,2016-05-18T07:11:10.244Z,regnskab,0.0,,2015-12-31,2015-01-01,X16-AW-08-YL,2016-05-18T07:11:10.583Z,,,,47.0,,,,,
