entity,start_date,end_date,context,AARSRAPPORT_html,AARSRAPPORT_pdf,AARSRAPPORT_xml,AddressOfReportingEntityDistrictName,AddressOfSubmittingEnterprisePostcodeAndTown,AddressOfSubmittingEnterpriseStreetAndNumber,ClassOfReportingEntity,DateOfApprovalOfAnnualReport,DateOfFoundationOfReportingEntity,DateOfGeneralMeeting,GrossResult,IdentificationNumberCvrOfReportingEntity,IdentificationNumberCvrOfSubmittingEnterprise,InformationOnTypeOfSubmittedReport,NameAndSurnameOfChairmanOfGeneralMeeting,NameAndSurnameOfMemberOfExecutiveBoard,NameOfReportingEntity,NameOfSubmittingEnterprise,OtherFinanceIncome,PlaceOfSignatureOfStatement,PrecedingReportingPeriodStartDate,PredingReportingPeriodEndDate,ProfitLoss,ProfitLossFromOrdinaryOperatingActivities,RegisteredOfficeOfReportingEntity,ReportingPeriodEndDate,ReportingPeriodStartDate,TaxExpenseOnOrdinaryActivities,TypeOfAuditorAssistance,_id,_index,_score,cvrNummer,indlaesningsId,indlaesningsTidspunkt,offentliggoerelsesTidspunkt,offentliggoerelsestype,omgoerelse,regNummer,regnskabsperiode_slutDato,regnskabsperiode_startDato,sagsNummer,sidstOpdateret,Assets,ContributedCapital,CurrentAssets,Equity,LiabilitiesAndEquity,RetainedEarnings,ShorttermReceivables,ShorttermReceivablesFromGroupEnterprises
30826507,2017-01-01,2017-12-31,c1,,http://regnskaber.virk.dk/70562803/ZG9rdW1lbnRsYWdlcjovLzAzLzAxLzAzL2Q2LzZhLzExZmYtNDYyMC04MDdmLTUxYjkzNzNhODFiMw.pdf,http://regnskaber.virk.dk/70562803/ZG9rdW1lbnRsYWdlcjovLzAzLzZjL2JkL2VmLzQ3L2VjM2UtNDRiMy1hYjMwLTgwZjJkNjJjNGU1Yg.xml,DK-9000 Aalborg,9000 Aalborg,Vesterbro 18,Regnskabsklasse B,2019-03-25,2007-09-13,2019-04-04,-5000.0,30826507.0,20438401.0,Ãrsrapport,Anne Marie SÃ¸rensen,Anne Marie SÃ¸rensen,BÃ¼nde 2007 ApS,Kristensen Properties A/S,5000.0,Aalborg,2017-01-01,2017-12-31,0.0,-5000.0,Aalborg,2018-12-31,2018-01-01,0.0,Ingen bistand,urn:ofk:oid:26941592,indberetninger-20180424,2.5095925,30826507.0,AWnsNDiGRYGX6_YTGmXt,2019-04-05T06:34:58.862Z,2019-04-05T06:33:58.573Z,regnskab,0.0,,2018-12-31,2018-01-01,X19-AW-33-KB,2019-04-05T06:33:58.763Z,,,,,,,,
30826507,2017-01-01,2017-12-31,c30,,http://regnskaber.virk.dk/70562803/ZG9rdW1lbnRsYWdlcjovLzAzLzAxLzAzL2Q2LzZhLzExZmYtNDYyMC04MDdmLTUxYjkzNzNhODFiMw.pdf,http://regnskaber.virk.dk/70562803/ZG9rdW1lbnRsYWdlcjovLzAzLzZjL2JkL2VmLzQ3L2VjM2UtNDRiMy1hYjMwLTgwZjJkNjJjNGU1Yg.xml,DK-9000 Aalborg,9000 Aalborg,Vesterbro 18,Regnskabsklasse B,2019-03-25,2007-09-13,2019-04-04,,30826507.0,20438401.0,Ãrsrapport,Anne Marie SÃ¸rensen,Anne Marie SÃ¸rensen,BÃ¼nde 2007 ApS,Kristensen Properties A/S,,Aalborg,2017-01-01,2017-12-31,0.0,,Aalborg,2018-12-31,2018-01-01,,Ingen bistand,urn:ofk:oid:26941592,indberetninger-20180424,2.5095925,30826507.0,AWnsNDiGRYGX6_YTGmXt,2019-04-05T06:34:58.862Z,2019-04-05T06:33:58.573Z,regnskab,0.0,,2018-12-31,2018-01-01,X19-AW-33-KB,2019-04-05T06:33:58.763Z,,,,,,,,
30826507,2017-12-31,2017-12-31,c4,,http://regnskaber.virk.dk/70562803/ZG9rdW1lbnRsYWdlcjovLzAzLzAxLzAzL2Q2LzZhLzExZmYtNDYyMC04MDdmLTUxYjkzNzNhODFiMw.pdf,http://regnskaber.virk.dk/70562803/ZG9rdW1lbnRsYWdlcjovLzAzLzZjL2JkL2VmLzQ3L2VjM2UtNDRiMy1hYjMwLTgwZjJkNjJjNGU1Yg.xml,DK-9000 Aalborg,9000 Aalborg,Vesterbro 18,Regnskabsklasse B,2019-03-25,2007-09-13,2019-04-04,,30826507.0,20438401.0,Ãrsrapport,Anne Marie SÃ¸rensen,Anne Marie SÃ¸rensen,BÃ¼nde 2007 ApS,Kristensen Properties A/S,,Aalborg,2017-01-01,2017-12-31,,,Aalborg,2018-12-31,2018-01-01,,Ingen bistand,urn:ofk:oid:26941592,indberetninger-20180424,2.5095925,30826507.0,AWnsNDiGRYGX6_YTGmXt,2019-04-05T06:34:58.862Z,2019-04-05T06:33:58.573Z,regnskab,0.0,,2018-12-31,2018-01-01,X19-AW-33-KB,2019-04-05T06:33:58.763Z,125047.0,125000.0,125047.0,125047.0,125047.0,47.0,125047.0,125047.0
30826507,2018-01-01,2018-01-01,c137,,http://regnskaber.virk.dk/70562803/ZG9rdW1lbnRsYWdlcjovLzAzLzAxLzAzL2Q2LzZhLzExZmYtNDYyMC04MDdmLTUxYjkzNzNhODFiMw.pdf,http://regnskaber.virk.dk/70562803/ZG9rdW1lbnRsYWdlcjovLzAzLzZjL2JkL2VmLzQ3L2VjM2UtNDRiMy1hYjMwLTgwZjJkNjJjNGU1Yg.xml,DK-9000 Aalborg,9000 Aalborg,Vesterbro 18,Regnskabsklasse B,2019-03-25,2007-09-13,2019-04-04,,30826507.0,20438401.0,Ãrsrapport,Anne Marie SÃ¸rensen,Anne Marie SÃ¸rensen,BÃ¼nde 2007 ApS,Kristensen Properties A/S,,Aalborg,2017-01-01,2017-12-31,,,Aalborg,2018-12-31,2018-01-01,,Ingen bistand,urn:ofk:oid:26941592,indberetninger-20180424,2.5095925,30826507.0,AWnsNDiGRYGX6_YTGmXt,2019-04-05T06:34:58.862Z,2019-04-05T06:33:58.573Z,regnskab,0.0,,2018-12-31,2018-01-01,X19-AW-33-KB,2019-04-05T06:33:58.763Z,,,,125000.0,,,,
30826507,2018-01-01,2018-01-01,c158,,http://regnskaber.virk.dk/70562803/ZG9rdW1lbnRsYWdlcjovLzAzLzAxLzAzL2Q2LzZhLzExZmYtNDYyMC04MDdmLTUxYjkzNzNhODFiMw.pdf,http://regnskaber.virk.dk/70562803/ZG9rdW1lbnRsYWdlcjovLzAzLzZjL2JkL2VmLzQ3L2VjM2UtNDRiMy1hYjMwLTgwZjJkNjJjNGU1Yg.xml,DK-9000 Aalborg,9000 Aalborg,Vesterbro 18,Regnskabsklasse B,2019-03-25,2007-09-13,2019-04-04,,30826507.0,20438401.0,Ãrsrapport,Anne Marie SÃ¸rensen,Anne Marie SÃ¸rensen,BÃ¼nde 2007 ApS,Kristensen Properties A/S,,Aalborg,2017-01-01,2017-12-31,,,Aalborg,2018-12-31,2018-01-01,,Ingen bistand,urn:ofk:oid:26941592,indberetninger-20180424,2.5095925,30826507.0,AWnsNDiGRYGX6_YTGmXt,2019-04-05T06:34:58.862Z,2019-04-05T06:33:58.573Z,regnskab,0.0,,2018-12-31,2018-01-01,X19-AW-33-KB,2019-04-05T06:33:58.763Z,,,,47.0,,,,
30826507,2018-01-01,2018-12-31,c0,,http://regnskaber.virk.dk/70562803/ZG9rdW1lbnRsYWdlcjovLzAzLzAxLzAzL2Q2LzZhLzExZmYtNDYyMC04MDdmLTUxYjkzNzNhODFiMw.pdf,http://regnskaber.virk.dk/70562803/ZG9rdW1lbnRsYWdlcjovLzAzLzZjL2JkL2VmLzQ3L2VjM2UtNDRiMy1hYjMwLTgwZjJkNjJjNGU1Yg.xml,DK-9000 Aalborg,9000 Aalborg,Vesterbro 18,Regnskabsklasse B,2019-03-25,2007-09-13,2019-04-04,-5000.0,30826507.0,20438401.0,Ãrsrapport,Anne Marie SÃ¸rensen,Anne Marie SÃ¸rensen,BÃ¼nde 2007 ApS,Kristensen Properties A/S,5000.0,Aalborg,2017-01-01,2017-12-31,0.0,-5000.0,Aalborg,2018-12-31,2018-01-01,0.0,Ingen bistand,urn:ofk:oid:26941592,indberetninger-20180424,2.5095925,30826507.0,AWnsNDiGRYGX6_YTGmXt,2019-04-05T06:34:58.862Z,2019-04-05T06:33:58.573Z,regnskab,0.0,,2018-12-31,2018-01-01,X19-AW-33-KB,2019-04-05T06:33:58.763Z,,,,,,,,
30826507,2018-01-01,2018-12-31,c199,,http://regnskaber.virk.dk/70562803/ZG9rdW1lbnRsYWdlcjovLzAzLzAxLzAzL2Q2LzZhLzExZmYtNDYyMC04MDdmLTUxYjkzNzNhODFiMw.pdf,http://regnskaber.virk.dk/70562803/ZG9rdW1lbnRsYWdlcjovLzAzLzZjL2JkL2VmLzQ3L2VjM2UtNDRiMy1hYjMwLTgwZjJkNjJjNGU1Yg.xml,DK-9000 Aalborg,9000 Aalborg,Vesterbro 18,Regnskabsklasse B,2019-03-25,2007-09-13,2019-04-04,,30826507.0,20438401.0,Ãrsrapport,Anne Marie SÃ¸rensen,Anne Marie SÃ¸rensen,BÃ¼nde 2007 ApS,Kristensen Properties A/S,,Aalborg,2017-01-01,2017-12-31,,,Aalborg,2018-12-31,2018-01-01,,Ingen bistand,urn:ofk:oid:26941592,indberetninger-20180424,2.5095925,30826507.0,AWnsNDiGRYGX6_YTGmXt,2019-04-05T06:34:58.862Z,2019-04-05T06:33:58.573Z,regnskab,0.0,,2018-12-31,2018-01-01,X19-AW-33-KB,2019-04-05T06:33:58.763Z,,,,,,,,
30826507,2018-01-01,2018-12-31,c29,,http://regnskaber.virk.dk/70562803/ZG9rdW1lbnRsYWdlcjovLzAzLzAxLzAzL2Q2LzZhLzExZmYtNDYyMC04MDdmLTUxYjkzNzNhODFiMw.pdf,http://regnskaber.virk.dk/70562803/ZG9rdW1lbnRsYWdlcjovLzAzLzZjL2JkL2VmLzQ3L2VjM2UtNDRiMy1hYjMwLTgwZjJkNjJjNGU1Yg.xml,DK-9000 Aalborg,9000 Aalborg,Vesterbro 18,Regnskabsklasse B,2019-03-25,2007-09-13,2019-04-04,,30826507.0,20438401.0,Ãrsrapport,Anne Marie SÃ¸rensen,Anne Marie SÃ¸rensen,BÃ¼nde 2007 ApS,Kristensen Properties A/S,,Aalborg,2017-01-01,2017-12-31,0.0,,Aalborg,2018-12-31,2018-01-01,,Ingen bistand,urn:ofk:oid:26941592,indberetninger-20180424,2.5095925,30826507.0,AWnsNDiGRYGX6_YTGmXt,2019-04-05T06:34:58.862Z,2019-04-05T06:33:58.573Z,regnskab,0.0,,2018-12-31,2018-01-01,X19-AW-33-KB,2019-04-05T06:33:58.763Z,,,,,,,,
30826507,2018-12-31,2018-12-31,c139,,http://regnskaber.virk.dk/70562803/ZG9rdW1lbnRsYWdlcjovLzAzLzAxLzAzL2Q2LzZhLzExZmYtNDYyMC04MDdmLTUxYjkzNzNhODFiMw.pdf,http://regnskaber.virk.dk/70562803/ZG9rdW1lbnRsYWdlcjovLzAzLzZjL2JkL2VmLzQ3L2VjM2UtNDRiMy1hYjMwLTgwZjJkNjJjNGU1Yg.xml,DK-9000 Aalborg,9000 Aalborg,Vesterbro 18,Regnskabsklasse B,2019-03-25,2007-09-13,2019-04-04,,30826507.0,20438401.0,Ãrsrapport,Anne Marie SÃ¸rensen,Anne Marie SÃ¸rensen,BÃ¼nde 2007 ApS,Kristensen Properties A/S,,Aalborg,2017-01-01,2017-12-31,,,Aalborg,2018-12-31,2018-01-01,,Ingen bistand,urn:ofk:oid:26941592,indberetninger-20180424,2.5095925,30826507.0,AWnsNDiGRYGX6_YTGmXt,2019-04-05T06:34:58.862Z,2019-04-05T06:33:58.573Z,regnskab,0.0,,2018-12-31,2018-01-01,X19-AW-33-KB,2019-04-05T06:33:58.763Z,,,,125000.0,,,,
30826507,2018-12-31,2018-12-31,c160,,http://regnskaber.virk.dk/70562803/ZG9rdW1lbnRsYWdlcjovLzAzLzAxLzAzL2Q2LzZhLzExZmYtNDYyMC04MDdmLTUxYjkzNzNhODFiMw.pdf,http://regnskaber.virk.dk/70562803/ZG9rdW1lbnRsYWdlcjovLzAzLzZjL2JkL2VmLzQ3L2VjM2UtNDRiMy1hYjMwLTgwZjJkNjJjNGU1Yg.xml,DK-9000 Aalborg,9000 Aalborg,Vesterbro 18,Regnskabsklasse B,2019-03-25,2007-09-13,2019-04-04,,30826507.0,20438401.0,Ãrsrapport,Anne Marie SÃ¸rensen,Anne Marie SÃ¸rensen,BÃ¼nde 2007 ApS,Kristensen Properties A/S,,Aalborg,2017-01-01,2017-12-31,,,Aalborg,2018-12-31,2018-01-01,,Ingen bistand,urn:ofk:oid:26941592,indberetninger-20180424,2.5095925,30826507.0,AWnsNDiGRYGX6_YTGmXt,2019-04-05T06:34:58.862Z,2019-04-05T06:33:58.573Z,regnskab,0.0,,2018-12-31,2018-01-01,X19-AW-33-KB,2019-04-05T06:33:58.763Z,,,,47.0,,,,
