entity,start_date,end_date,context,AARSRAPPORT_html,AARSRAPPORT_pdf,AARSRAPPORT_xml,AccountingPoliciesAreUnchangedFromPreviousPeriod,AddressOfAuditorDistrictName,AddressOfAuditorPostCodeIdentifier,AddressOfAuditorStreetBuildingIdentifier,AddressOfAuditorStreetName,AddressOfFinancialDistrictName,AddressOfFinancialPostCodeIdentifier,AddressOfFinancialStreetBuildingIdentifier,AddressOfFinancialStreetName,AddressOfReportingEntityPostCodeIdentifier,AddressOfReportingEntityStreetName,AddressOfSubmittingEnterprisePostcodeAndTown,AddressOfSubmittingEnterpriseStreetAndNumber,AdjustmentsForDeferredTax,ClassOfReportingEntity,ConfirmationThatAnnualReportIsPresentedInAccordanceWithRequirementsProvidedForByLegislationAnyStandardsAndRequirementsProvidedByArticlesOfAssociationOrByAgreement,ConfirmationThatFinancialStatementGivesTrueAndFairViewOfAssetsLiabilitiesEquityFinancialPositionAndResults,CurrentTaxExpense,DateOfApprovalOfAnnualReport,DateOfFoundationOfReportingEntity,DateOfGeneralMeeting,DescriptionOfAuditor,DisclosureOfContingentAssets,DividendPaid,ExternalExpenses,IdentificationNumberCvrOfAuditFirm,IdentificationNumberCvrOfReportingEntity,IdentificationNumberCvrOfSubmittingEnterprise,IdentificationOfApprovedAnnualReport,IncomeFromInvestmentsInGroupEnterprisesAndAssociates,InformationOnTypeOfSubmittedReport,ManagementsStatementAboutManagementsReview,NameAndSurnameOfAuditor,NameAndSurnameOfChairmanOfGeneralMeeting,NameOfFinancialInstitution,NameOfReportingEntity,NameOfSubmittingEnterprise,OtherFinanceExpenses,OtherFinanceIncome,OtherInterestExpenses,OtherInterestIncome,PlaceOfSignatureOfStatement,PrecedingReportingPeriodStartDate,PredingReportingPeriodEndDate,ProfitLoss,ProfitLossFromOrdinaryActivitiesBeforeTax,ProfitLossFromOrdinaryOperatingActivities,RecommendationForApprovalOfAnnualReportByGeneralMeeting,RegisteredOfficeOfReportingEntity,ReportingPeriodEndDate,ReportingPeriodStartDate,SelectedElementsFromReportingClassC,SignatureOfAuditorsDate,SignatureOfAuditorsPlace,TaxExpenseOnOrdinaryActivities,_id,_index,_score,cvrNummer,indlaesningsId,indlaesningsTidspunkt,offentliggoerelsesTidspunkt,offentliggoerelsestype,omgoerelse,regNummer,regnskabsperiode_slutDato,regnskabsperiode_startDato,sagsNummer,sidstOpdateret,Assets,CashAndCashEquivalents,ContributedCapital,Equity,LiabilitiesAndEquity,LiabilitiesOtherThanProvisions,LongtermInvestmentsAndReceivables,LongtermInvestmentsInAssociates,NoncurrentAssets,OtherLongtermReceivables,ProposedDividendRecognisedInEquity,RetainedEarnings,ShorttermLiabilitiesOtherThanProvisions,ShorttermReceivables,ShorttermReceivablesFromAssociates,ShorttermTaxReceivables,ShorttermTradePayables,AccumulatedRevaluationsOfInvestments,InvestmentsGross,AddresseeOfAuditorsReportOnExtendedReviewOfFinancialStatements,NameOfAuditFirm,TypeOfAuditorAssistance,AdditionsToInvestments,DisposalsOfInvestments,DividendIncomeRelatedToInvestments,RevaluationsOfInvestmentsOfTheYear,NameAndSurnameOfMemberOfExecutiveBoard
32559352,2015-04-02,2016-04-01,c175,,http://regnskaber.virk.dk/25395523/ZG9rdW1lbnRsYWdlcjovLzAzLzQ5Lzg1LzAzL2M5L2NiM2MtNDlhMi1iMjUxLWMxN2NjOGM1NmJlYw.pdf,http://regnskaber.virk.dk/25395523/ZG9rdW1lbnRsYWdlcjovLzAzLzEyLzNhL2RlLzQ1LzU4YzEtNDY0Mi04YjU2LTAxMTRiMWMxNTA1MA.xml,true,Viborg,8800.0,"11, 1. sal",Tingvej,Viborg,8800.0,21.0,Sct. Mathias Gade,8620 Kjellerup,Vinkelvej 4,DK-8800 Viborg,"Tingvej 11, 1. sal",-743.0,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 1. april 2017 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 2. april 2016 - 1. april 2017.",12584.0,2017-08-29,2009-11-01,2017-08-30,Statsautoriseret revisor,Ingen.,-500000.0,-8946.0,20222670.0,32559352.0,20222670.0,Direktionen har dags dato behandlet og godkendt Ã¥rsrapporten for 2. april 2016 - 1. april 2017 for Gidex Holding Jylland ApS.,261196.0,Ãrsrapport,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Thomas Witzky,Jette Fledelius Andersen,Jyske Bank,Gidex Holding Jylland ApS,BDO Statsautoriseret revisionsaktieselskab,-266.0,66156.0,266.0,66156.0,Kjellerup,2015-04-02,2016-04-01,306299.0,318140.0,252250.0,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,Kjellerup,2017-04-01,2016-04-02,true,2017-08-29,Viborg,-11841.0,urn:ofk:oid:24451212,indberetninger-20180424,2.5097342,32559352.0,,2018-03-27T14:08:01.899Z,2017-08-30T11:12:49.326Z,regnskab,0.0,,2017-04-01,2016-04-02,X17-AS-91-XV,2017-08-30T11:12:49.495Z,,,,,,,,,,,,,,,,,,,,,,,,,,,
32559352,2015-04-02,2016-04-01,c177,,http://regnskaber.virk.dk/25395523/ZG9rdW1lbnRsYWdlcjovLzAzLzQ5Lzg1LzAzL2M5L2NiM2MtNDlhMi1iMjUxLWMxN2NjOGM1NmJlYw.pdf,http://regnskaber.virk.dk/25395523/ZG9rdW1lbnRsYWdlcjovLzAzLzEyLzNhL2RlLzQ1LzU4YzEtNDY0Mi04YjU2LTAxMTRiMWMxNTA1MA.xml,true,Viborg,8800.0,"11, 1. sal",Tingvej,Viborg,8800.0,21.0,Sct. Mathias Gade,8620 Kjellerup,Vinkelvej 4,DK-8800 Viborg,"Tingvej 11, 1. sal",,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 1. april 2017 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 2. april 2016 - 1. april 2017.",,2017-08-29,2009-11-01,2017-08-30,Statsautoriseret revisor,Ingen.,-500000.0,,20222670.0,32559352.0,20222670.0,Direktionen har dags dato behandlet og godkendt Ã¥rsrapporten for 2. april 2016 - 1. april 2017 for Gidex Holding Jylland ApS.,,Ãrsrapport,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Thomas Witzky,Jette Fledelius Andersen,Jyske Bank,Gidex Holding Jylland ApS,BDO Statsautoriseret revisionsaktieselskab,,,,,Kjellerup,2015-04-02,2016-04-01,500000.0,,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,Kjellerup,2017-04-01,2016-04-02,true,2017-08-29,Viborg,,urn:ofk:oid:24451212,indberetninger-20180424,2.5097342,32559352.0,,2018-03-27T14:08:01.899Z,2017-08-30T11:12:49.326Z,regnskab,0.0,,2017-04-01,2016-04-02,X17-AS-91-XV,2017-08-30T11:12:49.495Z,,,,,,,,,,,,,,,,,,,,,,,,,,,
32559352,2015-04-02,2016-04-01,c195,,http://regnskaber.virk.dk/25395523/ZG9rdW1lbnRsYWdlcjovLzAzLzQ5Lzg1LzAzL2M5L2NiM2MtNDlhMi1iMjUxLWMxN2NjOGM1NmJlYw.pdf,http://regnskaber.virk.dk/25395523/ZG9rdW1lbnRsYWdlcjovLzAzLzEyLzNhL2RlLzQ1LzU4YzEtNDY0Mi04YjU2LTAxMTRiMWMxNTA1MA.xml,true,Viborg,8800.0,"11, 1. sal",Tingvej,Viborg,8800.0,21.0,Sct. Mathias Gade,8620 Kjellerup,Vinkelvej 4,DK-8800 Viborg,"Tingvej 11, 1. sal",,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 1. april 2017 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 2. april 2016 - 1. april 2017.",,2017-08-29,2009-11-01,2017-08-30,Statsautoriseret revisor,Ingen.,-500000.0,,20222670.0,32559352.0,20222670.0,Direktionen har dags dato behandlet og godkendt Ã¥rsrapporten for 2. april 2016 - 1. april 2017 for Gidex Holding Jylland ApS.,,Ãrsrapport,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Thomas Witzky,Jette Fledelius Andersen,Jyske Bank,Gidex Holding Jylland ApS,BDO Statsautoriseret revisionsaktieselskab,,,,,Kjellerup,2015-04-02,2016-04-01,-193701.0,,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,Kjellerup,2017-04-01,2016-04-02,true,2017-08-29,Viborg,,urn:ofk:oid:24451212,indberetninger-20180424,2.5097342,32559352.0,,2018-03-27T14:08:01.899Z,2017-08-30T11:12:49.326Z,regnskab,0.0,,2017-04-01,2016-04-02,X17-AS-91-XV,2017-08-30T11:12:49.495Z,,,,,,,,,,,,,,,,,,,,,,,,,,,
32559352,2016-04-01,2016-04-01,c172,,http://regnskaber.virk.dk/25395523/ZG9rdW1lbnRsYWdlcjovLzAzLzQ5Lzg1LzAzL2M5L2NiM2MtNDlhMi1iMjUxLWMxN2NjOGM1NmJlYw.pdf,http://regnskaber.virk.dk/25395523/ZG9rdW1lbnRsYWdlcjovLzAzLzEyLzNhL2RlLzQ1LzU4YzEtNDY0Mi04YjU2LTAxMTRiMWMxNTA1MA.xml,true,Viborg,8800.0,"11, 1. sal",Tingvej,Viborg,8800.0,21.0,Sct. Mathias Gade,8620 Kjellerup,Vinkelvej 4,DK-8800 Viborg,"Tingvej 11, 1. sal",,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 1. april 2017 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 2. april 2016 - 1. april 2017.",,2017-08-29,2009-11-01,2017-08-30,Statsautoriseret revisor,Ingen.,-500000.0,,20222670.0,32559352.0,20222670.0,Direktionen har dags dato behandlet og godkendt Ã¥rsrapporten for 2. april 2016 - 1. april 2017 for Gidex Holding Jylland ApS.,,Ãrsrapport,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Thomas Witzky,Jette Fledelius Andersen,Jyske Bank,Gidex Holding Jylland ApS,BDO Statsautoriseret revisionsaktieselskab,,,,,Kjellerup,2015-04-02,2016-04-01,,,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,Kjellerup,2017-04-01,2016-04-02,true,2017-08-29,Viborg,,urn:ofk:oid:24451212,indberetninger-20180424,2.5097342,32559352.0,,2018-03-27T14:08:01.899Z,2017-08-30T11:12:49.326Z,regnskab,0.0,,2017-04-01,2016-04-02,X17-AS-91-XV,2017-08-30T11:12:49.495Z,5154656.0,1743627.0,125000.0,5149656.0,5154656.0,5000.0,1885759.0,1339143.0,1885759.0,546616.0,500000.0,4524656.0,5000.0,1525270.0,1468824.0,56446.0,5000.0,,,,,,,,,,
32559352,2016-04-02,2016-04-02,c226,,http://regnskaber.virk.dk/25395523/ZG9rdW1lbnRsYWdlcjovLzAzLzQ5Lzg1LzAzL2M5L2NiM2MtNDlhMi1iMjUxLWMxN2NjOGM1NmJlYw.pdf,http://regnskaber.virk.dk/25395523/ZG9rdW1lbnRsYWdlcjovLzAzLzEyLzNhL2RlLzQ1LzU4YzEtNDY0Mi04YjU2LTAxMTRiMWMxNTA1MA.xml,true,Viborg,8800.0,"11, 1. sal",Tingvej,Viborg,8800.0,21.0,Sct. Mathias Gade,8620 Kjellerup,Vinkelvej 4,DK-8800 Viborg,"Tingvej 11, 1. sal",,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 1. april 2017 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 2. april 2016 - 1. april 2017.",,2017-08-29,2009-11-01,2017-08-30,Statsautoriseret revisor,Ingen.,-500000.0,,20222670.0,32559352.0,20222670.0,Direktionen har dags dato behandlet og godkendt Ã¥rsrapporten for 2. april 2016 - 1. april 2017 for Gidex Holding Jylland ApS.,,Ãrsrapport,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Thomas Witzky,Jette Fledelius Andersen,Jyske Bank,Gidex Holding Jylland ApS,BDO Statsautoriseret revisionsaktieselskab,,,,,Kjellerup,2015-04-02,2016-04-01,,,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,Kjellerup,2017-04-01,2016-04-02,true,2017-08-29,Viborg,,urn:ofk:oid:24451212,indberetninger-20180424,2.5097342,32559352.0,,2018-03-27T14:08:01.899Z,2017-08-30T11:12:49.326Z,regnskab,0.0,,2017-04-01,2016-04-02,X17-AS-91-XV,2017-08-30T11:12:49.495Z,,,,125000.0,,,,,,,,,,,,,,,,,,,,,,,
32559352,2016-04-02,2016-04-02,c253,,http://regnskaber.virk.dk/25395523/ZG9rdW1lbnRsYWdlcjovLzAzLzQ5Lzg1LzAzL2M5L2NiM2MtNDlhMi1iMjUxLWMxN2NjOGM1NmJlYw.pdf,http://regnskaber.virk.dk/25395523/ZG9rdW1lbnRsYWdlcjovLzAzLzEyLzNhL2RlLzQ1LzU4YzEtNDY0Mi04YjU2LTAxMTRiMWMxNTA1MA.xml,true,Viborg,8800.0,"11, 1. sal",Tingvej,Viborg,8800.0,21.0,Sct. Mathias Gade,8620 Kjellerup,Vinkelvej 4,DK-8800 Viborg,"Tingvej 11, 1. sal",,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 1. april 2017 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 2. april 2016 - 1. april 2017.",,2017-08-29,2009-11-01,2017-08-30,Statsautoriseret revisor,Ingen.,-500000.0,,20222670.0,32559352.0,20222670.0,Direktionen har dags dato behandlet og godkendt Ã¥rsrapporten for 2. april 2016 - 1. april 2017 for Gidex Holding Jylland ApS.,,Ãrsrapport,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Thomas Witzky,Jette Fledelius Andersen,Jyske Bank,Gidex Holding Jylland ApS,BDO Statsautoriseret revisionsaktieselskab,,,,,Kjellerup,2015-04-02,2016-04-01,,,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,Kjellerup,2017-04-01,2016-04-02,true,2017-08-29,Viborg,,urn:ofk:oid:24451212,indberetninger-20180424,2.5097342,32559352.0,,2018-03-27T14:08:01.899Z,2017-08-30T11:12:49.326Z,regnskab,0.0,,2017-04-01,2016-04-02,X17-AS-91-XV,2017-08-30T11:12:49.495Z,,,,4524656.0,,,,,,,,,,,,,,,,,,,,,,,
32559352,2016-04-02,2016-04-02,c257,,http://regnskaber.virk.dk/25395523/ZG9rdW1lbnRsYWdlcjovLzAzLzQ5Lzg1LzAzL2M5L2NiM2MtNDlhMi1iMjUxLWMxN2NjOGM1NmJlYw.pdf,http://regnskaber.virk.dk/25395523/ZG9rdW1lbnRsYWdlcjovLzAzLzEyLzNhL2RlLzQ1LzU4YzEtNDY0Mi04YjU2LTAxMTRiMWMxNTA1MA.xml,true,Viborg,8800.0,"11, 1. sal",Tingvej,Viborg,8800.0,21.0,Sct. Mathias Gade,8620 Kjellerup,Vinkelvej 4,DK-8800 Viborg,"Tingvej 11, 1. sal",,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 1. april 2017 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 2. april 2016 - 1. april 2017.",,2017-08-29,2009-11-01,2017-08-30,Statsautoriseret revisor,Ingen.,-500000.0,,20222670.0,32559352.0,20222670.0,Direktionen har dags dato behandlet og godkendt Ã¥rsrapporten for 2. april 2016 - 1. april 2017 for Gidex Holding Jylland ApS.,,Ãrsrapport,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Thomas Witzky,Jette Fledelius Andersen,Jyske Bank,Gidex Holding Jylland ApS,BDO Statsautoriseret revisionsaktieselskab,,,,,Kjellerup,2015-04-02,2016-04-01,,,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,Kjellerup,2017-04-01,2016-04-02,true,2017-08-29,Viborg,,urn:ofk:oid:24451212,indberetninger-20180424,2.5097342,32559352.0,,2018-03-27T14:08:01.899Z,2017-08-30T11:12:49.326Z,regnskab,0.0,,2017-04-01,2016-04-02,X17-AS-91-XV,2017-08-30T11:12:49.495Z,,,,500000.0,,,,,,,,,,,,,,,,,,,,,,,
32559352,2016-04-02,2016-04-02,c567,,http://regnskaber.virk.dk/25395523/ZG9rdW1lbnRsYWdlcjovLzAzLzQ5Lzg1LzAzL2M5L2NiM2MtNDlhMi1iMjUxLWMxN2NjOGM1NmJlYw.pdf,http://regnskaber.virk.dk/25395523/ZG9rdW1lbnRsYWdlcjovLzAzLzEyLzNhL2RlLzQ1LzU4YzEtNDY0Mi04YjU2LTAxMTRiMWMxNTA1MA.xml,true,Viborg,8800.0,"11, 1. sal",Tingvej,Viborg,8800.0,21.0,Sct. Mathias Gade,8620 Kjellerup,Vinkelvej 4,DK-8800 Viborg,"Tingvej 11, 1. sal",,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 1. april 2017 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 2. april 2016 - 1. april 2017.",,2017-08-29,2009-11-01,2017-08-30,Statsautoriseret revisor,Ingen.,-500000.0,,20222670.0,32559352.0,20222670.0,Direktionen har dags dato behandlet og godkendt Ã¥rsrapporten for 2. april 2016 - 1. april 2017 for Gidex Holding Jylland ApS.,,Ãrsrapport,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Thomas Witzky,Jette Fledelius Andersen,Jyske Bank,Gidex Holding Jylland ApS,BDO Statsautoriseret revisionsaktieselskab,,,,,Kjellerup,2015-04-02,2016-04-01,,,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,Kjellerup,2017-04-01,2016-04-02,true,2017-08-29,Viborg,,urn:ofk:oid:24451212,indberetninger-20180424,2.5097342,32559352.0,,2018-03-27T14:08:01.899Z,2017-08-30T11:12:49.326Z,regnskab,0.0,,2017-04-01,2016-04-02,X17-AS-91-XV,2017-08-30T11:12:49.495Z,,,,,,,,,,,,,,,,,,-2272670.0,3611812.0,,,,,,,,
32559352,2016-04-02,2016-04-02,c579,,http://regnskaber.virk.dk/25395523/ZG9rdW1lbnRsYWdlcjovLzAzLzQ5Lzg1LzAzL2M5L2NiM2MtNDlhMi1iMjUxLWMxN2NjOGM1NmJlYw.pdf,http://regnskaber.virk.dk/25395523/ZG9rdW1lbnRsYWdlcjovLzAzLzEyLzNhL2RlLzQ1LzU4YzEtNDY0Mi04YjU2LTAxMTRiMWMxNTA1MA.xml,true,Viborg,8800.0,"11, 1. sal",Tingvej,Viborg,8800.0,21.0,Sct. Mathias Gade,8620 Kjellerup,Vinkelvej 4,DK-8800 Viborg,"Tingvej 11, 1. sal",,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 1. april 2017 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 2. april 2016 - 1. april 2017.",,2017-08-29,2009-11-01,2017-08-30,Statsautoriseret revisor,Ingen.,-500000.0,,20222670.0,32559352.0,20222670.0,Direktionen har dags dato behandlet og godkendt Ã¥rsrapporten for 2. april 2016 - 1. april 2017 for Gidex Holding Jylland ApS.,,Ãrsrapport,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Thomas Witzky,Jette Fledelius Andersen,Jyske Bank,Gidex Holding Jylland ApS,BDO Statsautoriseret revisionsaktieselskab,,,,,Kjellerup,2015-04-02,2016-04-01,,,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,Kjellerup,2017-04-01,2016-04-02,true,2017-08-29,Viborg,,urn:ofk:oid:24451212,indberetninger-20180424,2.5097342,32559352.0,,2018-03-27T14:08:01.899Z,2017-08-30T11:12:49.326Z,regnskab,0.0,,2017-04-01,2016-04-02,X17-AS-91-XV,2017-08-30T11:12:49.495Z,,,,,,,,,,,,,,,,,,0.0,546616.0,,,,,,,,
32559352,2016-04-02,2017-04-01,c174,,http://regnskaber.virk.dk/25395523/ZG9rdW1lbnRsYWdlcjovLzAzLzQ5Lzg1LzAzL2M5L2NiM2MtNDlhMi1iMjUxLWMxN2NjOGM1NmJlYw.pdf,http://regnskaber.virk.dk/25395523/ZG9rdW1lbnRsYWdlcjovLzAzLzEyLzNhL2RlLzQ1LzU4YzEtNDY0Mi04YjU2LTAxMTRiMWMxNTA1MA.xml,true,Viborg,8800.0,"11, 1. sal",Tingvej,Viborg,8800.0,21.0,Sct. Mathias Gade,8620 Kjellerup,Vinkelvej 4,DK-8800 Viborg,"Tingvej 11, 1. sal",0.0,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 1. april 2017 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 2. april 2016 - 1. april 2017.",7678.0,2017-08-29,2009-11-01,2017-08-30,Statsautoriseret revisor,Ingen.,-500000.0,-15627.0,20222670.0,32559352.0,20222670.0,Direktionen har dags dato behandlet og godkendt Ã¥rsrapporten for 2. april 2016 - 1. april 2017 for Gidex Holding Jylland ApS.,286152.0,Ãrsrapport,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Thomas Witzky,Jette Fledelius Andersen,Jyske Bank,Gidex Holding Jylland ApS,BDO Statsautoriseret revisionsaktieselskab,-123.0,51045.0,123.0,51045.0,Kjellerup,2015-04-02,2016-04-01,313769.0,321447.0,270525.0,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,Kjellerup,2017-04-01,2016-04-02,true,2017-08-29,Viborg,-7678.0,urn:ofk:oid:24451212,indberetninger-20180424,2.5097342,32559352.0,,2018-03-27T14:08:01.899Z,2017-08-30T11:12:49.326Z,regnskab,0.0,,2017-04-01,2016-04-02,X17-AS-91-XV,2017-08-30T11:12:49.495Z,,,,,,,,,,,,,,,,,,,,Til kapitalejerne i Gidex Holding Jylland ApS,BDO Statsautoriseret revisionsaktieselskab,ErklÃ¦ring om udvidet gennemgang,,,,,
