entity,start_date,end_date,context,AARSRAPPORT_html,AARSRAPPORT_pdf,AARSRAPPORT_xml,AdditionsToPropertyPlantAndEquipment,AddressOfAuditorPostCodeIdentifier,AddressOfAuditorStreetBuildingIdentifier,AddressOfReportingEntityPostCodeIdentifier,AddressOfReportingEntityStreetBuildingIdentifier,DateOfApprovalOfAnnualReport,DateOfApprovalOfReport,DateOfFoundationOfReportingEntity,DateOfGeneralMeeting,DepreciationOfPropertyPlantAndEquipment,Dividend,Equity,IdentificationNumberCvrOfAuditFirm,IdentificationNumberCvrOfReportingEntity,IdentificationNumberCvrOfSubmittingEnterprise,PrecedingReportingPeriodStartDate,PredingReportingPeriodEndDate,ReportingPeriodEndDate,ReportingPeriodStartDate,SelectedElementsFromReportingClassC,SignatureOfAuditorsDate,TelephoneNumberOfAuditor,TypeOfAuditorAssistance,_id,_index,_score,cvrNummer,indlaesningsId,indlaesningsTidspunkt,offentliggoerelsesTidspunkt,offentliggoerelsestype,omgoerelse,regNummer,regnskabsperiode_slutDato,regnskabsperiode_startDato,sagsNummer,sidstOpdateret,ProfitLoss,AdjustmentsForDeferredTax,AverageNumberOfEmployees,CurrentTaxExpense,DepreciationAmortisationExpenseAndImpairmentLossesOfPropertyPlantAndEquipmentAndIntangibleAssetsRecognisedInProfitOrLoss,EmployeeBenefitsExpense,GrossProfitLoss,InterestExpenseAssignedToGroupEnterprises,OtherAdjustmentsOfFinanceExpenses,OtherEmployeeExpense,OtherFinanceExpenses,OtherFinanceIncome,PostemploymentBenefitExpense,ProfitLossFromOrdinaryActivitiesBeforeTax,ProfitLossFromOrdinaryOperatingActivities,SocialSecurityContributions,TaxExpense,TaxExpenseOnOrdinaryActivities,WagesAndSalaries,Assets,CashAndCashEquivalents,ContributedCapital,CurrentAssets,CurrentDeferredTaxAssets,DeferredIncomeAssets,FixturesFittingsToolsAndEquipment,LiabilitiesAndEquity,LiabilitiesOtherThanProvisions,LongtermInvestmentsAndReceivables,NoncurrentAssets,OtherLongtermReceivables,OtherShorttermPayables,OtherShorttermReceivables,PropertyPlantAndEquipment,ProposedDividendRecognisedInEquity,Provisions,ProvisionsForDeferredTax,RetainedEarnings,SharePremium,ShorttermDeferredIncome,ShorttermLiabilitiesOtherThanProvisions,ShorttermPayablesToGroupEnterprises,ShorttermReceivables,ShorttermReceivablesFromGroupEnterprises,ShorttermTaxPayables,ShorttermTradePayables,ShorttermTradeReceivables,AccumulatedImpairmentLossesAndDepreciationOfPropertyPlantAndEquipment,PropertyPlantAndEquipmentGross,AddressOfAuditorCountry,AddressOfReportingEntityDistrictName,AddressOfReportingEntityStreetName,AddressOfSubmittingEnterprisePostcodeAndTown,AddressOfSubmittingEnterpriseStreetAndNumber,AddresseeOfAuditorsReportOnAuditedFinancialStatements,ClassOfReportingEntity,ConfirmationThatAnnualReportIsPresentedInAccordanceWithRequirementsProvidedForByLegislationAnyStandardsAndRequirementsProvidedByArticlesOfAssociationOrByAgreement,ConfirmationThatFinancialStatementGivesTrueAndFairViewOfAssetsLiabilitiesEquityFinancialPositionAndResults,DescriptionOfDevelopmentInActivitiesAndFinancialAffairs,DescriptionOfMethodsOfDividends,DescriptionOfMethodsOfRecognitionAndMeasurementBasisOfCashAndCashEquivalents,DescriptionOfMethodsOfRecognitionAndMeasurementBasisOfCostOfSales,DescriptionOfMethodsOfRecognitionAndMeasurementBasisOfDeferredIncomeAssets,DescriptionOfMethodsOfRecognitionAndMeasurementBasisOfEmployeeBenefitExpense,DescriptionOfMethodsOfRecognitionAndMeasurementBasisOfExternalExpenses,DescriptionOfMethodsOfRecognitionAndMeasurementBasisOfFinanceIncomeAndExpenses,DescriptionOfMethodsOfRecognitionAndMeasurementBasisOfGrossProfitLoss,DescriptionOfMethodsOfRecognitionAndMeasurementBasisOfTaxExpenses,DescriptionOfPrimaryActivitiesOfEntity,DescriptionOfSignificantEventsOccurringAfterEndOfReportingPeriod,ExplanationOfOtherMethodsOfRecognitionAndMeasurementBasisForAssetsInPreviousPeriod,IdentificationOfApprovedAnnualReport,InformationOnReportingClassOfEntity,InformationOnTypeOfSubmittedReport,ManagementsStatementAboutManagementsReview,NameAndSurnameOfChairmanOfGeneralMeeting,NameOfReportingEntity,NameOfSubmittingEnterprise,PlaceOfSignatureOfStatement,RecommendationForApprovalOfAnnualReportByGeneralMeeting,RegisteredOfficeOfReportingEntity,SignatureOfAuditorsPlace,AddressOfAuditorDistrictName,AddressOfAuditorStreetName,DescriptionOfAuditor,IdentificationNumberOfAuditor,NameAndSurnameOfAuditor,NameOfAuditFirm,TransferredFromSharePremium,NameAndSurnameOfMemberOfSupervisoryBoard,NameAndSurnameOfMemberOfExecutiveBoard
19948692,2017-05-01,2017-05-01,c309,,http://regnskaber.virk.dk/29684991/ZG9rdW1lbnRsYWdlcjovLzAzLzU0LzQwL2FmL2JjLzIwNTUtNDlmMy1iNGQyLTMzNGNhMjdjYmU1YQ.pdf,http://regnskaber.virk.dk/29684991/ZG9rdW1lbnRsYWdlcjovLzAzLzBkLzg3L2QzL2QwLzhmYzUtNDdjNy04MmMxLTJkMTY1YjM0MWM2OA.xml,33898.0,2000.0,4.0,1050.0,"8, 4.",2019-10-25,2019-10-25,1996-12-15,2019-10-25,263003.0,0.0,500500.0,30700228.0,19948692.0,30700228.0,2017-05-01,2018-04-30,2019-04-30,2018-05-01,true,2019-10-25,+45 73 23 30 00,Revisionsp̴tegning,urn:ofk:oid:27976445,indberetninger-20180424,2.5095674999999997,19948692.0,AW4m_c82IXJRhhXBPINF,2019-11-01T12:44:11.318Z,2019-11-01T12:43:17.377Z,regnskab,0.0,,2019-04-30,2018-05-01,X19-DG-24-NQ,2019-11-01T12:43:17.804Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19948692,2017-05-01,2017-05-01,c324,,http://regnskaber.virk.dk/29684991/ZG9rdW1lbnRsYWdlcjovLzAzLzU0LzQwL2FmL2JjLzIwNTUtNDlmMy1iNGQyLTMzNGNhMjdjYmU1YQ.pdf,http://regnskaber.virk.dk/29684991/ZG9rdW1lbnRsYWdlcjovLzAzLzBkLzg3L2QzL2QwLzhmYzUtNDdjNy04MmMxLTJkMTY1YjM0MWM2OA.xml,33898.0,2000.0,4.0,1050.0,"8, 4.",2019-10-25,2019-10-25,1996-12-15,2019-10-25,263003.0,0.0,11107514.0,30700228.0,19948692.0,30700228.0,2017-05-01,2018-04-30,2019-04-30,2018-05-01,true,2019-10-25,+45 73 23 30 00,Revisionsp̴tegning,urn:ofk:oid:27976445,indberetninger-20180424,2.5095674999999997,19948692.0,AW4m_c82IXJRhhXBPINF,2019-11-01T12:44:11.318Z,2019-11-01T12:43:17.377Z,regnskab,0.0,,2019-04-30,2018-05-01,X19-DG-24-NQ,2019-11-01T12:43:17.804Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19948692,2017-05-01,2017-05-01,c354,,http://regnskaber.virk.dk/29684991/ZG9rdW1lbnRsYWdlcjovLzAzLzU0LzQwL2FmL2JjLzIwNTUtNDlmMy1iNGQyLTMzNGNhMjdjYmU1YQ.pdf,http://regnskaber.virk.dk/29684991/ZG9rdW1lbnRsYWdlcjovLzAzLzBkLzg3L2QzL2QwLzhmYzUtNDdjNy04MmMxLTJkMTY1YjM0MWM2OA.xml,33898.0,2000.0,4.0,1050.0,"8, 4.",2019-10-25,2019-10-25,1996-12-15,2019-10-25,263003.0,0.0,-2885251.0,30700228.0,19948692.0,30700228.0,2017-05-01,2018-04-30,2019-04-30,2018-05-01,true,2019-10-25,+45 73 23 30 00,Revisionsp̴tegning,urn:ofk:oid:27976445,indberetninger-20180424,2.5095674999999997,19948692.0,AW4m_c82IXJRhhXBPINF,2019-11-01T12:44:11.318Z,2019-11-01T12:43:17.377Z,regnskab,0.0,,2019-04-30,2018-05-01,X19-DG-24-NQ,2019-11-01T12:43:17.804Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19948692,2017-05-01,2017-05-01,c360,,http://regnskaber.virk.dk/29684991/ZG9rdW1lbnRsYWdlcjovLzAzLzU0LzQwL2FmL2JjLzIwNTUtNDlmMy1iNGQyLTMzNGNhMjdjYmU1YQ.pdf,http://regnskaber.virk.dk/29684991/ZG9rdW1lbnRsYWdlcjovLzAzLzBkLzg3L2QzL2QwLzhmYzUtNDdjNy04MmMxLTJkMTY1YjM0MWM2OA.xml,33898.0,2000.0,4.0,1050.0,"8, 4.",2019-10-25,2019-10-25,1996-12-15,2019-10-25,263003.0,0.0,0.0,30700228.0,19948692.0,30700228.0,2017-05-01,2018-04-30,2019-04-30,2018-05-01,true,2019-10-25,+45 73 23 30 00,Revisionsp̴tegning,urn:ofk:oid:27976445,indberetninger-20180424,2.5095674999999997,19948692.0,AW4m_c82IXJRhhXBPINF,2019-11-01T12:44:11.318Z,2019-11-01T12:43:17.377Z,regnskab,0.0,,2019-04-30,2018-05-01,X19-DG-24-NQ,2019-11-01T12:43:17.804Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19948692,2017-05-01,2018-04-30,c173,,http://regnskaber.virk.dk/29684991/ZG9rdW1lbnRsYWdlcjovLzAzLzU0LzQwL2FmL2JjLzIwNTUtNDlmMy1iNGQyLTMzNGNhMjdjYmU1YQ.pdf,http://regnskaber.virk.dk/29684991/ZG9rdW1lbnRsYWdlcjovLzAzLzBkLzg3L2QzL2QwLzhmYzUtNDdjNy04MmMxLTJkMTY1YjM0MWM2OA.xml,33898.0,2000.0,4.0,1050.0,"8, 4.",2019-10-25,2019-10-25,1996-12-15,2019-10-25,263003.0,0.0,,30700228.0,19948692.0,30700228.0,2017-05-01,2018-04-30,2019-04-30,2018-05-01,true,2019-10-25,+45 73 23 30 00,Revisionsp̴tegning,urn:ofk:oid:27976445,indberetninger-20180424,2.5095674999999997,19948692.0,AW4m_c82IXJRhhXBPINF,2019-11-01T12:44:11.318Z,2019-11-01T12:43:17.377Z,regnskab,0.0,,2019-04-30,2018-05-01,X19-DG-24-NQ,2019-11-01T12:43:17.804Z,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19948692,2017-05-01,2018-04-30,c195,,http://regnskaber.virk.dk/29684991/ZG9rdW1lbnRsYWdlcjovLzAzLzU0LzQwL2FmL2JjLzIwNTUtNDlmMy1iNGQyLTMzNGNhMjdjYmU1YQ.pdf,http://regnskaber.virk.dk/29684991/ZG9rdW1lbnRsYWdlcjovLzAzLzBkLzg3L2QzL2QwLzhmYzUtNDdjNy04MmMxLTJkMTY1YjM0MWM2OA.xml,33898.0,2000.0,4.0,1050.0,"8, 4.",2019-10-25,2019-10-25,1996-12-15,2019-10-25,263003.0,0.0,,30700228.0,19948692.0,30700228.0,2017-05-01,2018-04-30,2019-04-30,2018-05-01,true,2019-10-25,+45 73 23 30 00,Revisionsp̴tegning,urn:ofk:oid:27976445,indberetninger-20180424,2.5095674999999997,19948692.0,AW4m_c82IXJRhhXBPINF,2019-11-01T12:44:11.318Z,2019-11-01T12:43:17.377Z,regnskab,0.0,,2019-04-30,2018-05-01,X19-DG-24-NQ,2019-11-01T12:43:17.804Z,7534140.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19948692,2017-05-01,2018-04-30,c355,,http://regnskaber.virk.dk/29684991/ZG9rdW1lbnRsYWdlcjovLzAzLzU0LzQwL2FmL2JjLzIwNTUtNDlmMy1iNGQyLTMzNGNhMjdjYmU1YQ.pdf,http://regnskaber.virk.dk/29684991/ZG9rdW1lbnRsYWdlcjovLzAzLzBkLzg3L2QzL2QwLzhmYzUtNDdjNy04MmMxLTJkMTY1YjM0MWM2OA.xml,33898.0,2000.0,4.0,1050.0,"8, 4.",2019-10-25,2019-10-25,1996-12-15,2019-10-25,263003.0,0.0,,30700228.0,19948692.0,30700228.0,2017-05-01,2018-04-30,2019-04-30,2018-05-01,true,2019-10-25,+45 73 23 30 00,Revisionsp̴tegning,urn:ofk:oid:27976445,indberetninger-20180424,2.5095674999999997,19948692.0,AW4m_c82IXJRhhXBPINF,2019-11-01T12:44:11.318Z,2019-11-01T12:43:17.377Z,regnskab,0.0,,2019-04-30,2018-05-01,X19-DG-24-NQ,2019-11-01T12:43:17.804Z,7534140.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19948692,2017-05-01,2018-04-30,c361,,http://regnskaber.virk.dk/29684991/ZG9rdW1lbnRsYWdlcjovLzAzLzU0LzQwL2FmL2JjLzIwNTUtNDlmMy1iNGQyLTMzNGNhMjdjYmU1YQ.pdf,http://regnskaber.virk.dk/29684991/ZG9rdW1lbnRsYWdlcjovLzAzLzBkLzg3L2QzL2QwLzhmYzUtNDdjNy04MmMxLTJkMTY1YjM0MWM2OA.xml,33898.0,2000.0,4.0,1050.0,"8, 4.",2019-10-25,2019-10-25,1996-12-15,2019-10-25,263003.0,0.0,,30700228.0,19948692.0,30700228.0,2017-05-01,2018-04-30,2019-04-30,2018-05-01,true,2019-10-25,+45 73 23 30 00,Revisionsp̴tegning,urn:ofk:oid:27976445,indberetninger-20180424,2.5095674999999997,19948692.0,AW4m_c82IXJRhhXBPINF,2019-11-01T12:44:11.318Z,2019-11-01T12:43:17.377Z,regnskab,0.0,,2019-04-30,2018-05-01,X19-DG-24-NQ,2019-11-01T12:43:17.804Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19948692,2017-05-01,2018-04-30,c729,,http://regnskaber.virk.dk/29684991/ZG9rdW1lbnRsYWdlcjovLzAzLzU0LzQwL2FmL2JjLzIwNTUtNDlmMy1iNGQyLTMzNGNhMjdjYmU1YQ.pdf,http://regnskaber.virk.dk/29684991/ZG9rdW1lbnRsYWdlcjovLzAzLzBkLzg3L2QzL2QwLzhmYzUtNDdjNy04MmMxLTJkMTY1YjM0MWM2OA.xml,33898.0,2000.0,4.0,1050.0,"8, 4.",2019-10-25,2019-10-25,1996-12-15,2019-10-25,263003.0,0.0,,30700228.0,19948692.0,30700228.0,2017-05-01,2018-04-30,2019-04-30,2018-05-01,true,2019-10-25,+45 73 23 30 00,Revisionsp̴tegning,urn:ofk:oid:27976445,indberetninger-20180424,2.5095674999999997,19948692.0,AW4m_c82IXJRhhXBPINF,2019-11-01T12:44:11.318Z,2019-11-01T12:43:17.377Z,regnskab,0.0,,2019-04-30,2018-05-01,X19-DG-24-NQ,2019-11-01T12:43:17.804Z,7534140.0,1942299.0,16.0,202510.0,148777.0,28982217.0,38706875.0,55615.0,34722.0,73680.0,90337.0,193405.0,1167540.0,9678949.0,9575881.0,98480.0,2144809.0,2144809.0,27642517.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19948692,2018-04-30,2018-04-30,c735,,http://regnskaber.virk.dk/29684991/ZG9rdW1lbnRsYWdlcjovLzAzLzU0LzQwL2FmL2JjLzIwNTUtNDlmMy1iNGQyLTMzNGNhMjdjYmU1YQ.pdf,http://regnskaber.virk.dk/29684991/ZG9rdW1lbnRsYWdlcjovLzAzLzBkLzg3L2QzL2QwLzhmYzUtNDdjNy04MmMxLTJkMTY1YjM0MWM2OA.xml,33898.0,2000.0,4.0,1050.0,"8, 4.",2019-10-25,2019-10-25,1996-12-15,2019-10-25,263003.0,0.0,16256903.0,30700228.0,19948692.0,30700228.0,2017-05-01,2018-04-30,2019-04-30,2018-05-01,true,2019-10-25,+45 73 23 30 00,Revisionsp̴tegning,urn:ofk:oid:27976445,indberetninger-20180424,2.5095674999999997,19948692.0,AW4m_c82IXJRhhXBPINF,2019-11-01T12:44:11.318Z,2019-11-01T12:43:17.377Z,regnskab,0.0,,2019-04-30,2018-05-01,X19-DG-24-NQ,2019-11-01T12:43:17.804Z,,,,,,,,,,,,,,,,,,,,32713162.0,17679652.0,500500.0,30900870.0,69337.0,2728918.0,995095.0,32713162.0,16456259.0,817197.0,1812292.0,817197.0,12243338.0,34892.0,995095.0,0.0,0.0,0.0,4648889.0,11107514.0,54708.0,16456259.0,3820343.0,13221218.0,1509818.0,202510.0,135360.0,8878253.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
