entity,start_date,end_date,context,AARSRAPPORT_html,AARSRAPPORT_pdf,AARSRAPPORT_xml,AddressOfReportingEntityDistrictName,AddressOfReportingEntityPostCodeIdentifier,AddressOfReportingEntityStreetBuildingIdentifier,AddressOfReportingEntityStreetName,AddressOfSubmittingEnterprisePostcodeAndTown,AddressOfSubmittingEnterpriseStreetAndNumber,AuditorsReportsOtherReports,ClassOfReportingEntity,DateOfApprovalOfAnnualReport,DateOfGeneralMeeting,DepreciationAmortisationExpenseAndImpairmentLossesOfPropertyPlantAndEquipmentAndIntangibleAssetsRecognisedInProfitOrLoss,DescriptionOfAuditor,DisclosureOfContingentLiabilities,DisclosureOfMortgagesAndCollaterals,DisclosureOfOwnership,EmployeeBenefitsExpense,GrossResult,IdentificationNumberCvrOfAuditFirm,IdentificationNumberCvrOfReportingEntity,InformationOnReportingClassOfEntity,InformationOnTypeOfSubmittedReport,NameAndSurnameOfAuditor,NameAndSurnameOfChairmanOfGeneralMeeting,NameAndSurnameOfMemberOfExecutiveBoard,NameOfAuditFirm,NameOfReportingEntity,NameOfSubmittingEnterprise,OtherFinanceExpenses,PlaceOfSignatureOfStatement,PrecedingReportingPeriodStartDate,PredingReportingPeriodEndDate,ProfitLoss,ProfitLossFromOrdinaryActivitiesBeforeTax,ProfitLossFromOrdinaryOperatingActivities,ReportingPeriodEndDate,ReportingPeriodStartDate,SignatureOfAuditorsDate,SignatureOfAuditorsPlace,TaxExpense,TheCompanyHasPresentedTheAnnualReportEtcWithReferenceToTheDanishFinancialStatementsAct78aConcerningTheExceptionForReportingClassCMediumsizeSubsidiariesWhichChoosesToPresentTheAnnualReportEtcAccordingToReportingClassB,TheReportingEntityAppliesTheExceptionConcerningOptingOutOfTheStatementByManagementEtc,TypeOfAuditorAssistance,_id,_index,_score,cvrNummer,indlaesningsId,indlaesningsTidspunkt,offentliggoerelsesTidspunkt,offentliggoerelsestype,omgoerelse,regNummer,regnskabsperiode_slutDato,regnskabsperiode_startDato,sagsNummer,sidstOpdateret,Assets,CashAndCashEquivalents,ContributedCapital,CurrentAssets,DepositsLongtermInvestmentsAndReceivables,Equity,Goodwill,IntangibleAssets,Inventories,LiabilitiesAndEquity,LiabilitiesOtherThanProvisions,LongtermInvestmentsAndReceivables,ManufacturedGoodsAndGoodsForResale,NoncurrentAssets,OtherShorttermPayables,Provisions,ProvisionsForDeferredTax,RetainedEarnings,ShorttermDebtToBanks,ShorttermLiabilitiesOtherThanProvisions,ShorttermPayablesToShareholdersAndManagement,ShorttermReceivables,ShorttermTaxPayables,ShorttermTradePayables,ShorttermTradeReceivables
35246274,2014-01-01,2014-12-31,c3,http://regnskaber.virk.dk/47264253/ZG9rdW1lbnRsYWdlcjovLzAzL2ZhLzljL2M5LzU0LzA2YTEtNGNjMS04MjRhLTJmODdiNDk0NWU2Yw.xhtml,http://regnskaber.virk.dk/47264253/ZG9rdW1lbnRsYWdlcjovLzAzLzA0LzNmL2FiLzJkL2NjYzktNDY3Ny04OTEwLTIwNzkxNzU4NWM2ZQ.pdf,http://regnskaber.virk.dk/47264253/ZG9rdW1lbnRsYWdlcjovLzAzLzJmL2JhLzdlLzNjL2ZhM2EtNDJmNC05MjI5LTNkMzViY2Y1NWFmZg.xml,VallensbÃ¦k Strand,2665.0,2.0,Vejlesvinget,4000 Roskilde,Vinkelvej 3,Revisors erklÃ¦ring om opstilling af Ã¥rsrapport,Regnskabsklasse B,2016-03-23,2016-03-23,40000.0,registreret revisor FSR,"<p xmlns=""http://www.w3.org/1999/xhtml"">Ingen.</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">Ingen.</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">MÃ¼rsel Altay, Gildbrovej 21, 2635 IshÃ¸j, 100%.</p>",568753.0,633931.0,28842562.0,35246274.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Kenneth Barrett,MÃ¼rsel Altay,MÃ¼rsel Altay,HR REVISION,FRUGT HUSET FIRMAFRUGT ApS,"HR REVISION, Kenneth Barrett",4920.0,VallensbÃ¦k,2014-01-01,2014-12-31,16770.0,20258.0,25178.0,2015-12-31,2015-01-01,2016-03-23,Roskilde,3488.0,false,false,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:22207609,indberetninger-20180424,2.5953803,35246274.0,,2018-03-28T17:47:05.206Z,2016-04-12T11:38:26.337Z,regnskab,0.0,,2015-12-31,2015-01-01,X16-AS-82-VU,2016-04-12T11:38:26.636Z,,,,,,,,,,,,,,,,,,,,,,,,,
35246274,2014-01-01,2014-12-31,c5,http://regnskaber.virk.dk/47264253/ZG9rdW1lbnRsYWdlcjovLzAzL2ZhLzljL2M5LzU0LzA2YTEtNGNjMS04MjRhLTJmODdiNDk0NWU2Yw.xhtml,http://regnskaber.virk.dk/47264253/ZG9rdW1lbnRsYWdlcjovLzAzLzA0LzNmL2FiLzJkL2NjYzktNDY3Ny04OTEwLTIwNzkxNzU4NWM2ZQ.pdf,http://regnskaber.virk.dk/47264253/ZG9rdW1lbnRsYWdlcjovLzAzLzJmL2JhLzdlLzNjL2ZhM2EtNDJmNC05MjI5LTNkMzViY2Y1NWFmZg.xml,VallensbÃ¦k Strand,2665.0,2.0,Vejlesvinget,4000 Roskilde,Vinkelvej 3,Revisors erklÃ¦ring om opstilling af Ã¥rsrapport,Regnskabsklasse B,2016-03-23,2016-03-23,,registreret revisor FSR,"<p xmlns=""http://www.w3.org/1999/xhtml"">Ingen.</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">Ingen.</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">MÃ¼rsel Altay, Gildbrovej 21, 2635 IshÃ¸j, 100%.</p>",,,28842562.0,35246274.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Kenneth Barrett,MÃ¼rsel Altay,MÃ¼rsel Altay,HR REVISION,FRUGT HUSET FIRMAFRUGT ApS,"HR REVISION, Kenneth Barrett",,VallensbÃ¦k,2014-01-01,2014-12-31,0.0,,,2015-12-31,2015-01-01,2016-03-23,Roskilde,,false,false,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:22207609,indberetninger-20180424,2.5953803,35246274.0,,2018-03-28T17:47:05.206Z,2016-04-12T11:38:26.337Z,regnskab,0.0,,2015-12-31,2015-01-01,X16-AS-82-VU,2016-04-12T11:38:26.636Z,,,,,,,,,,,,,,,,,,,,,,,,,
35246274,2014-01-01,2014-12-31,c7,http://regnskaber.virk.dk/47264253/ZG9rdW1lbnRsYWdlcjovLzAzL2ZhLzljL2M5LzU0LzA2YTEtNGNjMS04MjRhLTJmODdiNDk0NWU2Yw.xhtml,http://regnskaber.virk.dk/47264253/ZG9rdW1lbnRsYWdlcjovLzAzLzA0LzNmL2FiLzJkL2NjYzktNDY3Ny04OTEwLTIwNzkxNzU4NWM2ZQ.pdf,http://regnskaber.virk.dk/47264253/ZG9rdW1lbnRsYWdlcjovLzAzLzJmL2JhLzdlLzNjL2ZhM2EtNDJmNC05MjI5LTNkMzViY2Y1NWFmZg.xml,VallensbÃ¦k Strand,2665.0,2.0,Vejlesvinget,4000 Roskilde,Vinkelvej 3,Revisors erklÃ¦ring om opstilling af Ã¥rsrapport,Regnskabsklasse B,2016-03-23,2016-03-23,,registreret revisor FSR,"<p xmlns=""http://www.w3.org/1999/xhtml"">Ingen.</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">Ingen.</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">MÃ¼rsel Altay, Gildbrovej 21, 2635 IshÃ¸j, 100%.</p>",,,28842562.0,35246274.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Kenneth Barrett,MÃ¼rsel Altay,MÃ¼rsel Altay,HR REVISION,FRUGT HUSET FIRMAFRUGT ApS,"HR REVISION, Kenneth Barrett",,VallensbÃ¦k,2014-01-01,2014-12-31,16770.0,,,2015-12-31,2015-01-01,2016-03-23,Roskilde,,false,false,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:22207609,indberetninger-20180424,2.5953803,35246274.0,,2018-03-28T17:47:05.206Z,2016-04-12T11:38:26.337Z,regnskab,0.0,,2015-12-31,2015-01-01,X16-AS-82-VU,2016-04-12T11:38:26.636Z,,,,,,,,,,,,,,,,,,,,,,,,,
35246274,2014-12-31,2014-12-31,c9,http://regnskaber.virk.dk/47264253/ZG9rdW1lbnRsYWdlcjovLzAzL2ZhLzljL2M5LzU0LzA2YTEtNGNjMS04MjRhLTJmODdiNDk0NWU2Yw.xhtml,http://regnskaber.virk.dk/47264253/ZG9rdW1lbnRsYWdlcjovLzAzLzA0LzNmL2FiLzJkL2NjYzktNDY3Ny04OTEwLTIwNzkxNzU4NWM2ZQ.pdf,http://regnskaber.virk.dk/47264253/ZG9rdW1lbnRsYWdlcjovLzAzLzJmL2JhLzdlLzNjL2ZhM2EtNDJmNC05MjI5LTNkMzViY2Y1NWFmZg.xml,VallensbÃ¦k Strand,2665.0,2.0,Vejlesvinget,4000 Roskilde,Vinkelvej 3,Revisors erklÃ¦ring om opstilling af Ã¥rsrapport,Regnskabsklasse B,2016-03-23,2016-03-23,,registreret revisor FSR,"<p xmlns=""http://www.w3.org/1999/xhtml"">Ingen.</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">Ingen.</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">MÃ¼rsel Altay, Gildbrovej 21, 2635 IshÃ¸j, 100%.</p>",,,28842562.0,35246274.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Kenneth Barrett,MÃ¼rsel Altay,MÃ¼rsel Altay,HR REVISION,FRUGT HUSET FIRMAFRUGT ApS,"HR REVISION, Kenneth Barrett",,VallensbÃ¦k,2014-01-01,2014-12-31,,,,2015-12-31,2015-01-01,2016-03-23,Roskilde,,false,false,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:22207609,indberetninger-20180424,2.5953803,35246274.0,,2018-03-28T17:47:05.206Z,2016-04-12T11:38:26.337Z,regnskab,0.0,,2015-12-31,2015-01-01,X16-AS-82-VU,2016-04-12T11:38:26.636Z,305844.0,0.0,80000.0,177578.0,8266.0,89640.0,120000.0,120000.0,15000.0,305844.0,188004.0,8266.0,15000.0,128266.0,70096.0,28200.0,28200.0,9640.0,22025.0,188004.0,376.0,162578.0,15288.0,80219.0,162578.0
35246274,2015-01-01,2015-12-31,c0,http://regnskaber.virk.dk/47264253/ZG9rdW1lbnRsYWdlcjovLzAzL2ZhLzljL2M5LzU0LzA2YTEtNGNjMS04MjRhLTJmODdiNDk0NWU2Yw.xhtml,http://regnskaber.virk.dk/47264253/ZG9rdW1lbnRsYWdlcjovLzAzLzA0LzNmL2FiLzJkL2NjYzktNDY3Ny04OTEwLTIwNzkxNzU4NWM2ZQ.pdf,http://regnskaber.virk.dk/47264253/ZG9rdW1lbnRsYWdlcjovLzAzLzJmL2JhLzdlLzNjL2ZhM2EtNDJmNC05MjI5LTNkMzViY2Y1NWFmZg.xml,VallensbÃ¦k Strand,2665.0,2.0,Vejlesvinget,4000 Roskilde,Vinkelvej 3,Revisors erklÃ¦ring om opstilling af Ã¥rsrapport,Regnskabsklasse B,2016-03-23,2016-03-23,40002.0,registreret revisor FSR,"<p xmlns=""http://www.w3.org/1999/xhtml"">Ingen.</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">Ingen.</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">MÃ¼rsel Altay, Gildbrovej 21, 2635 IshÃ¸j, 100%.</p>",586206.0,701850.0,28842562.0,35246274.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Kenneth Barrett,MÃ¼rsel Altay,MÃ¼rsel Altay,HR REVISION,FRUGT HUSET FIRMAFRUGT ApS,"HR REVISION, Kenneth Barrett",2997.0,VallensbÃ¦k,2014-01-01,2014-12-31,56620.0,72645.0,75642.0,2015-12-31,2015-01-01,2016-03-23,Roskilde,16025.0,false,false,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:22207609,indberetninger-20180424,2.5953803,35246274.0,,2018-03-28T17:47:05.206Z,2016-04-12T11:38:26.337Z,regnskab,0.0,,2015-12-31,2015-01-01,X16-AS-82-VU,2016-04-12T11:38:26.636Z,,,,,,,,,,,,,,,,,,,,,,,,,
35246274,2015-01-01,2015-12-31,c1,http://regnskaber.virk.dk/47264253/ZG9rdW1lbnRsYWdlcjovLzAzL2ZhLzljL2M5LzU0LzA2YTEtNGNjMS04MjRhLTJmODdiNDk0NWU2Yw.xhtml,http://regnskaber.virk.dk/47264253/ZG9rdW1lbnRsYWdlcjovLzAzLzA0LzNmL2FiLzJkL2NjYzktNDY3Ny04OTEwLTIwNzkxNzU4NWM2ZQ.pdf,http://regnskaber.virk.dk/47264253/ZG9rdW1lbnRsYWdlcjovLzAzLzJmL2JhLzdlLzNjL2ZhM2EtNDJmNC05MjI5LTNkMzViY2Y1NWFmZg.xml,VallensbÃ¦k Strand,2665.0,2.0,Vejlesvinget,4000 Roskilde,Vinkelvej 3,Revisors erklÃ¦ring om opstilling af Ã¥rsrapport,Regnskabsklasse B,2016-03-23,2016-03-23,,registreret revisor FSR,"<p xmlns=""http://www.w3.org/1999/xhtml"">Ingen.</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">Ingen.</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">MÃ¼rsel Altay, Gildbrovej 21, 2635 IshÃ¸j, 100%.</p>",,,28842562.0,35246274.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Kenneth Barrett,MÃ¼rsel Altay,MÃ¼rsel Altay,HR REVISION,FRUGT HUSET FIRMAFRUGT ApS,"HR REVISION, Kenneth Barrett",,VallensbÃ¦k,2014-01-01,2014-12-31,,,,2015-12-31,2015-01-01,2016-03-23,Roskilde,,false,false,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:22207609,indberetninger-20180424,2.5953803,35246274.0,,2018-03-28T17:47:05.206Z,2016-04-12T11:38:26.337Z,regnskab,0.0,,2015-12-31,2015-01-01,X16-AS-82-VU,2016-04-12T11:38:26.636Z,,,,,,,,,,,,,,,,,,,,,,,,,
35246274,2015-01-01,2015-12-31,c2,http://regnskaber.virk.dk/47264253/ZG9rdW1lbnRsYWdlcjovLzAzL2ZhLzljL2M5LzU0LzA2YTEtNGNjMS04MjRhLTJmODdiNDk0NWU2Yw.xhtml,http://regnskaber.virk.dk/47264253/ZG9rdW1lbnRsYWdlcjovLzAzLzA0LzNmL2FiLzJkL2NjYzktNDY3Ny04OTEwLTIwNzkxNzU4NWM2ZQ.pdf,http://regnskaber.virk.dk/47264253/ZG9rdW1lbnRsYWdlcjovLzAzLzJmL2JhLzdlLzNjL2ZhM2EtNDJmNC05MjI5LTNkMzViY2Y1NWFmZg.xml,VallensbÃ¦k Strand,2665.0,2.0,Vejlesvinget,4000 Roskilde,Vinkelvej 3,Revisors erklÃ¦ring om opstilling af Ã¥rsrapport,Regnskabsklasse B,2016-03-23,2016-03-23,,registreret revisor FSR,"<p xmlns=""http://www.w3.org/1999/xhtml"">Ingen.</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">Ingen.</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">MÃ¼rsel Altay, Gildbrovej 21, 2635 IshÃ¸j, 100%.</p>",,,28842562.0,35246274.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Kenneth Barrett,MÃ¼rsel Altay,MÃ¼rsel Altay,HR REVISION,FRUGT HUSET FIRMAFRUGT ApS,"HR REVISION, Kenneth Barrett",,VallensbÃ¦k,2014-01-01,2014-12-31,,,,2015-12-31,2015-01-01,2016-03-23,Roskilde,,false,false,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:22207609,indberetninger-20180424,2.5953803,35246274.0,,2018-03-28T17:47:05.206Z,2016-04-12T11:38:26.337Z,regnskab,0.0,,2015-12-31,2015-01-01,X16-AS-82-VU,2016-04-12T11:38:26.636Z,,,,,,,,,,,,,,,,,,,,,,,,,
35246274,2015-01-01,2015-12-31,c4,http://regnskaber.virk.dk/47264253/ZG9rdW1lbnRsYWdlcjovLzAzL2ZhLzljL2M5LzU0LzA2YTEtNGNjMS04MjRhLTJmODdiNDk0NWU2Yw.xhtml,http://regnskaber.virk.dk/47264253/ZG9rdW1lbnRsYWdlcjovLzAzLzA0LzNmL2FiLzJkL2NjYzktNDY3Ny04OTEwLTIwNzkxNzU4NWM2ZQ.pdf,http://regnskaber.virk.dk/47264253/ZG9rdW1lbnRsYWdlcjovLzAzLzJmL2JhLzdlLzNjL2ZhM2EtNDJmNC05MjI5LTNkMzViY2Y1NWFmZg.xml,VallensbÃ¦k Strand,2665.0,2.0,Vejlesvinget,4000 Roskilde,Vinkelvej 3,Revisors erklÃ¦ring om opstilling af Ã¥rsrapport,Regnskabsklasse B,2016-03-23,2016-03-23,,registreret revisor FSR,"<p xmlns=""http://www.w3.org/1999/xhtml"">Ingen.</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">Ingen.</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">MÃ¼rsel Altay, Gildbrovej 21, 2635 IshÃ¸j, 100%.</p>",,,28842562.0,35246274.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Kenneth Barrett,MÃ¼rsel Altay,MÃ¼rsel Altay,HR REVISION,FRUGT HUSET FIRMAFRUGT ApS,"HR REVISION, Kenneth Barrett",,VallensbÃ¦k,2014-01-01,2014-12-31,53625.0,,,2015-12-31,2015-01-01,2016-03-23,Roskilde,,false,false,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:22207609,indberetninger-20180424,2.5953803,35246274.0,,2018-03-28T17:47:05.206Z,2016-04-12T11:38:26.337Z,regnskab,0.0,,2015-12-31,2015-01-01,X16-AS-82-VU,2016-04-12T11:38:26.636Z,,,,,,,,,,,,,,,,,,,,,,,,,
35246274,2015-01-01,2015-12-31,c6,http://regnskaber.virk.dk/47264253/ZG9rdW1lbnRsYWdlcjovLzAzL2ZhLzljL2M5LzU0LzA2YTEtNGNjMS04MjRhLTJmODdiNDk0NWU2Yw.xhtml,http://regnskaber.virk.dk/47264253/ZG9rdW1lbnRsYWdlcjovLzAzLzA0LzNmL2FiLzJkL2NjYzktNDY3Ny04OTEwLTIwNzkxNzU4NWM2ZQ.pdf,http://regnskaber.virk.dk/47264253/ZG9rdW1lbnRsYWdlcjovLzAzLzJmL2JhLzdlLzNjL2ZhM2EtNDJmNC05MjI5LTNkMzViY2Y1NWFmZg.xml,VallensbÃ¦k Strand,2665.0,2.0,Vejlesvinget,4000 Roskilde,Vinkelvej 3,Revisors erklÃ¦ring om opstilling af Ã¥rsrapport,Regnskabsklasse B,2016-03-23,2016-03-23,,registreret revisor FSR,"<p xmlns=""http://www.w3.org/1999/xhtml"">Ingen.</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">Ingen.</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">MÃ¼rsel Altay, Gildbrovej 21, 2635 IshÃ¸j, 100%.</p>",,,28842562.0,35246274.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Kenneth Barrett,MÃ¼rsel Altay,MÃ¼rsel Altay,HR REVISION,FRUGT HUSET FIRMAFRUGT ApS,"HR REVISION, Kenneth Barrett",,VallensbÃ¦k,2014-01-01,2014-12-31,2995.0,,,2015-12-31,2015-01-01,2016-03-23,Roskilde,,false,false,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:22207609,indberetninger-20180424,2.5953803,35246274.0,,2018-03-28T17:47:05.206Z,2016-04-12T11:38:26.337Z,regnskab,0.0,,2015-12-31,2015-01-01,X16-AS-82-VU,2016-04-12T11:38:26.636Z,,,,,,,,,,,,,,,,,,,,,,,,,
35246274,2015-12-31,2015-12-31,c8,http://regnskaber.virk.dk/47264253/ZG9rdW1lbnRsYWdlcjovLzAzL2ZhLzljL2M5LzU0LzA2YTEtNGNjMS04MjRhLTJmODdiNDk0NWU2Yw.xhtml,http://regnskaber.virk.dk/47264253/ZG9rdW1lbnRsYWdlcjovLzAzLzA0LzNmL2FiLzJkL2NjYzktNDY3Ny04OTEwLTIwNzkxNzU4NWM2ZQ.pdf,http://regnskaber.virk.dk/47264253/ZG9rdW1lbnRsYWdlcjovLzAzLzJmL2JhLzdlLzNjL2ZhM2EtNDJmNC05MjI5LTNkMzViY2Y1NWFmZg.xml,VallensbÃ¦k Strand,2665.0,2.0,Vejlesvinget,4000 Roskilde,Vinkelvej 3,Revisors erklÃ¦ring om opstilling af Ã¥rsrapport,Regnskabsklasse B,2016-03-23,2016-03-23,,registreret revisor FSR,"<p xmlns=""http://www.w3.org/1999/xhtml"">Ingen.</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">Ingen.</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">MÃ¼rsel Altay, Gildbrovej 21, 2635 IshÃ¸j, 100%.</p>",,,28842562.0,35246274.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Kenneth Barrett,MÃ¼rsel Altay,MÃ¼rsel Altay,HR REVISION,FRUGT HUSET FIRMAFRUGT ApS,"HR REVISION, Kenneth Barrett",,VallensbÃ¦k,2014-01-01,2014-12-31,,,,2015-12-31,2015-01-01,2016-03-23,Roskilde,,false,false,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:22207609,indberetninger-20180424,2.5953803,35246274.0,,2018-03-28T17:47:05.206Z,2016-04-12T11:38:26.337Z,regnskab,0.0,,2015-12-31,2015-01-01,X16-AS-82-VU,2016-04-12T11:38:26.636Z,326837.0,10958.0,80000.0,238571.0,8266.0,92635.0,80000.0,80000.0,15000.0,326837.0,216602.0,8266.0,15000.0,88266.0,63930.0,17600.0,17600.0,12635.0,0.0,216602.0,376.0,212613.0,26625.0,125671.0,212613.0
