entity,start_date,end_date,context,AARSRAPPORT_html,AARSRAPPORT_pdf,AARSRAPPORT_xml,AccountingPoliciesAreUnchangedFromPreviousPeriod,AddressOfFinancialCountry,AddressOfFinancialCountryIdentificationCode,AddressOfFinancialDistrictName,AddressOfFinancialPostCodeIdentifier,AddressOfFinancialStreetBuildingIdentifier,AddressOfFinancialStreetName,AddressOfReportingEntityDistrictName,AddressOfReportingEntityPostCodeIdentifier,AddressOfReportingEntityStreetBuildingIdentifier,AddressOfReportingEntityStreetName,AddressOfSubmittingEnterprisePostcodeAndTown,AddressOfSubmittingEnterpriseStreetAndNumber,ClassOfReportingEntity,DateOfGeneralMeeting,DepreciationAmortisationExpenseAndImpairmentLossesOfPropertyPlantAndEquipmentAndIntangibleAssetsRecognisedInProfitOrLoss,DisclosureOfMainActivitiesAndAccountingAndFinancialMatters,EmailOfReportingEntity,EmployeeBenefitsExpense,ExternalExpenses,GrossResult,IdentificationNumberCvrOfReportingEntity,ImpairmentOfFinancialAssets,IncomeFromOtherLongtermInvestmentsAndReceivables,InformationOnReportingClassOfEntity,InformationOnTypeOfSubmittedReport,LongtermDebtToBanks,LongtermLiabilitiesOtherThanProvisions,LongtermMortgageDebt,LongtermTaxPayables,NameAndSurnameOfChairmanOfGeneralMeeting,NameOfFinancialInstitution,NameOfReportingEntity,NameOfSubmittingEnterprise,OtherFinanceExpenses,OtherFinanceIncome,OtherShorttermInvestments,PrecedingReportingPeriodStartDate,PredingReportingPeriodEndDate,ProfitLoss,ProfitLossFromOrdinaryActivitiesBeforeTax,ProfitLossFromOrdinaryOperatingActivities,ReportingPeriodEndDate,ReportingPeriodStartDate,Revenue,SelectedElementsFromReportingClassC,SelectedElementsFromReportingClassD,ShorttermInvestments,TaxExpense,TelephoneNumberOfReportingEntity,TheCompanyHasPresentedTheAnnualReportEtcWithReferenceToTheDanishFinancialStatementsAct78aConcerningTheExceptionForReportingClassCMediumsizeSubsidiariesWhichChoosesToPresentTheAnnualReportEtcAccordingToReportingClassB,TheReportingEntityAppliesTheExceptionConcerningOptingOutOfTheStatementByManagementEtc,TypeOfAuditorAssistance,_id,_index,_score,cvrNummer,indlaesningsId,indlaesningsTidspunkt,offentliggoerelsesTidspunkt,offentliggoerelsestype,omgoerelse,regNummer,regnskabsperiode_slutDato,regnskabsperiode_startDato,sagsNummer,sidstOpdateret,Assets,CashAndCashEquivalents,ContractWorkInProgress,ContributedCapital,CurrentAssets,Equity,FixturesFittingsToolsAndEquipment,Goodwill,IntangibleAssets,Inventories,LandAndBuildings,LiabilitiesAndEquity,LiabilitiesOtherThanProvisions,LongtermInvestmentsAndReceivables,LongtermInvestmentsInAssociates,LongtermInvestmentsInGroupEnterprises,ManufacturedGoodsAndGoodsForResale,NoncurrentAssets,OtherLongtermInvestments,OtherReserves,OtherShorttermPayables,OtherShorttermReceivables,PlantAndMachinery,PropertyPlantAndEquipment,ProposedDividend,ProposedDividendRecognisedInEquity,Provisions,ProvisionsForDeferredTax,RawMaterialsAndConsumables,RetainedEarnings,ShorttermDebtToBanks,ShorttermLiabilitiesOtherThanProvisions,ShorttermMortgageDebt,ShorttermPayablesToAssociates,ShorttermPayablesToGroupEnterprises,ShorttermReceivables,ShorttermReceivablesFromAssociates,ShorttermReceivablesFromGroupEnterprises,ShorttermTaxPayables,ShorttermTaxReceivables,ShorttermTradePayables,ShorttermTradeReceivables
24230872,2015-01-01,2015-12-31,c1,http://regnskaber.virk.dk/27803242/ZG9rdW1lbnRsYWdlcjovLzAzLzFmL2YyLzA2L2Q5L2Y4MmQtNDQ0OS04MzM2LTI1YmFlOTE0Mzk2Mw.xhtml,http://regnskaber.virk.dk/27803242/ZG9rdW1lbnRsYWdlcjovLzAzL2NlLzg5L2MwL2FlLzI0MmUtNDg0NC1hMGY4LTYwZjA0NDE1MDZlMg.pdf,http://regnskaber.virk.dk/27803242/ZG9rdW1lbnRsYWdlcjovLzAzLzJjLzUxL2QyLzMxLzVhMjEtNDJiNi1hMTc2LTBlODMwMzdhZmU4Yg.xml,true,Danmark,DK,Glamsbjerg,5620.0,11.0,SÃ¸ndergade,Haarby,5683.0,88.0,Akkerupvej,5683 Haarby,Akkerupvej 88,Regnskabsklasse B,2017-05-18,0.0,"<p xmlns=""http://www.w3.org/1999/xhtml"">Der har ikke vÃ¦ret aktivitet i 2016 hvilket heller ikke forventes i 2017.</p>",haarby@mail.dk,0.0,0.0,-2186.0,24230872.0,0.0,0.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,0.0,0.0,0.0,0.0,Ole MÃ¸ller,Fynske Bank,TICO ApS,Ole MÃ¸ller,0.0,0.0,0.0,2015-01-01,2015-12-31,-2186.0,-2186.0,-2186.0,2016-12-31,2016-01-01,-2186.0,false,false,0.0,0.0,40166631.0,false,true,Ingen bistand,urn:ofk:oid:23889986,indberetninger-20180424,2.595548,24230872.0,,2018-03-28T03:17:01.993Z,2017-05-18T11:38:23.095Z,regnskab,0.0,,2016-12-31,2016-01-01,X17-AJ-50-HY,2017-05-18T11:38:23.303Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24230872,2015-01-01,2015-12-31,c3,http://regnskaber.virk.dk/27803242/ZG9rdW1lbnRsYWdlcjovLzAzLzFmL2YyLzA2L2Q5L2Y4MmQtNDQ0OS04MzM2LTI1YmFlOTE0Mzk2Mw.xhtml,http://regnskaber.virk.dk/27803242/ZG9rdW1lbnRsYWdlcjovLzAzL2NlLzg5L2MwL2FlLzI0MmUtNDg0NC1hMGY4LTYwZjA0NDE1MDZlMg.pdf,http://regnskaber.virk.dk/27803242/ZG9rdW1lbnRsYWdlcjovLzAzLzJjLzUxL2QyLzMxLzVhMjEtNDJiNi1hMTc2LTBlODMwMzdhZmU4Yg.xml,true,Danmark,DK,Glamsbjerg,5620.0,11.0,SÃ¸ndergade,Haarby,5683.0,88.0,Akkerupvej,5683 Haarby,Akkerupvej 88,Regnskabsklasse B,2017-05-18,,"<p xmlns=""http://www.w3.org/1999/xhtml"">Der har ikke vÃ¦ret aktivitet i 2016 hvilket heller ikke forventes i 2017.</p>",haarby@mail.dk,,,,24230872.0,,,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,0.0,0.0,0.0,0.0,Ole MÃ¸ller,Fynske Bank,TICO ApS,Ole MÃ¸ller,,,0.0,2015-01-01,2015-12-31,0.0,,,2016-12-31,2016-01-01,,false,false,0.0,,40166631.0,false,true,Ingen bistand,urn:ofk:oid:23889986,indberetninger-20180424,2.595548,24230872.0,,2018-03-28T03:17:01.993Z,2017-05-18T11:38:23.095Z,regnskab,0.0,,2016-12-31,2016-01-01,X17-AJ-50-HY,2017-05-18T11:38:23.303Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24230872,2015-01-01,2015-12-31,c5,http://regnskaber.virk.dk/27803242/ZG9rdW1lbnRsYWdlcjovLzAzLzFmL2YyLzA2L2Q5L2Y4MmQtNDQ0OS04MzM2LTI1YmFlOTE0Mzk2Mw.xhtml,http://regnskaber.virk.dk/27803242/ZG9rdW1lbnRsYWdlcjovLzAzL2NlLzg5L2MwL2FlLzI0MmUtNDg0NC1hMGY4LTYwZjA0NDE1MDZlMg.pdf,http://regnskaber.virk.dk/27803242/ZG9rdW1lbnRsYWdlcjovLzAzLzJjLzUxL2QyLzMxLzVhMjEtNDJiNi1hMTc2LTBlODMwMzdhZmU4Yg.xml,true,Danmark,DK,Glamsbjerg,5620.0,11.0,SÃ¸ndergade,Haarby,5683.0,88.0,Akkerupvej,5683 Haarby,Akkerupvej 88,Regnskabsklasse B,2017-05-18,,"<p xmlns=""http://www.w3.org/1999/xhtml"">Der har ikke vÃ¦ret aktivitet i 2016 hvilket heller ikke forventes i 2017.</p>",haarby@mail.dk,,,,24230872.0,,,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,0.0,0.0,0.0,0.0,Ole MÃ¸ller,Fynske Bank,TICO ApS,Ole MÃ¸ller,,,0.0,2015-01-01,2015-12-31,0.0,,,2016-12-31,2016-01-01,,false,false,0.0,,40166631.0,false,true,Ingen bistand,urn:ofk:oid:23889986,indberetninger-20180424,2.595548,24230872.0,,2018-03-28T03:17:01.993Z,2017-05-18T11:38:23.095Z,regnskab,0.0,,2016-12-31,2016-01-01,X17-AJ-50-HY,2017-05-18T11:38:23.303Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24230872,2015-01-01,2015-12-31,c7,http://regnskaber.virk.dk/27803242/ZG9rdW1lbnRsYWdlcjovLzAzLzFmL2YyLzA2L2Q5L2Y4MmQtNDQ0OS04MzM2LTI1YmFlOTE0Mzk2Mw.xhtml,http://regnskaber.virk.dk/27803242/ZG9rdW1lbnRsYWdlcjovLzAzL2NlLzg5L2MwL2FlLzI0MmUtNDg0NC1hMGY4LTYwZjA0NDE1MDZlMg.pdf,http://regnskaber.virk.dk/27803242/ZG9rdW1lbnRsYWdlcjovLzAzLzJjLzUxL2QyLzMxLzVhMjEtNDJiNi1hMTc2LTBlODMwMzdhZmU4Yg.xml,true,Danmark,DK,Glamsbjerg,5620.0,11.0,SÃ¸ndergade,Haarby,5683.0,88.0,Akkerupvej,5683 Haarby,Akkerupvej 88,Regnskabsklasse B,2017-05-18,,"<p xmlns=""http://www.w3.org/1999/xhtml"">Der har ikke vÃ¦ret aktivitet i 2016 hvilket heller ikke forventes i 2017.</p>",haarby@mail.dk,,,,24230872.0,,,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,0.0,0.0,0.0,0.0,Ole MÃ¸ller,Fynske Bank,TICO ApS,Ole MÃ¸ller,,,0.0,2015-01-01,2015-12-31,-2186.0,,,2016-12-31,2016-01-01,,false,false,0.0,,40166631.0,false,true,Ingen bistand,urn:ofk:oid:23889986,indberetninger-20180424,2.595548,24230872.0,,2018-03-28T03:17:01.993Z,2017-05-18T11:38:23.095Z,regnskab,0.0,,2016-12-31,2016-01-01,X17-AJ-50-HY,2017-05-18T11:38:23.303Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24230872,2015-12-31,2015-12-31,c9,http://regnskaber.virk.dk/27803242/ZG9rdW1lbnRsYWdlcjovLzAzLzFmL2YyLzA2L2Q5L2Y4MmQtNDQ0OS04MzM2LTI1YmFlOTE0Mzk2Mw.xhtml,http://regnskaber.virk.dk/27803242/ZG9rdW1lbnRsYWdlcjovLzAzL2NlLzg5L2MwL2FlLzI0MmUtNDg0NC1hMGY4LTYwZjA0NDE1MDZlMg.pdf,http://regnskaber.virk.dk/27803242/ZG9rdW1lbnRsYWdlcjovLzAzLzJjLzUxL2QyLzMxLzVhMjEtNDJiNi1hMTc2LTBlODMwMzdhZmU4Yg.xml,true,Danmark,DK,Glamsbjerg,5620.0,11.0,SÃ¸ndergade,Haarby,5683.0,88.0,Akkerupvej,5683 Haarby,Akkerupvej 88,Regnskabsklasse B,2017-05-18,,"<p xmlns=""http://www.w3.org/1999/xhtml"">Der har ikke vÃ¦ret aktivitet i 2016 hvilket heller ikke forventes i 2017.</p>",haarby@mail.dk,,,,24230872.0,,,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,0.0,0.0,0.0,0.0,Ole MÃ¸ller,Fynske Bank,TICO ApS,Ole MÃ¸ller,,,0.0,2015-01-01,2015-12-31,,,,2016-12-31,2016-01-01,,false,false,0.0,,40166631.0,false,true,Ingen bistand,urn:ofk:oid:23889986,indberetninger-20180424,2.595548,24230872.0,,2018-03-28T03:17:01.993Z,2017-05-18T11:38:23.095Z,regnskab,0.0,,2016-12-31,2016-01-01,X17-AJ-50-HY,2017-05-18T11:38:23.303Z,2341.0,2341.0,0.0,2341.0,2341.0,2341.0,0.0,0.0,0.0,0.0,0.0,2341.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24230872,2016-01-01,2016-12-31,c0,http://regnskaber.virk.dk/27803242/ZG9rdW1lbnRsYWdlcjovLzAzLzFmL2YyLzA2L2Q5L2Y4MmQtNDQ0OS04MzM2LTI1YmFlOTE0Mzk2Mw.xhtml,http://regnskaber.virk.dk/27803242/ZG9rdW1lbnRsYWdlcjovLzAzL2NlLzg5L2MwL2FlLzI0MmUtNDg0NC1hMGY4LTYwZjA0NDE1MDZlMg.pdf,http://regnskaber.virk.dk/27803242/ZG9rdW1lbnRsYWdlcjovLzAzLzJjLzUxL2QyLzMxLzVhMjEtNDJiNi1hMTc2LTBlODMwMzdhZmU4Yg.xml,true,Danmark,DK,Glamsbjerg,5620.0,11.0,SÃ¸ndergade,Haarby,5683.0,88.0,Akkerupvej,5683 Haarby,Akkerupvej 88,Regnskabsklasse B,2017-05-18,0.0,"<p xmlns=""http://www.w3.org/1999/xhtml"">Der har ikke vÃ¦ret aktivitet i 2016 hvilket heller ikke forventes i 2017.</p>",haarby@mail.dk,0.0,0.0,0.0,24230872.0,0.0,0.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,0.0,0.0,0.0,0.0,Ole MÃ¸ller,Fynske Bank,TICO ApS,Ole MÃ¸ller,0.0,0.0,0.0,2015-01-01,2015-12-31,0.0,0.0,0.0,2016-12-31,2016-01-01,0.0,false,false,0.0,0.0,40166631.0,false,true,Ingen bistand,urn:ofk:oid:23889986,indberetninger-20180424,2.595548,24230872.0,,2018-03-28T03:17:01.993Z,2017-05-18T11:38:23.095Z,regnskab,0.0,,2016-12-31,2016-01-01,X17-AJ-50-HY,2017-05-18T11:38:23.303Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24230872,2016-01-01,2016-12-31,c2,http://regnskaber.virk.dk/27803242/ZG9rdW1lbnRsYWdlcjovLzAzLzFmL2YyLzA2L2Q5L2Y4MmQtNDQ0OS04MzM2LTI1YmFlOTE0Mzk2Mw.xhtml,http://regnskaber.virk.dk/27803242/ZG9rdW1lbnRsYWdlcjovLzAzL2NlLzg5L2MwL2FlLzI0MmUtNDg0NC1hMGY4LTYwZjA0NDE1MDZlMg.pdf,http://regnskaber.virk.dk/27803242/ZG9rdW1lbnRsYWdlcjovLzAzLzJjLzUxL2QyLzMxLzVhMjEtNDJiNi1hMTc2LTBlODMwMzdhZmU4Yg.xml,true,Danmark,DK,Glamsbjerg,5620.0,11.0,SÃ¸ndergade,Haarby,5683.0,88.0,Akkerupvej,5683 Haarby,Akkerupvej 88,Regnskabsklasse B,2017-05-18,,"<p xmlns=""http://www.w3.org/1999/xhtml"">Der har ikke vÃ¦ret aktivitet i 2016 hvilket heller ikke forventes i 2017.</p>",haarby@mail.dk,,,,24230872.0,,,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,0.0,0.0,0.0,0.0,Ole MÃ¸ller,Fynske Bank,TICO ApS,Ole MÃ¸ller,,,0.0,2015-01-01,2015-12-31,0.0,,,2016-12-31,2016-01-01,,false,false,0.0,,40166631.0,false,true,Ingen bistand,urn:ofk:oid:23889986,indberetninger-20180424,2.595548,24230872.0,,2018-03-28T03:17:01.993Z,2017-05-18T11:38:23.095Z,regnskab,0.0,,2016-12-31,2016-01-01,X17-AJ-50-HY,2017-05-18T11:38:23.303Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24230872,2016-01-01,2016-12-31,c4,http://regnskaber.virk.dk/27803242/ZG9rdW1lbnRsYWdlcjovLzAzLzFmL2YyLzA2L2Q5L2Y4MmQtNDQ0OS04MzM2LTI1YmFlOTE0Mzk2Mw.xhtml,http://regnskaber.virk.dk/27803242/ZG9rdW1lbnRsYWdlcjovLzAzL2NlLzg5L2MwL2FlLzI0MmUtNDg0NC1hMGY4LTYwZjA0NDE1MDZlMg.pdf,http://regnskaber.virk.dk/27803242/ZG9rdW1lbnRsYWdlcjovLzAzLzJjLzUxL2QyLzMxLzVhMjEtNDJiNi1hMTc2LTBlODMwMzdhZmU4Yg.xml,true,Danmark,DK,Glamsbjerg,5620.0,11.0,SÃ¸ndergade,Haarby,5683.0,88.0,Akkerupvej,5683 Haarby,Akkerupvej 88,Regnskabsklasse B,2017-05-18,,"<p xmlns=""http://www.w3.org/1999/xhtml"">Der har ikke vÃ¦ret aktivitet i 2016 hvilket heller ikke forventes i 2017.</p>",haarby@mail.dk,,,,24230872.0,,,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,0.0,0.0,0.0,0.0,Ole MÃ¸ller,Fynske Bank,TICO ApS,Ole MÃ¸ller,,,0.0,2015-01-01,2015-12-31,0.0,,,2016-12-31,2016-01-01,,false,false,0.0,,40166631.0,false,true,Ingen bistand,urn:ofk:oid:23889986,indberetninger-20180424,2.595548,24230872.0,,2018-03-28T03:17:01.993Z,2017-05-18T11:38:23.095Z,regnskab,0.0,,2016-12-31,2016-01-01,X17-AJ-50-HY,2017-05-18T11:38:23.303Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24230872,2016-01-01,2016-12-31,c6,http://regnskaber.virk.dk/27803242/ZG9rdW1lbnRsYWdlcjovLzAzLzFmL2YyLzA2L2Q5L2Y4MmQtNDQ0OS04MzM2LTI1YmFlOTE0Mzk2Mw.xhtml,http://regnskaber.virk.dk/27803242/ZG9rdW1lbnRsYWdlcjovLzAzL2NlLzg5L2MwL2FlLzI0MmUtNDg0NC1hMGY4LTYwZjA0NDE1MDZlMg.pdf,http://regnskaber.virk.dk/27803242/ZG9rdW1lbnRsYWdlcjovLzAzLzJjLzUxL2QyLzMxLzVhMjEtNDJiNi1hMTc2LTBlODMwMzdhZmU4Yg.xml,true,Danmark,DK,Glamsbjerg,5620.0,11.0,SÃ¸ndergade,Haarby,5683.0,88.0,Akkerupvej,5683 Haarby,Akkerupvej 88,Regnskabsklasse B,2017-05-18,,"<p xmlns=""http://www.w3.org/1999/xhtml"">Der har ikke vÃ¦ret aktivitet i 2016 hvilket heller ikke forventes i 2017.</p>",haarby@mail.dk,,,,24230872.0,,,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,0.0,0.0,0.0,0.0,Ole MÃ¸ller,Fynske Bank,TICO ApS,Ole MÃ¸ller,,,0.0,2015-01-01,2015-12-31,0.0,,,2016-12-31,2016-01-01,,false,false,0.0,,40166631.0,false,true,Ingen bistand,urn:ofk:oid:23889986,indberetninger-20180424,2.595548,24230872.0,,2018-03-28T03:17:01.993Z,2017-05-18T11:38:23.095Z,regnskab,0.0,,2016-12-31,2016-01-01,X17-AJ-50-HY,2017-05-18T11:38:23.303Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24230872,2016-12-31,2016-12-31,c8,http://regnskaber.virk.dk/27803242/ZG9rdW1lbnRsYWdlcjovLzAzLzFmL2YyLzA2L2Q5L2Y4MmQtNDQ0OS04MzM2LTI1YmFlOTE0Mzk2Mw.xhtml,http://regnskaber.virk.dk/27803242/ZG9rdW1lbnRsYWdlcjovLzAzL2NlLzg5L2MwL2FlLzI0MmUtNDg0NC1hMGY4LTYwZjA0NDE1MDZlMg.pdf,http://regnskaber.virk.dk/27803242/ZG9rdW1lbnRsYWdlcjovLzAzLzJjLzUxL2QyLzMxLzVhMjEtNDJiNi1hMTc2LTBlODMwMzdhZmU4Yg.xml,true,Danmark,DK,Glamsbjerg,5620.0,11.0,SÃ¸ndergade,Haarby,5683.0,88.0,Akkerupvej,5683 Haarby,Akkerupvej 88,Regnskabsklasse B,2017-05-18,,"<p xmlns=""http://www.w3.org/1999/xhtml"">Der har ikke vÃ¦ret aktivitet i 2016 hvilket heller ikke forventes i 2017.</p>",haarby@mail.dk,,,,24230872.0,,,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,0.0,0.0,0.0,0.0,Ole MÃ¸ller,Fynske Bank,TICO ApS,Ole MÃ¸ller,,,0.0,2015-01-01,2015-12-31,,,,2016-12-31,2016-01-01,,false,false,0.0,,40166631.0,false,true,Ingen bistand,urn:ofk:oid:23889986,indberetninger-20180424,2.595548,24230872.0,,2018-03-28T03:17:01.993Z,2017-05-18T11:38:23.095Z,regnskab,0.0,,2016-12-31,2016-01-01,X17-AJ-50-HY,2017-05-18T11:38:23.303Z,2341.0,2341.0,0.0,2341.0,2341.0,2341.0,0.0,0.0,0.0,0.0,0.0,2341.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
