entity,start_date,end_date,context,AARSRAPPORT_html,AARSRAPPORT_pdf,AARSRAPPORT_xml,AccountingPoliciesAreUnchangedFromPreviousPeriod,AddressOfFinancialCountry,AddressOfFinancialCountryIdentificationCode,AddressOfFinancialDistrictName,AddressOfFinancialPostCodeIdentifier,AddressOfFinancialStreetName,AddressOfReportingEntityDistrictName,AddressOfReportingEntityPostCodeIdentifier,AddressOfReportingEntityStreetBuildingIdentifier,AddressOfReportingEntityStreetName,AddressOfSubmittingEnterprisePostcodeAndTown,AddressOfSubmittingEnterpriseStreetAndNumber,AddresseeOfAuditorsReportOnOtherReport,AdministrativeExpenses,AuditorsReportsOtherReports,ClassOfReportingEntity,CostOfProduction,DateOfGeneralMeeting,GrossResult,IdentificationNumberCvrOfReportingEntity,InformationOnReportingClassOfEntity,InformationOnTypeOfSubmittedReport,NameAndSurnameOfChairmanOfGeneralMeeting,NameOfFinancialInstitution,NameOfReportingEntity,NameOfSubmittingEnterprise,OtherFinanceExpenses,OtherOperatingExpenses,PrecedingReportingPeriodStartDate,PredingReportingPeriodEndDate,ProfitLoss,ProfitLossFromOrdinaryActivitiesBeforeTax,ProfitLossFromOrdinaryOperatingActivities,ReportingPeriodEndDate,ReportingPeriodStartDate,Revenue,SelectedElementsFromReportingClassC,SelectedElementsFromReportingClassD,TaxExpense,TelephoneNumberOfReportingEntity,TheCompanyHasPresentedTheAnnualReportEtcWithReferenceToTheDanishFinancialStatementsAct78aConcerningTheExceptionForReportingClassCMediumsizeSubsidiariesWhichChoosesToPresentTheAnnualReportEtcAccordingToReportingClassB,TheReportingEntityAppliesTheExceptionConcerningOptingOutOfTheStatementByManagementEtc,TypeOfAuditorAssistance,_id,_index,_score,cvrNummer,indlaesningsId,indlaesningsTidspunkt,offentliggoerelsesTidspunkt,offentliggoerelsestype,omgoerelse,regNummer,regnskabsperiode_slutDato,regnskabsperiode_startDato,sagsNummer,sidstOpdateret,Assets,CashAndCashEquivalents,ContributedCapital,CurrentAssets,Equity,LiabilitiesAndEquity,LiabilitiesOtherThanProvisions,LongtermInvestmentsAndReceivables,NoncurrentAssets,OtherLongtermInvestments,OtherShorttermPayables,RetainedEarnings,ShorttermLiabilitiesOtherThanProvisions,ShorttermTaxPayables
35521313,2014-07-01,2015-06-30,c1,http://regnskaber.virk.dk/31312553/ZG9rdW1lbnRsYWdlcjovLzAzLzY1L2M4Lzk3Lzk2LzViNjctNDBkMS05MTIxLTVmNzViOTRjMzhkMQ.xhtml,http://regnskaber.virk.dk/31312553/ZG9rdW1lbnRsYWdlcjovLzAzLzUwL2NkL2Q1LzcyLzkxMGUtNDRkNy05YWE1LTc0OTk5YTNkMzNmZg.pdf,http://regnskaber.virk.dk/31312553/ZG9rdW1lbnRsYWdlcjovLzAzLzRiL2EwL2M1L2I4L2U0MzgtNGUwNi1iZTM0LTY5ZTIwMzM3ODdiYw.xml,true,Danmark,DK,Aalborg,9100.0,John F. Kennedys Plads,Taastrup,2630.0,"7, st",Oldenburg Alle,2630 Taastrup,Oldenburg Alle 7,Til anpartshaverne i Stornord Invest ApS,66311.0,Revisors erklÃ¦ring om opstilling af Ã¥rsrapport,Regnskabsklasse B,292831.0,2016-11-25,210437.0,35521313.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Brian Gregersen,Nykredit Bank,STORNORD INVEST ApS,Connla,4433.0,0.0,2014-07-01,2015-06-30,105468.0,139693.0,144126.0,2016-06-30,2015-07-01,503268.0,false,false,34225.0,32100010.0,false,true,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:23201265,indberetninger-20180424,2.5955422,35521313.0,,2018-03-29T00:14:32.491Z,2016-11-28T09:13:43.611Z,regnskab,0.0,,2016-06-30,2015-07-01,X16-BH-20-DZ,2016-11-28T09:13:43.813Z,,,,,,,,,,,,,,
35521313,2014-07-01,2015-06-30,c3,http://regnskaber.virk.dk/31312553/ZG9rdW1lbnRsYWdlcjovLzAzLzY1L2M4Lzk3Lzk2LzViNjctNDBkMS05MTIxLTVmNzViOTRjMzhkMQ.xhtml,http://regnskaber.virk.dk/31312553/ZG9rdW1lbnRsYWdlcjovLzAzLzUwL2NkL2Q1LzcyLzkxMGUtNDRkNy05YWE1LTc0OTk5YTNkMzNmZg.pdf,http://regnskaber.virk.dk/31312553/ZG9rdW1lbnRsYWdlcjovLzAzLzRiL2EwL2M1L2I4L2U0MzgtNGUwNi1iZTM0LTY5ZTIwMzM3ODdiYw.xml,true,Danmark,DK,Aalborg,9100.0,John F. Kennedys Plads,Taastrup,2630.0,"7, st",Oldenburg Alle,2630 Taastrup,Oldenburg Alle 7,Til anpartshaverne i Stornord Invest ApS,,Revisors erklÃ¦ring om opstilling af Ã¥rsrapport,Regnskabsklasse B,,2016-11-25,,35521313.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Brian Gregersen,Nykredit Bank,STORNORD INVEST ApS,Connla,,0.0,2014-07-01,2015-06-30,0.0,,,2016-06-30,2015-07-01,,false,false,,32100010.0,false,true,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:23201265,indberetninger-20180424,2.5955422,35521313.0,,2018-03-29T00:14:32.491Z,2016-11-28T09:13:43.611Z,regnskab,0.0,,2016-06-30,2015-07-01,X16-BH-20-DZ,2016-11-28T09:13:43.813Z,,,,,,,,,,,,,,
35521313,2014-07-01,2015-06-30,c5,http://regnskaber.virk.dk/31312553/ZG9rdW1lbnRsYWdlcjovLzAzLzY1L2M4Lzk3Lzk2LzViNjctNDBkMS05MTIxLTVmNzViOTRjMzhkMQ.xhtml,http://regnskaber.virk.dk/31312553/ZG9rdW1lbnRsYWdlcjovLzAzLzUwL2NkL2Q1LzcyLzkxMGUtNDRkNy05YWE1LTc0OTk5YTNkMzNmZg.pdf,http://regnskaber.virk.dk/31312553/ZG9rdW1lbnRsYWdlcjovLzAzLzRiL2EwL2M1L2I4L2U0MzgtNGUwNi1iZTM0LTY5ZTIwMzM3ODdiYw.xml,true,Danmark,DK,Aalborg,9100.0,John F. Kennedys Plads,Taastrup,2630.0,"7, st",Oldenburg Alle,2630 Taastrup,Oldenburg Alle 7,Til anpartshaverne i Stornord Invest ApS,,Revisors erklÃ¦ring om opstilling af Ã¥rsrapport,Regnskabsklasse B,,2016-11-25,,35521313.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Brian Gregersen,Nykredit Bank,STORNORD INVEST ApS,Connla,,0.0,2014-07-01,2015-06-30,0.0,,,2016-06-30,2015-07-01,,false,false,,32100010.0,false,true,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:23201265,indberetninger-20180424,2.5955422,35521313.0,,2018-03-29T00:14:32.491Z,2016-11-28T09:13:43.611Z,regnskab,0.0,,2016-06-30,2015-07-01,X16-BH-20-DZ,2016-11-28T09:13:43.813Z,,,,,,,,,,,,,,
35521313,2014-07-01,2015-06-30,c7,http://regnskaber.virk.dk/31312553/ZG9rdW1lbnRsYWdlcjovLzAzLzY1L2M4Lzk3Lzk2LzViNjctNDBkMS05MTIxLTVmNzViOTRjMzhkMQ.xhtml,http://regnskaber.virk.dk/31312553/ZG9rdW1lbnRsYWdlcjovLzAzLzUwL2NkL2Q1LzcyLzkxMGUtNDRkNy05YWE1LTc0OTk5YTNkMzNmZg.pdf,http://regnskaber.virk.dk/31312553/ZG9rdW1lbnRsYWdlcjovLzAzLzRiL2EwL2M1L2I4L2U0MzgtNGUwNi1iZTM0LTY5ZTIwMzM3ODdiYw.xml,true,Danmark,DK,Aalborg,9100.0,John F. Kennedys Plads,Taastrup,2630.0,"7, st",Oldenburg Alle,2630 Taastrup,Oldenburg Alle 7,Til anpartshaverne i Stornord Invest ApS,,Revisors erklÃ¦ring om opstilling af Ã¥rsrapport,Regnskabsklasse B,,2016-11-25,,35521313.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Brian Gregersen,Nykredit Bank,STORNORD INVEST ApS,Connla,,0.0,2014-07-01,2015-06-30,105468.0,,,2016-06-30,2015-07-01,,false,false,,32100010.0,false,true,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:23201265,indberetninger-20180424,2.5955422,35521313.0,,2018-03-29T00:14:32.491Z,2016-11-28T09:13:43.611Z,regnskab,0.0,,2016-06-30,2015-07-01,X16-BH-20-DZ,2016-11-28T09:13:43.813Z,,,,,,,,,,,,,,
35521313,2015-06-30,2015-06-30,c9,http://regnskaber.virk.dk/31312553/ZG9rdW1lbnRsYWdlcjovLzAzLzY1L2M4Lzk3Lzk2LzViNjctNDBkMS05MTIxLTVmNzViOTRjMzhkMQ.xhtml,http://regnskaber.virk.dk/31312553/ZG9rdW1lbnRsYWdlcjovLzAzLzUwL2NkL2Q1LzcyLzkxMGUtNDRkNy05YWE1LTc0OTk5YTNkMzNmZg.pdf,http://regnskaber.virk.dk/31312553/ZG9rdW1lbnRsYWdlcjovLzAzLzRiL2EwL2M1L2I4L2U0MzgtNGUwNi1iZTM0LTY5ZTIwMzM3ODdiYw.xml,true,Danmark,DK,Aalborg,9100.0,John F. Kennedys Plads,Taastrup,2630.0,"7, st",Oldenburg Alle,2630 Taastrup,Oldenburg Alle 7,Til anpartshaverne i Stornord Invest ApS,,Revisors erklÃ¦ring om opstilling af Ã¥rsrapport,Regnskabsklasse B,,2016-11-25,,35521313.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Brian Gregersen,Nykredit Bank,STORNORD INVEST ApS,Connla,,0.0,2014-07-01,2015-06-30,,,,2016-06-30,2015-07-01,,false,false,,32100010.0,false,true,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:23201265,indberetninger-20180424,2.5955422,35521313.0,,2018-03-29T00:14:32.491Z,2016-11-28T09:13:43.611Z,regnskab,0.0,,2016-06-30,2015-07-01,X16-BH-20-DZ,2016-11-28T09:13:43.813Z,441759.0,35859.0,80000.0,35859.0,220211.0,441759.0,221548.0,405900.0,405900.0,405900.0,176049.0,140211.0,221548.0,45499.0
35521313,2015-07-01,2016-06-30,c0,http://regnskaber.virk.dk/31312553/ZG9rdW1lbnRsYWdlcjovLzAzLzY1L2M4Lzk3Lzk2LzViNjctNDBkMS05MTIxLTVmNzViOTRjMzhkMQ.xhtml,http://regnskaber.virk.dk/31312553/ZG9rdW1lbnRsYWdlcjovLzAzLzUwL2NkL2Q1LzcyLzkxMGUtNDRkNy05YWE1LTc0OTk5YTNkMzNmZg.pdf,http://regnskaber.virk.dk/31312553/ZG9rdW1lbnRsYWdlcjovLzAzLzRiL2EwL2M1L2I4L2U0MzgtNGUwNi1iZTM0LTY5ZTIwMzM3ODdiYw.xml,true,Danmark,DK,Aalborg,9100.0,John F. Kennedys Plads,Taastrup,2630.0,"7, st",Oldenburg Alle,2630 Taastrup,Oldenburg Alle 7,Til anpartshaverne i Stornord Invest ApS,46725.0,Revisors erklÃ¦ring om opstilling af Ã¥rsrapport,Regnskabsklasse B,168112.0,2016-11-25,93815.0,35521313.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Brian Gregersen,Nykredit Bank,STORNORD INVEST ApS,Connla,850.0,0.0,2014-07-01,2015-06-30,35374.0,46240.0,47090.0,2016-06-30,2015-07-01,261927.0,false,false,10866.0,32100010.0,false,true,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:23201265,indberetninger-20180424,2.5955422,35521313.0,,2018-03-29T00:14:32.491Z,2016-11-28T09:13:43.611Z,regnskab,0.0,,2016-06-30,2015-07-01,X16-BH-20-DZ,2016-11-28T09:13:43.813Z,,,,,,,,,,,,,,
35521313,2015-07-01,2016-06-30,c2,http://regnskaber.virk.dk/31312553/ZG9rdW1lbnRsYWdlcjovLzAzLzY1L2M4Lzk3Lzk2LzViNjctNDBkMS05MTIxLTVmNzViOTRjMzhkMQ.xhtml,http://regnskaber.virk.dk/31312553/ZG9rdW1lbnRsYWdlcjovLzAzLzUwL2NkL2Q1LzcyLzkxMGUtNDRkNy05YWE1LTc0OTk5YTNkMzNmZg.pdf,http://regnskaber.virk.dk/31312553/ZG9rdW1lbnRsYWdlcjovLzAzLzRiL2EwL2M1L2I4L2U0MzgtNGUwNi1iZTM0LTY5ZTIwMzM3ODdiYw.xml,true,Danmark,DK,Aalborg,9100.0,John F. Kennedys Plads,Taastrup,2630.0,"7, st",Oldenburg Alle,2630 Taastrup,Oldenburg Alle 7,Til anpartshaverne i Stornord Invest ApS,,Revisors erklÃ¦ring om opstilling af Ã¥rsrapport,Regnskabsklasse B,,2016-11-25,,35521313.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Brian Gregersen,Nykredit Bank,STORNORD INVEST ApS,Connla,,0.0,2014-07-01,2015-06-30,0.0,,,2016-06-30,2015-07-01,,false,false,,32100010.0,false,true,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:23201265,indberetninger-20180424,2.5955422,35521313.0,,2018-03-29T00:14:32.491Z,2016-11-28T09:13:43.611Z,regnskab,0.0,,2016-06-30,2015-07-01,X16-BH-20-DZ,2016-11-28T09:13:43.813Z,,,,,,,,,,,,,,
35521313,2015-07-01,2016-06-30,c4,http://regnskaber.virk.dk/31312553/ZG9rdW1lbnRsYWdlcjovLzAzLzY1L2M4Lzk3Lzk2LzViNjctNDBkMS05MTIxLTVmNzViOTRjMzhkMQ.xhtml,http://regnskaber.virk.dk/31312553/ZG9rdW1lbnRsYWdlcjovLzAzLzUwL2NkL2Q1LzcyLzkxMGUtNDRkNy05YWE1LTc0OTk5YTNkMzNmZg.pdf,http://regnskaber.virk.dk/31312553/ZG9rdW1lbnRsYWdlcjovLzAzLzRiL2EwL2M1L2I4L2U0MzgtNGUwNi1iZTM0LTY5ZTIwMzM3ODdiYw.xml,true,Danmark,DK,Aalborg,9100.0,John F. Kennedys Plads,Taastrup,2630.0,"7, st",Oldenburg Alle,2630 Taastrup,Oldenburg Alle 7,Til anpartshaverne i Stornord Invest ApS,,Revisors erklÃ¦ring om opstilling af Ã¥rsrapport,Regnskabsklasse B,,2016-11-25,,35521313.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Brian Gregersen,Nykredit Bank,STORNORD INVEST ApS,Connla,,0.0,2014-07-01,2015-06-30,0.0,,,2016-06-30,2015-07-01,,false,false,,32100010.0,false,true,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:23201265,indberetninger-20180424,2.5955422,35521313.0,,2018-03-29T00:14:32.491Z,2016-11-28T09:13:43.611Z,regnskab,0.0,,2016-06-30,2015-07-01,X16-BH-20-DZ,2016-11-28T09:13:43.813Z,,,,,,,,,,,,,,
35521313,2015-07-01,2016-06-30,c6,http://regnskaber.virk.dk/31312553/ZG9rdW1lbnRsYWdlcjovLzAzLzY1L2M4Lzk3Lzk2LzViNjctNDBkMS05MTIxLTVmNzViOTRjMzhkMQ.xhtml,http://regnskaber.virk.dk/31312553/ZG9rdW1lbnRsYWdlcjovLzAzLzUwL2NkL2Q1LzcyLzkxMGUtNDRkNy05YWE1LTc0OTk5YTNkMzNmZg.pdf,http://regnskaber.virk.dk/31312553/ZG9rdW1lbnRsYWdlcjovLzAzLzRiL2EwL2M1L2I4L2U0MzgtNGUwNi1iZTM0LTY5ZTIwMzM3ODdiYw.xml,true,Danmark,DK,Aalborg,9100.0,John F. Kennedys Plads,Taastrup,2630.0,"7, st",Oldenburg Alle,2630 Taastrup,Oldenburg Alle 7,Til anpartshaverne i Stornord Invest ApS,,Revisors erklÃ¦ring om opstilling af Ã¥rsrapport,Regnskabsklasse B,,2016-11-25,,35521313.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Brian Gregersen,Nykredit Bank,STORNORD INVEST ApS,Connla,,0.0,2014-07-01,2015-06-30,35374.0,,,2016-06-30,2015-07-01,,false,false,,32100010.0,false,true,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:23201265,indberetninger-20180424,2.5955422,35521313.0,,2018-03-29T00:14:32.491Z,2016-11-28T09:13:43.611Z,regnskab,0.0,,2016-06-30,2015-07-01,X16-BH-20-DZ,2016-11-28T09:13:43.813Z,,,,,,,,,,,,,,
35521313,2016-06-30,2016-06-30,c8,http://regnskaber.virk.dk/31312553/ZG9rdW1lbnRsYWdlcjovLzAzLzY1L2M4Lzk3Lzk2LzViNjctNDBkMS05MTIxLTVmNzViOTRjMzhkMQ.xhtml,http://regnskaber.virk.dk/31312553/ZG9rdW1lbnRsYWdlcjovLzAzLzUwL2NkL2Q1LzcyLzkxMGUtNDRkNy05YWE1LTc0OTk5YTNkMzNmZg.pdf,http://regnskaber.virk.dk/31312553/ZG9rdW1lbnRsYWdlcjovLzAzLzRiL2EwL2M1L2I4L2U0MzgtNGUwNi1iZTM0LTY5ZTIwMzM3ODdiYw.xml,true,Danmark,DK,Aalborg,9100.0,John F. Kennedys Plads,Taastrup,2630.0,"7, st",Oldenburg Alle,2630 Taastrup,Oldenburg Alle 7,Til anpartshaverne i Stornord Invest ApS,,Revisors erklÃ¦ring om opstilling af Ã¥rsrapport,Regnskabsklasse B,,2016-11-25,,35521313.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Brian Gregersen,Nykredit Bank,STORNORD INVEST ApS,Connla,,0.0,2014-07-01,2015-06-30,,,,2016-06-30,2015-07-01,,false,false,,32100010.0,false,true,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:23201265,indberetninger-20180424,2.5955422,35521313.0,,2018-03-29T00:14:32.491Z,2016-11-28T09:13:43.611Z,regnskab,0.0,,2016-06-30,2015-07-01,X16-BH-20-DZ,2016-11-28T09:13:43.813Z,436296.0,10395.0,80000.0,10395.0,251851.0,436296.0,184445.0,425901.0,425901.0,425901.0,138427.0,171851.0,184445.0,46018.0
