entity,start_date,end_date,context,AARSRAPPORT_html,AARSRAPPORT_pdf,AARSRAPPORT_xml,AccountingPoliciesAreUnchangedFromPreviousPeriod,AddressOfAuditorDistrictName,AddressOfAuditorPostCodeIdentifier,AddressOfAuditorStreetBuildingIdentifier,AddressOfAuditorStreetName,AddressOfReportingEntityPostCodeIdentifier,AddressOfReportingEntityStreetName,AddressOfSubmittingEnterprisePostcodeAndTown,AddressOfSubmittingEnterpriseStreetAndNumber,AddresseeOfAuditorsReportOnAuditedFinancialStatements,AdjustmentsForCurrentTaxOfPriorPeriod,AdjustmentsForDeferredTax,AverageNumberOfEmployees,ClassOfReportingEntity,ConfirmationThatAnnualReportIsPresentedInAccordanceWithRequirementsProvidedForByLegislationAnyStandardsAndRequirementsProvidedByArticlesOfAssociationOrByAgreement,ConfirmationThatFinancialStatementGivesTrueAndFairViewOfAssetsLiabilitiesEquityFinancialPositionAndResults,DateOfApprovalOfAnnualReport,DateOfFoundationOfReportingEntity,DateOfGeneralMeeting,DepreciationAmortisationExpenseAndImpairmentLossesOfPropertyPlantAndEquipmentAndIntangibleAssetsRecognisedInProfitOrLoss,DepreciationOfPropertyPlantAndEquipment,DescriptionOfAuditor,DividendIncomeRelatedToInvestments,DividendPaid,ExternalExpenses,GrossProfitLoss,IdentificationNumberCvrOfAuditFirm,IdentificationNumberCvrOfReportingEntity,IdentificationNumberCvrOfSubmittingEnterprise,IdentificationNumberOfAuditor,IdentificationOfApprovedAnnualReport,IncomeFromInvestmentsInGroupEnterprisesAndAssociates,InformationOnTypeOfSubmittedReport,LongtermLiabilitiesOtherThanProvisionsDueAfterFiveYearsAndMore,ManagementsStatementAboutManagementsReview,NameAndSurnameOfAuditor,NameAndSurnameOfChairmanOfGeneralMeeting,NameAndSurnameOfMemberOfExecutiveBoard,NameOfReportingEntity,NameOfSubmittingEnterprise,OtherFinanceExpenses,OtherOperatingIncome,PlaceOfSignatureOfStatement,PrecedingReportingPeriodStartDate,PredingReportingPeriodEndDate,ProfitLoss,ProfitLossFromOrdinaryActivitiesBeforeTax,ProfitLossFromOrdinaryOperatingActivities,RecommendationForApprovalOfAnnualReportByGeneralMeeting,RegisteredOfficeOfReportingEntity,ReportingPeriodEndDate,ReportingPeriodStartDate,RevaluationsOfInvestmentsOfTheYear,SelectedElementsFromReportingClassC,SignatureOfAuditorsDate,SignatureOfAuditorsPlace,TaxExpenseOnOrdinaryActivities,_id,_index,_score,cvrNummer,indlaesningsId,indlaesningsTidspunkt,offentliggoerelsesTidspunkt,offentliggoerelsestype,omgoerelse,regNummer,regnskabsperiode_slutDato,regnskabsperiode_startDato,sagsNummer,sidstOpdateret,Assets,CashAndCashEquivalents,ContributedCapital,CurrentDeferredTaxAssets,Equity,LandAndBuildings,LiabilitiesAndEquity,LiabilitiesOtherThanProvisions,LongtermDebtToBanks,LongtermInvestmentsAndReceivables,LongtermInvestmentsInAssociates,LongtermLiabilitiesOtherThanProvisions,NoncurrentAssets,PropertyPlantAndEquipment,ProposedDividendRecognisedInEquity,ReserveForNetRevaluationAccordingToEquityMethod,RetainedEarnings,ShorttermLiabilitiesOtherThanProvisions,ShorttermPartOfLongtermLiabilitiesOtherThanProvisions,ShorttermReceivables,ShorttermTaxReceivables,ShorttermTradePayables,AccumulatedImpairmentLossesAndDepreciationOfPropertyPlantAndEquipment,PropertyPlantAndEquipmentGross,AccumulatedRevaluationsOfInvestments,InvestmentsGross,NameOfAuditFirm,TypeOfAuditorAssistance
25131967,2016-01-01,2016-12-31,c174,,http://regnskaber.virk.dk/76913152/ZG9rdW1lbnRsYWdlcjovLzAzL2MyLzZhLzc5LzNhL2EwYjEtNGY4MS05MGU4LWY2NWQyZDAwYWVhYQ.pdf,http://regnskaber.virk.dk/76913152/ZG9rdW1lbnRsYWdlcjovLzAzLzM3L2E2LzFlL2UzL2UyYTgtNDhhNi04MTlmLTdiZWI3Nzg1ZTZjZA.xml,true,Herning,7400.0,30.0,Birk Centerpark,7400 Herning,GudenÃ¥vej 28,DK-7400 Herning,Birk Centerpark 30,Til kapitalejeren i JÃ¸rn Fugl Holding ApS,5951.0,-1.0,1.0,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er min opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2017 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar - 31. december 2017.",2018-02-27,2000-01-04,2018-02-27,11634.0,11635.0,Statsautoriseret revisor,-375000.0,-103400.0,9875.0,480407.0,20222670.0,25131967.0,20222670.0,mne10056,Direktionen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar - 31. december 2017 for JÃ¸rn Fugl Holding ApS.,442485.0,Ãrsrapport,454320.0,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Kirsten Ãstergaard,JÃ¸rn Fugl,JÃ¸rn Fugl,JÃ¸rn Fugl Holding ApS,BDO Statsautoriseret revisionsaktieselskab,10875.0,47797.0,Herning,2016-01-01,2016-12-31,451948.0,457898.0,468773.0,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,Herning,2017-12-31,2017-01-01,436988.0,true,2018-02-27,Herning,5950.0,urn:ofk:oid:25116206,indberetninger-20180424,2.5095978,25131967.0,,2018-04-04T01:49:16.594Z,2018-03-01T11:58:50.002Z,regnskab,0.0,,2017-12-31,2017-01-01,X18-AE-65-LH,2018-03-01T11:58:50.258Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25131967,2016-01-01,2016-12-31,c177,,http://regnskaber.virk.dk/76913152/ZG9rdW1lbnRsYWdlcjovLzAzL2MyLzZhLzc5LzNhL2EwYjEtNGY4MS05MGU4LWY2NWQyZDAwYWVhYQ.pdf,http://regnskaber.virk.dk/76913152/ZG9rdW1lbnRsYWdlcjovLzAzLzM3L2E2LzFlL2UzL2UyYTgtNDhhNi04MTlmLTdiZWI3Nzg1ZTZjZA.xml,true,Herning,7400.0,30.0,Birk Centerpark,7400 Herning,GudenÃ¥vej 28,DK-7400 Herning,Birk Centerpark 30,Til kapitalejeren i JÃ¸rn Fugl Holding ApS,,,,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er min opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2017 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar - 31. december 2017.",2018-02-27,2000-01-04,2018-02-27,,11635.0,Statsautoriseret revisor,-375000.0,-103400.0,,,20222670.0,25131967.0,20222670.0,mne10056,Direktionen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar - 31. december 2017 for JÃ¸rn Fugl Holding ApS.,,Ãrsrapport,454320.0,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Kirsten Ãstergaard,JÃ¸rn Fugl,JÃ¸rn Fugl,JÃ¸rn Fugl Holding ApS,BDO Statsautoriseret revisionsaktieselskab,,,Herning,2016-01-01,2016-12-31,103400.0,,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,Herning,2017-12-31,2017-01-01,436988.0,true,2018-02-27,Herning,,urn:ofk:oid:25116206,indberetninger-20180424,2.5095978,25131967.0,,2018-04-04T01:49:16.594Z,2018-03-01T11:58:50.002Z,regnskab,0.0,,2017-12-31,2017-01-01,X18-AE-65-LH,2018-03-01T11:58:50.258Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25131967,2016-01-01,2016-12-31,c185,,http://regnskaber.virk.dk/76913152/ZG9rdW1lbnRsYWdlcjovLzAzL2MyLzZhLzc5LzNhL2EwYjEtNGY4MS05MGU4LWY2NWQyZDAwYWVhYQ.pdf,http://regnskaber.virk.dk/76913152/ZG9rdW1lbnRsYWdlcjovLzAzLzM3L2E2LzFlL2UzL2UyYTgtNDhhNi04MTlmLTdiZWI3Nzg1ZTZjZA.xml,true,Herning,7400.0,30.0,Birk Centerpark,7400 Herning,GudenÃ¥vej 28,DK-7400 Herning,Birk Centerpark 30,Til kapitalejeren i JÃ¸rn Fugl Holding ApS,,,,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er min opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2017 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar - 31. december 2017.",2018-02-27,2000-01-04,2018-02-27,,11635.0,Statsautoriseret revisor,-375000.0,-103400.0,,,20222670.0,25131967.0,20222670.0,mne10056,Direktionen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar - 31. december 2017 for JÃ¸rn Fugl Holding ApS.,,Ãrsrapport,454320.0,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Kirsten Ãstergaard,JÃ¸rn Fugl,JÃ¸rn Fugl,JÃ¸rn Fugl Holding ApS,BDO Statsautoriseret revisionsaktieselskab,,,Herning,2016-01-01,2016-12-31,142485.0,,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,Herning,2017-12-31,2017-01-01,436988.0,true,2018-02-27,Herning,,urn:ofk:oid:25116206,indberetninger-20180424,2.5095978,25131967.0,,2018-04-04T01:49:16.594Z,2018-03-01T11:58:50.002Z,regnskab,0.0,,2017-12-31,2017-01-01,X18-AE-65-LH,2018-03-01T11:58:50.258Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25131967,2016-01-01,2016-12-31,c195,,http://regnskaber.virk.dk/76913152/ZG9rdW1lbnRsYWdlcjovLzAzL2MyLzZhLzc5LzNhL2EwYjEtNGY4MS05MGU4LWY2NWQyZDAwYWVhYQ.pdf,http://regnskaber.virk.dk/76913152/ZG9rdW1lbnRsYWdlcjovLzAzLzM3L2E2LzFlL2UzL2UyYTgtNDhhNi04MTlmLTdiZWI3Nzg1ZTZjZA.xml,true,Herning,7400.0,30.0,Birk Centerpark,7400 Herning,GudenÃ¥vej 28,DK-7400 Herning,Birk Centerpark 30,Til kapitalejeren i JÃ¸rn Fugl Holding ApS,,,,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er min opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2017 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar - 31. december 2017.",2018-02-27,2000-01-04,2018-02-27,,11635.0,Statsautoriseret revisor,-375000.0,-103400.0,,,20222670.0,25131967.0,20222670.0,mne10056,Direktionen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar - 31. december 2017 for JÃ¸rn Fugl Holding ApS.,,Ãrsrapport,454320.0,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Kirsten Ãstergaard,JÃ¸rn Fugl,JÃ¸rn Fugl,JÃ¸rn Fugl Holding ApS,BDO Statsautoriseret revisionsaktieselskab,,,Herning,2016-01-01,2016-12-31,206063.0,,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,Herning,2017-12-31,2017-01-01,436988.0,true,2018-02-27,Herning,,urn:ofk:oid:25116206,indberetninger-20180424,2.5095978,25131967.0,,2018-04-04T01:49:16.594Z,2018-03-01T11:58:50.002Z,regnskab,0.0,,2017-12-31,2017-01-01,X18-AE-65-LH,2018-03-01T11:58:50.258Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25131967,2016-12-31,2016-12-31,c172,,http://regnskaber.virk.dk/76913152/ZG9rdW1lbnRsYWdlcjovLzAzL2MyLzZhLzc5LzNhL2EwYjEtNGY4MS05MGU4LWY2NWQyZDAwYWVhYQ.pdf,http://regnskaber.virk.dk/76913152/ZG9rdW1lbnRsYWdlcjovLzAzLzM3L2E2LzFlL2UzL2UyYTgtNDhhNi04MTlmLTdiZWI3Nzg1ZTZjZA.xml,true,Herning,7400.0,30.0,Birk Centerpark,7400 Herning,GudenÃ¥vej 28,DK-7400 Herning,Birk Centerpark 30,Til kapitalejeren i JÃ¸rn Fugl Holding ApS,,,,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er min opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2017 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar - 31. december 2017.",2018-02-27,2000-01-04,2018-02-27,,11635.0,Statsautoriseret revisor,-375000.0,-103400.0,,,20222670.0,25131967.0,20222670.0,mne10056,Direktionen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar - 31. december 2017 for JÃ¸rn Fugl Holding ApS.,,Ãrsrapport,454320.0,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Kirsten Ãstergaard,JÃ¸rn Fugl,JÃ¸rn Fugl,JÃ¸rn Fugl Holding ApS,BDO Statsautoriseret revisionsaktieselskab,,,Herning,2016-01-01,2016-12-31,,,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,Herning,2017-12-31,2017-01-01,436988.0,true,2018-02-27,Herning,,urn:ofk:oid:25116206,indberetninger-20180424,2.5095978,25131967.0,,2018-04-04T01:49:16.594Z,2018-03-01T11:58:50.002Z,regnskab,0.0,,2017-12-31,2017-01-01,X18-AE-65-LH,2018-03-01T11:58:50.258Z,2192152.0,123171.0,125000.0,6969.0,1529129.0,800927.0,2192152.0,663023.0,621898.0,1260999.0,1260999.0,621898.0,2061926.0,800927.0,103400.0,1010999.0,289730.0,41125.0,32500.0,7055.0,86.0,8625.0,,,,,,
25131967,2017-01-01,2017-01-01,c226,,http://regnskaber.virk.dk/76913152/ZG9rdW1lbnRsYWdlcjovLzAzL2MyLzZhLzc5LzNhL2EwYjEtNGY4MS05MGU4LWY2NWQyZDAwYWVhYQ.pdf,http://regnskaber.virk.dk/76913152/ZG9rdW1lbnRsYWdlcjovLzAzLzM3L2E2LzFlL2UzL2UyYTgtNDhhNi04MTlmLTdiZWI3Nzg1ZTZjZA.xml,true,Herning,7400.0,30.0,Birk Centerpark,7400 Herning,GudenÃ¥vej 28,DK-7400 Herning,Birk Centerpark 30,Til kapitalejeren i JÃ¸rn Fugl Holding ApS,,,,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er min opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2017 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar - 31. december 2017.",2018-02-27,2000-01-04,2018-02-27,,11635.0,Statsautoriseret revisor,-375000.0,-103400.0,,,20222670.0,25131967.0,20222670.0,mne10056,Direktionen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar - 31. december 2017 for JÃ¸rn Fugl Holding ApS.,,Ãrsrapport,454320.0,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Kirsten Ãstergaard,JÃ¸rn Fugl,JÃ¸rn Fugl,JÃ¸rn Fugl Holding ApS,BDO Statsautoriseret revisionsaktieselskab,,,Herning,2016-01-01,2016-12-31,,,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,Herning,2017-12-31,2017-01-01,436988.0,true,2018-02-27,Herning,,urn:ofk:oid:25116206,indberetninger-20180424,2.5095978,25131967.0,,2018-04-04T01:49:16.594Z,2018-03-01T11:58:50.002Z,regnskab,0.0,,2017-12-31,2017-01-01,X18-AE-65-LH,2018-03-01T11:58:50.258Z,,,,,125000.0,,,,,,,,,,,,,,,,,,,,,,,
25131967,2017-01-01,2017-01-01,c235,,http://regnskaber.virk.dk/76913152/ZG9rdW1lbnRsYWdlcjovLzAzL2MyLzZhLzc5LzNhL2EwYjEtNGY4MS05MGU4LWY2NWQyZDAwYWVhYQ.pdf,http://regnskaber.virk.dk/76913152/ZG9rdW1lbnRsYWdlcjovLzAzLzM3L2E2LzFlL2UzL2UyYTgtNDhhNi04MTlmLTdiZWI3Nzg1ZTZjZA.xml,true,Herning,7400.0,30.0,Birk Centerpark,7400 Herning,GudenÃ¥vej 28,DK-7400 Herning,Birk Centerpark 30,Til kapitalejeren i JÃ¸rn Fugl Holding ApS,,,,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er min opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2017 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar - 31. december 2017.",2018-02-27,2000-01-04,2018-02-27,,11635.0,Statsautoriseret revisor,-375000.0,-103400.0,,,20222670.0,25131967.0,20222670.0,mne10056,Direktionen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar - 31. december 2017 for JÃ¸rn Fugl Holding ApS.,,Ãrsrapport,454320.0,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Kirsten Ãstergaard,JÃ¸rn Fugl,JÃ¸rn Fugl,JÃ¸rn Fugl Holding ApS,BDO Statsautoriseret revisionsaktieselskab,,,Herning,2016-01-01,2016-12-31,,,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,Herning,2017-12-31,2017-01-01,436988.0,true,2018-02-27,Herning,,urn:ofk:oid:25116206,indberetninger-20180424,2.5095978,25131967.0,,2018-04-04T01:49:16.594Z,2018-03-01T11:58:50.002Z,regnskab,0.0,,2017-12-31,2017-01-01,X18-AE-65-LH,2018-03-01T11:58:50.258Z,,,,,1010999.0,,,,,,,,,,,,,,,,,,,,,,,
25131967,2017-01-01,2017-01-01,c253,,http://regnskaber.virk.dk/76913152/ZG9rdW1lbnRsYWdlcjovLzAzL2MyLzZhLzc5LzNhL2EwYjEtNGY4MS05MGU4LWY2NWQyZDAwYWVhYQ.pdf,http://regnskaber.virk.dk/76913152/ZG9rdW1lbnRsYWdlcjovLzAzLzM3L2E2LzFlL2UzL2UyYTgtNDhhNi04MTlmLTdiZWI3Nzg1ZTZjZA.xml,true,Herning,7400.0,30.0,Birk Centerpark,7400 Herning,GudenÃ¥vej 28,DK-7400 Herning,Birk Centerpark 30,Til kapitalejeren i JÃ¸rn Fugl Holding ApS,,,,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er min opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2017 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar - 31. december 2017.",2018-02-27,2000-01-04,2018-02-27,,11635.0,Statsautoriseret revisor,-375000.0,-103400.0,,,20222670.0,25131967.0,20222670.0,mne10056,Direktionen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar - 31. december 2017 for JÃ¸rn Fugl Holding ApS.,,Ãrsrapport,454320.0,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Kirsten Ãstergaard,JÃ¸rn Fugl,JÃ¸rn Fugl,JÃ¸rn Fugl Holding ApS,BDO Statsautoriseret revisionsaktieselskab,,,Herning,2016-01-01,2016-12-31,,,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,Herning,2017-12-31,2017-01-01,436988.0,true,2018-02-27,Herning,,urn:ofk:oid:25116206,indberetninger-20180424,2.5095978,25131967.0,,2018-04-04T01:49:16.594Z,2018-03-01T11:58:50.002Z,regnskab,0.0,,2017-12-31,2017-01-01,X18-AE-65-LH,2018-03-01T11:58:50.258Z,,,,,289730.0,,,,,,,,,,,,,,,,,,,,,,,
25131967,2017-01-01,2017-01-01,c257,,http://regnskaber.virk.dk/76913152/ZG9rdW1lbnRsYWdlcjovLzAzL2MyLzZhLzc5LzNhL2EwYjEtNGY4MS05MGU4LWY2NWQyZDAwYWVhYQ.pdf,http://regnskaber.virk.dk/76913152/ZG9rdW1lbnRsYWdlcjovLzAzLzM3L2E2LzFlL2UzL2UyYTgtNDhhNi04MTlmLTdiZWI3Nzg1ZTZjZA.xml,true,Herning,7400.0,30.0,Birk Centerpark,7400 Herning,GudenÃ¥vej 28,DK-7400 Herning,Birk Centerpark 30,Til kapitalejeren i JÃ¸rn Fugl Holding ApS,,,,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er min opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2017 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar - 31. december 2017.",2018-02-27,2000-01-04,2018-02-27,,11635.0,Statsautoriseret revisor,-375000.0,-103400.0,,,20222670.0,25131967.0,20222670.0,mne10056,Direktionen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar - 31. december 2017 for JÃ¸rn Fugl Holding ApS.,,Ãrsrapport,454320.0,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Kirsten Ãstergaard,JÃ¸rn Fugl,JÃ¸rn Fugl,JÃ¸rn Fugl Holding ApS,BDO Statsautoriseret revisionsaktieselskab,,,Herning,2016-01-01,2016-12-31,,,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,Herning,2017-12-31,2017-01-01,436988.0,true,2018-02-27,Herning,,urn:ofk:oid:25116206,indberetninger-20180424,2.5095978,25131967.0,,2018-04-04T01:49:16.594Z,2018-03-01T11:58:50.002Z,regnskab,0.0,,2017-12-31,2017-01-01,X18-AE-65-LH,2018-03-01T11:58:50.258Z,,,,,103400.0,,,,,,,,,,,,,,,,,,,,,,,
25131967,2017-01-01,2017-01-01,c444,,http://regnskaber.virk.dk/76913152/ZG9rdW1lbnRsYWdlcjovLzAzL2MyLzZhLzc5LzNhL2EwYjEtNGY4MS05MGU4LWY2NWQyZDAwYWVhYQ.pdf,http://regnskaber.virk.dk/76913152/ZG9rdW1lbnRsYWdlcjovLzAzLzM3L2E2LzFlL2UzL2UyYTgtNDhhNi04MTlmLTdiZWI3Nzg1ZTZjZA.xml,true,Herning,7400.0,30.0,Birk Centerpark,7400 Herning,GudenÃ¥vej 28,DK-7400 Herning,Birk Centerpark 30,Til kapitalejeren i JÃ¸rn Fugl Holding ApS,,,,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er min opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2017 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar - 31. december 2017.",2018-02-27,2000-01-04,2018-02-27,,11635.0,Statsautoriseret revisor,-375000.0,-103400.0,,,20222670.0,25131967.0,20222670.0,mne10056,Direktionen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar - 31. december 2017 for JÃ¸rn Fugl Holding ApS.,,Ãrsrapport,454320.0,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Kirsten Ãstergaard,JÃ¸rn Fugl,JÃ¸rn Fugl,JÃ¸rn Fugl Holding ApS,BDO Statsautoriseret revisionsaktieselskab,,,Herning,2016-01-01,2016-12-31,,,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,Herning,2017-12-31,2017-01-01,436988.0,true,2018-02-27,Herning,,urn:ofk:oid:25116206,indberetninger-20180424,2.5095978,25131967.0,,2018-04-04T01:49:16.594Z,2018-03-01T11:58:50.002Z,regnskab,0.0,,2017-12-31,2017-01-01,X18-AE-65-LH,2018-03-01T11:58:50.258Z,,,,,,,,,,,,,,,,,,,,,,,129899.0,930825.0,,,,
