entity,start_date,end_date,context,AARSRAPPORT_html,AARSRAPPORT_pdf,AARSRAPPORT_xml,AccountingPoliciesAreUnchangedFromPreviousPeriod,AddressOfReportingEntityDistrictName,AddressOfReportingEntityPostCodeIdentifier,AddressOfReportingEntityStreetBuildingIdentifier,AddressOfReportingEntityStreetName,AddressOfSubmittingEnterprisePostcodeAndTown,AddressOfSubmittingEnterpriseStreetAndNumber,ClassOfReportingEntity,DateOfApprovalOfAnnualReport,DateOfGeneralMeeting,DisclosureOfContingentLiabilities,DisclosureOfMortgagesAndCollaterals,GrossResult,IdentificationNumberCvrOfReportingEntity,InformationOnReportingClassOfEntity,InformationOnTypeOfSubmittedReport,NameAndSurnameOfChairmanOfGeneralMeeting,NameAndSurnameOfMemberOfExecutiveBoard,NameOfReportingEntity,NameOfSubmittingEnterprise,OtherFinanceExpenses,OtherFinanceIncome,PlaceOfSignatureOfStatement,PrecedingReportingPeriodStartDate,PredingReportingPeriodEndDate,ProfitLoss,ProfitLossFromOrdinaryActivitiesBeforeTax,ProfitLossFromOrdinaryOperatingActivities,ReportingPeriodEndDate,ReportingPeriodStartDate,SelectedElementsFromReportingClassC,SelectedElementsFromReportingClassD,TaxExpense,TheCompanyHasPresentedTheAnnualReportEtcWithReferenceToTheDanishFinancialStatementsAct78aConcerningTheExceptionForReportingClassCMediumsizeSubsidiariesWhichChoosesToPresentTheAnnualReportEtcAccordingToReportingClassB,TheReportingEntityAppliesTheExceptionConcerningOptingOutOfTheStatementByManagementEtc,TypeOfAuditorAssistance,_id,_index,_score,cvrNummer,indlaesningsId,indlaesningsTidspunkt,offentliggoerelsesTidspunkt,offentliggoerelsestype,omgoerelse,regNummer,regnskabsperiode_slutDato,regnskabsperiode_startDato,sagsNummer,sidstOpdateret,Assets,CashAndCashEquivalents,ContributedCapital,CurrentAssets,Equity,LiabilitiesAndEquity,LiabilitiesOtherThanProvisions,LongtermInvestmentsAndReceivables,NoncurrentAssets,OtherLongtermInvestments,RetainedEarnings,ShorttermLiabilitiesOtherThanProvisions,ShorttermPayablesToShareholdersAndManagement
29220271,2015-01-01,2015-12-31,c2,http://regnskaber.virk.dk/17202292/ZG9rdW1lbnRsYWdlcjovLzAzLzU5LzcwLzAxLzFmLzE0ZjYtNDU5Yi05NjE4LTlhOWUzYzBiNGEzZQ.xhtml,http://regnskaber.virk.dk/17202292/ZG9rdW1lbnRsYWdlcjovLzAzL2ZmL2MxL2VkLzNkLzZlMjgtNDA2YS04OGQyLTIwMTEyOWUyN2ViMg.pdf,http://regnskaber.virk.dk/17202292/ZG9rdW1lbnRsYWdlcjovLzAzL2UwLzUxLzE1LzE3L2EwMWMtNDE3Yi05Y2Q4LTQ2NGM1OTc4NDNmYg.xml,true,Glamsbjerg,5620.0,12.0,Fladmosevej,9200 Aalborg SV,Hobrovej 437,Regnskabsklasse B,2017-03-01,2017-03-15,"<p xmlns=""http://www.w3.org/1999/xhtml"">Ingen.</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">Ingen.</p>",-5463.0,29220271.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,JÃ¸rgen Stougaard,JÃ¸rgen Oluf Stougaard,TJ STOUGAARD HOLDING ApS,Revice A/S,27508.0,18.0,Glamsbjerg,2015-01-01,2015-12-31,-32953.0,-32953.0,-5463.0,2016-12-31,2016-01-01,false,false,0.0,false,false,Ingen bistand,urn:ofk:oid:23618835,indberetninger-20180424,2.5955422,29220271,,2018-03-28T01:59:36.059Z,2017-03-20T10:30:52.564Z,regnskab,0.0,,2016-12-31,2016-01-01,X17-AD-45-UW,2017-03-20T10:30:52.765Z,,,,,,,,,,,,,
29220271,2015-01-01,2015-12-31,c4,http://regnskaber.virk.dk/17202292/ZG9rdW1lbnRsYWdlcjovLzAzLzU5LzcwLzAxLzFmLzE0ZjYtNDU5Yi05NjE4LTlhOWUzYzBiNGEzZQ.xhtml,http://regnskaber.virk.dk/17202292/ZG9rdW1lbnRsYWdlcjovLzAzL2ZmL2MxL2VkLzNkLzZlMjgtNDA2YS04OGQyLTIwMTEyOWUyN2ViMg.pdf,http://regnskaber.virk.dk/17202292/ZG9rdW1lbnRsYWdlcjovLzAzL2UwLzUxLzE1LzE3L2EwMWMtNDE3Yi05Y2Q4LTQ2NGM1OTc4NDNmYg.xml,true,Glamsbjerg,5620.0,12.0,Fladmosevej,9200 Aalborg SV,Hobrovej 437,Regnskabsklasse B,2017-03-01,2017-03-15,"<p xmlns=""http://www.w3.org/1999/xhtml"">Ingen.</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">Ingen.</p>",,29220271.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,JÃ¸rgen Stougaard,JÃ¸rgen Oluf Stougaard,TJ STOUGAARD HOLDING ApS,Revice A/S,,,Glamsbjerg,2015-01-01,2015-12-31,-32953.0,,,2016-12-31,2016-01-01,false,false,,false,false,Ingen bistand,urn:ofk:oid:23618835,indberetninger-20180424,2.5955422,29220271,,2018-03-28T01:59:36.059Z,2017-03-20T10:30:52.564Z,regnskab,0.0,,2016-12-31,2016-01-01,X17-AD-45-UW,2017-03-20T10:30:52.765Z,,,,,,,,,,,,,
29220271,2015-12-31,2015-12-31,c6,http://regnskaber.virk.dk/17202292/ZG9rdW1lbnRsYWdlcjovLzAzLzU5LzcwLzAxLzFmLzE0ZjYtNDU5Yi05NjE4LTlhOWUzYzBiNGEzZQ.xhtml,http://regnskaber.virk.dk/17202292/ZG9rdW1lbnRsYWdlcjovLzAzL2ZmL2MxL2VkLzNkLzZlMjgtNDA2YS04OGQyLTIwMTEyOWUyN2ViMg.pdf,http://regnskaber.virk.dk/17202292/ZG9rdW1lbnRsYWdlcjovLzAzL2UwLzUxLzE1LzE3L2EwMWMtNDE3Yi05Y2Q4LTQ2NGM1OTc4NDNmYg.xml,true,Glamsbjerg,5620.0,12.0,Fladmosevej,9200 Aalborg SV,Hobrovej 437,Regnskabsklasse B,2017-03-01,2017-03-15,"<p xmlns=""http://www.w3.org/1999/xhtml"">Ingen.</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">Ingen.</p>",,29220271.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,JÃ¸rgen Stougaard,JÃ¸rgen Oluf Stougaard,TJ STOUGAARD HOLDING ApS,Revice A/S,,,Glamsbjerg,2015-01-01,2015-12-31,,,,2016-12-31,2016-01-01,false,false,,false,false,Ingen bistand,urn:ofk:oid:23618835,indberetninger-20180424,2.5955422,29220271,,2018-03-28T01:59:36.059Z,2017-03-20T10:30:52.564Z,regnskab,0.0,,2016-12-31,2016-01-01,X17-AD-45-UW,2017-03-20T10:30:52.765Z,1014716.0,14716.0,500000.0,14716.0,310212.0,1014716.0,704504.0,1000000.0,1000000.0,1000000.0,-189788.0,704504.0,704504.0
29220271,2016-01-01,2016-01-01,c7,http://regnskaber.virk.dk/17202292/ZG9rdW1lbnRsYWdlcjovLzAzLzU5LzcwLzAxLzFmLzE0ZjYtNDU5Yi05NjE4LTlhOWUzYzBiNGEzZQ.xhtml,http://regnskaber.virk.dk/17202292/ZG9rdW1lbnRsYWdlcjovLzAzL2ZmL2MxL2VkLzNkLzZlMjgtNDA2YS04OGQyLTIwMTEyOWUyN2ViMg.pdf,http://regnskaber.virk.dk/17202292/ZG9rdW1lbnRsYWdlcjovLzAzL2UwLzUxLzE1LzE3L2EwMWMtNDE3Yi05Y2Q4LTQ2NGM1OTc4NDNmYg.xml,true,Glamsbjerg,5620.0,12.0,Fladmosevej,9200 Aalborg SV,Hobrovej 437,Regnskabsklasse B,2017-03-01,2017-03-15,"<p xmlns=""http://www.w3.org/1999/xhtml"">Ingen.</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">Ingen.</p>",,29220271.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,JÃ¸rgen Stougaard,JÃ¸rgen Oluf Stougaard,TJ STOUGAARD HOLDING ApS,Revice A/S,,,Glamsbjerg,2015-01-01,2015-12-31,,,,2016-12-31,2016-01-01,false,false,,false,false,Ingen bistand,urn:ofk:oid:23618835,indberetninger-20180424,2.5955422,29220271,,2018-03-28T01:59:36.059Z,2017-03-20T10:30:52.564Z,regnskab,0.0,,2016-12-31,2016-01-01,X17-AD-45-UW,2017-03-20T10:30:52.765Z,,,,,500000.0,,,,,,,,
29220271,2016-01-01,2016-01-01,c8,http://regnskaber.virk.dk/17202292/ZG9rdW1lbnRsYWdlcjovLzAzLzU5LzcwLzAxLzFmLzE0ZjYtNDU5Yi05NjE4LTlhOWUzYzBiNGEzZQ.xhtml,http://regnskaber.virk.dk/17202292/ZG9rdW1lbnRsYWdlcjovLzAzL2ZmL2MxL2VkLzNkLzZlMjgtNDA2YS04OGQyLTIwMTEyOWUyN2ViMg.pdf,http://regnskaber.virk.dk/17202292/ZG9rdW1lbnRsYWdlcjovLzAzL2UwLzUxLzE1LzE3L2EwMWMtNDE3Yi05Y2Q4LTQ2NGM1OTc4NDNmYg.xml,true,Glamsbjerg,5620.0,12.0,Fladmosevej,9200 Aalborg SV,Hobrovej 437,Regnskabsklasse B,2017-03-01,2017-03-15,"<p xmlns=""http://www.w3.org/1999/xhtml"">Ingen.</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">Ingen.</p>",,29220271.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,JÃ¸rgen Stougaard,JÃ¸rgen Oluf Stougaard,TJ STOUGAARD HOLDING ApS,Revice A/S,,,Glamsbjerg,2015-01-01,2015-12-31,,,,2016-12-31,2016-01-01,false,false,,false,false,Ingen bistand,urn:ofk:oid:23618835,indberetninger-20180424,2.5955422,29220271,,2018-03-28T01:59:36.059Z,2017-03-20T10:30:52.564Z,regnskab,0.0,,2016-12-31,2016-01-01,X17-AD-45-UW,2017-03-20T10:30:52.765Z,,,,,-189788.0,,,,,,,,
29220271,2016-01-01,2016-01-01,c9,http://regnskaber.virk.dk/17202292/ZG9rdW1lbnRsYWdlcjovLzAzLzU5LzcwLzAxLzFmLzE0ZjYtNDU5Yi05NjE4LTlhOWUzYzBiNGEzZQ.xhtml,http://regnskaber.virk.dk/17202292/ZG9rdW1lbnRsYWdlcjovLzAzL2ZmL2MxL2VkLzNkLzZlMjgtNDA2YS04OGQyLTIwMTEyOWUyN2ViMg.pdf,http://regnskaber.virk.dk/17202292/ZG9rdW1lbnRsYWdlcjovLzAzL2UwLzUxLzE1LzE3L2EwMWMtNDE3Yi05Y2Q4LTQ2NGM1OTc4NDNmYg.xml,true,Glamsbjerg,5620.0,12.0,Fladmosevej,9200 Aalborg SV,Hobrovej 437,Regnskabsklasse B,2017-03-01,2017-03-15,"<p xmlns=""http://www.w3.org/1999/xhtml"">Ingen.</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">Ingen.</p>",,29220271.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,JÃ¸rgen Stougaard,JÃ¸rgen Oluf Stougaard,TJ STOUGAARD HOLDING ApS,Revice A/S,,,Glamsbjerg,2015-01-01,2015-12-31,,,,2016-12-31,2016-01-01,false,false,,false,false,Ingen bistand,urn:ofk:oid:23618835,indberetninger-20180424,2.5955422,29220271,,2018-03-28T01:59:36.059Z,2017-03-20T10:30:52.564Z,regnskab,0.0,,2016-12-31,2016-01-01,X17-AD-45-UW,2017-03-20T10:30:52.765Z,,,,,310212.0,,,,,,,,
29220271,2016-01-01,2016-12-31,c0,http://regnskaber.virk.dk/17202292/ZG9rdW1lbnRsYWdlcjovLzAzLzU5LzcwLzAxLzFmLzE0ZjYtNDU5Yi05NjE4LTlhOWUzYzBiNGEzZQ.xhtml,http://regnskaber.virk.dk/17202292/ZG9rdW1lbnRsYWdlcjovLzAzL2ZmL2MxL2VkLzNkLzZlMjgtNDA2YS04OGQyLTIwMTEyOWUyN2ViMg.pdf,http://regnskaber.virk.dk/17202292/ZG9rdW1lbnRsYWdlcjovLzAzL2UwLzUxLzE1LzE3L2EwMWMtNDE3Yi05Y2Q4LTQ2NGM1OTc4NDNmYg.xml,true,Glamsbjerg,5620.0,12.0,Fladmosevej,9200 Aalborg SV,Hobrovej 437,Regnskabsklasse B,2017-03-01,2017-03-15,"<p xmlns=""http://www.w3.org/1999/xhtml"">Ingen.</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">Ingen.</p>",-6070.0,29220271.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,JÃ¸rgen Stougaard,JÃ¸rgen Oluf Stougaard,TJ STOUGAARD HOLDING ApS,Revice A/S,28877.0,0.0,Glamsbjerg,2015-01-01,2015-12-31,-34947.0,-34947.0,-6070.0,2016-12-31,2016-01-01,false,false,0.0,false,false,Ingen bistand,urn:ofk:oid:23618835,indberetninger-20180424,2.5955422,29220271,,2018-03-28T01:59:36.059Z,2017-03-20T10:30:52.564Z,regnskab,0.0,,2016-12-31,2016-01-01,X17-AD-45-UW,2017-03-20T10:30:52.765Z,,,,,,,,,,,,,
29220271,2016-01-01,2016-12-31,c1,http://regnskaber.virk.dk/17202292/ZG9rdW1lbnRsYWdlcjovLzAzLzU5LzcwLzAxLzFmLzE0ZjYtNDU5Yi05NjE4LTlhOWUzYzBiNGEzZQ.xhtml,http://regnskaber.virk.dk/17202292/ZG9rdW1lbnRsYWdlcjovLzAzL2ZmL2MxL2VkLzNkLzZlMjgtNDA2YS04OGQyLTIwMTEyOWUyN2ViMg.pdf,http://regnskaber.virk.dk/17202292/ZG9rdW1lbnRsYWdlcjovLzAzL2UwLzUxLzE1LzE3L2EwMWMtNDE3Yi05Y2Q4LTQ2NGM1OTc4NDNmYg.xml,true,Glamsbjerg,5620.0,12.0,Fladmosevej,9200 Aalborg SV,Hobrovej 437,Regnskabsklasse B,2017-03-01,2017-03-15,"<p xmlns=""http://www.w3.org/1999/xhtml"">Ingen.</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">Ingen.</p>",,29220271.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,JÃ¸rgen Stougaard,JÃ¸rgen Oluf Stougaard,TJ STOUGAARD HOLDING ApS,Revice A/S,,,Glamsbjerg,2015-01-01,2015-12-31,,,,2016-12-31,2016-01-01,false,false,,false,false,Ingen bistand,urn:ofk:oid:23618835,indberetninger-20180424,2.5955422,29220271,,2018-03-28T01:59:36.059Z,2017-03-20T10:30:52.564Z,regnskab,0.0,,2016-12-31,2016-01-01,X17-AD-45-UW,2017-03-20T10:30:52.765Z,,,,,,,,,,,,,
29220271,2016-01-01,2016-12-31,c10,http://regnskaber.virk.dk/17202292/ZG9rdW1lbnRsYWdlcjovLzAzLzU5LzcwLzAxLzFmLzE0ZjYtNDU5Yi05NjE4LTlhOWUzYzBiNGEzZQ.xhtml,http://regnskaber.virk.dk/17202292/ZG9rdW1lbnRsYWdlcjovLzAzL2ZmL2MxL2VkLzNkLzZlMjgtNDA2YS04OGQyLTIwMTEyOWUyN2ViMg.pdf,http://regnskaber.virk.dk/17202292/ZG9rdW1lbnRsYWdlcjovLzAzL2UwLzUxLzE1LzE3L2EwMWMtNDE3Yi05Y2Q4LTQ2NGM1OTc4NDNmYg.xml,true,Glamsbjerg,5620.0,12.0,Fladmosevej,9200 Aalborg SV,Hobrovej 437,Regnskabsklasse B,2017-03-01,2017-03-15,"<p xmlns=""http://www.w3.org/1999/xhtml"">Ingen.</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">Ingen.</p>",,29220271.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,JÃ¸rgen Stougaard,JÃ¸rgen Oluf Stougaard,TJ STOUGAARD HOLDING ApS,Revice A/S,,,Glamsbjerg,2015-01-01,2015-12-31,0.0,,,2016-12-31,2016-01-01,false,false,,false,false,Ingen bistand,urn:ofk:oid:23618835,indberetninger-20180424,2.5955422,29220271,,2018-03-28T01:59:36.059Z,2017-03-20T10:30:52.564Z,regnskab,0.0,,2016-12-31,2016-01-01,X17-AD-45-UW,2017-03-20T10:30:52.765Z,,,,,,,,,,,,,
29220271,2016-01-01,2016-12-31,c11,http://regnskaber.virk.dk/17202292/ZG9rdW1lbnRsYWdlcjovLzAzLzU5LzcwLzAxLzFmLzE0ZjYtNDU5Yi05NjE4LTlhOWUzYzBiNGEzZQ.xhtml,http://regnskaber.virk.dk/17202292/ZG9rdW1lbnRsYWdlcjovLzAzL2ZmL2MxL2VkLzNkLzZlMjgtNDA2YS04OGQyLTIwMTEyOWUyN2ViMg.pdf,http://regnskaber.virk.dk/17202292/ZG9rdW1lbnRsYWdlcjovLzAzL2UwLzUxLzE1LzE3L2EwMWMtNDE3Yi05Y2Q4LTQ2NGM1OTc4NDNmYg.xml,true,Glamsbjerg,5620.0,12.0,Fladmosevej,9200 Aalborg SV,Hobrovej 437,Regnskabsklasse B,2017-03-01,2017-03-15,"<p xmlns=""http://www.w3.org/1999/xhtml"">Ingen.</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">Ingen.</p>",,29220271.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,JÃ¸rgen Stougaard,JÃ¸rgen Oluf Stougaard,TJ STOUGAARD HOLDING ApS,Revice A/S,,,Glamsbjerg,2015-01-01,2015-12-31,-34947.0,,,2016-12-31,2016-01-01,false,false,,false,false,Ingen bistand,urn:ofk:oid:23618835,indberetninger-20180424,2.5955422,29220271,,2018-03-28T01:59:36.059Z,2017-03-20T10:30:52.564Z,regnskab,0.0,,2016-12-31,2016-01-01,X17-AD-45-UW,2017-03-20T10:30:52.765Z,,,,,,,,,,,,,
