entity,start_date,end_date,context,AARSRAPPORT_html,AARSRAPPORT_pdf,AARSRAPPORT_xml,AccountingPoliciesAreUnchangedFromPreviousPeriod,AddressOfSubmittingEnterprisePostcodeAndTown,AddressOfSubmittingEnterpriseStreetAndNumber,AddresseeOfAuditorsReportOnAuditedFinancialStatements,ClassOfReportingEntity,ConfirmationThatAnnualReportIsPresentedInAccordanceWithRequirementsProvidedForByLegislationAnyStandardsAndRequirementsProvidedByArticlesOfAssociationOrByAgreement,ConfirmationThatFinancialStatementGivesTrueAndFairViewOfAssetsLiabilitiesEquityFinancialPositionAndResults,DateOfApprovalOfAnnualReport,DateOfApprovalOfReport,DateOfFoundationOfReportingEntity,DateOfGeneralMeeting,DepreciationAmortisationExpenseAndImpairmentLossesOfPropertyPlantAndEquipmentAndIntangibleAssetsRecognisedInProfitOrLoss,EmployeeBenefitsExpense,GainsLossesFromCurrentValueAdjustmentsOfInvestmentAssets,GrossProfitLoss,IdentificationNumberCvrOfAuditFirm,IdentificationNumberCvrOfReportingEntity,IdentificationNumberOfAuditor,IdentificationOfApprovedAnnualReport,InformationOnTypeOfSubmittedReport,NameAndSurnameOfAuditor,NameAndSurnameOfChairmanOfGeneralMeeting,NameOfAuditFirm,NameOfReportingEntity,NameOfSubmittingEnterprise,OtherFinanceIncome,OtherOperatingExpenses,PlaceOfSignatureOfStatement,PrecedingReportingPeriodStartDate,PredingReportingPeriodEndDate,ProfitLoss,ProfitLossFromOrdinaryActivitiesBeforeTax,ProfitLossFromOrdinaryOperatingActivities,RecommendationForApprovalOfAnnualReportByGeneralMeeting,ReportingPeriodEndDate,ReportingPeriodStartDate,RestOfOtherFinanceExpenses,SelectedElementsFromReportingClassC,SignatureOfAuditorsDate,SignatureOfAuditorsPlace,TaxExpenseOnOrdinaryActivities,TypeOfAuditorAssistance,_id,_index,_score,cvrNummer,indlaesningsId,indlaesningsTidspunkt,offentliggoerelsesTidspunkt,offentliggoerelsestype,omgoerelse,regNummer,regnskabsperiode_slutDato,regnskabsperiode_startDato,sagsNummer,sidstOpdateret,AverageNumberOfEmployees,Assets,AssetsHeldForSaleInventories,CashAndCashEquivalents,ContributedCapital,CurrentAssets,DeferredIncomeAssets,DepositsLongtermInvestmentsAndReceivables,DepositsShorttermLiabilitiesOtherThanProvisions,Equity,FixturesFittingsToolsAndEquipment,Inventories,InvestmentProperty,LiabilitiesAndEquity,LiabilitiesOtherThanProvisions,LongtermDebtToBanks,LongtermEquityLoan,LongtermInvestmentsAndReceivables,LongtermLiabilitiesOtherThanProvisions,LongtermMortgageDebt,NoncurrentAssets,OtherShorttermPayables,OtherShorttermReceivables,PropertyPlantAndEquipment,Provisions,ProvisionsForDeferredTax,RetainedEarnings,ShorttermDebtToBanks,ShorttermLiabilitiesOtherThanProvisions,ShorttermPartOfLongtermLiabilitiesOtherThanProvisions,ShorttermPayablesToAssociates,ShorttermPrepaymentsReceivedFromCustomers,ShorttermReceivables,ShorttermReceivablesFromAssociates,ShorttermTaxPayables,ShorttermTradePayables,ShorttermTradeReceivables,NameAndSurnameOfMemberOfExecutiveBoard,TitleOfMemberOfExecutiveBoard
29787042,2017-01-01,2017-12-31,ID_10,,http://regnskaber.virk.dk/24078792/ZG9rdW1lbnRsYWdlcjovLzAzLzM3L2JkLzQ1LzJmL2U4YmQtNDk3OS05Y2FmLTlmNjk4ZjA5OWQ3NA.pdf,http://regnskaber.virk.dk/24078792/ZG9rdW1lbnRsYWdlcjovLzAzLzBiLzNhLzc3LzUxLzRlY2UtNGNjZi04NTdjLWI4OWY0YWYzNzA0Yw.xml,true,"5230, Odense M",GoldschmidtsvÃ¦nget 6,Til kapitalejerne i BO-ART EJENDOMME ApS,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2018 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar 2018 - 31. december 2018.",2019-04-30,2019-04-30,2006-11-03,2019-04-30,24449.0,1487300.0,-4149535.0,5717075.0,36956658.0,29787042.0,mne5588,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar 2018 - 31. december 2018 for BO-ART EJENDOMME ApS.,Ãrsrapport,Jan Andresen,Hans-Erik Valentin Christensen,4Audit Godkendt Revisionsanpartsselskab,BO-ART EJENDOMME ApS,4audit,136709.0,7622.0,Odense,2017-01-01,2017-12-31,-1504837.0,-1956067.0,48169.0,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,2018-12-31,2018-01-01,2140945.0,false,2019-04-30,Odense,-451230.0,RevisionspÃ¥tegning,urn:ofk:oid:27066364,indberetninger-20180424,2.5124211,29787042.0,AWp4R9u5RYGX6_YTHUvb,2019-05-02T11:22:57.525Z,2019-05-02T11:22:15.104Z,regnskab,0.0,,2018-12-31,2018-01-01,X19-BA-34-WB,2019-05-02T11:22:15.894Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29787042,2017-01-01,2017-12-31,ID_12,,http://regnskaber.virk.dk/24078792/ZG9rdW1lbnRsYWdlcjovLzAzLzM3L2JkLzQ1LzJmL2U4YmQtNDk3OS05Y2FmLTlmNjk4ZjA5OWQ3NA.pdf,http://regnskaber.virk.dk/24078792/ZG9rdW1lbnRsYWdlcjovLzAzLzBiLzNhLzc3LzUxLzRlY2UtNGNjZi04NTdjLWI4OWY0YWYzNzA0Yw.xml,true,"5230, Odense M",GoldschmidtsvÃ¦nget 6,Til kapitalejerne i BO-ART EJENDOMME ApS,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2018 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar 2018 - 31. december 2018.",2019-04-30,2019-04-30,2006-11-03,2019-04-30,,,,,36956658.0,29787042.0,mne5588,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar 2018 - 31. december 2018 for BO-ART EJENDOMME ApS.,Ãrsrapport,Jan Andresen,Hans-Erik Valentin Christensen,4Audit Godkendt Revisionsanpartsselskab,BO-ART EJENDOMME ApS,4audit,,,Odense,2017-01-01,2017-12-31,-1504837.0,,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,2018-12-31,2018-01-01,,false,2019-04-30,Odense,,RevisionspÃ¥tegning,urn:ofk:oid:27066364,indberetninger-20180424,2.5124211,29787042.0,AWp4R9u5RYGX6_YTHUvb,2019-05-02T11:22:57.525Z,2019-05-02T11:22:15.104Z,regnskab,0.0,,2018-12-31,2018-01-01,X19-BA-34-WB,2019-05-02T11:22:15.894Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29787042,2017-01-01,2017-12-31,ID_9,,http://regnskaber.virk.dk/24078792/ZG9rdW1lbnRsYWdlcjovLzAzLzM3L2JkLzQ1LzJmL2U4YmQtNDk3OS05Y2FmLTlmNjk4ZjA5OWQ3NA.pdf,http://regnskaber.virk.dk/24078792/ZG9rdW1lbnRsYWdlcjovLzAzLzBiLzNhLzc3LzUxLzRlY2UtNGNjZi04NTdjLWI4OWY0YWYzNzA0Yw.xml,true,"5230, Odense M",GoldschmidtsvÃ¦nget 6,Til kapitalejerne i BO-ART EJENDOMME ApS,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2018 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar 2018 - 31. december 2018.",2019-04-30,2019-04-30,2006-11-03,2019-04-30,,,,,36956658.0,29787042.0,mne5588,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar 2018 - 31. december 2018 for BO-ART EJENDOMME ApS.,Ãrsrapport,Jan Andresen,Hans-Erik Valentin Christensen,4Audit Godkendt Revisionsanpartsselskab,BO-ART EJENDOMME ApS,4audit,,,Odense,2017-01-01,2017-12-31,,,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,2018-12-31,2018-01-01,,false,2019-04-30,Odense,,RevisionspÃ¥tegning,urn:ofk:oid:27066364,indberetninger-20180424,2.5124211,29787042.0,AWp4R9u5RYGX6_YTHUvb,2019-05-02T11:22:57.525Z,2019-05-02T11:22:15.104Z,regnskab,0.0,,2018-12-31,2018-01-01,X19-BA-34-WB,2019-05-02T11:22:15.894Z,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29787042,2017-12-31,2017-12-31,ID_7,,http://regnskaber.virk.dk/24078792/ZG9rdW1lbnRsYWdlcjovLzAzLzM3L2JkLzQ1LzJmL2U4YmQtNDk3OS05Y2FmLTlmNjk4ZjA5OWQ3NA.pdf,http://regnskaber.virk.dk/24078792/ZG9rdW1lbnRsYWdlcjovLzAzLzBiLzNhLzc3LzUxLzRlY2UtNGNjZi04NTdjLWI4OWY0YWYzNzA0Yw.xml,true,"5230, Odense M",GoldschmidtsvÃ¦nget 6,Til kapitalejerne i BO-ART EJENDOMME ApS,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2018 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar 2018 - 31. december 2018.",2019-04-30,2019-04-30,2006-11-03,2019-04-30,,,,,36956658.0,29787042.0,mne5588,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar 2018 - 31. december 2018 for BO-ART EJENDOMME ApS.,Ãrsrapport,Jan Andresen,Hans-Erik Valentin Christensen,4Audit Godkendt Revisionsanpartsselskab,BO-ART EJENDOMME ApS,4audit,,,Odense,2017-01-01,2017-12-31,,,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,2018-12-31,2018-01-01,,false,2019-04-30,Odense,,RevisionspÃ¥tegning,urn:ofk:oid:27066364,indberetninger-20180424,2.5124211,29787042.0,AWp4R9u5RYGX6_YTHUvb,2019-05-02T11:22:57.525Z,2019-05-02T11:22:15.104Z,regnskab,0.0,,2018-12-31,2018-01-01,X19-BA-34-WB,2019-05-02T11:22:15.894Z,,106870299.0,39503000.0,127163.0,2108260.0,42654571.0,871175.0,29391.0,1823469.0,9526551.0,159337.0,39503000.0,64027000.0,106870299.0,96440410.0,8642750.0,1000000.0,29391.0,53824110.0,44181360.0,64215728.0,269720.0,2133076.0,64186337.0,903338.0,903338.0,7418291.0,9918827.0,42616300.0,27123257.0,5750.0,2145226.0,3024408.0,6976.0,386572.0,943480.0,13181.0,,
29787042,2018-01-01,2018-12-31,ID_0,,http://regnskaber.virk.dk/24078792/ZG9rdW1lbnRsYWdlcjovLzAzLzM3L2JkLzQ1LzJmL2U4YmQtNDk3OS05Y2FmLTlmNjk4ZjA5OWQ3NA.pdf,http://regnskaber.virk.dk/24078792/ZG9rdW1lbnRsYWdlcjovLzAzLzBiLzNhLzc3LzUxLzRlY2UtNGNjZi04NTdjLWI4OWY0YWYzNzA0Yw.xml,true,"5230, Odense M",GoldschmidtsvÃ¦nget 6,Til kapitalejerne i BO-ART EJENDOMME ApS,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2018 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar 2018 - 31. december 2018.",2019-04-30,2019-04-30,2006-11-03,2019-04-30,31468.0,1489702.0,1410619.0,3212801.0,36956658.0,29787042.0,mne5588,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar 2018 - 31. december 2018 for BO-ART EJENDOMME ApS.,Ãrsrapport,Jan Andresen,Hans-Erik Valentin Christensen,4Audit Godkendt Revisionsanpartsselskab,BO-ART EJENDOMME ApS,4audit,0.0,1104440.0,Odense,2017-01-01,2017-12-31,-348965.0,439345.0,1997810.0,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,2018-12-31,2018-01-01,1558465.0,false,2019-04-30,Odense,788310.0,RevisionspÃ¥tegning,urn:ofk:oid:27066364,indberetninger-20180424,2.5124211,29787042.0,AWp4R9u5RYGX6_YTHUvb,2019-05-02T11:22:57.525Z,2019-05-02T11:22:15.104Z,regnskab,0.0,,2018-12-31,2018-01-01,X19-BA-34-WB,2019-05-02T11:22:15.894Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29787042,2018-01-01,2018-12-31,ID_1,,http://regnskaber.virk.dk/24078792/ZG9rdW1lbnRsYWdlcjovLzAzLzM3L2JkLzQ1LzJmL2U4YmQtNDk3OS05Y2FmLTlmNjk4ZjA5OWQ3NA.pdf,http://regnskaber.virk.dk/24078792/ZG9rdW1lbnRsYWdlcjovLzAzLzBiLzNhLzc3LzUxLzRlY2UtNGNjZi04NTdjLWI4OWY0YWYzNzA0Yw.xml,true,"5230, Odense M",GoldschmidtsvÃ¦nget 6,Til kapitalejerne i BO-ART EJENDOMME ApS,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2018 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar 2018 - 31. december 2018.",2019-04-30,2019-04-30,2006-11-03,2019-04-30,,,,,36956658.0,29787042.0,mne5588,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar 2018 - 31. december 2018 for BO-ART EJENDOMME ApS.,Ãrsrapport,Jan Andresen,Hans-Erik Valentin Christensen,4Audit Godkendt Revisionsanpartsselskab,BO-ART EJENDOMME ApS,4audit,,,Odense,2017-01-01,2017-12-31,,,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,2018-12-31,2018-01-01,,false,2019-04-30,Odense,,RevisionspÃ¥tegning,urn:ofk:oid:27066364,indberetninger-20180424,2.5124211,29787042.0,AWp4R9u5RYGX6_YTHUvb,2019-05-02T11:22:57.525Z,2019-05-02T11:22:15.104Z,regnskab,0.0,,2018-12-31,2018-01-01,X19-BA-34-WB,2019-05-02T11:22:15.894Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29787042,2018-01-01,2018-12-31,ID_11,,http://regnskaber.virk.dk/24078792/ZG9rdW1lbnRsYWdlcjovLzAzLzM3L2JkLzQ1LzJmL2U4YmQtNDk3OS05Y2FmLTlmNjk4ZjA5OWQ3NA.pdf,http://regnskaber.virk.dk/24078792/ZG9rdW1lbnRsYWdlcjovLzAzLzBiLzNhLzc3LzUxLzRlY2UtNGNjZi04NTdjLWI4OWY0YWYzNzA0Yw.xml,true,"5230, Odense M",GoldschmidtsvÃ¦nget 6,Til kapitalejerne i BO-ART EJENDOMME ApS,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2018 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar 2018 - 31. december 2018.",2019-04-30,2019-04-30,2006-11-03,2019-04-30,,,,,36956658.0,29787042.0,mne5588,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar 2018 - 31. december 2018 for BO-ART EJENDOMME ApS.,Ãrsrapport,Jan Andresen,Hans-Erik Valentin Christensen,4Audit Godkendt Revisionsanpartsselskab,BO-ART EJENDOMME ApS,4audit,,,Odense,2017-01-01,2017-12-31,-348965.0,,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,2018-12-31,2018-01-01,,false,2019-04-30,Odense,,RevisionspÃ¥tegning,urn:ofk:oid:27066364,indberetninger-20180424,2.5124211,29787042.0,AWp4R9u5RYGX6_YTHUvb,2019-05-02T11:22:57.525Z,2019-05-02T11:22:15.104Z,regnskab,0.0,,2018-12-31,2018-01-01,X19-BA-34-WB,2019-05-02T11:22:15.894Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29787042,2018-01-01,2018-12-31,ID_2,,http://regnskaber.virk.dk/24078792/ZG9rdW1lbnRsYWdlcjovLzAzLzM3L2JkLzQ1LzJmL2U4YmQtNDk3OS05Y2FmLTlmNjk4ZjA5OWQ3NA.pdf,http://regnskaber.virk.dk/24078792/ZG9rdW1lbnRsYWdlcjovLzAzLzBiLzNhLzc3LzUxLzRlY2UtNGNjZi04NTdjLWI4OWY0YWYzNzA0Yw.xml,true,"5230, Odense M",GoldschmidtsvÃ¦nget 6,Til kapitalejerne i BO-ART EJENDOMME ApS,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2018 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar 2018 - 31. december 2018.",2019-04-30,2019-04-30,2006-11-03,2019-04-30,,,,,36956658.0,29787042.0,mne5588,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar 2018 - 31. december 2018 for BO-ART EJENDOMME ApS.,Ãrsrapport,Jan Andresen,Hans-Erik Valentin Christensen,4Audit Godkendt Revisionsanpartsselskab,BO-ART EJENDOMME ApS,4audit,,,Odense,2017-01-01,2017-12-31,,,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,2018-12-31,2018-01-01,,false,2019-04-30,Odense,,RevisionspÃ¥tegning,urn:ofk:oid:27066364,indberetninger-20180424,2.5124211,29787042.0,AWp4R9u5RYGX6_YTHUvb,2019-05-02T11:22:57.525Z,2019-05-02T11:22:15.104Z,regnskab,0.0,,2018-12-31,2018-01-01,X19-BA-34-WB,2019-05-02T11:22:15.894Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29787042,2018-01-01,2018-12-31,ID_3,,http://regnskaber.virk.dk/24078792/ZG9rdW1lbnRsYWdlcjovLzAzLzM3L2JkLzQ1LzJmL2U4YmQtNDk3OS05Y2FmLTlmNjk4ZjA5OWQ3NA.pdf,http://regnskaber.virk.dk/24078792/ZG9rdW1lbnRsYWdlcjovLzAzLzBiLzNhLzc3LzUxLzRlY2UtNGNjZi04NTdjLWI4OWY0YWYzNzA0Yw.xml,true,"5230, Odense M",GoldschmidtsvÃ¦nget 6,Til kapitalejerne i BO-ART EJENDOMME ApS,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2018 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar 2018 - 31. december 2018.",2019-04-30,2019-04-30,2006-11-03,2019-04-30,,,,,36956658.0,29787042.0,mne5588,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar 2018 - 31. december 2018 for BO-ART EJENDOMME ApS.,Ãrsrapport,Jan Andresen,Hans-Erik Valentin Christensen,4Audit Godkendt Revisionsanpartsselskab,BO-ART EJENDOMME ApS,4audit,,,Odense,2017-01-01,2017-12-31,,,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,2018-12-31,2018-01-01,,false,2019-04-30,Odense,,RevisionspÃ¥tegning,urn:ofk:oid:27066364,indberetninger-20180424,2.5124211,29787042.0,AWp4R9u5RYGX6_YTHUvb,2019-05-02T11:22:57.525Z,2019-05-02T11:22:15.104Z,regnskab,0.0,,2018-12-31,2018-01-01,X19-BA-34-WB,2019-05-02T11:22:15.894Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29787042,2018-01-01,2018-12-31,ID_4,,http://regnskaber.virk.dk/24078792/ZG9rdW1lbnRsYWdlcjovLzAzLzM3L2JkLzQ1LzJmL2U4YmQtNDk3OS05Y2FmLTlmNjk4ZjA5OWQ3NA.pdf,http://regnskaber.virk.dk/24078792/ZG9rdW1lbnRsYWdlcjovLzAzLzBiLzNhLzc3LzUxLzRlY2UtNGNjZi04NTdjLWI4OWY0YWYzNzA0Yw.xml,true,"5230, Odense M",GoldschmidtsvÃ¦nget 6,Til kapitalejerne i BO-ART EJENDOMME ApS,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2018 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar 2018 - 31. december 2018.",2019-04-30,2019-04-30,2006-11-03,2019-04-30,,,,,36956658.0,29787042.0,mne5588,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar 2018 - 31. december 2018 for BO-ART EJENDOMME ApS.,Ãrsrapport,Jan Andresen,Hans-Erik Valentin Christensen,4Audit Godkendt Revisionsanpartsselskab,BO-ART EJENDOMME ApS,4audit,,,Odense,2017-01-01,2017-12-31,,,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,2018-12-31,2018-01-01,,false,2019-04-30,Odense,,RevisionspÃ¥tegning,urn:ofk:oid:27066364,indberetninger-20180424,2.5124211,29787042.0,AWp4R9u5RYGX6_YTHUvb,2019-05-02T11:22:57.525Z,2019-05-02T11:22:15.104Z,regnskab,0.0,,2018-12-31,2018-01-01,X19-BA-34-WB,2019-05-02T11:22:15.894Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Hans-Erik Valentin Christensen,DirektÃ¸r
