entity,start_date,end_date,context,AARSRAPPORT_html,AARSRAPPORT_pdf,AARSRAPPORT_xml,AccountingPoliciesAreUnchangedFromPreviousPeriod,AddressOfReportingEntityPostCodeIdentifier,AddressOfReportingEntityStreetName,AddressOfSubmittingEnterprisePostcodeAndTown,AddressOfSubmittingEnterpriseStreetAndNumber,ClassOfReportingEntity,ConfirmationThatAnnualReportIsPresentedInAccordanceWithRequirementsProvidedForByLegislationAnyStandardsAndRequirementsProvidedByArticlesOfAssociationOrByAgreement,ConfirmationThatFinancialStatementGivesTrueAndFairViewOfAssetsLiabilitiesEquityFinancialPositionAndResults,CurrentTaxExpense,DateOfApprovalOfAnnualReport,DateOfFoundationOfReportingEntity,DateOfGeneralMeeting,DisclosureOfContingentAssets,DividendPaid,ExternalExpenses,IdentificationNumberCvrOfReportingEntity,IdentificationNumberCvrOfSubmittingEnterprise,IdentificationOfApprovedAnnualReport,IncomeFromOtherLongtermInvestmentsAndReceivables,InformationOnTypeOfSubmittedReport,ManagementsStatementAboutManagementsReview,NameAndSurnameOfChairmanOfGeneralMeeting,NameAndSurnameOfMemberOfExecutiveBoard,NameOfReportingEntity,NameOfSubmittingEnterprise,OtherFinanceExpenses,OtherFinanceIncome,PlaceOfSignatureOfStatement,PrecedingReportingPeriodStartDate,PredingReportingPeriodEndDate,ProfitLoss,ProfitLossFromOrdinaryActivitiesBeforeTax,ProfitLossFromOrdinaryOperatingActivities,RecommendationForApprovalOfAnnualReportByGeneralMeeting,RegisteredOfficeOfReportingEntity,ReportingPeriodEndDate,ReportingPeriodStartDate,SelectedElementsFromReportingClassC,TaxExpenseOnOrdinaryActivities,TypeOfAuditorAssistance,_id,_index,_score,cvrNummer,indlaesningsId,indlaesningsTidspunkt,offentliggoerelsesTidspunkt,offentliggoerelsestype,omgoerelse,regNummer,regnskabsperiode_slutDato,regnskabsperiode_startDato,sagsNummer,sidstOpdateret,Assets,CashAndCashEquivalents,ContributedCapital,Equity,LiabilitiesAndEquity,LiabilitiesOtherThanProvisions,LongtermInvestmentsAndReceivables,NoncurrentAssets,OtherLongtermInvestments,OtherShorttermReceivables,ProposedDividendRecognisedInEquity,RetainedEarnings,ShorttermLiabilitiesOtherThanProvisions,ShorttermReceivables,ShorttermTaxPayables
36021543,2015-10-01,2016-09-30,c347,,http://regnskaber.virk.dk/34512063/ZG9rdW1lbnRsYWdlcjovLzAzLzY2LzM0LzZlLzZkLzk2MGYtNDJjZC1hYmQ2LWM3NTE1NzIxN2U5Mg.pdf,http://regnskaber.virk.dk/34512063/ZG9rdW1lbnRsYWdlcjovLzAzLzRlLzYxL2ZkLzYwL2Y0MGYtNGMyYi1hZjY3LTJkYzhjNzc1MjY3Yw.xml,true,9800 HjÃ¸rring,Lien 9,9800 HjÃ¸rring,Lien 9,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er min opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 30. september 2017 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. oktober 2016 - 30. september 2017.",61776.0,2017-12-06,2014-06-20,2017-12-06,Ingen.,-200000.0,405.0,36021543.0,36021543.0,Direktionen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. oktober 2016 - 30. september 2017 for Holdingselskabet OMO af 1/10 2013 ApS.,0.0,Ãrsrapport,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Morten Ovesen,Morten Ovesen,Holdingselskabet OMO af 1/10 2013 ApS,Holdingselskabet OMO af 1/10 2013 ApS,2414.0,281256.0,HjÃ¸rring,2015-10-01,2016-09-30,216661.0,278437.0,-405.0,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,HjÃ¸rring,2017-09-30,2016-10-01,true,61776.0,Ingen bistand,urn:ofk:oid:24813395,indberetninger-20180424,2.5122432999999997,36021543.0,,2018-03-28T02:17:59.629Z,2017-12-08T12:31:36.284Z,regnskab,0.0,,2017-09-30,2016-10-01,X17-BK-33-EU,2017-12-08T12:31:36.377Z,,,,,,,,,,,,,,,
36021543,2015-10-01,2016-09-30,c350,,http://regnskaber.virk.dk/34512063/ZG9rdW1lbnRsYWdlcjovLzAzLzY2LzM0LzZlLzZkLzk2MGYtNDJjZC1hYmQ2LWM3NTE1NzIxN2U5Mg.pdf,http://regnskaber.virk.dk/34512063/ZG9rdW1lbnRsYWdlcjovLzAzLzRlLzYxL2ZkLzYwL2Y0MGYtNGMyYi1hZjY3LTJkYzhjNzc1MjY3Yw.xml,true,9800 HjÃ¸rring,Lien 9,9800 HjÃ¸rring,Lien 9,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er min opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 30. september 2017 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. oktober 2016 - 30. september 2017.",,2017-12-06,2014-06-20,2017-12-06,Ingen.,-200000.0,,36021543.0,36021543.0,Direktionen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. oktober 2016 - 30. september 2017 for Holdingselskabet OMO af 1/10 2013 ApS.,,Ãrsrapport,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Morten Ovesen,Morten Ovesen,Holdingselskabet OMO af 1/10 2013 ApS,Holdingselskabet OMO af 1/10 2013 ApS,,,HjÃ¸rring,2015-10-01,2016-09-30,200000.0,,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,HjÃ¸rring,2017-09-30,2016-10-01,true,,Ingen bistand,urn:ofk:oid:24813395,indberetninger-20180424,2.5122432999999997,36021543.0,,2018-03-28T02:17:59.629Z,2017-12-08T12:31:36.284Z,regnskab,0.0,,2017-09-30,2016-10-01,X17-BK-33-EU,2017-12-08T12:31:36.377Z,,,,,,,,,,,,,,,
36021543,2015-10-01,2016-09-30,c368,,http://regnskaber.virk.dk/34512063/ZG9rdW1lbnRsYWdlcjovLzAzLzY2LzM0LzZlLzZkLzk2MGYtNDJjZC1hYmQ2LWM3NTE1NzIxN2U5Mg.pdf,http://regnskaber.virk.dk/34512063/ZG9rdW1lbnRsYWdlcjovLzAzLzRlLzYxL2ZkLzYwL2Y0MGYtNGMyYi1hZjY3LTJkYzhjNzc1MjY3Yw.xml,true,9800 HjÃ¸rring,Lien 9,9800 HjÃ¸rring,Lien 9,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er min opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 30. september 2017 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. oktober 2016 - 30. september 2017.",,2017-12-06,2014-06-20,2017-12-06,Ingen.,-200000.0,,36021543.0,36021543.0,Direktionen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. oktober 2016 - 30. september 2017 for Holdingselskabet OMO af 1/10 2013 ApS.,,Ãrsrapport,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Morten Ovesen,Morten Ovesen,Holdingselskabet OMO af 1/10 2013 ApS,Holdingselskabet OMO af 1/10 2013 ApS,,,HjÃ¸rring,2015-10-01,2016-09-30,16661.0,,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,HjÃ¸rring,2017-09-30,2016-10-01,true,,Ingen bistand,urn:ofk:oid:24813395,indberetninger-20180424,2.5122432999999997,36021543.0,,2018-03-28T02:17:59.629Z,2017-12-08T12:31:36.284Z,regnskab,0.0,,2017-09-30,2016-10-01,X17-BK-33-EU,2017-12-08T12:31:36.377Z,,,,,,,,,,,,,,,
36021543,2016-09-30,2016-09-30,c398,,http://regnskaber.virk.dk/34512063/ZG9rdW1lbnRsYWdlcjovLzAzLzY2LzM0LzZlLzZkLzk2MGYtNDJjZC1hYmQ2LWM3NTE1NzIxN2U5Mg.pdf,http://regnskaber.virk.dk/34512063/ZG9rdW1lbnRsYWdlcjovLzAzLzRlLzYxL2ZkLzYwL2Y0MGYtNGMyYi1hZjY3LTJkYzhjNzc1MjY3Yw.xml,true,9800 HjÃ¸rring,Lien 9,9800 HjÃ¸rring,Lien 9,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er min opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 30. september 2017 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. oktober 2016 - 30. september 2017.",,2017-12-06,2014-06-20,2017-12-06,Ingen.,-200000.0,,36021543.0,36021543.0,Direktionen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. oktober 2016 - 30. september 2017 for Holdingselskabet OMO af 1/10 2013 ApS.,,Ãrsrapport,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Morten Ovesen,Morten Ovesen,Holdingselskabet OMO af 1/10 2013 ApS,Holdingselskabet OMO af 1/10 2013 ApS,,,HjÃ¸rring,2015-10-01,2016-09-30,,,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,HjÃ¸rring,2017-09-30,2016-10-01,true,,Ingen bistand,urn:ofk:oid:24813395,indberetninger-20180424,2.5122432999999997,36021543.0,,2018-03-28T02:17:59.629Z,2017-12-08T12:31:36.284Z,regnskab,0.0,,2017-09-30,2016-10-01,X17-BK-33-EU,2017-12-08T12:31:36.377Z,3007841.0,19682.0,50000.0,2950467.0,3007841.0,57374.0,2633132.0,2633132.0,2633132.0,355027.0,200000.0,2700467.0,57374.0,355027.0,57374.0
36021543,2016-10-01,2016-10-01,c703,,http://regnskaber.virk.dk/34512063/ZG9rdW1lbnRsYWdlcjovLzAzLzY2LzM0LzZlLzZkLzk2MGYtNDJjZC1hYmQ2LWM3NTE1NzIxN2U5Mg.pdf,http://regnskaber.virk.dk/34512063/ZG9rdW1lbnRsYWdlcjovLzAzLzRlLzYxL2ZkLzYwL2Y0MGYtNGMyYi1hZjY3LTJkYzhjNzc1MjY3Yw.xml,true,9800 HjÃ¸rring,Lien 9,9800 HjÃ¸rring,Lien 9,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er min opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 30. september 2017 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. oktober 2016 - 30. september 2017.",,2017-12-06,2014-06-20,2017-12-06,Ingen.,-200000.0,,36021543.0,36021543.0,Direktionen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. oktober 2016 - 30. september 2017 for Holdingselskabet OMO af 1/10 2013 ApS.,,Ãrsrapport,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Morten Ovesen,Morten Ovesen,Holdingselskabet OMO af 1/10 2013 ApS,Holdingselskabet OMO af 1/10 2013 ApS,,,HjÃ¸rring,2015-10-01,2016-09-30,,,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,HjÃ¸rring,2017-09-30,2016-10-01,true,,Ingen bistand,urn:ofk:oid:24813395,indberetninger-20180424,2.5122432999999997,36021543.0,,2018-03-28T02:17:59.629Z,2017-12-08T12:31:36.284Z,regnskab,0.0,,2017-09-30,2016-10-01,X17-BK-33-EU,2017-12-08T12:31:36.377Z,,,,50000.0,,,,,,,,,,,
36021543,2016-10-01,2016-10-01,c730,,http://regnskaber.virk.dk/34512063/ZG9rdW1lbnRsYWdlcjovLzAzLzY2LzM0LzZlLzZkLzk2MGYtNDJjZC1hYmQ2LWM3NTE1NzIxN2U5Mg.pdf,http://regnskaber.virk.dk/34512063/ZG9rdW1lbnRsYWdlcjovLzAzLzRlLzYxL2ZkLzYwL2Y0MGYtNGMyYi1hZjY3LTJkYzhjNzc1MjY3Yw.xml,true,9800 HjÃ¸rring,Lien 9,9800 HjÃ¸rring,Lien 9,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er min opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 30. september 2017 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. oktober 2016 - 30. september 2017.",,2017-12-06,2014-06-20,2017-12-06,Ingen.,-200000.0,,36021543.0,36021543.0,Direktionen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. oktober 2016 - 30. september 2017 for Holdingselskabet OMO af 1/10 2013 ApS.,,Ãrsrapport,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Morten Ovesen,Morten Ovesen,Holdingselskabet OMO af 1/10 2013 ApS,Holdingselskabet OMO af 1/10 2013 ApS,,,HjÃ¸rring,2015-10-01,2016-09-30,,,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,HjÃ¸rring,2017-09-30,2016-10-01,true,,Ingen bistand,urn:ofk:oid:24813395,indberetninger-20180424,2.5122432999999997,36021543.0,,2018-03-28T02:17:59.629Z,2017-12-08T12:31:36.284Z,regnskab,0.0,,2017-09-30,2016-10-01,X17-BK-33-EU,2017-12-08T12:31:36.377Z,,,,2700467.0,,,,,,,,,,,
36021543,2016-10-01,2016-10-01,c734,,http://regnskaber.virk.dk/34512063/ZG9rdW1lbnRsYWdlcjovLzAzLzY2LzM0LzZlLzZkLzk2MGYtNDJjZC1hYmQ2LWM3NTE1NzIxN2U5Mg.pdf,http://regnskaber.virk.dk/34512063/ZG9rdW1lbnRsYWdlcjovLzAzLzRlLzYxL2ZkLzYwL2Y0MGYtNGMyYi1hZjY3LTJkYzhjNzc1MjY3Yw.xml,true,9800 HjÃ¸rring,Lien 9,9800 HjÃ¸rring,Lien 9,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er min opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 30. september 2017 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. oktober 2016 - 30. september 2017.",,2017-12-06,2014-06-20,2017-12-06,Ingen.,-200000.0,,36021543.0,36021543.0,Direktionen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. oktober 2016 - 30. september 2017 for Holdingselskabet OMO af 1/10 2013 ApS.,,Ãrsrapport,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Morten Ovesen,Morten Ovesen,Holdingselskabet OMO af 1/10 2013 ApS,Holdingselskabet OMO af 1/10 2013 ApS,,,HjÃ¸rring,2015-10-01,2016-09-30,,,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,HjÃ¸rring,2017-09-30,2016-10-01,true,,Ingen bistand,urn:ofk:oid:24813395,indberetninger-20180424,2.5122432999999997,36021543.0,,2018-03-28T02:17:59.629Z,2017-12-08T12:31:36.284Z,regnskab,0.0,,2017-09-30,2016-10-01,X17-BK-33-EU,2017-12-08T12:31:36.377Z,,,,200000.0,,,,,,,,,,,
36021543,2016-10-01,2017-09-30,c0,,http://regnskaber.virk.dk/34512063/ZG9rdW1lbnRsYWdlcjovLzAzLzY2LzM0LzZlLzZkLzk2MGYtNDJjZC1hYmQ2LWM3NTE1NzIxN2U5Mg.pdf,http://regnskaber.virk.dk/34512063/ZG9rdW1lbnRsYWdlcjovLzAzLzRlLzYxL2ZkLzYwL2Y0MGYtNGMyYi1hZjY3LTJkYzhjNzc1MjY3Yw.xml,true,9800 HjÃ¸rring,Lien 9,9800 HjÃ¸rring,Lien 9,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er min opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 30. september 2017 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. oktober 2016 - 30. september 2017.",59202.0,2017-12-06,2014-06-20,2017-12-06,Ingen.,-200000.0,901.0,36021543.0,36021543.0,Direktionen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. oktober 2016 - 30. september 2017 for Holdingselskabet OMO af 1/10 2013 ApS.,6506.0,Ãrsrapport,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Morten Ovesen,Morten Ovesen,Holdingselskabet OMO af 1/10 2013 ApS,Holdingselskabet OMO af 1/10 2013 ApS,346.0,263744.0,HjÃ¸rring,2015-10-01,2016-09-30,209801.0,269003.0,-901.0,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,HjÃ¸rring,2017-09-30,2016-10-01,true,59202.0,Ingen bistand,urn:ofk:oid:24813395,indberetninger-20180424,2.5122432999999997,36021543.0,,2018-03-28T02:17:59.629Z,2017-12-08T12:31:36.284Z,regnskab,0.0,,2017-09-30,2016-10-01,X17-BK-33-EU,2017-12-08T12:31:36.377Z,,,,,,,,,,,,,,,
36021543,2016-10-01,2017-09-30,c2,,http://regnskaber.virk.dk/34512063/ZG9rdW1lbnRsYWdlcjovLzAzLzY2LzM0LzZlLzZkLzk2MGYtNDJjZC1hYmQ2LWM3NTE1NzIxN2U5Mg.pdf,http://regnskaber.virk.dk/34512063/ZG9rdW1lbnRsYWdlcjovLzAzLzRlLzYxL2ZkLzYwL2Y0MGYtNGMyYi1hZjY3LTJkYzhjNzc1MjY3Yw.xml,true,9800 HjÃ¸rring,Lien 9,9800 HjÃ¸rring,Lien 9,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er min opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 30. september 2017 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. oktober 2016 - 30. september 2017.",,2017-12-06,2014-06-20,2017-12-06,Ingen.,-200000.0,,36021543.0,36021543.0,Direktionen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. oktober 2016 - 30. september 2017 for Holdingselskabet OMO af 1/10 2013 ApS.,,Ãrsrapport,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Morten Ovesen,Morten Ovesen,Holdingselskabet OMO af 1/10 2013 ApS,Holdingselskabet OMO af 1/10 2013 ApS,,,HjÃ¸rring,2015-10-01,2016-09-30,,,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,HjÃ¸rring,2017-09-30,2016-10-01,true,,Ingen bistand,urn:ofk:oid:24813395,indberetninger-20180424,2.5122432999999997,36021543.0,,2018-03-28T02:17:59.629Z,2017-12-08T12:31:36.284Z,regnskab,0.0,,2017-09-30,2016-10-01,X17-BK-33-EU,2017-12-08T12:31:36.377Z,,,,,,,,,,,,,,,
36021543,2016-10-01,2017-09-30,c349,,http://regnskaber.virk.dk/34512063/ZG9rdW1lbnRsYWdlcjovLzAzLzY2LzM0LzZlLzZkLzk2MGYtNDJjZC1hYmQ2LWM3NTE1NzIxN2U5Mg.pdf,http://regnskaber.virk.dk/34512063/ZG9rdW1lbnRsYWdlcjovLzAzLzRlLzYxL2ZkLzYwL2Y0MGYtNGMyYi1hZjY3LTJkYzhjNzc1MjY3Yw.xml,true,9800 HjÃ¸rring,Lien 9,9800 HjÃ¸rring,Lien 9,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er min opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 30. september 2017 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. oktober 2016 - 30. september 2017.",,2017-12-06,2014-06-20,2017-12-06,Ingen.,-200000.0,,36021543.0,36021543.0,Direktionen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. oktober 2016 - 30. september 2017 for Holdingselskabet OMO af 1/10 2013 ApS.,,Ãrsrapport,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Morten Ovesen,Morten Ovesen,Holdingselskabet OMO af 1/10 2013 ApS,Holdingselskabet OMO af 1/10 2013 ApS,,,HjÃ¸rring,2015-10-01,2016-09-30,200000.0,,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,HjÃ¸rring,2017-09-30,2016-10-01,true,,Ingen bistand,urn:ofk:oid:24813395,indberetninger-20180424,2.5122432999999997,36021543.0,,2018-03-28T02:17:59.629Z,2017-12-08T12:31:36.284Z,regnskab,0.0,,2017-09-30,2016-10-01,X17-BK-33-EU,2017-12-08T12:31:36.377Z,,,,,,,,,,,,,,,
