entity,start_date,end_date,context,AARSRAPPORT_pdf,AARSRAPPORT_xml,AddressOfAuditorCountry,AddressOfAuditorCountryIdentificationCode,AddressOfAuditorDistrictName,AddressOfAuditorPostCodeIdentifier,AddressOfAuditorStreetBuildingIdentifier,AddressOfAuditorStreetName,AddressOfReportingEntityDistrictName,AddressOfReportingEntityPostCodeIdentifier,AddressOfReportingEntityStreetBuildingIdentifier,AddressOfReportingEntityStreetName,AddressOfSubmittingEnterprisePostcodeAndTown,AddressOfSubmittingEnterpriseStreetAndNumber,AddresseeOfAuditorsReportOnOtherReport,AuditorsReportsOtherReports,ClassOfReportingEntity,DateOfApprovalOfAnnualReport,DateOfGeneralMeeting,DepreciationAmortisationExpenseAndImpairmentLossesOfPropertyPlantAndEquipmentAndIntangibleAssetsRecognisedInProfitOrLoss,DescriptionOfAuditor,DisclosureOfCollateralsAndAssetsPledgesAsSecurity,EmployeeBenefitsExpense,ExtraordinaryProfitLossBeforeTax,GrossResult,IdentificationNumberCvrOfAuditFirm,IdentificationNumberCvrOfReportingEntity,IdentificationNumberPnrOfAuditFirm,InformationOnReportingClassOfEntity,InformationOnTypeOfSubmittedReport,NameAndSurnameOfAuditor,NameAndSurnameOfChairmanOfGeneralMeeting,NameAndSurnameOfMemberOfExecutiveBoard,NameOfReportingEntity,NameOfSubmittingEnterprise,OtherFinanceExpenses,OtherFinanceIncome,PlaceOfSignatureOfStatement,PrecedingReportingPeriodStartDate,PredingReportingPeriodEndDate,ProfitLoss,ProfitLossFromOrdinaryActivitiesBeforeTax,ProfitLossFromOrdinaryOperatingActivities,ReportingPeriodEndDate,ReportingPeriodStartDate,Revenue,SignatureOfAuditorsDate,SignatureOfAuditorsPlace,TaxExpense,TypeOfAuditorAssistance,_id,_index,_score,cvrNummer,indlaesningsId,indlaesningsTidspunkt,offentliggoerelsesTidspunkt,offentliggoerelsestype,omgoerelse,regNummer,regnskabsperiode_slutDato,regnskabsperiode_startDato,sagsNummer,sidstOpdateret,Assets,CashAndCashEquivalents,ContributedCapital,CurrentAssets,Equity,FixturesFittingsToolsAndEquipment,Inventories,LeaseholdImprovements,LiabilitiesAndEquity,LiabilitiesOtherThanProvisions,NoncurrentAssets,OtherShorttermPayables,OtherShorttermReceivables,PropertyPlantAndEquipment,ProposedDividendRecognisedInEquity,Provisions,ProvisionsForDeferredTax,RawMaterialsAndConsumables,RetainedEarnings,ShorttermDeferredIncome,ShorttermLiabilitiesOtherThanProvisions,ShorttermReceivables,ShorttermTaxPayables,ShorttermTradePayables,NameOfAuditFirm
33509383,2013-01-01,2013-12-31,c3,http://regnskaber.virk.dk/38390533/Y3ZyLmRrOi8vcGRmcy8zMzUwOTM4MztBcFM0ODk1OTQ7MjAxNDAxMDE7MjAxNDEyMzE7UjtS.pdf,http://regnskaber.virk.dk/38390533/Y3ZyLmRrOi8veGJybHMvWC1CM0ZGODJCNy0yMDE1MDIxN18xNTAyMTVfMDI2.xml,Danmark,DK,Herlev,2730.0,9.0,Barupvej,Herlev,2730.0,2.0,Herlev Torv,2730 Herlev,Barupvej 9,Til anpartshaveren S. Hermann ApS.,Revisors erklÃ¦ring om opstilling af Ã¥rsregnskab,Regnskabsklasse B,2015-02-07,2015-02-17,31272.0,Registreret revisor,"<p xmlns=""http://www.w3.org/1999/xhtml"">Selskabet har stillet bankgaranti for huslejedeposita kr. 173.812.</p>",549280.0,1023653.0,1602422.0,11524192.0,33509383.0,1000249989.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Nils Knudsen,Susanne Hermann,Susanne Hermann,S. HERMANN ApS,Nils Knudsen,11832.0,13615.0,Herlev,2013-01-01,2013-12-31,764734.0,1023653.0,1021870.0,2014-12-31,2014-01-01,1571150.0,2015-02-07,Herlev,258919.0,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:14044129,indberetninger-20180424,2.5118417999999996,33509383.0,,2018-03-30T11:37:52.984Z,2015-02-17T23:00:00.000Z,regnskab,0.0,,2014-12-31,2014-01-01,15-132.758,2015-02-17T23:00:00.000Z,,,,,,,,,,,,,,,,,,,,,,,,,
33509383,2013-01-01,2013-12-31,c5,http://regnskaber.virk.dk/38390533/Y3ZyLmRrOi8vcGRmcy8zMzUwOTM4MztBcFM0ODk1OTQ7MjAxNDAxMDE7MjAxNDEyMzE7UjtS.pdf,http://regnskaber.virk.dk/38390533/Y3ZyLmRrOi8veGJybHMvWC1CM0ZGODJCNy0yMDE1MDIxN18xNTAyMTVfMDI2.xml,Danmark,DK,Herlev,2730.0,9.0,Barupvej,Herlev,2730.0,2.0,Herlev Torv,2730 Herlev,Barupvej 9,Til anpartshaveren S. Hermann ApS.,Revisors erklÃ¦ring om opstilling af Ã¥rsregnskab,Regnskabsklasse B,2015-02-07,2015-02-17,,Registreret revisor,"<p xmlns=""http://www.w3.org/1999/xhtml"">Selskabet har stillet bankgaranti for huslejedeposita kr. 173.812.</p>",,,,11524192.0,33509383.0,1000249989.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Nils Knudsen,Susanne Hermann,Susanne Hermann,S. HERMANN ApS,Nils Knudsen,,,Herlev,2013-01-01,2013-12-31,96600.0,,,2014-12-31,2014-01-01,,2015-02-07,Herlev,,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:14044129,indberetninger-20180424,2.5118417999999996,33509383.0,,2018-03-30T11:37:52.984Z,2015-02-17T23:00:00.000Z,regnskab,0.0,,2014-12-31,2014-01-01,15-132.758,2015-02-17T23:00:00.000Z,,,,,,,,,,,,,,,,,,,,,,,,,
33509383,2013-01-01,2013-12-31,c7,http://regnskaber.virk.dk/38390533/Y3ZyLmRrOi8vcGRmcy8zMzUwOTM4MztBcFM0ODk1OTQ7MjAxNDAxMDE7MjAxNDEyMzE7UjtS.pdf,http://regnskaber.virk.dk/38390533/Y3ZyLmRrOi8veGJybHMvWC1CM0ZGODJCNy0yMDE1MDIxN18xNTAyMTVfMDI2.xml,Danmark,DK,Herlev,2730.0,9.0,Barupvej,Herlev,2730.0,2.0,Herlev Torv,2730 Herlev,Barupvej 9,Til anpartshaveren S. Hermann ApS.,Revisors erklÃ¦ring om opstilling af Ã¥rsregnskab,Regnskabsklasse B,2015-02-07,2015-02-17,,Registreret revisor,"<p xmlns=""http://www.w3.org/1999/xhtml"">Selskabet har stillet bankgaranti for huslejedeposita kr. 173.812.</p>",,,,11524192.0,33509383.0,1000249989.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Nils Knudsen,Susanne Hermann,Susanne Hermann,S. HERMANN ApS,Nils Knudsen,,,Herlev,2013-01-01,2013-12-31,668134.0,,,2014-12-31,2014-01-01,,2015-02-07,Herlev,,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:14044129,indberetninger-20180424,2.5118417999999996,33509383.0,,2018-03-30T11:37:52.984Z,2015-02-17T23:00:00.000Z,regnskab,0.0,,2014-12-31,2014-01-01,15-132.758,2015-02-17T23:00:00.000Z,,,,,,,,,,,,,,,,,,,,,,,,,
33509383,2013-12-31,2013-12-31,c9,http://regnskaber.virk.dk/38390533/Y3ZyLmRrOi8vcGRmcy8zMzUwOTM4MztBcFM0ODk1OTQ7MjAxNDAxMDE7MjAxNDEyMzE7UjtS.pdf,http://regnskaber.virk.dk/38390533/Y3ZyLmRrOi8veGJybHMvWC1CM0ZGODJCNy0yMDE1MDIxN18xNTAyMTVfMDI2.xml,Danmark,DK,Herlev,2730.0,9.0,Barupvej,Herlev,2730.0,2.0,Herlev Torv,2730 Herlev,Barupvej 9,Til anpartshaveren S. Hermann ApS.,Revisors erklÃ¦ring om opstilling af Ã¥rsregnskab,Regnskabsklasse B,2015-02-07,2015-02-17,,Registreret revisor,"<p xmlns=""http://www.w3.org/1999/xhtml"">Selskabet har stillet bankgaranti for huslejedeposita kr. 173.812.</p>",,,,11524192.0,33509383.0,1000249989.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Nils Knudsen,Susanne Hermann,Susanne Hermann,S. HERMANN ApS,Nils Knudsen,,,Herlev,2013-01-01,2013-12-31,,,,2014-12-31,2014-01-01,,2015-02-07,Herlev,,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:14044129,indberetninger-20180424,2.5118417999999996,33509383.0,,2018-03-30T11:37:52.984Z,2015-02-17T23:00:00.000Z,regnskab,0.0,,2014-12-31,2014-01-01,15-132.758,2015-02-17T23:00:00.000Z,2354474.0,1843103.0,125000.0,2291933.0,1846029.0,8110.0,293629.0,54431.0,2354474.0,506661.0,62541.0,182704.0,155201.0,62541.0,96600.0,1784.0,1784.0,293629.0,1624429.0,40504.0,506661.0,155201.0,159325.0,124128.0,
33509383,2014-01-01,2014-12-31,c0,http://regnskaber.virk.dk/38390533/Y3ZyLmRrOi8vcGRmcy8zMzUwOTM4MztBcFM0ODk1OTQ7MjAxNDAxMDE7MjAxNDEyMzE7UjtS.pdf,http://regnskaber.virk.dk/38390533/Y3ZyLmRrOi8veGJybHMvWC1CM0ZGODJCNy0yMDE1MDIxN18xNTAyMTVfMDI2.xml,Danmark,DK,Herlev,2730.0,9.0,Barupvej,Herlev,2730.0,2.0,Herlev Torv,2730 Herlev,Barupvej 9,Til anpartshaveren S. Hermann ApS.,Revisors erklÃ¦ring om opstilling af Ã¥rsregnskab,Regnskabsklasse B,2015-02-07,2015-02-17,31272.0,Registreret revisor,"<p xmlns=""http://www.w3.org/1999/xhtml"">Selskabet har stillet bankgaranti for huslejedeposita kr. 173.812.</p>",751447.0,914761.0,1690759.0,11524192.0,33509383.0,1000249989.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Nils Knudsen,Susanne Hermann,Susanne Hermann,S. HERMANN ApS,Nils Knudsen,4019.0,10740.0,Herlev,2013-01-01,2013-12-31,685990.0,914761.0,908040.0,2014-12-31,2014-01-01,1690759.0,2015-02-07,Herlev,228771.0,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:14044129,indberetninger-20180424,2.5118417999999996,33509383.0,,2018-03-30T11:37:52.984Z,2015-02-17T23:00:00.000Z,regnskab,0.0,,2014-12-31,2014-01-01,15-132.758,2015-02-17T23:00:00.000Z,,,,,,,,,,,,,,,,,,,,,,,,,
33509383,2014-01-01,2014-12-31,c1,http://regnskaber.virk.dk/38390533/Y3ZyLmRrOi8vcGRmcy8zMzUwOTM4MztBcFM0ODk1OTQ7MjAxNDAxMDE7MjAxNDEyMzE7UjtS.pdf,http://regnskaber.virk.dk/38390533/Y3ZyLmRrOi8veGJybHMvWC1CM0ZGODJCNy0yMDE1MDIxN18xNTAyMTVfMDI2.xml,Danmark,DK,Herlev,2730.0,9.0,Barupvej,Herlev,2730.0,2.0,Herlev Torv,2730 Herlev,Barupvej 9,Til anpartshaveren S. Hermann ApS.,Revisors erklÃ¦ring om opstilling af Ã¥rsregnskab,Regnskabsklasse B,2015-02-07,2015-02-17,,Registreret revisor,"<p xmlns=""http://www.w3.org/1999/xhtml"">Selskabet har stillet bankgaranti for huslejedeposita kr. 173.812.</p>",,,,11524192.0,33509383.0,1000249989.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Nils Knudsen,Susanne Hermann,Susanne Hermann,S. HERMANN ApS,Nils Knudsen,,,Herlev,2013-01-01,2013-12-31,,,,2014-12-31,2014-01-01,,2015-02-07,Herlev,,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:14044129,indberetninger-20180424,2.5118417999999996,33509383.0,,2018-03-30T11:37:52.984Z,2015-02-17T23:00:00.000Z,regnskab,0.0,,2014-12-31,2014-01-01,15-132.758,2015-02-17T23:00:00.000Z,,,,,,,,,,,,,,,,,,,,,,,,,NILS KNUDSEN                      NK - REVI
33509383,2014-01-01,2014-12-31,c2,http://regnskaber.virk.dk/38390533/Y3ZyLmRrOi8vcGRmcy8zMzUwOTM4MztBcFM0ODk1OTQ7MjAxNDAxMDE7MjAxNDEyMzE7UjtS.pdf,http://regnskaber.virk.dk/38390533/Y3ZyLmRrOi8veGJybHMvWC1CM0ZGODJCNy0yMDE1MDIxN18xNTAyMTVfMDI2.xml,Danmark,DK,Herlev,2730.0,9.0,Barupvej,Herlev,2730.0,2.0,Herlev Torv,2730 Herlev,Barupvej 9,Til anpartshaveren S. Hermann ApS.,Revisors erklÃ¦ring om opstilling af Ã¥rsregnskab,Regnskabsklasse B,2015-02-07,2015-02-17,,Registreret revisor,"<p xmlns=""http://www.w3.org/1999/xhtml"">Selskabet har stillet bankgaranti for huslejedeposita kr. 173.812.</p>",,,,11524192.0,33509383.0,1000249989.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Nils Knudsen,Susanne Hermann,Susanne Hermann,S. HERMANN ApS,Nils Knudsen,,,Herlev,2013-01-01,2013-12-31,,,,2014-12-31,2014-01-01,,2015-02-07,Herlev,,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:14044129,indberetninger-20180424,2.5118417999999996,33509383.0,,2018-03-30T11:37:52.984Z,2015-02-17T23:00:00.000Z,regnskab,0.0,,2014-12-31,2014-01-01,15-132.758,2015-02-17T23:00:00.000Z,,,,,,,,,,,,,,,,,,,,,,,,,
33509383,2014-01-01,2014-12-31,c4,http://regnskaber.virk.dk/38390533/Y3ZyLmRrOi8vcGRmcy8zMzUwOTM4MztBcFM0ODk1OTQ7MjAxNDAxMDE7MjAxNDEyMzE7UjtS.pdf,http://regnskaber.virk.dk/38390533/Y3ZyLmRrOi8veGJybHMvWC1CM0ZGODJCNy0yMDE1MDIxN18xNTAyMTVfMDI2.xml,Danmark,DK,Herlev,2730.0,9.0,Barupvej,Herlev,2730.0,2.0,Herlev Torv,2730 Herlev,Barupvej 9,Til anpartshaveren S. Hermann ApS.,Revisors erklÃ¦ring om opstilling af Ã¥rsregnskab,Regnskabsklasse B,2015-02-07,2015-02-17,,Registreret revisor,"<p xmlns=""http://www.w3.org/1999/xhtml"">Selskabet har stillet bankgaranti for huslejedeposita kr. 173.812.</p>",,,,11524192.0,33509383.0,1000249989.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Nils Knudsen,Susanne Hermann,Susanne Hermann,S. HERMANN ApS,Nils Knudsen,,,Herlev,2013-01-01,2013-12-31,96600.0,,,2014-12-31,2014-01-01,,2015-02-07,Herlev,,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:14044129,indberetninger-20180424,2.5118417999999996,33509383.0,,2018-03-30T11:37:52.984Z,2015-02-17T23:00:00.000Z,regnskab,0.0,,2014-12-31,2014-01-01,15-132.758,2015-02-17T23:00:00.000Z,,,,,,,,,,,,,,,,,,,,,,,,,
33509383,2014-01-01,2014-12-31,c6,http://regnskaber.virk.dk/38390533/Y3ZyLmRrOi8vcGRmcy8zMzUwOTM4MztBcFM0ODk1OTQ7MjAxNDAxMDE7MjAxNDEyMzE7UjtS.pdf,http://regnskaber.virk.dk/38390533/Y3ZyLmRrOi8veGJybHMvWC1CM0ZGODJCNy0yMDE1MDIxN18xNTAyMTVfMDI2.xml,Danmark,DK,Herlev,2730.0,9.0,Barupvej,Herlev,2730.0,2.0,Herlev Torv,2730 Herlev,Barupvej 9,Til anpartshaveren S. Hermann ApS.,Revisors erklÃ¦ring om opstilling af Ã¥rsregnskab,Regnskabsklasse B,2015-02-07,2015-02-17,,Registreret revisor,"<p xmlns=""http://www.w3.org/1999/xhtml"">Selskabet har stillet bankgaranti for huslejedeposita kr. 173.812.</p>",,,,11524192.0,33509383.0,1000249989.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Nils Knudsen,Susanne Hermann,Susanne Hermann,S. HERMANN ApS,Nils Knudsen,,,Herlev,2013-01-01,2013-12-31,589390.0,,,2014-12-31,2014-01-01,,2015-02-07,Herlev,,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:14044129,indberetninger-20180424,2.5118417999999996,33509383.0,,2018-03-30T11:37:52.984Z,2015-02-17T23:00:00.000Z,regnskab,0.0,,2014-12-31,2014-01-01,15-132.758,2015-02-17T23:00:00.000Z,,,,,,,,,,,,,,,,,,,,,,,,,
33509383,2014-12-31,2014-12-31,c8,http://regnskaber.virk.dk/38390533/Y3ZyLmRrOi8vcGRmcy8zMzUwOTM4MztBcFM0ODk1OTQ7MjAxNDAxMDE7MjAxNDEyMzE7UjtS.pdf,http://regnskaber.virk.dk/38390533/Y3ZyLmRrOi8veGJybHMvWC1CM0ZGODJCNy0yMDE1MDIxN18xNTAyMTVfMDI2.xml,Danmark,DK,Herlev,2730.0,9.0,Barupvej,Herlev,2730.0,2.0,Herlev Torv,2730 Herlev,Barupvej 9,Til anpartshaveren S. Hermann ApS.,Revisors erklÃ¦ring om opstilling af Ã¥rsregnskab,Regnskabsklasse B,2015-02-07,2015-02-17,,Registreret revisor,"<p xmlns=""http://www.w3.org/1999/xhtml"">Selskabet har stillet bankgaranti for huslejedeposita kr. 173.812.</p>",,,,11524192.0,33509383.0,1000249989.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Nils Knudsen,Susanne Hermann,Susanne Hermann,S. HERMANN ApS,Nils Knudsen,,,Herlev,2013-01-01,2013-12-31,,,,2014-12-31,2014-01-01,,2015-02-07,Herlev,,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:14044129,indberetninger-20180424,2.5118417999999996,33509383.0,,2018-03-30T11:37:52.984Z,2015-02-17T23:00:00.000Z,regnskab,0.0,,2014-12-31,2014-01-01,15-132.758,2015-02-17T23:00:00.000Z,2944697.0,2458908.0,125000.0,2913427.0,2435419.0,4055.0,304119.0,27215.0,2944697.0,508386.0,31270.0,238529.0,150400.0,31270.0,96600.0,892.0,892.0,304119.0,2213819.0,48922.0,508386.0,150400.0,141663.0,79272.0,
