entity,start_date,end_date,context,AARSRAPPORT_html,AARSRAPPORT_pdf,AARSRAPPORT_xml,AddressOfAuditorCountry,AddressOfAuditorCountryIdentificationCode,AddressOfAuditorDistrictName,AddressOfAuditorStreetBuildingIdentifier,AddressOfAuditorStreetName,AddressOfReportingEntityDistrictName,AddressOfReportingEntityPostCodeIdentifier,AddressOfReportingEntityStreetBuildingIdentifier,AddressOfReportingEntityStreetName,AddressOfSubmittingEnterprisePostcodeAndTown,AddressOfSubmittingEnterpriseStreetAndNumber,AddresseeOfAuditorsReportOnOtherReport,AuditorsReportsOtherReports,ClassOfReportingEntity,DateOfApprovalOfAnnualReport,DateOfGeneralMeeting,DepreciationAmortisationExpenseAndImpairmentLossesOfPropertyPlantAndEquipmentAndIntangibleAssetsRecognisedInProfitOrLoss,DescriptionOfAuditor,DisclosureOfCollateralsAndAssetsPledgesAsSecurity,EmployeeBenefitsExpense,GrossResult,IdentificationNumberCvrOfReportingEntity,IdentificationNumberPnrOfAuditFirm,InformationOnReportingClassOfEntity,InformationOnTypeOfSubmittedReport,NameAndSurnameOfAuditor,NameAndSurnameOfChairmanOfGeneralMeeting,NameAndSurnameOfMemberOfExecutiveBoard,NameOfReportingEntity,NameOfSubmittingEnterprise,OtherFinanceExpenses,OtherFinanceIncome,PlaceOfSignatureOfStatement,PrecedingReportingPeriodStartDate,PredingReportingPeriodEndDate,ProfitLoss,ProfitLossFromOrdinaryActivitiesBeforeTax,ProfitLossFromOrdinaryOperatingActivities,ReportingPeriodEndDate,ReportingPeriodStartDate,Revenue,SignatureOfAuditorsDate,SignatureOfAuditorsPlace,TaxExpense,TheReportingEntityAppliesTheExceptionConcerningOptingOutOfTheStatementByManagementEtc,TitleOfMemberOfExecutiveBoard,TypeOfAuditorAssistance,_id,_index,_score,cvrNummer,indlaesningsId,indlaesningsTidspunkt,offentliggoerelsesTidspunkt,offentliggoerelsestype,omgoerelse,regNummer,regnskabsperiode_slutDato,regnskabsperiode_startDato,sagsNummer,sidstOpdateret,Assets,CashAndCashEquivalents,ContributedCapital,CurrentAssets,Equity,FixturesFittingsToolsAndEquipment,Inventories,LeaseholdImprovements,LiabilitiesAndEquity,LiabilitiesOtherThanProvisions,NoncurrentAssets,OtherShorttermPayables,OtherShorttermReceivables,PropertyPlantAndEquipment,ProposedDividendRecognisedInEquity,Provisions,ProvisionsForDeferredTax,RawMaterialsAndConsumables,RetainedEarnings,ShorttermDeferredIncome,ShorttermLiabilitiesOtherThanProvisions,ShorttermReceivables,ShorttermTaxPayables,ShorttermTradePayables,IdentificationNumberCvrOfAuditFirm,NameOfAuditFirm
33509383,2014-01-01,2014-12-31,c3,http://regnskaber.virk.dk/38390533/ZG9rdW1lbnRsYWdlcjovLzAzLzg1LzU2LzAzLzMxLzU3NDAtNGRjZi04OGIzLTFlNzM1YzgxNzU4Yw.xhtml,http://regnskaber.virk.dk/38390533/ZG9rdW1lbnRsYWdlcjovLzAzLzBlLzA3LzM3LzFiLzMwMDEtNDkwOS05YjZjLTgyYWZjYzRkYzc1Mw.pdf,http://regnskaber.virk.dk/38390533/ZG9rdW1lbnRsYWdlcjovLzAzL2JmLzcxLzllL2ZmL2ViNTctNDFmYi1iZWEzLTQ5NmI1N2YxNmI4YQ.xml,Danmark,DK,Herlev,9.0,Barupvej,Herlev,2730.0,2.0,Herlev Torv,2730 Herlev,Barupvej 9,Til anpartshaveren S. Hermann ApS.,Revisors erklÃ¦ring om opstilling af Ã¥rsrapport,Regnskabsklasse B,2016-03-11,2016-03-22,31272.0,Registreret revisor,"<p xmlns=""http://www.w3.org/1999/xhtml"">Selskabet har stillet bankgaranti for huslejedeposita kr. 173.812.</p>",751447.0,1690759.0,33509383.0,1000249989.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Nils Knudsen,Susanne Hermann,Susanne Hermann,S. HERMANN ApS,nils knudsen,4019.0,10740.0,Herlev,2014-01-01,2014-12-31,685990.0,914761.0,908040.0,2015-12-31,2015-01-01,1690759.0,2016-03-11,Herlev,228771.0,false,DirektÃ¸r,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:22140885,indberetninger-20180424,2.5949432999999997,33509383.0,,2018-03-29T06:54:20.562Z,2016-03-22T15:57:41.773Z,regnskab,0.0,,2015-12-31,2015-01-01,X16-AS-07-YV,2016-03-22T15:57:41.928Z,,,,,,,,,,,,,,,,,,,,,,,,,,
33509383,2014-01-01,2014-12-31,c5,http://regnskaber.virk.dk/38390533/ZG9rdW1lbnRsYWdlcjovLzAzLzg1LzU2LzAzLzMxLzU3NDAtNGRjZi04OGIzLTFlNzM1YzgxNzU4Yw.xhtml,http://regnskaber.virk.dk/38390533/ZG9rdW1lbnRsYWdlcjovLzAzLzBlLzA3LzM3LzFiLzMwMDEtNDkwOS05YjZjLTgyYWZjYzRkYzc1Mw.pdf,http://regnskaber.virk.dk/38390533/ZG9rdW1lbnRsYWdlcjovLzAzL2JmLzcxLzllL2ZmL2ViNTctNDFmYi1iZWEzLTQ5NmI1N2YxNmI4YQ.xml,Danmark,DK,Herlev,9.0,Barupvej,Herlev,2730.0,2.0,Herlev Torv,2730 Herlev,Barupvej 9,Til anpartshaveren S. Hermann ApS.,Revisors erklÃ¦ring om opstilling af Ã¥rsrapport,Regnskabsklasse B,2016-03-11,2016-03-22,,Registreret revisor,"<p xmlns=""http://www.w3.org/1999/xhtml"">Selskabet har stillet bankgaranti for huslejedeposita kr. 173.812.</p>",,,33509383.0,1000249989.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Nils Knudsen,Susanne Hermann,Susanne Hermann,S. HERMANN ApS,nils knudsen,,,Herlev,2014-01-01,2014-12-31,96600.0,,,2015-12-31,2015-01-01,,2016-03-11,Herlev,,false,DirektÃ¸r,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:22140885,indberetninger-20180424,2.5949432999999997,33509383.0,,2018-03-29T06:54:20.562Z,2016-03-22T15:57:41.773Z,regnskab,0.0,,2015-12-31,2015-01-01,X16-AS-07-YV,2016-03-22T15:57:41.928Z,,,,,,,,,,,,,,,,,,,,,,,,,,
33509383,2014-01-01,2014-12-31,c7,http://regnskaber.virk.dk/38390533/ZG9rdW1lbnRsYWdlcjovLzAzLzg1LzU2LzAzLzMxLzU3NDAtNGRjZi04OGIzLTFlNzM1YzgxNzU4Yw.xhtml,http://regnskaber.virk.dk/38390533/ZG9rdW1lbnRsYWdlcjovLzAzLzBlLzA3LzM3LzFiLzMwMDEtNDkwOS05YjZjLTgyYWZjYzRkYzc1Mw.pdf,http://regnskaber.virk.dk/38390533/ZG9rdW1lbnRsYWdlcjovLzAzL2JmLzcxLzllL2ZmL2ViNTctNDFmYi1iZWEzLTQ5NmI1N2YxNmI4YQ.xml,Danmark,DK,Herlev,9.0,Barupvej,Herlev,2730.0,2.0,Herlev Torv,2730 Herlev,Barupvej 9,Til anpartshaveren S. Hermann ApS.,Revisors erklÃ¦ring om opstilling af Ã¥rsrapport,Regnskabsklasse B,2016-03-11,2016-03-22,,Registreret revisor,"<p xmlns=""http://www.w3.org/1999/xhtml"">Selskabet har stillet bankgaranti for huslejedeposita kr. 173.812.</p>",,,33509383.0,1000249989.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Nils Knudsen,Susanne Hermann,Susanne Hermann,S. HERMANN ApS,nils knudsen,,,Herlev,2014-01-01,2014-12-31,589390.0,,,2015-12-31,2015-01-01,,2016-03-11,Herlev,,false,DirektÃ¸r,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:22140885,indberetninger-20180424,2.5949432999999997,33509383.0,,2018-03-29T06:54:20.562Z,2016-03-22T15:57:41.773Z,regnskab,0.0,,2015-12-31,2015-01-01,X16-AS-07-YV,2016-03-22T15:57:41.928Z,,,,,,,,,,,,,,,,,,,,,,,,,,
33509383,2014-12-31,2014-12-31,c9,http://regnskaber.virk.dk/38390533/ZG9rdW1lbnRsYWdlcjovLzAzLzg1LzU2LzAzLzMxLzU3NDAtNGRjZi04OGIzLTFlNzM1YzgxNzU4Yw.xhtml,http://regnskaber.virk.dk/38390533/ZG9rdW1lbnRsYWdlcjovLzAzLzBlLzA3LzM3LzFiLzMwMDEtNDkwOS05YjZjLTgyYWZjYzRkYzc1Mw.pdf,http://regnskaber.virk.dk/38390533/ZG9rdW1lbnRsYWdlcjovLzAzL2JmLzcxLzllL2ZmL2ViNTctNDFmYi1iZWEzLTQ5NmI1N2YxNmI4YQ.xml,Danmark,DK,Herlev,9.0,Barupvej,Herlev,2730.0,2.0,Herlev Torv,2730 Herlev,Barupvej 9,Til anpartshaveren S. Hermann ApS.,Revisors erklÃ¦ring om opstilling af Ã¥rsrapport,Regnskabsklasse B,2016-03-11,2016-03-22,,Registreret revisor,"<p xmlns=""http://www.w3.org/1999/xhtml"">Selskabet har stillet bankgaranti for huslejedeposita kr. 173.812.</p>",,,33509383.0,1000249989.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Nils Knudsen,Susanne Hermann,Susanne Hermann,S. HERMANN ApS,nils knudsen,,,Herlev,2014-01-01,2014-12-31,,,,2015-12-31,2015-01-01,,2016-03-11,Herlev,,false,DirektÃ¸r,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:22140885,indberetninger-20180424,2.5949432999999997,33509383.0,,2018-03-29T06:54:20.562Z,2016-03-22T15:57:41.773Z,regnskab,0.0,,2015-12-31,2015-01-01,X16-AS-07-YV,2016-03-22T15:57:41.928Z,2944697.0,2458908.0,125000.0,2913427.0,2435419.0,4055.0,304119.0,27215.0,2944697.0,508386.0,31270.0,238529.0,150400.0,31270.0,96600.0,892.0,892.0,304119.0,2213819.0,48922.0,508386.0,150400.0,141663.0,79272.0,,
33509383,2015-01-01,2015-12-31,c0,http://regnskaber.virk.dk/38390533/ZG9rdW1lbnRsYWdlcjovLzAzLzg1LzU2LzAzLzMxLzU3NDAtNGRjZi04OGIzLTFlNzM1YzgxNzU4Yw.xhtml,http://regnskaber.virk.dk/38390533/ZG9rdW1lbnRsYWdlcjovLzAzLzBlLzA3LzM3LzFiLzMwMDEtNDkwOS05YjZjLTgyYWZjYzRkYzc1Mw.pdf,http://regnskaber.virk.dk/38390533/ZG9rdW1lbnRsYWdlcjovLzAzL2JmLzcxLzllL2ZmL2ViNTctNDFmYi1iZWEzLTQ5NmI1N2YxNmI4YQ.xml,Danmark,DK,Herlev,9.0,Barupvej,Herlev,2730.0,2.0,Herlev Torv,2730 Herlev,Barupvej 9,Til anpartshaveren S. Hermann ApS.,Revisors erklÃ¦ring om opstilling af Ã¥rsrapport,Regnskabsklasse B,2016-03-11,2016-03-22,31269.0,Registreret revisor,"<p xmlns=""http://www.w3.org/1999/xhtml"">Selskabet har stillet bankgaranti for huslejedeposita kr. 173.812.</p>",883419.0,1427009.0,33509383.0,1000249989.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Nils Knudsen,Susanne Hermann,Susanne Hermann,S. HERMANN ApS,nils knudsen,11315.0,11230.0,Herlev,2014-01-01,2014-12-31,383817.0,512236.0,512321.0,2015-12-31,2015-01-01,1427009.0,2016-03-11,Herlev,128419.0,false,DirektÃ¸r,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:22140885,indberetninger-20180424,2.5949432999999997,33509383.0,,2018-03-29T06:54:20.562Z,2016-03-22T15:57:41.773Z,regnskab,0.0,,2015-12-31,2015-01-01,X16-AS-07-YV,2016-03-22T15:57:41.928Z,,,,,,,,,,,,,,,,,,,,,,,,,,
33509383,2015-01-01,2015-12-31,c1,http://regnskaber.virk.dk/38390533/ZG9rdW1lbnRsYWdlcjovLzAzLzg1LzU2LzAzLzMxLzU3NDAtNGRjZi04OGIzLTFlNzM1YzgxNzU4Yw.xhtml,http://regnskaber.virk.dk/38390533/ZG9rdW1lbnRsYWdlcjovLzAzLzBlLzA3LzM3LzFiLzMwMDEtNDkwOS05YjZjLTgyYWZjYzRkYzc1Mw.pdf,http://regnskaber.virk.dk/38390533/ZG9rdW1lbnRsYWdlcjovLzAzL2JmLzcxLzllL2ZmL2ViNTctNDFmYi1iZWEzLTQ5NmI1N2YxNmI4YQ.xml,Danmark,DK,Herlev,9.0,Barupvej,Herlev,2730.0,2.0,Herlev Torv,2730 Herlev,Barupvej 9,Til anpartshaveren S. Hermann ApS.,Revisors erklÃ¦ring om opstilling af Ã¥rsrapport,Regnskabsklasse B,2016-03-11,2016-03-22,,Registreret revisor,"<p xmlns=""http://www.w3.org/1999/xhtml"">Selskabet har stillet bankgaranti for huslejedeposita kr. 173.812.</p>",,,33509383.0,1000249989.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Nils Knudsen,Susanne Hermann,Susanne Hermann,S. HERMANN ApS,nils knudsen,,,Herlev,2014-01-01,2014-12-31,,,,2015-12-31,2015-01-01,,2016-03-11,Herlev,,false,DirektÃ¸r,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:22140885,indberetninger-20180424,2.5949432999999997,33509383.0,,2018-03-29T06:54:20.562Z,2016-03-22T15:57:41.773Z,regnskab,0.0,,2015-12-31,2015-01-01,X16-AS-07-YV,2016-03-22T15:57:41.928Z,,,,,,,,,,,,,,,,,,,,,,,,,11524192.0,NILS KNUDSEN NK - REVI
33509383,2015-01-01,2015-12-31,c2,http://regnskaber.virk.dk/38390533/ZG9rdW1lbnRsYWdlcjovLzAzLzg1LzU2LzAzLzMxLzU3NDAtNGRjZi04OGIzLTFlNzM1YzgxNzU4Yw.xhtml,http://regnskaber.virk.dk/38390533/ZG9rdW1lbnRsYWdlcjovLzAzLzBlLzA3LzM3LzFiLzMwMDEtNDkwOS05YjZjLTgyYWZjYzRkYzc1Mw.pdf,http://regnskaber.virk.dk/38390533/ZG9rdW1lbnRsYWdlcjovLzAzL2JmLzcxLzllL2ZmL2ViNTctNDFmYi1iZWEzLTQ5NmI1N2YxNmI4YQ.xml,Danmark,DK,Herlev,9.0,Barupvej,Herlev,2730.0,2.0,Herlev Torv,2730 Herlev,Barupvej 9,Til anpartshaveren S. Hermann ApS.,Revisors erklÃ¦ring om opstilling af Ã¥rsrapport,Regnskabsklasse B,2016-03-11,2016-03-22,,Registreret revisor,"<p xmlns=""http://www.w3.org/1999/xhtml"">Selskabet har stillet bankgaranti for huslejedeposita kr. 173.812.</p>",,,33509383.0,1000249989.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Nils Knudsen,Susanne Hermann,Susanne Hermann,S. HERMANN ApS,nils knudsen,,,Herlev,2014-01-01,2014-12-31,,,,2015-12-31,2015-01-01,,2016-03-11,Herlev,,false,DirektÃ¸r,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:22140885,indberetninger-20180424,2.5949432999999997,33509383.0,,2018-03-29T06:54:20.562Z,2016-03-22T15:57:41.773Z,regnskab,0.0,,2015-12-31,2015-01-01,X16-AS-07-YV,2016-03-22T15:57:41.928Z,,,,,,,,,,,,,,,,,,,,,,,,,,
33509383,2015-01-01,2015-12-31,c4,http://regnskaber.virk.dk/38390533/ZG9rdW1lbnRsYWdlcjovLzAzLzg1LzU2LzAzLzMxLzU3NDAtNGRjZi04OGIzLTFlNzM1YzgxNzU4Yw.xhtml,http://regnskaber.virk.dk/38390533/ZG9rdW1lbnRsYWdlcjovLzAzLzBlLzA3LzM3LzFiLzMwMDEtNDkwOS05YjZjLTgyYWZjYzRkYzc1Mw.pdf,http://regnskaber.virk.dk/38390533/ZG9rdW1lbnRsYWdlcjovLzAzL2JmLzcxLzllL2ZmL2ViNTctNDFmYi1iZWEzLTQ5NmI1N2YxNmI4YQ.xml,Danmark,DK,Herlev,9.0,Barupvej,Herlev,2730.0,2.0,Herlev Torv,2730 Herlev,Barupvej 9,Til anpartshaveren S. Hermann ApS.,Revisors erklÃ¦ring om opstilling af Ã¥rsrapport,Regnskabsklasse B,2016-03-11,2016-03-22,,Registreret revisor,"<p xmlns=""http://www.w3.org/1999/xhtml"">Selskabet har stillet bankgaranti for huslejedeposita kr. 173.812.</p>",,,33509383.0,1000249989.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Nils Knudsen,Susanne Hermann,Susanne Hermann,S. HERMANN ApS,nils knudsen,,,Herlev,2014-01-01,2014-12-31,96600.0,,,2015-12-31,2015-01-01,,2016-03-11,Herlev,,false,DirektÃ¸r,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:22140885,indberetninger-20180424,2.5949432999999997,33509383.0,,2018-03-29T06:54:20.562Z,2016-03-22T15:57:41.773Z,regnskab,0.0,,2015-12-31,2015-01-01,X16-AS-07-YV,2016-03-22T15:57:41.928Z,,,,,,,,,,,,,,,,,,,,,,,,,,
33509383,2015-01-01,2015-12-31,c6,http://regnskaber.virk.dk/38390533/ZG9rdW1lbnRsYWdlcjovLzAzLzg1LzU2LzAzLzMxLzU3NDAtNGRjZi04OGIzLTFlNzM1YzgxNzU4Yw.xhtml,http://regnskaber.virk.dk/38390533/ZG9rdW1lbnRsYWdlcjovLzAzLzBlLzA3LzM3LzFiLzMwMDEtNDkwOS05YjZjLTgyYWZjYzRkYzc1Mw.pdf,http://regnskaber.virk.dk/38390533/ZG9rdW1lbnRsYWdlcjovLzAzL2JmLzcxLzllL2ZmL2ViNTctNDFmYi1iZWEzLTQ5NmI1N2YxNmI4YQ.xml,Danmark,DK,Herlev,9.0,Barupvej,Herlev,2730.0,2.0,Herlev Torv,2730 Herlev,Barupvej 9,Til anpartshaveren S. Hermann ApS.,Revisors erklÃ¦ring om opstilling af Ã¥rsrapport,Regnskabsklasse B,2016-03-11,2016-03-22,,Registreret revisor,"<p xmlns=""http://www.w3.org/1999/xhtml"">Selskabet har stillet bankgaranti for huslejedeposita kr. 173.812.</p>",,,33509383.0,1000249989.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Nils Knudsen,Susanne Hermann,Susanne Hermann,S. HERMANN ApS,nils knudsen,,,Herlev,2014-01-01,2014-12-31,287217.0,,,2015-12-31,2015-01-01,,2016-03-11,Herlev,,false,DirektÃ¸r,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:22140885,indberetninger-20180424,2.5949432999999997,33509383.0,,2018-03-29T06:54:20.562Z,2016-03-22T15:57:41.773Z,regnskab,0.0,,2015-12-31,2015-01-01,X16-AS-07-YV,2016-03-22T15:57:41.928Z,,,,,,,,,,,,,,,,,,,,,,,,,,
33509383,2015-12-31,2015-12-31,c8,http://regnskaber.virk.dk/38390533/ZG9rdW1lbnRsYWdlcjovLzAzLzg1LzU2LzAzLzMxLzU3NDAtNGRjZi04OGIzLTFlNzM1YzgxNzU4Yw.xhtml,http://regnskaber.virk.dk/38390533/ZG9rdW1lbnRsYWdlcjovLzAzLzBlLzA3LzM3LzFiLzMwMDEtNDkwOS05YjZjLTgyYWZjYzRkYzc1Mw.pdf,http://regnskaber.virk.dk/38390533/ZG9rdW1lbnRsYWdlcjovLzAzL2JmLzcxLzllL2ZmL2ViNTctNDFmYi1iZWEzLTQ5NmI1N2YxNmI4YQ.xml,Danmark,DK,Herlev,9.0,Barupvej,Herlev,2730.0,2.0,Herlev Torv,2730 Herlev,Barupvej 9,Til anpartshaveren S. Hermann ApS.,Revisors erklÃ¦ring om opstilling af Ã¥rsrapport,Regnskabsklasse B,2016-03-11,2016-03-22,,Registreret revisor,"<p xmlns=""http://www.w3.org/1999/xhtml"">Selskabet har stillet bankgaranti for huslejedeposita kr. 173.812.</p>",,,33509383.0,1000249989.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Nils Knudsen,Susanne Hermann,Susanne Hermann,S. HERMANN ApS,nils knudsen,,,Herlev,2014-01-01,2014-12-31,,,,2015-12-31,2015-01-01,,2016-03-11,Herlev,,false,DirektÃ¸r,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:22140885,indberetninger-20180424,2.5949432999999997,33509383.0,,2018-03-29T06:54:20.562Z,2016-03-22T15:57:41.773Z,regnskab,0.0,,2015-12-31,2015-01-01,X16-AS-07-YV,2016-03-22T15:57:41.928Z,3144532.0,2646749.0,125000.0,3144532.0,2722627.0,0.0,353950.0,0.0,3144532.0,421905.0,0.0,230627.0,143833.0,0.0,96600.0,0.0,0.0,353950.0,2501027.0,53523.0,421905.0,143833.0,27311.0,110444.0,,
