entity,start_date,end_date,context,AARSRAPPORT_html,AARSRAPPORT_pdf,AARSRAPPORT_xml,AddressOfAuditorCountry,AddressOfAuditorDistrictName,AddressOfAuditorPostCodeIdentifier,AddressOfAuditorStreetBuildingIdentifier,AddressOfAuditorStreetName,AddressOfReportingEntityDistrictName,AddressOfReportingEntityPostCodeIdentifier,AddressOfReportingEntityStreetBuildingIdentifier,AddressOfReportingEntityStreetName,AddressOfSubmittingEnterprisePostcodeAndTown,AddressOfSubmittingEnterpriseStreetAndNumber,AddresseeOfAuditorsReportOnAuditedFinancialStatements,ClassOfReportingEntity,DateOfApprovalOfAnnualReport,DateOfApprovalOfReport,DateOfFoundationOfReportingEntity,DateOfGeneralMeeting,DescriptionOfAuditor,Equity,IdentificationNumberCvrOfAuditFirm,IdentificationNumberCvrOfReportingEntity,IdentificationNumberCvrOfSubmittingEnterprise,IdentificationNumberOfAuditor,InformationOnTypeOfSubmittedReport,NameAndSurnameOfAuditor,NameAndSurnameOfChairmanOfGeneralMeeting,NameAndSurnameOfMemberOfExecutiveBoard,NameOfAuditFirm,NameOfReportingEntity,NameOfSubmittingEnterprise,PlaceOfSignatureOfStatement,PrecedingReportingPeriodStartDate,PredingReportingPeriodEndDate,RegisteredOfficeOfReportingEntity,ReportingPeriodEndDate,ReportingPeriodStartDate,SignatureOfAuditorsDate,SignatureOfAuditorsPlace,TelephoneNumberOfAuditor,TypeOfAuditorAssistance,_id,_index,_score,cvrNummer,indlaesningsId,indlaesningsTidspunkt,offentliggoerelsesTidspunkt,offentliggoerelsestype,omgoerelse,regNummer,regnskabsperiode_slutDato,regnskabsperiode_startDato,sagsNummer,sidstOpdateret,ProfitLoss,GrossResult,OtherExternalExpenses,ProfitLossFromOrdinaryActivitiesBeforeTax,ProfitLossFromOrdinaryOperatingActivities,Assets,CashAndCashEquivalents,ContributedCapital,CurrentAssets,LandAndBuildings,LiabilitiesAndEquity,LiabilitiesOtherThanProvisions,LongtermLiabilitiesOtherThanProvisions,LongtermPayablesToGroupEnterprises,NoncurrentAssets,OtherShorttermPayables,PropertyPlantAndEquipment,RetainedEarnings,ShorttermLiabilitiesOtherThanProvisions,ConfirmationThatAnnualReportIsPresentedInAccordanceWithRequirementsProvidedForByLegislationAnyStandardsAndRequirementsProvidedByArticlesOfAssociationOrByAgreement,ConfirmationThatFinancialStatementGivesTrueAndFairViewOfAssetsLiabilitiesEquityFinancialPositionAndResults,IdentificationOfApprovedAnnualReport,IdentificationOfAuditedFinancialStatements,ManagementsStatementAboutManagementsReview,OpinionOnAuditedFinancialStatements,RecommendationForApprovalOfAnnualReportByGeneralMeeting
31364078,2016-01-01,2016-01-01,c704,,http://regnskaber.virk.dk/87046313/ZG9rdW1lbnRsYWdlcjovLzAzLzc3LzdhLzE2LzNmLzcyNTMtNDY1ZC1hMjNkLTYxMzZkZGZhM2Q4Nw.pdf,http://regnskaber.virk.dk/87046313/ZG9rdW1lbnRsYWdlcjovLzAzL2JlLzI2LzY1LzczL2M0MWQtNDU4ZS1iYjVkLTk0YTIwYTFlOWE1Ng.xml,Danmark,Brande,7330.0,22.0,Torvegade,Give,7323.0,Advodan,Jernbanegade,"7330, Brande","Torvegade, 22",anpartshaveren,Regnskabsklasse B,2018-04-03,2018-04-03,2008-03-13,2018-04-26,statsautoriseret revisor,125000.0,15807776.0,31364078.0,15807776.0,mne18484,Ãrsrapport,Bjarne Ulrik Pedersen,Maurice Lucien van Leeuwen,Maurice Lucien van Leeuwen,"Partner Revision, statsautoriseret revisionsaktieselskab",ICMA Feriepark ApS,"Partner Revision, statsautoriseret revisionsaktieselskab",Give,2016-01-01,2016-12-31,Ikast-Brande,2017-12-31,2017-01-01,2018-04-03,Brande,97 18 03 66,RevisionspÃ¥tegning,urn:ofk:oid:25393909,indberetninger-20180424,2.5097342,31364078.0,AWMgH0ucx8uVRSOdgLMg,2018-05-02T09:11:58.620Z,2018-05-02T09:11:51.109Z,regnskab,0.0,,2017-12-31,2017-01-01,X18-AK-34-LB,2018-05-02T09:11:51.370Z,,,,,,,,,,,,,,,,,,,,,,,,,,
31364078,2016-01-01,2016-01-01,c725,,http://regnskaber.virk.dk/87046313/ZG9rdW1lbnRsYWdlcjovLzAzLzc3LzdhLzE2LzNmLzcyNTMtNDY1ZC1hMjNkLTYxMzZkZGZhM2Q4Nw.pdf,http://regnskaber.virk.dk/87046313/ZG9rdW1lbnRsYWdlcjovLzAzL2JlLzI2LzY1LzczL2M0MWQtNDU4ZS1iYjVkLTk0YTIwYTFlOWE1Ng.xml,Danmark,Brande,7330.0,22.0,Torvegade,Give,7323.0,Advodan,Jernbanegade,"7330, Brande","Torvegade, 22",anpartshaveren,Regnskabsklasse B,2018-04-03,2018-04-03,2008-03-13,2018-04-26,statsautoriseret revisor,-187181.0,15807776.0,31364078.0,15807776.0,mne18484,Ãrsrapport,Bjarne Ulrik Pedersen,Maurice Lucien van Leeuwen,Maurice Lucien van Leeuwen,"Partner Revision, statsautoriseret revisionsaktieselskab",ICMA Feriepark ApS,"Partner Revision, statsautoriseret revisionsaktieselskab",Give,2016-01-01,2016-12-31,Ikast-Brande,2017-12-31,2017-01-01,2018-04-03,Brande,97 18 03 66,RevisionspÃ¥tegning,urn:ofk:oid:25393909,indberetninger-20180424,2.5097342,31364078.0,AWMgH0ucx8uVRSOdgLMg,2018-05-02T09:11:58.620Z,2018-05-02T09:11:51.109Z,regnskab,0.0,,2017-12-31,2017-01-01,X18-AK-34-LB,2018-05-02T09:11:51.370Z,,,,,,,,,,,,,,,,,,,,,,,,,,
31364078,2016-01-01,2016-12-31,c120,,http://regnskaber.virk.dk/87046313/ZG9rdW1lbnRsYWdlcjovLzAzLzc3LzdhLzE2LzNmLzcyNTMtNDY1ZC1hMjNkLTYxMzZkZGZhM2Q4Nw.pdf,http://regnskaber.virk.dk/87046313/ZG9rdW1lbnRsYWdlcjovLzAzL2JlLzI2LzY1LzczL2M0MWQtNDU4ZS1iYjVkLTk0YTIwYTFlOWE1Ng.xml,Danmark,Brande,7330.0,22.0,Torvegade,Give,7323.0,Advodan,Jernbanegade,"7330, Brande","Torvegade, 22",anpartshaveren,Regnskabsklasse B,2018-04-03,2018-04-03,2008-03-13,2018-04-26,statsautoriseret revisor,,15807776.0,31364078.0,15807776.0,mne18484,Ãrsrapport,Bjarne Ulrik Pedersen,Maurice Lucien van Leeuwen,Maurice Lucien van Leeuwen,"Partner Revision, statsautoriseret revisionsaktieselskab",ICMA Feriepark ApS,"Partner Revision, statsautoriseret revisionsaktieselskab",Give,2016-01-01,2016-12-31,Ikast-Brande,2017-12-31,2017-01-01,2018-04-03,Brande,97 18 03 66,RevisionspÃ¥tegning,urn:ofk:oid:25393909,indberetninger-20180424,2.5097342,31364078.0,AWMgH0ucx8uVRSOdgLMg,2018-05-02T09:11:58.620Z,2018-05-02T09:11:51.109Z,regnskab,0.0,,2017-12-31,2017-01-01,X18-AK-34-LB,2018-05-02T09:11:51.370Z,-14395.0,,,,,,,,,,,,,,,,,,,,,,,,,
31364078,2016-01-01,2016-12-31,c3,,http://regnskaber.virk.dk/87046313/ZG9rdW1lbnRsYWdlcjovLzAzLzc3LzdhLzE2LzNmLzcyNTMtNDY1ZC1hMjNkLTYxMzZkZGZhM2Q4Nw.pdf,http://regnskaber.virk.dk/87046313/ZG9rdW1lbnRsYWdlcjovLzAzL2JlLzI2LzY1LzczL2M0MWQtNDU4ZS1iYjVkLTk0YTIwYTFlOWE1Ng.xml,Danmark,Brande,7330.0,22.0,Torvegade,Give,7323.0,Advodan,Jernbanegade,"7330, Brande","Torvegade, 22",anpartshaveren,Regnskabsklasse B,2018-04-03,2018-04-03,2008-03-13,2018-04-26,statsautoriseret revisor,,15807776.0,31364078.0,15807776.0,mne18484,Ãrsrapport,Bjarne Ulrik Pedersen,Maurice Lucien van Leeuwen,Maurice Lucien van Leeuwen,"Partner Revision, statsautoriseret revisionsaktieselskab",ICMA Feriepark ApS,"Partner Revision, statsautoriseret revisionsaktieselskab",Give,2016-01-01,2016-12-31,Ikast-Brande,2017-12-31,2017-01-01,2018-04-03,Brande,97 18 03 66,RevisionspÃ¥tegning,urn:ofk:oid:25393909,indberetninger-20180424,2.5097342,31364078.0,AWMgH0ucx8uVRSOdgLMg,2018-05-02T09:11:58.620Z,2018-05-02T09:11:51.109Z,regnskab,0.0,,2017-12-31,2017-01-01,X18-AK-34-LB,2018-05-02T09:11:51.370Z,-14395.0,-14395.0,14395.0,-14395.0,-14395.0,,,,,,,,,,,,,,,,,,,,,
31364078,2016-01-01,2016-12-31,c726,,http://regnskaber.virk.dk/87046313/ZG9rdW1lbnRsYWdlcjovLzAzLzc3LzdhLzE2LzNmLzcyNTMtNDY1ZC1hMjNkLTYxMzZkZGZhM2Q4Nw.pdf,http://regnskaber.virk.dk/87046313/ZG9rdW1lbnRsYWdlcjovLzAzL2JlLzI2LzY1LzczL2M0MWQtNDU4ZS1iYjVkLTk0YTIwYTFlOWE1Ng.xml,Danmark,Brande,7330.0,22.0,Torvegade,Give,7323.0,Advodan,Jernbanegade,"7330, Brande","Torvegade, 22",anpartshaveren,Regnskabsklasse B,2018-04-03,2018-04-03,2008-03-13,2018-04-26,statsautoriseret revisor,,15807776.0,31364078.0,15807776.0,mne18484,Ãrsrapport,Bjarne Ulrik Pedersen,Maurice Lucien van Leeuwen,Maurice Lucien van Leeuwen,"Partner Revision, statsautoriseret revisionsaktieselskab",ICMA Feriepark ApS,"Partner Revision, statsautoriseret revisionsaktieselskab",Give,2016-01-01,2016-12-31,Ikast-Brande,2017-12-31,2017-01-01,2018-04-03,Brande,97 18 03 66,RevisionspÃ¥tegning,urn:ofk:oid:25393909,indberetninger-20180424,2.5097342,31364078.0,AWMgH0ucx8uVRSOdgLMg,2018-05-02T09:11:58.620Z,2018-05-02T09:11:51.109Z,regnskab,0.0,,2017-12-31,2017-01-01,X18-AK-34-LB,2018-05-02T09:11:51.370Z,-14395.0,,,,,,,,,,,,,,,,,,,,,,,,,
31364078,2016-12-31,2016-12-31,c4,,http://regnskaber.virk.dk/87046313/ZG9rdW1lbnRsYWdlcjovLzAzLzc3LzdhLzE2LzNmLzcyNTMtNDY1ZC1hMjNkLTYxMzZkZGZhM2Q4Nw.pdf,http://regnskaber.virk.dk/87046313/ZG9rdW1lbnRsYWdlcjovLzAzL2JlLzI2LzY1LzczL2M0MWQtNDU4ZS1iYjVkLTk0YTIwYTFlOWE1Ng.xml,Danmark,Brande,7330.0,22.0,Torvegade,Give,7323.0,Advodan,Jernbanegade,"7330, Brande","Torvegade, 22",anpartshaveren,Regnskabsklasse B,2018-04-03,2018-04-03,2008-03-13,2018-04-26,statsautoriseret revisor,-76576.0,15807776.0,31364078.0,15807776.0,mne18484,Ãrsrapport,Bjarne Ulrik Pedersen,Maurice Lucien van Leeuwen,Maurice Lucien van Leeuwen,"Partner Revision, statsautoriseret revisionsaktieselskab",ICMA Feriepark ApS,"Partner Revision, statsautoriseret revisionsaktieselskab",Give,2016-01-01,2016-12-31,Ikast-Brande,2017-12-31,2017-01-01,2018-04-03,Brande,97 18 03 66,RevisionspÃ¥tegning,urn:ofk:oid:25393909,indberetninger-20180424,2.5097342,31364078.0,AWMgH0ucx8uVRSOdgLMg,2018-05-02T09:11:58.620Z,2018-05-02T09:11:51.109Z,regnskab,0.0,,2017-12-31,2017-01-01,X18-AK-34-LB,2018-05-02T09:11:51.370Z,,,,,,407465.0,2465.0,125000.0,2465.0,405000.0,407465.0,484041.0,472596.0,472596.0,405000.0,11445.0,405000.0,-201576.0,11445.0,,,,,,,
31364078,2016-12-31,2016-12-31,c706,,http://regnskaber.virk.dk/87046313/ZG9rdW1lbnRsYWdlcjovLzAzLzc3LzdhLzE2LzNmLzcyNTMtNDY1ZC1hMjNkLTYxMzZkZGZhM2Q4Nw.pdf,http://regnskaber.virk.dk/87046313/ZG9rdW1lbnRsYWdlcjovLzAzL2JlLzI2LzY1LzczL2M0MWQtNDU4ZS1iYjVkLTk0YTIwYTFlOWE1Ng.xml,Danmark,Brande,7330.0,22.0,Torvegade,Give,7323.0,Advodan,Jernbanegade,"7330, Brande","Torvegade, 22",anpartshaveren,Regnskabsklasse B,2018-04-03,2018-04-03,2008-03-13,2018-04-26,statsautoriseret revisor,125000.0,15807776.0,31364078.0,15807776.0,mne18484,Ãrsrapport,Bjarne Ulrik Pedersen,Maurice Lucien van Leeuwen,Maurice Lucien van Leeuwen,"Partner Revision, statsautoriseret revisionsaktieselskab",ICMA Feriepark ApS,"Partner Revision, statsautoriseret revisionsaktieselskab",Give,2016-01-01,2016-12-31,Ikast-Brande,2017-12-31,2017-01-01,2018-04-03,Brande,97 18 03 66,RevisionspÃ¥tegning,urn:ofk:oid:25393909,indberetninger-20180424,2.5097342,31364078.0,AWMgH0ucx8uVRSOdgLMg,2018-05-02T09:11:58.620Z,2018-05-02T09:11:51.109Z,regnskab,0.0,,2017-12-31,2017-01-01,X18-AK-34-LB,2018-05-02T09:11:51.370Z,,,,,,,,,,,,,,,,,,,,,,,,,,
31364078,2016-12-31,2016-12-31,c727,,http://regnskaber.virk.dk/87046313/ZG9rdW1lbnRsYWdlcjovLzAzLzc3LzdhLzE2LzNmLzcyNTMtNDY1ZC1hMjNkLTYxMzZkZGZhM2Q4Nw.pdf,http://regnskaber.virk.dk/87046313/ZG9rdW1lbnRsYWdlcjovLzAzL2JlLzI2LzY1LzczL2M0MWQtNDU4ZS1iYjVkLTk0YTIwYTFlOWE1Ng.xml,Danmark,Brande,7330.0,22.0,Torvegade,Give,7323.0,Advodan,Jernbanegade,"7330, Brande","Torvegade, 22",anpartshaveren,Regnskabsklasse B,2018-04-03,2018-04-03,2008-03-13,2018-04-26,statsautoriseret revisor,-201576.0,15807776.0,31364078.0,15807776.0,mne18484,Ãrsrapport,Bjarne Ulrik Pedersen,Maurice Lucien van Leeuwen,Maurice Lucien van Leeuwen,"Partner Revision, statsautoriseret revisionsaktieselskab",ICMA Feriepark ApS,"Partner Revision, statsautoriseret revisionsaktieselskab",Give,2016-01-01,2016-12-31,Ikast-Brande,2017-12-31,2017-01-01,2018-04-03,Brande,97 18 03 66,RevisionspÃ¥tegning,urn:ofk:oid:25393909,indberetninger-20180424,2.5097342,31364078.0,AWMgH0ucx8uVRSOdgLMg,2018-05-02T09:11:58.620Z,2018-05-02T09:11:51.109Z,regnskab,0.0,,2017-12-31,2017-01-01,X18-AK-34-LB,2018-05-02T09:11:51.370Z,,,,,,,,,,,,,,,,,,,,,,,,,,
31364078,2017-01-01,2017-01-01,c177,,http://regnskaber.virk.dk/87046313/ZG9rdW1lbnRsYWdlcjovLzAzLzc3LzdhLzE2LzNmLzcyNTMtNDY1ZC1hMjNkLTYxMzZkZGZhM2Q4Nw.pdf,http://regnskaber.virk.dk/87046313/ZG9rdW1lbnRsYWdlcjovLzAzL2JlLzI2LzY1LzczL2M0MWQtNDU4ZS1iYjVkLTk0YTIwYTFlOWE1Ng.xml,Danmark,Brande,7330.0,22.0,Torvegade,Give,7323.0,Advodan,Jernbanegade,"7330, Brande","Torvegade, 22",anpartshaveren,Regnskabsklasse B,2018-04-03,2018-04-03,2008-03-13,2018-04-26,statsautoriseret revisor,125000.0,15807776.0,31364078.0,15807776.0,mne18484,Ãrsrapport,Bjarne Ulrik Pedersen,Maurice Lucien van Leeuwen,Maurice Lucien van Leeuwen,"Partner Revision, statsautoriseret revisionsaktieselskab",ICMA Feriepark ApS,"Partner Revision, statsautoriseret revisionsaktieselskab",Give,2016-01-01,2016-12-31,Ikast-Brande,2017-12-31,2017-01-01,2018-04-03,Brande,97 18 03 66,RevisionspÃ¥tegning,urn:ofk:oid:25393909,indberetninger-20180424,2.5097342,31364078.0,AWMgH0ucx8uVRSOdgLMg,2018-05-02T09:11:58.620Z,2018-05-02T09:11:51.109Z,regnskab,0.0,,2017-12-31,2017-01-01,X18-AK-34-LB,2018-05-02T09:11:51.370Z,,,,,,,,,,,,,,,,,,,,,,,,,,
31364078,2017-01-01,2017-01-01,c195,,http://regnskaber.virk.dk/87046313/ZG9rdW1lbnRsYWdlcjovLzAzLzc3LzdhLzE2LzNmLzcyNTMtNDY1ZC1hMjNkLTYxMzZkZGZhM2Q4Nw.pdf,http://regnskaber.virk.dk/87046313/ZG9rdW1lbnRsYWdlcjovLzAzL2JlLzI2LzY1LzczL2M0MWQtNDU4ZS1iYjVkLTk0YTIwYTFlOWE1Ng.xml,Danmark,Brande,7330.0,22.0,Torvegade,Give,7323.0,Advodan,Jernbanegade,"7330, Brande","Torvegade, 22",anpartshaveren,Regnskabsklasse B,2018-04-03,2018-04-03,2008-03-13,2018-04-26,statsautoriseret revisor,-201576.0,15807776.0,31364078.0,15807776.0,mne18484,Ãrsrapport,Bjarne Ulrik Pedersen,Maurice Lucien van Leeuwen,Maurice Lucien van Leeuwen,"Partner Revision, statsautoriseret revisionsaktieselskab",ICMA Feriepark ApS,"Partner Revision, statsautoriseret revisionsaktieselskab",Give,2016-01-01,2016-12-31,Ikast-Brande,2017-12-31,2017-01-01,2018-04-03,Brande,97 18 03 66,RevisionspÃ¥tegning,urn:ofk:oid:25393909,indberetninger-20180424,2.5097342,31364078.0,AWMgH0ucx8uVRSOdgLMg,2018-05-02T09:11:58.620Z,2018-05-02T09:11:51.109Z,regnskab,0.0,,2017-12-31,2017-01-01,X18-AK-34-LB,2018-05-02T09:11:51.370Z,,,,,,,,,,,,,,,,,,,,,,,,,,
