entity,start_date,end_date,context,AARSRAPPORT_pdf,AARSRAPPORT_xml,AddressOfReportingEntityDistrictName,AddressOfReportingEntityPostCodeIdentifier,AddressOfReportingEntityStreetBuildingIdentifier,AddressOfReportingEntityStreetName,AddressOfSubmittingEnterprisePostcodeAndTown,AddressOfSubmittingEnterpriseStreetAndNumber,ClassOfReportingEntity,DateOfApprovalOfAnnualReport,DateOfGeneralMeeting,DepreciationAmortisationExpenseAndImpairmentLossesOfPropertyPlantAndEquipmentAndIntangibleAssetsRecognisedInProfitOrLoss,EmailOfReportingEntity,EmployeeBenefitsExpense,ExtraordinaryIncome,ExtraordinaryProfitLossBeforeTax,FaxNumberOfReportingEntity,GrossResult,IdentificationNumberCvrOfReportingEntity,InformationOnReportingClassOfEntity,InformationOnTypeOfSubmittedReport,NameAndSurnameOfChairmanOfGeneralMeeting,NameAndSurnameOfMemberOfExecutiveBoard,NameOfReportingEntity,NameOfSubmittingEnterprise,OtherExternalExpenses,OtherFinanceExpenses,OtherFinanceIncome,PlaceOfSignatureOfStatement,PrecedingReportingPeriodStartDate,PredingReportingPeriodEndDate,ProfitLoss,ProfitLossFromOrdinaryActivitiesBeforeTax,ProfitLossFromOrdinaryOperatingActivities,ReportingPeriodEndDate,ReportingPeriodStartDate,Revenue,ShorttermTaxPayables,StatementOnOptingOutOfAuditingFinancialStatementsInNextReportingPeriodDueToExemption,TaxExpense,TelephoneNumberOfReportingEntity,TitleOfMemberOfExecutiveBoard,TypeOfAuditorAssistance,WagesAndSalaries,_id,_index,_score,cvrNummer,indlaesningsId,indlaesningsTidspunkt,offentliggoerelsesTidspunkt,offentliggoerelsestype,omgoerelse,regNummer,regnskabsperiode_slutDato,regnskabsperiode_startDato,sagsNummer,sidstOpdateret,Assets,CashAndCashEquivalents,ContributedCapital,CurrentAssets,Equity,FixturesFittingsToolsAndEquipment,LiabilitiesAndEquity,LiabilitiesOtherThanProvisions,LongtermInvestmentsAndReceivables,NoncurrentAssets,OtherLongtermInvestments,OtherShorttermPayables,OtherShorttermReceivables,PropertyPlantAndEquipment,ProposedDividend,RetainedEarnings,ShorttermLiabilitiesOtherThanProvisions,ShorttermPayablesToShareholdersAndManagement,ShorttermPrepaymentsReceivedFromCustomers,ShorttermReceivables,NameAndSurnameOfMemberOfSupervisoryBoard,TitleOfMemberOfSupervisoryBoard
15149930,2013-01-01,2013-12-31,c5,http://regnskaber.virk.dk/03994151/Y3ZyLmRrOi8vcGRmcy8xNTE0OTkzMDtBcFMxOTkwMzg7MjAxNDAxMDE7MjAxNDEyMzE7UjtS.pdf,http://regnskaber.virk.dk/03994151/Y3ZyLmRrOi8veGJybHMvWC05QzQ0NkEzMi0yMDE1MDMyMV8xMzA0NTZfMjE0.xml,KÃ¸benhavn K,1150.0,67.0,KÃ¸bmagergade,1103 KÃ¸benhavn K,Hovedvagtsgade 6,Regnskabsklasse B,2015-02-04,2015-02-04,17146.0,intellex@comlaw.dk,755736.0,7125.0,103153.0,39691800.0,953917.0,15149930.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,advokat Christian G. Carlsen,Jens Michael RÃ¸nn,COMLAWADVOKATERNE ApS,Michael RÃ¸nn,389096.0,245602.0,130505.0,KÃ¸benhavn,2013-01-01,2013-12-31,16035.0,65938.0,181035.0,2014-12-31,2014-01-01,1343013.0,19903.0,Revision fravalgt for 2015,49903.0,39291800.0,DirektÃ¸r,Ingen bistand,755736.0,urn:ofk:oid:11143210,indberetninger-20180424,2.5116906,15149930.0,,2018-03-30T18:51:28.532Z,2015-03-21T23:00:00.000Z,regnskab,0.0,,2014-12-31,2014-01-01,15-15.152,2015-03-21T23:00:00.000Z,,,,,,,,,,,,,,,,,,,,,,
15149930,2013-01-01,2013-12-31,c7,http://regnskaber.virk.dk/03994151/Y3ZyLmRrOi8vcGRmcy8xNTE0OTkzMDtBcFMxOTkwMzg7MjAxNDAxMDE7MjAxNDEyMzE7UjtS.pdf,http://regnskaber.virk.dk/03994151/Y3ZyLmRrOi8veGJybHMvWC05QzQ0NkEzMi0yMDE1MDMyMV8xMzA0NTZfMjE0.xml,KÃ¸benhavn K,1150.0,67.0,KÃ¸bmagergade,1103 KÃ¸benhavn K,Hovedvagtsgade 6,Regnskabsklasse B,2015-02-04,2015-02-04,,intellex@comlaw.dk,755736.0,7125.0,103153.0,39691800.0,,15149930.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,advokat Christian G. Carlsen,Jens Michael RÃ¸nn,COMLAWADVOKATERNE ApS,Michael RÃ¸nn,,245602.0,,KÃ¸benhavn,2013-01-01,2013-12-31,48300.0,,,2014-12-31,2014-01-01,,19903.0,Revision fravalgt for 2015,,39291800.0,DirektÃ¸r,Ingen bistand,,urn:ofk:oid:11143210,indberetninger-20180424,2.5116906,15149930.0,,2018-03-30T18:51:28.532Z,2015-03-21T23:00:00.000Z,regnskab,0.0,,2014-12-31,2014-01-01,15-15.152,2015-03-21T23:00:00.000Z,,,,,,,,,,,,,,,,,,,,,,
15149930,2013-01-01,2013-12-31,c9,http://regnskaber.virk.dk/03994151/Y3ZyLmRrOi8vcGRmcy8xNTE0OTkzMDtBcFMxOTkwMzg7MjAxNDAxMDE7MjAxNDEyMzE7UjtS.pdf,http://regnskaber.virk.dk/03994151/Y3ZyLmRrOi8veGJybHMvWC05QzQ0NkEzMi0yMDE1MDMyMV8xMzA0NTZfMjE0.xml,KÃ¸benhavn K,1150.0,67.0,KÃ¸bmagergade,1103 KÃ¸benhavn K,Hovedvagtsgade 6,Regnskabsklasse B,2015-02-04,2015-02-04,,intellex@comlaw.dk,755736.0,7125.0,103153.0,39691800.0,,15149930.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,advokat Christian G. Carlsen,Jens Michael RÃ¸nn,COMLAWADVOKATERNE ApS,Michael RÃ¸nn,,245602.0,,KÃ¸benhavn,2013-01-01,2013-12-31,-32265.0,,,2014-12-31,2014-01-01,,19903.0,Revision fravalgt for 2015,,39291800.0,DirektÃ¸r,Ingen bistand,,urn:ofk:oid:11143210,indberetninger-20180424,2.5116906,15149930.0,,2018-03-30T18:51:28.532Z,2015-03-21T23:00:00.000Z,regnskab,0.0,,2014-12-31,2014-01-01,15-15.152,2015-03-21T23:00:00.000Z,,,,,,,,,,,,,,,,,,,,,,
15149930,2013-12-31,2013-12-31,c11,http://regnskaber.virk.dk/03994151/Y3ZyLmRrOi8vcGRmcy8xNTE0OTkzMDtBcFMxOTkwMzg7MjAxNDAxMDE7MjAxNDEyMzE7UjtS.pdf,http://regnskaber.virk.dk/03994151/Y3ZyLmRrOi8veGJybHMvWC05QzQ0NkEzMi0yMDE1MDMyMV8xMzA0NTZfMjE0.xml,KÃ¸benhavn K,1150.0,67.0,KÃ¸bmagergade,1103 KÃ¸benhavn K,Hovedvagtsgade 6,Regnskabsklasse B,2015-02-04,2015-02-04,,intellex@comlaw.dk,755736.0,7125.0,103153.0,39691800.0,,15149930.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,advokat Christian G. Carlsen,Jens Michael RÃ¸nn,COMLAWADVOKATERNE ApS,Michael RÃ¸nn,,245602.0,,KÃ¸benhavn,2013-01-01,2013-12-31,,,,2014-12-31,2014-01-01,,19903.0,Revision fravalgt for 2015,,39291800.0,DirektÃ¸r,Ingen bistand,,urn:ofk:oid:11143210,indberetninger-20180424,2.5116906,15149930.0,,2018-03-30T18:51:28.532Z,2015-03-21T23:00:00.000Z,regnskab,0.0,,2014-12-31,2014-01-01,15-15.152,2015-03-21T23:00:00.000Z,13223427.0,12512003.0,500000.0,12610854.0,1065259.0,51437.0,13223427.0,12158168.0,561136.0,612573.0,561136.0,273876.0,98851.0,51437.0,48300.0,565259.0,12158168.0,64630.0,11751459.0,98851.0,,
15149930,2014-01-01,2014-12-31,c0,http://regnskaber.virk.dk/03994151/Y3ZyLmRrOi8vcGRmcy8xNTE0OTkzMDtBcFMxOTkwMzg7MjAxNDAxMDE7MjAxNDEyMzE7UjtS.pdf,http://regnskaber.virk.dk/03994151/Y3ZyLmRrOi8veGJybHMvWC05QzQ0NkEzMi0yMDE1MDMyMV8xMzA0NTZfMjE0.xml,KÃ¸benhavn K,1150.0,67.0,KÃ¸bmagergade,1103 KÃ¸benhavn K,Hovedvagtsgade 6,Regnskabsklasse B,2015-02-04,2015-02-04,12860.0,intellex@comlaw.dk,755736.0,7125.0,103153.0,39691800.0,967781.0,15149930.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,advokat Christian G. Carlsen,Jens Michael RÃ¸nn,COMLAWADVOKATERNE ApS,Michael RÃ¸nn,456795.0,245602.0,75212.0,KÃ¸benhavn,2013-01-01,2013-12-31,81159.0,96028.0,20816.0,2014-12-31,2014-01-01,1424576.0,19903.0,Revision fravalgt for 2015,21994.0,39291800.0,DirektÃ¸r,Ingen bistand,934105.0,urn:ofk:oid:11143210,indberetninger-20180424,2.5116906,15149930.0,,2018-03-30T18:51:28.532Z,2015-03-21T23:00:00.000Z,regnskab,0.0,,2014-12-31,2014-01-01,15-15.152,2015-03-21T23:00:00.000Z,,,,,,,,,,,,,,,,,,,,,,
15149930,2014-01-01,2014-12-31,c1,http://regnskaber.virk.dk/03994151/Y3ZyLmRrOi8vcGRmcy8xNTE0OTkzMDtBcFMxOTkwMzg7MjAxNDAxMDE7MjAxNDEyMzE7UjtS.pdf,http://regnskaber.virk.dk/03994151/Y3ZyLmRrOi8veGJybHMvWC05QzQ0NkEzMi0yMDE1MDMyMV8xMzA0NTZfMjE0.xml,KÃ¸benhavn K,1150.0,67.0,KÃ¸bmagergade,1103 KÃ¸benhavn K,Hovedvagtsgade 6,Regnskabsklasse B,2015-02-04,2015-02-04,,intellex@comlaw.dk,755736.0,7125.0,103153.0,39691800.0,,15149930.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,advokat Christian G. Carlsen,Jens Michael RÃ¸nn,COMLAWADVOKATERNE ApS,Michael RÃ¸nn,,245602.0,,KÃ¸benhavn,2013-01-01,2013-12-31,,,,2014-12-31,2014-01-01,,19903.0,Revision fravalgt for 2015,,39291800.0,DirektÃ¸r,Ingen bistand,,urn:ofk:oid:11143210,indberetninger-20180424,2.5116906,15149930.0,,2018-03-30T18:51:28.532Z,2015-03-21T23:00:00.000Z,regnskab,0.0,,2014-12-31,2014-01-01,15-15.152,2015-03-21T23:00:00.000Z,,,,,,,,,,,,,,,,,,,,,,
15149930,2014-01-01,2014-12-31,c2,http://regnskaber.virk.dk/03994151/Y3ZyLmRrOi8vcGRmcy8xNTE0OTkzMDtBcFMxOTkwMzg7MjAxNDAxMDE7MjAxNDEyMzE7UjtS.pdf,http://regnskaber.virk.dk/03994151/Y3ZyLmRrOi8veGJybHMvWC05QzQ0NkEzMi0yMDE1MDMyMV8xMzA0NTZfMjE0.xml,KÃ¸benhavn K,1150.0,67.0,KÃ¸bmagergade,1103 KÃ¸benhavn K,Hovedvagtsgade 6,Regnskabsklasse B,2015-02-04,2015-02-04,,intellex@comlaw.dk,755736.0,7125.0,103153.0,39691800.0,,15149930.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,advokat Christian G. Carlsen,Jens Michael RÃ¸nn,COMLAWADVOKATERNE ApS,Michael RÃ¸nn,,245602.0,,KÃ¸benhavn,2013-01-01,2013-12-31,,,,2014-12-31,2014-01-01,,19903.0,Revision fravalgt for 2015,,39291800.0,DirektÃ¸r,Ingen bistand,,urn:ofk:oid:11143210,indberetninger-20180424,2.5116906,15149930.0,,2018-03-30T18:51:28.532Z,2015-03-21T23:00:00.000Z,regnskab,0.0,,2014-12-31,2014-01-01,15-15.152,2015-03-21T23:00:00.000Z,,,,,,,,,,,,,,,,,,,,,Christian G. Carlsen,Formand
15149930,2014-01-01,2014-12-31,c3,http://regnskaber.virk.dk/03994151/Y3ZyLmRrOi8vcGRmcy8xNTE0OTkzMDtBcFMxOTkwMzg7MjAxNDAxMDE7MjAxNDEyMzE7UjtS.pdf,http://regnskaber.virk.dk/03994151/Y3ZyLmRrOi8veGJybHMvWC05QzQ0NkEzMi0yMDE1MDMyMV8xMzA0NTZfMjE0.xml,KÃ¸benhavn K,1150.0,67.0,KÃ¸bmagergade,1103 KÃ¸benhavn K,Hovedvagtsgade 6,Regnskabsklasse B,2015-02-04,2015-02-04,,intellex@comlaw.dk,755736.0,7125.0,103153.0,39691800.0,,15149930.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,advokat Christian G. Carlsen,Jens Michael RÃ¸nn,COMLAWADVOKATERNE ApS,Michael RÃ¸nn,,245602.0,,KÃ¸benhavn,2013-01-01,2013-12-31,,,,2014-12-31,2014-01-01,,19903.0,Revision fravalgt for 2015,,39291800.0,DirektÃ¸r,Ingen bistand,,urn:ofk:oid:11143210,indberetninger-20180424,2.5116906,15149930.0,,2018-03-30T18:51:28.532Z,2015-03-21T23:00:00.000Z,regnskab,0.0,,2014-12-31,2014-01-01,15-15.152,2015-03-21T23:00:00.000Z,,,,,,,,,,,,,,,,,,,,,Ebba Christensen,Advokat
15149930,2014-01-01,2014-12-31,c4,http://regnskaber.virk.dk/03994151/Y3ZyLmRrOi8vcGRmcy8xNTE0OTkzMDtBcFMxOTkwMzg7MjAxNDAxMDE7MjAxNDEyMzE7UjtS.pdf,http://regnskaber.virk.dk/03994151/Y3ZyLmRrOi8veGJybHMvWC05QzQ0NkEzMi0yMDE1MDMyMV8xMzA0NTZfMjE0.xml,KÃ¸benhavn K,1150.0,67.0,KÃ¸bmagergade,1103 KÃ¸benhavn K,Hovedvagtsgade 6,Regnskabsklasse B,2015-02-04,2015-02-04,,intellex@comlaw.dk,755736.0,7125.0,103153.0,39691800.0,,15149930.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,advokat Christian G. Carlsen,Jens Michael RÃ¸nn,COMLAWADVOKATERNE ApS,Michael RÃ¸nn,,245602.0,,KÃ¸benhavn,2013-01-01,2013-12-31,,,,2014-12-31,2014-01-01,,19903.0,Revision fravalgt for 2015,,39291800.0,DirektÃ¸r,Ingen bistand,,urn:ofk:oid:11143210,indberetninger-20180424,2.5116906,15149930.0,,2018-03-30T18:51:28.532Z,2015-03-21T23:00:00.000Z,regnskab,0.0,,2014-12-31,2014-01-01,15-15.152,2015-03-21T23:00:00.000Z,,,,,,,,,,,,,,,,,,,,,Michael RÃ¸nn,Advokat
15149930,2014-01-01,2014-12-31,c6,http://regnskaber.virk.dk/03994151/Y3ZyLmRrOi8vcGRmcy8xNTE0OTkzMDtBcFMxOTkwMzg7MjAxNDAxMDE7MjAxNDEyMzE7UjtS.pdf,http://regnskaber.virk.dk/03994151/Y3ZyLmRrOi8veGJybHMvWC05QzQ0NkEzMi0yMDE1MDMyMV8xMzA0NTZfMjE0.xml,KÃ¸benhavn K,1150.0,67.0,KÃ¸bmagergade,1103 KÃ¸benhavn K,Hovedvagtsgade 6,Regnskabsklasse B,2015-02-04,2015-02-04,,intellex@comlaw.dk,755736.0,7125.0,103153.0,39691800.0,,15149930.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,advokat Christian G. Carlsen,Jens Michael RÃ¸nn,COMLAWADVOKATERNE ApS,Michael RÃ¸nn,,245602.0,,KÃ¸benhavn,2013-01-01,2013-12-31,48300.0,,,2014-12-31,2014-01-01,,19903.0,Revision fravalgt for 2015,,39291800.0,DirektÃ¸r,Ingen bistand,,urn:ofk:oid:11143210,indberetninger-20180424,2.5116906,15149930.0,,2018-03-30T18:51:28.532Z,2015-03-21T23:00:00.000Z,regnskab,0.0,,2014-12-31,2014-01-01,15-15.152,2015-03-21T23:00:00.000Z,,,,,,,,,,,,,,,,,,,,,,
