entity,start_date,end_date,context,AARSRAPPORT_html,AARSRAPPORT_pdf,AARSRAPPORT_xml,AccountingPoliciesAreUnchangedFromPreviousPeriod,AddressOfSubmittingEnterprisePostcodeAndTown,AddressOfSubmittingEnterpriseStreetAndNumber,AddresseeOfAuditorsReportOnOtherReport,ClassOfReportingEntity,ConfirmationThatAnnualReportIsPresentedInAccordanceWithRequirementsProvidedForByLegislationAnyStandardsAndRequirementsProvidedByArticlesOfAssociationOrByAgreement,ConfirmationThatFinancialStatementGivesTrueAndFairViewOfAssetsLiabilitiesEquityFinancialPositionAndResults,ConfirmationThatFinancialStatementsAreExemptedFromAuditing,DateOfApprovalOfAnnualReport,DateOfApprovalOfReport,DateOfGeneralMeeting,IdentificationNumberCvrOfAuditFirm,IdentificationNumberCvrOfReportingEntity,IdentificationNumberCvrOfSubmittingEnterprise,IdentificationOfApprovedAnnualReport,InformationOnTypeOfSubmittedReport,ManagementsStatementAboutManagementsReview,NameAndSurnameOfChairmanOfGeneralMeeting,NameOfAuditFirm,NameOfFinancialInstitution,NameOfReportingEntity,NameOfSubmittingEnterprise,PlaceOfSignatureOfStatement,PrecedingReportingPeriodStartDate,PredingReportingPeriodEndDate,ProfitLoss,RecommendationForApprovalOfAnnualReportByGeneralMeeting,ReportingPeriodEndDate,ReportingPeriodStartDate,SelectedElementsFromReportingClassC,SignatureOfAuditorsDate,SignatureOfAuditorsPlace,TypeOfAuditorAssistance,_id,_index,_score,cvrNummer,indlaesningsId,indlaesningsTidspunkt,offentliggoerelsesTidspunkt,offentliggoerelsestype,omgoerelse,regNummer,regnskabsperiode_slutDato,regnskabsperiode_startDato,sagsNummer,sidstOpdateret,IncomeFromInvestmentsInGroupEnterprisesAndAssociates,OtherExternalExpenses,OtherFinanceExpenses,OtherFinanceIncome,ProfitLossFromOrdinaryActivitiesBeforeTax,ProfitLossFromOrdinaryOperatingActivities,TaxExpenseOnOrdinaryActivities,Assets,CashAndCashEquivalents,ContributedCapital,CurrentAssets,CurrentDeferredTaxAssets,Equity,LiabilitiesAndEquity,LiabilitiesOtherThanProvisions,LongtermInvestmentsAndReceivables,LongtermInvestmentsInAssociates,NoncurrentAssets,OtherShorttermInvestments,ProposedDividendRecognisedInEquity,RetainedEarnings,ShorttermInvestments,ShorttermLiabilitiesOtherThanProvisions,ShorttermReceivables,ShorttermReceivablesFromAssociates,ShorttermTaxPayables,ShorttermTaxReceivables,ShorttermTradePayables,NameAndSurnameOfMemberOfExecutiveBoard
27381375,2015-01-01,2015-12-31,ID_10,,http://regnskaber.virk.dk/57318372/ZG9rdW1lbnRsYWdlcjovLzAzLzA2LzQ1LzY2LzQ1LzM3ZWUtNDZmMS1iNDFhLWY2ZTQ1NDkxNTlhYg.pdf,http://regnskaber.virk.dk/57318372/ZG9rdW1lbnRsYWdlcjovLzAzLzQ1LzRmLzg2LzcwLzJhYmQtNDI5YS1hZWQzLWY0YWZjNTBkOWU2MQ.xml,true,"7700, Thisted","Toldbodgade 4, 2. sal","Til den daglige ledelse i Benny Brogaard Holding, Thisted  ApS",Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er min opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2016 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar 2016 - 31. december 2016.",Betingelserne for at undlade revision af Ã¥rsregnskabet anses som opfyldt.,2017-02-09,2017-02-09,2017-03-30,15728000.0,27381375.0,15728000.0,"Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar 2016 - 31. december 2016 for Benny Brogaard Holding, Thisted  ApS.",Ãrsrapport,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Benny Obel Brogaard,REVIKON,Sparekassen Thy,"Benny Brogaard Holding, Thisted  ApS","REVIKON , Registreret revisionsinteressentskab",Thisted,2015-01-01,2015-12-31,9145.0,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,2016-12-31,2016-01-01,false,2017-02-09,Thisted,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:23679783,indberetninger-20180424,2.5097342,27381375.0,,2018-03-27T10:11:35.242Z,2017-04-03T10:28:53.121Z,regnskab,0.0,,2016-12-31,2016-01-01,X17-AF-62-JE,2017-04-03T10:28:53.766Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27381375,2015-01-01,2015-12-31,ID_12,,http://regnskaber.virk.dk/57318372/ZG9rdW1lbnRsYWdlcjovLzAzLzA2LzQ1LzY2LzQ1LzM3ZWUtNDZmMS1iNDFhLWY2ZTQ1NDkxNTlhYg.pdf,http://regnskaber.virk.dk/57318372/ZG9rdW1lbnRsYWdlcjovLzAzLzQ1LzRmLzg2LzcwLzJhYmQtNDI5YS1hZWQzLWY0YWZjNTBkOWU2MQ.xml,true,"7700, Thisted","Toldbodgade 4, 2. sal","Til den daglige ledelse i Benny Brogaard Holding, Thisted  ApS",Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er min opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2016 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar 2016 - 31. december 2016.",Betingelserne for at undlade revision af Ã¥rsregnskabet anses som opfyldt.,2017-02-09,2017-02-09,2017-03-30,15728000.0,27381375.0,15728000.0,"Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar 2016 - 31. december 2016 for Benny Brogaard Holding, Thisted  ApS.",Ãrsrapport,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Benny Obel Brogaard,REVIKON,Sparekassen Thy,"Benny Brogaard Holding, Thisted  ApS","REVIKON , Registreret revisionsinteressentskab",Thisted,2015-01-01,2015-12-31,-304870.0,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,2016-12-31,2016-01-01,false,2017-02-09,Thisted,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:23679783,indberetninger-20180424,2.5097342,27381375.0,,2018-03-27T10:11:35.242Z,2017-04-03T10:28:53.121Z,regnskab,0.0,,2016-12-31,2016-01-01,X17-AF-62-JE,2017-04-03T10:28:53.766Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27381375,2015-01-01,2015-12-31,ID_6,,http://regnskaber.virk.dk/57318372/ZG9rdW1lbnRsYWdlcjovLzAzLzA2LzQ1LzY2LzQ1LzM3ZWUtNDZmMS1iNDFhLWY2ZTQ1NDkxNTlhYg.pdf,http://regnskaber.virk.dk/57318372/ZG9rdW1lbnRsYWdlcjovLzAzLzQ1LzRmLzg2LzcwLzJhYmQtNDI5YS1hZWQzLWY0YWZjNTBkOWU2MQ.xml,true,"7700, Thisted","Toldbodgade 4, 2. sal","Til den daglige ledelse i Benny Brogaard Holding, Thisted  ApS",Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er min opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2016 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar 2016 - 31. december 2016.",Betingelserne for at undlade revision af Ã¥rsregnskabet anses som opfyldt.,2017-02-09,2017-02-09,2017-03-30,15728000.0,27381375.0,15728000.0,"Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar 2016 - 31. december 2016 for Benny Brogaard Holding, Thisted  ApS.",Ãrsrapport,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Benny Obel Brogaard,REVIKON,Sparekassen Thy,"Benny Brogaard Holding, Thisted  ApS","REVIKON , Registreret revisionsinteressentskab",Thisted,2015-01-01,2015-12-31,396925.0,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,2016-12-31,2016-01-01,false,2017-02-09,Thisted,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:23679783,indberetninger-20180424,2.5097342,27381375.0,,2018-03-27T10:11:35.242Z,2017-04-03T10:28:53.121Z,regnskab,0.0,,2016-12-31,2016-01-01,X17-AF-62-JE,2017-04-03T10:28:53.766Z,101464.0,9830.0,193317.0,642927.0,541244.0,91634.0,144319.0,,,,,,,,,,,,,,,,,,,,,,
27381375,2015-01-01,2015-12-31,ID_8,,http://regnskaber.virk.dk/57318372/ZG9rdW1lbnRsYWdlcjovLzAzLzA2LzQ1LzY2LzQ1LzM3ZWUtNDZmMS1iNDFhLWY2ZTQ1NDkxNTlhYg.pdf,http://regnskaber.virk.dk/57318372/ZG9rdW1lbnRsYWdlcjovLzAzLzQ1LzRmLzg2LzcwLzJhYmQtNDI5YS1hZWQzLWY0YWZjNTBkOWU2MQ.xml,true,"7700, Thisted","Toldbodgade 4, 2. sal","Til den daglige ledelse i Benny Brogaard Holding, Thisted  ApS",Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er min opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2016 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar 2016 - 31. december 2016.",Betingelserne for at undlade revision af Ã¥rsregnskabet anses som opfyldt.,2017-02-09,2017-02-09,2017-03-30,15728000.0,27381375.0,15728000.0,"Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar 2016 - 31. december 2016 for Benny Brogaard Holding, Thisted  ApS.",Ãrsrapport,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Benny Obel Brogaard,REVIKON,Sparekassen Thy,"Benny Brogaard Holding, Thisted  ApS","REVIKON , Registreret revisionsinteressentskab",Thisted,2015-01-01,2015-12-31,-101200.0,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,2016-12-31,2016-01-01,false,2017-02-09,Thisted,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:23679783,indberetninger-20180424,2.5097342,27381375.0,,2018-03-27T10:11:35.242Z,2017-04-03T10:28:53.121Z,regnskab,0.0,,2016-12-31,2016-01-01,X17-AF-62-JE,2017-04-03T10:28:53.766Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27381375,2015-12-31,2015-12-31,ID_5,,http://regnskaber.virk.dk/57318372/ZG9rdW1lbnRsYWdlcjovLzAzLzA2LzQ1LzY2LzQ1LzM3ZWUtNDZmMS1iNDFhLWY2ZTQ1NDkxNTlhYg.pdf,http://regnskaber.virk.dk/57318372/ZG9rdW1lbnRsYWdlcjovLzAzLzQ1LzRmLzg2LzcwLzJhYmQtNDI5YS1hZWQzLWY0YWZjNTBkOWU2MQ.xml,true,"7700, Thisted","Toldbodgade 4, 2. sal","Til den daglige ledelse i Benny Brogaard Holding, Thisted  ApS",Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er min opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2016 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar 2016 - 31. december 2016.",Betingelserne for at undlade revision af Ã¥rsregnskabet anses som opfyldt.,2017-02-09,2017-02-09,2017-03-30,15728000.0,27381375.0,15728000.0,"Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar 2016 - 31. december 2016 for Benny Brogaard Holding, Thisted  ApS.",Ãrsrapport,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Benny Obel Brogaard,REVIKON,Sparekassen Thy,"Benny Brogaard Holding, Thisted  ApS","REVIKON , Registreret revisionsinteressentskab",Thisted,2015-01-01,2015-12-31,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,2016-12-31,2016-01-01,false,2017-02-09,Thisted,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:23679783,indberetninger-20180424,2.5097342,27381375.0,,2018-03-27T10:11:35.242Z,2017-04-03T10:28:53.121Z,regnskab,0.0,,2016-12-31,2016-01-01,X17-AF-62-JE,2017-04-03T10:28:53.766Z,,,,,,,,4779754.0,25726.0,125000.0,3180406.0,0.0,4679899.0,4779754.0,99855.0,1599348.0,1599348.0,1599348.0,1854594.0,101200.0,4453699.0,1854594.0,99855.0,1300086.0,1300086.0,91855.0,0.0,8000.0,
27381375,2016-01-01,2016-12-31,ID_0,,http://regnskaber.virk.dk/57318372/ZG9rdW1lbnRsYWdlcjovLzAzLzA2LzQ1LzY2LzQ1LzM3ZWUtNDZmMS1iNDFhLWY2ZTQ1NDkxNTlhYg.pdf,http://regnskaber.virk.dk/57318372/ZG9rdW1lbnRsYWdlcjovLzAzLzQ1LzRmLzg2LzcwLzJhYmQtNDI5YS1hZWQzLWY0YWZjNTBkOWU2MQ.xml,true,"7700, Thisted","Toldbodgade 4, 2. sal","Til den daglige ledelse i Benny Brogaard Holding, Thisted  ApS",Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er min opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2016 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar 2016 - 31. december 2016.",Betingelserne for at undlade revision af Ã¥rsregnskabet anses som opfyldt.,2017-02-09,2017-02-09,2017-03-30,15728000.0,27381375.0,15728000.0,"Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar 2016 - 31. december 2016 for Benny Brogaard Holding, Thisted  ApS.",Ãrsrapport,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Benny Obel Brogaard,REVIKON,Sparekassen Thy,"Benny Brogaard Holding, Thisted  ApS","REVIKON , Registreret revisionsinteressentskab",Thisted,2015-01-01,2015-12-31,62792.0,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,2016-12-31,2016-01-01,false,2017-02-09,Thisted,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:23679783,indberetninger-20180424,2.5097342,27381375.0,,2018-03-27T10:11:35.242Z,2017-04-03T10:28:53.121Z,regnskab,0.0,,2016-12-31,2016-01-01,X17-AF-62-JE,2017-04-03T10:28:53.766Z,191400.0,4286.0,196424.0,47297.0,37987.0,187114.0,-24805.0,,,,,,,,,,,,,,,,,,,,,,
27381375,2016-01-01,2016-12-31,ID_1,,http://regnskaber.virk.dk/57318372/ZG9rdW1lbnRsYWdlcjovLzAzLzA2LzQ1LzY2LzQ1LzM3ZWUtNDZmMS1iNDFhLWY2ZTQ1NDkxNTlhYg.pdf,http://regnskaber.virk.dk/57318372/ZG9rdW1lbnRsYWdlcjovLzAzLzQ1LzRmLzg2LzcwLzJhYmQtNDI5YS1hZWQzLWY0YWZjNTBkOWU2MQ.xml,true,"7700, Thisted","Toldbodgade 4, 2. sal","Til den daglige ledelse i Benny Brogaard Holding, Thisted  ApS",Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er min opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2016 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar 2016 - 31. december 2016.",Betingelserne for at undlade revision af Ã¥rsregnskabet anses som opfyldt.,2017-02-09,2017-02-09,2017-03-30,15728000.0,27381375.0,15728000.0,"Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar 2016 - 31. december 2016 for Benny Brogaard Holding, Thisted  ApS.",Ãrsrapport,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Benny Obel Brogaard,REVIKON,Sparekassen Thy,"Benny Brogaard Holding, Thisted  ApS","REVIKON , Registreret revisionsinteressentskab",Thisted,2015-01-01,2015-12-31,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,2016-12-31,2016-01-01,false,2017-02-09,Thisted,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:23679783,indberetninger-20180424,2.5097342,27381375.0,,2018-03-27T10:11:35.242Z,2017-04-03T10:28:53.121Z,regnskab,0.0,,2016-12-31,2016-01-01,X17-AF-62-JE,2017-04-03T10:28:53.766Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27381375,2016-01-01,2016-12-31,ID_11,,http://regnskaber.virk.dk/57318372/ZG9rdW1lbnRsYWdlcjovLzAzLzA2LzQ1LzY2LzQ1LzM3ZWUtNDZmMS1iNDFhLWY2ZTQ1NDkxNTlhYg.pdf,http://regnskaber.virk.dk/57318372/ZG9rdW1lbnRsYWdlcjovLzAzLzQ1LzRmLzg2LzcwLzJhYmQtNDI5YS1hZWQzLWY0YWZjNTBkOWU2MQ.xml,true,"7700, Thisted","Toldbodgade 4, 2. sal","Til den daglige ledelse i Benny Brogaard Holding, Thisted  ApS",Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er min opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2016 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar 2016 - 31. december 2016.",Betingelserne for at undlade revision af Ã¥rsregnskabet anses som opfyldt.,2017-02-09,2017-02-09,2017-03-30,15728000.0,27381375.0,15728000.0,"Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar 2016 - 31. december 2016 for Benny Brogaard Holding, Thisted  ApS.",Ãrsrapport,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Benny Obel Brogaard,REVIKON,Sparekassen Thy,"Benny Brogaard Holding, Thisted  ApS","REVIKON , Registreret revisionsinteressentskab",Thisted,2015-01-01,2015-12-31,40608.0,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,2016-12-31,2016-01-01,false,2017-02-09,Thisted,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:23679783,indberetninger-20180424,2.5097342,27381375.0,,2018-03-27T10:11:35.242Z,2017-04-03T10:28:53.121Z,regnskab,0.0,,2016-12-31,2016-01-01,X17-AF-62-JE,2017-04-03T10:28:53.766Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27381375,2016-01-01,2016-12-31,ID_2,,http://regnskaber.virk.dk/57318372/ZG9rdW1lbnRsYWdlcjovLzAzLzA2LzQ1LzY2LzQ1LzM3ZWUtNDZmMS1iNDFhLWY2ZTQ1NDkxNTlhYg.pdf,http://regnskaber.virk.dk/57318372/ZG9rdW1lbnRsYWdlcjovLzAzLzQ1LzRmLzg2LzcwLzJhYmQtNDI5YS1hZWQzLWY0YWZjNTBkOWU2MQ.xml,true,"7700, Thisted","Toldbodgade 4, 2. sal","Til den daglige ledelse i Benny Brogaard Holding, Thisted  ApS",Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er min opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2016 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar 2016 - 31. december 2016.",Betingelserne for at undlade revision af Ã¥rsregnskabet anses som opfyldt.,2017-02-09,2017-02-09,2017-03-30,15728000.0,27381375.0,15728000.0,"Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar 2016 - 31. december 2016 for Benny Brogaard Holding, Thisted  ApS.",Ãrsrapport,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Benny Obel Brogaard,REVIKON,Sparekassen Thy,"Benny Brogaard Holding, Thisted  ApS","REVIKON , Registreret revisionsinteressentskab",Thisted,2015-01-01,2015-12-31,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,2016-12-31,2016-01-01,false,2017-02-09,Thisted,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:23679783,indberetninger-20180424,2.5097342,27381375.0,,2018-03-27T10:11:35.242Z,2017-04-03T10:28:53.121Z,regnskab,0.0,,2016-12-31,2016-01-01,X17-AF-62-JE,2017-04-03T10:28:53.766Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Benny Obel Brogaard
27381375,2016-01-01,2016-12-31,ID_3,,http://regnskaber.virk.dk/57318372/ZG9rdW1lbnRsYWdlcjovLzAzLzA2LzQ1LzY2LzQ1LzM3ZWUtNDZmMS1iNDFhLWY2ZTQ1NDkxNTlhYg.pdf,http://regnskaber.virk.dk/57318372/ZG9rdW1lbnRsYWdlcjovLzAzLzQ1LzRmLzg2LzcwLzJhYmQtNDI5YS1hZWQzLWY0YWZjNTBkOWU2MQ.xml,true,"7700, Thisted","Toldbodgade 4, 2. sal","Til den daglige ledelse i Benny Brogaard Holding, Thisted  ApS",Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er min opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2016 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar 2016 - 31. december 2016.",Betingelserne for at undlade revision af Ã¥rsregnskabet anses som opfyldt.,2017-02-09,2017-02-09,2017-03-30,15728000.0,27381375.0,15728000.0,"Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar 2016 - 31. december 2016 for Benny Brogaard Holding, Thisted  ApS.",Ãrsrapport,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Benny Obel Brogaard,REVIKON,Sparekassen Thy,"Benny Brogaard Holding, Thisted  ApS","REVIKON , Registreret revisionsinteressentskab",Thisted,2015-01-01,2015-12-31,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,2016-12-31,2016-01-01,false,2017-02-09,Thisted,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:23679783,indberetninger-20180424,2.5097342,27381375.0,,2018-03-27T10:11:35.242Z,2017-04-03T10:28:53.121Z,regnskab,0.0,,2016-12-31,2016-01-01,X17-AF-62-JE,2017-04-03T10:28:53.766Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
