entity,start_date,end_date,context,AARSRAPPORT_pdf,AARSRAPPORT_xml,AddressOfReportingEntityPostcodeAndTown,AddressOfReportingEntityStreetAndNumber,AddressOfSubmittingEnterprisePostcodeAndTown,AddressOfSubmittingEnterpriseStreetAndNumber,AddresseeOfAuditorsReportOnAuditedFinancialStatements,AuditorsReportOnFinancialStatements,ClassOfReportingEntity,ConfirmationThatAnnualReportIsPresentedInAccordanceWithRequirementsProvidedForByLegislationAnyStandardsAndRequirementsProvidedByArticlesOfAssociationOrByAgreement,ConfirmationThatFinancialStatementGivesTrueAndFairViewOfAssetsLiabilitiesEquityFinancialPositionAndResults,DateOfFoundationOfReportingEntity,DateOfGeneralMeeting,DescriptionOfAuditor,DisclosureOfInvestments,IdentificationNumberCvrOfAuditFirm,IdentificationNumberCvrOfReportingEntity,IdentificationNumberCvrOfSubmittingEnterprise,IdentificationOfApprovedAnnualReport,IdentificationOfAuditedFinancialStatements,IncomeFromInvestmentsInGroupEnterprisesAndAssociates,InformationOnTypeOfSubmittedReport,NameAndSurnameOfAuditor,NameAndSurnameOfChairmanOfGeneralMeeting,NameOfAuditFirm,NameOfReportingEntity,NameOfSubmittingEnterprise,OtherFinanceExpenses,OtherFinanceIncome,OtherOperatingExpenses,ProfitLoss,ProfitLossFromOrdinaryActivitiesBeforeTax,ProfitLossFromOrdinaryOperatingActivities,ReportingPeriodEndDate,ReportingPeriodStartDate,SignatureOfAuditorsDate,SignatureOfAuditorsPlace,TaxExpenseOnOrdinaryActivities,_id,_index,_score,cvrNummer,indlaesningsId,indlaesningsTidspunkt,offentliggoerelsesTidspunkt,offentliggoerelsestype,omgoerelse,regNummer,regnskabsperiode_slutDato,regnskabsperiode_startDato,sagsNummer,sidstOpdateret,Assets,CashAndCashEquivalents,ContributedCapital,CurrentAssets,Equity,LiabilitiesAndEquity,LiabilitiesOtherThanProvisions,LongtermInvestmentsAndReceivables,LongtermInvestmentsInGroupEnterprises,NoncurrentAssets,OtherLongtermInvestments,RetainedEarnings,ShorttermLiabilitiesOtherThanProvisions,ShorttermPayablesToShareholdersAndManagement,ShorttermReceivables,ShorttermReceivablesFromGroupEnterprises,ShorttermTaxReceivables,ShorttermTradePayables,NameAndSurnameOfMemberOfExecutiveBoard,TitleOfMemberOfExecutiveBoard
entity identifier,2010-07-01,2011-06-30,ID_10,http://regnskaber.virk.dk/63488141/Y3ZyLmRrOi8vcGRmcy8xNDE4ODQzNjtBcFMxODk3NTA7MjAxMTA3MDE7MjAxMjA2MzA7UjtS.pdf,http://regnskaber.virk.dk/63488141/Y3ZyLmRrOi8veGJybHMvWC0xQzlGM0NDRi0yMDEyMTIyMV8xNDU3NTdfNTE4.xml,"2900, Hellerup","c/o Kenneth Hou Jensen, Tuborg Havnepark 5, 1.th.","Frederiksberg, 2000","Guldborgvej 8, st.tv.",Til kapitalejerne i M.A.S.K. Holding ApS,PÃ¥tegning pÃ¥ Ã¥rsregnskabet,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 30. juni 2012 samt af resultatet af selskabets aktiviteter og pengestrÃ¸mme for regnskabsÃ¥ret 1. juli 2011 - 30. juni 2012.",1990-06-11,2012-12-19,Registreret revisor,3. Oplysninger om kapitalandele i tilknyttede og associerede virksomheder,27335616.0,14188436.0,27335616.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for 1. juli 2011 - 30. juni 2012 for M.A.S.K. Holding ApS.,"Vi har revideret Ã¥rsregnskabet for M.A.S.K. Holding ApS for regnskabsÃ¥ret 1. juli 2011 - 30. juni 2012, der omfatter anvendt regnskabspraksis, resultatopgÃ¸relse, balance og noter. Ãrsregnskabet udarbejdes efter Ã¥rsregnskabsloven.",-201046.0,Ãrsrapport,Bent Bastian,Kenneth Hou Jensen,"Revisorerne Bastian og Krause, Registrerede Revisorer ApS",M.A.S.K. Holding ApS,"Revisorerne Bastian og Krause, Registrerede Revisorer ApS",1827.0,-568468.0,24347.0,-738395.0,-743340.0,24347.0,2012-06-30,2011-07-01,2012-12-19,Frederiksberg,4945.0,urn:ofk:oid:10730804,indberetninger-20180424,2.5095992000000003,14188436.0,,2018-04-02T14:35:17.084Z,2012-12-22T23:00:00.000Z,regnskab,0.0,,2012-06-30,2011-07-01,12-265.607,2012-12-22T23:00:00.000Z,,,,,,,,,,,,,,,,,,,,
entity identifier,2010-07-01,2011-06-30,ID_12,http://regnskaber.virk.dk/63488141/Y3ZyLmRrOi8vcGRmcy8xNDE4ODQzNjtBcFMxODk3NTA7MjAxMTA3MDE7MjAxMjA2MzA7UjtS.pdf,http://regnskaber.virk.dk/63488141/Y3ZyLmRrOi8veGJybHMvWC0xQzlGM0NDRi0yMDEyMTIyMV8xNDU3NTdfNTE4.xml,"2900, Hellerup","c/o Kenneth Hou Jensen, Tuborg Havnepark 5, 1.th.","Frederiksberg, 2000","Guldborgvej 8, st.tv.",Til kapitalejerne i M.A.S.K. Holding ApS,PÃ¥tegning pÃ¥ Ã¥rsregnskabet,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 30. juni 2012 samt af resultatet af selskabets aktiviteter og pengestrÃ¸mme for regnskabsÃ¥ret 1. juli 2011 - 30. juni 2012.",1990-06-11,2012-12-19,Registreret revisor,3. Oplysninger om kapitalandele i tilknyttede og associerede virksomheder,27335616.0,14188436.0,27335616.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for 1. juli 2011 - 30. juni 2012 for M.A.S.K. Holding ApS.,"Vi har revideret Ã¥rsregnskabet for M.A.S.K. Holding ApS for regnskabsÃ¥ret 1. juli 2011 - 30. juni 2012, der omfatter anvendt regnskabspraksis, resultatopgÃ¸relse, balance og noter. Ãrsregnskabet udarbejdes efter Ã¥rsregnskabsloven.",,Ãrsrapport,Bent Bastian,Kenneth Hou Jensen,"Revisorerne Bastian og Krause, Registrerede Revisorer ApS",M.A.S.K. Holding ApS,"Revisorerne Bastian og Krause, Registrerede Revisorer ApS",,,,96600.0,,,2012-06-30,2011-07-01,2012-12-19,Frederiksberg,,urn:ofk:oid:10730804,indberetninger-20180424,2.5095992000000003,14188436.0,,2018-04-02T14:35:17.084Z,2012-12-22T23:00:00.000Z,regnskab,0.0,,2012-06-30,2011-07-01,12-265.607,2012-12-22T23:00:00.000Z,,,,,,,,,,,,,,,,,,,,
entity identifier,2010-07-01,2011-06-30,ID_14,http://regnskaber.virk.dk/63488141/Y3ZyLmRrOi8vcGRmcy8xNDE4ODQzNjtBcFMxODk3NTA7MjAxMTA3MDE7MjAxMjA2MzA7UjtS.pdf,http://regnskaber.virk.dk/63488141/Y3ZyLmRrOi8veGJybHMvWC0xQzlGM0NDRi0yMDEyMTIyMV8xNDU3NTdfNTE4.xml,"2900, Hellerup","c/o Kenneth Hou Jensen, Tuborg Havnepark 5, 1.th.","Frederiksberg, 2000","Guldborgvej 8, st.tv.",Til kapitalejerne i M.A.S.K. Holding ApS,PÃ¥tegning pÃ¥ Ã¥rsregnskabet,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 30. juni 2012 samt af resultatet af selskabets aktiviteter og pengestrÃ¸mme for regnskabsÃ¥ret 1. juli 2011 - 30. juni 2012.",1990-06-11,2012-12-19,Registreret revisor,3. Oplysninger om kapitalandele i tilknyttede og associerede virksomheder,27335616.0,14188436.0,27335616.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for 1. juli 2011 - 30. juni 2012 for M.A.S.K. Holding ApS.,"Vi har revideret Ã¥rsregnskabet for M.A.S.K. Holding ApS for regnskabsÃ¥ret 1. juli 2011 - 30. juni 2012, der omfatter anvendt regnskabspraksis, resultatopgÃ¸relse, balance og noter. Ãrsregnskabet udarbejdes efter Ã¥rsregnskabsloven.",,Ãrsrapport,Bent Bastian,Kenneth Hou Jensen,"Revisorerne Bastian og Krause, Registrerede Revisorer ApS",M.A.S.K. Holding ApS,"Revisorerne Bastian og Krause, Registrerede Revisorer ApS",,,,641795.0,,,2012-06-30,2011-07-01,2012-12-19,Frederiksberg,,urn:ofk:oid:10730804,indberetninger-20180424,2.5095992000000003,14188436.0,,2018-04-02T14:35:17.084Z,2012-12-22T23:00:00.000Z,regnskab,0.0,,2012-06-30,2011-07-01,12-265.607,2012-12-22T23:00:00.000Z,,,,,,,,,,,,,,,,,,,,
entity identifier,2010-07-01,2011-06-30,ID_16,http://regnskaber.virk.dk/63488141/Y3ZyLmRrOi8vcGRmcy8xNDE4ODQzNjtBcFMxODk3NTA7MjAxMTA3MDE7MjAxMjA2MzA7UjtS.pdf,http://regnskaber.virk.dk/63488141/Y3ZyLmRrOi8veGJybHMvWC0xQzlGM0NDRi0yMDEyMTIyMV8xNDU3NTdfNTE4.xml,"2900, Hellerup","c/o Kenneth Hou Jensen, Tuborg Havnepark 5, 1.th.","Frederiksberg, 2000","Guldborgvej 8, st.tv.",Til kapitalejerne i M.A.S.K. Holding ApS,PÃ¥tegning pÃ¥ Ã¥rsregnskabet,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 30. juni 2012 samt af resultatet af selskabets aktiviteter og pengestrÃ¸mme for regnskabsÃ¥ret 1. juli 2011 - 30. juni 2012.",1990-06-11,2012-12-19,Registreret revisor,3. Oplysninger om kapitalandele i tilknyttede og associerede virksomheder,27335616.0,14188436.0,27335616.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for 1. juli 2011 - 30. juni 2012 for M.A.S.K. Holding ApS.,"Vi har revideret Ã¥rsregnskabet for M.A.S.K. Holding ApS for regnskabsÃ¥ret 1. juli 2011 - 30. juni 2012, der omfatter anvendt regnskabspraksis, resultatopgÃ¸relse, balance og noter. Ãrsregnskabet udarbejdes efter Ã¥rsregnskabsloven.",,Ãrsrapport,Bent Bastian,Kenneth Hou Jensen,"Revisorerne Bastian og Krause, Registrerede Revisorer ApS",M.A.S.K. Holding ApS,"Revisorerne Bastian og Krause, Registrerede Revisorer ApS",,,,738395.0,,,2012-06-30,2011-07-01,2012-12-19,Frederiksberg,,urn:ofk:oid:10730804,indberetninger-20180424,2.5095992000000003,14188436.0,,2018-04-02T14:35:17.084Z,2012-12-22T23:00:00.000Z,regnskab,0.0,,2012-06-30,2011-07-01,12-265.607,2012-12-22T23:00:00.000Z,,,,,,,,,,,,,,,,,,,,
entity identifier,2011-06-30,2011-06-30,ID_18,http://regnskaber.virk.dk/63488141/Y3ZyLmRrOi8vcGRmcy8xNDE4ODQzNjtBcFMxODk3NTA7MjAxMTA3MDE7MjAxMjA2MzA7UjtS.pdf,http://regnskaber.virk.dk/63488141/Y3ZyLmRrOi8veGJybHMvWC0xQzlGM0NDRi0yMDEyMTIyMV8xNDU3NTdfNTE4.xml,"2900, Hellerup","c/o Kenneth Hou Jensen, Tuborg Havnepark 5, 1.th.","Frederiksberg, 2000","Guldborgvej 8, st.tv.",Til kapitalejerne i M.A.S.K. Holding ApS,PÃ¥tegning pÃ¥ Ã¥rsregnskabet,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 30. juni 2012 samt af resultatet af selskabets aktiviteter og pengestrÃ¸mme for regnskabsÃ¥ret 1. juli 2011 - 30. juni 2012.",1990-06-11,2012-12-19,Registreret revisor,3. Oplysninger om kapitalandele i tilknyttede og associerede virksomheder,27335616.0,14188436.0,27335616.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for 1. juli 2011 - 30. juni 2012 for M.A.S.K. Holding ApS.,"Vi har revideret Ã¥rsregnskabet for M.A.S.K. Holding ApS for regnskabsÃ¥ret 1. juli 2011 - 30. juni 2012, der omfatter anvendt regnskabspraksis, resultatopgÃ¸relse, balance og noter. Ãrsregnskabet udarbejdes efter Ã¥rsregnskabsloven.",,Ãrsrapport,Bent Bastian,Kenneth Hou Jensen,"Revisorerne Bastian og Krause, Registrerede Revisorer ApS",M.A.S.K. Holding ApS,"Revisorerne Bastian og Krause, Registrerede Revisorer ApS",,,,,,,2012-06-30,2011-07-01,2012-12-19,Frederiksberg,,urn:ofk:oid:10730804,indberetninger-20180424,2.5095992000000003,14188436.0,,2018-04-02T14:35:17.084Z,2012-12-22T23:00:00.000Z,regnskab,0.0,,2012-06-30,2011-07-01,12-265.607,2012-12-22T23:00:00.000Z,6404515.0,6760.0,-200000.0,1771479.0,-6376174.0,-6404515.0,-28341.0,4633036.0,170666.0,4633036.0,4462370.0,-6176174.0,-28341.0,-8841.0,1764719.0,1848224.0,-83505.0,-19500.0,,
entity identifier,2011-07-01,2012-06-30,ID_0,http://regnskaber.virk.dk/63488141/Y3ZyLmRrOi8vcGRmcy8xNDE4ODQzNjtBcFMxODk3NTA7MjAxMTA3MDE7MjAxMjA2MzA7UjtS.pdf,http://regnskaber.virk.dk/63488141/Y3ZyLmRrOi8veGJybHMvWC0xQzlGM0NDRi0yMDEyMTIyMV8xNDU3NTdfNTE4.xml,"2900, Hellerup","c/o Kenneth Hou Jensen, Tuborg Havnepark 5, 1.th.","Frederiksberg, 2000","Guldborgvej 8, st.tv.",Til kapitalejerne i M.A.S.K. Holding ApS,PÃ¥tegning pÃ¥ Ã¥rsregnskabet,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 30. juni 2012 samt af resultatet af selskabets aktiviteter og pengestrÃ¸mme for regnskabsÃ¥ret 1. juli 2011 - 30. juni 2012.",1990-06-11,2012-12-19,Registreret revisor,3. Oplysninger om kapitalandele i tilknyttede og associerede virksomheder,27335616.0,14188436.0,27335616.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for 1. juli 2011 - 30. juni 2012 for M.A.S.K. Holding ApS.,"Vi har revideret Ã¥rsregnskabet for M.A.S.K. Holding ApS for regnskabsÃ¥ret 1. juli 2011 - 30. juni 2012, der omfatter anvendt regnskabspraksis, resultatopgÃ¸relse, balance og noter. Ãrsregnskabet udarbejdes efter Ã¥rsregnskabsloven.",,Ãrsrapport,Bent Bastian,Kenneth Hou Jensen,"Revisorerne Bastian og Krause, Registrerede Revisorer ApS",M.A.S.K. Holding ApS,"Revisorerne Bastian og Krause, Registrerede Revisorer ApS",,,,,,,2012-06-30,2011-07-01,2012-12-19,Frederiksberg,,urn:ofk:oid:10730804,indberetninger-20180424,2.5095992000000003,14188436.0,,2018-04-02T14:35:17.084Z,2012-12-22T23:00:00.000Z,regnskab,0.0,,2012-06-30,2011-07-01,12-265.607,2012-12-22T23:00:00.000Z,,,,,,,,,,,,,,,,,,,,
entity identifier,2011-07-01,2012-06-30,ID_1,http://regnskaber.virk.dk/63488141/Y3ZyLmRrOi8vcGRmcy8xNDE4ODQzNjtBcFMxODk3NTA7MjAxMTA3MDE7MjAxMjA2MzA7UjtS.pdf,http://regnskaber.virk.dk/63488141/Y3ZyLmRrOi8veGJybHMvWC0xQzlGM0NDRi0yMDEyMTIyMV8xNDU3NTdfNTE4.xml,"2900, Hellerup","c/o Kenneth Hou Jensen, Tuborg Havnepark 5, 1.th.","Frederiksberg, 2000","Guldborgvej 8, st.tv.",Til kapitalejerne i M.A.S.K. Holding ApS,PÃ¥tegning pÃ¥ Ã¥rsregnskabet,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 30. juni 2012 samt af resultatet af selskabets aktiviteter og pengestrÃ¸mme for regnskabsÃ¥ret 1. juli 2011 - 30. juni 2012.",1990-06-11,2012-12-19,Registreret revisor,3. Oplysninger om kapitalandele i tilknyttede og associerede virksomheder,27335616.0,14188436.0,27335616.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for 1. juli 2011 - 30. juni 2012 for M.A.S.K. Holding ApS.,"Vi har revideret Ã¥rsregnskabet for M.A.S.K. Holding ApS for regnskabsÃ¥ret 1. juli 2011 - 30. juni 2012, der omfatter anvendt regnskabspraksis, resultatopgÃ¸relse, balance og noter. Ãrsregnskabet udarbejdes efter Ã¥rsregnskabsloven.",,Ãrsrapport,Bent Bastian,Kenneth Hou Jensen,"Revisorerne Bastian og Krause, Registrerede Revisorer ApS",M.A.S.K. Holding ApS,"Revisorerne Bastian og Krause, Registrerede Revisorer ApS",,,,,,,2012-06-30,2011-07-01,2012-12-19,Frederiksberg,,urn:ofk:oid:10730804,indberetninger-20180424,2.5095992000000003,14188436.0,,2018-04-02T14:35:17.084Z,2012-12-22T23:00:00.000Z,regnskab,0.0,,2012-06-30,2011-07-01,12-265.607,2012-12-22T23:00:00.000Z,,,,,,,,,,,,,,,,,,,,
entity identifier,2011-07-01,2012-06-30,ID_11,http://regnskaber.virk.dk/63488141/Y3ZyLmRrOi8vcGRmcy8xNDE4ODQzNjtBcFMxODk3NTA7MjAxMTA3MDE7MjAxMjA2MzA7UjtS.pdf,http://regnskaber.virk.dk/63488141/Y3ZyLmRrOi8veGJybHMvWC0xQzlGM0NDRi0yMDEyMTIyMV8xNDU3NTdfNTE4.xml,"2900, Hellerup","c/o Kenneth Hou Jensen, Tuborg Havnepark 5, 1.th.","Frederiksberg, 2000","Guldborgvej 8, st.tv.",Til kapitalejerne i M.A.S.K. Holding ApS,PÃ¥tegning pÃ¥ Ã¥rsregnskabet,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 30. juni 2012 samt af resultatet af selskabets aktiviteter og pengestrÃ¸mme for regnskabsÃ¥ret 1. juli 2011 - 30. juni 2012.",1990-06-11,2012-12-19,Registreret revisor,3. Oplysninger om kapitalandele i tilknyttede og associerede virksomheder,27335616.0,14188436.0,27335616.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for 1. juli 2011 - 30. juni 2012 for M.A.S.K. Holding ApS.,"Vi har revideret Ã¥rsregnskabet for M.A.S.K. Holding ApS for regnskabsÃ¥ret 1. juli 2011 - 30. juni 2012, der omfatter anvendt regnskabspraksis, resultatopgÃ¸relse, balance og noter. Ãrsregnskabet udarbejdes efter Ã¥rsregnskabsloven.",,Ãrsrapport,Bent Bastian,Kenneth Hou Jensen,"Revisorerne Bastian og Krause, Registrerede Revisorer ApS",M.A.S.K. Holding ApS,"Revisorerne Bastian og Krause, Registrerede Revisorer ApS",,,,96600.0,,,2012-06-30,2011-07-01,2012-12-19,Frederiksberg,,urn:ofk:oid:10730804,indberetninger-20180424,2.5095992000000003,14188436.0,,2018-04-02T14:35:17.084Z,2012-12-22T23:00:00.000Z,regnskab,0.0,,2012-06-30,2011-07-01,12-265.607,2012-12-22T23:00:00.000Z,,,,,,,,,,,,,,,,,,,,
entity identifier,2011-07-01,2012-06-30,ID_13,http://regnskaber.virk.dk/63488141/Y3ZyLmRrOi8vcGRmcy8xNDE4ODQzNjtBcFMxODk3NTA7MjAxMTA3MDE7MjAxMjA2MzA7UjtS.pdf,http://regnskaber.virk.dk/63488141/Y3ZyLmRrOi8veGJybHMvWC0xQzlGM0NDRi0yMDEyMTIyMV8xNDU3NTdfNTE4.xml,"2900, Hellerup","c/o Kenneth Hou Jensen, Tuborg Havnepark 5, 1.th.","Frederiksberg, 2000","Guldborgvej 8, st.tv.",Til kapitalejerne i M.A.S.K. Holding ApS,PÃ¥tegning pÃ¥ Ã¥rsregnskabet,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 30. juni 2012 samt af resultatet af selskabets aktiviteter og pengestrÃ¸mme for regnskabsÃ¥ret 1. juli 2011 - 30. juni 2012.",1990-06-11,2012-12-19,Registreret revisor,3. Oplysninger om kapitalandele i tilknyttede og associerede virksomheder,27335616.0,14188436.0,27335616.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for 1. juli 2011 - 30. juni 2012 for M.A.S.K. Holding ApS.,"Vi har revideret Ã¥rsregnskabet for M.A.S.K. Holding ApS for regnskabsÃ¥ret 1. juli 2011 - 30. juni 2012, der omfatter anvendt regnskabspraksis, resultatopgÃ¸relse, balance og noter. Ãrsregnskabet udarbejdes efter Ã¥rsregnskabsloven.",,Ãrsrapport,Bent Bastian,Kenneth Hou Jensen,"Revisorerne Bastian og Krause, Registrerede Revisorer ApS",M.A.S.K. Holding ApS,"Revisorerne Bastian og Krause, Registrerede Revisorer ApS",,,,53021.0,,,2012-06-30,2011-07-01,2012-12-19,Frederiksberg,,urn:ofk:oid:10730804,indberetninger-20180424,2.5095992000000003,14188436.0,,2018-04-02T14:35:17.084Z,2012-12-22T23:00:00.000Z,regnskab,0.0,,2012-06-30,2011-07-01,12-265.607,2012-12-22T23:00:00.000Z,,,,,,,,,,,,,,,,,,,,
entity identifier,2011-07-01,2012-06-30,ID_15,http://regnskaber.virk.dk/63488141/Y3ZyLmRrOi8vcGRmcy8xNDE4ODQzNjtBcFMxODk3NTA7MjAxMTA3MDE7MjAxMjA2MzA7UjtS.pdf,http://regnskaber.virk.dk/63488141/Y3ZyLmRrOi8veGJybHMvWC0xQzlGM0NDRi0yMDEyMTIyMV8xNDU3NTdfNTE4.xml,"2900, Hellerup","c/o Kenneth Hou Jensen, Tuborg Havnepark 5, 1.th.","Frederiksberg, 2000","Guldborgvej 8, st.tv.",Til kapitalejerne i M.A.S.K. Holding ApS,PÃ¥tegning pÃ¥ Ã¥rsregnskabet,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 30. juni 2012 samt af resultatet af selskabets aktiviteter og pengestrÃ¸mme for regnskabsÃ¥ret 1. juli 2011 - 30. juni 2012.",1990-06-11,2012-12-19,Registreret revisor,3. Oplysninger om kapitalandele i tilknyttede og associerede virksomheder,27335616.0,14188436.0,27335616.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for 1. juli 2011 - 30. juni 2012 for M.A.S.K. Holding ApS.,"Vi har revideret Ã¥rsregnskabet for M.A.S.K. Holding ApS for regnskabsÃ¥ret 1. juli 2011 - 30. juni 2012, der omfatter anvendt regnskabspraksis, resultatopgÃ¸relse, balance og noter. Ãrsregnskabet udarbejdes efter Ã¥rsregnskabsloven.",,Ãrsrapport,Bent Bastian,Kenneth Hou Jensen,"Revisorerne Bastian og Krause, Registrerede Revisorer ApS",M.A.S.K. Holding ApS,"Revisorerne Bastian og Krause, Registrerede Revisorer ApS",,,,149621.0,,,2012-06-30,2011-07-01,2012-12-19,Frederiksberg,,urn:ofk:oid:10730804,indberetninger-20180424,2.5095992000000003,14188436.0,,2018-04-02T14:35:17.084Z,2012-12-22T23:00:00.000Z,regnskab,0.0,,2012-06-30,2011-07-01,12-265.607,2012-12-22T23:00:00.000Z,,,,,,,,,,,,,,,,,,,,
