entity,start_date,end_date,context,AARSRAPPORT_html,AARSRAPPORT_pdf,AARSRAPPORT_xml,AddressOfAuditorCountry,AddressOfAuditorCountryIdentificationCode,AddressOfAuditorDistrictName,AddressOfAuditorStreetBuildingIdentifier,AddressOfAuditorStreetName,AddressOfReportingEntityDistrictName,AddressOfReportingEntityPostCodeIdentifier,AddressOfReportingEntityStreetBuildingIdentifier,AddressOfReportingEntityStreetName,AddressOfSubmittingEnterprisePostcodeAndTown,AddressOfSubmittingEnterpriseStreetAndNumber,AddresseeOfAuditorsReportOnOtherReport,AuditorsReportsOtherReports,ClassOfReportingEntity,DateOfApprovalOfAnnualReport,DateOfGeneralMeeting,DepreciationAmortisationExpenseAndImpairmentLossesOfPropertyPlantAndEquipmentAndIntangibleAssetsRecognisedInProfitOrLoss,DescriptionOfAuditor,DisclosureOfContingentLiabilities,DisclosureOfMainActivitiesAndAccountingAndFinancialMatters,DisclosureOfMortgagesAndCollaterals,DisclosureOfOtherArrangementsNotRecognisedInBalanceSheet,EmployeeBenefitsExpense,ExtraordinaryProfitLossBeforeTax,GrossResult,IdentificationNumberCvrOfAuditFirm,IdentificationNumberCvrOfReportingEntity,IdentificationNumberPnrOfAuditFirm,InformationOnReportingClassOfEntity,InformationOnTypeOfSubmittedReport,NameAndSurnameOfAuditor,NameAndSurnameOfChairmanOfGeneralMeeting,NameAndSurnameOfMemberOfExecutiveBoard,NameOfReportingEntity,NameOfSubmittingEnterprise,OtherFinanceExpenses,OtherFinanceIncome,PlaceOfSignatureOfStatement,PrecedingReportingPeriodStartDate,PredingReportingPeriodEndDate,ProfitLoss,ProfitLossFromOrdinaryActivitiesBeforeTax,ProfitLossFromOrdinaryOperatingActivities,ReportingPeriodEndDate,ReportingPeriodStartDate,SignatureOfAuditorsDate,SignatureOfAuditorsPlace,TaxExpense,TypeOfAuditorAssistance,_id,_index,_score,cvrNummer,indlaesningsId,indlaesningsTidspunkt,offentliggoerelsesTidspunkt,offentliggoerelsestype,omgoerelse,regNummer,regnskabsperiode_slutDato,regnskabsperiode_startDato,sagsNummer,sidstOpdateret,Assets,CashAndCashEquivalents,ContributedCapital,CurrentAssets,DeferredIncomeAssets,DepositsLongtermInvestmentsAndReceivables,Equity,FixturesFittingsToolsAndEquipment,Goodwill,IntangibleAssets,LeaseholdImprovements,LiabilitiesAndEquity,LiabilitiesOtherThanProvisions,LongtermInvestmentsAndReceivables,NoncurrentAssets,OtherShorttermInvestments,OtherShorttermPayables,OtherShorttermReceivables,PlantAndMachinery,PropertyPlantAndEquipment,ProposedDividendRecognisedInEquity,Provisions,ProvisionsForDeferredTax,RetainedEarnings,ShorttermInvestments,ShorttermLiabilitiesOtherThanProvisions,ShorttermPayablesToShareholdersAndManagement,ShorttermReceivables,ShorttermTaxPayables,ShorttermTradePayables,ShorttermTradeReceivables,NameOfAuditFirm
31585309,2013-01-01,2013-12-31,c3,http://regnskaber.virk.dk/90358513/ZG9rdW1lbnRsYWdlcjovLzAzL2MwL2VmLzZkLzYwLzU0YzQtNDQ1My1iZDJjLWM5N2JhYmQ3ODFhMw.xhtml,http://regnskaber.virk.dk/90358513/ZG9rdW1lbnRsYWdlcjovLzAzLzczLzA1LzZkLzk1L2VkY2ItNDQzZi05MTQ1LTQwZGVlMmRhYjRlNA.pdf,http://regnskaber.virk.dk/90358513/ZG9rdW1lbnRsYWdlcjovLzAzL2I5LzI0LzE1L2E1L2ZiZGMtNDdhYS1hZTk1LTg2MzQwYWFjZjg3MA.xml,Danmark,DK,Roskilde,3.0,Vinkelvej,Herlev,2730.0,"2, 1.",Herlev Ringvej,4000 Roskilde,"Vinkelvej 3, 1.",Til den daglige ledelse i Troels SÃ¸rensen SpeciallÃ¦ge i Neurologi ApS,Revisors erklÃ¦ring om opstilling af Ã¥rsregnskab,Regnskabsklasse B,2015-04-30,2015-05-08,93386.0,Registreret Revisor FSR,"<p xmlns=""http://www.w3.org/1999/xhtml"">Ingen.</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">Selskabets vÃ¦sentligste aktiviteter omfatter speciallÃ¦gevirksomhed.</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">Ingen.</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">Ingen leasingforpligtelser.</p>",1678835.0,522960.0,2290885.0,28842562.0,31585309.0,1011407109.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Sten Elm,Troels SÃ¸rensen,Troels Thorkild SÃ¸rensen,TROELS SÃRENSEN SPECIALLÃGE I NEUROLOGI ApS,HR Revision - Kenneth Barrett ApS,6356.0,10652.0,Herlev,2013-01-01,2013-12-31,390974.0,522960.0,518664.0,2014-12-31,2014-01-01,2015-04-30,Roskilde,131986.0,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:5215940,indberetninger-20180424,2.5955422,31585309.0,,2018-03-30T09:39:48.019Z,2015-05-08T12:03:18.941Z,regnskab,0.0,,2014-12-31,2014-01-01,X15-AB-24-MZ,2015-05-08T12:03:18.982Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31585309,2013-01-01,2013-12-31,c5,http://regnskaber.virk.dk/90358513/ZG9rdW1lbnRsYWdlcjovLzAzL2MwL2VmLzZkLzYwLzU0YzQtNDQ1My1iZDJjLWM5N2JhYmQ3ODFhMw.xhtml,http://regnskaber.virk.dk/90358513/ZG9rdW1lbnRsYWdlcjovLzAzLzczLzA1LzZkLzk1L2VkY2ItNDQzZi05MTQ1LTQwZGVlMmRhYjRlNA.pdf,http://regnskaber.virk.dk/90358513/ZG9rdW1lbnRsYWdlcjovLzAzL2I5LzI0LzE1L2E1L2ZiZGMtNDdhYS1hZTk1LTg2MzQwYWFjZjg3MA.xml,Danmark,DK,Roskilde,3.0,Vinkelvej,Herlev,2730.0,"2, 1.",Herlev Ringvej,4000 Roskilde,"Vinkelvej 3, 1.",Til den daglige ledelse i Troels SÃ¸rensen SpeciallÃ¦ge i Neurologi ApS,Revisors erklÃ¦ring om opstilling af Ã¥rsregnskab,Regnskabsklasse B,2015-04-30,2015-05-08,,Registreret Revisor FSR,"<p xmlns=""http://www.w3.org/1999/xhtml"">Ingen.</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">Selskabets vÃ¦sentligste aktiviteter omfatter speciallÃ¦gevirksomhed.</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">Ingen.</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">Ingen leasingforpligtelser.</p>",,,,28842562.0,31585309.0,1011407109.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Sten Elm,Troels SÃ¸rensen,Troels Thorkild SÃ¸rensen,TROELS SÃRENSEN SPECIALLÃGE I NEUROLOGI ApS,HR Revision - Kenneth Barrett ApS,,,Herlev,2013-01-01,2013-12-31,98400.0,,,2014-12-31,2014-01-01,2015-04-30,Roskilde,,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:5215940,indberetninger-20180424,2.5955422,31585309.0,,2018-03-30T09:39:48.019Z,2015-05-08T12:03:18.941Z,regnskab,0.0,,2014-12-31,2014-01-01,X15-AB-24-MZ,2015-05-08T12:03:18.982Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31585309,2013-01-01,2013-12-31,c7,http://regnskaber.virk.dk/90358513/ZG9rdW1lbnRsYWdlcjovLzAzL2MwL2VmLzZkLzYwLzU0YzQtNDQ1My1iZDJjLWM5N2JhYmQ3ODFhMw.xhtml,http://regnskaber.virk.dk/90358513/ZG9rdW1lbnRsYWdlcjovLzAzLzczLzA1LzZkLzk1L2VkY2ItNDQzZi05MTQ1LTQwZGVlMmRhYjRlNA.pdf,http://regnskaber.virk.dk/90358513/ZG9rdW1lbnRsYWdlcjovLzAzL2I5LzI0LzE1L2E1L2ZiZGMtNDdhYS1hZTk1LTg2MzQwYWFjZjg3MA.xml,Danmark,DK,Roskilde,3.0,Vinkelvej,Herlev,2730.0,"2, 1.",Herlev Ringvej,4000 Roskilde,"Vinkelvej 3, 1.",Til den daglige ledelse i Troels SÃ¸rensen SpeciallÃ¦ge i Neurologi ApS,Revisors erklÃ¦ring om opstilling af Ã¥rsregnskab,Regnskabsklasse B,2015-04-30,2015-05-08,,Registreret Revisor FSR,"<p xmlns=""http://www.w3.org/1999/xhtml"">Ingen.</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">Selskabets vÃ¦sentligste aktiviteter omfatter speciallÃ¦gevirksomhed.</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">Ingen.</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">Ingen leasingforpligtelser.</p>",,,,28842562.0,31585309.0,1011407109.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Sten Elm,Troels SÃ¸rensen,Troels Thorkild SÃ¸rensen,TROELS SÃRENSEN SPECIALLÃGE I NEUROLOGI ApS,HR Revision - Kenneth Barrett ApS,,,Herlev,2013-01-01,2013-12-31,292574.0,,,2014-12-31,2014-01-01,2015-04-30,Roskilde,,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:5215940,indberetninger-20180424,2.5955422,31585309.0,,2018-03-30T09:39:48.019Z,2015-05-08T12:03:18.941Z,regnskab,0.0,,2014-12-31,2014-01-01,X15-AB-24-MZ,2015-05-08T12:03:18.982Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31585309,2013-12-31,2013-12-31,c9,http://regnskaber.virk.dk/90358513/ZG9rdW1lbnRsYWdlcjovLzAzL2MwL2VmLzZkLzYwLzU0YzQtNDQ1My1iZDJjLWM5N2JhYmQ3ODFhMw.xhtml,http://regnskaber.virk.dk/90358513/ZG9rdW1lbnRsYWdlcjovLzAzLzczLzA1LzZkLzk1L2VkY2ItNDQzZi05MTQ1LTQwZGVlMmRhYjRlNA.pdf,http://regnskaber.virk.dk/90358513/ZG9rdW1lbnRsYWdlcjovLzAzL2I5LzI0LzE1L2E1L2ZiZGMtNDdhYS1hZTk1LTg2MzQwYWFjZjg3MA.xml,Danmark,DK,Roskilde,3.0,Vinkelvej,Herlev,2730.0,"2, 1.",Herlev Ringvej,4000 Roskilde,"Vinkelvej 3, 1.",Til den daglige ledelse i Troels SÃ¸rensen SpeciallÃ¦ge i Neurologi ApS,Revisors erklÃ¦ring om opstilling af Ã¥rsregnskab,Regnskabsklasse B,2015-04-30,2015-05-08,,Registreret Revisor FSR,"<p xmlns=""http://www.w3.org/1999/xhtml"">Ingen.</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">Selskabets vÃ¦sentligste aktiviteter omfatter speciallÃ¦gevirksomhed.</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">Ingen.</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">Ingen leasingforpligtelser.</p>",,,,28842562.0,31585309.0,1011407109.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Sten Elm,Troels SÃ¸rensen,Troels Thorkild SÃ¸rensen,TROELS SÃRENSEN SPECIALLÃGE I NEUROLOGI ApS,HR Revision - Kenneth Barrett ApS,,,Herlev,2013-01-01,2013-12-31,,,,2014-12-31,2014-01-01,2015-04-30,Roskilde,,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:5215940,indberetninger-20180424,2.5955422,31585309.0,,2018-03-30T09:39:48.019Z,2015-05-08T12:03:18.941Z,regnskab,0.0,,2014-12-31,2014-01-01,X15-AB-24-MZ,2015-05-08T12:03:18.982Z,1756530.0,708144.0,125000.0,1463975.0,11189.0,64864.0,1409454.0,108810.0,0.0,0.0,0.0,1756530.0,347076.0,64864.0,292555.0,520158.0,244545.0,27579.0,118881.0,227691.0,98400.0,0.0,0.0,1186054.0,520158.0,347076.0,19521.0,235673.0,45875.0,37135.0,196905.0,
31585309,2014-01-01,2014-12-31,c0,http://regnskaber.virk.dk/90358513/ZG9rdW1lbnRsYWdlcjovLzAzL2MwL2VmLzZkLzYwLzU0YzQtNDQ1My1iZDJjLWM5N2JhYmQ3ODFhMw.xhtml,http://regnskaber.virk.dk/90358513/ZG9rdW1lbnRsYWdlcjovLzAzLzczLzA1LzZkLzk1L2VkY2ItNDQzZi05MTQ1LTQwZGVlMmRhYjRlNA.pdf,http://regnskaber.virk.dk/90358513/ZG9rdW1lbnRsYWdlcjovLzAzL2I5LzI0LzE1L2E1L2ZiZGMtNDdhYS1hZTk1LTg2MzQwYWFjZjg3MA.xml,Danmark,DK,Roskilde,3.0,Vinkelvej,Herlev,2730.0,"2, 1.",Herlev Ringvej,4000 Roskilde,"Vinkelvej 3, 1.",Til den daglige ledelse i Troels SÃ¸rensen SpeciallÃ¦ge i Neurologi ApS,Revisors erklÃ¦ring om opstilling af Ã¥rsregnskab,Regnskabsklasse B,2015-04-30,2015-05-08,116210.0,Registreret Revisor FSR,"<p xmlns=""http://www.w3.org/1999/xhtml"">Ingen.</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">Selskabets vÃ¦sentligste aktiviteter omfatter speciallÃ¦gevirksomhed.</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">Ingen.</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">Ingen leasingforpligtelser.</p>",1889472.0,239023.0,2202360.0,28842562.0,31585309.0,1011407109.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Sten Elm,Troels SÃ¸rensen,Troels Thorkild SÃ¸rensen,TROELS SÃRENSEN SPECIALLÃGE I NEUROLOGI ApS,HR Revision - Kenneth Barrett ApS,4169.0,46514.0,Herlev,2013-01-01,2013-12-31,179912.0,239023.0,196678.0,2014-12-31,2014-01-01,2015-04-30,Roskilde,59111.0,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:5215940,indberetninger-20180424,2.5955422,31585309.0,,2018-03-30T09:39:48.019Z,2015-05-08T12:03:18.941Z,regnskab,0.0,,2014-12-31,2014-01-01,X15-AB-24-MZ,2015-05-08T12:03:18.982Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31585309,2014-01-01,2014-12-31,c1,http://regnskaber.virk.dk/90358513/ZG9rdW1lbnRsYWdlcjovLzAzL2MwL2VmLzZkLzYwLzU0YzQtNDQ1My1iZDJjLWM5N2JhYmQ3ODFhMw.xhtml,http://regnskaber.virk.dk/90358513/ZG9rdW1lbnRsYWdlcjovLzAzLzczLzA1LzZkLzk1L2VkY2ItNDQzZi05MTQ1LTQwZGVlMmRhYjRlNA.pdf,http://regnskaber.virk.dk/90358513/ZG9rdW1lbnRsYWdlcjovLzAzL2I5LzI0LzE1L2E1L2ZiZGMtNDdhYS1hZTk1LTg2MzQwYWFjZjg3MA.xml,Danmark,DK,Roskilde,3.0,Vinkelvej,Herlev,2730.0,"2, 1.",Herlev Ringvej,4000 Roskilde,"Vinkelvej 3, 1.",Til den daglige ledelse i Troels SÃ¸rensen SpeciallÃ¦ge i Neurologi ApS,Revisors erklÃ¦ring om opstilling af Ã¥rsregnskab,Regnskabsklasse B,2015-04-30,2015-05-08,,Registreret Revisor FSR,"<p xmlns=""http://www.w3.org/1999/xhtml"">Ingen.</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">Selskabets vÃ¦sentligste aktiviteter omfatter speciallÃ¦gevirksomhed.</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">Ingen.</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">Ingen leasingforpligtelser.</p>",,,,28842562.0,31585309.0,1011407109.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Sten Elm,Troels SÃ¸rensen,Troels Thorkild SÃ¸rensen,TROELS SÃRENSEN SPECIALLÃGE I NEUROLOGI ApS,HR Revision - Kenneth Barrett ApS,,,Herlev,2013-01-01,2013-12-31,,,,2014-12-31,2014-01-01,2015-04-30,Roskilde,,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:5215940,indberetninger-20180424,2.5955422,31585309.0,,2018-03-30T09:39:48.019Z,2015-05-08T12:03:18.941Z,regnskab,0.0,,2014-12-31,2014-01-01,X15-AB-24-MZ,2015-05-08T12:03:18.982Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HR REVISION - KENNETH BARRETT ApS
31585309,2014-01-01,2014-12-31,c2,http://regnskaber.virk.dk/90358513/ZG9rdW1lbnRsYWdlcjovLzAzL2MwL2VmLzZkLzYwLzU0YzQtNDQ1My1iZDJjLWM5N2JhYmQ3ODFhMw.xhtml,http://regnskaber.virk.dk/90358513/ZG9rdW1lbnRsYWdlcjovLzAzLzczLzA1LzZkLzk1L2VkY2ItNDQzZi05MTQ1LTQwZGVlMmRhYjRlNA.pdf,http://regnskaber.virk.dk/90358513/ZG9rdW1lbnRsYWdlcjovLzAzL2I5LzI0LzE1L2E1L2ZiZGMtNDdhYS1hZTk1LTg2MzQwYWFjZjg3MA.xml,Danmark,DK,Roskilde,3.0,Vinkelvej,Herlev,2730.0,"2, 1.",Herlev Ringvej,4000 Roskilde,"Vinkelvej 3, 1.",Til den daglige ledelse i Troels SÃ¸rensen SpeciallÃ¦ge i Neurologi ApS,Revisors erklÃ¦ring om opstilling af Ã¥rsregnskab,Regnskabsklasse B,2015-04-30,2015-05-08,,Registreret Revisor FSR,"<p xmlns=""http://www.w3.org/1999/xhtml"">Ingen.</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">Selskabets vÃ¦sentligste aktiviteter omfatter speciallÃ¦gevirksomhed.</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">Ingen.</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">Ingen leasingforpligtelser.</p>",,,,28842562.0,31585309.0,1011407109.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Sten Elm,Troels SÃ¸rensen,Troels Thorkild SÃ¸rensen,TROELS SÃRENSEN SPECIALLÃGE I NEUROLOGI ApS,HR Revision - Kenneth Barrett ApS,,,Herlev,2013-01-01,2013-12-31,,,,2014-12-31,2014-01-01,2015-04-30,Roskilde,,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:5215940,indberetninger-20180424,2.5955422,31585309.0,,2018-03-30T09:39:48.019Z,2015-05-08T12:03:18.941Z,regnskab,0.0,,2014-12-31,2014-01-01,X15-AB-24-MZ,2015-05-08T12:03:18.982Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31585309,2014-01-01,2014-12-31,c4,http://regnskaber.virk.dk/90358513/ZG9rdW1lbnRsYWdlcjovLzAzL2MwL2VmLzZkLzYwLzU0YzQtNDQ1My1iZDJjLWM5N2JhYmQ3ODFhMw.xhtml,http://regnskaber.virk.dk/90358513/ZG9rdW1lbnRsYWdlcjovLzAzLzczLzA1LzZkLzk1L2VkY2ItNDQzZi05MTQ1LTQwZGVlMmRhYjRlNA.pdf,http://regnskaber.virk.dk/90358513/ZG9rdW1lbnRsYWdlcjovLzAzL2I5LzI0LzE1L2E1L2ZiZGMtNDdhYS1hZTk1LTg2MzQwYWFjZjg3MA.xml,Danmark,DK,Roskilde,3.0,Vinkelvej,Herlev,2730.0,"2, 1.",Herlev Ringvej,4000 Roskilde,"Vinkelvej 3, 1.",Til den daglige ledelse i Troels SÃ¸rensen SpeciallÃ¦ge i Neurologi ApS,Revisors erklÃ¦ring om opstilling af Ã¥rsregnskab,Regnskabsklasse B,2015-04-30,2015-05-08,,Registreret Revisor FSR,"<p xmlns=""http://www.w3.org/1999/xhtml"">Ingen.</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">Selskabets vÃ¦sentligste aktiviteter omfatter speciallÃ¦gevirksomhed.</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">Ingen.</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">Ingen leasingforpligtelser.</p>",,,,28842562.0,31585309.0,1011407109.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Sten Elm,Troels SÃ¸rensen,Troels Thorkild SÃ¸rensen,TROELS SÃRENSEN SPECIALLÃGE I NEUROLOGI ApS,HR Revision - Kenneth Barrett ApS,,,Herlev,2013-01-01,2013-12-31,99800.0,,,2014-12-31,2014-01-01,2015-04-30,Roskilde,,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:5215940,indberetninger-20180424,2.5955422,31585309.0,,2018-03-30T09:39:48.019Z,2015-05-08T12:03:18.941Z,regnskab,0.0,,2014-12-31,2014-01-01,X15-AB-24-MZ,2015-05-08T12:03:18.982Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31585309,2014-01-01,2014-12-31,c6,http://regnskaber.virk.dk/90358513/ZG9rdW1lbnRsYWdlcjovLzAzL2MwL2VmLzZkLzYwLzU0YzQtNDQ1My1iZDJjLWM5N2JhYmQ3ODFhMw.xhtml,http://regnskaber.virk.dk/90358513/ZG9rdW1lbnRsYWdlcjovLzAzLzczLzA1LzZkLzk1L2VkY2ItNDQzZi05MTQ1LTQwZGVlMmRhYjRlNA.pdf,http://regnskaber.virk.dk/90358513/ZG9rdW1lbnRsYWdlcjovLzAzL2I5LzI0LzE1L2E1L2ZiZGMtNDdhYS1hZTk1LTg2MzQwYWFjZjg3MA.xml,Danmark,DK,Roskilde,3.0,Vinkelvej,Herlev,2730.0,"2, 1.",Herlev Ringvej,4000 Roskilde,"Vinkelvej 3, 1.",Til den daglige ledelse i Troels SÃ¸rensen SpeciallÃ¦ge i Neurologi ApS,Revisors erklÃ¦ring om opstilling af Ã¥rsregnskab,Regnskabsklasse B,2015-04-30,2015-05-08,,Registreret Revisor FSR,"<p xmlns=""http://www.w3.org/1999/xhtml"">Ingen.</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">Selskabets vÃ¦sentligste aktiviteter omfatter speciallÃ¦gevirksomhed.</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">Ingen.</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">Ingen leasingforpligtelser.</p>",,,,28842562.0,31585309.0,1011407109.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Sten Elm,Troels SÃ¸rensen,Troels Thorkild SÃ¸rensen,TROELS SÃRENSEN SPECIALLÃGE I NEUROLOGI ApS,HR Revision - Kenneth Barrett ApS,,,Herlev,2013-01-01,2013-12-31,80112.0,,,2014-12-31,2014-01-01,2015-04-30,Roskilde,,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:5215940,indberetninger-20180424,2.5955422,31585309.0,,2018-03-30T09:39:48.019Z,2015-05-08T12:03:18.941Z,regnskab,0.0,,2014-12-31,2014-01-01,X15-AB-24-MZ,2015-05-08T12:03:18.982Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31585309,2014-12-31,2014-12-31,c8,http://regnskaber.virk.dk/90358513/ZG9rdW1lbnRsYWdlcjovLzAzL2MwL2VmLzZkLzYwLzU0YzQtNDQ1My1iZDJjLWM5N2JhYmQ3ODFhMw.xhtml,http://regnskaber.virk.dk/90358513/ZG9rdW1lbnRsYWdlcjovLzAzLzczLzA1LzZkLzk1L2VkY2ItNDQzZi05MTQ1LTQwZGVlMmRhYjRlNA.pdf,http://regnskaber.virk.dk/90358513/ZG9rdW1lbnRsYWdlcjovLzAzL2I5LzI0LzE1L2E1L2ZiZGMtNDdhYS1hZTk1LTg2MzQwYWFjZjg3MA.xml,Danmark,DK,Roskilde,3.0,Vinkelvej,Herlev,2730.0,"2, 1.",Herlev Ringvej,4000 Roskilde,"Vinkelvej 3, 1.",Til den daglige ledelse i Troels SÃ¸rensen SpeciallÃ¦ge i Neurologi ApS,Revisors erklÃ¦ring om opstilling af Ã¥rsregnskab,Regnskabsklasse B,2015-04-30,2015-05-08,,Registreret Revisor FSR,"<p xmlns=""http://www.w3.org/1999/xhtml"">Ingen.</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">Selskabets vÃ¦sentligste aktiviteter omfatter speciallÃ¦gevirksomhed.</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">Ingen.</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">Ingen leasingforpligtelser.</p>",,,,28842562.0,31585309.0,1011407109.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Sten Elm,Troels SÃ¸rensen,Troels Thorkild SÃ¸rensen,TROELS SÃRENSEN SPECIALLÃGE I NEUROLOGI ApS,HR Revision - Kenneth Barrett ApS,,,Herlev,2013-01-01,2013-12-31,,,,2014-12-31,2014-01-01,2015-04-30,Roskilde,,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:5215940,indberetninger-20180424,2.5955422,31585309.0,,2018-03-30T09:39:48.019Z,2015-05-08T12:03:18.941Z,regnskab,0.0,,2014-12-31,2014-01-01,X15-AB-24-MZ,2015-05-08T12:03:18.982Z,1833660.0,245467.0,125000.0,1377849.0,12400.0,65358.0,1490966.0,96190.0,0.0,0.0,0.0,1833660.0,341550.0,65358.0,455811.0,857379.0,283455.0,49176.0,294263.0,390453.0,99800.0,1144.0,1144.0,1266166.0,857379.0,341550.0,25027.0,275003.0,0.0,33068.0,213427.0,
