entity,start_date,end_date,context,AARSRAPPORT_html,AARSRAPPORT_pdf,AARSRAPPORT_xml,AccountingPoliciesAreUnchangedFromPreviousPeriod,AddressOfAuditorDistrictName,AddressOfAuditorPostCodeIdentifier,AddressOfAuditorStreetBuildingIdentifier,AddressOfAuditorStreetName,AddressOfFinancialDistrictName,AddressOfFinancialPostCodeIdentifier,AddressOfFinancialStreetBuildingIdentifier,AddressOfFinancialStreetName,AddressOfReportingEntityPostCodeIdentifier,AddressOfReportingEntityStreetName,AddressOfSubmittingEnterprisePostcodeAndTown,AddressOfSubmittingEnterpriseStreetAndNumber,AddresseeOfAuditorsReportOnOtherReport,AdjustmentsForCurrentTaxOfPriorPeriod,AdjustmentsForDeferredTax,AverageNumberOfEmployees,ClassOfReportingEntity,ConfirmationThatAnnualReportIsPresentedInAccordanceWithRequirementsProvidedForByLegislationAnyStandardsAndRequirementsProvidedByArticlesOfAssociationOrByAgreement,ConfirmationThatFinancialStatementGivesTrueAndFairViewOfAssetsLiabilitiesEquityFinancialPositionAndResults,ConfirmationThatFinancialStatementsAreExemptedFromAuditing,DateOfApprovalOfAnnualReport,DateOfFoundationOfReportingEntity,DateOfGeneralMeeting,DepreciationAmortisationExpenseAndImpairmentLossesOfPropertyPlantAndEquipmentAndIntangibleAssetsRecognisedInProfitOrLoss,DescriptionOfAuditor,GrossProfitLoss,IdentificationNumberCvrOfAuditFirm,IdentificationNumberCvrOfReportingEntity,IdentificationNumberCvrOfSubmittingEnterprise,IdentificationNumberOfAuditor,IdentificationOfApprovedAnnualReport,InformationOnTypeOfSubmittedReport,ManagementsStatementAboutManagementsReview,NameAndSurnameOfAuditor,NameAndSurnameOfChairmanOfGeneralMeeting,NameAndSurnameOfMemberOfExecutiveBoard,NameOfFinancialInstitution,NameOfReportingEntity,NameOfSubmittingEnterprise,OtherFinanceExpenses,OtherFinanceIncome,PlaceOfSignatureOfStatement,PrecedingReportingPeriodStartDate,PredingReportingPeriodEndDate,ProfitLoss,ProfitLossFromOrdinaryActivitiesBeforeTax,ProfitLossFromOrdinaryOperatingActivities,RecommendationForApprovalOfAnnualReportByGeneralMeeting,RegisteredOfficeOfReportingEntity,ReportingPeriodEndDate,ReportingPeriodNumber,ReportingPeriodStartDate,SelectedElementsFromReportingClassC,SignatureOfAuditorsDate,SignatureOfAuditorsPlace,TaxExpenseOnOrdinaryActivities,_id,_index,_score,cvrNummer,indlaesningsId,indlaesningsTidspunkt,offentliggoerelsesTidspunkt,offentliggoerelsestype,omgoerelse,regNummer,regnskabsperiode_slutDato,regnskabsperiode_startDato,sagsNummer,sidstOpdateret,Assets,CashAndCashEquivalents,ContributedCapital,CurrentDeferredTaxAssets,DeferredIncomeAssets,Equity,LiabilitiesAndEquity,LiabilitiesOtherThanProvisions,LongtermInvestmentsAndReceivables,LongtermInvestmentsInAssociates,NoncurrentAssets,OtherLongtermInvestments,OtherShorttermInvestments,OtherShorttermPayables,OtherShorttermReceivables,RetainedEarnings,ShorttermInvestments,ShorttermLiabilitiesOtherThanProvisions,ShorttermReceivables,ShorttermTaxPayables,ShorttermTradePayables,NameOfAuditFirm,TypeOfAuditorAssistance
26864631,2016-01-01,2016-12-31,c174,,http://regnskaber.virk.dk/13646862/ZG9rdW1lbnRsYWdlcjovLzAzLzQzL2M4LzNkLzY0L2QxN2QtNDBjOC05NWUwLWIyMTY5ZjQwNjY0Ng.pdf,http://regnskaber.virk.dk/13646862/ZG9rdW1lbnRsYWdlcjovLzAzLzBkL2QxLzY3LzI0L2JjNjAtNGZjOC04MDg4LWNhYzNlYmM0MzdkOQ.xml,true,BrÃ¸nderslev,9700.0,10.0,Torvet,Aalborg,9000.0,15.0,Prinsensgade,9220 Aalborg Ãst,Lemvigvej 77,DK-9700 BrÃ¸nderslev,Torvet 10,Til kapitalejeren i K3 Invest ApS,-5684.0,110074.0,1.0,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er min opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2017 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar - 31. december 2017.",Direktionen anser fortsat betingelserne for at undlade revision for opfyldte.,2018-05-17,2002-11-05,2018-05-17,3638.0,Statsautoriseret revisor,-32736.0,20222670.0,26864631.0,20222670.0,mne35391,Direktionen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar - 31. december 2017 for K3 Invest ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Jacob Rask,Kim Krogh Kristensen,Kim Krogh Kristensen,Nordea Bank,K3 Invest ApS,BDO Statsautoriseret revisionsaktieselskab,1760542.0,5154.0,Aalborg,2016-01-01,2016-12-31,-1896152.0,-1791762.0,-36374.0,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,Aalborg,2017-12-31,15.0,2017-01-01,true,2018-05-17,BrÃ¸nderslev,104390.0,urn:ofk:oid:25505877,indberetninger-20180424,2.5122902000000003,26864631.0,AWOHtF7Cx8uVRSOdgtn3,2018-05-22T11:56:26.755Z,2018-05-22T11:55:31.408Z,regnskab,0.0,,2017-12-31,2017-01-01,X18-AM-18-KJ,2018-05-22T11:55:31.564Z,,,,,,,,,,,,,,,,,,,,,,,
26864631,2016-01-01,2016-12-31,c195,,http://regnskaber.virk.dk/13646862/ZG9rdW1lbnRsYWdlcjovLzAzLzQzL2M4LzNkLzY0L2QxN2QtNDBjOC05NWUwLWIyMTY5ZjQwNjY0Ng.pdf,http://regnskaber.virk.dk/13646862/ZG9rdW1lbnRsYWdlcjovLzAzLzBkL2QxLzY3LzI0L2JjNjAtNGZjOC04MDg4LWNhYzNlYmM0MzdkOQ.xml,true,BrÃ¸nderslev,9700.0,10.0,Torvet,Aalborg,9000.0,15.0,Prinsensgade,9220 Aalborg Ãst,Lemvigvej 77,DK-9700 BrÃ¸nderslev,Torvet 10,Til kapitalejeren i K3 Invest ApS,,,,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er min opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2017 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar - 31. december 2017.",Direktionen anser fortsat betingelserne for at undlade revision for opfyldte.,2018-05-17,2002-11-05,2018-05-17,,Statsautoriseret revisor,,20222670.0,26864631.0,20222670.0,mne35391,Direktionen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar - 31. december 2017 for K3 Invest ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Jacob Rask,Kim Krogh Kristensen,Kim Krogh Kristensen,Nordea Bank,K3 Invest ApS,BDO Statsautoriseret revisionsaktieselskab,,,Aalborg,2016-01-01,2016-12-31,-1896152.0,,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,Aalborg,2017-12-31,15.0,2017-01-01,true,2018-05-17,BrÃ¸nderslev,,urn:ofk:oid:25505877,indberetninger-20180424,2.5122902000000003,26864631.0,AWOHtF7Cx8uVRSOdgtn3,2018-05-22T11:56:26.755Z,2018-05-22T11:55:31.408Z,regnskab,0.0,,2017-12-31,2017-01-01,X18-AM-18-KJ,2018-05-22T11:55:31.564Z,,,,,,,,,,,,,,,,,,,,,,,
26864631,2016-12-31,2016-12-31,c172,,http://regnskaber.virk.dk/13646862/ZG9rdW1lbnRsYWdlcjovLzAzLzQzL2M4LzNkLzY0L2QxN2QtNDBjOC05NWUwLWIyMTY5ZjQwNjY0Ng.pdf,http://regnskaber.virk.dk/13646862/ZG9rdW1lbnRsYWdlcjovLzAzLzBkL2QxLzY3LzI0L2JjNjAtNGZjOC04MDg4LWNhYzNlYmM0MzdkOQ.xml,true,BrÃ¸nderslev,9700.0,10.0,Torvet,Aalborg,9000.0,15.0,Prinsensgade,9220 Aalborg Ãst,Lemvigvej 77,DK-9700 BrÃ¸nderslev,Torvet 10,Til kapitalejeren i K3 Invest ApS,,,,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er min opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2017 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar - 31. december 2017.",Direktionen anser fortsat betingelserne for at undlade revision for opfyldte.,2018-05-17,2002-11-05,2018-05-17,,Statsautoriseret revisor,,20222670.0,26864631.0,20222670.0,mne35391,Direktionen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar - 31. december 2017 for K3 Invest ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Jacob Rask,Kim Krogh Kristensen,Kim Krogh Kristensen,Nordea Bank,K3 Invest ApS,BDO Statsautoriseret revisionsaktieselskab,,,Aalborg,2016-01-01,2016-12-31,,,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,Aalborg,2017-12-31,15.0,2017-01-01,true,2018-05-17,BrÃ¸nderslev,,urn:ofk:oid:25505877,indberetninger-20180424,2.5122902000000003,26864631.0,AWOHtF7Cx8uVRSOdgtn3,2018-05-22T11:56:26.755Z,2018-05-22T11:55:31.408Z,regnskab,0.0,,2017-12-31,2017-01-01,X18-AM-18-KJ,2018-05-22T11:55:31.564Z,3589921.0,927618.0,125000.0,5684.0,0.0,3430458.0,3589921.0,159463.0,2467520.0,728964.0,2467520.0,1738556.0,189099.0,38767.0,0.0,3305458.0,189099.0,159463.0,5684.0,111946.0,8750.0,,
26864631,2017-01-01,2017-01-01,c226,,http://regnskaber.virk.dk/13646862/ZG9rdW1lbnRsYWdlcjovLzAzLzQzL2M4LzNkLzY0L2QxN2QtNDBjOC05NWUwLWIyMTY5ZjQwNjY0Ng.pdf,http://regnskaber.virk.dk/13646862/ZG9rdW1lbnRsYWdlcjovLzAzLzBkL2QxLzY3LzI0L2JjNjAtNGZjOC04MDg4LWNhYzNlYmM0MzdkOQ.xml,true,BrÃ¸nderslev,9700.0,10.0,Torvet,Aalborg,9000.0,15.0,Prinsensgade,9220 Aalborg Ãst,Lemvigvej 77,DK-9700 BrÃ¸nderslev,Torvet 10,Til kapitalejeren i K3 Invest ApS,,,,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er min opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2017 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar - 31. december 2017.",Direktionen anser fortsat betingelserne for at undlade revision for opfyldte.,2018-05-17,2002-11-05,2018-05-17,,Statsautoriseret revisor,,20222670.0,26864631.0,20222670.0,mne35391,Direktionen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar - 31. december 2017 for K3 Invest ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Jacob Rask,Kim Krogh Kristensen,Kim Krogh Kristensen,Nordea Bank,K3 Invest ApS,BDO Statsautoriseret revisionsaktieselskab,,,Aalborg,2016-01-01,2016-12-31,,,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,Aalborg,2017-12-31,15.0,2017-01-01,true,2018-05-17,BrÃ¸nderslev,,urn:ofk:oid:25505877,indberetninger-20180424,2.5122902000000003,26864631.0,AWOHtF7Cx8uVRSOdgtn3,2018-05-22T11:56:26.755Z,2018-05-22T11:55:31.408Z,regnskab,0.0,,2017-12-31,2017-01-01,X18-AM-18-KJ,2018-05-22T11:55:31.564Z,,,,,,125000.0,,,,,,,,,,,,,,,,,
26864631,2017-01-01,2017-01-01,c253,,http://regnskaber.virk.dk/13646862/ZG9rdW1lbnRsYWdlcjovLzAzLzQzL2M4LzNkLzY0L2QxN2QtNDBjOC05NWUwLWIyMTY5ZjQwNjY0Ng.pdf,http://regnskaber.virk.dk/13646862/ZG9rdW1lbnRsYWdlcjovLzAzLzBkL2QxLzY3LzI0L2JjNjAtNGZjOC04MDg4LWNhYzNlYmM0MzdkOQ.xml,true,BrÃ¸nderslev,9700.0,10.0,Torvet,Aalborg,9000.0,15.0,Prinsensgade,9220 Aalborg Ãst,Lemvigvej 77,DK-9700 BrÃ¸nderslev,Torvet 10,Til kapitalejeren i K3 Invest ApS,,,,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er min opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2017 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar - 31. december 2017.",Direktionen anser fortsat betingelserne for at undlade revision for opfyldte.,2018-05-17,2002-11-05,2018-05-17,,Statsautoriseret revisor,,20222670.0,26864631.0,20222670.0,mne35391,Direktionen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar - 31. december 2017 for K3 Invest ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Jacob Rask,Kim Krogh Kristensen,Kim Krogh Kristensen,Nordea Bank,K3 Invest ApS,BDO Statsautoriseret revisionsaktieselskab,,,Aalborg,2016-01-01,2016-12-31,,,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,Aalborg,2017-12-31,15.0,2017-01-01,true,2018-05-17,BrÃ¸nderslev,,urn:ofk:oid:25505877,indberetninger-20180424,2.5122902000000003,26864631.0,AWOHtF7Cx8uVRSOdgtn3,2018-05-22T11:56:26.755Z,2018-05-22T11:55:31.408Z,regnskab,0.0,,2017-12-31,2017-01-01,X18-AM-18-KJ,2018-05-22T11:55:31.564Z,,,,,,3305458.0,,,,,,,,,,,,,,,,,
26864631,2017-01-01,2017-12-31,c173,,http://regnskaber.virk.dk/13646862/ZG9rdW1lbnRsYWdlcjovLzAzLzQzL2M4LzNkLzY0L2QxN2QtNDBjOC05NWUwLWIyMTY5ZjQwNjY0Ng.pdf,http://regnskaber.virk.dk/13646862/ZG9rdW1lbnRsYWdlcjovLzAzLzBkL2QxLzY3LzI0L2JjNjAtNGZjOC04MDg4LWNhYzNlYmM0MzdkOQ.xml,true,BrÃ¸nderslev,9700.0,10.0,Torvet,Aalborg,9000.0,15.0,Prinsensgade,9220 Aalborg Ãst,Lemvigvej 77,DK-9700 BrÃ¸nderslev,Torvet 10,Til kapitalejeren i K3 Invest ApS,-5550.0,0.0,1.0,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er min opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2017 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar - 31. december 2017.",Direktionen anser fortsat betingelserne for at undlade revision for opfyldte.,2018-05-17,2002-11-05,2018-05-17,0.0,Statsautoriseret revisor,-21381.0,20222670.0,26864631.0,20222670.0,mne35391,Direktionen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar - 31. december 2017 for K3 Invest ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Jacob Rask,Kim Krogh Kristensen,Kim Krogh Kristensen,Nordea Bank,K3 Invest ApS,BDO Statsautoriseret revisionsaktieselskab,25550.0,-1612.0,Aalborg,2016-01-01,2016-12-31,-42993.0,-48543.0,-21381.0,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,Aalborg,2017-12-31,15.0,2017-01-01,true,2018-05-17,BrÃ¸nderslev,-5550.0,urn:ofk:oid:25505877,indberetninger-20180424,2.5122902000000003,26864631.0,AWOHtF7Cx8uVRSOdgtn3,2018-05-22T11:56:26.755Z,2018-05-22T11:55:31.408Z,regnskab,0.0,,2017-12-31,2017-01-01,X18-AM-18-KJ,2018-05-22T11:55:31.564Z,,,,,,,,,,,,,,,,,,,,,,BDO Statsautoriseret revisionsaktieselskab,Andre erklÃ¦ringer uden sikkerhed
26864631,2017-01-01,2017-12-31,c194,,http://regnskaber.virk.dk/13646862/ZG9rdW1lbnRsYWdlcjovLzAzLzQzL2M4LzNkLzY0L2QxN2QtNDBjOC05NWUwLWIyMTY5ZjQwNjY0Ng.pdf,http://regnskaber.virk.dk/13646862/ZG9rdW1lbnRsYWdlcjovLzAzLzBkL2QxLzY3LzI0L2JjNjAtNGZjOC04MDg4LWNhYzNlYmM0MzdkOQ.xml,true,BrÃ¸nderslev,9700.0,10.0,Torvet,Aalborg,9000.0,15.0,Prinsensgade,9220 Aalborg Ãst,Lemvigvej 77,DK-9700 BrÃ¸nderslev,Torvet 10,Til kapitalejeren i K3 Invest ApS,,,,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er min opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2017 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar - 31. december 2017.",Direktionen anser fortsat betingelserne for at undlade revision for opfyldte.,2018-05-17,2002-11-05,2018-05-17,,Statsautoriseret revisor,,20222670.0,26864631.0,20222670.0,mne35391,Direktionen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar - 31. december 2017 for K3 Invest ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Jacob Rask,Kim Krogh Kristensen,Kim Krogh Kristensen,Nordea Bank,K3 Invest ApS,BDO Statsautoriseret revisionsaktieselskab,,,Aalborg,2016-01-01,2016-12-31,-42993.0,,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,Aalborg,2017-12-31,15.0,2017-01-01,true,2018-05-17,BrÃ¸nderslev,,urn:ofk:oid:25505877,indberetninger-20180424,2.5122902000000003,26864631.0,AWOHtF7Cx8uVRSOdgtn3,2018-05-22T11:56:26.755Z,2018-05-22T11:55:31.408Z,regnskab,0.0,,2017-12-31,2017-01-01,X18-AM-18-KJ,2018-05-22T11:55:31.564Z,,,,,,,,,,,,,,,,,,,,,,,
26864631,2017-01-01,2017-12-31,c254,,http://regnskaber.virk.dk/13646862/ZG9rdW1lbnRsYWdlcjovLzAzLzQzL2M4LzNkLzY0L2QxN2QtNDBjOC05NWUwLWIyMTY5ZjQwNjY0Ng.pdf,http://regnskaber.virk.dk/13646862/ZG9rdW1lbnRsYWdlcjovLzAzLzBkL2QxLzY3LzI0L2JjNjAtNGZjOC04MDg4LWNhYzNlYmM0MzdkOQ.xml,true,BrÃ¸nderslev,9700.0,10.0,Torvet,Aalborg,9000.0,15.0,Prinsensgade,9220 Aalborg Ãst,Lemvigvej 77,DK-9700 BrÃ¸nderslev,Torvet 10,Til kapitalejeren i K3 Invest ApS,,,,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er min opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2017 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar - 31. december 2017.",Direktionen anser fortsat betingelserne for at undlade revision for opfyldte.,2018-05-17,2002-11-05,2018-05-17,,Statsautoriseret revisor,,20222670.0,26864631.0,20222670.0,mne35391,Direktionen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar - 31. december 2017 for K3 Invest ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Jacob Rask,Kim Krogh Kristensen,Kim Krogh Kristensen,Nordea Bank,K3 Invest ApS,BDO Statsautoriseret revisionsaktieselskab,,,Aalborg,2016-01-01,2016-12-31,-42993.0,,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,Aalborg,2017-12-31,15.0,2017-01-01,true,2018-05-17,BrÃ¸nderslev,,urn:ofk:oid:25505877,indberetninger-20180424,2.5122902000000003,26864631.0,AWOHtF7Cx8uVRSOdgtn3,2018-05-22T11:56:26.755Z,2018-05-22T11:55:31.408Z,regnskab,0.0,,2017-12-31,2017-01-01,X18-AM-18-KJ,2018-05-22T11:55:31.564Z,,,,,,,,,,,,,,,,,,,,,,,
26864631,2017-01-01,2017-12-31,c305,,http://regnskaber.virk.dk/13646862/ZG9rdW1lbnRsYWdlcjovLzAzLzQzL2M4LzNkLzY0L2QxN2QtNDBjOC05NWUwLWIyMTY5ZjQwNjY0Ng.pdf,http://regnskaber.virk.dk/13646862/ZG9rdW1lbnRsYWdlcjovLzAzLzBkL2QxLzY3LzI0L2JjNjAtNGZjOC04MDg4LWNhYzNlYmM0MzdkOQ.xml,true,BrÃ¸nderslev,9700.0,10.0,Torvet,Aalborg,9000.0,15.0,Prinsensgade,9220 Aalborg Ãst,Lemvigvej 77,DK-9700 BrÃ¸nderslev,Torvet 10,Til kapitalejeren i K3 Invest ApS,,,,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er min opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2017 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar - 31. december 2017.",Direktionen anser fortsat betingelserne for at undlade revision for opfyldte.,2018-05-17,2002-11-05,2018-05-17,,Statsautoriseret revisor,,20222670.0,26864631.0,20222670.0,mne35391,Direktionen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar - 31. december 2017 for K3 Invest ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Jacob Rask,Kim Krogh Kristensen,Kim Krogh Kristensen,Nordea Bank,K3 Invest ApS,BDO Statsautoriseret revisionsaktieselskab,,,Aalborg,2016-01-01,2016-12-31,,,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,Aalborg,2017-12-31,15.0,2017-01-01,true,2018-05-17,BrÃ¸nderslev,,urn:ofk:oid:25505877,indberetninger-20180424,2.5122902000000003,26864631.0,AWOHtF7Cx8uVRSOdgtn3,2018-05-22T11:56:26.755Z,2018-05-22T11:55:31.408Z,regnskab,0.0,,2017-12-31,2017-01-01,X18-AM-18-KJ,2018-05-22T11:55:31.564Z,,,,,,,,,,,,,,,,,,,,,,BDO Statsautoriseret revisionsaktieselskab,
26864631,2017-01-01,2017-12-31,c637,,http://regnskaber.virk.dk/13646862/ZG9rdW1lbnRsYWdlcjovLzAzLzQzL2M4LzNkLzY0L2QxN2QtNDBjOC05NWUwLWIyMTY5ZjQwNjY0Ng.pdf,http://regnskaber.virk.dk/13646862/ZG9rdW1lbnRsYWdlcjovLzAzLzBkL2QxLzY3LzI0L2JjNjAtNGZjOC04MDg4LWNhYzNlYmM0MzdkOQ.xml,true,BrÃ¸nderslev,9700.0,10.0,Torvet,Aalborg,9000.0,15.0,Prinsensgade,9220 Aalborg Ãst,Lemvigvej 77,DK-9700 BrÃ¸nderslev,Torvet 10,Til kapitalejeren i K3 Invest ApS,,,,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er min opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2017 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar - 31. december 2017.",Direktionen anser fortsat betingelserne for at undlade revision for opfyldte.,2018-05-17,2002-11-05,2018-05-17,,Statsautoriseret revisor,,20222670.0,26864631.0,20222670.0,mne35391,Direktionen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar - 31. december 2017 for K3 Invest ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Jacob Rask,Kim Krogh Kristensen,Kim Krogh Kristensen,Nordea Bank,K3 Invest ApS,BDO Statsautoriseret revisionsaktieselskab,,,Aalborg,2016-01-01,2016-12-31,,,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,Aalborg,2017-12-31,15.0,2017-01-01,true,2018-05-17,BrÃ¸nderslev,,urn:ofk:oid:25505877,indberetninger-20180424,2.5122902000000003,26864631.0,AWOHtF7Cx8uVRSOdgtn3,2018-05-22T11:56:26.755Z,2018-05-22T11:55:31.408Z,regnskab,0.0,,2017-12-31,2017-01-01,X18-AM-18-KJ,2018-05-22T11:55:31.564Z,,,,,,,,,,,,,,,,,,,,,,,
