entity,start_date,end_date,context,AARSRAPPORT_html,AARSRAPPORT_pdf,AARSRAPPORT_xml,AddressOfAuditorCountry,AddressOfAuditorDistrictName,AddressOfAuditorPostCodeIdentifier,AddressOfAuditorStreetBuildingIdentifier,AddressOfAuditorStreetName,AddressOfReportingEntityDistrictName,AddressOfReportingEntityPostCodeIdentifier,AddressOfReportingEntityStreetBuildingIdentifier,AddressOfReportingEntityStreetName,AddressOfSubmittingEnterprisePostcodeAndTown,AddressOfSubmittingEnterpriseStreetAndNumber,ClassOfReportingEntity,DateOfApprovalOfAnnualReport,DateOfGeneralMeeting,DescriptionOfAuditor,Equity,IdentificationNumberCvrOfAuditFirm,IdentificationNumberCvrOfReportingEntity,InformationOnTypeOfSubmittedReport,InvestmentsGross,LongtermLiabilitiesOtherThanProvisionsDueAfterFiveYearsAndMore,NameAndSurnameOfAuditor,NameAndSurnameOfChairmanOfGeneralMeeting,NameAndSurnameOfMemberOfExecutiveBoard,NameOfAuditFirm,NameOfReportingEntity,NameOfSubmittingEnterprise,RegisteredOfficeOfReportingEntity,ReportingPeriodEndDate,ReportingPeriodStartDate,SignatureOfAuditorsDate,SignatureOfAuditorsPlace,TitleOfMemberOfSupervisoryBoard,TypeOfAuditorAssistance,_id,_index,_score,cvrNummer,indlaesningsId,indlaesningsTidspunkt,offentliggoerelsesTidspunkt,offentliggoerelsestype,omgoerelse,regNummer,regnskabsperiode_slutDato,regnskabsperiode_startDato,sagsNummer,sidstOpdateret,ProfitLoss,AdjustmentsForCurrentTaxOfPriorPeriod,AdjustmentsForDeferredTax,AverageNumberOfEmployees,CurrentTaxExpense,DepreciationAmortisationExpenseAndImpairmentLossesOfPropertyPlantAndEquipmentAndIntangibleAssetsRecognisedInProfitOrLoss,EmployeeBenefitsExpense,ExchangeRateAdjustmentsOtherFinanceExpenses,GrossProfitLoss,IncomeFromInvestmentsInGroupEnterprises,OtherAdjustmentsOfFinanceExpenses,OtherFinanceExpenses,OtherFinanceIncome,OtherInterestExpenses,OtherOperatingExpenses,ProfitLossFromOrdinaryActivitiesBeforeTax,ProfitLossFromOrdinaryOperatingActivities,TaxExpense,LongtermLiabilitiesOtherThanProvisions,Assets,CashAndCashEquivalents,ContributedCapital,CurrentAssets,DeferredIncomeAssets,DepositsLongtermInvestmentsAndReceivables,FixturesFittingsToolsAndEquipment,LeaseholdImprovements,LiabilitiesAndEquity,LiabilitiesOtherThanProvisions,LongtermDebtToBanks,LongtermInvestmentsAndReceivables,LongtermInvestmentsInGroupEnterprises,NoncurrentAssets,OtherLongtermReceivables,OtherProvisions,OtherShorttermPayables,OtherShorttermReceivables,PropertyPlantAndEquipment,ProposedDividendRecognisedInEquity,Provisions,ProvisionsForDeferredTax,ReserveForNetRevaluationAccordingToEquityMethod,RetainedEarnings,ShorttermDebtToBanks,ShorttermLiabilitiesOtherThanProvisions,ShorttermPartOfLongtermLiabilitiesOtherThanProvisions,ShorttermPayablesToGroupEnterprises,ShorttermReceivables,ShorttermReceivablesFromGroupEnterprises,ShorttermTaxPayables,ShorttermTradePayables,ShorttermTradeReceivables,AccumulatedImpairmentLossesAndDepreciationOfPropertyPlantAndEquipment,PropertyPlantAndEquipmentGross,PlaceOfSignatureOfStatement,AdditionsToPropertyPlantAndEquipment,DepreciationOfPropertyPlantAndEquipment,DisposalsOfPropertyPlantAndEquipment,IncreaseDecreaseOfPropertyPlantAndEquipmentThroughTransfers,ReversalsOfImpairmentLossesAndDepreciationOfDisposedPropertyPlantAndEquipment,RelatedEntityName,RelatedEntityRegisteredOffice,NameAndSurnameOfMemberOfSupervisoryBoard,ShareHeldByEntityOrConsolidatedEnterprisesInRelatedEntity
15502347,2015-01-01,2015-01-01,c696,,http://regnskaber.virk.dk/74320551/ZG9rdW1lbnRsYWdlcjovLzAzL2VhLzVlL2EyL2IzLzZlY2YtNDIwMC04ZjA1LTJjMzkzNDMxODU4OA.pdf,http://regnskaber.virk.dk/74320551/ZG9rdW1lbnRsYWdlcjovLzAzLzc0LzBjLzkxLzViL2JjZDktNGZkMy1iY2YyLWNmOWIxOTljY2U2Yw.xml,Danmark,SÃ¸borg,2860.0,9.0,Knud HÃ¸jgaards Vej,Roskilde,4000.0,"5, 3.",StÃ¦ndertorvet,9200 Aalborg SV,Voergaardvej 2,Regnskabsklasse B,2017-03-31,2017-03-31,Statsaut. revisor,800000.0,32895468.0,15502347.0,Ãrsrapport,781023.0,0.0,Jan Nygaard,Klaus SjÃ¸holm Kristensen,Jan Henriksen,Beierholm,Transocean Shipping Agency A/S,Beierholm,Roskilde,2016-12-31,2016-01-01,2017-03-31,KÃ¸benhavn,Formand / Chairman,RevisionspÃ¥tegning,urn:ofk:oid:23713355,indberetninger-20180424,2.5097342,15502347.0,,2018-03-27T12:38:01.794Z,2017-04-10T11:48:50.812Z,regnskab,0.0,,2016-12-31,2016-01-01,X17-AG-09-AS,2017-04-10T11:48:50.995Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15502347,2015-01-01,2015-01-01,c711,,http://regnskaber.virk.dk/74320551/ZG9rdW1lbnRsYWdlcjovLzAzL2VhLzVlL2EyL2IzLzZlY2YtNDIwMC04ZjA1LTJjMzkzNDMxODU4OA.pdf,http://regnskaber.virk.dk/74320551/ZG9rdW1lbnRsYWdlcjovLzAzLzc0LzBjLzkxLzViL2JjZDktNGZkMy1iY2YyLWNmOWIxOTljY2U2Yw.xml,Danmark,SÃ¸borg,2860.0,9.0,Knud HÃ¸jgaards Vej,Roskilde,4000.0,"5, 3.",StÃ¦ndertorvet,9200 Aalborg SV,Voergaardvej 2,Regnskabsklasse B,2017-03-31,2017-03-31,Statsaut. revisor,0.0,32895468.0,15502347.0,Ãrsrapport,781023.0,0.0,Jan Nygaard,Klaus SjÃ¸holm Kristensen,Jan Henriksen,Beierholm,Transocean Shipping Agency A/S,Beierholm,Roskilde,2016-12-31,2016-01-01,2017-03-31,KÃ¸benhavn,Formand / Chairman,RevisionspÃ¥tegning,urn:ofk:oid:23713355,indberetninger-20180424,2.5097342,15502347.0,,2018-03-27T12:38:01.794Z,2017-04-10T11:48:50.812Z,regnskab,0.0,,2016-12-31,2016-01-01,X17-AG-09-AS,2017-04-10T11:48:50.995Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15502347,2015-01-01,2015-01-01,c717,,http://regnskaber.virk.dk/74320551/ZG9rdW1lbnRsYWdlcjovLzAzL2VhLzVlL2EyL2IzLzZlY2YtNDIwMC04ZjA1LTJjMzkzNDMxODU4OA.pdf,http://regnskaber.virk.dk/74320551/ZG9rdW1lbnRsYWdlcjovLzAzLzc0LzBjLzkxLzViL2JjZDktNGZkMy1iY2YyLWNmOWIxOTljY2U2Yw.xml,Danmark,SÃ¸borg,2860.0,9.0,Knud HÃ¸jgaards Vej,Roskilde,4000.0,"5, 3.",StÃ¦ndertorvet,9200 Aalborg SV,Voergaardvej 2,Regnskabsklasse B,2017-03-31,2017-03-31,Statsaut. revisor,2731531.0,32895468.0,15502347.0,Ãrsrapport,781023.0,0.0,Jan Nygaard,Klaus SjÃ¸holm Kristensen,Jan Henriksen,Beierholm,Transocean Shipping Agency A/S,Beierholm,Roskilde,2016-12-31,2016-01-01,2017-03-31,KÃ¸benhavn,Formand / Chairman,RevisionspÃ¥tegning,urn:ofk:oid:23713355,indberetninger-20180424,2.5097342,15502347.0,,2018-03-27T12:38:01.794Z,2017-04-10T11:48:50.812Z,regnskab,0.0,,2016-12-31,2016-01-01,X17-AG-09-AS,2017-04-10T11:48:50.995Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15502347,2015-01-01,2015-01-01,c720,,http://regnskaber.virk.dk/74320551/ZG9rdW1lbnRsYWdlcjovLzAzL2VhLzVlL2EyL2IzLzZlY2YtNDIwMC04ZjA1LTJjMzkzNDMxODU4OA.pdf,http://regnskaber.virk.dk/74320551/ZG9rdW1lbnRsYWdlcjovLzAzLzc0LzBjLzkxLzViL2JjZDktNGZkMy1iY2YyLWNmOWIxOTljY2U2Yw.xml,Danmark,SÃ¸borg,2860.0,9.0,Knud HÃ¸jgaards Vej,Roskilde,4000.0,"5, 3.",StÃ¦ndertorvet,9200 Aalborg SV,Voergaardvej 2,Regnskabsklasse B,2017-03-31,2017-03-31,Statsaut. revisor,2000000.0,32895468.0,15502347.0,Ãrsrapport,781023.0,0.0,Jan Nygaard,Klaus SjÃ¸holm Kristensen,Jan Henriksen,Beierholm,Transocean Shipping Agency A/S,Beierholm,Roskilde,2016-12-31,2016-01-01,2017-03-31,KÃ¸benhavn,Formand / Chairman,RevisionspÃ¥tegning,urn:ofk:oid:23713355,indberetninger-20180424,2.5097342,15502347.0,,2018-03-27T12:38:01.794Z,2017-04-10T11:48:50.812Z,regnskab,0.0,,2016-12-31,2016-01-01,X17-AG-09-AS,2017-04-10T11:48:50.995Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15502347,2015-01-01,2015-12-31,c450,,http://regnskaber.virk.dk/74320551/ZG9rdW1lbnRsYWdlcjovLzAzL2VhLzVlL2EyL2IzLzZlY2YtNDIwMC04ZjA1LTJjMzkzNDMxODU4OA.pdf,http://regnskaber.virk.dk/74320551/ZG9rdW1lbnRsYWdlcjovLzAzLzc0LzBjLzkxLzViL2JjZDktNGZkMy1iY2YyLWNmOWIxOTljY2U2Yw.xml,Danmark,SÃ¸borg,2860.0,9.0,Knud HÃ¸jgaards Vej,Roskilde,4000.0,"5, 3.",StÃ¦ndertorvet,9200 Aalborg SV,Voergaardvej 2,Regnskabsklasse B,2017-03-31,2017-03-31,Statsaut. revisor,,32895468.0,15502347.0,Ãrsrapport,781023.0,0.0,Jan Nygaard,Klaus SjÃ¸holm Kristensen,Jan Henriksen,Beierholm,Transocean Shipping Agency A/S,Beierholm,Roskilde,2016-12-31,2016-01-01,2017-03-31,KÃ¸benhavn,Formand / Chairman,RevisionspÃ¥tegning,urn:ofk:oid:23713355,indberetninger-20180424,2.5097342,15502347.0,,2018-03-27T12:38:01.794Z,2017-04-10T11:48:50.812Z,regnskab,0.0,,2016-12-31,2016-01-01,X17-AG-09-AS,2017-04-10T11:48:50.995Z,381288.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15502347,2015-01-01,2015-12-31,c54,,http://regnskaber.virk.dk/74320551/ZG9rdW1lbnRsYWdlcjovLzAzL2VhLzVlL2EyL2IzLzZlY2YtNDIwMC04ZjA1LTJjMzkzNDMxODU4OA.pdf,http://regnskaber.virk.dk/74320551/ZG9rdW1lbnRsYWdlcjovLzAzLzc0LzBjLzkxLzViL2JjZDktNGZkMy1iY2YyLWNmOWIxOTljY2U2Yw.xml,Danmark,SÃ¸borg,2860.0,9.0,Knud HÃ¸jgaards Vej,Roskilde,4000.0,"5, 3.",StÃ¦ndertorvet,9200 Aalborg SV,Voergaardvej 2,Regnskabsklasse B,2017-03-31,2017-03-31,Statsaut. revisor,,32895468.0,15502347.0,Ãrsrapport,781023.0,0.0,Jan Nygaard,Klaus SjÃ¸holm Kristensen,Jan Henriksen,Beierholm,Transocean Shipping Agency A/S,Beierholm,Roskilde,2016-12-31,2016-01-01,2017-03-31,KÃ¸benhavn,Formand / Chairman,RevisionspÃ¥tegning,urn:ofk:oid:23713355,indberetninger-20180424,2.5097342,15502347.0,,2018-03-27T12:38:01.794Z,2017-04-10T11:48:50.812Z,regnskab,0.0,,2016-12-31,2016-01-01,X17-AG-09-AS,2017-04-10T11:48:50.995Z,3836248.0,0.0,44089.0,15.0,991888.0,136857.0,7025375.0,24.0,11833930.0,344411.0,47437.0,81069.0,87.0,33608.0,62902.0,4872225.0,4608796.0,1035977.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15502347,2015-01-01,2015-12-31,c56,,http://regnskaber.virk.dk/74320551/ZG9rdW1lbnRsYWdlcjovLzAzL2VhLzVlL2EyL2IzLzZlY2YtNDIwMC04ZjA1LTJjMzkzNDMxODU4OA.pdf,http://regnskaber.virk.dk/74320551/ZG9rdW1lbnRsYWdlcjovLzAzLzc0LzBjLzkxLzViL2JjZDktNGZkMy1iY2YyLWNmOWIxOTljY2U2Yw.xml,Danmark,SÃ¸borg,2860.0,9.0,Knud HÃ¸jgaards Vej,Roskilde,4000.0,"5, 3.",StÃ¦ndertorvet,9200 Aalborg SV,Voergaardvej 2,Regnskabsklasse B,2017-03-31,2017-03-31,Statsaut. revisor,,32895468.0,15502347.0,Ãrsrapport,781023.0,0.0,Jan Nygaard,Klaus SjÃ¸holm Kristensen,Jan Henriksen,Beierholm,Transocean Shipping Agency A/S,Beierholm,Roskilde,2016-12-31,2016-01-01,2017-03-31,KÃ¸benhavn,Formand / Chairman,RevisionspÃ¥tegning,urn:ofk:oid:23713355,indberetninger-20180424,2.5097342,15502347.0,,2018-03-27T12:38:01.794Z,2017-04-10T11:48:50.812Z,regnskab,0.0,,2016-12-31,2016-01-01,X17-AG-09-AS,2017-04-10T11:48:50.995Z,4000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15502347,2015-01-01,2015-12-31,c69,,http://regnskaber.virk.dk/74320551/ZG9rdW1lbnRsYWdlcjovLzAzL2VhLzVlL2EyL2IzLzZlY2YtNDIwMC04ZjA1LTJjMzkzNDMxODU4OA.pdf,http://regnskaber.virk.dk/74320551/ZG9rdW1lbnRsYWdlcjovLzAzLzc0LzBjLzkxLzViL2JjZDktNGZkMy1iY2YyLWNmOWIxOTljY2U2Yw.xml,Danmark,SÃ¸borg,2860.0,9.0,Knud HÃ¸jgaards Vej,Roskilde,4000.0,"5, 3.",StÃ¦ndertorvet,9200 Aalborg SV,Voergaardvej 2,Regnskabsklasse B,2017-03-31,2017-03-31,Statsaut. revisor,,32895468.0,15502347.0,Ãrsrapport,781023.0,0.0,Jan Nygaard,Klaus SjÃ¸holm Kristensen,Jan Henriksen,Beierholm,Transocean Shipping Agency A/S,Beierholm,Roskilde,2016-12-31,2016-01-01,2017-03-31,KÃ¸benhavn,Formand / Chairman,RevisionspÃ¥tegning,urn:ofk:oid:23713355,indberetninger-20180424,2.5097342,15502347.0,,2018-03-27T12:38:01.794Z,2017-04-10T11:48:50.812Z,regnskab,0.0,,2016-12-31,2016-01-01,X17-AG-09-AS,2017-04-10T11:48:50.995Z,-545040.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15502347,2015-12-31,2015-12-31,c238,,http://regnskaber.virk.dk/74320551/ZG9rdW1lbnRsYWdlcjovLzAzL2VhLzVlL2EyL2IzLzZlY2YtNDIwMC04ZjA1LTJjMzkzNDMxODU4OA.pdf,http://regnskaber.virk.dk/74320551/ZG9rdW1lbnRsYWdlcjovLzAzLzc0LzBjLzkxLzViL2JjZDktNGZkMy1iY2YyLWNmOWIxOTljY2U2Yw.xml,Danmark,SÃ¸borg,2860.0,9.0,Knud HÃ¸jgaards Vej,Roskilde,4000.0,"5, 3.",StÃ¦ndertorvet,9200 Aalborg SV,Voergaardvej 2,Regnskabsklasse B,2017-03-31,2017-03-31,Statsaut. revisor,,32895468.0,15502347.0,Ãrsrapport,781023.0,0.0,Jan Nygaard,Klaus SjÃ¸holm Kristensen,Jan Henriksen,Beierholm,Transocean Shipping Agency A/S,Beierholm,Roskilde,2016-12-31,2016-01-01,2017-03-31,KÃ¸benhavn,Formand / Chairman,RevisionspÃ¥tegning,urn:ofk:oid:23713355,indberetninger-20180424,2.5097342,15502347.0,,2018-03-27T12:38:01.794Z,2017-04-10T11:48:50.812Z,regnskab,0.0,,2016-12-31,2016-01-01,X17-AG-09-AS,2017-04-10T11:48:50.995Z,,,,,,,,,,,,,,,,,,,893906.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15502347,2015-12-31,2015-12-31,c70,,http://regnskaber.virk.dk/74320551/ZG9rdW1lbnRsYWdlcjovLzAzL2VhLzVlL2EyL2IzLzZlY2YtNDIwMC04ZjA1LTJjMzkzNDMxODU4OA.pdf,http://regnskaber.virk.dk/74320551/ZG9rdW1lbnRsYWdlcjovLzAzLzc0LzBjLzkxLzViL2JjZDktNGZkMy1iY2YyLWNmOWIxOTljY2U2Yw.xml,Danmark,SÃ¸borg,2860.0,9.0,Knud HÃ¸jgaards Vej,Roskilde,4000.0,"5, 3.",StÃ¦ndertorvet,9200 Aalborg SV,Voergaardvej 2,Regnskabsklasse B,2017-03-31,2017-03-31,Statsaut. revisor,7367779.0,32895468.0,15502347.0,Ãrsrapport,781023.0,0.0,Jan Nygaard,Klaus SjÃ¸holm Kristensen,Jan Henriksen,Beierholm,Transocean Shipping Agency A/S,Beierholm,Roskilde,2016-12-31,2016-01-01,2017-03-31,KÃ¸benhavn,Formand / Chairman,RevisionspÃ¥tegning,urn:ofk:oid:23713355,indberetninger-20180424,2.5097342,15502347.0,,2018-03-27T12:38:01.794Z,2017-04-10T11:48:50.812Z,regnskab,0.0,,2016-12-31,2016-01-01,X17-AG-09-AS,2017-04-10T11:48:50.995Z,,,,,,,,,,,,,,,,,,,708434.0,14340383.0,2765799.0,800000.0,11749850.0,236160.0,205030.0,1542344.0,0.0,14340383.0,6901422.0,708434.0,1048189.0,793159.0,2590533.0,50000.0,3268.0,1654434.0,142854.0,1542344.0,4000000.0,71182.0,67914.0,381288.0,2186491.0,0.0,6192988.0,185472.0,412217.0,8984051.0,120098.0,993866.0,2946999.0,8484939.0,,,,,,,,,,,,
