entity,start_date,end_date,context,AARSRAPPORT_html,AARSRAPPORT_pdf,AARSRAPPORT_xml,AccountingPoliciesAreUnchangedFromPreviousPeriod,AddressOfFinancialCountry,AddressOfFinancialCountryIdentificationCode,AddressOfFinancialDistrictName,AddressOfFinancialPostCodeIdentifier,AddressOfFinancialStreetBuildingIdentifier,AddressOfFinancialStreetName,AddressOfReportingEntityDistrictName,AddressOfReportingEntityPostCodeIdentifier,AddressOfReportingEntityStreetBuildingIdentifier,AddressOfReportingEntityStreetName,AddressOfSubmittingEnterprisePostcodeAndTown,AddressOfSubmittingEnterpriseStreetAndNumber,AdministrativeExpenses,ClassOfReportingEntity,CostOfProduction,DateOfApprovalOfAnnualReport,DateOfGeneralMeeting,DistributionCosts,GrossResult,IdentificationNumberCvrOfReportingEntity,InformationOnReportingClassOfEntity,InformationOnTypeOfSubmittedReport,NameAndSurnameOfChairmanOfGeneralMeeting,NameAndSurnameOfMemberOfExecutiveBoard,NameOfFinancialInstitution,NameOfReportingEntity,NameOfSubmittingEnterprise,OtherFinanceExpenses,OtherFinanceIncome,OtherFinanceIncomeFromGroupEnterprises,OtherOperatingExpenses,OtherOperatingIncome,PlaceOfSignatureOfStatement,PrecedingReportingPeriodStartDate,PredingReportingPeriodEndDate,ProfitLoss,ProfitLossFromOrdinaryActivitiesBeforeTax,ProfitLossFromOrdinaryOperatingActivities,ProposedDividendRecognisedInEquity,ReportingPeriodEndDate,ReportingPeriodStartDate,Revenue,SelectedElementsFromReportingClassC,SelectedElementsFromReportingClassD,StatementOnOptingOutOfAuditingFinancialStatementsInNextReportingPeriodDueToExemption,TaxExpense,TheCompanyHasPresentedTheAnnualReportEtcWithReferenceToTheDanishFinancialStatementsAct78aConcerningTheExceptionForReportingClassCMediumsizeSubsidiariesWhichChoosesToPresentTheAnnualReportEtcAccordingToReportingClassB,TheReportingEntityAppliesTheExceptionConcerningOptingOutOfTheStatementByManagementEtc,TitleOfMemberOfExecutiveBoard,TypeOfAuditorAssistance,_id,_index,_score,cvrNummer,indlaesningsId,indlaesningsTidspunkt,offentliggoerelsesTidspunkt,offentliggoerelsestype,omgoerelse,regNummer,regnskabsperiode_slutDato,regnskabsperiode_startDato,sagsNummer,sidstOpdateret,Assets,CashAndCashEquivalents,ContractWorkInProgress,ContributedCapital,CurrentAssets,DepositsShorttermLiabilitiesOtherThanProvisions,Equity,FixturesFittingsToolsAndEquipment,Goodwill,IncomeExceedCostForTheFinancialYearShortterm,IntangibleAssets,Inventories,LandAndBuildings,LiabilitiesAndEquity,LiabilitiesOtherThanProvisions,LongtermDebtToBanks,LongtermInvestmentsAndReceivables,LongtermInvestmentsInAssociates,LongtermInvestmentsInGroupEnterprises,LongtermLiabilitiesOtherThanProvisions,LongtermMortgageDebt,LongtermTaxPayables,ManufacturedGoodsAndGoodsForResale,NoncurrentAssets,OtherLongtermInvestments,OtherReserves,OtherShorttermInvestments,OtherShorttermPayables,OtherShorttermReceivables,PlantAndMachinery,PropertyPlantAndEquipment,ProposedDividend,Provisions,ProvisionsForDeferredTax,RawMaterialsAndConsumables,RetainedEarnings,ShorttermDebtToBanks,ShorttermDeferredIncome,ShorttermInvestments,ShorttermLeaseCommitments,ShorttermLiabilitiesOtherThanProvisions,ShorttermMortgageDebt,ShorttermNegativeGoodwill,ShorttermPayablesToAssociates,ShorttermPayablesToGroupEnterprises,ShorttermPayablesToShareholdersAndManagement,ShorttermReceivables,ShorttermReceivablesFromAssociates,ShorttermReceivablesFromGroupEnterprises,ShorttermTaxPayables,ShorttermTaxReceivables,ShorttermTradePayables,ShorttermTradeReceivables
28980329,2014-07-01,2015-06-30,c2,http://regnskaber.virk.dk/92308982/ZG9rdW1lbnRsYWdlcjovLzAzLzQwL2M0L2MxL2YxLzIwN2YtNDU4Mi1hNjM0LTg1YjhiZTE0MDY0MQ.xhtml,http://regnskaber.virk.dk/92308982/ZG9rdW1lbnRsYWdlcjovLzAzL2VkLzIwLzY3L2M2LzFjZDItNDM4OS05MTY4LTQ3ZDJmZjlmZGYxYQ.pdf,http://regnskaber.virk.dk/92308982/ZG9rdW1lbnRsYWdlcjovLzAzLzBjLzk4LzU3LzkzLzg0YzgtNDI1My04YzM0LTE1ZDhlNTY4YWVhMw.xml,true,DK,DK,Hellerup,2900.0,96.0,Lyngby Hovedgade,Hellerup,2900.0,5.0,GjÃ¸rlingsvej,2900.0,GjÃ¸rlingsvej 5,0.0,Regnskabsklasse B,0.0,2016-11-28,2016-11-28,0.0,0.0,28980329.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Jens Riis Boesen,Jens Riis Boesen,Nordea Bank Danmark A/S,J.R.BOESEN HOLDING ApS,Jens Riis Boesen,427.0,0.0,0.0,0.0,0.0,Hellerup,2014-07-01,2015-06-30,-427.0,-427.0,0.0,0.0,2016-06-30,2015-07-01,0.0,false,false,Der er fravalgt revision for det kommende regnskabsÃ¥r.,0.0,false,false,Hr.,Ingen bistand,urn:ofk:oid:23205744,indberetninger-20180424,2.59278,28980329.0,,2018-03-29T00:37:36.890Z,2016-11-28T15:17:49.517Z,regnskab,0.0,,2016-06-30,2015-07-01,X16-BH-69-AA,2016-11-28T15:17:49.683Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28980329,2014-07-01,2015-06-30,c4,http://regnskaber.virk.dk/92308982/ZG9rdW1lbnRsYWdlcjovLzAzLzQwL2M0L2MxL2YxLzIwN2YtNDU4Mi1hNjM0LTg1YjhiZTE0MDY0MQ.xhtml,http://regnskaber.virk.dk/92308982/ZG9rdW1lbnRsYWdlcjovLzAzL2VkLzIwLzY3L2M2LzFjZDItNDM4OS05MTY4LTQ3ZDJmZjlmZGYxYQ.pdf,http://regnskaber.virk.dk/92308982/ZG9rdW1lbnRsYWdlcjovLzAzLzBjLzk4LzU3LzkzLzg0YzgtNDI1My04YzM0LTE1ZDhlNTY4YWVhMw.xml,true,DK,DK,Hellerup,2900.0,96.0,Lyngby Hovedgade,Hellerup,2900.0,5.0,GjÃ¸rlingsvej,2900.0,GjÃ¸rlingsvej 5,,Regnskabsklasse B,,2016-11-28,2016-11-28,,,28980329.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Jens Riis Boesen,Jens Riis Boesen,Nordea Bank Danmark A/S,J.R.BOESEN HOLDING ApS,Jens Riis Boesen,,,,,,Hellerup,2014-07-01,2015-06-30,0.0,,,0.0,2016-06-30,2015-07-01,,false,false,Der er fravalgt revision for det kommende regnskabsÃ¥r.,,false,false,Hr.,Ingen bistand,urn:ofk:oid:23205744,indberetninger-20180424,2.59278,28980329.0,,2018-03-29T00:37:36.890Z,2016-11-28T15:17:49.517Z,regnskab,0.0,,2016-06-30,2015-07-01,X16-BH-69-AA,2016-11-28T15:17:49.683Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28980329,2014-07-01,2015-06-30,c6,http://regnskaber.virk.dk/92308982/ZG9rdW1lbnRsYWdlcjovLzAzLzQwL2M0L2MxL2YxLzIwN2YtNDU4Mi1hNjM0LTg1YjhiZTE0MDY0MQ.xhtml,http://regnskaber.virk.dk/92308982/ZG9rdW1lbnRsYWdlcjovLzAzL2VkLzIwLzY3L2M2LzFjZDItNDM4OS05MTY4LTQ3ZDJmZjlmZGYxYQ.pdf,http://regnskaber.virk.dk/92308982/ZG9rdW1lbnRsYWdlcjovLzAzLzBjLzk4LzU3LzkzLzg0YzgtNDI1My04YzM0LTE1ZDhlNTY4YWVhMw.xml,true,DK,DK,Hellerup,2900.0,96.0,Lyngby Hovedgade,Hellerup,2900.0,5.0,GjÃ¸rlingsvej,2900.0,GjÃ¸rlingsvej 5,,Regnskabsklasse B,,2016-11-28,2016-11-28,,,28980329.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Jens Riis Boesen,Jens Riis Boesen,Nordea Bank Danmark A/S,J.R.BOESEN HOLDING ApS,Jens Riis Boesen,,,,,,Hellerup,2014-07-01,2015-06-30,0.0,,,0.0,2016-06-30,2015-07-01,,false,false,Der er fravalgt revision for det kommende regnskabsÃ¥r.,,false,false,Hr.,Ingen bistand,urn:ofk:oid:23205744,indberetninger-20180424,2.59278,28980329.0,,2018-03-29T00:37:36.890Z,2016-11-28T15:17:49.517Z,regnskab,0.0,,2016-06-30,2015-07-01,X16-BH-69-AA,2016-11-28T15:17:49.683Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28980329,2014-07-01,2015-06-30,c8,http://regnskaber.virk.dk/92308982/ZG9rdW1lbnRsYWdlcjovLzAzLzQwL2M0L2MxL2YxLzIwN2YtNDU4Mi1hNjM0LTg1YjhiZTE0MDY0MQ.xhtml,http://regnskaber.virk.dk/92308982/ZG9rdW1lbnRsYWdlcjovLzAzL2VkLzIwLzY3L2M2LzFjZDItNDM4OS05MTY4LTQ3ZDJmZjlmZGYxYQ.pdf,http://regnskaber.virk.dk/92308982/ZG9rdW1lbnRsYWdlcjovLzAzLzBjLzk4LzU3LzkzLzg0YzgtNDI1My04YzM0LTE1ZDhlNTY4YWVhMw.xml,true,DK,DK,Hellerup,2900.0,96.0,Lyngby Hovedgade,Hellerup,2900.0,5.0,GjÃ¸rlingsvej,2900.0,GjÃ¸rlingsvej 5,,Regnskabsklasse B,,2016-11-28,2016-11-28,,,28980329.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Jens Riis Boesen,Jens Riis Boesen,Nordea Bank Danmark A/S,J.R.BOESEN HOLDING ApS,Jens Riis Boesen,,,,,,Hellerup,2014-07-01,2015-06-30,-427.0,,,0.0,2016-06-30,2015-07-01,,false,false,Der er fravalgt revision for det kommende regnskabsÃ¥r.,,false,false,Hr.,Ingen bistand,urn:ofk:oid:23205744,indberetninger-20180424,2.59278,28980329.0,,2018-03-29T00:37:36.890Z,2016-11-28T15:17:49.517Z,regnskab,0.0,,2016-06-30,2015-07-01,X16-BH-69-AA,2016-11-28T15:17:49.683Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28980329,2015-06-30,2015-06-30,c10,http://regnskaber.virk.dk/92308982/ZG9rdW1lbnRsYWdlcjovLzAzLzQwL2M0L2MxL2YxLzIwN2YtNDU4Mi1hNjM0LTg1YjhiZTE0MDY0MQ.xhtml,http://regnskaber.virk.dk/92308982/ZG9rdW1lbnRsYWdlcjovLzAzL2VkLzIwLzY3L2M2LzFjZDItNDM4OS05MTY4LTQ3ZDJmZjlmZGYxYQ.pdf,http://regnskaber.virk.dk/92308982/ZG9rdW1lbnRsYWdlcjovLzAzLzBjLzk4LzU3LzkzLzg0YzgtNDI1My04YzM0LTE1ZDhlNTY4YWVhMw.xml,true,DK,DK,Hellerup,2900.0,96.0,Lyngby Hovedgade,Hellerup,2900.0,5.0,GjÃ¸rlingsvej,2900.0,GjÃ¸rlingsvej 5,,Regnskabsklasse B,,2016-11-28,2016-11-28,,,28980329.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Jens Riis Boesen,Jens Riis Boesen,Nordea Bank Danmark A/S,J.R.BOESEN HOLDING ApS,Jens Riis Boesen,,,,,,Hellerup,2014-07-01,2015-06-30,,,,0.0,2016-06-30,2015-07-01,,false,false,Der er fravalgt revision for det kommende regnskabsÃ¥r.,,false,false,Hr.,Ingen bistand,urn:ofk:oid:23205744,indberetninger-20180424,2.59278,28980329.0,,2018-03-29T00:37:36.890Z,2016-11-28T15:17:49.517Z,regnskab,0.0,,2016-06-30,2015-07-01,X16-BH-69-AA,2016-11-28T15:17:49.683Z,335532.0,335532.0,0.0,300000.0,335532.0,0.0,300828.0,0.0,0.0,0.0,0.0,0.0,0.0,335532.0,34704.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,828.0,0.0,0.0,0.0,0.0,34704.0,0.0,0.0,0.0,0.0,34704.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28980329,2015-07-01,2016-06-30,c0,http://regnskaber.virk.dk/92308982/ZG9rdW1lbnRsYWdlcjovLzAzLzQwL2M0L2MxL2YxLzIwN2YtNDU4Mi1hNjM0LTg1YjhiZTE0MDY0MQ.xhtml,http://regnskaber.virk.dk/92308982/ZG9rdW1lbnRsYWdlcjovLzAzL2VkLzIwLzY3L2M2LzFjZDItNDM4OS05MTY4LTQ3ZDJmZjlmZGYxYQ.pdf,http://regnskaber.virk.dk/92308982/ZG9rdW1lbnRsYWdlcjovLzAzLzBjLzk4LzU3LzkzLzg0YzgtNDI1My04YzM0LTE1ZDhlNTY4YWVhMw.xml,true,DK,DK,Hellerup,2900.0,96.0,Lyngby Hovedgade,Hellerup,2900.0,5.0,GjÃ¸rlingsvej,2900.0,GjÃ¸rlingsvej 5,0.0,Regnskabsklasse B,0.0,2016-11-28,2016-11-28,0.0,0.0,28980329.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Jens Riis Boesen,Jens Riis Boesen,Nordea Bank Danmark A/S,J.R.BOESEN HOLDING ApS,Jens Riis Boesen,1563.0,0.0,0.0,0.0,0.0,Hellerup,2014-07-01,2015-06-30,-1563.0,-1563.0,0.0,0.0,2016-06-30,2015-07-01,0.0,false,false,Der er fravalgt revision for det kommende regnskabsÃ¥r.,0.0,false,false,Hr.,Ingen bistand,urn:ofk:oid:23205744,indberetninger-20180424,2.59278,28980329.0,,2018-03-29T00:37:36.890Z,2016-11-28T15:17:49.517Z,regnskab,0.0,,2016-06-30,2015-07-01,X16-BH-69-AA,2016-11-28T15:17:49.683Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28980329,2015-07-01,2016-06-30,c1,http://regnskaber.virk.dk/92308982/ZG9rdW1lbnRsYWdlcjovLzAzLzQwL2M0L2MxL2YxLzIwN2YtNDU4Mi1hNjM0LTg1YjhiZTE0MDY0MQ.xhtml,http://regnskaber.virk.dk/92308982/ZG9rdW1lbnRsYWdlcjovLzAzL2VkLzIwLzY3L2M2LzFjZDItNDM4OS05MTY4LTQ3ZDJmZjlmZGYxYQ.pdf,http://regnskaber.virk.dk/92308982/ZG9rdW1lbnRsYWdlcjovLzAzLzBjLzk4LzU3LzkzLzg0YzgtNDI1My04YzM0LTE1ZDhlNTY4YWVhMw.xml,true,DK,DK,Hellerup,2900.0,96.0,Lyngby Hovedgade,Hellerup,2900.0,5.0,GjÃ¸rlingsvej,2900.0,GjÃ¸rlingsvej 5,,Regnskabsklasse B,,2016-11-28,2016-11-28,,,28980329.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Jens Riis Boesen,Jens Riis Boesen,Nordea Bank Danmark A/S,J.R.BOESEN HOLDING ApS,Jens Riis Boesen,,,,,,Hellerup,2014-07-01,2015-06-30,,,,0.0,2016-06-30,2015-07-01,,false,false,Der er fravalgt revision for det kommende regnskabsÃ¥r.,,false,false,Hr.,Ingen bistand,urn:ofk:oid:23205744,indberetninger-20180424,2.59278,28980329.0,,2018-03-29T00:37:36.890Z,2016-11-28T15:17:49.517Z,regnskab,0.0,,2016-06-30,2015-07-01,X16-BH-69-AA,2016-11-28T15:17:49.683Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28980329,2015-07-01,2016-06-30,c3,http://regnskaber.virk.dk/92308982/ZG9rdW1lbnRsYWdlcjovLzAzLzQwL2M0L2MxL2YxLzIwN2YtNDU4Mi1hNjM0LTg1YjhiZTE0MDY0MQ.xhtml,http://regnskaber.virk.dk/92308982/ZG9rdW1lbnRsYWdlcjovLzAzL2VkLzIwLzY3L2M2LzFjZDItNDM4OS05MTY4LTQ3ZDJmZjlmZGYxYQ.pdf,http://regnskaber.virk.dk/92308982/ZG9rdW1lbnRsYWdlcjovLzAzLzBjLzk4LzU3LzkzLzg0YzgtNDI1My04YzM0LTE1ZDhlNTY4YWVhMw.xml,true,DK,DK,Hellerup,2900.0,96.0,Lyngby Hovedgade,Hellerup,2900.0,5.0,GjÃ¸rlingsvej,2900.0,GjÃ¸rlingsvej 5,,Regnskabsklasse B,,2016-11-28,2016-11-28,,,28980329.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Jens Riis Boesen,Jens Riis Boesen,Nordea Bank Danmark A/S,J.R.BOESEN HOLDING ApS,Jens Riis Boesen,,,,,,Hellerup,2014-07-01,2015-06-30,0.0,,,0.0,2016-06-30,2015-07-01,,false,false,Der er fravalgt revision for det kommende regnskabsÃ¥r.,,false,false,Hr.,Ingen bistand,urn:ofk:oid:23205744,indberetninger-20180424,2.59278,28980329.0,,2018-03-29T00:37:36.890Z,2016-11-28T15:17:49.517Z,regnskab,0.0,,2016-06-30,2015-07-01,X16-BH-69-AA,2016-11-28T15:17:49.683Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28980329,2015-07-01,2016-06-30,c5,http://regnskaber.virk.dk/92308982/ZG9rdW1lbnRsYWdlcjovLzAzLzQwL2M0L2MxL2YxLzIwN2YtNDU4Mi1hNjM0LTg1YjhiZTE0MDY0MQ.xhtml,http://regnskaber.virk.dk/92308982/ZG9rdW1lbnRsYWdlcjovLzAzL2VkLzIwLzY3L2M2LzFjZDItNDM4OS05MTY4LTQ3ZDJmZjlmZGYxYQ.pdf,http://regnskaber.virk.dk/92308982/ZG9rdW1lbnRsYWdlcjovLzAzLzBjLzk4LzU3LzkzLzg0YzgtNDI1My04YzM0LTE1ZDhlNTY4YWVhMw.xml,true,DK,DK,Hellerup,2900.0,96.0,Lyngby Hovedgade,Hellerup,2900.0,5.0,GjÃ¸rlingsvej,2900.0,GjÃ¸rlingsvej 5,,Regnskabsklasse B,,2016-11-28,2016-11-28,,,28980329.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Jens Riis Boesen,Jens Riis Boesen,Nordea Bank Danmark A/S,J.R.BOESEN HOLDING ApS,Jens Riis Boesen,,,,,,Hellerup,2014-07-01,2015-06-30,0.0,,,0.0,2016-06-30,2015-07-01,,false,false,Der er fravalgt revision for det kommende regnskabsÃ¥r.,,false,false,Hr.,Ingen bistand,urn:ofk:oid:23205744,indberetninger-20180424,2.59278,28980329.0,,2018-03-29T00:37:36.890Z,2016-11-28T15:17:49.517Z,regnskab,0.0,,2016-06-30,2015-07-01,X16-BH-69-AA,2016-11-28T15:17:49.683Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28980329,2015-07-01,2016-06-30,c7,http://regnskaber.virk.dk/92308982/ZG9rdW1lbnRsYWdlcjovLzAzLzQwL2M0L2MxL2YxLzIwN2YtNDU4Mi1hNjM0LTg1YjhiZTE0MDY0MQ.xhtml,http://regnskaber.virk.dk/92308982/ZG9rdW1lbnRsYWdlcjovLzAzL2VkLzIwLzY3L2M2LzFjZDItNDM4OS05MTY4LTQ3ZDJmZjlmZGYxYQ.pdf,http://regnskaber.virk.dk/92308982/ZG9rdW1lbnRsYWdlcjovLzAzLzBjLzk4LzU3LzkzLzg0YzgtNDI1My04YzM0LTE1ZDhlNTY4YWVhMw.xml,true,DK,DK,Hellerup,2900.0,96.0,Lyngby Hovedgade,Hellerup,2900.0,5.0,GjÃ¸rlingsvej,2900.0,GjÃ¸rlingsvej 5,,Regnskabsklasse B,,2016-11-28,2016-11-28,,,28980329.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Jens Riis Boesen,Jens Riis Boesen,Nordea Bank Danmark A/S,J.R.BOESEN HOLDING ApS,Jens Riis Boesen,,,,,,Hellerup,2014-07-01,2015-06-30,-1563.0,,,0.0,2016-06-30,2015-07-01,,false,false,Der er fravalgt revision for det kommende regnskabsÃ¥r.,,false,false,Hr.,Ingen bistand,urn:ofk:oid:23205744,indberetninger-20180424,2.59278,28980329.0,,2018-03-29T00:37:36.890Z,2016-11-28T15:17:49.517Z,regnskab,0.0,,2016-06-30,2015-07-01,X16-BH-69-AA,2016-11-28T15:17:49.683Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
