entity,start_date,end_date,context,AARSRAPPORT_pdf,AARSRAPPORT_xml,AddressOfReportingEntityPostcodeAndTown,AddressOfReportingEntityStreetAndNumber,AddressOfSubmittingEnterprisePostcodeAndTown,AddressOfSubmittingEnterpriseStreetAndNumber,AddresseeOfAuditorsReportOnAuditedFinancialStatements,ClassOfReportingEntity,ConfirmationThatAnnualReportIsPresentedInAccordanceWithRequirementsProvidedForByLegislationAnyStandardsAndRequirementsProvidedByArticlesOfAssociationOrByAgreement,ConfirmationThatFinancialStatementGivesTrueAndFairViewOfAssetsLiabilitiesEquityFinancialPositionAndResults,DateOfFoundationOfReportingEntity,DateOfGeneralMeeting,DescriptionOfAuditor,DisclosureOfLiabilitiesUnderLeases,EmployeeBenefitsExpense,GrossResult,IdentificationNumberCvrOfAuditFirm,IdentificationNumberCvrOfReportingEntity,IdentificationNumberCvrOfSubmittingEnterprise,IdentificationOfApprovedAnnualReport,IdentificationOfAuditedFinancialStatements,InformationOnReceivablesFromOwnersAndManagement,InformationOnTypeOfSubmittedReport,NameAndSurnameOfAuditor,NameAndSurnameOfChairmanOfGeneralMeeting,NameAndSurnameOfMemberOfExecutiveBoard,NameOfAuditFirm,NameOfReportingEntity,NameOfSubmittingEnterprise,OtherFinanceExpenses,OtherFinanceIncome,ProfitLoss,ProfitLossFromOrdinaryActivitiesBeforeTax,ProfitLossFromOrdinaryOperatingActivities,ReportingPeriodEndDate,ReportingPeriodStartDate,SignatureOfAuditorsDate,SignatureOfAuditorsPlace,TaxExpenseOnOrdinaryActivities,TitleOfMemberOfExecutiveBoard,_id,_index,_score,cvrNummer,indlaesningsId,indlaesningsTidspunkt,offentliggoerelsesTidspunkt,offentliggoerelsestype,omgoerelse,regNummer,regnskabsperiode_slutDato,regnskabsperiode_startDato,sagsNummer,sidstOpdateret,Assets,CashAndCashEquivalents,ContributedCapital,CurrentAssets,Equity,InvestmentProperty,LiabilitiesAndEquity,LiabilitiesOtherThanProvisions,LongtermLiabilitiesOtherThanProvisions,LongtermMortgageDebt,NoncurrentAssets,OtherShorttermPayables,OtherShorttermReceivables,PropertyPlantAndEquipment,RetainedEarnings,ShorttermDebtToBanks,ShorttermDeferredIncome,ShorttermLiabilitiesOtherThanProvisions,ShorttermPartOfLongtermLiabilitiesOtherThanProvisions,ShorttermPayablesToAssociates,ShorttermPayablesToShareholdersAndManagement,ShorttermReceivables,ShorttermReceivablesFromAssociates,ShorttermTaxPayables
entity identifier,2011-01-01,2011-12-31,ID_10,http://regnskaber.virk.dk/92295682/Y3ZyLmRrOi8vcGRmcy8yODY1OTIyOTtBcFMzNzc3NjI7MjAxMjAxMDE7MjAxMjEyMzE7UjtS.pdf,http://regnskaber.virk.dk/92295682/Y3ZyLmRrOi8veGJybHMvWC1FMDk0NEYyNS0yMDEzMDUzMV8xNTQ0MzhfNTM5.xml,"4000, Roskilde","Kamstrup, Kamstrupvej 55E","4000, Roskilde",Ledreborg AllÃ© 130 i,Til kapitalejerne i Kamstrup 2006 ApS,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2012 samt af resultatet af selskabets aktiviteter og pengestrÃ¸mme for regnskabsÃ¥ret 1. januar 2012 - 31. december 2012.",2006-07-05,2013-05-31,Registreret revisor,". Forpligtelser i henhold til leje- eller leasingkontrakter, der ikke er indregnet i balancen",380572.0,-652162.0,11332609.0,28659229.0,11332609.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for 1. januar 2012 - 31. december 2012 for Kamstrup 2006 ApS.,"Vi har revideret Ã¥rsregnskabet for Kamstrup 2006 ApS for regnskabsÃ¥ret 1. januar 2012 - 31. december 2012, der omfatter anvendt regnskabspraksis, resultatopgÃ¸relse, balance og noter. Ãrsregnskabet udarbejdes efter Ã¥rsregnskabsloven.",. Tilgodehavender hos virksomhedsdeltagere og ledelse,Ãrsrapport,Merete Jacobsen,Bahman Separlous,Bahman Separlous,"Mer Revision, FSR - danske revisorer",Kamstrup 2006 ApS,"Mer Revision, FSR - danske revisorer",101576.0,0.0,-127514.0,-170014.0,-271590.0,2012-12-31,2012-01-01,2013-05-31,Roskilde,42500.0,Administrerende direktÃ¸r,urn:ofk:oid:17714074,indberetninger-20180424,2.5118417999999996,28659229.0,,2018-04-01T17:28:45.761Z,2013-06-04T22:00:00.000Z,regnskab,0.0,,2012-12-31,2012-01-01,13-93.336,2013-06-04T22:00:00.000Z,,,,,,,,,,,,,,,,,,,,,,,,
entity identifier,2011-01-01,2011-12-31,ID_12,http://regnskaber.virk.dk/92295682/Y3ZyLmRrOi8vcGRmcy8yODY1OTIyOTtBcFMzNzc3NjI7MjAxMjAxMDE7MjAxMjEyMzE7UjtS.pdf,http://regnskaber.virk.dk/92295682/Y3ZyLmRrOi8veGJybHMvWC1FMDk0NEYyNS0yMDEzMDUzMV8xNTQ0MzhfNTM5.xml,"4000, Roskilde","Kamstrup, Kamstrupvej 55E","4000, Roskilde",Ledreborg AllÃ© 130 i,Til kapitalejerne i Kamstrup 2006 ApS,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2012 samt af resultatet af selskabets aktiviteter og pengestrÃ¸mme for regnskabsÃ¥ret 1. januar 2012 - 31. december 2012.",2006-07-05,2013-05-31,Registreret revisor,". Forpligtelser i henhold til leje- eller leasingkontrakter, der ikke er indregnet i balancen",,,11332609.0,28659229.0,11332609.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for 1. januar 2012 - 31. december 2012 for Kamstrup 2006 ApS.,"Vi har revideret Ã¥rsregnskabet for Kamstrup 2006 ApS for regnskabsÃ¥ret 1. januar 2012 - 31. december 2012, der omfatter anvendt regnskabspraksis, resultatopgÃ¸relse, balance og noter. Ãrsregnskabet udarbejdes efter Ã¥rsregnskabsloven.",. Tilgodehavender hos virksomhedsdeltagere og ledelse,Ãrsrapport,Merete Jacobsen,Bahman Separlous,Bahman Separlous,"Mer Revision, FSR - danske revisorer",Kamstrup 2006 ApS,"Mer Revision, FSR - danske revisorer",,,127514.0,,,2012-12-31,2012-01-01,2013-05-31,Roskilde,,Administrerende direktÃ¸r,urn:ofk:oid:17714074,indberetninger-20180424,2.5118417999999996,28659229.0,,2018-04-01T17:28:45.761Z,2013-06-04T22:00:00.000Z,regnskab,0.0,,2012-12-31,2012-01-01,13-93.336,2013-06-04T22:00:00.000Z,,,,,,,,,,,,,,,,,,,,,,,,
entity identifier,2011-01-01,2011-12-31,ID_14,http://regnskaber.virk.dk/92295682/Y3ZyLmRrOi8vcGRmcy8yODY1OTIyOTtBcFMzNzc3NjI7MjAxMjAxMDE7MjAxMjEyMzE7UjtS.pdf,http://regnskaber.virk.dk/92295682/Y3ZyLmRrOi8veGJybHMvWC1FMDk0NEYyNS0yMDEzMDUzMV8xNTQ0MzhfNTM5.xml,"4000, Roskilde","Kamstrup, Kamstrupvej 55E","4000, Roskilde",Ledreborg AllÃ© 130 i,Til kapitalejerne i Kamstrup 2006 ApS,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2012 samt af resultatet af selskabets aktiviteter og pengestrÃ¸mme for regnskabsÃ¥ret 1. januar 2012 - 31. december 2012.",2006-07-05,2013-05-31,Registreret revisor,". Forpligtelser i henhold til leje- eller leasingkontrakter, der ikke er indregnet i balancen",,,11332609.0,28659229.0,11332609.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for 1. januar 2012 - 31. december 2012 for Kamstrup 2006 ApS.,"Vi har revideret Ã¥rsregnskabet for Kamstrup 2006 ApS for regnskabsÃ¥ret 1. januar 2012 - 31. december 2012, der omfatter anvendt regnskabspraksis, resultatopgÃ¸relse, balance og noter. Ãrsregnskabet udarbejdes efter Ã¥rsregnskabsloven.",. Tilgodehavender hos virksomhedsdeltagere og ledelse,Ãrsrapport,Merete Jacobsen,Bahman Separlous,Bahman Separlous,"Mer Revision, FSR - danske revisorer",Kamstrup 2006 ApS,"Mer Revision, FSR - danske revisorer",,,127514.0,,,2012-12-31,2012-01-01,2013-05-31,Roskilde,,Administrerende direktÃ¸r,urn:ofk:oid:17714074,indberetninger-20180424,2.5118417999999996,28659229.0,,2018-04-01T17:28:45.761Z,2013-06-04T22:00:00.000Z,regnskab,0.0,,2012-12-31,2012-01-01,13-93.336,2013-06-04T22:00:00.000Z,,,,,,,,,,,,,,,,,,,,,,,,
entity identifier,2011-12-31,2011-12-31,ID_16,http://regnskaber.virk.dk/92295682/Y3ZyLmRrOi8vcGRmcy8yODY1OTIyOTtBcFMzNzc3NjI7MjAxMjAxMDE7MjAxMjEyMzE7UjtS.pdf,http://regnskaber.virk.dk/92295682/Y3ZyLmRrOi8veGJybHMvWC1FMDk0NEYyNS0yMDEzMDUzMV8xNTQ0MzhfNTM5.xml,"4000, Roskilde","Kamstrup, Kamstrupvej 55E","4000, Roskilde",Ledreborg AllÃ© 130 i,Til kapitalejerne i Kamstrup 2006 ApS,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2012 samt af resultatet af selskabets aktiviteter og pengestrÃ¸mme for regnskabsÃ¥ret 1. januar 2012 - 31. december 2012.",2006-07-05,2013-05-31,Registreret revisor,". Forpligtelser i henhold til leje- eller leasingkontrakter, der ikke er indregnet i balancen",,,11332609.0,28659229.0,11332609.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for 1. januar 2012 - 31. december 2012 for Kamstrup 2006 ApS.,"Vi har revideret Ã¥rsregnskabet for Kamstrup 2006 ApS for regnskabsÃ¥ret 1. januar 2012 - 31. december 2012, der omfatter anvendt regnskabspraksis, resultatopgÃ¸relse, balance og noter. Ãrsregnskabet udarbejdes efter Ã¥rsregnskabsloven.",. Tilgodehavender hos virksomhedsdeltagere og ledelse,Ãrsrapport,Merete Jacobsen,Bahman Separlous,Bahman Separlous,"Mer Revision, FSR - danske revisorer",Kamstrup 2006 ApS,"Mer Revision, FSR - danske revisorer",,,,,,2012-12-31,2012-01-01,2013-05-31,Roskilde,,Administrerende direktÃ¸r,urn:ofk:oid:17714074,indberetninger-20180424,2.5118417999999996,28659229.0,,2018-04-01T17:28:45.761Z,2013-06-04T22:00:00.000Z,regnskab,0.0,,2012-12-31,2012-01-01,13-93.336,2013-06-04T22:00:00.000Z,6292203.0,0.0,-125000.0,364319.0,-1519614.0,5927884.0,-6292203.0,-4772589.0,-3466747.0,-3466747.0,5927884.0,-530739.0,20539.0,5927884.0,-1394614.0,-36493.0,0.0,-1305842.0,-226000.0,-304851.0,-90531.0,364319.0,343780.0,-117228.0
entity identifier,2012-01-01,2012-12-31,ID_0,http://regnskaber.virk.dk/92295682/Y3ZyLmRrOi8vcGRmcy8yODY1OTIyOTtBcFMzNzc3NjI7MjAxMjAxMDE7MjAxMjEyMzE7UjtS.pdf,http://regnskaber.virk.dk/92295682/Y3ZyLmRrOi8veGJybHMvWC1FMDk0NEYyNS0yMDEzMDUzMV8xNTQ0MzhfNTM5.xml,"4000, Roskilde","Kamstrup, Kamstrupvej 55E","4000, Roskilde",Ledreborg AllÃ© 130 i,Til kapitalejerne i Kamstrup 2006 ApS,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2012 samt af resultatet af selskabets aktiviteter og pengestrÃ¸mme for regnskabsÃ¥ret 1. januar 2012 - 31. december 2012.",2006-07-05,2013-05-31,Registreret revisor,". Forpligtelser i henhold til leje- eller leasingkontrakter, der ikke er indregnet i balancen",,,11332609.0,28659229.0,11332609.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for 1. januar 2012 - 31. december 2012 for Kamstrup 2006 ApS.,"Vi har revideret Ã¥rsregnskabet for Kamstrup 2006 ApS for regnskabsÃ¥ret 1. januar 2012 - 31. december 2012, der omfatter anvendt regnskabspraksis, resultatopgÃ¸relse, balance og noter. Ãrsregnskabet udarbejdes efter Ã¥rsregnskabsloven.",. Tilgodehavender hos virksomhedsdeltagere og ledelse,Ãrsrapport,Merete Jacobsen,Bahman Separlous,Bahman Separlous,"Mer Revision, FSR - danske revisorer",Kamstrup 2006 ApS,"Mer Revision, FSR - danske revisorer",,,,,,2012-12-31,2012-01-01,2013-05-31,Roskilde,,Administrerende direktÃ¸r,urn:ofk:oid:17714074,indberetninger-20180424,2.5118417999999996,28659229.0,,2018-04-01T17:28:45.761Z,2013-06-04T22:00:00.000Z,regnskab,0.0,,2012-12-31,2012-01-01,13-93.336,2013-06-04T22:00:00.000Z,,,,,,,,,,,,,,,,,,,,,,,,
entity identifier,2012-01-01,2012-12-31,ID_1,http://regnskaber.virk.dk/92295682/Y3ZyLmRrOi8vcGRmcy8yODY1OTIyOTtBcFMzNzc3NjI7MjAxMjAxMDE7MjAxMjEyMzE7UjtS.pdf,http://regnskaber.virk.dk/92295682/Y3ZyLmRrOi8veGJybHMvWC1FMDk0NEYyNS0yMDEzMDUzMV8xNTQ0MzhfNTM5.xml,"4000, Roskilde","Kamstrup, Kamstrupvej 55E","4000, Roskilde",Ledreborg AllÃ© 130 i,Til kapitalejerne i Kamstrup 2006 ApS,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2012 samt af resultatet af selskabets aktiviteter og pengestrÃ¸mme for regnskabsÃ¥ret 1. januar 2012 - 31. december 2012.",2006-07-05,2013-05-31,Registreret revisor,". Forpligtelser i henhold til leje- eller leasingkontrakter, der ikke er indregnet i balancen",,,11332609.0,28659229.0,11332609.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for 1. januar 2012 - 31. december 2012 for Kamstrup 2006 ApS.,"Vi har revideret Ã¥rsregnskabet for Kamstrup 2006 ApS for regnskabsÃ¥ret 1. januar 2012 - 31. december 2012, der omfatter anvendt regnskabspraksis, resultatopgÃ¸relse, balance og noter. Ãrsregnskabet udarbejdes efter Ã¥rsregnskabsloven.",. Tilgodehavender hos virksomhedsdeltagere og ledelse,Ãrsrapport,Merete Jacobsen,Bahman Separlous,Bahman Separlous,"Mer Revision, FSR - danske revisorer",Kamstrup 2006 ApS,"Mer Revision, FSR - danske revisorer",,,,,,2012-12-31,2012-01-01,2013-05-31,Roskilde,,Administrerende direktÃ¸r,urn:ofk:oid:17714074,indberetninger-20180424,2.5118417999999996,28659229.0,,2018-04-01T17:28:45.761Z,2013-06-04T22:00:00.000Z,regnskab,0.0,,2012-12-31,2012-01-01,13-93.336,2013-06-04T22:00:00.000Z,,,,,,,,,,,,,,,,,,,,,,,,
entity identifier,2012-01-01,2012-12-31,ID_11,http://regnskaber.virk.dk/92295682/Y3ZyLmRrOi8vcGRmcy8yODY1OTIyOTtBcFMzNzc3NjI7MjAxMjAxMDE7MjAxMjEyMzE7UjtS.pdf,http://regnskaber.virk.dk/92295682/Y3ZyLmRrOi8veGJybHMvWC1FMDk0NEYyNS0yMDEzMDUzMV8xNTQ0MzhfNTM5.xml,"4000, Roskilde","Kamstrup, Kamstrupvej 55E","4000, Roskilde",Ledreborg AllÃ© 130 i,Til kapitalejerne i Kamstrup 2006 ApS,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2012 samt af resultatet af selskabets aktiviteter og pengestrÃ¸mme for regnskabsÃ¥ret 1. januar 2012 - 31. december 2012.",2006-07-05,2013-05-31,Registreret revisor,". Forpligtelser i henhold til leje- eller leasingkontrakter, der ikke er indregnet i balancen",,,11332609.0,28659229.0,11332609.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for 1. januar 2012 - 31. december 2012 for Kamstrup 2006 ApS.,"Vi har revideret Ã¥rsregnskabet for Kamstrup 2006 ApS for regnskabsÃ¥ret 1. januar 2012 - 31. december 2012, der omfatter anvendt regnskabspraksis, resultatopgÃ¸relse, balance og noter. Ãrsregnskabet udarbejdes efter Ã¥rsregnskabsloven.",. Tilgodehavender hos virksomhedsdeltagere og ledelse,Ãrsrapport,Merete Jacobsen,Bahman Separlous,Bahman Separlous,"Mer Revision, FSR - danske revisorer",Kamstrup 2006 ApS,"Mer Revision, FSR - danske revisorer",,,492798.0,,,2012-12-31,2012-01-01,2013-05-31,Roskilde,,Administrerende direktÃ¸r,urn:ofk:oid:17714074,indberetninger-20180424,2.5118417999999996,28659229.0,,2018-04-01T17:28:45.761Z,2013-06-04T22:00:00.000Z,regnskab,0.0,,2012-12-31,2012-01-01,13-93.336,2013-06-04T22:00:00.000Z,,,,,,,,,,,,,,,,,,,,,,,,
entity identifier,2012-01-01,2012-12-31,ID_13,http://regnskaber.virk.dk/92295682/Y3ZyLmRrOi8vcGRmcy8yODY1OTIyOTtBcFMzNzc3NjI7MjAxMjAxMDE7MjAxMjEyMzE7UjtS.pdf,http://regnskaber.virk.dk/92295682/Y3ZyLmRrOi8veGJybHMvWC1FMDk0NEYyNS0yMDEzMDUzMV8xNTQ0MzhfNTM5.xml,"4000, Roskilde","Kamstrup, Kamstrupvej 55E","4000, Roskilde",Ledreborg AllÃ© 130 i,Til kapitalejerne i Kamstrup 2006 ApS,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2012 samt af resultatet af selskabets aktiviteter og pengestrÃ¸mme for regnskabsÃ¥ret 1. januar 2012 - 31. december 2012.",2006-07-05,2013-05-31,Registreret revisor,". Forpligtelser i henhold til leje- eller leasingkontrakter, der ikke er indregnet i balancen",,,11332609.0,28659229.0,11332609.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for 1. januar 2012 - 31. december 2012 for Kamstrup 2006 ApS.,"Vi har revideret Ã¥rsregnskabet for Kamstrup 2006 ApS for regnskabsÃ¥ret 1. januar 2012 - 31. december 2012, der omfatter anvendt regnskabspraksis, resultatopgÃ¸relse, balance og noter. Ãrsregnskabet udarbejdes efter Ã¥rsregnskabsloven.",. Tilgodehavender hos virksomhedsdeltagere og ledelse,Ãrsrapport,Merete Jacobsen,Bahman Separlous,Bahman Separlous,"Mer Revision, FSR - danske revisorer",Kamstrup 2006 ApS,"Mer Revision, FSR - danske revisorer",,,492798.0,,,2012-12-31,2012-01-01,2013-05-31,Roskilde,,Administrerende direktÃ¸r,urn:ofk:oid:17714074,indberetninger-20180424,2.5118417999999996,28659229.0,,2018-04-01T17:28:45.761Z,2013-06-04T22:00:00.000Z,regnskab,0.0,,2012-12-31,2012-01-01,13-93.336,2013-06-04T22:00:00.000Z,,,,,,,,,,,,,,,,,,,,,,,,
entity identifier,2012-01-01,2012-12-31,ID_17,http://regnskaber.virk.dk/92295682/Y3ZyLmRrOi8vcGRmcy8yODY1OTIyOTtBcFMzNzc3NjI7MjAxMjAxMDE7MjAxMjEyMzE7UjtS.pdf,http://regnskaber.virk.dk/92295682/Y3ZyLmRrOi8veGJybHMvWC1FMDk0NEYyNS0yMDEzMDUzMV8xNTQ0MzhfNTM5.xml,"4000, Roskilde","Kamstrup, Kamstrupvej 55E","4000, Roskilde",Ledreborg AllÃ© 130 i,Til kapitalejerne i Kamstrup 2006 ApS,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2012 samt af resultatet af selskabets aktiviteter og pengestrÃ¸mme for regnskabsÃ¥ret 1. januar 2012 - 31. december 2012.",2006-07-05,2013-05-31,Registreret revisor,". Forpligtelser i henhold til leje- eller leasingkontrakter, der ikke er indregnet i balancen",,,11332609.0,28659229.0,11332609.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for 1. januar 2012 - 31. december 2012 for Kamstrup 2006 ApS.,"Vi har revideret Ã¥rsregnskabet for Kamstrup 2006 ApS for regnskabsÃ¥ret 1. januar 2012 - 31. december 2012, der omfatter anvendt regnskabspraksis, resultatopgÃ¸relse, balance og noter. Ãrsregnskabet udarbejdes efter Ã¥rsregnskabsloven.",. Tilgodehavender hos virksomhedsdeltagere og ledelse,Ãrsrapport,Merete Jacobsen,Bahman Separlous,Bahman Separlous,"Mer Revision, FSR - danske revisorer",Kamstrup 2006 ApS,"Mer Revision, FSR - danske revisorer",,,,,,2012-12-31,2012-01-01,2013-05-31,Roskilde,,Administrerende direktÃ¸r,urn:ofk:oid:17714074,indberetninger-20180424,2.5118417999999996,28659229.0,,2018-04-01T17:28:45.761Z,2013-06-04T22:00:00.000Z,regnskab,0.0,,2012-12-31,2012-01-01,13-93.336,2013-06-04T22:00:00.000Z,,,,,,,,,,,,,,,,,,,,,,,,
entity identifier,2012-01-01,2012-12-31,ID_18,http://regnskaber.virk.dk/92295682/Y3ZyLmRrOi8vcGRmcy8yODY1OTIyOTtBcFMzNzc3NjI7MjAxMjAxMDE7MjAxMjEyMzE7UjtS.pdf,http://regnskaber.virk.dk/92295682/Y3ZyLmRrOi8veGJybHMvWC1FMDk0NEYyNS0yMDEzMDUzMV8xNTQ0MzhfNTM5.xml,"4000, Roskilde","Kamstrup, Kamstrupvej 55E","4000, Roskilde",Ledreborg AllÃ© 130 i,Til kapitalejerne i Kamstrup 2006 ApS,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2012 samt af resultatet af selskabets aktiviteter og pengestrÃ¸mme for regnskabsÃ¥ret 1. januar 2012 - 31. december 2012.",2006-07-05,2013-05-31,Registreret revisor,". Forpligtelser i henhold til leje- eller leasingkontrakter, der ikke er indregnet i balancen",,,11332609.0,28659229.0,11332609.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for 1. januar 2012 - 31. december 2012 for Kamstrup 2006 ApS.,"Vi har revideret Ã¥rsregnskabet for Kamstrup 2006 ApS for regnskabsÃ¥ret 1. januar 2012 - 31. december 2012, der omfatter anvendt regnskabspraksis, resultatopgÃ¸relse, balance og noter. Ãrsregnskabet udarbejdes efter Ã¥rsregnskabsloven.",. Tilgodehavender hos virksomhedsdeltagere og ledelse,Ãrsrapport,Merete Jacobsen,Bahman Separlous,Bahman Separlous,"Mer Revision, FSR - danske revisorer",Kamstrup 2006 ApS,"Mer Revision, FSR - danske revisorer",,,,,,2012-12-31,2012-01-01,2013-05-31,Roskilde,,Administrerende direktÃ¸r,urn:ofk:oid:17714074,indberetninger-20180424,2.5118417999999996,28659229.0,,2018-04-01T17:28:45.761Z,2013-06-04T22:00:00.000Z,regnskab,0.0,,2012-12-31,2012-01-01,13-93.336,2013-06-04T22:00:00.000Z,,,,,,,,,,,,,,,,,,,,,,,,
