entity,start_date,end_date,context,AARSRAPPORT_html,AARSRAPPORT_pdf,AARSRAPPORT_xml,AccountingPoliciesAreUnchangedFromPreviousPeriod,AddressOfSubmittingEnterprisePostcodeAndTown,AddressOfSubmittingEnterpriseStreetAndNumber,AddresseeOfAuditorsReportOnOtherReport,ClassOfReportingEntity,ConfirmationThatAnnualReportIsPresentedInAccordanceWithRequirementsProvidedForByLegislationAnyStandardsAndRequirementsProvidedByArticlesOfAssociationOrByAgreement,ConfirmationThatFinancialStatementGivesTrueAndFairViewOfAssetsLiabilitiesEquityFinancialPositionAndResults,ConfirmationThatFinancialStatementsAreExemptedFromAuditing,DateOfApprovalOfAnnualReport,DateOfApprovalOfReport,DateOfFoundationOfReportingEntity,DateOfGeneralMeeting,DepreciationAmortisationExpenseAndImpairmentLossesOfPropertyPlantAndEquipmentAndIntangibleAssetsRecognisedInProfitOrLoss,EmailOfReportingEntity,GrossProfitLoss,IdentificationNumberCvrOfAuditFirm,IdentificationNumberCvrOfReportingEntity,IdentificationNumberCvrOfSubmittingEnterprise,IdentificationNumberOfAuditor,IdentificationOfApprovedAnnualReport,InformationOnTypeOfSubmittedReport,ManagementsStatementAboutManagementsReview,NameAndSurnameOfAuditor,NameAndSurnameOfChairmanOfGeneralMeeting,NameOfAuditFirm,NameOfReportingEntity,NameOfSubmittingEnterprise,OtherFinanceExpenses,OtherFinanceIncome,PlaceOfSignatureOfStatement,PrecedingReportingPeriodStartDate,PredingReportingPeriodEndDate,ProfitLoss,ProfitLossFromOrdinaryActivitiesBeforeTax,ProfitLossFromOrdinaryOperatingActivities,RecommendationForApprovalOfAnnualReportByGeneralMeeting,RegisteredOfficeOfReportingEntity,ReportingPeriodEndDate,ReportingPeriodStartDate,SelectedElementsFromReportingClassC,SignatureOfAuditorsDate,SignatureOfAuditorsPlace,TaxExpenseOnOrdinaryActivities,TelephoneNumberOfReportingEntity,TitleOfMemberOfExecutiveBoard,TypeOfAuditorAssistance,_id,_index,_score,cvrNummer,indlaesningsId,indlaesningsTidspunkt,offentliggoerelsesTidspunkt,offentliggoerelsestype,omgoerelse,regNummer,regnskabsperiode_slutDato,regnskabsperiode_startDato,sagsNummer,sidstOpdateret,Assets,CashAndCashEquivalents,ContributedCapital,CurrentAssets,CurrentDeferredTaxAssets,DeferredIncomeAssets,Equity,LandAndBuildings,LiabilitiesAndEquity,LiabilitiesOtherThanProvisions,LongtermInvestmentsAndReceivables,LongtermInvestmentsInGroupEnterprises,LongtermLiabilitiesOtherThanProvisions,LongtermMortgageDebt,NoncurrentAssets,OtherShorttermPayables,OtherShorttermReceivables,PropertyPlantAndEquipment,RetainedEarnings,ShorttermLiabilitiesOtherThanProvisions,ShorttermPayablesToGroupEnterprises,ShorttermReceivables,ShorttermReceivablesFromGroupEnterprises,NameAndSurnameOfMemberOfExecutiveBoard
29600341,2017-01-01,2017-12-31,ID_7,,http://regnskaber.virk.dk/14300692/ZG9rdW1lbnRsYWdlcjovLzAzL2JlLzcyLzgzLzE4LzA1ZTMtNDdjMS1hZTM4LTJiYjdlZjQ2MmM3Yg.pdf,http://regnskaber.virk.dk/14300692/ZG9rdW1lbnRsYWdlcjovLzAzLzUyL2FlLzEzL2YzL2NhMzEtNDI4NC1hNjhlLTZiYTE0ZGFjNWMxYg.xml,true,"HolbÃ¦k, 4300","Ahlgade 52, 1. sal",Til den daglige ledelse i Wolmer Gruppen Adm. ApS,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31-12-2018 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 01-01-2018 - 31-12-2018.",Betingelserne for at undlade revision af Ã¥rsregnskabet anses som opfyldt.,2019-05-31,2019-05-31,2006-04-01,2019-05-31,1628130.0,kontor@wolmergruppen.dk,-55328.0,33074441.0,29600341.0,33074441.0,mne15369,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 01-01-2018 - 31-12-2018 for Wolmer Gruppen Adm. ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",RenÃ© K. Damgaard,Tomasz Makowski,Damgaard Revision,Wolmer Gruppen Adm. ApS,Damgaard Revision,100864.0,0.0,NykÃ¸bing Sj.,2017-01-01,2017-12-31,-1784322.0,-1784322.0,-1683458.0,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,"306, Odsherred",2018-12-31,2018-01-01,false,2019-05-31,HolbÃ¦k,0.0,39959595.0,DirektÃ¸r,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:27433972,indberetninger-20180424,2.5124402000000003,29600341.0,AWstV6soRYGX6_YTIgZf,2019-06-06T15:11:41.460Z,2019-06-06T15:10:48.004Z,regnskab,0.0,,2018-12-31,2018-01-01,X19-BK-92-RC,2019-06-06T15:10:48.206Z,,,,,,,,,,,,,,,,,,,,,,,,
29600341,2017-01-01,2017-12-31,ID_9,,http://regnskaber.virk.dk/14300692/ZG9rdW1lbnRsYWdlcjovLzAzL2JlLzcyLzgzLzE4LzA1ZTMtNDdjMS1hZTM4LTJiYjdlZjQ2MmM3Yg.pdf,http://regnskaber.virk.dk/14300692/ZG9rdW1lbnRsYWdlcjovLzAzLzUyL2FlLzEzL2YzL2NhMzEtNDI4NC1hNjhlLTZiYTE0ZGFjNWMxYg.xml,true,"HolbÃ¦k, 4300","Ahlgade 52, 1. sal",Til den daglige ledelse i Wolmer Gruppen Adm. ApS,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31-12-2018 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 01-01-2018 - 31-12-2018.",Betingelserne for at undlade revision af Ã¥rsregnskabet anses som opfyldt.,2019-05-31,2019-05-31,2006-04-01,2019-05-31,,kontor@wolmergruppen.dk,,33074441.0,29600341.0,33074441.0,mne15369,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 01-01-2018 - 31-12-2018 for Wolmer Gruppen Adm. ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",RenÃ© K. Damgaard,Tomasz Makowski,Damgaard Revision,Wolmer Gruppen Adm. ApS,Damgaard Revision,,,NykÃ¸bing Sj.,2017-01-01,2017-12-31,-1784324.0,,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,"306, Odsherred",2018-12-31,2018-01-01,false,2019-05-31,HolbÃ¦k,,39959595.0,DirektÃ¸r,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:27433972,indberetninger-20180424,2.5124402000000003,29600341.0,AWstV6soRYGX6_YTIgZf,2019-06-06T15:11:41.460Z,2019-06-06T15:10:48.004Z,regnskab,0.0,,2018-12-31,2018-01-01,X19-BK-92-RC,2019-06-06T15:10:48.206Z,,,,,,,,,,,,,,,,,,,,,,,,
29600341,2017-12-31,2017-12-31,ID_6,,http://regnskaber.virk.dk/14300692/ZG9rdW1lbnRsYWdlcjovLzAzL2JlLzcyLzgzLzE4LzA1ZTMtNDdjMS1hZTM4LTJiYjdlZjQ2MmM3Yg.pdf,http://regnskaber.virk.dk/14300692/ZG9rdW1lbnRsYWdlcjovLzAzLzUyL2FlLzEzL2YzL2NhMzEtNDI4NC1hNjhlLTZiYTE0ZGFjNWMxYg.xml,true,"HolbÃ¦k, 4300","Ahlgade 52, 1. sal",Til den daglige ledelse i Wolmer Gruppen Adm. ApS,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31-12-2018 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 01-01-2018 - 31-12-2018.",Betingelserne for at undlade revision af Ã¥rsregnskabet anses som opfyldt.,2019-05-31,2019-05-31,2006-04-01,2019-05-31,,kontor@wolmergruppen.dk,,33074441.0,29600341.0,33074441.0,mne15369,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 01-01-2018 - 31-12-2018 for Wolmer Gruppen Adm. ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",RenÃ© K. Damgaard,Tomasz Makowski,Damgaard Revision,Wolmer Gruppen Adm. ApS,Damgaard Revision,,,NykÃ¸bing Sj.,2017-01-01,2017-12-31,,,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,"306, Odsherred",2018-12-31,2018-01-01,false,2019-05-31,HolbÃ¦k,,39959595.0,DirektÃ¸r,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:27433972,indberetninger-20180424,2.5124402000000003,29600341.0,AWstV6soRYGX6_YTIgZf,2019-06-06T15:11:41.460Z,2019-06-06T15:10:48.004Z,regnskab,0.0,,2018-12-31,2018-01-01,X19-BK-92-RC,2019-06-06T15:10:48.206Z,1964493.0,341719.0,155001.0,364493.0,0.0,0.0,187238.0,1600000.0,1964493.0,1777255.0,0.0,0.0,1712000.0,1712000.0,1600000.0,65255.0,17597.0,1600000.0,32237.0,65255.0,0.0,22774.0,5177.0,
29600341,2018-01-01,2018-12-31,ID_0,,http://regnskaber.virk.dk/14300692/ZG9rdW1lbnRsYWdlcjovLzAzL2JlLzcyLzgzLzE4LzA1ZTMtNDdjMS1hZTM4LTJiYjdlZjQ2MmM3Yg.pdf,http://regnskaber.virk.dk/14300692/ZG9rdW1lbnRsYWdlcjovLzAzLzUyL2FlLzEzL2YzL2NhMzEtNDI4NC1hNjhlLTZiYTE0ZGFjNWMxYg.xml,true,"HolbÃ¦k, 4300","Ahlgade 52, 1. sal",Til den daglige ledelse i Wolmer Gruppen Adm. ApS,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31-12-2018 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 01-01-2018 - 31-12-2018.",Betingelserne for at undlade revision af Ã¥rsregnskabet anses som opfyldt.,2019-05-31,2019-05-31,2006-04-01,2019-05-31,-187500.0,kontor@wolmergruppen.dk,-88676.0,33074441.0,29600341.0,33074441.0,mne15369,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 01-01-2018 - 31-12-2018 for Wolmer Gruppen Adm. ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",RenÃ© K. Damgaard,Tomasz Makowski,Damgaard Revision,Wolmer Gruppen Adm. ApS,Damgaard Revision,70654.0,8826.0,NykÃ¸bing Sj.,2017-01-01,2017-12-31,271891.0,36996.0,98824.0,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,"306, Odsherred",2018-12-31,2018-01-01,false,2019-05-31,HolbÃ¦k,-234895.0,39959595.0,DirektÃ¸r,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:27433972,indberetninger-20180424,2.5124402000000003,29600341.0,AWstV6soRYGX6_YTIgZf,2019-06-06T15:11:41.460Z,2019-06-06T15:10:48.004Z,regnskab,0.0,,2018-12-31,2018-01-01,X19-BK-92-RC,2019-06-06T15:10:48.206Z,,,,,,,,,,,,,,,,,,,,,,,,
29600341,2018-01-01,2018-12-31,ID_1,,http://regnskaber.virk.dk/14300692/ZG9rdW1lbnRsYWdlcjovLzAzL2JlLzcyLzgzLzE4LzA1ZTMtNDdjMS1hZTM4LTJiYjdlZjQ2MmM3Yg.pdf,http://regnskaber.virk.dk/14300692/ZG9rdW1lbnRsYWdlcjovLzAzLzUyL2FlLzEzL2YzL2NhMzEtNDI4NC1hNjhlLTZiYTE0ZGFjNWMxYg.xml,true,"HolbÃ¦k, 4300","Ahlgade 52, 1. sal",Til den daglige ledelse i Wolmer Gruppen Adm. ApS,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31-12-2018 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 01-01-2018 - 31-12-2018.",Betingelserne for at undlade revision af Ã¥rsregnskabet anses som opfyldt.,2019-05-31,2019-05-31,2006-04-01,2019-05-31,,kontor@wolmergruppen.dk,,33074441.0,29600341.0,33074441.0,mne15369,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 01-01-2018 - 31-12-2018 for Wolmer Gruppen Adm. ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",RenÃ© K. Damgaard,Tomasz Makowski,Damgaard Revision,Wolmer Gruppen Adm. ApS,Damgaard Revision,,,NykÃ¸bing Sj.,2017-01-01,2017-12-31,,,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,"306, Odsherred",2018-12-31,2018-01-01,false,2019-05-31,HolbÃ¦k,,39959595.0,DirektÃ¸r,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:27433972,indberetninger-20180424,2.5124402000000003,29600341.0,AWstV6soRYGX6_YTIgZf,2019-06-06T15:11:41.460Z,2019-06-06T15:10:48.004Z,regnskab,0.0,,2018-12-31,2018-01-01,X19-BK-92-RC,2019-06-06T15:10:48.206Z,,,,,,,,,,,,,,,,,,,,,,,,
29600341,2018-01-01,2018-12-31,ID_2,,http://regnskaber.virk.dk/14300692/ZG9rdW1lbnRsYWdlcjovLzAzL2JlLzcyLzgzLzE4LzA1ZTMtNDdjMS1hZTM4LTJiYjdlZjQ2MmM3Yg.pdf,http://regnskaber.virk.dk/14300692/ZG9rdW1lbnRsYWdlcjovLzAzLzUyL2FlLzEzL2YzL2NhMzEtNDI4NC1hNjhlLTZiYTE0ZGFjNWMxYg.xml,true,"HolbÃ¦k, 4300","Ahlgade 52, 1. sal",Til den daglige ledelse i Wolmer Gruppen Adm. ApS,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31-12-2018 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 01-01-2018 - 31-12-2018.",Betingelserne for at undlade revision af Ã¥rsregnskabet anses som opfyldt.,2019-05-31,2019-05-31,2006-04-01,2019-05-31,,kontor@wolmergruppen.dk,,33074441.0,29600341.0,33074441.0,mne15369,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 01-01-2018 - 31-12-2018 for Wolmer Gruppen Adm. ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",RenÃ© K. Damgaard,Tomasz Makowski,Damgaard Revision,Wolmer Gruppen Adm. ApS,Damgaard Revision,,,NykÃ¸bing Sj.,2017-01-01,2017-12-31,,,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,"306, Odsherred",2018-12-31,2018-01-01,false,2019-05-31,HolbÃ¦k,,39959595.0,DirektÃ¸r,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:27433972,indberetninger-20180424,2.5124402000000003,29600341.0,AWstV6soRYGX6_YTIgZf,2019-06-06T15:11:41.460Z,2019-06-06T15:10:48.004Z,regnskab,0.0,,2018-12-31,2018-01-01,X19-BK-92-RC,2019-06-06T15:10:48.206Z,,,,,,,,,,,,,,,,,,,,,,,,
29600341,2018-01-01,2018-12-31,ID_3,,http://regnskaber.virk.dk/14300692/ZG9rdW1lbnRsYWdlcjovLzAzL2JlLzcyLzgzLzE4LzA1ZTMtNDdjMS1hZTM4LTJiYjdlZjQ2MmM3Yg.pdf,http://regnskaber.virk.dk/14300692/ZG9rdW1lbnRsYWdlcjovLzAzLzUyL2FlLzEzL2YzL2NhMzEtNDI4NC1hNjhlLTZiYTE0ZGFjNWMxYg.xml,true,"HolbÃ¦k, 4300","Ahlgade 52, 1. sal",Til den daglige ledelse i Wolmer Gruppen Adm. ApS,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31-12-2018 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 01-01-2018 - 31-12-2018.",Betingelserne for at undlade revision af Ã¥rsregnskabet anses som opfyldt.,2019-05-31,2019-05-31,2006-04-01,2019-05-31,,kontor@wolmergruppen.dk,,33074441.0,29600341.0,33074441.0,mne15369,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 01-01-2018 - 31-12-2018 for Wolmer Gruppen Adm. ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",RenÃ© K. Damgaard,Tomasz Makowski,Damgaard Revision,Wolmer Gruppen Adm. ApS,Damgaard Revision,,,NykÃ¸bing Sj.,2017-01-01,2017-12-31,,,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,"306, Odsherred",2018-12-31,2018-01-01,false,2019-05-31,HolbÃ¦k,,39959595.0,DirektÃ¸r,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:27433972,indberetninger-20180424,2.5124402000000003,29600341.0,AWstV6soRYGX6_YTIgZf,2019-06-06T15:11:41.460Z,2019-06-06T15:10:48.004Z,regnskab,0.0,,2018-12-31,2018-01-01,X19-BK-92-RC,2019-06-06T15:10:48.206Z,,,,,,,,,,,,,,,,,,,,,,,,Morten Bardrum
29600341,2018-01-01,2018-12-31,ID_4,,http://regnskaber.virk.dk/14300692/ZG9rdW1lbnRsYWdlcjovLzAzL2JlLzcyLzgzLzE4LzA1ZTMtNDdjMS1hZTM4LTJiYjdlZjQ2MmM3Yg.pdf,http://regnskaber.virk.dk/14300692/ZG9rdW1lbnRsYWdlcjovLzAzLzUyL2FlLzEzL2YzL2NhMzEtNDI4NC1hNjhlLTZiYTE0ZGFjNWMxYg.xml,true,"HolbÃ¦k, 4300","Ahlgade 52, 1. sal",Til den daglige ledelse i Wolmer Gruppen Adm. ApS,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31-12-2018 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 01-01-2018 - 31-12-2018.",Betingelserne for at undlade revision af Ã¥rsregnskabet anses som opfyldt.,2019-05-31,2019-05-31,2006-04-01,2019-05-31,,kontor@wolmergruppen.dk,,33074441.0,29600341.0,33074441.0,mne15369,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 01-01-2018 - 31-12-2018 for Wolmer Gruppen Adm. ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",RenÃ© K. Damgaard,Tomasz Makowski,Damgaard Revision,Wolmer Gruppen Adm. ApS,Damgaard Revision,,,NykÃ¸bing Sj.,2017-01-01,2017-12-31,,,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,"306, Odsherred",2018-12-31,2018-01-01,false,2019-05-31,HolbÃ¦k,,39959595.0,DirektÃ¸r,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:27433972,indberetninger-20180424,2.5124402000000003,29600341.0,AWstV6soRYGX6_YTIgZf,2019-06-06T15:11:41.460Z,2019-06-06T15:10:48.004Z,regnskab,0.0,,2018-12-31,2018-01-01,X19-BK-92-RC,2019-06-06T15:10:48.206Z,,,,,,,,,,,,,,,,,,,,,,,,
29600341,2018-01-01,2018-12-31,ID_8,,http://regnskaber.virk.dk/14300692/ZG9rdW1lbnRsYWdlcjovLzAzL2JlLzcyLzgzLzE4LzA1ZTMtNDdjMS1hZTM4LTJiYjdlZjQ2MmM3Yg.pdf,http://regnskaber.virk.dk/14300692/ZG9rdW1lbnRsYWdlcjovLzAzLzUyL2FlLzEzL2YzL2NhMzEtNDI4NC1hNjhlLTZiYTE0ZGFjNWMxYg.xml,true,"HolbÃ¦k, 4300","Ahlgade 52, 1. sal",Til den daglige ledelse i Wolmer Gruppen Adm. ApS,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31-12-2018 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 01-01-2018 - 31-12-2018.",Betingelserne for at undlade revision af Ã¥rsregnskabet anses som opfyldt.,2019-05-31,2019-05-31,2006-04-01,2019-05-31,,kontor@wolmergruppen.dk,,33074441.0,29600341.0,33074441.0,mne15369,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 01-01-2018 - 31-12-2018 for Wolmer Gruppen Adm. ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",RenÃ© K. Damgaard,Tomasz Makowski,Damgaard Revision,Wolmer Gruppen Adm. ApS,Damgaard Revision,,,NykÃ¸bing Sj.,2017-01-01,2017-12-31,271891.0,,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,"306, Odsherred",2018-12-31,2018-01-01,false,2019-05-31,HolbÃ¦k,,39959595.0,DirektÃ¸r,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:27433972,indberetninger-20180424,2.5124402000000003,29600341.0,AWstV6soRYGX6_YTIgZf,2019-06-06T15:11:41.460Z,2019-06-06T15:10:48.004Z,regnskab,0.0,,2018-12-31,2018-01-01,X19-BK-92-RC,2019-06-06T15:10:48.206Z,,,,,,,,,,,,,,,,,,,,,,,,
29600341,2018-12-31,2018-12-31,ID_5,,http://regnskaber.virk.dk/14300692/ZG9rdW1lbnRsYWdlcjovLzAzL2JlLzcyLzgzLzE4LzA1ZTMtNDdjMS1hZTM4LTJiYjdlZjQ2MmM3Yg.pdf,http://regnskaber.virk.dk/14300692/ZG9rdW1lbnRsYWdlcjovLzAzLzUyL2FlLzEzL2YzL2NhMzEtNDI4NC1hNjhlLTZiYTE0ZGFjNWMxYg.xml,true,"HolbÃ¦k, 4300","Ahlgade 52, 1. sal",Til den daglige ledelse i Wolmer Gruppen Adm. ApS,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31-12-2018 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 01-01-2018 - 31-12-2018.",Betingelserne for at undlade revision af Ã¥rsregnskabet anses som opfyldt.,2019-05-31,2019-05-31,2006-04-01,2019-05-31,,kontor@wolmergruppen.dk,,33074441.0,29600341.0,33074441.0,mne15369,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 01-01-2018 - 31-12-2018 for Wolmer Gruppen Adm. ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",RenÃ© K. Damgaard,Tomasz Makowski,Damgaard Revision,Wolmer Gruppen Adm. ApS,Damgaard Revision,,,NykÃ¸bing Sj.,2017-01-01,2017-12-31,,,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,"306, Odsherred",2018-12-31,2018-01-01,false,2019-05-31,HolbÃ¦k,,39959595.0,DirektÃ¸r,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:27433972,indberetninger-20180424,2.5124402000000003,29600341.0,AWstV6soRYGX6_YTIgZf,2019-06-06T15:11:41.460Z,2019-06-06T15:10:48.004Z,regnskab,0.0,,2018-12-31,2018-01-01,X19-BK-92-RC,2019-06-06T15:10:48.206Z,2475480.0,152632.0,155001.0,508860.0,234895.0,116155.0,459129.0,1668620.0,2475480.0,2016351.0,298000.0,298000.0,0.0,0.0,1966620.0,36612.0,0.0,1668620.0,304128.0,2016351.0,1979739.0,356228.0,5178.0,
