entity,start_date,end_date,context,AARSRAPPORT_html,AARSRAPPORT_pdf,AARSRAPPORT_xml,AdditionsToInvestments,AddressOfAuditorDistrictName,AddressOfAuditorPostCodeIdentifier,AddressOfAuditorStreetBuildingIdentifier,AddressOfAuditorStreetName,AddressOfReportingEntityDistrictName,AddressOfReportingEntityPostCodeIdentifier,AddressOfReportingEntityStreetBuildingIdentifier,AddressOfReportingEntityStreetName,AddressOfSubmittingEnterprisePostcodeAndTown,AddressOfSubmittingEnterpriseStreetAndNumber,ClassOfReportingEntity,DateOfApprovalOfAnnualReport,DateOfApprovalOfReport,DateOfGeneralMeeting,DescriptionOfAuditor,IdentificationNumberCvrOfReportingEntity,IdentificationNumberCvrOfSubmittingEnterprise,IncreaseOfCapital,InformationOnTypeOfSubmittedReport,LongtermLiabilitiesOtherThanProvisionsDueAfterFiveYearsAndMore,LongtermLiabilitiesOtherThanProvisionsDueBetweenOneAndFiveYears,LongtermLiabilitiesOtherThanProvisionsDueInOneYear,NameAndSurnameOfAuditor,NameAndSurnameOfChairmanOfGeneralMeeting,NameAndSurnameOfMemberOfExecutiveBoard,NameOfReportingEntity,NameOfSubmittingEnterprise,NumberOfIssuedShares,PlaceOfSignatureOfStatement,ProfitLoss,ProfitLossRelatedToInvestments,RegisteredOfficeOfReportingEntity,ReportingPeriodEndDate,ReportingPeriodStartDate,SignatureOfAuditorsDate,SignatureOfAuditorsPlace,TypeOfAuditorAssistance,_id,_index,_score,cvrNummer,indlaesningsId,indlaesningsTidspunkt,offentliggoerelsesTidspunkt,offentliggoerelsestype,omgoerelse,regNummer,regnskabsperiode_slutDato,regnskabsperiode_startDato,sagsNummer,sidstOpdateret,AdjustmentsForDeferredTax,CurrentTaxExpense,GrossProfitLoss,IncomeFromInvestmentsInGroupEnterprises,InterestExpenseAssignedToGroupEnterprises,InterestIncomeFromGroupEnterprises,OtherAdjustmentsOfFinanceExpenses,OtherExternalExpenses,OtherFinanceExpenses,OtherFinanceIncome,ProfitLossFromOrdinaryActivitiesBeforeTax,TaxExpenseOnOrdinaryActivities,NominalValueOfIssuedShares,Assets,CashAndCashEquivalents,ContributedCapital,CurrentAssets,CurrentDeferredTaxAssets,Equity,LiabilitiesAndEquity,LiabilitiesOtherThanProvisions,LongtermInvestmentsAndReceivables,LongtermInvestmentsInGroupEnterprises,LongtermLiabilitiesOtherThanProvisions,LongtermPayablesToGroupEnterprises,LongtermReceivablesFromGroupEnterprises,NoncurrentAssets,OtherShorttermPayables,PropertyPlantAndEquipment,PropertyPlantAndEquipmentInProgress,ReserveForNetRevaluationAccordingToEquityMethod,RetainedEarnings,SharePremium,ShorttermLiabilitiesOtherThanProvisions,ShorttermPayablesToGroupEnterprises,ShorttermReceivables,ShorttermReceivablesFromGroupEnterprises,ShorttermTaxPayables,AccumulatedRevaluationsOfInvestments,InvestmentsGross,RelatedEntityLegalForm,RelatedEntityName,RelatedEntityRegisteredOffice,ShareHeldByEntityOrConsolidatedEnterprisesInRelatedEntity
34879915,2012-12-07,2013-12-31,c183,,http://regnskaber.virk.dk/51997843/ZG9rdW1lbnRsYWdlcjovLzAzLzFhLzZmLzE5LzE0LzBiOTItNDhiZi1iZTgwLTcxMzFhOGUzZjQ4Mg.pdf,http://regnskaber.virk.dk/51997843/ZG9rdW1lbnRsYWdlcjovLzAzLzcyL2QxL2FkL2NjL2ZkZmMtNGIyZi04MWY5LTVhYjAwZmJhNWVjYw.xml,7542367.0,Frederiksberg,2000.0,4.0,Osvald Helmuths Vej,Holstebro,7500.0,44.0,SÃ¸nderlandsgade,"Postboks 250, 2000 Frederiksberg",Osvald Helmuths Vej 4,Regnskabsklasse B,2015-03-30,2015-03-30,2015-03-30,statsaut. revisor,34879915.0,30700228.0,3000000.0,Ãrsrapport,42998718.0,3971646.0,0.0,Henrik Reedtz,Erez Karti,Erez Karti,DSPH ApS,Ernst & Young Godkendt Revisionspartnerselskab,3000000.0,"KÃ¸benhavn, den",6033518.0,1143455.0,Holstebro,2014-12-31,2014-01-01,2015-03-30,"KÃ¸benhavn, den",RevisionspÃ¥tegning,urn:ofk:oid:5121385,indberetninger-20180424,2.5118417999999996,34879915,,2018-03-30T09:55:17.370Z,2015-04-17T06:46:29.072Z,regnskab,0.0,,2014-12-31,2014-01-01,X15-AA-68-US,2015-04-17T06:46:29.107Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34879915,2012-12-07,2013-12-31,c195,,http://regnskaber.virk.dk/51997843/ZG9rdW1lbnRsYWdlcjovLzAzLzFhLzZmLzE5LzE0LzBiOTItNDhiZi1iZTgwLTcxMzFhOGUzZjQ4Mg.pdf,http://regnskaber.virk.dk/51997843/ZG9rdW1lbnRsYWdlcjovLzAzLzcyL2QxL2FkL2NjL2ZkZmMtNGIyZi04MWY5LTVhYjAwZmJhNWVjYw.xml,7542367.0,Frederiksberg,2000.0,4.0,Osvald Helmuths Vej,Holstebro,7500.0,44.0,SÃ¸nderlandsgade,"Postboks 250, 2000 Frederiksberg",Osvald Helmuths Vej 4,Regnskabsklasse B,2015-03-30,2015-03-30,2015-03-30,statsaut. revisor,34879915.0,30700228.0,3000000.0,Ãrsrapport,42998718.0,3971646.0,0.0,Henrik Reedtz,Erez Karti,Erez Karti,DSPH ApS,Ernst & Young Godkendt Revisionspartnerselskab,3000000.0,"KÃ¸benhavn, den",548252.0,1143455.0,Holstebro,2014-12-31,2014-01-01,2015-03-30,"KÃ¸benhavn, den",RevisionspÃ¥tegning,urn:ofk:oid:5121385,indberetninger-20180424,2.5118417999999996,34879915,,2018-03-30T09:55:17.370Z,2015-04-17T06:46:29.072Z,regnskab,0.0,,2014-12-31,2014-01-01,X15-AA-68-US,2015-04-17T06:46:29.107Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34879915,2012-12-07,2013-12-31,c4,,http://regnskaber.virk.dk/51997843/ZG9rdW1lbnRsYWdlcjovLzAzLzFhLzZmLzE5LzE0LzBiOTItNDhiZi1iZTgwLTcxMzFhOGUzZjQ4Mg.pdf,http://regnskaber.virk.dk/51997843/ZG9rdW1lbnRsYWdlcjovLzAzLzcyL2QxL2FkL2NjL2ZkZmMtNGIyZi04MWY5LTVhYjAwZmJhNWVjYw.xml,7542367.0,Frederiksberg,2000.0,4.0,Osvald Helmuths Vej,Holstebro,7500.0,44.0,SÃ¸nderlandsgade,"Postboks 250, 2000 Frederiksberg",Osvald Helmuths Vej 4,Regnskabsklasse B,2015-03-30,2015-03-30,2015-03-30,statsaut. revisor,34879915.0,30700228.0,3000000.0,Ãrsrapport,42998718.0,3971646.0,0.0,Henrik Reedtz,Erez Karti,Erez Karti,DSPH ApS,Ernst & Young Godkendt Revisionspartnerselskab,3000000.0,"KÃ¸benhavn, den",6581770.0,1143455.0,Holstebro,2014-12-31,2014-01-01,2015-03-30,"KÃ¸benhavn, den",RevisionspÃ¥tegning,urn:ofk:oid:5121385,indberetninger-20180424,2.5118417999999996,34879915,,2018-03-30T09:55:17.370Z,2015-04-17T06:46:29.072Z,regnskab,0.0,,2014-12-31,2014-01-01,X15-AA-68-US,2015-04-17T06:46:29.107Z,0.0,182750.0,-125552.0,6033519.0,2069967.0,2926520.0,0.0,125552.0,2069967.0,2926520.0,6764520.0,182750.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34879915,2013-12-31,2013-12-31,c1294,,http://regnskaber.virk.dk/51997843/ZG9rdW1lbnRsYWdlcjovLzAzLzFhLzZmLzE5LzE0LzBiOTItNDhiZi1iZTgwLTcxMzFhOGUzZjQ4Mg.pdf,http://regnskaber.virk.dk/51997843/ZG9rdW1lbnRsYWdlcjovLzAzLzcyL2QxL2FkL2NjL2ZkZmMtNGIyZi04MWY5LTVhYjAwZmJhNWVjYw.xml,7542367.0,Frederiksberg,2000.0,4.0,Osvald Helmuths Vej,Holstebro,7500.0,44.0,SÃ¸nderlandsgade,"Postboks 250, 2000 Frederiksberg",Osvald Helmuths Vej 4,Regnskabsklasse B,2015-03-30,2015-03-30,2015-03-30,statsaut. revisor,34879915.0,30700228.0,3000000.0,Ãrsrapport,42998718.0,3971646.0,0.0,Henrik Reedtz,Erez Karti,Erez Karti,DSPH ApS,Ernst & Young Godkendt Revisionspartnerselskab,3000000.0,"KÃ¸benhavn, den",,1143455.0,Holstebro,2014-12-31,2014-01-01,2015-03-30,"KÃ¸benhavn, den",RevisionspÃ¥tegning,urn:ofk:oid:5121385,indberetninger-20180424,2.5118417999999996,34879915,,2018-03-30T09:55:17.370Z,2015-04-17T06:46:29.072Z,regnskab,0.0,,2014-12-31,2014-01-01,X15-AA-68-US,2015-04-17T06:46:29.107Z,,,,,,,,,,,,,3000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34879915,2013-12-31,2013-12-31,c5,,http://regnskaber.virk.dk/51997843/ZG9rdW1lbnRsYWdlcjovLzAzLzFhLzZmLzE5LzE0LzBiOTItNDhiZi1iZTgwLTcxMzFhOGUzZjQ4Mg.pdf,http://regnskaber.virk.dk/51997843/ZG9rdW1lbnRsYWdlcjovLzAzLzcyL2QxL2FkL2NjL2ZkZmMtNGIyZi04MWY5LTVhYjAwZmJhNWVjYw.xml,7542367.0,Frederiksberg,2000.0,4.0,Osvald Helmuths Vej,Holstebro,7500.0,44.0,SÃ¸nderlandsgade,"Postboks 250, 2000 Frederiksberg",Osvald Helmuths Vej 4,Regnskabsklasse B,2015-03-30,2015-03-30,2015-03-30,statsaut. revisor,34879915.0,30700228.0,3000000.0,Ãrsrapport,42998718.0,3971646.0,0.0,Henrik Reedtz,Erez Karti,Erez Karti,DSPH ApS,Ernst & Young Godkendt Revisionspartnerselskab,3000000.0,"KÃ¸benhavn, den",,1143455.0,Holstebro,2014-12-31,2014-01-01,2015-03-30,"KÃ¸benhavn, den",RevisionspÃ¥tegning,urn:ofk:oid:5121385,indberetninger-20180424,2.5118417999999996,34879915,,2018-03-30T09:55:17.370Z,2015-04-17T06:46:29.072Z,regnskab,0.0,,2014-12-31,2014-01-01,X15-AA-68-US,2015-04-17T06:46:29.107Z,,,,,,,,,,,,,,111304412.0,0.0,3000000.0,24185141.0,0.0,48159525.0,111304412.0,63144887.0,87119271.0,47691274.0,39427997.0,39427997.0,39427997.0,87119271.0,31999.0,0.0,0.0,6033518.0,548252.0,38577755.0,23716890.0,23502141.0,24185141.0,24185141.0,182750.0,,,,,,
34879915,2014-01-01,2014-01-01,c261,,http://regnskaber.virk.dk/51997843/ZG9rdW1lbnRsYWdlcjovLzAzLzFhLzZmLzE5LzE0LzBiOTItNDhiZi1iZTgwLTcxMzFhOGUzZjQ4Mg.pdf,http://regnskaber.virk.dk/51997843/ZG9rdW1lbnRsYWdlcjovLzAzLzcyL2QxL2FkL2NjL2ZkZmMtNGIyZi04MWY5LTVhYjAwZmJhNWVjYw.xml,7542367.0,Frederiksberg,2000.0,4.0,Osvald Helmuths Vej,Holstebro,7500.0,44.0,SÃ¸nderlandsgade,"Postboks 250, 2000 Frederiksberg",Osvald Helmuths Vej 4,Regnskabsklasse B,2015-03-30,2015-03-30,2015-03-30,statsaut. revisor,34879915.0,30700228.0,3000000.0,Ãrsrapport,42998718.0,3971646.0,0.0,Henrik Reedtz,Erez Karti,Erez Karti,DSPH ApS,Ernst & Young Godkendt Revisionspartnerselskab,3000000.0,"KÃ¸benhavn, den",,1143455.0,Holstebro,2014-12-31,2014-01-01,2015-03-30,"KÃ¸benhavn, den",RevisionspÃ¥tegning,urn:ofk:oid:5121385,indberetninger-20180424,2.5118417999999996,34879915,,2018-03-30T09:55:17.370Z,2015-04-17T06:46:29.072Z,regnskab,0.0,,2014-12-31,2014-01-01,X15-AA-68-US,2015-04-17T06:46:29.107Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6033518.0,41657756.0,,,,
34879915,2014-01-01,2014-01-01,c312,,http://regnskaber.virk.dk/51997843/ZG9rdW1lbnRsYWdlcjovLzAzLzFhLzZmLzE5LzE0LzBiOTItNDhiZi1iZTgwLTcxMzFhOGUzZjQ4Mg.pdf,http://regnskaber.virk.dk/51997843/ZG9rdW1lbnRsYWdlcjovLzAzLzcyL2QxL2FkL2NjL2ZkZmMtNGIyZi04MWY5LTVhYjAwZmJhNWVjYw.xml,7542367.0,Frederiksberg,2000.0,4.0,Osvald Helmuths Vej,Holstebro,7500.0,44.0,SÃ¸nderlandsgade,"Postboks 250, 2000 Frederiksberg",Osvald Helmuths Vej 4,Regnskabsklasse B,2015-03-30,2015-03-30,2015-03-30,statsaut. revisor,34879915.0,30700228.0,3000000.0,Ãrsrapport,42998718.0,3971646.0,0.0,Henrik Reedtz,Erez Karti,Erez Karti,DSPH ApS,Ernst & Young Godkendt Revisionspartnerselskab,3000000.0,"KÃ¸benhavn, den",,1143455.0,Holstebro,2014-12-31,2014-01-01,2015-03-30,"KÃ¸benhavn, den",RevisionspÃ¥tegning,urn:ofk:oid:5121385,indberetninger-20180424,2.5118417999999996,34879915,,2018-03-30T09:55:17.370Z,2015-04-17T06:46:29.072Z,regnskab,0.0,,2014-12-31,2014-01-01,X15-AA-68-US,2015-04-17T06:46:29.107Z,,,,,,,,,,,,,,,,,,,3000000.0,,,,,,,,,,,,,,,,,,,,,,,,,
34879915,2014-01-01,2014-01-01,c321,,http://regnskaber.virk.dk/51997843/ZG9rdW1lbnRsYWdlcjovLzAzLzFhLzZmLzE5LzE0LzBiOTItNDhiZi1iZTgwLTcxMzFhOGUzZjQ4Mg.pdf,http://regnskaber.virk.dk/51997843/ZG9rdW1lbnRsYWdlcjovLzAzLzcyL2QxL2FkL2NjL2ZkZmMtNGIyZi04MWY5LTVhYjAwZmJhNWVjYw.xml,7542367.0,Frederiksberg,2000.0,4.0,Osvald Helmuths Vej,Holstebro,7500.0,44.0,SÃ¸nderlandsgade,"Postboks 250, 2000 Frederiksberg",Osvald Helmuths Vej 4,Regnskabsklasse B,2015-03-30,2015-03-30,2015-03-30,statsaut. revisor,34879915.0,30700228.0,3000000.0,Ãrsrapport,42998718.0,3971646.0,0.0,Henrik Reedtz,Erez Karti,Erez Karti,DSPH ApS,Ernst & Young Godkendt Revisionspartnerselskab,3000000.0,"KÃ¸benhavn, den",,1143455.0,Holstebro,2014-12-31,2014-01-01,2015-03-30,"KÃ¸benhavn, den",RevisionspÃ¥tegning,urn:ofk:oid:5121385,indberetninger-20180424,2.5118417999999996,34879915,,2018-03-30T09:55:17.370Z,2015-04-17T06:46:29.072Z,regnskab,0.0,,2014-12-31,2014-01-01,X15-AA-68-US,2015-04-17T06:46:29.107Z,,,,,,,,,,,,,,,,,,,38577755.0,,,,,,,,,,,,,,,,,,,,,,,,,
34879915,2014-01-01,2014-01-01,c339,,http://regnskaber.virk.dk/51997843/ZG9rdW1lbnRsYWdlcjovLzAzLzFhLzZmLzE5LzE0LzBiOTItNDhiZi1iZTgwLTcxMzFhOGUzZjQ4Mg.pdf,http://regnskaber.virk.dk/51997843/ZG9rdW1lbnRsYWdlcjovLzAzLzcyL2QxL2FkL2NjL2ZkZmMtNGIyZi04MWY5LTVhYjAwZmJhNWVjYw.xml,7542367.0,Frederiksberg,2000.0,4.0,Osvald Helmuths Vej,Holstebro,7500.0,44.0,SÃ¸nderlandsgade,"Postboks 250, 2000 Frederiksberg",Osvald Helmuths Vej 4,Regnskabsklasse B,2015-03-30,2015-03-30,2015-03-30,statsaut. revisor,34879915.0,30700228.0,3000000.0,Ãrsrapport,42998718.0,3971646.0,0.0,Henrik Reedtz,Erez Karti,Erez Karti,DSPH ApS,Ernst & Young Godkendt Revisionspartnerselskab,3000000.0,"KÃ¸benhavn, den",,1143455.0,Holstebro,2014-12-31,2014-01-01,2015-03-30,"KÃ¸benhavn, den",RevisionspÃ¥tegning,urn:ofk:oid:5121385,indberetninger-20180424,2.5118417999999996,34879915,,2018-03-30T09:55:17.370Z,2015-04-17T06:46:29.072Z,regnskab,0.0,,2014-12-31,2014-01-01,X15-AA-68-US,2015-04-17T06:46:29.107Z,,,,,,,,,,,,,,,,,,,6033518.0,,,,,,,,,,,,,,,,,,,,,,,,,
34879915,2014-01-01,2014-01-01,c351,,http://regnskaber.virk.dk/51997843/ZG9rdW1lbnRsYWdlcjovLzAzLzFhLzZmLzE5LzE0LzBiOTItNDhiZi1iZTgwLTcxMzFhOGUzZjQ4Mg.pdf,http://regnskaber.virk.dk/51997843/ZG9rdW1lbnRsYWdlcjovLzAzLzcyL2QxL2FkL2NjL2ZkZmMtNGIyZi04MWY5LTVhYjAwZmJhNWVjYw.xml,7542367.0,Frederiksberg,2000.0,4.0,Osvald Helmuths Vej,Holstebro,7500.0,44.0,SÃ¸nderlandsgade,"Postboks 250, 2000 Frederiksberg",Osvald Helmuths Vej 4,Regnskabsklasse B,2015-03-30,2015-03-30,2015-03-30,statsaut. revisor,34879915.0,30700228.0,3000000.0,Ãrsrapport,42998718.0,3971646.0,0.0,Henrik Reedtz,Erez Karti,Erez Karti,DSPH ApS,Ernst & Young Godkendt Revisionspartnerselskab,3000000.0,"KÃ¸benhavn, den",,1143455.0,Holstebro,2014-12-31,2014-01-01,2015-03-30,"KÃ¸benhavn, den",RevisionspÃ¥tegning,urn:ofk:oid:5121385,indberetninger-20180424,2.5118417999999996,34879915,,2018-03-30T09:55:17.370Z,2015-04-17T06:46:29.072Z,regnskab,0.0,,2014-12-31,2014-01-01,X15-AA-68-US,2015-04-17T06:46:29.107Z,,,,,,,,,,,,,,,,,,,548252.0,,,,,,,,,,,,,,,,,,,,,,,,,
