entity,start_date,end_date,context,AARSRAPPORT_html,AARSRAPPORT_pdf,AARSRAPPORT_xml,AddressOfReportingEntityDistrictName,AddressOfReportingEntityPostCodeIdentifier,AddressOfReportingEntityStreetBuildingIdentifier,AddressOfReportingEntityStreetName,AddressOfSubmittingEnterprisePostcodeAndTown,AddressOfSubmittingEnterpriseStreetAndNumber,ClassOfReportingEntity,DateOfApprovalOfAnnualReport,DateOfGeneralMeeting,IdentificationNumberCvrOfReportingEntity,InformationOnReportingClassOfEntity,InformationOnTypeOfSubmittedReport,Inventories,NameAndSurnameOfChairmanOfGeneralMeeting,NameAndSurnameOfMemberOfExecutiveBoard,NameOfReportingEntity,NameOfSubmittingEnterprise,OtherShorttermInvestments,PlaceOfSignatureOfStatement,PrecedingReportingPeriodStartDate,PredingReportingPeriodEndDate,ProfitLoss,RawMaterialsAndConsumables,ReportingPeriodEndDate,ReportingPeriodStartDate,ShorttermInvestments,StatementOnOptingOutOfAuditingFinancialStatementsInNextReportingPeriodDueToExemption,TypeOfAuditorAssistance,_id,_index,_score,cvrNummer,indlaesningsId,indlaesningsTidspunkt,offentliggoerelsesTidspunkt,offentliggoerelsestype,omgoerelse,regNummer,regnskabsperiode_slutDato,regnskabsperiode_startDato,sagsNummer,sidstOpdateret,DepreciationAmortisationExpenseAndImpairmentLossesOfPropertyPlantAndEquipmentAndIntangibleAssetsRecognisedInProfitOrLoss,EmployeeBenefitsExpense,ExtraordinaryProfitLossBeforeTax,GrossResult,ImpairmentOfFinancialAssets,IncomeFromOtherLongtermInvestmentsAndReceivables,OtherFinanceExpenses,OtherFinanceIncome,ProfitLossFromOrdinaryActivitiesBeforeTax,ProfitLossFromOrdinaryOperatingActivities,Revenue,TaxExpense,Assets,ContributedCapital,CurrentAssets,Equity,Goodwill,IntangibleAssets,LandAndBuildings,LiabilitiesAndEquity,LiabilitiesOtherThanProvisions,LongtermInvestmentsAndReceivables,LongtermInvestmentsInGroupEnterprises,NoncurrentAssets,OtherShorttermPayables,PropertyPlantAndEquipment,RetainedEarnings,ShorttermLiabilitiesOtherThanProvisions,ShorttermReceivables,ShorttermTradeReceivables,NameAndSurnameOfMemberOfSupervisoryBoard
29310610,2013-01-01,2013-12-31,c11,http://regnskaber.virk.dk/01601392/ZG9rdW1lbnRsYWdlcjovLzAzLzBiL2RmL2NjLzM4L2ZmMzMtNDJlYy1hNDFlLTdmNTNiYjVmYmE5Nw.xhtml,http://regnskaber.virk.dk/01601392/ZG9rdW1lbnRsYWdlcjovLzAzLzViLzRhL2VmLzkxL2FjZmItNGNiYS04OGYxLWNmMGU1N2U5YmQ4OQ.pdf,http://regnskaber.virk.dk/01601392/ZG9rdW1lbnRsYWdlcjovLzAzL2UxLzdjLzUwLzAxLzI1YjMtNDExOS05ZTRmLTUwYzM5MDgxNDI2OQ.xml,Silkeborg,8600.0,47.0,Slienvej,8600 Silkeborg,AlinggÃ¥rdsvej 117,Regnskabsklasse B,2015-06-16,2015-06-17,29310610.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,0.0,Jytte Bach Correll,Christian Correll,BRAINSTONES INTERNATIONAL A/S,Jytte Bach Correll,0.0,Ceska Lipa,2013-01-01,2013-12-31,0.0,0.0,2014-12-31,2014-01-01,0.0,Der er fravalgt revision for det kommende regnskabsÃ¥r.,Ingen bistand,urn:ofk:oid:5589297,indberetninger-20180424,2.5949533,29310610.0,,2018-03-31T01:06:18.124Z,2015-06-24T16:03:03.638Z,regnskab,0.0,,2014-12-31,2014-01-01,X15-AE-57-MY,2015-06-24T16:03:03.687Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29310610,2013-01-01,2013-12-31,c5,http://regnskaber.virk.dk/01601392/ZG9rdW1lbnRsYWdlcjovLzAzLzBiL2RmL2NjLzM4L2ZmMzMtNDJlYy1hNDFlLTdmNTNiYjVmYmE5Nw.xhtml,http://regnskaber.virk.dk/01601392/ZG9rdW1lbnRsYWdlcjovLzAzLzViLzRhL2VmLzkxL2FjZmItNGNiYS04OGYxLWNmMGU1N2U5YmQ4OQ.pdf,http://regnskaber.virk.dk/01601392/ZG9rdW1lbnRsYWdlcjovLzAzL2UxLzdjLzUwLzAxLzI1YjMtNDExOS05ZTRmLTUwYzM5MDgxNDI2OQ.xml,Silkeborg,8600.0,47.0,Slienvej,8600 Silkeborg,AlinggÃ¥rdsvej 117,Regnskabsklasse B,2015-06-16,2015-06-17,29310610.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,0.0,Jytte Bach Correll,Christian Correll,BRAINSTONES INTERNATIONAL A/S,Jytte Bach Correll,0.0,Ceska Lipa,2013-01-01,2013-12-31,0.0,0.0,2014-12-31,2014-01-01,0.0,Der er fravalgt revision for det kommende regnskabsÃ¥r.,Ingen bistand,urn:ofk:oid:5589297,indberetninger-20180424,2.5949533,29310610.0,,2018-03-31T01:06:18.124Z,2015-06-24T16:03:03.638Z,regnskab,0.0,,2014-12-31,2014-01-01,X15-AE-57-MY,2015-06-24T16:03:03.687Z,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,
29310610,2013-01-01,2013-12-31,c7,http://regnskaber.virk.dk/01601392/ZG9rdW1lbnRsYWdlcjovLzAzLzBiL2RmL2NjLzM4L2ZmMzMtNDJlYy1hNDFlLTdmNTNiYjVmYmE5Nw.xhtml,http://regnskaber.virk.dk/01601392/ZG9rdW1lbnRsYWdlcjovLzAzLzViLzRhL2VmLzkxL2FjZmItNGNiYS04OGYxLWNmMGU1N2U5YmQ4OQ.pdf,http://regnskaber.virk.dk/01601392/ZG9rdW1lbnRsYWdlcjovLzAzL2UxLzdjLzUwLzAxLzI1YjMtNDExOS05ZTRmLTUwYzM5MDgxNDI2OQ.xml,Silkeborg,8600.0,47.0,Slienvej,8600 Silkeborg,AlinggÃ¥rdsvej 117,Regnskabsklasse B,2015-06-16,2015-06-17,29310610.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,0.0,Jytte Bach Correll,Christian Correll,BRAINSTONES INTERNATIONAL A/S,Jytte Bach Correll,0.0,Ceska Lipa,2013-01-01,2013-12-31,0.0,0.0,2014-12-31,2014-01-01,0.0,Der er fravalgt revision for det kommende regnskabsÃ¥r.,Ingen bistand,urn:ofk:oid:5589297,indberetninger-20180424,2.5949533,29310610.0,,2018-03-31T01:06:18.124Z,2015-06-24T16:03:03.638Z,regnskab,0.0,,2014-12-31,2014-01-01,X15-AE-57-MY,2015-06-24T16:03:03.687Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29310610,2013-01-01,2013-12-31,c9,http://regnskaber.virk.dk/01601392/ZG9rdW1lbnRsYWdlcjovLzAzLzBiL2RmL2NjLzM4L2ZmMzMtNDJlYy1hNDFlLTdmNTNiYjVmYmE5Nw.xhtml,http://regnskaber.virk.dk/01601392/ZG9rdW1lbnRsYWdlcjovLzAzLzViLzRhL2VmLzkxL2FjZmItNGNiYS04OGYxLWNmMGU1N2U5YmQ4OQ.pdf,http://regnskaber.virk.dk/01601392/ZG9rdW1lbnRsYWdlcjovLzAzL2UxLzdjLzUwLzAxLzI1YjMtNDExOS05ZTRmLTUwYzM5MDgxNDI2OQ.xml,Silkeborg,8600.0,47.0,Slienvej,8600 Silkeborg,AlinggÃ¥rdsvej 117,Regnskabsklasse B,2015-06-16,2015-06-17,29310610.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,0.0,Jytte Bach Correll,Christian Correll,BRAINSTONES INTERNATIONAL A/S,Jytte Bach Correll,0.0,Ceska Lipa,2013-01-01,2013-12-31,0.0,0.0,2014-12-31,2014-01-01,0.0,Der er fravalgt revision for det kommende regnskabsÃ¥r.,Ingen bistand,urn:ofk:oid:5589297,indberetninger-20180424,2.5949533,29310610.0,,2018-03-31T01:06:18.124Z,2015-06-24T16:03:03.638Z,regnskab,0.0,,2014-12-31,2014-01-01,X15-AE-57-MY,2015-06-24T16:03:03.687Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29310610,2013-12-31,2013-12-31,c13,http://regnskaber.virk.dk/01601392/ZG9rdW1lbnRsYWdlcjovLzAzLzBiL2RmL2NjLzM4L2ZmMzMtNDJlYy1hNDFlLTdmNTNiYjVmYmE5Nw.xhtml,http://regnskaber.virk.dk/01601392/ZG9rdW1lbnRsYWdlcjovLzAzLzViLzRhL2VmLzkxL2FjZmItNGNiYS04OGYxLWNmMGU1N2U5YmQ4OQ.pdf,http://regnskaber.virk.dk/01601392/ZG9rdW1lbnRsYWdlcjovLzAzL2UxLzdjLzUwLzAxLzI1YjMtNDExOS05ZTRmLTUwYzM5MDgxNDI2OQ.xml,Silkeborg,8600.0,47.0,Slienvej,8600 Silkeborg,AlinggÃ¥rdsvej 117,Regnskabsklasse B,2015-06-16,2015-06-17,29310610.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,0.0,Jytte Bach Correll,Christian Correll,BRAINSTONES INTERNATIONAL A/S,Jytte Bach Correll,0.0,Ceska Lipa,2013-01-01,2013-12-31,,0.0,2014-12-31,2014-01-01,0.0,Der er fravalgt revision for det kommende regnskabsÃ¥r.,Ingen bistand,urn:ofk:oid:5589297,indberetninger-20180424,2.5949533,29310610.0,,2018-03-31T01:06:18.124Z,2015-06-24T16:03:03.638Z,regnskab,0.0,,2014-12-31,2014-01-01,X15-AE-57-MY,2015-06-24T16:03:03.687Z,,,,,,,,,,,,,0.0,500000.0,0.0,-12145046.0,0.0,0.0,0.0,0.0,12145046.0,0.0,0.0,0.0,12145046.0,0.0,-12645046.0,12145046.0,0.0,0.0,
29310610,2014-01-01,2014-12-31,c0,http://regnskaber.virk.dk/01601392/ZG9rdW1lbnRsYWdlcjovLzAzLzBiL2RmL2NjLzM4L2ZmMzMtNDJlYy1hNDFlLTdmNTNiYjVmYmE5Nw.xhtml,http://regnskaber.virk.dk/01601392/ZG9rdW1lbnRsYWdlcjovLzAzLzViLzRhL2VmLzkxL2FjZmItNGNiYS04OGYxLWNmMGU1N2U5YmQ4OQ.pdf,http://regnskaber.virk.dk/01601392/ZG9rdW1lbnRsYWdlcjovLzAzL2UxLzdjLzUwLzAxLzI1YjMtNDExOS05ZTRmLTUwYzM5MDgxNDI2OQ.xml,Silkeborg,8600.0,47.0,Slienvej,8600 Silkeborg,AlinggÃ¥rdsvej 117,Regnskabsklasse B,2015-06-16,2015-06-17,29310610.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,0.0,Jytte Bach Correll,Christian Correll,BRAINSTONES INTERNATIONAL A/S,Jytte Bach Correll,0.0,Ceska Lipa,2013-01-01,2013-12-31,0.0,0.0,2014-12-31,2014-01-01,0.0,Der er fravalgt revision for det kommende regnskabsÃ¥r.,Ingen bistand,urn:ofk:oid:5589297,indberetninger-20180424,2.5949533,29310610.0,,2018-03-31T01:06:18.124Z,2015-06-24T16:03:03.638Z,regnskab,0.0,,2014-12-31,2014-01-01,X15-AE-57-MY,2015-06-24T16:03:03.687Z,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,
29310610,2014-01-01,2014-12-31,c1,http://regnskaber.virk.dk/01601392/ZG9rdW1lbnRsYWdlcjovLzAzLzBiL2RmL2NjLzM4L2ZmMzMtNDJlYy1hNDFlLTdmNTNiYjVmYmE5Nw.xhtml,http://regnskaber.virk.dk/01601392/ZG9rdW1lbnRsYWdlcjovLzAzLzViLzRhL2VmLzkxL2FjZmItNGNiYS04OGYxLWNmMGU1N2U5YmQ4OQ.pdf,http://regnskaber.virk.dk/01601392/ZG9rdW1lbnRsYWdlcjovLzAzL2UxLzdjLzUwLzAxLzI1YjMtNDExOS05ZTRmLTUwYzM5MDgxNDI2OQ.xml,Silkeborg,8600.0,47.0,Slienvej,8600 Silkeborg,AlinggÃ¥rdsvej 117,Regnskabsklasse B,2015-06-16,2015-06-17,29310610.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,0.0,Jytte Bach Correll,Christian Correll,BRAINSTONES INTERNATIONAL A/S,Jytte Bach Correll,0.0,Ceska Lipa,2013-01-01,2013-12-31,,0.0,2014-12-31,2014-01-01,0.0,Der er fravalgt revision for det kommende regnskabsÃ¥r.,Ingen bistand,urn:ofk:oid:5589297,indberetninger-20180424,2.5949533,29310610.0,,2018-03-31T01:06:18.124Z,2015-06-24T16:03:03.638Z,regnskab,0.0,,2014-12-31,2014-01-01,X15-AE-57-MY,2015-06-24T16:03:03.687Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29310610,2014-01-01,2014-12-31,c10,http://regnskaber.virk.dk/01601392/ZG9rdW1lbnRsYWdlcjovLzAzLzBiL2RmL2NjLzM4L2ZmMzMtNDJlYy1hNDFlLTdmNTNiYjVmYmE5Nw.xhtml,http://regnskaber.virk.dk/01601392/ZG9rdW1lbnRsYWdlcjovLzAzLzViLzRhL2VmLzkxL2FjZmItNGNiYS04OGYxLWNmMGU1N2U5YmQ4OQ.pdf,http://regnskaber.virk.dk/01601392/ZG9rdW1lbnRsYWdlcjovLzAzL2UxLzdjLzUwLzAxLzI1YjMtNDExOS05ZTRmLTUwYzM5MDgxNDI2OQ.xml,Silkeborg,8600.0,47.0,Slienvej,8600 Silkeborg,AlinggÃ¥rdsvej 117,Regnskabsklasse B,2015-06-16,2015-06-17,29310610.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,0.0,Jytte Bach Correll,Christian Correll,BRAINSTONES INTERNATIONAL A/S,Jytte Bach Correll,0.0,Ceska Lipa,2013-01-01,2013-12-31,0.0,0.0,2014-12-31,2014-01-01,0.0,Der er fravalgt revision for det kommende regnskabsÃ¥r.,Ingen bistand,urn:ofk:oid:5589297,indberetninger-20180424,2.5949533,29310610.0,,2018-03-31T01:06:18.124Z,2015-06-24T16:03:03.638Z,regnskab,0.0,,2014-12-31,2014-01-01,X15-AE-57-MY,2015-06-24T16:03:03.687Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29310610,2014-01-01,2014-12-31,c2,http://regnskaber.virk.dk/01601392/ZG9rdW1lbnRsYWdlcjovLzAzLzBiL2RmL2NjLzM4L2ZmMzMtNDJlYy1hNDFlLTdmNTNiYjVmYmE5Nw.xhtml,http://regnskaber.virk.dk/01601392/ZG9rdW1lbnRsYWdlcjovLzAzLzViLzRhL2VmLzkxL2FjZmItNGNiYS04OGYxLWNmMGU1N2U5YmQ4OQ.pdf,http://regnskaber.virk.dk/01601392/ZG9rdW1lbnRsYWdlcjovLzAzL2UxLzdjLzUwLzAxLzI1YjMtNDExOS05ZTRmLTUwYzM5MDgxNDI2OQ.xml,Silkeborg,8600.0,47.0,Slienvej,8600 Silkeborg,AlinggÃ¥rdsvej 117,Regnskabsklasse B,2015-06-16,2015-06-17,29310610.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,0.0,Jytte Bach Correll,Christian Correll,BRAINSTONES INTERNATIONAL A/S,Jytte Bach Correll,0.0,Ceska Lipa,2013-01-01,2013-12-31,,0.0,2014-12-31,2014-01-01,0.0,Der er fravalgt revision for det kommende regnskabsÃ¥r.,Ingen bistand,urn:ofk:oid:5589297,indberetninger-20180424,2.5949533,29310610.0,,2018-03-31T01:06:18.124Z,2015-06-24T16:03:03.638Z,regnskab,0.0,,2014-12-31,2014-01-01,X15-AE-57-MY,2015-06-24T16:03:03.687Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Christian Correll
29310610,2014-01-01,2014-12-31,c3,http://regnskaber.virk.dk/01601392/ZG9rdW1lbnRsYWdlcjovLzAzLzBiL2RmL2NjLzM4L2ZmMzMtNDJlYy1hNDFlLTdmNTNiYjVmYmE5Nw.xhtml,http://regnskaber.virk.dk/01601392/ZG9rdW1lbnRsYWdlcjovLzAzLzViLzRhL2VmLzkxL2FjZmItNGNiYS04OGYxLWNmMGU1N2U5YmQ4OQ.pdf,http://regnskaber.virk.dk/01601392/ZG9rdW1lbnRsYWdlcjovLzAzL2UxLzdjLzUwLzAxLzI1YjMtNDExOS05ZTRmLTUwYzM5MDgxNDI2OQ.xml,Silkeborg,8600.0,47.0,Slienvej,8600 Silkeborg,AlinggÃ¥rdsvej 117,Regnskabsklasse B,2015-06-16,2015-06-17,29310610.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,0.0,Jytte Bach Correll,Christian Correll,BRAINSTONES INTERNATIONAL A/S,Jytte Bach Correll,0.0,Ceska Lipa,2013-01-01,2013-12-31,,0.0,2014-12-31,2014-01-01,0.0,Der er fravalgt revision for det kommende regnskabsÃ¥r.,Ingen bistand,urn:ofk:oid:5589297,indberetninger-20180424,2.5949533,29310610.0,,2018-03-31T01:06:18.124Z,2015-06-24T16:03:03.638Z,regnskab,0.0,,2014-12-31,2014-01-01,X15-AE-57-MY,2015-06-24T16:03:03.687Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Jytte Correll
