entity,start_date,end_date,context,AARSRAPPORT_html,AARSRAPPORT_pdf,AARSRAPPORT_xml,AccountingPoliciesAreUnchangedFromPreviousPeriod,AddressOfReportingEntityDistrictName,AddressOfReportingEntityPostCodeIdentifier,AddressOfReportingEntityStreetBuildingIdentifier,AddressOfReportingEntityStreetName,AddressOfSubmittingEnterprisePostcodeAndTown,AddressOfSubmittingEnterpriseStreetAndNumber,AverageNumberOfEmployees,ClassOfReportingEntity,DateOfApprovalOfAnnualReport,DateOfGeneralMeeting,DepreciationAmortisationExpenseAndImpairmentLossesOfPropertyPlantAndEquipmentAndIntangibleAssetsRecognisedInProfitOrLoss,EmployeeBenefitsExpense,GrossResult,IdentificationNumberCvrOfReportingEntity,InformationOnReportingClassOfEntity,InformationOnTypeOfSubmittedReport,NameAndSurnameOfChairmanOfGeneralMeeting,NameAndSurnameOfMemberOfExecutiveBoard,NameAndSurnameOfMemberOfSupervisoryBoard,NameOfReportingEntity,NameOfSubmittingEnterprise,OtherFinanceExpenses,OtherFinanceIncome,PlaceOfSignatureOfStatement,PrecedingReportingPeriodStartDate,PredingReportingPeriodEndDate,ProfitLoss,ProfitLossFromOrdinaryActivitiesBeforeTax,ProfitLossFromOrdinaryOperatingActivities,ProposedDividend,ReportingPeriodEndDate,ReportingPeriodStartDate,SelectedElementsFromReportingClassC,SelectedElementsFromReportingClassD,ShorttermPayablesToShareholdersAndManagement,ShorttermTaxReceivables,StatementOnOptingOutOfAuditingFinancialStatementsInNextReportingPeriodDueToExemption,TaxExpense,TelephoneNumberOfReportingEntity,TheCompanyHasPresentedTheAnnualReportEtcWithReferenceToTheDanishFinancialStatementsAct78aConcerningTheExceptionForReportingClassCMediumsizeSubsidiariesWhichChoosesToPresentTheAnnualReportEtcAccordingToReportingClassB,TheReportingEntityAppliesTheExceptionConcerningOptingOutOfTheStatementByManagementEtc,TitleOfMemberOfExecutiveBoard,TypeOfAuditorAssistance,_id,_index,_score,cvrNummer,indlaesningsId,indlaesningsTidspunkt,offentliggoerelsesTidspunkt,offentliggoerelsestype,omgoerelse,regNummer,regnskabsperiode_slutDato,regnskabsperiode_startDato,sagsNummer,sidstOpdateret,Assets,CashAndCashEquivalents,ContributedCapital,CurrentAssets,DepositsLongtermInvestmentsAndReceivables,Equity,FixturesFittingsToolsAndEquipment,LiabilitiesAndEquity,LiabilitiesOtherThanProvisions,LongtermInvestmentsAndReceivables,NoncurrentAssets,OtherLongtermInvestments,OtherShorttermPayables,OtherShorttermReceivables,PropertyPlantAndEquipment,RetainedEarnings,ShorttermDebtToBanks,ShorttermLiabilitiesOtherThanProvisions,ShorttermReceivables,ShorttermReceivablesFromOwnersAndManagement,ShorttermTaxPayables,ShorttermTradePayables,ShorttermTradeReceivables
33038941,2015-01-01,2015-12-31,c3,http://regnskaber.virk.dk/14983033/ZG9rdW1lbnRsYWdlcjovLzAzLzY0LzBkL2RlLzI5LzgzMWEtNGVkYy05NGUxLTQ5YTFiODBiNjg1NQ.xhtml,http://regnskaber.virk.dk/14983033/ZG9rdW1lbnRsYWdlcjovLzAzL2RkLzhjLzQ1LzllLzg3MzYtNGFjZS04OTZhLWU2ZDc3MTNlYzFmNg.pdf,http://regnskaber.virk.dk/14983033/ZG9rdW1lbnRsYWdlcjovLzAzLzk1L2Y1L2NkL2JiL2IxMDktNGNiNy04NTVhLTQzM2VjYTY2NTgwNQ.xml,true,KÃ¸benhavn S,2300.0,19.0,Engvej,2770 Kastrup,Englandsvej 358,1.0,Regnskabsklasse B,2017-06-20,2017-06-20,0.0,336045.0,1007790.0,33038941.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Rudy Markussen,Rudy Markussen,Rudy Markussen,RUDYS INC ApS,AB-revision ApS,95.0,0.0,DragÃ¸r,2015-01-01,2015-12-31,499228.0,671650.0,671745.0,140000.0,2016-12-31,2016-01-01,false,false,120113.0,0.0,Ledelsen har fravalgt revision for det kommende regnskabsÃ¥r.,172422.0,53871203.0,false,false,direktÃ¸r,Ingen bistand,urn:ofk:oid:24255903,indberetninger-20180424,2.5949414,33038941.0,,2018-03-29T15:24:29.765Z,2017-06-20T16:18:35.447Z,regnskab,0.0,,2016-12-31,2016-01-01,X17-AN-58-CJ,2017-06-20T16:18:35.677Z,,,,,,,,,,,,,,,,,,,,,,,
33038941,2015-01-01,2015-12-31,c5,http://regnskaber.virk.dk/14983033/ZG9rdW1lbnRsYWdlcjovLzAzLzY0LzBkL2RlLzI5LzgzMWEtNGVkYy05NGUxLTQ5YTFiODBiNjg1NQ.xhtml,http://regnskaber.virk.dk/14983033/ZG9rdW1lbnRsYWdlcjovLzAzL2RkLzhjLzQ1LzllLzg3MzYtNGFjZS04OTZhLWU2ZDc3MTNlYzFmNg.pdf,http://regnskaber.virk.dk/14983033/ZG9rdW1lbnRsYWdlcjovLzAzLzk1L2Y1L2NkL2JiL2IxMDktNGNiNy04NTVhLTQzM2VjYTY2NTgwNQ.xml,true,KÃ¸benhavn S,2300.0,19.0,Engvej,2770 Kastrup,Englandsvej 358,,Regnskabsklasse B,2017-06-20,2017-06-20,,,,33038941.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Rudy Markussen,Rudy Markussen,Rudy Markussen,RUDYS INC ApS,AB-revision ApS,,,DragÃ¸r,2015-01-01,2015-12-31,140000.0,,,140000.0,2016-12-31,2016-01-01,false,false,120113.0,0.0,Ledelsen har fravalgt revision for det kommende regnskabsÃ¥r.,,53871203.0,false,false,direktÃ¸r,Ingen bistand,urn:ofk:oid:24255903,indberetninger-20180424,2.5949414,33038941.0,,2018-03-29T15:24:29.765Z,2017-06-20T16:18:35.447Z,regnskab,0.0,,2016-12-31,2016-01-01,X17-AN-58-CJ,2017-06-20T16:18:35.677Z,,,,,,,,,,,,,,,,,,,,,,,
33038941,2015-01-01,2015-12-31,c7,http://regnskaber.virk.dk/14983033/ZG9rdW1lbnRsYWdlcjovLzAzLzY0LzBkL2RlLzI5LzgzMWEtNGVkYy05NGUxLTQ5YTFiODBiNjg1NQ.xhtml,http://regnskaber.virk.dk/14983033/ZG9rdW1lbnRsYWdlcjovLzAzL2RkLzhjLzQ1LzllLzg3MzYtNGFjZS04OTZhLWU2ZDc3MTNlYzFmNg.pdf,http://regnskaber.virk.dk/14983033/ZG9rdW1lbnRsYWdlcjovLzAzLzk1L2Y1L2NkL2JiL2IxMDktNGNiNy04NTVhLTQzM2VjYTY2NTgwNQ.xml,true,KÃ¸benhavn S,2300.0,19.0,Engvej,2770 Kastrup,Englandsvej 358,,Regnskabsklasse B,2017-06-20,2017-06-20,,,,33038941.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Rudy Markussen,Rudy Markussen,Rudy Markussen,RUDYS INC ApS,AB-revision ApS,,,DragÃ¸r,2015-01-01,2015-12-31,359228.0,,,140000.0,2016-12-31,2016-01-01,false,false,120113.0,0.0,Ledelsen har fravalgt revision for det kommende regnskabsÃ¥r.,,53871203.0,false,false,direktÃ¸r,Ingen bistand,urn:ofk:oid:24255903,indberetninger-20180424,2.5949414,33038941.0,,2018-03-29T15:24:29.765Z,2017-06-20T16:18:35.447Z,regnskab,0.0,,2016-12-31,2016-01-01,X17-AN-58-CJ,2017-06-20T16:18:35.677Z,,,,,,,,,,,,,,,,,,,,,,,
33038941,2015-12-31,2015-12-31,c9,http://regnskaber.virk.dk/14983033/ZG9rdW1lbnRsYWdlcjovLzAzLzY0LzBkL2RlLzI5LzgzMWEtNGVkYy05NGUxLTQ5YTFiODBiNjg1NQ.xhtml,http://regnskaber.virk.dk/14983033/ZG9rdW1lbnRsYWdlcjovLzAzL2RkLzhjLzQ1LzllLzg3MzYtNGFjZS04OTZhLWU2ZDc3MTNlYzFmNg.pdf,http://regnskaber.virk.dk/14983033/ZG9rdW1lbnRsYWdlcjovLzAzLzk1L2Y1L2NkL2JiL2IxMDktNGNiNy04NTVhLTQzM2VjYTY2NTgwNQ.xml,true,KÃ¸benhavn S,2300.0,19.0,Engvej,2770 Kastrup,Englandsvej 358,,Regnskabsklasse B,2017-06-20,2017-06-20,,,,33038941.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Rudy Markussen,Rudy Markussen,Rudy Markussen,RUDYS INC ApS,AB-revision ApS,,,DragÃ¸r,2015-01-01,2015-12-31,,,,140000.0,2016-12-31,2016-01-01,false,false,120113.0,0.0,Ledelsen har fravalgt revision for det kommende regnskabsÃ¥r.,,53871203.0,false,false,direktÃ¸r,Ingen bistand,urn:ofk:oid:24255903,indberetninger-20180424,2.5949414,33038941.0,,2018-03-29T15:24:29.765Z,2017-06-20T16:18:35.447Z,regnskab,0.0,,2016-12-31,2016-01-01,X17-AN-58-CJ,2017-06-20T16:18:35.677Z,849567.0,114247.0,80000.0,846567.0,3000.0,377428.0,0.0,849567.0,472139.0,3000.0,3000.0,0.0,41542.0,5500.0,0.0,297428.0,0.0,472139.0,732320.0,0.0,143532.0,26952.0,726820.0
33038941,2016-01-01,2016-12-31,c0,http://regnskaber.virk.dk/14983033/ZG9rdW1lbnRsYWdlcjovLzAzLzY0LzBkL2RlLzI5LzgzMWEtNGVkYy05NGUxLTQ5YTFiODBiNjg1NQ.xhtml,http://regnskaber.virk.dk/14983033/ZG9rdW1lbnRsYWdlcjovLzAzL2RkLzhjLzQ1LzllLzg3MzYtNGFjZS04OTZhLWU2ZDc3MTNlYzFmNg.pdf,http://regnskaber.virk.dk/14983033/ZG9rdW1lbnRsYWdlcjovLzAzLzk1L2Y1L2NkL2JiL2IxMDktNGNiNy04NTVhLTQzM2VjYTY2NTgwNQ.xml,true,KÃ¸benhavn S,2300.0,19.0,Engvej,2770 Kastrup,Englandsvej 358,1.0,Regnskabsklasse B,2017-06-20,2017-06-20,7000.0,408770.0,105081.0,33038941.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Rudy Markussen,Rudy Markussen,Rudy Markussen,RUDYS INC ApS,AB-revision ApS,9193.0,0.0,DragÃ¸r,2015-01-01,2015-12-31,-319882.0,-319882.0,-310689.0,140000.0,2016-12-31,2016-01-01,false,false,120113.0,0.0,Ledelsen har fravalgt revision for det kommende regnskabsÃ¥r.,0.0,53871203.0,false,false,direktÃ¸r,Ingen bistand,urn:ofk:oid:24255903,indberetninger-20180424,2.5949414,33038941.0,,2018-03-29T15:24:29.765Z,2017-06-20T16:18:35.447Z,regnskab,0.0,,2016-12-31,2016-01-01,X17-AN-58-CJ,2017-06-20T16:18:35.677Z,,,,,,,,,,,,,,,,,,,,,,,
33038941,2016-01-01,2016-12-31,c1,http://regnskaber.virk.dk/14983033/ZG9rdW1lbnRsYWdlcjovLzAzLzY0LzBkL2RlLzI5LzgzMWEtNGVkYy05NGUxLTQ5YTFiODBiNjg1NQ.xhtml,http://regnskaber.virk.dk/14983033/ZG9rdW1lbnRsYWdlcjovLzAzL2RkLzhjLzQ1LzllLzg3MzYtNGFjZS04OTZhLWU2ZDc3MTNlYzFmNg.pdf,http://regnskaber.virk.dk/14983033/ZG9rdW1lbnRsYWdlcjovLzAzLzk1L2Y1L2NkL2JiL2IxMDktNGNiNy04NTVhLTQzM2VjYTY2NTgwNQ.xml,true,KÃ¸benhavn S,2300.0,19.0,Engvej,2770 Kastrup,Englandsvej 358,,Regnskabsklasse B,2017-06-20,2017-06-20,,,,33038941.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Rudy Markussen,Rudy Markussen,Rudy Markussen,RUDYS INC ApS,AB-revision ApS,,,DragÃ¸r,2015-01-01,2015-12-31,,,,140000.0,2016-12-31,2016-01-01,false,false,120113.0,0.0,Ledelsen har fravalgt revision for det kommende regnskabsÃ¥r.,,53871203.0,false,false,direktÃ¸r,Ingen bistand,urn:ofk:oid:24255903,indberetninger-20180424,2.5949414,33038941.0,,2018-03-29T15:24:29.765Z,2017-06-20T16:18:35.447Z,regnskab,0.0,,2016-12-31,2016-01-01,X17-AN-58-CJ,2017-06-20T16:18:35.677Z,,,,,,,,,,,,,,,,,,,,,,,
33038941,2016-01-01,2016-12-31,c2,http://regnskaber.virk.dk/14983033/ZG9rdW1lbnRsYWdlcjovLzAzLzY0LzBkL2RlLzI5LzgzMWEtNGVkYy05NGUxLTQ5YTFiODBiNjg1NQ.xhtml,http://regnskaber.virk.dk/14983033/ZG9rdW1lbnRsYWdlcjovLzAzL2RkLzhjLzQ1LzllLzg3MzYtNGFjZS04OTZhLWU2ZDc3MTNlYzFmNg.pdf,http://regnskaber.virk.dk/14983033/ZG9rdW1lbnRsYWdlcjovLzAzLzk1L2Y1L2NkL2JiL2IxMDktNGNiNy04NTVhLTQzM2VjYTY2NTgwNQ.xml,true,KÃ¸benhavn S,2300.0,19.0,Engvej,2770 Kastrup,Englandsvej 358,,Regnskabsklasse B,2017-06-20,2017-06-20,,,,33038941.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Rudy Markussen,Rudy Markussen,Rudy Markussen,RUDYS INC ApS,AB-revision ApS,,,DragÃ¸r,2015-01-01,2015-12-31,,,,140000.0,2016-12-31,2016-01-01,false,false,120113.0,0.0,Ledelsen har fravalgt revision for det kommende regnskabsÃ¥r.,,53871203.0,false,false,direktÃ¸r,Ingen bistand,urn:ofk:oid:24255903,indberetninger-20180424,2.5949414,33038941.0,,2018-03-29T15:24:29.765Z,2017-06-20T16:18:35.447Z,regnskab,0.0,,2016-12-31,2016-01-01,X17-AN-58-CJ,2017-06-20T16:18:35.677Z,,,,,,,,,,,,,,,,,,,,,,,
33038941,2016-01-01,2016-12-31,c4,http://regnskaber.virk.dk/14983033/ZG9rdW1lbnRsYWdlcjovLzAzLzY0LzBkL2RlLzI5LzgzMWEtNGVkYy05NGUxLTQ5YTFiODBiNjg1NQ.xhtml,http://regnskaber.virk.dk/14983033/ZG9rdW1lbnRsYWdlcjovLzAzL2RkLzhjLzQ1LzllLzg3MzYtNGFjZS04OTZhLWU2ZDc3MTNlYzFmNg.pdf,http://regnskaber.virk.dk/14983033/ZG9rdW1lbnRsYWdlcjovLzAzLzk1L2Y1L2NkL2JiL2IxMDktNGNiNy04NTVhLTQzM2VjYTY2NTgwNQ.xml,true,KÃ¸benhavn S,2300.0,19.0,Engvej,2770 Kastrup,Englandsvej 358,,Regnskabsklasse B,2017-06-20,2017-06-20,,,,33038941.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Rudy Markussen,Rudy Markussen,Rudy Markussen,RUDYS INC ApS,AB-revision ApS,,,DragÃ¸r,2015-01-01,2015-12-31,0.0,,,140000.0,2016-12-31,2016-01-01,false,false,120113.0,0.0,Ledelsen har fravalgt revision for det kommende regnskabsÃ¥r.,,53871203.0,false,false,direktÃ¸r,Ingen bistand,urn:ofk:oid:24255903,indberetninger-20180424,2.5949414,33038941.0,,2018-03-29T15:24:29.765Z,2017-06-20T16:18:35.447Z,regnskab,0.0,,2016-12-31,2016-01-01,X17-AN-58-CJ,2017-06-20T16:18:35.677Z,,,,,,,,,,,,,,,,,,,,,,,
33038941,2016-01-01,2016-12-31,c6,http://regnskaber.virk.dk/14983033/ZG9rdW1lbnRsYWdlcjovLzAzLzY0LzBkL2RlLzI5LzgzMWEtNGVkYy05NGUxLTQ5YTFiODBiNjg1NQ.xhtml,http://regnskaber.virk.dk/14983033/ZG9rdW1lbnRsYWdlcjovLzAzL2RkLzhjLzQ1LzllLzg3MzYtNGFjZS04OTZhLWU2ZDc3MTNlYzFmNg.pdf,http://regnskaber.virk.dk/14983033/ZG9rdW1lbnRsYWdlcjovLzAzLzk1L2Y1L2NkL2JiL2IxMDktNGNiNy04NTVhLTQzM2VjYTY2NTgwNQ.xml,true,KÃ¸benhavn S,2300.0,19.0,Engvej,2770 Kastrup,Englandsvej 358,,Regnskabsklasse B,2017-06-20,2017-06-20,,,,33038941.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Rudy Markussen,Rudy Markussen,Rudy Markussen,RUDYS INC ApS,AB-revision ApS,,,DragÃ¸r,2015-01-01,2015-12-31,-319882.0,,,140000.0,2016-12-31,2016-01-01,false,false,120113.0,0.0,Ledelsen har fravalgt revision for det kommende regnskabsÃ¥r.,,53871203.0,false,false,direktÃ¸r,Ingen bistand,urn:ofk:oid:24255903,indberetninger-20180424,2.5949414,33038941.0,,2018-03-29T15:24:29.765Z,2017-06-20T16:18:35.447Z,regnskab,0.0,,2016-12-31,2016-01-01,X17-AN-58-CJ,2017-06-20T16:18:35.677Z,,,,,,,,,,,,,,,,,,,,,,,
33038941,2016-12-31,2016-12-31,c8,http://regnskaber.virk.dk/14983033/ZG9rdW1lbnRsYWdlcjovLzAzLzY0LzBkL2RlLzI5LzgzMWEtNGVkYy05NGUxLTQ5YTFiODBiNjg1NQ.xhtml,http://regnskaber.virk.dk/14983033/ZG9rdW1lbnRsYWdlcjovLzAzL2RkLzhjLzQ1LzllLzg3MzYtNGFjZS04OTZhLWU2ZDc3MTNlYzFmNg.pdf,http://regnskaber.virk.dk/14983033/ZG9rdW1lbnRsYWdlcjovLzAzLzk1L2Y1L2NkL2JiL2IxMDktNGNiNy04NTVhLTQzM2VjYTY2NTgwNQ.xml,true,KÃ¸benhavn S,2300.0,19.0,Engvej,2770 Kastrup,Englandsvej 358,,Regnskabsklasse B,2017-06-20,2017-06-20,,,,33038941.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Rudy Markussen,Rudy Markussen,Rudy Markussen,RUDYS INC ApS,AB-revision ApS,,,DragÃ¸r,2015-01-01,2015-12-31,,,,140000.0,2016-12-31,2016-01-01,false,false,120113.0,0.0,Ledelsen har fravalgt revision for det kommende regnskabsÃ¥r.,,53871203.0,false,false,direktÃ¸r,Ingen bistand,urn:ofk:oid:24255903,indberetninger-20180424,2.5949414,33038941.0,,2018-03-29T15:24:29.765Z,2017-06-20T16:18:35.447Z,regnskab,0.0,,2016-12-31,2016-01-01,X17-AN-58-CJ,2017-06-20T16:18:35.677Z,593217.0,346853.0,80000.0,446217.0,14000.0,57546.0,28000.0,593217.0,535671.0,119000.0,147000.0,105000.0,527319.0,5500.0,28000.0,-22454.0,0.0,535671.0,99364.0,72114.0,0.0,8352.0,21750.0
