entity,start_date,end_date,context,AARSRAPPORT_html,AARSRAPPORT_pdf,AARSRAPPORT_xml,AddressOfReportingEntityDistrictName,AddressOfReportingEntityPostCodeIdentifier,AddressOfReportingEntityStreetBuildingIdentifier,AddressOfReportingEntityStreetName,AddressOfSubmittingEnterprisePostcodeAndTown,AddressOfSubmittingEnterpriseStreetAndNumber,AddresseeOfAuditorsReportOnReviewOfFinancialStatements,ClassOfReportingEntity,ConfirmationThatAnnualReportIsPresentedInAccordanceWithRequirementsProvidedForByLegislationAnyStandardsAndRequirementsProvidedByArticlesOfAssociationOrByAgreement,ConfirmationThatFinancialStatementGivesTrueAndFairViewOfAssetsLiabilitiesEquityFinancialPositionAndResults,ConfirmationThatFinancialStatementsAreExemptedFromAuditing,DateOfApprovalOfAnnualReport,DateOfApprovalOfReport,DateOfFoundationOfReportingEntity,DateOfGeneralMeeting,Equity,IdentificationNumberCvrOfReportingEntity,IdentificationNumberCvrOfSubmittingEnterprise,IdentificationOfApprovedAnnualReport,IdentificationOfReviewedFinancialStatement,InformationOnTypeOfSubmittedReport,ManagementsStatementAboutManagementsReview,NameAndSurnameOfChairmanOfGeneralMeeting,NameAndSurnameOfMemberOfExecutiveBoard,NameOfReportingEntity,NameOfSubmittingEnterprise,PlaceOfSignatureOfStatement,RecommendationForApprovalOfAnnualReportByGeneralMeeting,ReportingPeriodEndDate,ReportingPeriodStartDate,SignatureOfAuditorsDate,SignatureOfAuditorsPlace,StatementOnManagementsResponsibilityAuditorsReportOnReviewOfFinancialStatements,TypeOfAuditorAssistance,_id,_index,_score,cvrNummer,indlaesningsId,indlaesningsTidspunkt,offentliggoerelsesTidspunkt,offentliggoerelsestype,omgoerelse,regNummer,regnskabsperiode_slutDato,regnskabsperiode_startDato,sagsNummer,sidstOpdateret,ProfitLoss,GrossResult,OtherExternalExpenses,OtherFinanceIncome,ProfitLossFromOrdinaryActivitiesBeforeTax,ProfitLossFromOrdinaryOperatingActivities,TaxExpenseOnOrdinaryActivities,Assets,CashAndCashEquivalents,ContributedCapital,CurrentAssets,LiabilitiesAndEquity,LiabilitiesOtherThanProvisions,OtherShorttermInvestments,OtherShorttermPayables,ProposedDividend,RetainedEarnings,ShorttermInvestments,ShorttermLiabilitiesOtherThanProvisions,ShorttermReceivables,ShorttermTaxReceivables
31477905,2013-01-01,2013-01-01,c723,,http://regnskaber.virk.dk/50977413/ZG9rdW1lbnRsYWdlcjovLzAzL2I1LzgzLzE4LzA3L2E4NjUtNDFjOC04ZDJiLTA1YzY2MmVhMDg1ZQ.pdf,http://regnskaber.virk.dk/50977413/ZG9rdW1lbnRsYWdlcjovLzAzLzIyLzg3LzkxL2FmLzA0M2EtNDI5Mi04MDNhLThkZDk1ZjY4NmNhNw.xml,Bredsten,7182.0,65.0,Ravningvej,"7200, Grindsted","Hedemarken, 23",kapitalejeren,Regnskabsklasse B,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabsloven.,"Jeg anser den valgte regnskabspraksis for hensigtsmÃ¦ssig, og efter min opfattelse giver Ã¥rsregnskabet et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2014 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar - 31. december 2014.",Direktionen anser betingelserne for at undlade revision af Ã¥rsregnskabet for 2014 for opfyldt.,2015-03-11,2015-03-11,2008-05-30,2015-04-10,125000.0,31477905.0,32285201.0,Direktionen har dags dato aflagt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar - 31. december 2014 for KIRTAG INVEST ApS.,"Vi har udfÃ¸rt review af Ã¥rsregnskabet for KIRTAG INVEST ApS for regnskabsÃ¥ret 1. januar - 31. december 2014, der omfatter anvendt regnskabspraksis, resultatopgÃ¸relse, balance og noter.",Ãrsrapport,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, som beretningen omhandler.",Tage Eriksen,Tage Eriksen Kristensen,KIRTAG INVEST ApS,"Martinsen, Statsautoriseret Revisionspartnerselskab",Bredsten,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,2014-12-31,2014-01-01,2015-03-11,Grindsted,"Ledelsen har ansvaret for udarbejdelsen af et Ã¥rsregnskab, der giver et retvisende billede i overensstemmelse med Ã¥rsregnskabsloven. Ledelsen har endvidere ansvaret for den interne kontrol, som ledelsen anser nÃ¸dvendig for at udarbejde et Ã¥rsregnskab uden vÃ¦sentlig fejlinformation, uanset om denne skyldes besvigelser eller fejl.",Den uafhÃ¦ngige revisors erklÃ¦ringer (review),urn:ofk:oid:5105399,indberetninger-20180424,2.5118417999999996,31477905.0,,2018-03-30T09:10:20.001Z,2015-04-13T11:30:04.462Z,regnskab,0.0,,2014-12-31,2014-01-01,X15-AA-58-JW,2015-04-13T11:30:04.514Z,,,,,,,,,,,,,,,,,,,,,
31477905,2013-01-01,2013-01-01,c741,,http://regnskaber.virk.dk/50977413/ZG9rdW1lbnRsYWdlcjovLzAzL2I1LzgzLzE4LzA3L2E4NjUtNDFjOC04ZDJiLTA1YzY2MmVhMDg1ZQ.pdf,http://regnskaber.virk.dk/50977413/ZG9rdW1lbnRsYWdlcjovLzAzLzIyLzg3LzkxL2FmLzA0M2EtNDI5Mi04MDNhLThkZDk1ZjY4NmNhNw.xml,Bredsten,7182.0,65.0,Ravningvej,"7200, Grindsted","Hedemarken, 23",kapitalejeren,Regnskabsklasse B,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabsloven.,"Jeg anser den valgte regnskabspraksis for hensigtsmÃ¦ssig, og efter min opfattelse giver Ã¥rsregnskabet et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2014 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar - 31. december 2014.",Direktionen anser betingelserne for at undlade revision af Ã¥rsregnskabet for 2014 for opfyldt.,2015-03-11,2015-03-11,2008-05-30,2015-04-10,630306.0,31477905.0,32285201.0,Direktionen har dags dato aflagt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar - 31. december 2014 for KIRTAG INVEST ApS.,"Vi har udfÃ¸rt review af Ã¥rsregnskabet for KIRTAG INVEST ApS for regnskabsÃ¥ret 1. januar - 31. december 2014, der omfatter anvendt regnskabspraksis, resultatopgÃ¸relse, balance og noter.",Ãrsrapport,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, som beretningen omhandler.",Tage Eriksen,Tage Eriksen Kristensen,KIRTAG INVEST ApS,"Martinsen, Statsautoriseret Revisionspartnerselskab",Bredsten,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,2014-12-31,2014-01-01,2015-03-11,Grindsted,"Ledelsen har ansvaret for udarbejdelsen af et Ã¥rsregnskab, der giver et retvisende billede i overensstemmelse med Ã¥rsregnskabsloven. Ledelsen har endvidere ansvaret for den interne kontrol, som ledelsen anser nÃ¸dvendig for at udarbejde et Ã¥rsregnskab uden vÃ¦sentlig fejlinformation, uanset om denne skyldes besvigelser eller fejl.",Den uafhÃ¦ngige revisors erklÃ¦ringer (review),urn:ofk:oid:5105399,indberetninger-20180424,2.5118417999999996,31477905.0,,2018-03-30T09:10:20.001Z,2015-04-13T11:30:04.462Z,regnskab,0.0,,2014-12-31,2014-01-01,X15-AA-58-JW,2015-04-13T11:30:04.514Z,,,,,,,,,,,,,,,,,,,,,
31477905,2013-01-01,2013-12-31,c111,,http://regnskaber.virk.dk/50977413/ZG9rdW1lbnRsYWdlcjovLzAzL2I1LzgzLzE4LzA3L2E4NjUtNDFjOC04ZDJiLTA1YzY2MmVhMDg1ZQ.pdf,http://regnskaber.virk.dk/50977413/ZG9rdW1lbnRsYWdlcjovLzAzLzIyLzg3LzkxL2FmLzA0M2EtNDI5Mi04MDNhLThkZDk1ZjY4NmNhNw.xml,Bredsten,7182.0,65.0,Ravningvej,"7200, Grindsted","Hedemarken, 23",kapitalejeren,Regnskabsklasse B,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabsloven.,"Jeg anser den valgte regnskabspraksis for hensigtsmÃ¦ssig, og efter min opfattelse giver Ã¥rsregnskabet et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2014 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar - 31. december 2014.",Direktionen anser betingelserne for at undlade revision af Ã¥rsregnskabet for 2014 for opfyldt.,2015-03-11,2015-03-11,2008-05-30,2015-04-10,,31477905.0,32285201.0,Direktionen har dags dato aflagt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar - 31. december 2014 for KIRTAG INVEST ApS.,"Vi har udfÃ¸rt review af Ã¥rsregnskabet for KIRTAG INVEST ApS for regnskabsÃ¥ret 1. januar - 31. december 2014, der omfatter anvendt regnskabspraksis, resultatopgÃ¸relse, balance og noter.",Ãrsrapport,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, som beretningen omhandler.",Tage Eriksen,Tage Eriksen Kristensen,KIRTAG INVEST ApS,"Martinsen, Statsautoriseret Revisionspartnerselskab",Bredsten,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,2014-12-31,2014-01-01,2015-03-11,Grindsted,"Ledelsen har ansvaret for udarbejdelsen af et Ã¥rsregnskab, der giver et retvisende billede i overensstemmelse med Ã¥rsregnskabsloven. Ledelsen har endvidere ansvaret for den interne kontrol, som ledelsen anser nÃ¸dvendig for at udarbejde et Ã¥rsregnskab uden vÃ¦sentlig fejlinformation, uanset om denne skyldes besvigelser eller fejl.",Den uafhÃ¦ngige revisors erklÃ¦ringer (review),urn:ofk:oid:5105399,indberetninger-20180424,2.5118417999999996,31477905.0,,2018-03-30T09:10:20.001Z,2015-04-13T11:30:04.462Z,regnskab,0.0,,2014-12-31,2014-01-01,X15-AA-58-JW,2015-04-13T11:30:04.514Z,0.0,,,,,,,,,,,,,,,,,,,,
31477905,2013-01-01,2013-12-31,c123,,http://regnskaber.virk.dk/50977413/ZG9rdW1lbnRsYWdlcjovLzAzL2I1LzgzLzE4LzA3L2E4NjUtNDFjOC04ZDJiLTA1YzY2MmVhMDg1ZQ.pdf,http://regnskaber.virk.dk/50977413/ZG9rdW1lbnRsYWdlcjovLzAzLzIyLzg3LzkxL2FmLzA0M2EtNDI5Mi04MDNhLThkZDk1ZjY4NmNhNw.xml,Bredsten,7182.0,65.0,Ravningvej,"7200, Grindsted","Hedemarken, 23",kapitalejeren,Regnskabsklasse B,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabsloven.,"Jeg anser den valgte regnskabspraksis for hensigtsmÃ¦ssig, og efter min opfattelse giver Ã¥rsregnskabet et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2014 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar - 31. december 2014.",Direktionen anser betingelserne for at undlade revision af Ã¥rsregnskabet for 2014 for opfyldt.,2015-03-11,2015-03-11,2008-05-30,2015-04-10,,31477905.0,32285201.0,Direktionen har dags dato aflagt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar - 31. december 2014 for KIRTAG INVEST ApS.,"Vi har udfÃ¸rt review af Ã¥rsregnskabet for KIRTAG INVEST ApS for regnskabsÃ¥ret 1. januar - 31. december 2014, der omfatter anvendt regnskabspraksis, resultatopgÃ¸relse, balance og noter.",Ãrsrapport,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, som beretningen omhandler.",Tage Eriksen,Tage Eriksen Kristensen,KIRTAG INVEST ApS,"Martinsen, Statsautoriseret Revisionspartnerselskab",Bredsten,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,2014-12-31,2014-01-01,2015-03-11,Grindsted,"Ledelsen har ansvaret for udarbejdelsen af et Ã¥rsregnskab, der giver et retvisende billede i overensstemmelse med Ã¥rsregnskabsloven. Ledelsen har endvidere ansvaret for den interne kontrol, som ledelsen anser nÃ¸dvendig for at udarbejde et Ã¥rsregnskab uden vÃ¦sentlig fejlinformation, uanset om denne skyldes besvigelser eller fejl.",Den uafhÃ¦ngige revisors erklÃ¦ringer (review),urn:ofk:oid:5105399,indberetninger-20180424,2.5118417999999996,31477905.0,,2018-03-30T09:10:20.001Z,2015-04-13T11:30:04.462Z,regnskab,0.0,,2014-12-31,2014-01-01,X15-AA-58-JW,2015-04-13T11:30:04.514Z,383.0,,,,,,,,,,,,,,,,,,,,
31477905,2013-01-01,2013-12-31,c3,,http://regnskaber.virk.dk/50977413/ZG9rdW1lbnRsYWdlcjovLzAzL2I1LzgzLzE4LzA3L2E4NjUtNDFjOC04ZDJiLTA1YzY2MmVhMDg1ZQ.pdf,http://regnskaber.virk.dk/50977413/ZG9rdW1lbnRsYWdlcjovLzAzLzIyLzg3LzkxL2FmLzA0M2EtNDI5Mi04MDNhLThkZDk1ZjY4NmNhNw.xml,Bredsten,7182.0,65.0,Ravningvej,"7200, Grindsted","Hedemarken, 23",kapitalejeren,Regnskabsklasse B,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabsloven.,"Jeg anser den valgte regnskabspraksis for hensigtsmÃ¦ssig, og efter min opfattelse giver Ã¥rsregnskabet et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2014 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar - 31. december 2014.",Direktionen anser betingelserne for at undlade revision af Ã¥rsregnskabet for 2014 for opfyldt.,2015-03-11,2015-03-11,2008-05-30,2015-04-10,,31477905.0,32285201.0,Direktionen har dags dato aflagt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar - 31. december 2014 for KIRTAG INVEST ApS.,"Vi har udfÃ¸rt review af Ã¥rsregnskabet for KIRTAG INVEST ApS for regnskabsÃ¥ret 1. januar - 31. december 2014, der omfatter anvendt regnskabspraksis, resultatopgÃ¸relse, balance og noter.",Ãrsrapport,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, som beretningen omhandler.",Tage Eriksen,Tage Eriksen Kristensen,KIRTAG INVEST ApS,"Martinsen, Statsautoriseret Revisionspartnerselskab",Bredsten,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,2014-12-31,2014-01-01,2015-03-11,Grindsted,"Ledelsen har ansvaret for udarbejdelsen af et Ã¥rsregnskab, der giver et retvisende billede i overensstemmelse med Ã¥rsregnskabsloven. Ledelsen har endvidere ansvaret for den interne kontrol, som ledelsen anser nÃ¸dvendig for at udarbejde et Ã¥rsregnskab uden vÃ¦sentlig fejlinformation, uanset om denne skyldes besvigelser eller fejl.",Den uafhÃ¦ngige revisors erklÃ¦ringer (review),urn:ofk:oid:5105399,indberetninger-20180424,2.5118417999999996,31477905.0,,2018-03-30T09:10:20.001Z,2015-04-13T11:30:04.462Z,regnskab,0.0,,2014-12-31,2014-01-01,X15-AA-58-JW,2015-04-13T11:30:04.514Z,383.0,-13211.0,13211.0,20194.0,6983.0,-13211.0,6600.0,,,,,,,,,,,,,,
31477905,2013-01-01,2013-12-31,c424,,http://regnskaber.virk.dk/50977413/ZG9rdW1lbnRsYWdlcjovLzAzL2I1LzgzLzE4LzA3L2E4NjUtNDFjOC04ZDJiLTA1YzY2MmVhMDg1ZQ.pdf,http://regnskaber.virk.dk/50977413/ZG9rdW1lbnRsYWdlcjovLzAzLzIyLzg3LzkxL2FmLzA0M2EtNDI5Mi04MDNhLThkZDk1ZjY4NmNhNw.xml,Bredsten,7182.0,65.0,Ravningvej,"7200, Grindsted","Hedemarken, 23",kapitalejeren,Regnskabsklasse B,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabsloven.,"Jeg anser den valgte regnskabspraksis for hensigtsmÃ¦ssig, og efter min opfattelse giver Ã¥rsregnskabet et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2014 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar - 31. december 2014.",Direktionen anser betingelserne for at undlade revision af Ã¥rsregnskabet for 2014 for opfyldt.,2015-03-11,2015-03-11,2008-05-30,2015-04-10,,31477905.0,32285201.0,Direktionen har dags dato aflagt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar - 31. december 2014 for KIRTAG INVEST ApS.,"Vi har udfÃ¸rt review af Ã¥rsregnskabet for KIRTAG INVEST ApS for regnskabsÃ¥ret 1. januar - 31. december 2014, der omfatter anvendt regnskabspraksis, resultatopgÃ¸relse, balance og noter.",Ãrsrapport,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, som beretningen omhandler.",Tage Eriksen,Tage Eriksen Kristensen,KIRTAG INVEST ApS,"Martinsen, Statsautoriseret Revisionspartnerselskab",Bredsten,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,2014-12-31,2014-01-01,2015-03-11,Grindsted,"Ledelsen har ansvaret for udarbejdelsen af et Ã¥rsregnskab, der giver et retvisende billede i overensstemmelse med Ã¥rsregnskabsloven. Ledelsen har endvidere ansvaret for den interne kontrol, som ledelsen anser nÃ¸dvendig for at udarbejde et Ã¥rsregnskab uden vÃ¦sentlig fejlinformation, uanset om denne skyldes besvigelser eller fejl.",Den uafhÃ¦ngige revisors erklÃ¦ringer (review),urn:ofk:oid:5105399,indberetninger-20180424,2.5118417999999996,31477905.0,,2018-03-30T09:10:20.001Z,2015-04-13T11:30:04.462Z,regnskab,0.0,,2014-12-31,2014-01-01,X15-AA-58-JW,2015-04-13T11:30:04.514Z,0.0,,,,,,,,,,,,,,,,,,,,
31477905,2013-01-01,2013-12-31,c742,,http://regnskaber.virk.dk/50977413/ZG9rdW1lbnRsYWdlcjovLzAzL2I1LzgzLzE4LzA3L2E4NjUtNDFjOC04ZDJiLTA1YzY2MmVhMDg1ZQ.pdf,http://regnskaber.virk.dk/50977413/ZG9rdW1lbnRsYWdlcjovLzAzLzIyLzg3LzkxL2FmLzA0M2EtNDI5Mi04MDNhLThkZDk1ZjY4NmNhNw.xml,Bredsten,7182.0,65.0,Ravningvej,"7200, Grindsted","Hedemarken, 23",kapitalejeren,Regnskabsklasse B,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabsloven.,"Jeg anser den valgte regnskabspraksis for hensigtsmÃ¦ssig, og efter min opfattelse giver Ã¥rsregnskabet et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2014 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar - 31. december 2014.",Direktionen anser betingelserne for at undlade revision af Ã¥rsregnskabet for 2014 for opfyldt.,2015-03-11,2015-03-11,2008-05-30,2015-04-10,,31477905.0,32285201.0,Direktionen har dags dato aflagt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar - 31. december 2014 for KIRTAG INVEST ApS.,"Vi har udfÃ¸rt review af Ã¥rsregnskabet for KIRTAG INVEST ApS for regnskabsÃ¥ret 1. januar - 31. december 2014, der omfatter anvendt regnskabspraksis, resultatopgÃ¸relse, balance og noter.",Ãrsrapport,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, som beretningen omhandler.",Tage Eriksen,Tage Eriksen Kristensen,KIRTAG INVEST ApS,"Martinsen, Statsautoriseret Revisionspartnerselskab",Bredsten,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,2014-12-31,2014-01-01,2015-03-11,Grindsted,"Ledelsen har ansvaret for udarbejdelsen af et Ã¥rsregnskab, der giver et retvisende billede i overensstemmelse med Ã¥rsregnskabsloven. Ledelsen har endvidere ansvaret for den interne kontrol, som ledelsen anser nÃ¸dvendig for at udarbejde et Ã¥rsregnskab uden vÃ¦sentlig fejlinformation, uanset om denne skyldes besvigelser eller fejl.",Den uafhÃ¦ngige revisors erklÃ¦ringer (review),urn:ofk:oid:5105399,indberetninger-20180424,2.5118417999999996,31477905.0,,2018-03-30T09:10:20.001Z,2015-04-13T11:30:04.462Z,regnskab,0.0,,2014-12-31,2014-01-01,X15-AA-58-JW,2015-04-13T11:30:04.514Z,383.0,,,,,,,,,,,,,,,,,,,,
31477905,2013-12-31,2013-12-31,c4,,http://regnskaber.virk.dk/50977413/ZG9rdW1lbnRsYWdlcjovLzAzL2I1LzgzLzE4LzA3L2E4NjUtNDFjOC04ZDJiLTA1YzY2MmVhMDg1ZQ.pdf,http://regnskaber.virk.dk/50977413/ZG9rdW1lbnRsYWdlcjovLzAzLzIyLzg3LzkxL2FmLzA0M2EtNDI5Mi04MDNhLThkZDk1ZjY4NmNhNw.xml,Bredsten,7182.0,65.0,Ravningvej,"7200, Grindsted","Hedemarken, 23",kapitalejeren,Regnskabsklasse B,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabsloven.,"Jeg anser den valgte regnskabspraksis for hensigtsmÃ¦ssig, og efter min opfattelse giver Ã¥rsregnskabet et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2014 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar - 31. december 2014.",Direktionen anser betingelserne for at undlade revision af Ã¥rsregnskabet for 2014 for opfyldt.,2015-03-11,2015-03-11,2008-05-30,2015-04-10,755689.0,31477905.0,32285201.0,Direktionen har dags dato aflagt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar - 31. december 2014 for KIRTAG INVEST ApS.,"Vi har udfÃ¸rt review af Ã¥rsregnskabet for KIRTAG INVEST ApS for regnskabsÃ¥ret 1. januar - 31. december 2014, der omfatter anvendt regnskabspraksis, resultatopgÃ¸relse, balance og noter.",Ãrsrapport,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, som beretningen omhandler.",Tage Eriksen,Tage Eriksen Kristensen,KIRTAG INVEST ApS,"Martinsen, Statsautoriseret Revisionspartnerselskab",Bredsten,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,2014-12-31,2014-01-01,2015-03-11,Grindsted,"Ledelsen har ansvaret for udarbejdelsen af et Ã¥rsregnskab, der giver et retvisende billede i overensstemmelse med Ã¥rsregnskabsloven. Ledelsen har endvidere ansvaret for den interne kontrol, som ledelsen anser nÃ¸dvendig for at udarbejde et Ã¥rsregnskab uden vÃ¦sentlig fejlinformation, uanset om denne skyldes besvigelser eller fejl.",Den uafhÃ¦ngige revisors erklÃ¦ringer (review),urn:ofk:oid:5105399,indberetninger-20180424,2.5118417999999996,31477905.0,,2018-03-30T09:10:20.001Z,2015-04-13T11:30:04.462Z,regnskab,0.0,,2014-12-31,2014-01-01,X15-AA-58-JW,2015-04-13T11:30:04.514Z,,,,,,,,766688.0,287303.0,125000.0,766688.0,766688.0,10999.0,467457.0,10999.0,0.0,630689.0,467457.0,10999.0,11928.0,11928.0
31477905,2013-12-31,2013-12-31,c722,,http://regnskaber.virk.dk/50977413/ZG9rdW1lbnRsYWdlcjovLzAzL2I1LzgzLzE4LzA3L2E4NjUtNDFjOC04ZDJiLTA1YzY2MmVhMDg1ZQ.pdf,http://regnskaber.virk.dk/50977413/ZG9rdW1lbnRsYWdlcjovLzAzLzIyLzg3LzkxL2FmLzA0M2EtNDI5Mi04MDNhLThkZDk1ZjY4NmNhNw.xml,Bredsten,7182.0,65.0,Ravningvej,"7200, Grindsted","Hedemarken, 23",kapitalejeren,Regnskabsklasse B,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabsloven.,"Jeg anser den valgte regnskabspraksis for hensigtsmÃ¦ssig, og efter min opfattelse giver Ã¥rsregnskabet et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2014 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar - 31. december 2014.",Direktionen anser betingelserne for at undlade revision af Ã¥rsregnskabet for 2014 for opfyldt.,2015-03-11,2015-03-11,2008-05-30,2015-04-10,125000.0,31477905.0,32285201.0,Direktionen har dags dato aflagt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar - 31. december 2014 for KIRTAG INVEST ApS.,"Vi har udfÃ¸rt review af Ã¥rsregnskabet for KIRTAG INVEST ApS for regnskabsÃ¥ret 1. januar - 31. december 2014, der omfatter anvendt regnskabspraksis, resultatopgÃ¸relse, balance og noter.",Ãrsrapport,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, som beretningen omhandler.",Tage Eriksen,Tage Eriksen Kristensen,KIRTAG INVEST ApS,"Martinsen, Statsautoriseret Revisionspartnerselskab",Bredsten,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,2014-12-31,2014-01-01,2015-03-11,Grindsted,"Ledelsen har ansvaret for udarbejdelsen af et Ã¥rsregnskab, der giver et retvisende billede i overensstemmelse med Ã¥rsregnskabsloven. Ledelsen har endvidere ansvaret for den interne kontrol, som ledelsen anser nÃ¸dvendig for at udarbejde et Ã¥rsregnskab uden vÃ¦sentlig fejlinformation, uanset om denne skyldes besvigelser eller fejl.",Den uafhÃ¦ngige revisors erklÃ¦ringer (review),urn:ofk:oid:5105399,indberetninger-20180424,2.5118417999999996,31477905.0,,2018-03-30T09:10:20.001Z,2015-04-13T11:30:04.462Z,regnskab,0.0,,2014-12-31,2014-01-01,X15-AA-58-JW,2015-04-13T11:30:04.514Z,,,,,,,,,,,,,,,,,,,,,
31477905,2013-12-31,2013-12-31,c743,,http://regnskaber.virk.dk/50977413/ZG9rdW1lbnRsYWdlcjovLzAzL2I1LzgzLzE4LzA3L2E4NjUtNDFjOC04ZDJiLTA1YzY2MmVhMDg1ZQ.pdf,http://regnskaber.virk.dk/50977413/ZG9rdW1lbnRsYWdlcjovLzAzLzIyLzg3LzkxL2FmLzA0M2EtNDI5Mi04MDNhLThkZDk1ZjY4NmNhNw.xml,Bredsten,7182.0,65.0,Ravningvej,"7200, Grindsted","Hedemarken, 23",kapitalejeren,Regnskabsklasse B,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabsloven.,"Jeg anser den valgte regnskabspraksis for hensigtsmÃ¦ssig, og efter min opfattelse giver Ã¥rsregnskabet et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2014 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar - 31. december 2014.",Direktionen anser betingelserne for at undlade revision af Ã¥rsregnskabet for 2014 for opfyldt.,2015-03-11,2015-03-11,2008-05-30,2015-04-10,630689.0,31477905.0,32285201.0,Direktionen har dags dato aflagt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar - 31. december 2014 for KIRTAG INVEST ApS.,"Vi har udfÃ¸rt review af Ã¥rsregnskabet for KIRTAG INVEST ApS for regnskabsÃ¥ret 1. januar - 31. december 2014, der omfatter anvendt regnskabspraksis, resultatopgÃ¸relse, balance og noter.",Ãrsrapport,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, som beretningen omhandler.",Tage Eriksen,Tage Eriksen Kristensen,KIRTAG INVEST ApS,"Martinsen, Statsautoriseret Revisionspartnerselskab",Bredsten,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,2014-12-31,2014-01-01,2015-03-11,Grindsted,"Ledelsen har ansvaret for udarbejdelsen af et Ã¥rsregnskab, der giver et retvisende billede i overensstemmelse med Ã¥rsregnskabsloven. Ledelsen har endvidere ansvaret for den interne kontrol, som ledelsen anser nÃ¸dvendig for at udarbejde et Ã¥rsregnskab uden vÃ¦sentlig fejlinformation, uanset om denne skyldes besvigelser eller fejl.",Den uafhÃ¦ngige revisors erklÃ¦ringer (review),urn:ofk:oid:5105399,indberetninger-20180424,2.5118417999999996,31477905.0,,2018-03-30T09:10:20.001Z,2015-04-13T11:30:04.462Z,regnskab,0.0,,2014-12-31,2014-01-01,X15-AA-58-JW,2015-04-13T11:30:04.514Z,,,,,,,,,,,,,,,,,,,,,
