entity,start_date,end_date,context,AARSRAPPORT_html,AARSRAPPORT_pdf,AARSRAPPORT_xml,AccumulatedRevaluationsOfInvestments,AddressOfAuditorCountry,AddressOfAuditorDistrictName,AddressOfAuditorPostCodeIdentifier,AddressOfAuditorStreetBuildingIdentifier,AddressOfAuditorStreetName,AddressOfReportingEntityDistrictName,AddressOfReportingEntityPostCodeIdentifier,AddressOfReportingEntityStreetBuildingIdentifier,AddressOfReportingEntityStreetName,AddressOfSubmittingEnterprisePostcodeAndTown,AddressOfSubmittingEnterpriseStreetAndNumber,AddresseeOfAuditorsReportOnOtherReport,ClassOfReportingEntity,ConfirmationThatAnnualReportIsPresentedInAccordanceWithRequirementsProvidedForByLegislationAnyStandardsAndRequirementsProvidedByArticlesOfAssociationOrByAgreement,ConfirmationThatFinancialStatementGivesTrueAndFairViewOfAssetsLiabilitiesEquityFinancialPositionAndResults,ConfirmationThatFinancialStatementsAreExemptedFromAuditing,DateOfApprovalOfAnnualReport,DateOfApprovalOfReport,DateOfFoundationOfReportingEntity,DateOfGeneralMeeting,DescriptionOfAuditor,EmailOfAuditor,IdentificationNumberCvrOfAuditFirm,IdentificationNumberCvrOfReportingEntity,IdentificationNumberCvrOfSubmittingEnterprise,IdentificationOfApprovedAnnualReport,InformationOnTypeOfSubmittedReport,InvestmentsGross,ManagementsStatementAboutManagementsReview,NameAndSurnameOfAuditor,NameAndSurnameOfChairmanOfGeneralMeeting,NameAndSurnameOfMemberOfExecutiveBoard,NameOfAuditFirm,NameOfReportingEntity,NameOfSubmittingEnterprise,PlaceOfSignatureOfStatement,PrecedingReportingPeriodStartDate,PredingReportingPeriodEndDate,RecommendationForApprovalOfAnnualReportByGeneralMeeting,RegisteredOfficeOfReportingEntity,RelatedEntityName,RelatedEntityRegisteredOffice,ReportingPeriodEndDate,ReportingPeriodStartDate,ShareHeldByEntityOrConsolidatedEnterprisesInRelatedEntity,SignatureOfAuditorsDate,SignatureOfAuditorsPlace,TelephoneNumberOfAuditor,TypeOfAuditorAssistance,_id,_index,_score,cvrNummer,indlaesningsId,indlaesningsTidspunkt,offentliggoerelsesTidspunkt,offentliggoerelsestype,omgoerelse,regNummer,regnskabsperiode_slutDato,regnskabsperiode_startDato,sagsNummer,sidstOpdateret,Equity,ProfitLoss,ProfitLossRelatedToInvestments,GrossProfitLoss,IncomeFromInvestmentsInAssociates,OtherFinanceExpenses,OtherFinanceIncomeFromGroupEnterprises,ProfitLossFromOrdinaryActivitiesBeforeTax,ProfitLossFromOrdinaryOperatingActivities,LongtermInvestmentsAndReceivables,Assets,ContributedCapital,CurrentAssets,LiabilitiesAndEquity,LiabilitiesOtherThanProvisions,LongtermDebtToOtherCreditInstitutions,LongtermInvestmentsInAssociates,LongtermLiabilitiesOtherThanProvisions,LongtermReceivablesFromAssociates,NoncurrentAssets,OtherShorttermPayables,RetainedEarnings,ShorttermDebtToBanks,ShorttermLiabilitiesOtherThanProvisions,ShorttermReceivables,ShorttermReceivablesFromAssociates
21184381,2015-07-01,2015-07-01,c251,,http://regnskaber.virk.dk/18348112/ZG9rdW1lbnRsYWdlcjovLzAzLzM5LzEwLzFmLzI2L2MyMzYtNGQwOC1iYzk3LTUwOTRjMWNmZmIyNg.pdf,http://regnskaber.virk.dk/18348112/ZG9rdW1lbnRsYWdlcjovLzAzLzk0L2FiL2YzL2Y0L2Q0YTQtNDVjNy04ZTlhLTBkYjUyYTNkOWU3Yg.xml,-394910.0,Danmark,Viborg,8800.0,1.0,Agerlandsvej,Viborg,8800.0,14.0,SÃ¸vÃ¦nget,"8800, Viborg","Agerlandsvej, 1",anpartshaveren,Regnskabsklasse B,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabsloven.,"Jeg anser den valgte regnskabspraksis for hensigtsmÃ¦ssig, og efter min opfattelse giver Ã¥rsregnskabet et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 30. juni 2017 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. juli 2016 - 30. juni 2017.",Direktionen anser betingelserne for at undlade revision af Ã¥rsregnskabet for 2016/17 for opfyldt.,2017-11-21,2017-11-21,1998-01-26,2017-11-30,statsautoriseret revisor,uw@uw.dk,32093272.0,21184381.0,32093272.0,Direktionen har dags dato aflagt Ã¥rsrapporten for regnskabsÃ¥ret 1. juli 2016 - 30. juni 2017 for A. M. SÃ¸rensen Fragt ApS.,Ãrsrapport,1500000.0,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, som beretningen omhandler.",Henrik Lundsgaard,Peter M. SÃ¸rensen,Peter M. SÃ¸rensen,"Ullits & Winther, Statsautoriseret Revisionspartnerselskab",A. M. SÃ¸rensen Fragt ApS,"Ullits & Winther, Statsautoriseret Revisionspartnerselskab",Viborg,2015-07-01,2016-06-30,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,Viborg,Selskabet af 18. januar 2011 ApS,Viborg,2017-06-30,2016-07-01,34.99,2017-11-21,Viborg,86629222.0,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:24819217,indberetninger-20180424,2.5118417999999996,21184381.0,,2018-03-28T02:29:18.411Z,2017-12-11T07:36:42.536Z,regnskab,0.0,,2017-06-30,2016-07-01,X17-BK-43-DS,2017-12-11T07:36:42.671Z,,,,,,,,,,,,,,,,,,,,,,,,,,
21184381,2015-07-01,2015-07-01,c720,,http://regnskaber.virk.dk/18348112/ZG9rdW1lbnRsYWdlcjovLzAzLzM5LzEwLzFmLzI2L2MyMzYtNGQwOC1iYzk3LTUwOTRjMWNmZmIyNg.pdf,http://regnskaber.virk.dk/18348112/ZG9rdW1lbnRsYWdlcjovLzAzLzk0L2FiL2YzL2Y0L2Q0YTQtNDVjNy04ZTlhLTBkYjUyYTNkOWU3Yg.xml,,Danmark,Viborg,8800.0,1.0,Agerlandsvej,Viborg,8800.0,14.0,SÃ¸vÃ¦nget,"8800, Viborg","Agerlandsvej, 1",anpartshaveren,Regnskabsklasse B,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabsloven.,"Jeg anser den valgte regnskabspraksis for hensigtsmÃ¦ssig, og efter min opfattelse giver Ã¥rsregnskabet et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 30. juni 2017 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. juli 2016 - 30. juni 2017.",Direktionen anser betingelserne for at undlade revision af Ã¥rsregnskabet for 2016/17 for opfyldt.,2017-11-21,2017-11-21,1998-01-26,2017-11-30,statsautoriseret revisor,uw@uw.dk,32093272.0,21184381.0,32093272.0,Direktionen har dags dato aflagt Ã¥rsrapporten for regnskabsÃ¥ret 1. juli 2016 - 30. juni 2017 for A. M. SÃ¸rensen Fragt ApS.,Ãrsrapport,,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, som beretningen omhandler.",Henrik Lundsgaard,Peter M. SÃ¸rensen,Peter M. SÃ¸rensen,"Ullits & Winther, Statsautoriseret Revisionspartnerselskab",A. M. SÃ¸rensen Fragt ApS,"Ullits & Winther, Statsautoriseret Revisionspartnerselskab",Viborg,2015-07-01,2016-06-30,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,Viborg,Selskabet af 18. januar 2011 ApS,Viborg,2017-06-30,2016-07-01,34.99,2017-11-21,Viborg,86629222.0,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:24819217,indberetninger-20180424,2.5118417999999996,21184381.0,,2018-03-28T02:29:18.411Z,2017-12-11T07:36:42.536Z,regnskab,0.0,,2017-06-30,2016-07-01,X17-BK-43-DS,2017-12-11T07:36:42.671Z,750000.0,,,,,,,,,,,,,,,,,,,,,,,,,
21184381,2015-07-01,2015-07-01,c741,,http://regnskaber.virk.dk/18348112/ZG9rdW1lbnRsYWdlcjovLzAzLzM5LzEwLzFmLzI2L2MyMzYtNGQwOC1iYzk3LTUwOTRjMWNmZmIyNg.pdf,http://regnskaber.virk.dk/18348112/ZG9rdW1lbnRsYWdlcjovLzAzLzk0L2FiL2YzL2Y0L2Q0YTQtNDVjNy04ZTlhLTBkYjUyYTNkOWU3Yg.xml,,Danmark,Viborg,8800.0,1.0,Agerlandsvej,Viborg,8800.0,14.0,SÃ¸vÃ¦nget,"8800, Viborg","Agerlandsvej, 1",anpartshaveren,Regnskabsklasse B,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabsloven.,"Jeg anser den valgte regnskabspraksis for hensigtsmÃ¦ssig, og efter min opfattelse giver Ã¥rsregnskabet et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 30. juni 2017 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. juli 2016 - 30. juni 2017.",Direktionen anser betingelserne for at undlade revision af Ã¥rsregnskabet for 2016/17 for opfyldt.,2017-11-21,2017-11-21,1998-01-26,2017-11-30,statsautoriseret revisor,uw@uw.dk,32093272.0,21184381.0,32093272.0,Direktionen har dags dato aflagt Ã¥rsrapporten for regnskabsÃ¥ret 1. juli 2016 - 30. juni 2017 for A. M. SÃ¸rensen Fragt ApS.,Ãrsrapport,,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, som beretningen omhandler.",Henrik Lundsgaard,Peter M. SÃ¸rensen,Peter M. SÃ¸rensen,"Ullits & Winther, Statsautoriseret Revisionspartnerselskab",A. M. SÃ¸rensen Fragt ApS,"Ullits & Winther, Statsautoriseret Revisionspartnerselskab",Viborg,2015-07-01,2016-06-30,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,Viborg,Selskabet af 18. januar 2011 ApS,Viborg,2017-06-30,2016-07-01,34.99,2017-11-21,Viborg,86629222.0,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:24819217,indberetninger-20180424,2.5118417999999996,21184381.0,,2018-03-28T02:29:18.411Z,2017-12-11T07:36:42.536Z,regnskab,0.0,,2017-06-30,2016-07-01,X17-BK-43-DS,2017-12-11T07:36:42.671Z,-584354.0,,,,,,,,,,,,,,,,,,,,,,,,,
21184381,2015-07-01,2016-06-30,c123,,http://regnskaber.virk.dk/18348112/ZG9rdW1lbnRsYWdlcjovLzAzLzM5LzEwLzFmLzI2L2MyMzYtNGQwOC1iYzk3LTUwOTRjMWNmZmIyNg.pdf,http://regnskaber.virk.dk/18348112/ZG9rdW1lbnRsYWdlcjovLzAzLzk0L2FiL2YzL2Y0L2Q0YTQtNDVjNy04ZTlhLTBkYjUyYTNkOWU3Yg.xml,,Danmark,Viborg,8800.0,1.0,Agerlandsvej,Viborg,8800.0,14.0,SÃ¸vÃ¦nget,"8800, Viborg","Agerlandsvej, 1",anpartshaveren,Regnskabsklasse B,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabsloven.,"Jeg anser den valgte regnskabspraksis for hensigtsmÃ¦ssig, og efter min opfattelse giver Ã¥rsregnskabet et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 30. juni 2017 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. juli 2016 - 30. juni 2017.",Direktionen anser betingelserne for at undlade revision af Ã¥rsregnskabet for 2016/17 for opfyldt.,2017-11-21,2017-11-21,1998-01-26,2017-11-30,statsautoriseret revisor,uw@uw.dk,32093272.0,21184381.0,32093272.0,Direktionen har dags dato aflagt Ã¥rsrapporten for regnskabsÃ¥ret 1. juli 2016 - 30. juni 2017 for A. M. SÃ¸rensen Fragt ApS.,Ãrsrapport,,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, som beretningen omhandler.",Henrik Lundsgaard,Peter M. SÃ¸rensen,Peter M. SÃ¸rensen,"Ullits & Winther, Statsautoriseret Revisionspartnerselskab",A. M. SÃ¸rensen Fragt ApS,"Ullits & Winther, Statsautoriseret Revisionspartnerselskab",Viborg,2015-07-01,2016-06-30,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,Viborg,Selskabet af 18. januar 2011 ApS,Viborg,2017-06-30,2016-07-01,34.99,2017-11-21,Viborg,86629222.0,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:24819217,indberetninger-20180424,2.5118417999999996,21184381.0,,2018-03-28T02:29:18.411Z,2017-12-11T07:36:42.536Z,regnskab,0.0,,2017-06-30,2016-07-01,X17-BK-43-DS,2017-12-11T07:36:42.671Z,,-68679.0,,,,,,,,,,,,,,,,,,,,,,,,
21184381,2015-07-01,2016-06-30,c252,,http://regnskaber.virk.dk/18348112/ZG9rdW1lbnRsYWdlcjovLzAzLzM5LzEwLzFmLzI2L2MyMzYtNGQwOC1iYzk3LTUwOTRjMWNmZmIyNg.pdf,http://regnskaber.virk.dk/18348112/ZG9rdW1lbnRsYWdlcjovLzAzLzk0L2FiL2YzL2Y0L2Q0YTQtNDVjNy04ZTlhLTBkYjUyYTNkOWU3Yg.xml,,Danmark,Viborg,8800.0,1.0,Agerlandsvej,Viborg,8800.0,14.0,SÃ¸vÃ¦nget,"8800, Viborg","Agerlandsvej, 1",anpartshaveren,Regnskabsklasse B,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabsloven.,"Jeg anser den valgte regnskabspraksis for hensigtsmÃ¦ssig, og efter min opfattelse giver Ã¥rsregnskabet et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 30. juni 2017 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. juli 2016 - 30. juni 2017.",Direktionen anser betingelserne for at undlade revision af Ã¥rsregnskabet for 2016/17 for opfyldt.,2017-11-21,2017-11-21,1998-01-26,2017-11-30,statsautoriseret revisor,uw@uw.dk,32093272.0,21184381.0,32093272.0,Direktionen har dags dato aflagt Ã¥rsrapporten for regnskabsÃ¥ret 1. juli 2016 - 30. juni 2017 for A. M. SÃ¸rensen Fragt ApS.,Ãrsrapport,,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, som beretningen omhandler.",Henrik Lundsgaard,Peter M. SÃ¸rensen,Peter M. SÃ¸rensen,"Ullits & Winther, Statsautoriseret Revisionspartnerselskab",A. M. SÃ¸rensen Fragt ApS,"Ullits & Winther, Statsautoriseret Revisionspartnerselskab",Viborg,2015-07-01,2016-06-30,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,Viborg,Selskabet af 18. januar 2011 ApS,Viborg,2017-06-30,2016-07-01,34.99,2017-11-21,Viborg,86629222.0,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:24819217,indberetninger-20180424,2.5118417999999996,21184381.0,,2018-03-28T02:29:18.411Z,2017-12-11T07:36:42.536Z,regnskab,0.0,,2017-06-30,2016-07-01,X17-BK-43-DS,2017-12-11T07:36:42.671Z,,,-31693.0,,,,,,,,,,,,,,,,,,,,,,,
21184381,2015-07-01,2016-06-30,c3,,http://regnskaber.virk.dk/18348112/ZG9rdW1lbnRsYWdlcjovLzAzLzM5LzEwLzFmLzI2L2MyMzYtNGQwOC1iYzk3LTUwOTRjMWNmZmIyNg.pdf,http://regnskaber.virk.dk/18348112/ZG9rdW1lbnRsYWdlcjovLzAzLzk0L2FiL2YzL2Y0L2Q0YTQtNDVjNy04ZTlhLTBkYjUyYTNkOWU3Yg.xml,,Danmark,Viborg,8800.0,1.0,Agerlandsvej,Viborg,8800.0,14.0,SÃ¸vÃ¦nget,"8800, Viborg","Agerlandsvej, 1",anpartshaveren,Regnskabsklasse B,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabsloven.,"Jeg anser den valgte regnskabspraksis for hensigtsmÃ¦ssig, og efter min opfattelse giver Ã¥rsregnskabet et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 30. juni 2017 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. juli 2016 - 30. juni 2017.",Direktionen anser betingelserne for at undlade revision af Ã¥rsregnskabet for 2016/17 for opfyldt.,2017-11-21,2017-11-21,1998-01-26,2017-11-30,statsautoriseret revisor,uw@uw.dk,32093272.0,21184381.0,32093272.0,Direktionen har dags dato aflagt Ã¥rsrapporten for regnskabsÃ¥ret 1. juli 2016 - 30. juni 2017 for A. M. SÃ¸rensen Fragt ApS.,Ãrsrapport,,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, som beretningen omhandler.",Henrik Lundsgaard,Peter M. SÃ¸rensen,Peter M. SÃ¸rensen,"Ullits & Winther, Statsautoriseret Revisionspartnerselskab",A. M. SÃ¸rensen Fragt ApS,"Ullits & Winther, Statsautoriseret Revisionspartnerselskab",Viborg,2015-07-01,2016-06-30,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,Viborg,Selskabet af 18. januar 2011 ApS,Viborg,2017-06-30,2016-07-01,34.99,2017-11-21,Viborg,86629222.0,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:24819217,indberetninger-20180424,2.5118417999999996,21184381.0,,2018-03-28T02:29:18.411Z,2017-12-11T07:36:42.536Z,regnskab,0.0,,2017-06-30,2016-07-01,X17-BK-43-DS,2017-12-11T07:36:42.671Z,,-68679.0,,-3455.0,-31693.0,58531.0,25000.0,-68679.0,-3455.0,,,,,,,,,,,,,,,,,
21184381,2015-07-01,2016-06-30,c742,,http://regnskaber.virk.dk/18348112/ZG9rdW1lbnRsYWdlcjovLzAzLzM5LzEwLzFmLzI2L2MyMzYtNGQwOC1iYzk3LTUwOTRjMWNmZmIyNg.pdf,http://regnskaber.virk.dk/18348112/ZG9rdW1lbnRsYWdlcjovLzAzLzk0L2FiL2YzL2Y0L2Q0YTQtNDVjNy04ZTlhLTBkYjUyYTNkOWU3Yg.xml,,Danmark,Viborg,8800.0,1.0,Agerlandsvej,Viborg,8800.0,14.0,SÃ¸vÃ¦nget,"8800, Viborg","Agerlandsvej, 1",anpartshaveren,Regnskabsklasse B,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabsloven.,"Jeg anser den valgte regnskabspraksis for hensigtsmÃ¦ssig, og efter min opfattelse giver Ã¥rsregnskabet et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 30. juni 2017 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. juli 2016 - 30. juni 2017.",Direktionen anser betingelserne for at undlade revision af Ã¥rsregnskabet for 2016/17 for opfyldt.,2017-11-21,2017-11-21,1998-01-26,2017-11-30,statsautoriseret revisor,uw@uw.dk,32093272.0,21184381.0,32093272.0,Direktionen har dags dato aflagt Ã¥rsrapporten for regnskabsÃ¥ret 1. juli 2016 - 30. juni 2017 for A. M. SÃ¸rensen Fragt ApS.,Ãrsrapport,,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, som beretningen omhandler.",Henrik Lundsgaard,Peter M. SÃ¸rensen,Peter M. SÃ¸rensen,"Ullits & Winther, Statsautoriseret Revisionspartnerselskab",A. M. SÃ¸rensen Fragt ApS,"Ullits & Winther, Statsautoriseret Revisionspartnerselskab",Viborg,2015-07-01,2016-06-30,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,Viborg,Selskabet af 18. januar 2011 ApS,Viborg,2017-06-30,2016-07-01,34.99,2017-11-21,Viborg,86629222.0,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:24819217,indberetninger-20180424,2.5118417999999996,21184381.0,,2018-03-28T02:29:18.411Z,2017-12-11T07:36:42.536Z,regnskab,0.0,,2017-06-30,2016-07-01,X17-BK-43-DS,2017-12-11T07:36:42.671Z,,-68679.0,,,,,,,,,,,,,,,,,,,,,,,,
21184381,2016-06-30,2016-06-30,c253,,http://regnskaber.virk.dk/18348112/ZG9rdW1lbnRsYWdlcjovLzAzLzM5LzEwLzFmLzI2L2MyMzYtNGQwOC1iYzk3LTUwOTRjMWNmZmIyNg.pdf,http://regnskaber.virk.dk/18348112/ZG9rdW1lbnRsYWdlcjovLzAzLzk0L2FiL2YzL2Y0L2Q0YTQtNDVjNy04ZTlhLTBkYjUyYTNkOWU3Yg.xml,-426603.0,Danmark,Viborg,8800.0,1.0,Agerlandsvej,Viborg,8800.0,14.0,SÃ¸vÃ¦nget,"8800, Viborg","Agerlandsvej, 1",anpartshaveren,Regnskabsklasse B,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabsloven.,"Jeg anser den valgte regnskabspraksis for hensigtsmÃ¦ssig, og efter min opfattelse giver Ã¥rsregnskabet et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 30. juni 2017 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. juli 2016 - 30. juni 2017.",Direktionen anser betingelserne for at undlade revision af Ã¥rsregnskabet for 2016/17 for opfyldt.,2017-11-21,2017-11-21,1998-01-26,2017-11-30,statsautoriseret revisor,uw@uw.dk,32093272.0,21184381.0,32093272.0,Direktionen har dags dato aflagt Ã¥rsrapporten for regnskabsÃ¥ret 1. juli 2016 - 30. juni 2017 for A. M. SÃ¸rensen Fragt ApS.,Ãrsrapport,1500000.0,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, som beretningen omhandler.",Henrik Lundsgaard,Peter M. SÃ¸rensen,Peter M. SÃ¸rensen,"Ullits & Winther, Statsautoriseret Revisionspartnerselskab",A. M. SÃ¸rensen Fragt ApS,"Ullits & Winther, Statsautoriseret Revisionspartnerselskab",Viborg,2015-07-01,2016-06-30,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,Viborg,Selskabet af 18. januar 2011 ApS,Viborg,2017-06-30,2016-07-01,34.99,2017-11-21,Viborg,86629222.0,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:24819217,indberetninger-20180424,2.5118417999999996,21184381.0,,2018-03-28T02:29:18.411Z,2017-12-11T07:36:42.536Z,regnskab,0.0,,2017-06-30,2016-07-01,X17-BK-43-DS,2017-12-11T07:36:42.671Z,,,,,,,,,,1073397.0,,,,,,,,,,,,,,,,
21184381,2016-06-30,2016-06-30,c4,,http://regnskaber.virk.dk/18348112/ZG9rdW1lbnRsYWdlcjovLzAzLzM5LzEwLzFmLzI2L2MyMzYtNGQwOC1iYzk3LTUwOTRjMWNmZmIyNg.pdf,http://regnskaber.virk.dk/18348112/ZG9rdW1lbnRsYWdlcjovLzAzLzk0L2FiL2YzL2Y0L2Q0YTQtNDVjNy04ZTlhLTBkYjUyYTNkOWU3Yg.xml,,Danmark,Viborg,8800.0,1.0,Agerlandsvej,Viborg,8800.0,14.0,SÃ¸vÃ¦nget,"8800, Viborg","Agerlandsvej, 1",anpartshaveren,Regnskabsklasse B,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabsloven.,"Jeg anser den valgte regnskabspraksis for hensigtsmÃ¦ssig, og efter min opfattelse giver Ã¥rsregnskabet et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 30. juni 2017 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. juli 2016 - 30. juni 2017.",Direktionen anser betingelserne for at undlade revision af Ã¥rsregnskabet for 2016/17 for opfyldt.,2017-11-21,2017-11-21,1998-01-26,2017-11-30,statsautoriseret revisor,uw@uw.dk,32093272.0,21184381.0,32093272.0,Direktionen har dags dato aflagt Ã¥rsrapporten for regnskabsÃ¥ret 1. juli 2016 - 30. juni 2017 for A. M. SÃ¸rensen Fragt ApS.,Ãrsrapport,,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, som beretningen omhandler.",Henrik Lundsgaard,Peter M. SÃ¸rensen,Peter M. SÃ¸rensen,"Ullits & Winther, Statsautoriseret Revisionspartnerselskab",A. M. SÃ¸rensen Fragt ApS,"Ullits & Winther, Statsautoriseret Revisionspartnerselskab",Viborg,2015-07-01,2016-06-30,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,Viborg,Selskabet af 18. januar 2011 ApS,Viborg,2017-06-30,2016-07-01,34.99,2017-11-21,Viborg,86629222.0,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:24819217,indberetninger-20180424,2.5118417999999996,21184381.0,,2018-03-28T02:29:18.411Z,2017-12-11T07:36:42.536Z,regnskab,0.0,,2017-06-30,2016-07-01,X17-BK-43-DS,2017-12-11T07:36:42.671Z,96967.0,,,,,,,,,1323397.0,1485897.0,750000.0,162500.0,1485897.0,1388930.0,495000.0,1073397.0,495000.0,250000.0,1323397.0,796348.0,-653033.0,97582.0,893930.0,162500.0,162500.0
21184381,2016-06-30,2016-06-30,c722,,http://regnskaber.virk.dk/18348112/ZG9rdW1lbnRsYWdlcjovLzAzLzM5LzEwLzFmLzI2L2MyMzYtNGQwOC1iYzk3LTUwOTRjMWNmZmIyNg.pdf,http://regnskaber.virk.dk/18348112/ZG9rdW1lbnRsYWdlcjovLzAzLzk0L2FiL2YzL2Y0L2Q0YTQtNDVjNy04ZTlhLTBkYjUyYTNkOWU3Yg.xml,,Danmark,Viborg,8800.0,1.0,Agerlandsvej,Viborg,8800.0,14.0,SÃ¸vÃ¦nget,"8800, Viborg","Agerlandsvej, 1",anpartshaveren,Regnskabsklasse B,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabsloven.,"Jeg anser den valgte regnskabspraksis for hensigtsmÃ¦ssig, og efter min opfattelse giver Ã¥rsregnskabet et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 30. juni 2017 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. juli 2016 - 30. juni 2017.",Direktionen anser betingelserne for at undlade revision af Ã¥rsregnskabet for 2016/17 for opfyldt.,2017-11-21,2017-11-21,1998-01-26,2017-11-30,statsautoriseret revisor,uw@uw.dk,32093272.0,21184381.0,32093272.0,Direktionen har dags dato aflagt Ã¥rsrapporten for regnskabsÃ¥ret 1. juli 2016 - 30. juni 2017 for A. M. SÃ¸rensen Fragt ApS.,Ãrsrapport,,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, som beretningen omhandler.",Henrik Lundsgaard,Peter M. SÃ¸rensen,Peter M. SÃ¸rensen,"Ullits & Winther, Statsautoriseret Revisionspartnerselskab",A. M. SÃ¸rensen Fragt ApS,"Ullits & Winther, Statsautoriseret Revisionspartnerselskab",Viborg,2015-07-01,2016-06-30,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,Viborg,Selskabet af 18. januar 2011 ApS,Viborg,2017-06-30,2016-07-01,34.99,2017-11-21,Viborg,86629222.0,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:24819217,indberetninger-20180424,2.5118417999999996,21184381.0,,2018-03-28T02:29:18.411Z,2017-12-11T07:36:42.536Z,regnskab,0.0,,2017-06-30,2016-07-01,X17-BK-43-DS,2017-12-11T07:36:42.671Z,750000.0,,,,,,,,,,,,,,,,,,,,,,,,,
