entity,start_date,end_date,context,AARSRAPPORT_html,AARSRAPPORT_pdf,AARSRAPPORT_xml,AccountingPoliciesAreUnchangedFromPreviousPeriod,AddressOfSubmittingEnterprisePostcodeAndTown,AddressOfSubmittingEnterpriseStreetAndNumber,AddresseeOfAuditorsReportOnAuditedFinancialStatements,AverageNumberOfEmployees,ClassOfReportingEntity,ConfirmationThatAnnualReportIsPresentedInAccordanceWithRequirementsProvidedForByLegislationAnyStandardsAndRequirementsProvidedByArticlesOfAssociationOrByAgreement,ConfirmationThatFinancialStatementGivesTrueAndFairViewOfAssetsLiabilitiesEquityFinancialPositionAndResults,DateOfApprovalOfAnnualReport,DateOfApprovalOfReport,DateOfGeneralMeeting,IdentificationNumberCvrOfAuditFirm,IdentificationNumberCvrOfReportingEntity,IdentificationNumberCvrOfSubmittingEnterprise,IdentificationNumberOfAuditor,IdentificationOfApprovedAnnualReport,InformationOnTypeOfSubmittedReport,ManagementsStatementAboutManagementsReview,NameAndSurnameOfAuditor,NameAndSurnameOfChairmanOfGeneralMeeting,NameOfAuditFirm,NameOfReportingEntity,NameOfSubmittingEnterprise,PlaceOfSignatureOfStatement,PrecedingReportingPeriodStartDate,PredingReportingPeriodEndDate,RecommendationForApprovalOfAnnualReportByGeneralMeeting,RegisteredOfficeOfReportingEntity,ReportingPeriodEndDate,ReportingPeriodStartDate,SelectedElementsFromReportingClassC,SignatureOfAuditorsDate,SignatureOfAuditorsPlace,TitleOfMemberOfExecutiveBoard,TitleOfMemberOfSupervisoryBoard,TypeOfAuditorAssistance,_id,_index,_score,cvrNummer,indlaesningsId,indlaesningsTidspunkt,offentliggoerelsesTidspunkt,offentliggoerelsestype,omgoerelse,regNummer,regnskabsperiode_slutDato,regnskabsperiode_startDato,sagsNummer,sidstOpdateret,DepreciationAmortisationExpenseAndImpairmentLossesOfPropertyPlantAndEquipmentAndIntangibleAssetsRecognisedInProfitOrLoss,EmployeeBenefitsExpense,GrossProfitLoss,OtherFinanceExpenses,ProfitLoss,ProfitLossFromOrdinaryActivitiesBeforeTax,ProfitLossFromOrdinaryOperatingActivities,TaxExpenseOnOrdinaryActivities,Assets,CashAndCashEquivalents,ContributedCapital,CurrentAssets,CurrentDeferredTaxAssets,DepositsLongtermInvestmentsAndReceivables,Equity,FixturesFittingsToolsAndEquipment,Inventories,LiabilitiesAndEquity,LiabilitiesOtherThanProvisions,LongtermInvestmentsAndReceivables,NoncurrentAssets,OtherShorttermPayables,PropertyPlantAndEquipment,RawMaterialsAndConsumables,RetainedEarnings,ShorttermLiabilitiesOtherThanProvisions,ShorttermPayablesToGroupEnterprises,ShorttermReceivables,ShorttermReceivablesFromGroupEnterprises,ShorttermTaxPayables,ShorttermTradePayables,ShorttermTradeReceivables,NameAndSurnameOfMemberOfExecutiveBoard,NameAndSurnameOfMemberOfSupervisoryBoard
29624305,2016-07-01,2017-06-30,ID_10,,http://regnskaber.virk.dk/50342692/ZG9rdW1lbnRsYWdlcjovLzAzLzEzLzA4LzBmLzVmLzAwODMtNDNlMC04OWViLWJmM2E1MjRmNjg4Mw.pdf,http://regnskaber.virk.dk/50342692/ZG9rdW1lbnRsYWdlcjovLzAzL2UxLzg4LzU5LzlkLzVmYjQtNDA5Yi05ZGI5LTgxYThiZTVlMmIxNw.xml,true,"1304, KÃ¸benhavn K",Adelgade 15,Til kapitalejerne i Italian Wine Trading ApS,0.0,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 30. juni 2018 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. juli 2017 - 30. juni 2018.",2018-11-07,2018-11-07,2018-11-14,39463113.0,29624305.0,39463113.0,mne11664,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. juli 2017 - 30. juni 2018 for Italian Wine Trading ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Bent Kofoed,Dzelal Kadriev,KRESTON CM,Italian Wine Trading ApS,"KRESTON CM, Statsautoriseret Revisionsinteressentskab",KÃ¸benhavn,2016-07-01,2017-06-30,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,"101, KÃ¸benhavn",2018-06-30,2017-07-01,false,2018-11-07,KÃ¸benhavn,DirektÃ¸r,Bestyrelsesformand,RevisionspÃ¥tegning,urn:ofk:oid:26320722,indberetninger-20180424,2.5097342,29624305.0,AWcwWdWt5OzuYdPkGXya,2018-11-20T09:01:29.798Z,2018-11-20T09:00:51.135Z,regnskab,0.0,,2018-06-30,2017-07-01,X18-DP-36-DY,2018-11-20T09:00:51.388Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29624305,2016-07-01,2017-06-30,ID_11,,http://regnskaber.virk.dk/50342692/ZG9rdW1lbnRsYWdlcjovLzAzLzEzLzA4LzBmLzVmLzAwODMtNDNlMC04OWViLWJmM2E1MjRmNjg4Mw.pdf,http://regnskaber.virk.dk/50342692/ZG9rdW1lbnRsYWdlcjovLzAzL2UxLzg4LzU5LzlkLzVmYjQtNDA5Yi05ZGI5LTgxYThiZTVlMmIxNw.xml,true,"1304, KÃ¸benhavn K",Adelgade 15,Til kapitalejerne i Italian Wine Trading ApS,,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 30. juni 2018 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. juli 2017 - 30. juni 2018.",2018-11-07,2018-11-07,2018-11-14,39463113.0,29624305.0,39463113.0,mne11664,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. juli 2017 - 30. juni 2018 for Italian Wine Trading ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Bent Kofoed,Dzelal Kadriev,KRESTON CM,Italian Wine Trading ApS,"KRESTON CM, Statsautoriseret Revisionsinteressentskab",KÃ¸benhavn,2016-07-01,2017-06-30,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,"101, KÃ¸benhavn",2018-06-30,2017-07-01,false,2018-11-07,KÃ¸benhavn,DirektÃ¸r,Bestyrelsesformand,RevisionspÃ¥tegning,urn:ofk:oid:26320722,indberetninger-20180424,2.5097342,29624305.0,AWcwWdWt5OzuYdPkGXya,2018-11-20T09:01:29.798Z,2018-11-20T09:00:51.135Z,regnskab,0.0,,2018-06-30,2017-07-01,X18-DP-36-DY,2018-11-20T09:00:51.388Z,1700.0,0.0,190532.0,122913.0,28430.0,67639.0,188832.0,39209.0,,,,,,,,,,,,,,,,,,,,,,,,,,
29624305,2016-07-01,2017-06-30,ID_13,,http://regnskaber.virk.dk/50342692/ZG9rdW1lbnRsYWdlcjovLzAzLzEzLzA4LzBmLzVmLzAwODMtNDNlMC04OWViLWJmM2E1MjRmNjg4Mw.pdf,http://regnskaber.virk.dk/50342692/ZG9rdW1lbnRsYWdlcjovLzAzL2UxLzg4LzU5LzlkLzVmYjQtNDA5Yi05ZGI5LTgxYThiZTVlMmIxNw.xml,true,"1304, KÃ¸benhavn K",Adelgade 15,Til kapitalejerne i Italian Wine Trading ApS,,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 30. juni 2018 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. juli 2017 - 30. juni 2018.",2018-11-07,2018-11-07,2018-11-14,39463113.0,29624305.0,39463113.0,mne11664,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. juli 2017 - 30. juni 2018 for Italian Wine Trading ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Bent Kofoed,Dzelal Kadriev,KRESTON CM,Italian Wine Trading ApS,"KRESTON CM, Statsautoriseret Revisionsinteressentskab",KÃ¸benhavn,2016-07-01,2017-06-30,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,"101, KÃ¸benhavn",2018-06-30,2017-07-01,false,2018-11-07,KÃ¸benhavn,DirektÃ¸r,Bestyrelsesformand,RevisionspÃ¥tegning,urn:ofk:oid:26320722,indberetninger-20180424,2.5097342,29624305.0,AWcwWdWt5OzuYdPkGXya,2018-11-20T09:01:29.798Z,2018-11-20T09:00:51.135Z,regnskab,0.0,,2018-06-30,2017-07-01,X18-DP-36-DY,2018-11-20T09:00:51.388Z,,,,,-28430.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29624305,2017-06-30,2017-06-30,ID_8,,http://regnskaber.virk.dk/50342692/ZG9rdW1lbnRsYWdlcjovLzAzLzEzLzA4LzBmLzVmLzAwODMtNDNlMC04OWViLWJmM2E1MjRmNjg4Mw.pdf,http://regnskaber.virk.dk/50342692/ZG9rdW1lbnRsYWdlcjovLzAzL2UxLzg4LzU5LzlkLzVmYjQtNDA5Yi05ZGI5LTgxYThiZTVlMmIxNw.xml,true,"1304, KÃ¸benhavn K",Adelgade 15,Til kapitalejerne i Italian Wine Trading ApS,,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 30. juni 2018 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. juli 2017 - 30. juni 2018.",2018-11-07,2018-11-07,2018-11-14,39463113.0,29624305.0,39463113.0,mne11664,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. juli 2017 - 30. juni 2018 for Italian Wine Trading ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Bent Kofoed,Dzelal Kadriev,KRESTON CM,Italian Wine Trading ApS,"KRESTON CM, Statsautoriseret Revisionsinteressentskab",KÃ¸benhavn,2016-07-01,2017-06-30,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,"101, KÃ¸benhavn",2018-06-30,2017-07-01,false,2018-11-07,KÃ¸benhavn,DirektÃ¸r,Bestyrelsesformand,RevisionspÃ¥tegning,urn:ofk:oid:26320722,indberetninger-20180424,2.5097342,29624305.0,AWcwWdWt5OzuYdPkGXya,2018-11-20T09:01:29.798Z,2018-11-20T09:00:51.135Z,regnskab,0.0,,2018-06-30,2017-07-01,X18-DP-36-DY,2018-11-20T09:00:51.388Z,,,,,,,,,4300269.0,154044.0,125000.0,4254786.0,1297.0,30183.0,1050995.0,15300.0,2850247.0,4300269.0,3249274.0,30183.0,45483.0,1043741.0,15300.0,2850247.0,925995.0,3249274.0,593898.0,1250495.0,412905.0,37664.0,1573971.0,836293.0,,
29624305,2017-07-01,2018-06-30,ID_0,,http://regnskaber.virk.dk/50342692/ZG9rdW1lbnRsYWdlcjovLzAzLzEzLzA4LzBmLzVmLzAwODMtNDNlMC04OWViLWJmM2E1MjRmNjg4Mw.pdf,http://regnskaber.virk.dk/50342692/ZG9rdW1lbnRsYWdlcjovLzAzL2UxLzg4LzU5LzlkLzVmYjQtNDA5Yi05ZGI5LTgxYThiZTVlMmIxNw.xml,true,"1304, KÃ¸benhavn K",Adelgade 15,Til kapitalejerne i Italian Wine Trading ApS,,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 30. juni 2018 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. juli 2017 - 30. juni 2018.",2018-11-07,2018-11-07,2018-11-14,39463113.0,29624305.0,39463113.0,mne11664,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. juli 2017 - 30. juni 2018 for Italian Wine Trading ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Bent Kofoed,Dzelal Kadriev,KRESTON CM,Italian Wine Trading ApS,"KRESTON CM, Statsautoriseret Revisionsinteressentskab",KÃ¸benhavn,2016-07-01,2017-06-30,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,"101, KÃ¸benhavn",2018-06-30,2017-07-01,false,2018-11-07,KÃ¸benhavn,DirektÃ¸r,Bestyrelsesformand,RevisionspÃ¥tegning,urn:ofk:oid:26320722,indberetninger-20180424,2.5097342,29624305.0,AWcwWdWt5OzuYdPkGXya,2018-11-20T09:01:29.798Z,2018-11-20T09:00:51.135Z,regnskab,0.0,,2018-06-30,2017-07-01,X18-DP-36-DY,2018-11-20T09:00:51.388Z,3400.0,112659.0,522257.0,68950.0,264313.0,349151.0,406198.0,84838.0,,,,,,,,,,,,,,,,,,,,,,,,,,
29624305,2017-07-01,2018-06-30,ID_1,,http://regnskaber.virk.dk/50342692/ZG9rdW1lbnRsYWdlcjovLzAzLzEzLzA4LzBmLzVmLzAwODMtNDNlMC04OWViLWJmM2E1MjRmNjg4Mw.pdf,http://regnskaber.virk.dk/50342692/ZG9rdW1lbnRsYWdlcjovLzAzL2UxLzg4LzU5LzlkLzVmYjQtNDA5Yi05ZGI5LTgxYThiZTVlMmIxNw.xml,true,"1304, KÃ¸benhavn K",Adelgade 15,Til kapitalejerne i Italian Wine Trading ApS,,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 30. juni 2018 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. juli 2017 - 30. juni 2018.",2018-11-07,2018-11-07,2018-11-14,39463113.0,29624305.0,39463113.0,mne11664,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. juli 2017 - 30. juni 2018 for Italian Wine Trading ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Bent Kofoed,Dzelal Kadriev,KRESTON CM,Italian Wine Trading ApS,"KRESTON CM, Statsautoriseret Revisionsinteressentskab",KÃ¸benhavn,2016-07-01,2017-06-30,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,"101, KÃ¸benhavn",2018-06-30,2017-07-01,false,2018-11-07,KÃ¸benhavn,DirektÃ¸r,Bestyrelsesformand,RevisionspÃ¥tegning,urn:ofk:oid:26320722,indberetninger-20180424,2.5097342,29624305.0,AWcwWdWt5OzuYdPkGXya,2018-11-20T09:01:29.798Z,2018-11-20T09:00:51.135Z,regnskab,0.0,,2018-06-30,2017-07-01,X18-DP-36-DY,2018-11-20T09:00:51.388Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29624305,2017-07-01,2018-06-30,ID_12,,http://regnskaber.virk.dk/50342692/ZG9rdW1lbnRsYWdlcjovLzAzLzEzLzA4LzBmLzVmLzAwODMtNDNlMC04OWViLWJmM2E1MjRmNjg4Mw.pdf,http://regnskaber.virk.dk/50342692/ZG9rdW1lbnRsYWdlcjovLzAzL2UxLzg4LzU5LzlkLzVmYjQtNDA5Yi05ZGI5LTgxYThiZTVlMmIxNw.xml,true,"1304, KÃ¸benhavn K",Adelgade 15,Til kapitalejerne i Italian Wine Trading ApS,,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 30. juni 2018 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. juli 2017 - 30. juni 2018.",2018-11-07,2018-11-07,2018-11-14,39463113.0,29624305.0,39463113.0,mne11664,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. juli 2017 - 30. juni 2018 for Italian Wine Trading ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Bent Kofoed,Dzelal Kadriev,KRESTON CM,Italian Wine Trading ApS,"KRESTON CM, Statsautoriseret Revisionsinteressentskab",KÃ¸benhavn,2016-07-01,2017-06-30,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,"101, KÃ¸benhavn",2018-06-30,2017-07-01,false,2018-11-07,KÃ¸benhavn,DirektÃ¸r,Bestyrelsesformand,RevisionspÃ¥tegning,urn:ofk:oid:26320722,indberetninger-20180424,2.5097342,29624305.0,AWcwWdWt5OzuYdPkGXya,2018-11-20T09:01:29.798Z,2018-11-20T09:00:51.135Z,regnskab,0.0,,2018-06-30,2017-07-01,X18-DP-36-DY,2018-11-20T09:00:51.388Z,,,,,-264313.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29624305,2017-07-01,2018-06-30,ID_2,,http://regnskaber.virk.dk/50342692/ZG9rdW1lbnRsYWdlcjovLzAzLzEzLzA4LzBmLzVmLzAwODMtNDNlMC04OWViLWJmM2E1MjRmNjg4Mw.pdf,http://regnskaber.virk.dk/50342692/ZG9rdW1lbnRsYWdlcjovLzAzL2UxLzg4LzU5LzlkLzVmYjQtNDA5Yi05ZGI5LTgxYThiZTVlMmIxNw.xml,true,"1304, KÃ¸benhavn K",Adelgade 15,Til kapitalejerne i Italian Wine Trading ApS,,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 30. juni 2018 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. juli 2017 - 30. juni 2018.",2018-11-07,2018-11-07,2018-11-14,39463113.0,29624305.0,39463113.0,mne11664,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. juli 2017 - 30. juni 2018 for Italian Wine Trading ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Bent Kofoed,Dzelal Kadriev,KRESTON CM,Italian Wine Trading ApS,"KRESTON CM, Statsautoriseret Revisionsinteressentskab",KÃ¸benhavn,2016-07-01,2017-06-30,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,"101, KÃ¸benhavn",2018-06-30,2017-07-01,false,2018-11-07,KÃ¸benhavn,DirektÃ¸r,Bestyrelsesformand,RevisionspÃ¥tegning,urn:ofk:oid:26320722,indberetninger-20180424,2.5097342,29624305.0,AWcwWdWt5OzuYdPkGXya,2018-11-20T09:01:29.798Z,2018-11-20T09:00:51.135Z,regnskab,0.0,,2018-06-30,2017-07-01,X18-DP-36-DY,2018-11-20T09:00:51.388Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29624305,2017-07-01,2018-06-30,ID_3,,http://regnskaber.virk.dk/50342692/ZG9rdW1lbnRsYWdlcjovLzAzLzEzLzA4LzBmLzVmLzAwODMtNDNlMC04OWViLWJmM2E1MjRmNjg4Mw.pdf,http://regnskaber.virk.dk/50342692/ZG9rdW1lbnRsYWdlcjovLzAzL2UxLzg4LzU5LzlkLzVmYjQtNDA5Yi05ZGI5LTgxYThiZTVlMmIxNw.xml,true,"1304, KÃ¸benhavn K",Adelgade 15,Til kapitalejerne i Italian Wine Trading ApS,,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 30. juni 2018 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. juli 2017 - 30. juni 2018.",2018-11-07,2018-11-07,2018-11-14,39463113.0,29624305.0,39463113.0,mne11664,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. juli 2017 - 30. juni 2018 for Italian Wine Trading ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Bent Kofoed,Dzelal Kadriev,KRESTON CM,Italian Wine Trading ApS,"KRESTON CM, Statsautoriseret Revisionsinteressentskab",KÃ¸benhavn,2016-07-01,2017-06-30,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,"101, KÃ¸benhavn",2018-06-30,2017-07-01,false,2018-11-07,KÃ¸benhavn,DirektÃ¸r,Bestyrelsesformand,RevisionspÃ¥tegning,urn:ofk:oid:26320722,indberetninger-20180424,2.5097342,29624305.0,AWcwWdWt5OzuYdPkGXya,2018-11-20T09:01:29.798Z,2018-11-20T09:00:51.135Z,regnskab,0.0,,2018-06-30,2017-07-01,X18-DP-36-DY,2018-11-20T09:00:51.388Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dzelal Kadriev,
29624305,2017-07-01,2018-06-30,ID_4,,http://regnskaber.virk.dk/50342692/ZG9rdW1lbnRsYWdlcjovLzAzLzEzLzA4LzBmLzVmLzAwODMtNDNlMC04OWViLWJmM2E1MjRmNjg4Mw.pdf,http://regnskaber.virk.dk/50342692/ZG9rdW1lbnRsYWdlcjovLzAzL2UxLzg4LzU5LzlkLzVmYjQtNDA5Yi05ZGI5LTgxYThiZTVlMmIxNw.xml,true,"1304, KÃ¸benhavn K",Adelgade 15,Til kapitalejerne i Italian Wine Trading ApS,,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 30. juni 2018 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. juli 2017 - 30. juni 2018.",2018-11-07,2018-11-07,2018-11-14,39463113.0,29624305.0,39463113.0,mne11664,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. juli 2017 - 30. juni 2018 for Italian Wine Trading ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Bent Kofoed,Dzelal Kadriev,KRESTON CM,Italian Wine Trading ApS,"KRESTON CM, Statsautoriseret Revisionsinteressentskab",KÃ¸benhavn,2016-07-01,2017-06-30,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,"101, KÃ¸benhavn",2018-06-30,2017-07-01,false,2018-11-07,KÃ¸benhavn,DirektÃ¸r,Bestyrelsesformand,RevisionspÃ¥tegning,urn:ofk:oid:26320722,indberetninger-20180424,2.5097342,29624305.0,AWcwWdWt5OzuYdPkGXya,2018-11-20T09:01:29.798Z,2018-11-20T09:00:51.135Z,regnskab,0.0,,2018-06-30,2017-07-01,X18-DP-36-DY,2018-11-20T09:00:51.388Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
