entity,start_date,end_date,context,AARSRAPPORT_html,AARSRAPPORT_pdf,AARSRAPPORT_xml,AccountingPoliciesAreUnchangedFromPreviousPeriod,AddressOfReportingEntityDistrictName,AddressOfReportingEntityPostCodeIdentifier,AddressOfReportingEntityStreetBuildingIdentifier,AddressOfReportingEntityStreetName,AddressOfSubmittingEnterprisePostcodeAndTown,AddressOfSubmittingEnterpriseStreetAndNumber,ClassOfReportingEntity,DateOfApprovalOfAnnualReport,DateOfGeneralMeeting,DisclosureOfContingentLiabilities,EmployeeBenefitsExpense,ExternalExpenses,GrossResult,IdentificationNumberCvrOfReportingEntity,ImpairmentOfFinancialAssets,IncomeFromOtherLongtermInvestmentsAndReceivables,InformationOnReportingClassOfEntity,InformationOnTypeOfSubmittedReport,NameAndSurnameOfChairmanOfGeneralMeeting,NameAndSurnameOfMemberOfExecutiveBoard,NameOfReportingEntity,NameOfSubmittingEnterprise,OtherFinanceExpenses,OtherFinanceIncome,PlaceOfSignatureOfStatement,PrecedingReportingPeriodStartDate,PredingReportingPeriodEndDate,ProfitLoss,ProfitLossFromOrdinaryActivitiesBeforeTax,ProfitLossFromOrdinaryOperatingActivities,ReportingPeriodEndDate,ReportingPeriodStartDate,Revenue,SelectedElementsFromReportingClassC,SelectedElementsFromReportingClassD,TaxExpense,TheCompanyHasPresentedTheAnnualReportEtcWithReferenceToTheDanishFinancialStatementsAct78aConcerningTheExceptionForReportingClassCMediumsizeSubsidiariesWhichChoosesToPresentTheAnnualReportEtcAccordingToReportingClassB,TheReportingEntityAppliesTheExceptionConcerningOptingOutOfTheStatementByManagementEtc,TypeOfAuditorAssistance,_id,_index,_score,cvrNummer,indlaesningsId,indlaesningsTidspunkt,offentliggoerelsesTidspunkt,offentliggoerelsestype,omgoerelse,regNummer,regnskabsperiode_slutDato,regnskabsperiode_startDato,sagsNummer,sidstOpdateret,Assets,CashAndCashEquivalents,ContributedCapital,CurrentAssets,Equity,LandAndBuildings,LiabilitiesAndEquity,LiabilitiesOtherThanProvisions,LongtermInvestmentsAndReceivables,LongtermInvestmentsInGroupEnterprises,NoncurrentAssets,OtherLongtermInvestments,OtherShorttermPayables,PropertyPlantAndEquipment,ProposedDividendRecognisedInEquity,RetainedEarnings,RevaluationReserve,ShorttermLiabilitiesOtherThanProvisions,ShorttermPayablesToGroupEnterprises,ShorttermReceivables,ShorttermTaxPayables,ShorttermTaxReceivables,DividendPaid
19407942,2015-07-01,2016-06-30,c2,http://regnskaber.virk.dk/24970491/ZG9rdW1lbnRsYWdlcjovLzAzLzI0LzBiL2I5Lzc2LzUyZmEtNDE1Ni1iMGUwLTQzNThkZTUzYzUzMQ.xhtml,http://regnskaber.virk.dk/24970491/ZG9rdW1lbnRsYWdlcjovLzAzLzA4LzE5L2U2LzM0L2M2NTQtNDJmNC1iYmY2LWE5NTBlNWEyY2M5OQ.pdf,http://regnskaber.virk.dk/24970491/ZG9rdW1lbnRsYWdlcjovLzAzLzE1LzcwL2UxLzA4LzgyMjEtNDA3Zi04Y2QwLWUzMjY5NjY5YmY2OQ.xml,true,Virum,2830.0,8.0,Johan Jepsens Vej,2830 Virum,Johan Jepsensvej 8,Regnskabsklasse B,2017-12-15,2017-12-15,"<p xmlns=""http://www.w3.org/1999/xhtml"">Der foreligger ikke sÃ¥danne forpligtelser pÃ¥ selskabet pr. 30. juni 2017</p>",240384.0,69420.0,82670.0,19407942.0,14616.0,-3726.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Peter Carlslund,Peter Carlslund,PC SQL ApS,Peter Carlslund,-6.0,162858.0,Virum,2015-07-01,2016-06-30,561.0,1424.0,-157714.0,2017-06-30,2016-07-01,152090.0,false,false,863.0,false,false,Ingen bistand,urn:ofk:oid:24847869,indberetninger-20180424,2.5954017999999994,19407942.0,,2018-03-28T04:11:43.550Z,2017-12-15T14:59:55.459Z,regnskab,0.0,,2017-06-30,2016-07-01,X17-BK-99-WY,2017-12-15T14:59:55.644Z,,,,,,,,,,,,,,,,,,,,,,,
19407942,2015-07-01,2016-06-30,c4,http://regnskaber.virk.dk/24970491/ZG9rdW1lbnRsYWdlcjovLzAzLzI0LzBiL2I5Lzc2LzUyZmEtNDE1Ni1iMGUwLTQzNThkZTUzYzUzMQ.xhtml,http://regnskaber.virk.dk/24970491/ZG9rdW1lbnRsYWdlcjovLzAzLzA4LzE5L2U2LzM0L2M2NTQtNDJmNC1iYmY2LWE5NTBlNWEyY2M5OQ.pdf,http://regnskaber.virk.dk/24970491/ZG9rdW1lbnRsYWdlcjovLzAzLzE1LzcwL2UxLzA4LzgyMjEtNDA3Zi04Y2QwLWUzMjY5NjY5YmY2OQ.xml,true,Virum,2830.0,8.0,Johan Jepsens Vej,2830 Virum,Johan Jepsensvej 8,Regnskabsklasse B,2017-12-15,2017-12-15,"<p xmlns=""http://www.w3.org/1999/xhtml"">Der foreligger ikke sÃ¥danne forpligtelser pÃ¥ selskabet pr. 30. juni 2017</p>",,,,19407942.0,14616.0,,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Peter Carlslund,Peter Carlslund,PC SQL ApS,Peter Carlslund,,,Virum,2015-07-01,2016-06-30,0.0,,,2017-06-30,2016-07-01,,false,false,,false,false,Ingen bistand,urn:ofk:oid:24847869,indberetninger-20180424,2.5954017999999994,19407942.0,,2018-03-28T04:11:43.550Z,2017-12-15T14:59:55.459Z,regnskab,0.0,,2017-06-30,2016-07-01,X17-BK-99-WY,2017-12-15T14:59:55.644Z,,,,,,,,,,,,,,,,,,,,,,,
19407942,2015-07-01,2016-06-30,c6,http://regnskaber.virk.dk/24970491/ZG9rdW1lbnRsYWdlcjovLzAzLzI0LzBiL2I5Lzc2LzUyZmEtNDE1Ni1iMGUwLTQzNThkZTUzYzUzMQ.xhtml,http://regnskaber.virk.dk/24970491/ZG9rdW1lbnRsYWdlcjovLzAzLzA4LzE5L2U2LzM0L2M2NTQtNDJmNC1iYmY2LWE5NTBlNWEyY2M5OQ.pdf,http://regnskaber.virk.dk/24970491/ZG9rdW1lbnRsYWdlcjovLzAzLzE1LzcwL2UxLzA4LzgyMjEtNDA3Zi04Y2QwLWUzMjY5NjY5YmY2OQ.xml,true,Virum,2830.0,8.0,Johan Jepsens Vej,2830 Virum,Johan Jepsensvej 8,Regnskabsklasse B,2017-12-15,2017-12-15,"<p xmlns=""http://www.w3.org/1999/xhtml"">Der foreligger ikke sÃ¥danne forpligtelser pÃ¥ selskabet pr. 30. juni 2017</p>",,,,19407942.0,14616.0,,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Peter Carlslund,Peter Carlslund,PC SQL ApS,Peter Carlslund,,,Virum,2015-07-01,2016-06-30,69947.0,,,2017-06-30,2016-07-01,,false,false,,false,false,Ingen bistand,urn:ofk:oid:24847869,indberetninger-20180424,2.5954017999999994,19407942.0,,2018-03-28T04:11:43.550Z,2017-12-15T14:59:55.459Z,regnskab,0.0,,2017-06-30,2016-07-01,X17-BK-99-WY,2017-12-15T14:59:55.644Z,,,,,,,,,,,,,,,,,,,,,,,
19407942,2015-07-01,2016-06-30,c8,http://regnskaber.virk.dk/24970491/ZG9rdW1lbnRsYWdlcjovLzAzLzI0LzBiL2I5Lzc2LzUyZmEtNDE1Ni1iMGUwLTQzNThkZTUzYzUzMQ.xhtml,http://regnskaber.virk.dk/24970491/ZG9rdW1lbnRsYWdlcjovLzAzLzA4LzE5L2U2LzM0L2M2NTQtNDJmNC1iYmY2LWE5NTBlNWEyY2M5OQ.pdf,http://regnskaber.virk.dk/24970491/ZG9rdW1lbnRsYWdlcjovLzAzLzE1LzcwL2UxLzA4LzgyMjEtNDA3Zi04Y2QwLWUzMjY5NjY5YmY2OQ.xml,true,Virum,2830.0,8.0,Johan Jepsens Vej,2830 Virum,Johan Jepsensvej 8,Regnskabsklasse B,2017-12-15,2017-12-15,"<p xmlns=""http://www.w3.org/1999/xhtml"">Der foreligger ikke sÃ¥danne forpligtelser pÃ¥ selskabet pr. 30. juni 2017</p>",,,,19407942.0,14616.0,,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Peter Carlslund,Peter Carlslund,PC SQL ApS,Peter Carlslund,,,Virum,2015-07-01,2016-06-30,-69386.0,,,2017-06-30,2016-07-01,,false,false,,false,false,Ingen bistand,urn:ofk:oid:24847869,indberetninger-20180424,2.5954017999999994,19407942.0,,2018-03-28T04:11:43.550Z,2017-12-15T14:59:55.459Z,regnskab,0.0,,2017-06-30,2016-07-01,X17-BK-99-WY,2017-12-15T14:59:55.644Z,,,,,,,,,,,,,,,,,,,,,,,
19407942,2016-06-30,2016-06-30,c10,http://regnskaber.virk.dk/24970491/ZG9rdW1lbnRsYWdlcjovLzAzLzI0LzBiL2I5Lzc2LzUyZmEtNDE1Ni1iMGUwLTQzNThkZTUzYzUzMQ.xhtml,http://regnskaber.virk.dk/24970491/ZG9rdW1lbnRsYWdlcjovLzAzLzA4LzE5L2U2LzM0L2M2NTQtNDJmNC1iYmY2LWE5NTBlNWEyY2M5OQ.pdf,http://regnskaber.virk.dk/24970491/ZG9rdW1lbnRsYWdlcjovLzAzLzE1LzcwL2UxLzA4LzgyMjEtNDA3Zi04Y2QwLWUzMjY5NjY5YmY2OQ.xml,true,Virum,2830.0,8.0,Johan Jepsens Vej,2830 Virum,Johan Jepsensvej 8,Regnskabsklasse B,2017-12-15,2017-12-15,"<p xmlns=""http://www.w3.org/1999/xhtml"">Der foreligger ikke sÃ¥danne forpligtelser pÃ¥ selskabet pr. 30. juni 2017</p>",,,,19407942.0,14616.0,,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Peter Carlslund,Peter Carlslund,PC SQL ApS,Peter Carlslund,,,Virum,2015-07-01,2016-06-30,,,,2017-06-30,2016-07-01,,false,false,,false,false,Ingen bistand,urn:ofk:oid:24847869,indberetninger-20180424,2.5954017999999994,19407942.0,,2018-03-28T04:11:43.550Z,2017-12-15T14:59:55.459Z,regnskab,0.0,,2017-06-30,2016-07-01,X17-BK-99-WY,2017-12-15T14:59:55.644Z,9747161.0,232660.0,125000.0,389201.0,8082422.0,4077719.0,9747161.0,1664739.0,5280241.0,14995.0,9357960.0,5265246.0,1311162.0,4077719.0,0.0,3671270.0,4286152.0,1664739.0,353577.0,156541.0,0.0,156541.0,
19407942,2016-07-01,2016-07-01,c11,http://regnskaber.virk.dk/24970491/ZG9rdW1lbnRsYWdlcjovLzAzLzI0LzBiL2I5Lzc2LzUyZmEtNDE1Ni1iMGUwLTQzNThkZTUzYzUzMQ.xhtml,http://regnskaber.virk.dk/24970491/ZG9rdW1lbnRsYWdlcjovLzAzLzA4LzE5L2U2LzM0L2M2NTQtNDJmNC1iYmY2LWE5NTBlNWEyY2M5OQ.pdf,http://regnskaber.virk.dk/24970491/ZG9rdW1lbnRsYWdlcjovLzAzLzE1LzcwL2UxLzA4LzgyMjEtNDA3Zi04Y2QwLWUzMjY5NjY5YmY2OQ.xml,true,Virum,2830.0,8.0,Johan Jepsens Vej,2830 Virum,Johan Jepsensvej 8,Regnskabsklasse B,2017-12-15,2017-12-15,"<p xmlns=""http://www.w3.org/1999/xhtml"">Der foreligger ikke sÃ¥danne forpligtelser pÃ¥ selskabet pr. 30. juni 2017</p>",,,,19407942.0,14616.0,,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Peter Carlslund,Peter Carlslund,PC SQL ApS,Peter Carlslund,,,Virum,2015-07-01,2016-06-30,,,,2017-06-30,2016-07-01,,false,false,,false,false,Ingen bistand,urn:ofk:oid:24847869,indberetninger-20180424,2.5954017999999994,19407942.0,,2018-03-28T04:11:43.550Z,2017-12-15T14:59:55.459Z,regnskab,0.0,,2017-06-30,2016-07-01,X17-BK-99-WY,2017-12-15T14:59:55.644Z,,,,,125000.0,,,,,,,,,,,,,,,,,,
19407942,2016-07-01,2016-07-01,c12,http://regnskaber.virk.dk/24970491/ZG9rdW1lbnRsYWdlcjovLzAzLzI0LzBiL2I5Lzc2LzUyZmEtNDE1Ni1iMGUwLTQzNThkZTUzYzUzMQ.xhtml,http://regnskaber.virk.dk/24970491/ZG9rdW1lbnRsYWdlcjovLzAzLzA4LzE5L2U2LzM0L2M2NTQtNDJmNC1iYmY2LWE5NTBlNWEyY2M5OQ.pdf,http://regnskaber.virk.dk/24970491/ZG9rdW1lbnRsYWdlcjovLzAzLzE1LzcwL2UxLzA4LzgyMjEtNDA3Zi04Y2QwLWUzMjY5NjY5YmY2OQ.xml,true,Virum,2830.0,8.0,Johan Jepsens Vej,2830 Virum,Johan Jepsensvej 8,Regnskabsklasse B,2017-12-15,2017-12-15,"<p xmlns=""http://www.w3.org/1999/xhtml"">Der foreligger ikke sÃ¥danne forpligtelser pÃ¥ selskabet pr. 30. juni 2017</p>",,,,19407942.0,14616.0,,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Peter Carlslund,Peter Carlslund,PC SQL ApS,Peter Carlslund,,,Virum,2015-07-01,2016-06-30,,,,2017-06-30,2016-07-01,,false,false,,false,false,Ingen bistand,urn:ofk:oid:24847869,indberetninger-20180424,2.5954017999999994,19407942.0,,2018-03-28T04:11:43.550Z,2017-12-15T14:59:55.459Z,regnskab,0.0,,2017-06-30,2016-07-01,X17-BK-99-WY,2017-12-15T14:59:55.644Z,,,,,4286152.0,,,,,,,,,,,,,,,,,,
19407942,2016-07-01,2016-07-01,c13,http://regnskaber.virk.dk/24970491/ZG9rdW1lbnRsYWdlcjovLzAzLzI0LzBiL2I5Lzc2LzUyZmEtNDE1Ni1iMGUwLTQzNThkZTUzYzUzMQ.xhtml,http://regnskaber.virk.dk/24970491/ZG9rdW1lbnRsYWdlcjovLzAzLzA4LzE5L2U2LzM0L2M2NTQtNDJmNC1iYmY2LWE5NTBlNWEyY2M5OQ.pdf,http://regnskaber.virk.dk/24970491/ZG9rdW1lbnRsYWdlcjovLzAzLzE1LzcwL2UxLzA4LzgyMjEtNDA3Zi04Y2QwLWUzMjY5NjY5YmY2OQ.xml,true,Virum,2830.0,8.0,Johan Jepsens Vej,2830 Virum,Johan Jepsensvej 8,Regnskabsklasse B,2017-12-15,2017-12-15,"<p xmlns=""http://www.w3.org/1999/xhtml"">Der foreligger ikke sÃ¥danne forpligtelser pÃ¥ selskabet pr. 30. juni 2017</p>",,,,19407942.0,14616.0,,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Peter Carlslund,Peter Carlslund,PC SQL ApS,Peter Carlslund,,,Virum,2015-07-01,2016-06-30,,,,2017-06-30,2016-07-01,,false,false,,false,false,Ingen bistand,urn:ofk:oid:24847869,indberetninger-20180424,2.5954017999999994,19407942.0,,2018-03-28T04:11:43.550Z,2017-12-15T14:59:55.459Z,regnskab,0.0,,2017-06-30,2016-07-01,X17-BK-99-WY,2017-12-15T14:59:55.644Z,,,,,3671270.0,,,,,,,,,,,,,,,,,,
19407942,2016-07-01,2016-07-01,c14,http://regnskaber.virk.dk/24970491/ZG9rdW1lbnRsYWdlcjovLzAzLzI0LzBiL2I5Lzc2LzUyZmEtNDE1Ni1iMGUwLTQzNThkZTUzYzUzMQ.xhtml,http://regnskaber.virk.dk/24970491/ZG9rdW1lbnRsYWdlcjovLzAzLzA4LzE5L2U2LzM0L2M2NTQtNDJmNC1iYmY2LWE5NTBlNWEyY2M5OQ.pdf,http://regnskaber.virk.dk/24970491/ZG9rdW1lbnRsYWdlcjovLzAzLzE1LzcwL2UxLzA4LzgyMjEtNDA3Zi04Y2QwLWUzMjY5NjY5YmY2OQ.xml,true,Virum,2830.0,8.0,Johan Jepsens Vej,2830 Virum,Johan Jepsensvej 8,Regnskabsklasse B,2017-12-15,2017-12-15,"<p xmlns=""http://www.w3.org/1999/xhtml"">Der foreligger ikke sÃ¥danne forpligtelser pÃ¥ selskabet pr. 30. juni 2017</p>",,,,19407942.0,14616.0,,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Peter Carlslund,Peter Carlslund,PC SQL ApS,Peter Carlslund,,,Virum,2015-07-01,2016-06-30,,,,2017-06-30,2016-07-01,,false,false,,false,false,Ingen bistand,urn:ofk:oid:24847869,indberetninger-20180424,2.5954017999999994,19407942.0,,2018-03-28T04:11:43.550Z,2017-12-15T14:59:55.459Z,regnskab,0.0,,2017-06-30,2016-07-01,X17-BK-99-WY,2017-12-15T14:59:55.644Z,,,,,0.0,,,,,,,,,,,,,,,,,,
19407942,2016-07-01,2016-07-01,c15,http://regnskaber.virk.dk/24970491/ZG9rdW1lbnRsYWdlcjovLzAzLzI0LzBiL2I5Lzc2LzUyZmEtNDE1Ni1iMGUwLTQzNThkZTUzYzUzMQ.xhtml,http://regnskaber.virk.dk/24970491/ZG9rdW1lbnRsYWdlcjovLzAzLzA4LzE5L2U2LzM0L2M2NTQtNDJmNC1iYmY2LWE5NTBlNWEyY2M5OQ.pdf,http://regnskaber.virk.dk/24970491/ZG9rdW1lbnRsYWdlcjovLzAzLzE1LzcwL2UxLzA4LzgyMjEtNDA3Zi04Y2QwLWUzMjY5NjY5YmY2OQ.xml,true,Virum,2830.0,8.0,Johan Jepsens Vej,2830 Virum,Johan Jepsensvej 8,Regnskabsklasse B,2017-12-15,2017-12-15,"<p xmlns=""http://www.w3.org/1999/xhtml"">Der foreligger ikke sÃ¥danne forpligtelser pÃ¥ selskabet pr. 30. juni 2017</p>",,,,19407942.0,14616.0,,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Peter Carlslund,Peter Carlslund,PC SQL ApS,Peter Carlslund,,,Virum,2015-07-01,2016-06-30,,,,2017-06-30,2016-07-01,,false,false,,false,false,Ingen bistand,urn:ofk:oid:24847869,indberetninger-20180424,2.5954017999999994,19407942.0,,2018-03-28T04:11:43.550Z,2017-12-15T14:59:55.459Z,regnskab,0.0,,2017-06-30,2016-07-01,X17-BK-99-WY,2017-12-15T14:59:55.644Z,,,,,8082422.0,,,,,,,,,,,,,,,,,,
