entity,start_date,end_date,context,AARSRAPPORT_html,AARSRAPPORT_pdf,AARSRAPPORT_xml,AccountingPoliciesAreUnchangedFromPreviousPeriod,AddressOfSubmittingEnterprisePostcodeAndTown,AddressOfSubmittingEnterpriseStreetAndNumber,AddresseeOfAuditorsReportOnExtendedReviewOfFinancialStatements,ClassOfReportingEntity,ConfirmationThatAnnualReportIsPresentedInAccordanceWithRequirementsProvidedForByLegislationAnyStandardsAndRequirementsProvidedByArticlesOfAssociationOrByAgreement,ConfirmationThatFinancialStatementGivesTrueAndFairViewOfAssetsLiabilitiesEquityFinancialPositionAndResults,DateOfApprovalOfAnnualReport,DateOfApprovalOfReport,DateOfFoundationOfReportingEntity,DateOfGeneralMeeting,IdentificationNumberCvrOfAuditFirm,IdentificationNumberCvrOfReportingEntity,IdentificationNumberCvrOfSubmittingEnterprise,IdentificationNumberOfAuditor,IdentificationOfApprovedAnnualReport,InformationOnTypeOfSubmittedReport,ManagementsStatementAboutManagementsReview,NameAndSurnameOfAuditor,NameAndSurnameOfChairmanOfGeneralMeeting,NameOfAuditFirm,NameOfReportingEntity,NameOfSubmittingEnterprise,PlaceOfSignatureOfStatement,PrecedingReportingPeriodStartDate,PredingReportingPeriodEndDate,ProfitLoss,RecommendationForApprovalOfAnnualReportByGeneralMeeting,RegisteredOfficeOfReportingEntity,ReportingPeriodEndDate,ReportingPeriodStartDate,SelectedElementsFromReportingClassC,SignatureOfAuditorsDate,SignatureOfAuditorsPlace,TypeOfAuditorAssistance,_id,_index,_score,cvrNummer,indlaesningsId,indlaesningsTidspunkt,offentliggoerelsesTidspunkt,offentliggoerelsestype,omgoerelse,regNummer,regnskabsperiode_slutDato,regnskabsperiode_startDato,sagsNummer,sidstOpdateret,GainsLossesFromCurrentValueAdjustmentsOfInvestmentAssets,GrossProfitLoss,OtherFinanceExpenses,ProfitLossFromOrdinaryActivitiesBeforeTax,ProfitLossFromOrdinaryOperatingActivities,TaxExpenseOnOrdinaryActivities,Assets,CashAndCashEquivalents,ContributedCapital,CurrentAssets,DeferredIncomeAssets,DepositsLongtermLiabilitiesOtherThanProvisions,Equity,InvestmentProperty,LiabilitiesAndEquity,LiabilitiesOtherThanProvisions,LongtermLiabilitiesOtherThanProvisions,LongtermMortgageDebt,NoncurrentAssets,OtherShorttermPayables,OtherShorttermReceivables,PropertyPlantAndEquipment,Provisions,ProvisionsForDeferredTax,RetainedEarnings,ShorttermDebtToBanks,ShorttermLiabilitiesOtherThanProvisions,ShorttermPartOfLongtermLiabilitiesOtherThanProvisions,ShorttermPayablesToGroupEnterprises,ShorttermPrepaymentsReceivedFromCustomers,ShorttermReceivables,ShorttermReceivablesFromGroupEnterprises,ShorttermTaxPayables,ShorttermTradeReceivables,NameAndSurnameOfMemberOfExecutiveBoard
25934962,2015-10-01,2016-09-30,ID_11,,http://regnskaber.virk.dk/26943952/ZG9rdW1lbnRsYWdlcjovLzAzLzk3L2QxL2ZiL2UxL2RmOGMtNGJmZC04Y2Y4LTEwNTkwNjkwNjZjMg.pdf,http://regnskaber.virk.dk/26943952/ZG9rdW1lbnRsYWdlcjovLzAzLzM5LzA5L2IxLzRmL2ZiZTEtNDMwZi05YmVkLTgwNjZjOThmZmQwNQ.xml,true,"4700, NÃ¦stved",Farvergade 9 B,Til kapitalejerne i CDK Ejendomme ApS,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 30. september 2017 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. oktober 2016 - 30. september 2017.",2017-12-21,2017-12-21,2001-03-06,2018-01-12,20658231.0,25934962.0,20658231.0,mne11683,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. oktober 2016 - 30. september 2017 for CDK Ejendomme ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Lars Engelsted  Petersen,Jan Konieczny,ENGELSTED PETERSEN,CDK Ejendomme ApS,"ENGELSTED PETERSEN , statsaut. revisionsanpartsselskab",KÃ¸benhavn,2015-10-01,2016-09-30,-917553.0,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,"KÃ¸benhavn, 101",2017-09-30,2016-10-01,true,2017-12-21,NÃ¦stved,ErklÃ¦ring om udvidet gennemgang,urn:ofk:oid:24959482,indberetninger-20180424,2.5122678,25934962.0,,2018-04-03T15:39:44.946Z,2018-01-17T14:30:45.266Z,regnskab,0.0,,2017-09-30,2016-10-01,X18-AB-26-JE,2018-01-17T14:30:45.414Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25934962,2015-10-01,2016-09-30,ID_9,,http://regnskaber.virk.dk/26943952/ZG9rdW1lbnRsYWdlcjovLzAzLzk3L2QxL2ZiL2UxL2RmOGMtNGJmZC04Y2Y4LTEwNTkwNjkwNjZjMg.pdf,http://regnskaber.virk.dk/26943952/ZG9rdW1lbnRsYWdlcjovLzAzLzM5LzA5L2IxLzRmL2ZiZTEtNDMwZi05YmVkLTgwNjZjOThmZmQwNQ.xml,true,"4700, NÃ¦stved",Farvergade 9 B,Til kapitalejerne i CDK Ejendomme ApS,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 30. september 2017 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. oktober 2016 - 30. september 2017.",2017-12-21,2017-12-21,2001-03-06,2018-01-12,20658231.0,25934962.0,20658231.0,mne11683,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. oktober 2016 - 30. september 2017 for CDK Ejendomme ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Lars Engelsted  Petersen,Jan Konieczny,ENGELSTED PETERSEN,CDK Ejendomme ApS,"ENGELSTED PETERSEN , statsaut. revisionsanpartsselskab",KÃ¸benhavn,2015-10-01,2016-09-30,917553.0,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,"KÃ¸benhavn, 101",2017-09-30,2016-10-01,true,2017-12-21,NÃ¦stved,ErklÃ¦ring om udvidet gennemgang,urn:ofk:oid:24959482,indberetninger-20180424,2.5122678,25934962.0,,2018-04-03T15:39:44.946Z,2018-01-17T14:30:45.266Z,regnskab,0.0,,2017-09-30,2016-10-01,X18-AB-26-JE,2018-01-17T14:30:45.414Z,357161.0,1722710.0,729221.0,1350650.0,2079871.0,433097.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25934962,2016-09-30,2016-09-30,ID_7,,http://regnskaber.virk.dk/26943952/ZG9rdW1lbnRsYWdlcjovLzAzLzk3L2QxL2ZiL2UxL2RmOGMtNGJmZC04Y2Y4LTEwNTkwNjkwNjZjMg.pdf,http://regnskaber.virk.dk/26943952/ZG9rdW1lbnRsYWdlcjovLzAzLzM5LzA5L2IxLzRmL2ZiZTEtNDMwZi05YmVkLTgwNjZjOThmZmQwNQ.xml,true,"4700, NÃ¦stved",Farvergade 9 B,Til kapitalejerne i CDK Ejendomme ApS,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 30. september 2017 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. oktober 2016 - 30. september 2017.",2017-12-21,2017-12-21,2001-03-06,2018-01-12,20658231.0,25934962.0,20658231.0,mne11683,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. oktober 2016 - 30. september 2017 for CDK Ejendomme ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Lars Engelsted  Petersen,Jan Konieczny,ENGELSTED PETERSEN,CDK Ejendomme ApS,"ENGELSTED PETERSEN , statsaut. revisionsanpartsselskab",KÃ¸benhavn,2015-10-01,2016-09-30,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,"KÃ¸benhavn, 101",2017-09-30,2016-10-01,true,2017-12-21,NÃ¦stved,ErklÃ¦ring om udvidet gennemgang,urn:ofk:oid:24959482,indberetninger-20180424,2.5122678,25934962.0,,2018-04-03T15:39:44.946Z,2018-01-17T14:30:45.266Z,regnskab,0.0,,2017-09-30,2016-10-01,X18-AB-26-JE,2018-01-17T14:30:45.414Z,,,,,,,37699281.0,230504.0,125000.0,949281.0,66725.0,309983.0,8315309.0,36750000.0,37699281.0,26350542.0,21999448.0,21689465.0,36750000.0,626761.0,479506.0,36750000.0,3033430.0,3033430.0,8190309.0,1652550.0,4351094.0,1377739.0,0.0,483020.0,718777.0,18750.0,211024.0,153796.0,
25934962,2016-10-01,2017-09-30,ID_0,,http://regnskaber.virk.dk/26943952/ZG9rdW1lbnRsYWdlcjovLzAzLzk3L2QxL2ZiL2UxL2RmOGMtNGJmZC04Y2Y4LTEwNTkwNjkwNjZjMg.pdf,http://regnskaber.virk.dk/26943952/ZG9rdW1lbnRsYWdlcjovLzAzLzM5LzA5L2IxLzRmL2ZiZTEtNDMwZi05YmVkLTgwNjZjOThmZmQwNQ.xml,true,"4700, NÃ¦stved",Farvergade 9 B,Til kapitalejerne i CDK Ejendomme ApS,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 30. september 2017 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. oktober 2016 - 30. september 2017.",2017-12-21,2017-12-21,2001-03-06,2018-01-12,20658231.0,25934962.0,20658231.0,mne11683,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. oktober 2016 - 30. september 2017 for CDK Ejendomme ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Lars Engelsted  Petersen,Jan Konieczny,ENGELSTED PETERSEN,CDK Ejendomme ApS,"ENGELSTED PETERSEN , statsaut. revisionsanpartsselskab",KÃ¸benhavn,2015-10-01,2016-09-30,2257693.0,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,"KÃ¸benhavn, 101",2017-09-30,2016-10-01,true,2017-12-21,NÃ¦stved,ErklÃ¦ring om udvidet gennemgang,urn:ofk:oid:24959482,indberetninger-20180424,2.5122678,25934962.0,,2018-04-03T15:39:44.946Z,2018-01-17T14:30:45.266Z,regnskab,0.0,,2017-09-30,2016-10-01,X18-AB-26-JE,2018-01-17T14:30:45.414Z,892996.0,2686823.0,654477.0,2925342.0,3579819.0,667649.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25934962,2016-10-01,2017-09-30,ID_1,,http://regnskaber.virk.dk/26943952/ZG9rdW1lbnRsYWdlcjovLzAzLzk3L2QxL2ZiL2UxL2RmOGMtNGJmZC04Y2Y4LTEwNTkwNjkwNjZjMg.pdf,http://regnskaber.virk.dk/26943952/ZG9rdW1lbnRsYWdlcjovLzAzLzM5LzA5L2IxLzRmL2ZiZTEtNDMwZi05YmVkLTgwNjZjOThmZmQwNQ.xml,true,"4700, NÃ¦stved",Farvergade 9 B,Til kapitalejerne i CDK Ejendomme ApS,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 30. september 2017 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. oktober 2016 - 30. september 2017.",2017-12-21,2017-12-21,2001-03-06,2018-01-12,20658231.0,25934962.0,20658231.0,mne11683,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. oktober 2016 - 30. september 2017 for CDK Ejendomme ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Lars Engelsted  Petersen,Jan Konieczny,ENGELSTED PETERSEN,CDK Ejendomme ApS,"ENGELSTED PETERSEN , statsaut. revisionsanpartsselskab",KÃ¸benhavn,2015-10-01,2016-09-30,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,"KÃ¸benhavn, 101",2017-09-30,2016-10-01,true,2017-12-21,NÃ¦stved,ErklÃ¦ring om udvidet gennemgang,urn:ofk:oid:24959482,indberetninger-20180424,2.5122678,25934962.0,,2018-04-03T15:39:44.946Z,2018-01-17T14:30:45.266Z,regnskab,0.0,,2017-09-30,2016-10-01,X18-AB-26-JE,2018-01-17T14:30:45.414Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25934962,2016-10-01,2017-09-30,ID_10,,http://regnskaber.virk.dk/26943952/ZG9rdW1lbnRsYWdlcjovLzAzLzk3L2QxL2ZiL2UxL2RmOGMtNGJmZC04Y2Y4LTEwNTkwNjkwNjZjMg.pdf,http://regnskaber.virk.dk/26943952/ZG9rdW1lbnRsYWdlcjovLzAzLzM5LzA5L2IxLzRmL2ZiZTEtNDMwZi05YmVkLTgwNjZjOThmZmQwNQ.xml,true,"4700, NÃ¦stved",Farvergade 9 B,Til kapitalejerne i CDK Ejendomme ApS,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 30. september 2017 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. oktober 2016 - 30. september 2017.",2017-12-21,2017-12-21,2001-03-06,2018-01-12,20658231.0,25934962.0,20658231.0,mne11683,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. oktober 2016 - 30. september 2017 for CDK Ejendomme ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Lars Engelsted  Petersen,Jan Konieczny,ENGELSTED PETERSEN,CDK Ejendomme ApS,"ENGELSTED PETERSEN , statsaut. revisionsanpartsselskab",KÃ¸benhavn,2015-10-01,2016-09-30,-2257693.0,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,"KÃ¸benhavn, 101",2017-09-30,2016-10-01,true,2017-12-21,NÃ¦stved,ErklÃ¦ring om udvidet gennemgang,urn:ofk:oid:24959482,indberetninger-20180424,2.5122678,25934962.0,,2018-04-03T15:39:44.946Z,2018-01-17T14:30:45.266Z,regnskab,0.0,,2017-09-30,2016-10-01,X18-AB-26-JE,2018-01-17T14:30:45.414Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25934962,2016-10-01,2017-09-30,ID_2,,http://regnskaber.virk.dk/26943952/ZG9rdW1lbnRsYWdlcjovLzAzLzk3L2QxL2ZiL2UxL2RmOGMtNGJmZC04Y2Y4LTEwNTkwNjkwNjZjMg.pdf,http://regnskaber.virk.dk/26943952/ZG9rdW1lbnRsYWdlcjovLzAzLzM5LzA5L2IxLzRmL2ZiZTEtNDMwZi05YmVkLTgwNjZjOThmZmQwNQ.xml,true,"4700, NÃ¦stved",Farvergade 9 B,Til kapitalejerne i CDK Ejendomme ApS,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 30. september 2017 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. oktober 2016 - 30. september 2017.",2017-12-21,2017-12-21,2001-03-06,2018-01-12,20658231.0,25934962.0,20658231.0,mne11683,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. oktober 2016 - 30. september 2017 for CDK Ejendomme ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Lars Engelsted  Petersen,Jan Konieczny,ENGELSTED PETERSEN,CDK Ejendomme ApS,"ENGELSTED PETERSEN , statsaut. revisionsanpartsselskab",KÃ¸benhavn,2015-10-01,2016-09-30,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,"KÃ¸benhavn, 101",2017-09-30,2016-10-01,true,2017-12-21,NÃ¦stved,ErklÃ¦ring om udvidet gennemgang,urn:ofk:oid:24959482,indberetninger-20180424,2.5122678,25934962.0,,2018-04-03T15:39:44.946Z,2018-01-17T14:30:45.266Z,regnskab,0.0,,2017-09-30,2016-10-01,X18-AB-26-JE,2018-01-17T14:30:45.414Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25934962,2016-10-01,2017-09-30,ID_3,,http://regnskaber.virk.dk/26943952/ZG9rdW1lbnRsYWdlcjovLzAzLzk3L2QxL2ZiL2UxL2RmOGMtNGJmZC04Y2Y4LTEwNTkwNjkwNjZjMg.pdf,http://regnskaber.virk.dk/26943952/ZG9rdW1lbnRsYWdlcjovLzAzLzM5LzA5L2IxLzRmL2ZiZTEtNDMwZi05YmVkLTgwNjZjOThmZmQwNQ.xml,true,"4700, NÃ¦stved",Farvergade 9 B,Til kapitalejerne i CDK Ejendomme ApS,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 30. september 2017 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. oktober 2016 - 30. september 2017.",2017-12-21,2017-12-21,2001-03-06,2018-01-12,20658231.0,25934962.0,20658231.0,mne11683,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. oktober 2016 - 30. september 2017 for CDK Ejendomme ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Lars Engelsted  Petersen,Jan Konieczny,ENGELSTED PETERSEN,CDK Ejendomme ApS,"ENGELSTED PETERSEN , statsaut. revisionsanpartsselskab",KÃ¸benhavn,2015-10-01,2016-09-30,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,"KÃ¸benhavn, 101",2017-09-30,2016-10-01,true,2017-12-21,NÃ¦stved,ErklÃ¦ring om udvidet gennemgang,urn:ofk:oid:24959482,indberetninger-20180424,2.5122678,25934962.0,,2018-04-03T15:39:44.946Z,2018-01-17T14:30:45.266Z,regnskab,0.0,,2017-09-30,2016-10-01,X18-AB-26-JE,2018-01-17T14:30:45.414Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Claus  Juel
25934962,2016-10-01,2017-09-30,ID_4,,http://regnskaber.virk.dk/26943952/ZG9rdW1lbnRsYWdlcjovLzAzLzk3L2QxL2ZiL2UxL2RmOGMtNGJmZC04Y2Y4LTEwNTkwNjkwNjZjMg.pdf,http://regnskaber.virk.dk/26943952/ZG9rdW1lbnRsYWdlcjovLzAzLzM5LzA5L2IxLzRmL2ZiZTEtNDMwZi05YmVkLTgwNjZjOThmZmQwNQ.xml,true,"4700, NÃ¦stved",Farvergade 9 B,Til kapitalejerne i CDK Ejendomme ApS,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 30. september 2017 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. oktober 2016 - 30. september 2017.",2017-12-21,2017-12-21,2001-03-06,2018-01-12,20658231.0,25934962.0,20658231.0,mne11683,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. oktober 2016 - 30. september 2017 for CDK Ejendomme ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Lars Engelsted  Petersen,Jan Konieczny,ENGELSTED PETERSEN,CDK Ejendomme ApS,"ENGELSTED PETERSEN , statsaut. revisionsanpartsselskab",KÃ¸benhavn,2015-10-01,2016-09-30,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,"KÃ¸benhavn, 101",2017-09-30,2016-10-01,true,2017-12-21,NÃ¦stved,ErklÃ¦ring om udvidet gennemgang,urn:ofk:oid:24959482,indberetninger-20180424,2.5122678,25934962.0,,2018-04-03T15:39:44.946Z,2018-01-17T14:30:45.266Z,regnskab,0.0,,2017-09-30,2016-10-01,X18-AB-26-JE,2018-01-17T14:30:45.414Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25934962,2016-10-01,2017-09-30,ID_5,,http://regnskaber.virk.dk/26943952/ZG9rdW1lbnRsYWdlcjovLzAzLzk3L2QxL2ZiL2UxL2RmOGMtNGJmZC04Y2Y4LTEwNTkwNjkwNjZjMg.pdf,http://regnskaber.virk.dk/26943952/ZG9rdW1lbnRsYWdlcjovLzAzLzM5LzA5L2IxLzRmL2ZiZTEtNDMwZi05YmVkLTgwNjZjOThmZmQwNQ.xml,true,"4700, NÃ¦stved",Farvergade 9 B,Til kapitalejerne i CDK Ejendomme ApS,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 30. september 2017 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. oktober 2016 - 30. september 2017.",2017-12-21,2017-12-21,2001-03-06,2018-01-12,20658231.0,25934962.0,20658231.0,mne11683,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. oktober 2016 - 30. september 2017 for CDK Ejendomme ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Lars Engelsted  Petersen,Jan Konieczny,ENGELSTED PETERSEN,CDK Ejendomme ApS,"ENGELSTED PETERSEN , statsaut. revisionsanpartsselskab",KÃ¸benhavn,2015-10-01,2016-09-30,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,"KÃ¸benhavn, 101",2017-09-30,2016-10-01,true,2017-12-21,NÃ¦stved,ErklÃ¦ring om udvidet gennemgang,urn:ofk:oid:24959482,indberetninger-20180424,2.5122678,25934962.0,,2018-04-03T15:39:44.946Z,2018-01-17T14:30:45.266Z,regnskab,0.0,,2017-09-30,2016-10-01,X18-AB-26-JE,2018-01-17T14:30:45.414Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Jakob Ãrnskov
