entity,start_date,end_date,context,AARSRAPPORT_html,AARSRAPPORT_pdf,AARSRAPPORT_xml,AccountingPoliciesAreUnchangedFromPreviousPeriod,AddressOfReportingEntityDistrictName,AddressOfReportingEntityPostCodeIdentifier,AddressOfReportingEntityStreetBuildingIdentifier,AddressOfReportingEntityStreetName,AddressOfSubmittingEnterprisePostcodeAndTown,AddressOfSubmittingEnterpriseStreetAndNumber,ClassOfReportingEntity,DateOfApprovalOfAnnualReport,DateOfGeneralMeeting,DepreciationAmortisationExpenseAndImpairmentLossesOfPropertyPlantAndEquipmentAndIntangibleAssetsRecognisedInProfitOrLoss,DisclosureOfContingentLiabilities,DisclosureOfEmployeeBenefitsExpense,DisclosureOfMortgagesAndCollaterals,EmployeeBenefitsExpense,GrossResult,IdentificationNumberCvrOfReportingEntity,InformationOnReportingClassOfEntity,InformationOnTypeOfSubmittedReport,NameAndSurnameOfChairmanOfGeneralMeeting,NameAndSurnameOfMemberOfExecutiveBoard,NameOfReportingEntity,NameOfSubmittingEnterprise,OtherFinanceExpenses,OtherFinanceIncome,PlaceOfSignatureOfStatement,PrecedingReportingPeriodStartDate,PredingReportingPeriodEndDate,ProfitLoss,ProfitLossFromOrdinaryOperatingActivities,ReportingPeriodEndDate,ReportingPeriodStartDate,SelectedElementsFromReportingClassC,SelectedElementsFromReportingClassD,StatementOfChangesInEquity,TheCompanyHasPresentedTheAnnualReportEtcWithReferenceToTheDanishFinancialStatementsAct78aConcerningTheExceptionForReportingClassCMediumsizeSubsidiariesWhichChoosesToPresentTheAnnualReportEtcAccordingToReportingClassB,TheReportingEntityAppliesTheExceptionConcerningOptingOutOfTheStatementByManagementEtc,TypeOfAuditorAssistance,_id,_index,_score,cvrNummer,indlaesningsId,indlaesningsTidspunkt,offentliggoerelsesTidspunkt,offentliggoerelsestype,omgoerelse,regNummer,regnskabsperiode_slutDato,regnskabsperiode_startDato,sagsNummer,sidstOpdateret,Assets,ContributedCapital,CurrentAssets,Equity,LiabilitiesAndEquity,LiabilitiesOtherThanProvisions,NoncurrentAssets,OtherShorttermReceivables,PlantAndMachinery,PropertyPlantAndEquipment,RetainedEarnings,ShorttermDebtToBanks,ShorttermLiabilitiesOtherThanProvisions,ShorttermPayablesToGroupEnterprises,ShorttermPayablesToShareholdersAndManagement,ShorttermReceivables,ShorttermTradePayables,ShorttermTradeReceivables,DividendPaid,NameAndSurnameOfMemberOfSupervisoryBoard
32297269,2016-01-01,2016-12-31,c4,http://regnskaber.virk.dk/96279223/ZG9rdW1lbnRsYWdlcjovLzAzLzQwLzljLzBmL2YyLzVjODgtNDNiNy1hMWMzLTBkZjM3OTI2MTRiNA.xhtml,http://regnskaber.virk.dk/96279223/ZG9rdW1lbnRsYWdlcjovLzAzL2Q0LzJiL2JjL2Y3LzFlNmUtNGZmZS1hYzg2LTM3YmFlMjE5MWQ2Nw.pdf,http://regnskaber.virk.dk/96279223/ZG9rdW1lbnRsYWdlcjovLzAzLzE1L2YxL2MzL2FiL2M2ODgtNDMyMS1hNzVlLTNkNjhhZjQ1MWY1OA.xml,true,Maribo,4930.0,2.0,Frihedsmindevej,3660.0,Baneringen 20,Regnskabsklasse B,2018-02-02,2018-02-02,106000.0,"<p xmlns=""http://www.w3.org/1999/xhtml"">Ingen.</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">Selskabet har i lighed med sidste Ã¥r ingen ansatte, udover selskabets direktÃ¸r.</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">Virksomheden har stillet et lÃ¸sÃ¸repant i solenergianlÃ¦g pÃ¥ 3.000.000 kr. til sikkerhed for bankgÃ¦ld (31.12.2017: 2.638.508 kr.). Den bogfÃ¸rte vÃ¦rdi af solenergianlÃ¦g udgÃ¸r 31. december 2017, 3.839.694 kr.</p>",0.0,623830.0,32297269.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Henrik Lerche,Erik Sigismund von Rosen,FJORD SOL 5,Henrik Lerche,94430.0,16149.0,Maribo,2016-01-01,2016-12-31,439549.0,517830.0,2017-12-31,2017-01-01,false,false,"<p xmlns=""http://www.w3.org/1999/xhtml"">Kommanditselskabskapitalen er udbetalt i 2016 i forbindelse med Ã¦ndring af komplementaren.</p>",false,false,Ingen bistand,urn:ofk:oid:25015183,indberetninger-20180424,2.5949414,32297269.0,,2018-04-03T18:19:03.582Z,2018-02-02T17:11:04.087Z,regnskab,0.0,,2017-12-31,2017-01-01,X18-AC-65-RN,2018-02-02T17:11:04.272Z,,,,,,,,,,,,,,,,,,,,
32297269,2016-01-01,2016-12-31,c6,http://regnskaber.virk.dk/96279223/ZG9rdW1lbnRsYWdlcjovLzAzLzQwLzljLzBmL2YyLzVjODgtNDNiNy1hMWMzLTBkZjM3OTI2MTRiNA.xhtml,http://regnskaber.virk.dk/96279223/ZG9rdW1lbnRsYWdlcjovLzAzL2Q0LzJiL2JjL2Y3LzFlNmUtNGZmZS1hYzg2LTM3YmFlMjE5MWQ2Nw.pdf,http://regnskaber.virk.dk/96279223/ZG9rdW1lbnRsYWdlcjovLzAzLzE1L2YxL2MzL2FiL2M2ODgtNDMyMS1hNzVlLTNkNjhhZjQ1MWY1OA.xml,true,Maribo,4930.0,2.0,Frihedsmindevej,3660.0,Baneringen 20,Regnskabsklasse B,2018-02-02,2018-02-02,,"<p xmlns=""http://www.w3.org/1999/xhtml"">Ingen.</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">Selskabet har i lighed med sidste Ã¥r ingen ansatte, udover selskabets direktÃ¸r.</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">Virksomheden har stillet et lÃ¸sÃ¸repant i solenergianlÃ¦g pÃ¥ 3.000.000 kr. til sikkerhed for bankgÃ¦ld (31.12.2017: 2.638.508 kr.). Den bogfÃ¸rte vÃ¦rdi af solenergianlÃ¦g udgÃ¸r 31. december 2017, 3.839.694 kr.</p>",,,32297269.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Henrik Lerche,Erik Sigismund von Rosen,FJORD SOL 5,Henrik Lerche,,,Maribo,2016-01-01,2016-12-31,439549.0,,2017-12-31,2017-01-01,false,false,"<p xmlns=""http://www.w3.org/1999/xhtml"">Kommanditselskabskapitalen er udbetalt i 2016 i forbindelse med Ã¦ndring af komplementaren.</p>",false,false,Ingen bistand,urn:ofk:oid:25015183,indberetninger-20180424,2.5949414,32297269.0,,2018-04-03T18:19:03.582Z,2018-02-02T17:11:04.087Z,regnskab,0.0,,2017-12-31,2017-01-01,X18-AC-65-RN,2018-02-02T17:11:04.272Z,,,,,,,,,,,,,,,,,,,,
32297269,2016-12-31,2016-12-31,c8,http://regnskaber.virk.dk/96279223/ZG9rdW1lbnRsYWdlcjovLzAzLzQwLzljLzBmL2YyLzVjODgtNDNiNy1hMWMzLTBkZjM3OTI2MTRiNA.xhtml,http://regnskaber.virk.dk/96279223/ZG9rdW1lbnRsYWdlcjovLzAzL2Q0LzJiL2JjL2Y3LzFlNmUtNGZmZS1hYzg2LTM3YmFlMjE5MWQ2Nw.pdf,http://regnskaber.virk.dk/96279223/ZG9rdW1lbnRsYWdlcjovLzAzLzE1L2YxL2MzL2FiL2M2ODgtNDMyMS1hNzVlLTNkNjhhZjQ1MWY1OA.xml,true,Maribo,4930.0,2.0,Frihedsmindevej,3660.0,Baneringen 20,Regnskabsklasse B,2018-02-02,2018-02-02,,"<p xmlns=""http://www.w3.org/1999/xhtml"">Ingen.</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">Selskabet har i lighed med sidste Ã¥r ingen ansatte, udover selskabets direktÃ¸r.</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">Virksomheden har stillet et lÃ¸sÃ¸repant i solenergianlÃ¦g pÃ¥ 3.000.000 kr. til sikkerhed for bankgÃ¦ld (31.12.2017: 2.638.508 kr.). Den bogfÃ¸rte vÃ¦rdi af solenergianlÃ¦g udgÃ¸r 31. december 2017, 3.839.694 kr.</p>",,,32297269.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Henrik Lerche,Erik Sigismund von Rosen,FJORD SOL 5,Henrik Lerche,,,Maribo,2016-01-01,2016-12-31,,,2017-12-31,2017-01-01,false,false,"<p xmlns=""http://www.w3.org/1999/xhtml"">Kommanditselskabskapitalen er udbetalt i 2016 i forbindelse med Ã¦ndring af komplementaren.</p>",false,false,Ingen bistand,urn:ofk:oid:25015183,indberetninger-20180424,2.5949414,32297269.0,,2018-04-03T18:19:03.582Z,2018-02-02T17:11:04.087Z,regnskab,0.0,,2017-12-31,2017-01-01,X18-AC-65-RN,2018-02-02T17:11:04.272Z,3965032.0,0.0,19338.0,828467.0,3965032.0,3136565.0,3945694.0,10838.0,3945694.0,3945694.0,828467.0,3082867.0,3136565.0,14911.0,0.0,19338.0,38787.0,8500.0,,
32297269,2017-01-01,2017-01-01,c10,http://regnskaber.virk.dk/96279223/ZG9rdW1lbnRsYWdlcjovLzAzLzQwLzljLzBmL2YyLzVjODgtNDNiNy1hMWMzLTBkZjM3OTI2MTRiNA.xhtml,http://regnskaber.virk.dk/96279223/ZG9rdW1lbnRsYWdlcjovLzAzL2Q0LzJiL2JjL2Y3LzFlNmUtNGZmZS1hYzg2LTM3YmFlMjE5MWQ2Nw.pdf,http://regnskaber.virk.dk/96279223/ZG9rdW1lbnRsYWdlcjovLzAzLzE1L2YxL2MzL2FiL2M2ODgtNDMyMS1hNzVlLTNkNjhhZjQ1MWY1OA.xml,true,Maribo,4930.0,2.0,Frihedsmindevej,3660.0,Baneringen 20,Regnskabsklasse B,2018-02-02,2018-02-02,,"<p xmlns=""http://www.w3.org/1999/xhtml"">Ingen.</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">Selskabet har i lighed med sidste Ã¥r ingen ansatte, udover selskabets direktÃ¸r.</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">Virksomheden har stillet et lÃ¸sÃ¸repant i solenergianlÃ¦g pÃ¥ 3.000.000 kr. til sikkerhed for bankgÃ¦ld (31.12.2017: 2.638.508 kr.). Den bogfÃ¸rte vÃ¦rdi af solenergianlÃ¦g udgÃ¸r 31. december 2017, 3.839.694 kr.</p>",,,32297269.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Henrik Lerche,Erik Sigismund von Rosen,FJORD SOL 5,Henrik Lerche,,,Maribo,2016-01-01,2016-12-31,,,2017-12-31,2017-01-01,false,false,"<p xmlns=""http://www.w3.org/1999/xhtml"">Kommanditselskabskapitalen er udbetalt i 2016 i forbindelse med Ã¦ndring af komplementaren.</p>",false,false,Ingen bistand,urn:ofk:oid:25015183,indberetninger-20180424,2.5949414,32297269.0,,2018-04-03T18:19:03.582Z,2018-02-02T17:11:04.087Z,regnskab,0.0,,2017-12-31,2017-01-01,X18-AC-65-RN,2018-02-02T17:11:04.272Z,,,,828467.0,,,,,,,,,,,,,,,,
32297269,2017-01-01,2017-01-01,c11,http://regnskaber.virk.dk/96279223/ZG9rdW1lbnRsYWdlcjovLzAzLzQwLzljLzBmL2YyLzVjODgtNDNiNy1hMWMzLTBkZjM3OTI2MTRiNA.xhtml,http://regnskaber.virk.dk/96279223/ZG9rdW1lbnRsYWdlcjovLzAzL2Q0LzJiL2JjL2Y3LzFlNmUtNGZmZS1hYzg2LTM3YmFlMjE5MWQ2Nw.pdf,http://regnskaber.virk.dk/96279223/ZG9rdW1lbnRsYWdlcjovLzAzLzE1L2YxL2MzL2FiL2M2ODgtNDMyMS1hNzVlLTNkNjhhZjQ1MWY1OA.xml,true,Maribo,4930.0,2.0,Frihedsmindevej,3660.0,Baneringen 20,Regnskabsklasse B,2018-02-02,2018-02-02,,"<p xmlns=""http://www.w3.org/1999/xhtml"">Ingen.</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">Selskabet har i lighed med sidste Ã¥r ingen ansatte, udover selskabets direktÃ¸r.</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">Virksomheden har stillet et lÃ¸sÃ¸repant i solenergianlÃ¦g pÃ¥ 3.000.000 kr. til sikkerhed for bankgÃ¦ld (31.12.2017: 2.638.508 kr.). Den bogfÃ¸rte vÃ¦rdi af solenergianlÃ¦g udgÃ¸r 31. december 2017, 3.839.694 kr.</p>",,,32297269.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Henrik Lerche,Erik Sigismund von Rosen,FJORD SOL 5,Henrik Lerche,,,Maribo,2016-01-01,2016-12-31,,,2017-12-31,2017-01-01,false,false,"<p xmlns=""http://www.w3.org/1999/xhtml"">Kommanditselskabskapitalen er udbetalt i 2016 i forbindelse med Ã¦ndring af komplementaren.</p>",false,false,Ingen bistand,urn:ofk:oid:25015183,indberetninger-20180424,2.5949414,32297269.0,,2018-04-03T18:19:03.582Z,2018-02-02T17:11:04.087Z,regnskab,0.0,,2017-12-31,2017-01-01,X18-AC-65-RN,2018-02-02T17:11:04.272Z,,,,828467.0,,,,,,,,,,,,,,,,
32297269,2017-01-01,2017-01-01,c9,http://regnskaber.virk.dk/96279223/ZG9rdW1lbnRsYWdlcjovLzAzLzQwLzljLzBmL2YyLzVjODgtNDNiNy1hMWMzLTBkZjM3OTI2MTRiNA.xhtml,http://regnskaber.virk.dk/96279223/ZG9rdW1lbnRsYWdlcjovLzAzL2Q0LzJiL2JjL2Y3LzFlNmUtNGZmZS1hYzg2LTM3YmFlMjE5MWQ2Nw.pdf,http://regnskaber.virk.dk/96279223/ZG9rdW1lbnRsYWdlcjovLzAzLzE1L2YxL2MzL2FiL2M2ODgtNDMyMS1hNzVlLTNkNjhhZjQ1MWY1OA.xml,true,Maribo,4930.0,2.0,Frihedsmindevej,3660.0,Baneringen 20,Regnskabsklasse B,2018-02-02,2018-02-02,,"<p xmlns=""http://www.w3.org/1999/xhtml"">Ingen.</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">Selskabet har i lighed med sidste Ã¥r ingen ansatte, udover selskabets direktÃ¸r.</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">Virksomheden har stillet et lÃ¸sÃ¸repant i solenergianlÃ¦g pÃ¥ 3.000.000 kr. til sikkerhed for bankgÃ¦ld (31.12.2017: 2.638.508 kr.). Den bogfÃ¸rte vÃ¦rdi af solenergianlÃ¦g udgÃ¸r 31. december 2017, 3.839.694 kr.</p>",,,32297269.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Henrik Lerche,Erik Sigismund von Rosen,FJORD SOL 5,Henrik Lerche,,,Maribo,2016-01-01,2016-12-31,,,2017-12-31,2017-01-01,false,false,"<p xmlns=""http://www.w3.org/1999/xhtml"">Kommanditselskabskapitalen er udbetalt i 2016 i forbindelse med Ã¦ndring af komplementaren.</p>",false,false,Ingen bistand,urn:ofk:oid:25015183,indberetninger-20180424,2.5949414,32297269.0,,2018-04-03T18:19:03.582Z,2018-02-02T17:11:04.087Z,regnskab,0.0,,2017-12-31,2017-01-01,X18-AC-65-RN,2018-02-02T17:11:04.272Z,,,,0.0,,,,,,,,,,,,,,,,
32297269,2017-01-01,2017-12-31,c0,http://regnskaber.virk.dk/96279223/ZG9rdW1lbnRsYWdlcjovLzAzLzQwLzljLzBmL2YyLzVjODgtNDNiNy1hMWMzLTBkZjM3OTI2MTRiNA.xhtml,http://regnskaber.virk.dk/96279223/ZG9rdW1lbnRsYWdlcjovLzAzL2Q0LzJiL2JjL2Y3LzFlNmUtNGZmZS1hYzg2LTM3YmFlMjE5MWQ2Nw.pdf,http://regnskaber.virk.dk/96279223/ZG9rdW1lbnRsYWdlcjovLzAzLzE1L2YxL2MzL2FiL2M2ODgtNDMyMS1hNzVlLTNkNjhhZjQ1MWY1OA.xml,true,Maribo,4930.0,2.0,Frihedsmindevej,3660.0,Baneringen 20,Regnskabsklasse B,2018-02-02,2018-02-02,106000.0,"<p xmlns=""http://www.w3.org/1999/xhtml"">Ingen.</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">Selskabet har i lighed med sidste Ã¥r ingen ansatte, udover selskabets direktÃ¸r.</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">Virksomheden har stillet et lÃ¸sÃ¸repant i solenergianlÃ¦g pÃ¥ 3.000.000 kr. til sikkerhed for bankgÃ¦ld (31.12.2017: 2.638.508 kr.). Den bogfÃ¸rte vÃ¦rdi af solenergianlÃ¦g udgÃ¸r 31. december 2017, 3.839.694 kr.</p>",0.0,628202.0,32297269.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Henrik Lerche,Erik Sigismund von Rosen,FJORD SOL 5,Henrik Lerche,79265.0,0.0,Maribo,2016-01-01,2016-12-31,442937.0,522202.0,2017-12-31,2017-01-01,false,false,"<p xmlns=""http://www.w3.org/1999/xhtml"">Kommanditselskabskapitalen er udbetalt i 2016 i forbindelse med Ã¦ndring af komplementaren.</p>",false,false,Ingen bistand,urn:ofk:oid:25015183,indberetninger-20180424,2.5949414,32297269.0,,2018-04-03T18:19:03.582Z,2018-02-02T17:11:04.087Z,regnskab,0.0,,2017-12-31,2017-01-01,X18-AC-65-RN,2018-02-02T17:11:04.272Z,,,,,,,,,,,,,,,,,,,200000.0,
32297269,2017-01-01,2017-12-31,c1,http://regnskaber.virk.dk/96279223/ZG9rdW1lbnRsYWdlcjovLzAzLzQwLzljLzBmL2YyLzVjODgtNDNiNy1hMWMzLTBkZjM3OTI2MTRiNA.xhtml,http://regnskaber.virk.dk/96279223/ZG9rdW1lbnRsYWdlcjovLzAzL2Q0LzJiL2JjL2Y3LzFlNmUtNGZmZS1hYzg2LTM3YmFlMjE5MWQ2Nw.pdf,http://regnskaber.virk.dk/96279223/ZG9rdW1lbnRsYWdlcjovLzAzLzE1L2YxL2MzL2FiL2M2ODgtNDMyMS1hNzVlLTNkNjhhZjQ1MWY1OA.xml,true,Maribo,4930.0,2.0,Frihedsmindevej,3660.0,Baneringen 20,Regnskabsklasse B,2018-02-02,2018-02-02,,"<p xmlns=""http://www.w3.org/1999/xhtml"">Ingen.</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">Selskabet har i lighed med sidste Ã¥r ingen ansatte, udover selskabets direktÃ¸r.</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">Virksomheden har stillet et lÃ¸sÃ¸repant i solenergianlÃ¦g pÃ¥ 3.000.000 kr. til sikkerhed for bankgÃ¦ld (31.12.2017: 2.638.508 kr.). Den bogfÃ¸rte vÃ¦rdi af solenergianlÃ¦g udgÃ¸r 31. december 2017, 3.839.694 kr.</p>",,,32297269.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Henrik Lerche,Erik Sigismund von Rosen,FJORD SOL 5,Henrik Lerche,,,Maribo,2016-01-01,2016-12-31,,,2017-12-31,2017-01-01,false,false,"<p xmlns=""http://www.w3.org/1999/xhtml"">Kommanditselskabskapitalen er udbetalt i 2016 i forbindelse med Ã¦ndring af komplementaren.</p>",false,false,Ingen bistand,urn:ofk:oid:25015183,indberetninger-20180424,2.5949414,32297269.0,,2018-04-03T18:19:03.582Z,2018-02-02T17:11:04.087Z,regnskab,0.0,,2017-12-31,2017-01-01,X18-AC-65-RN,2018-02-02T17:11:04.272Z,,,,,,,,,,,,,,,,,,,,
32297269,2017-01-01,2017-12-31,c12,http://regnskaber.virk.dk/96279223/ZG9rdW1lbnRsYWdlcjovLzAzLzQwLzljLzBmL2YyLzVjODgtNDNiNy1hMWMzLTBkZjM3OTI2MTRiNA.xhtml,http://regnskaber.virk.dk/96279223/ZG9rdW1lbnRsYWdlcjovLzAzL2Q0LzJiL2JjL2Y3LzFlNmUtNGZmZS1hYzg2LTM3YmFlMjE5MWQ2Nw.pdf,http://regnskaber.virk.dk/96279223/ZG9rdW1lbnRsYWdlcjovLzAzLzE1L2YxL2MzL2FiL2M2ODgtNDMyMS1hNzVlLTNkNjhhZjQ1MWY1OA.xml,true,Maribo,4930.0,2.0,Frihedsmindevej,3660.0,Baneringen 20,Regnskabsklasse B,2018-02-02,2018-02-02,,"<p xmlns=""http://www.w3.org/1999/xhtml"">Ingen.</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">Selskabet har i lighed med sidste Ã¥r ingen ansatte, udover selskabets direktÃ¸r.</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">Virksomheden har stillet et lÃ¸sÃ¸repant i solenergianlÃ¦g pÃ¥ 3.000.000 kr. til sikkerhed for bankgÃ¦ld (31.12.2017: 2.638.508 kr.). Den bogfÃ¸rte vÃ¦rdi af solenergianlÃ¦g udgÃ¸r 31. december 2017, 3.839.694 kr.</p>",,,32297269.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Henrik Lerche,Erik Sigismund von Rosen,FJORD SOL 5,Henrik Lerche,,,Maribo,2016-01-01,2016-12-31,0.0,,2017-12-31,2017-01-01,false,false,"<p xmlns=""http://www.w3.org/1999/xhtml"">Kommanditselskabskapitalen er udbetalt i 2016 i forbindelse med Ã¦ndring af komplementaren.</p>",false,false,Ingen bistand,urn:ofk:oid:25015183,indberetninger-20180424,2.5949414,32297269.0,,2018-04-03T18:19:03.582Z,2018-02-02T17:11:04.087Z,regnskab,0.0,,2017-12-31,2017-01-01,X18-AC-65-RN,2018-02-02T17:11:04.272Z,,,,,,,,,,,,,,,,,,,0.0,
32297269,2017-01-01,2017-12-31,c13,http://regnskaber.virk.dk/96279223/ZG9rdW1lbnRsYWdlcjovLzAzLzQwLzljLzBmL2YyLzVjODgtNDNiNy1hMWMzLTBkZjM3OTI2MTRiNA.xhtml,http://regnskaber.virk.dk/96279223/ZG9rdW1lbnRsYWdlcjovLzAzL2Q0LzJiL2JjL2Y3LzFlNmUtNGZmZS1hYzg2LTM3YmFlMjE5MWQ2Nw.pdf,http://regnskaber.virk.dk/96279223/ZG9rdW1lbnRsYWdlcjovLzAzLzE1L2YxL2MzL2FiL2M2ODgtNDMyMS1hNzVlLTNkNjhhZjQ1MWY1OA.xml,true,Maribo,4930.0,2.0,Frihedsmindevej,3660.0,Baneringen 20,Regnskabsklasse B,2018-02-02,2018-02-02,,"<p xmlns=""http://www.w3.org/1999/xhtml"">Ingen.</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">Selskabet har i lighed med sidste Ã¥r ingen ansatte, udover selskabets direktÃ¸r.</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">Virksomheden har stillet et lÃ¸sÃ¸repant i solenergianlÃ¦g pÃ¥ 3.000.000 kr. til sikkerhed for bankgÃ¦ld (31.12.2017: 2.638.508 kr.). Den bogfÃ¸rte vÃ¦rdi af solenergianlÃ¦g udgÃ¸r 31. december 2017, 3.839.694 kr.</p>",,,32297269.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Henrik Lerche,Erik Sigismund von Rosen,FJORD SOL 5,Henrik Lerche,,,Maribo,2016-01-01,2016-12-31,442937.0,,2017-12-31,2017-01-01,false,false,"<p xmlns=""http://www.w3.org/1999/xhtml"">Kommanditselskabskapitalen er udbetalt i 2016 i forbindelse med Ã¦ndring af komplementaren.</p>",false,false,Ingen bistand,urn:ofk:oid:25015183,indberetninger-20180424,2.5949414,32297269.0,,2018-04-03T18:19:03.582Z,2018-02-02T17:11:04.087Z,regnskab,0.0,,2017-12-31,2017-01-01,X18-AC-65-RN,2018-02-02T17:11:04.272Z,,,,,,,,,,,,,,,,,,,200000.0,
