entity,start_date,end_date,context,AARSRAPPORT_html,AARSRAPPORT_pdf,AARSRAPPORT_xml,AccountingPoliciesAreUnchangedFromPreviousPeriod,AddressOfFinancialCountry,AddressOfFinancialCountryIdentificationCode,AddressOfFinancialDistrictName,AddressOfFinancialPostCodeIdentifier,AddressOfFinancialStreetBuildingIdentifier,AddressOfFinancialStreetName,AddressOfReportingEntityDistrictName,AddressOfReportingEntityPostCodeIdentifier,AddressOfReportingEntityStreetBuildingIdentifier,AddressOfReportingEntityStreetName,AddressOfSubmittingEnterprisePostcodeAndTown,AddressOfSubmittingEnterpriseStreetAndNumber,ClassOfReportingEntity,DateOfApprovalOfAnnualReport,DateOfGeneralMeeting,DepreciationAmortisationExpenseAndImpairmentLossesOfPropertyPlantAndEquipmentAndIntangibleAssetsRecognisedInProfitOrLoss,DisclosureOfContingentLiabilities,DisclosureOfMortgagesAndCollaterals,GrossProfitLoss,IdentificationNumberCvrOfReportingEntity,InformationOnReportingClassOfEntity,InformationOnTypeOfSubmittedReport,NameAndSurnameOfChairmanOfGeneralMeeting,NameAndSurnameOfMemberOfExecutiveBoard,NameOfFinancialInstitution,NameOfReportingEntity,NameOfSubmittingEnterprise,PlaceOfSignatureOfStatement,PrecedingReportingPeriodStartDate,PredingReportingPeriodEndDate,ProfitLoss,ProfitLossFromOrdinaryActivitiesBeforeTax,ProfitLossFromOrdinaryOperatingActivities,ReportingPeriodEndDate,ReportingPeriodStartDate,RestOfOtherFinanceExpenses,SelectedElementsFromReportingClassC,SelectedElementsFromReportingClassD,TaxExpense,TheCompanyHasPresentedTheAnnualReportEtcWithReferenceToTheDanishFinancialStatementsAct78aConcerningTheExceptionForReportingClassCMediumsizeSubsidiariesWhichChoosesToPresentTheAnnualReportEtcAccordingToReportingClassB,TheReportingEntityAppliesTheExceptionConcerningOptingOutOfTheStatementByManagementEtc,TitleOfMemberOfExecutiveBoard,TypeOfAuditorAssistance,_id,_index,_score,cvrNummer,indlaesningsId,indlaesningsTidspunkt,offentliggoerelsesTidspunkt,offentliggoerelsestype,omgoerelse,regNummer,regnskabsperiode_slutDato,regnskabsperiode_startDato,sagsNummer,sidstOpdateret,Assets,CashAndCashEquivalents,ContributedCapital,CurrentAssets,CurrentDeferredTaxAssets,Equity,FixturesFittingsToolsAndEquipment,LiabilitiesAndEquity,LiabilitiesOtherThanProvisions,NoncurrentAssets,OtherShorttermPayables,OtherShorttermReceivables,PropertyPlantAndEquipment,RetainedEarnings,ShorttermLiabilitiesOtherThanProvisions,ShorttermPayablesToShareholdersAndManagement,ShorttermReceivables,ShorttermReceivablesFromGroupEnterprises,ShorttermTradeReceivables
27986765,2014-10-01,2015-09-30,c2,http://regnskaber.virk.dk/56768972/ZG9rdW1lbnRsYWdlcjovLzAzLzdiLzcxLzhmLzI5LzY1NzgtNDdjOC05ZDQ4LWM2ZGRkYWIxZTE5Nw.xhtml,http://regnskaber.virk.dk/56768972/ZG9rdW1lbnRsYWdlcjovLzAzL2RhL2E0LzY4L2RlL2YwNWMtNGU0Zi04NGVmLWExMTVmMzFjZjlmZg.pdf,http://regnskaber.virk.dk/56768972/ZG9rdW1lbnRsYWdlcjovLzAzL2E1L2RmLzYxL2JjLzRhZGMtNGY2OC05MGI4LWE1NTlkNTE0Yjk1OA.xml,true,Danmark,DK,Aarhus C,8000.0,18.0,Rosensgade,Rask MÃ¸lle,8763.0,124.0,NÃ¸rre Snedevej,8763 Rask MÃ¸lle,NÃ¸rre Snedevej 124,Regnskabsklasse B,2017-02-17,2017-03-10,22396.0,"<p xmlns=""http://www.w3.org/1999/xhtml"">Ingen.</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">Ingen.</p>",12118.0,27986765.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Jess Leth Kaack,Jess Leth Kaack,Middelfart Sparekasse,EBRS ApS,Jess Leth Kaack,Honum,2014-10-01,2015-09-30,-11462.0,-11462.0,-10278.0,2016-09-30,2015-10-01,1184.0,false,false,0.0,false,false,DirektÃ¸r,Ingen bistand,urn:ofk:oid:23592213,indberetninger-20180424,2.5947871,27986765,,2018-03-27T23:53:28.566Z,2017-03-14T09:08:43.520Z,regnskab,0.0,,2016-09-30,2015-10-01,X17-AC-68-CW,2017-03-14T09:08:43.767Z,,,,,,,,,,,,,,,,,,,
27986765,2014-10-01,2015-09-30,c4,http://regnskaber.virk.dk/56768972/ZG9rdW1lbnRsYWdlcjovLzAzLzdiLzcxLzhmLzI5LzY1NzgtNDdjOC05ZDQ4LWM2ZGRkYWIxZTE5Nw.xhtml,http://regnskaber.virk.dk/56768972/ZG9rdW1lbnRsYWdlcjovLzAzL2RhL2E0LzY4L2RlL2YwNWMtNGU0Zi04NGVmLWExMTVmMzFjZjlmZg.pdf,http://regnskaber.virk.dk/56768972/ZG9rdW1lbnRsYWdlcjovLzAzL2E1L2RmLzYxL2JjLzRhZGMtNGY2OC05MGI4LWE1NTlkNTE0Yjk1OA.xml,true,Danmark,DK,Aarhus C,8000.0,18.0,Rosensgade,Rask MÃ¸lle,8763.0,124.0,NÃ¸rre Snedevej,8763 Rask MÃ¸lle,NÃ¸rre Snedevej 124,Regnskabsklasse B,2017-02-17,2017-03-10,,"<p xmlns=""http://www.w3.org/1999/xhtml"">Ingen.</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">Ingen.</p>",,27986765.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Jess Leth Kaack,Jess Leth Kaack,Middelfart Sparekasse,EBRS ApS,Jess Leth Kaack,Honum,2014-10-01,2015-09-30,-11462.0,,,2016-09-30,2015-10-01,,false,false,,false,false,DirektÃ¸r,Ingen bistand,urn:ofk:oid:23592213,indberetninger-20180424,2.5947871,27986765,,2018-03-27T23:53:28.566Z,2017-03-14T09:08:43.520Z,regnskab,0.0,,2016-09-30,2015-10-01,X17-AC-68-CW,2017-03-14T09:08:43.767Z,,,,,,,,,,,,,,,,,,,
27986765,2015-09-30,2015-09-30,c6,http://regnskaber.virk.dk/56768972/ZG9rdW1lbnRsYWdlcjovLzAzLzdiLzcxLzhmLzI5LzY1NzgtNDdjOC05ZDQ4LWM2ZGRkYWIxZTE5Nw.xhtml,http://regnskaber.virk.dk/56768972/ZG9rdW1lbnRsYWdlcjovLzAzL2RhL2E0LzY4L2RlL2YwNWMtNGU0Zi04NGVmLWExMTVmMzFjZjlmZg.pdf,http://regnskaber.virk.dk/56768972/ZG9rdW1lbnRsYWdlcjovLzAzL2E1L2RmLzYxL2JjLzRhZGMtNGY2OC05MGI4LWE1NTlkNTE0Yjk1OA.xml,true,Danmark,DK,Aarhus C,8000.0,18.0,Rosensgade,Rask MÃ¸lle,8763.0,124.0,NÃ¸rre Snedevej,8763 Rask MÃ¸lle,NÃ¸rre Snedevej 124,Regnskabsklasse B,2017-02-17,2017-03-10,,"<p xmlns=""http://www.w3.org/1999/xhtml"">Ingen.</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">Ingen.</p>",,27986765.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Jess Leth Kaack,Jess Leth Kaack,Middelfart Sparekasse,EBRS ApS,Jess Leth Kaack,Honum,2014-10-01,2015-09-30,,,,2016-09-30,2015-10-01,,false,false,,false,false,DirektÃ¸r,Ingen bistand,urn:ofk:oid:23592213,indberetninger-20180424,2.5947871,27986765,,2018-03-27T23:53:28.566Z,2017-03-14T09:08:43.520Z,regnskab,0.0,,2016-09-30,2015-10-01,X17-AC-68-CW,2017-03-14T09:08:43.767Z,278135.0,388.0,125000.0,77588.0,0.0,49313.0,200547.0,278135.0,228822.0,200547.0,183632.0,24285.0,200547.0,-75687.0,228822.0,45190.0,77200.0,47759.0,5156.0
27986765,2015-10-01,2015-10-01,c7,http://regnskaber.virk.dk/56768972/ZG9rdW1lbnRsYWdlcjovLzAzLzdiLzcxLzhmLzI5LzY1NzgtNDdjOC05ZDQ4LWM2ZGRkYWIxZTE5Nw.xhtml,http://regnskaber.virk.dk/56768972/ZG9rdW1lbnRsYWdlcjovLzAzL2RhL2E0LzY4L2RlL2YwNWMtNGU0Zi04NGVmLWExMTVmMzFjZjlmZg.pdf,http://regnskaber.virk.dk/56768972/ZG9rdW1lbnRsYWdlcjovLzAzL2E1L2RmLzYxL2JjLzRhZGMtNGY2OC05MGI4LWE1NTlkNTE0Yjk1OA.xml,true,Danmark,DK,Aarhus C,8000.0,18.0,Rosensgade,Rask MÃ¸lle,8763.0,124.0,NÃ¸rre Snedevej,8763 Rask MÃ¸lle,NÃ¸rre Snedevej 124,Regnskabsklasse B,2017-02-17,2017-03-10,,"<p xmlns=""http://www.w3.org/1999/xhtml"">Ingen.</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">Ingen.</p>",,27986765.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Jess Leth Kaack,Jess Leth Kaack,Middelfart Sparekasse,EBRS ApS,Jess Leth Kaack,Honum,2014-10-01,2015-09-30,,,,2016-09-30,2015-10-01,,false,false,,false,false,DirektÃ¸r,Ingen bistand,urn:ofk:oid:23592213,indberetninger-20180424,2.5947871,27986765,,2018-03-27T23:53:28.566Z,2017-03-14T09:08:43.520Z,regnskab,0.0,,2016-09-30,2015-10-01,X17-AC-68-CW,2017-03-14T09:08:43.767Z,,,,,,125000.0,,,,,,,,,,,,,
27986765,2015-10-01,2015-10-01,c8,http://regnskaber.virk.dk/56768972/ZG9rdW1lbnRsYWdlcjovLzAzLzdiLzcxLzhmLzI5LzY1NzgtNDdjOC05ZDQ4LWM2ZGRkYWIxZTE5Nw.xhtml,http://regnskaber.virk.dk/56768972/ZG9rdW1lbnRsYWdlcjovLzAzL2RhL2E0LzY4L2RlL2YwNWMtNGU0Zi04NGVmLWExMTVmMzFjZjlmZg.pdf,http://regnskaber.virk.dk/56768972/ZG9rdW1lbnRsYWdlcjovLzAzL2E1L2RmLzYxL2JjLzRhZGMtNGY2OC05MGI4LWE1NTlkNTE0Yjk1OA.xml,true,Danmark,DK,Aarhus C,8000.0,18.0,Rosensgade,Rask MÃ¸lle,8763.0,124.0,NÃ¸rre Snedevej,8763 Rask MÃ¸lle,NÃ¸rre Snedevej 124,Regnskabsklasse B,2017-02-17,2017-03-10,,"<p xmlns=""http://www.w3.org/1999/xhtml"">Ingen.</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">Ingen.</p>",,27986765.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Jess Leth Kaack,Jess Leth Kaack,Middelfart Sparekasse,EBRS ApS,Jess Leth Kaack,Honum,2014-10-01,2015-09-30,,,,2016-09-30,2015-10-01,,false,false,,false,false,DirektÃ¸r,Ingen bistand,urn:ofk:oid:23592213,indberetninger-20180424,2.5947871,27986765,,2018-03-27T23:53:28.566Z,2017-03-14T09:08:43.520Z,regnskab,0.0,,2016-09-30,2015-10-01,X17-AC-68-CW,2017-03-14T09:08:43.767Z,,,,,,-75687.0,,,,,,,,,,,,,
27986765,2015-10-01,2015-10-01,c9,http://regnskaber.virk.dk/56768972/ZG9rdW1lbnRsYWdlcjovLzAzLzdiLzcxLzhmLzI5LzY1NzgtNDdjOC05ZDQ4LWM2ZGRkYWIxZTE5Nw.xhtml,http://regnskaber.virk.dk/56768972/ZG9rdW1lbnRsYWdlcjovLzAzL2RhL2E0LzY4L2RlL2YwNWMtNGU0Zi04NGVmLWExMTVmMzFjZjlmZg.pdf,http://regnskaber.virk.dk/56768972/ZG9rdW1lbnRsYWdlcjovLzAzL2E1L2RmLzYxL2JjLzRhZGMtNGY2OC05MGI4LWE1NTlkNTE0Yjk1OA.xml,true,Danmark,DK,Aarhus C,8000.0,18.0,Rosensgade,Rask MÃ¸lle,8763.0,124.0,NÃ¸rre Snedevej,8763 Rask MÃ¸lle,NÃ¸rre Snedevej 124,Regnskabsklasse B,2017-02-17,2017-03-10,,"<p xmlns=""http://www.w3.org/1999/xhtml"">Ingen.</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">Ingen.</p>",,27986765.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Jess Leth Kaack,Jess Leth Kaack,Middelfart Sparekasse,EBRS ApS,Jess Leth Kaack,Honum,2014-10-01,2015-09-30,,,,2016-09-30,2015-10-01,,false,false,,false,false,DirektÃ¸r,Ingen bistand,urn:ofk:oid:23592213,indberetninger-20180424,2.5947871,27986765,,2018-03-27T23:53:28.566Z,2017-03-14T09:08:43.520Z,regnskab,0.0,,2016-09-30,2015-10-01,X17-AC-68-CW,2017-03-14T09:08:43.767Z,,,,,,49313.0,,,,,,,,,,,,,
27986765,2015-10-01,2016-09-30,c0,http://regnskaber.virk.dk/56768972/ZG9rdW1lbnRsYWdlcjovLzAzLzdiLzcxLzhmLzI5LzY1NzgtNDdjOC05ZDQ4LWM2ZGRkYWIxZTE5Nw.xhtml,http://regnskaber.virk.dk/56768972/ZG9rdW1lbnRsYWdlcjovLzAzL2RhL2E0LzY4L2RlL2YwNWMtNGU0Zi04NGVmLWExMTVmMzFjZjlmZg.pdf,http://regnskaber.virk.dk/56768972/ZG9rdW1lbnRsYWdlcjovLzAzL2E1L2RmLzYxL2JjLzRhZGMtNGY2OC05MGI4LWE1NTlkNTE0Yjk1OA.xml,true,Danmark,DK,Aarhus C,8000.0,18.0,Rosensgade,Rask MÃ¸lle,8763.0,124.0,NÃ¸rre Snedevej,8763 Rask MÃ¸lle,NÃ¸rre Snedevej 124,Regnskabsklasse B,2017-02-17,2017-03-10,47089.0,"<p xmlns=""http://www.w3.org/1999/xhtml"">Ingen.</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">Ingen.</p>",325.0,27986765.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Jess Leth Kaack,Jess Leth Kaack,Middelfart Sparekasse,EBRS ApS,Jess Leth Kaack,Honum,2014-10-01,2015-09-30,-28048.0,-46875.0,-46764.0,2016-09-30,2015-10-01,111.0,false,false,-18827.0,false,false,DirektÃ¸r,Ingen bistand,urn:ofk:oid:23592213,indberetninger-20180424,2.5947871,27986765,,2018-03-27T23:53:28.566Z,2017-03-14T09:08:43.520Z,regnskab,0.0,,2016-09-30,2015-10-01,X17-AC-68-CW,2017-03-14T09:08:43.767Z,,,,,,,,,,,,,,,,,,,
27986765,2015-10-01,2016-09-30,c1,http://regnskaber.virk.dk/56768972/ZG9rdW1lbnRsYWdlcjovLzAzLzdiLzcxLzhmLzI5LzY1NzgtNDdjOC05ZDQ4LWM2ZGRkYWIxZTE5Nw.xhtml,http://regnskaber.virk.dk/56768972/ZG9rdW1lbnRsYWdlcjovLzAzL2RhL2E0LzY4L2RlL2YwNWMtNGU0Zi04NGVmLWExMTVmMzFjZjlmZg.pdf,http://regnskaber.virk.dk/56768972/ZG9rdW1lbnRsYWdlcjovLzAzL2E1L2RmLzYxL2JjLzRhZGMtNGY2OC05MGI4LWE1NTlkNTE0Yjk1OA.xml,true,Danmark,DK,Aarhus C,8000.0,18.0,Rosensgade,Rask MÃ¸lle,8763.0,124.0,NÃ¸rre Snedevej,8763 Rask MÃ¸lle,NÃ¸rre Snedevej 124,Regnskabsklasse B,2017-02-17,2017-03-10,,"<p xmlns=""http://www.w3.org/1999/xhtml"">Ingen.</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">Ingen.</p>",,27986765.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Jess Leth Kaack,Jess Leth Kaack,Middelfart Sparekasse,EBRS ApS,Jess Leth Kaack,Honum,2014-10-01,2015-09-30,,,,2016-09-30,2015-10-01,,false,false,,false,false,DirektÃ¸r,Ingen bistand,urn:ofk:oid:23592213,indberetninger-20180424,2.5947871,27986765,,2018-03-27T23:53:28.566Z,2017-03-14T09:08:43.520Z,regnskab,0.0,,2016-09-30,2015-10-01,X17-AC-68-CW,2017-03-14T09:08:43.767Z,,,,,,,,,,,,,,,,,,,
27986765,2015-10-01,2016-09-30,c10,http://regnskaber.virk.dk/56768972/ZG9rdW1lbnRsYWdlcjovLzAzLzdiLzcxLzhmLzI5LzY1NzgtNDdjOC05ZDQ4LWM2ZGRkYWIxZTE5Nw.xhtml,http://regnskaber.virk.dk/56768972/ZG9rdW1lbnRsYWdlcjovLzAzL2RhL2E0LzY4L2RlL2YwNWMtNGU0Zi04NGVmLWExMTVmMzFjZjlmZg.pdf,http://regnskaber.virk.dk/56768972/ZG9rdW1lbnRsYWdlcjovLzAzL2E1L2RmLzYxL2JjLzRhZGMtNGY2OC05MGI4LWE1NTlkNTE0Yjk1OA.xml,true,Danmark,DK,Aarhus C,8000.0,18.0,Rosensgade,Rask MÃ¸lle,8763.0,124.0,NÃ¸rre Snedevej,8763 Rask MÃ¸lle,NÃ¸rre Snedevej 124,Regnskabsklasse B,2017-02-17,2017-03-10,,"<p xmlns=""http://www.w3.org/1999/xhtml"">Ingen.</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">Ingen.</p>",,27986765.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Jess Leth Kaack,Jess Leth Kaack,Middelfart Sparekasse,EBRS ApS,Jess Leth Kaack,Honum,2014-10-01,2015-09-30,-28048.0,,,2016-09-30,2015-10-01,,false,false,,false,false,DirektÃ¸r,Ingen bistand,urn:ofk:oid:23592213,indberetninger-20180424,2.5947871,27986765,,2018-03-27T23:53:28.566Z,2017-03-14T09:08:43.520Z,regnskab,0.0,,2016-09-30,2015-10-01,X17-AC-68-CW,2017-03-14T09:08:43.767Z,,,,,,,,,,,,,,,,,,,
27986765,2015-10-01,2016-09-30,c3,http://regnskaber.virk.dk/56768972/ZG9rdW1lbnRsYWdlcjovLzAzLzdiLzcxLzhmLzI5LzY1NzgtNDdjOC05ZDQ4LWM2ZGRkYWIxZTE5Nw.xhtml,http://regnskaber.virk.dk/56768972/ZG9rdW1lbnRsYWdlcjovLzAzL2RhL2E0LzY4L2RlL2YwNWMtNGU0Zi04NGVmLWExMTVmMzFjZjlmZg.pdf,http://regnskaber.virk.dk/56768972/ZG9rdW1lbnRsYWdlcjovLzAzL2E1L2RmLzYxL2JjLzRhZGMtNGY2OC05MGI4LWE1NTlkNTE0Yjk1OA.xml,true,Danmark,DK,Aarhus C,8000.0,18.0,Rosensgade,Rask MÃ¸lle,8763.0,124.0,NÃ¸rre Snedevej,8763 Rask MÃ¸lle,NÃ¸rre Snedevej 124,Regnskabsklasse B,2017-02-17,2017-03-10,,"<p xmlns=""http://www.w3.org/1999/xhtml"">Ingen.</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">Ingen.</p>",,27986765.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Jess Leth Kaack,Jess Leth Kaack,Middelfart Sparekasse,EBRS ApS,Jess Leth Kaack,Honum,2014-10-01,2015-09-30,-28048.0,,,2016-09-30,2015-10-01,,false,false,,false,false,DirektÃ¸r,Ingen bistand,urn:ofk:oid:23592213,indberetninger-20180424,2.5947871,27986765,,2018-03-27T23:53:28.566Z,2017-03-14T09:08:43.520Z,regnskab,0.0,,2016-09-30,2015-10-01,X17-AC-68-CW,2017-03-14T09:08:43.767Z,,,,,,,,,,,,,,,,,,,
