entity,start_date,end_date,context,AARSRAPPORT_html,AARSRAPPORT_pdf,AARSRAPPORT_xml,AccountingPoliciesAreUnchangedFromPreviousPeriod,AddressOfAuditorDistrictName,AddressOfAuditorPostCodeIdentifier,AddressOfAuditorStreetBuildingIdentifier,AddressOfAuditorStreetName,AddressOfFinancialDistrictName,AddressOfFinancialPostCodeIdentifier,AddressOfFinancialStreetBuildingIdentifier,AddressOfFinancialStreetName,AddressOfReportingEntityPostCodeIdentifier,AddressOfReportingEntityStreetName,AddressOfSubmittingEnterprisePostcodeAndTown,AddressOfSubmittingEnterpriseStreetAndNumber,AddresseeOfAuditorsReportOnOtherReport,ClassOfReportingEntity,ConfirmationThatAnnualReportIsPresentedInAccordanceWithRequirementsProvidedForByLegislationAnyStandardsAndRequirementsProvidedByArticlesOfAssociationOrByAgreement,ConfirmationThatFinancialStatementGivesTrueAndFairViewOfAssetsLiabilitiesEquityFinancialPositionAndResults,ConfirmationThatFinancialStatementsAreExemptedFromAuditing,CurrentTaxExpense,DateOfApprovalOfAnnualReport,DateOfFoundationOfReportingEntity,DateOfGeneralMeeting,DepreciationAmortisationExpenseAndImpairmentLossesOfPropertyPlantAndEquipmentAndIntangibleAssetsRecognisedInProfitOrLoss,DepreciationOfPropertyPlantAndEquipment,DescriptionOfAuditor,ExternalExpenses,GrossProfitLoss,IdentificationNumberCvrOfAuditFirm,IdentificationNumberCvrOfReportingEntity,IdentificationNumberCvrOfSubmittingEnterprise,IdentificationOfApprovedAnnualReport,InformationOnTypeOfSubmittedReport,ManagementsStatementAboutManagementsReview,NameAndSurnameOfAuditor,NameAndSurnameOfChairmanOfGeneralMeeting,NameOfFinancialInstitution,NameOfReportingEntity,NameOfSubmittingEnterprise,OtherFinanceExpenses,PlaceOfSignatureOfStatement,PrecedingReportingPeriodStartDate,PredingReportingPeriodEndDate,ProfitLoss,ProfitLossFromOrdinaryActivitiesBeforeTax,ProfitLossFromOrdinaryOperatingActivities,RecommendationForApprovalOfAnnualReportByGeneralMeeting,RegisteredOfficeOfReportingEntity,ReportingPeriodEndDate,ReportingPeriodStartDate,Revenue,SelectedElementsFromReportingClassC,SignatureOfAuditorsDate,SignatureOfAuditorsPlace,TaxExpenseOnOrdinaryActivities,_id,_index,_score,cvrNummer,indlaesningsId,indlaesningsTidspunkt,offentliggoerelsesTidspunkt,offentliggoerelsestype,omgoerelse,regNummer,regnskabsperiode_slutDato,regnskabsperiode_startDato,sagsNummer,sidstOpdateret,Assets,CashAndCashEquivalents,ContributedCapital,Equity,LandAndBuildings,LiabilitiesAndEquity,LiabilitiesOtherThanProvisions,NoncurrentAssets,OtherShorttermPayables,PropertyPlantAndEquipment,RetainedEarnings,ShorttermLiabilitiesOtherThanProvisions,ShorttermTaxPayables,AccumulatedImpairmentLossesAndDepreciationOfPropertyPlantAndEquipment,PropertyPlantAndEquipmentGross,NameOfAuditFirm,TypeOfAuditorAssistance,NameAndSurnameOfMemberOfExecutiveBoard
18923475,2015-01-01,2015-12-31,c175,,http://regnskaber.virk.dk/57432981/ZG9rdW1lbnRsYWdlcjovLzAzLzhmLzVjLzQwLzMwL2RkNTktNDY3Mi05Y2UxLTRjYTgyMzcxODU1MQ.pdf,http://regnskaber.virk.dk/57432981/ZG9rdW1lbnRsYWdlcjovLzAzL2QyLzUwL2ZlLzI4LzkyNTEtNGM5ZS1hOWFlLTE1YzRiZDJmMjE1Mg.xml,true,HjÃ¸rring,9800.0,15.0,NÃ¸rrebro,LÃ¸kken,9480.0,3.0,SÃ¸ndergade,9480 LÃ¸kken,TinghÃ¸jgade 273,DK-9800 HjÃ¸rring,NÃ¸rrebro 15,Til kapitalejerne i TingDesign ApS,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2016 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar - 31. december 2016.",Direktionen anser fortsat betingelserne for at undlade revision for opfyldte.,8461.0,2017-03-25,1995-11-08,2017-04-25,-923.0,922.0,Statsautoriseret revisor,-29065.0,44725.0,20222670.0,18923475.0,20222670.0,Direktionen har dags dato behandlet og godkendt Ã¥rsrapporten for 1. januar - 31. december 2016 for TingDesign ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Morten Ovesen,Thomas G. Schmidt,Nordjyske Bank,TingDesign ApS,BDO Statsautoriseret revisionsaktieselskab,-9379.0,LÃ¸kken,2015-01-01,2015-12-31,25962.0,34423.0,43802.0,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,Jammerbugt,2016-12-31,2016-01-01,73790.0,true,2017-03-25,HjÃ¸rring,-8461.0,urn:ofk:oid:23804301,indberetninger-20180424,2.5124211,18923475,,2018-03-27T19:35:21.181Z,2017-05-03T13:24:55.034Z,regnskab,0.0,,2016-12-31,2016-01-01,X17-AH-42-KK,2017-05-03T13:24:55.200Z,,,,,,,,,,,,,,,,,,
18923475,2015-01-01,2015-12-31,c195,,http://regnskaber.virk.dk/57432981/ZG9rdW1lbnRsYWdlcjovLzAzLzhmLzVjLzQwLzMwL2RkNTktNDY3Mi05Y2UxLTRjYTgyMzcxODU1MQ.pdf,http://regnskaber.virk.dk/57432981/ZG9rdW1lbnRsYWdlcjovLzAzL2QyLzUwL2ZlLzI4LzkyNTEtNGM5ZS1hOWFlLTE1YzRiZDJmMjE1Mg.xml,true,HjÃ¸rring,9800.0,15.0,NÃ¸rrebro,LÃ¸kken,9480.0,3.0,SÃ¸ndergade,9480 LÃ¸kken,TinghÃ¸jgade 273,DK-9800 HjÃ¸rring,NÃ¸rrebro 15,Til kapitalejerne i TingDesign ApS,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2016 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar - 31. december 2016.",Direktionen anser fortsat betingelserne for at undlade revision for opfyldte.,,2017-03-25,1995-11-08,2017-04-25,,922.0,Statsautoriseret revisor,,,20222670.0,18923475.0,20222670.0,Direktionen har dags dato behandlet og godkendt Ã¥rsrapporten for 1. januar - 31. december 2016 for TingDesign ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Morten Ovesen,Thomas G. Schmidt,Nordjyske Bank,TingDesign ApS,BDO Statsautoriseret revisionsaktieselskab,,LÃ¸kken,2015-01-01,2015-12-31,25962.0,,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,Jammerbugt,2016-12-31,2016-01-01,,true,2017-03-25,HjÃ¸rring,,urn:ofk:oid:23804301,indberetninger-20180424,2.5124211,18923475,,2018-03-27T19:35:21.181Z,2017-05-03T13:24:55.034Z,regnskab,0.0,,2016-12-31,2016-01-01,X17-AH-42-KK,2017-05-03T13:24:55.200Z,,,,,,,,,,,,,,,,,,
18923475,2015-12-31,2015-12-31,c172,,http://regnskaber.virk.dk/57432981/ZG9rdW1lbnRsYWdlcjovLzAzLzhmLzVjLzQwLzMwL2RkNTktNDY3Mi05Y2UxLTRjYTgyMzcxODU1MQ.pdf,http://regnskaber.virk.dk/57432981/ZG9rdW1lbnRsYWdlcjovLzAzL2QyLzUwL2ZlLzI4LzkyNTEtNGM5ZS1hOWFlLTE1YzRiZDJmMjE1Mg.xml,true,HjÃ¸rring,9800.0,15.0,NÃ¸rrebro,LÃ¸kken,9480.0,3.0,SÃ¸ndergade,9480 LÃ¸kken,TinghÃ¸jgade 273,DK-9800 HjÃ¸rring,NÃ¸rrebro 15,Til kapitalejerne i TingDesign ApS,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2016 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar - 31. december 2016.",Direktionen anser fortsat betingelserne for at undlade revision for opfyldte.,,2017-03-25,1995-11-08,2017-04-25,,922.0,Statsautoriseret revisor,,,20222670.0,18923475.0,20222670.0,Direktionen har dags dato behandlet og godkendt Ã¥rsrapporten for 1. januar - 31. december 2016 for TingDesign ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Morten Ovesen,Thomas G. Schmidt,Nordjyske Bank,TingDesign ApS,BDO Statsautoriseret revisionsaktieselskab,,LÃ¸kken,2015-01-01,2015-12-31,,,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,Jammerbugt,2016-12-31,2016-01-01,,true,2017-03-25,HjÃ¸rring,,urn:ofk:oid:23804301,indberetninger-20180424,2.5124211,18923475,,2018-03-27T19:35:21.181Z,2017-05-03T13:24:55.034Z,regnskab,0.0,,2016-12-31,2016-01-01,X17-AH-42-KK,2017-05-03T13:24:55.200Z,920845.0,1181.0,200000.0,726964.0,919664.0,920845.0,193881.0,919664.0,187421.0,919664.0,526964.0,193881.0,6460.0,,,,,
18923475,2016-01-01,2016-01-01,c226,,http://regnskaber.virk.dk/57432981/ZG9rdW1lbnRsYWdlcjovLzAzLzhmLzVjLzQwLzMwL2RkNTktNDY3Mi05Y2UxLTRjYTgyMzcxODU1MQ.pdf,http://regnskaber.virk.dk/57432981/ZG9rdW1lbnRsYWdlcjovLzAzL2QyLzUwL2ZlLzI4LzkyNTEtNGM5ZS1hOWFlLTE1YzRiZDJmMjE1Mg.xml,true,HjÃ¸rring,9800.0,15.0,NÃ¸rrebro,LÃ¸kken,9480.0,3.0,SÃ¸ndergade,9480 LÃ¸kken,TinghÃ¸jgade 273,DK-9800 HjÃ¸rring,NÃ¸rrebro 15,Til kapitalejerne i TingDesign ApS,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2016 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar - 31. december 2016.",Direktionen anser fortsat betingelserne for at undlade revision for opfyldte.,,2017-03-25,1995-11-08,2017-04-25,,922.0,Statsautoriseret revisor,,,20222670.0,18923475.0,20222670.0,Direktionen har dags dato behandlet og godkendt Ã¥rsrapporten for 1. januar - 31. december 2016 for TingDesign ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Morten Ovesen,Thomas G. Schmidt,Nordjyske Bank,TingDesign ApS,BDO Statsautoriseret revisionsaktieselskab,,LÃ¸kken,2015-01-01,2015-12-31,,,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,Jammerbugt,2016-12-31,2016-01-01,,true,2017-03-25,HjÃ¸rring,,urn:ofk:oid:23804301,indberetninger-20180424,2.5124211,18923475,,2018-03-27T19:35:21.181Z,2017-05-03T13:24:55.034Z,regnskab,0.0,,2016-12-31,2016-01-01,X17-AH-42-KK,2017-05-03T13:24:55.200Z,,,,200000.0,,,,,,,,,,,,,,
18923475,2016-01-01,2016-01-01,c253,,http://regnskaber.virk.dk/57432981/ZG9rdW1lbnRsYWdlcjovLzAzLzhmLzVjLzQwLzMwL2RkNTktNDY3Mi05Y2UxLTRjYTgyMzcxODU1MQ.pdf,http://regnskaber.virk.dk/57432981/ZG9rdW1lbnRsYWdlcjovLzAzL2QyLzUwL2ZlLzI4LzkyNTEtNGM5ZS1hOWFlLTE1YzRiZDJmMjE1Mg.xml,true,HjÃ¸rring,9800.0,15.0,NÃ¸rrebro,LÃ¸kken,9480.0,3.0,SÃ¸ndergade,9480 LÃ¸kken,TinghÃ¸jgade 273,DK-9800 HjÃ¸rring,NÃ¸rrebro 15,Til kapitalejerne i TingDesign ApS,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2016 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar - 31. december 2016.",Direktionen anser fortsat betingelserne for at undlade revision for opfyldte.,,2017-03-25,1995-11-08,2017-04-25,,922.0,Statsautoriseret revisor,,,20222670.0,18923475.0,20222670.0,Direktionen har dags dato behandlet og godkendt Ã¥rsrapporten for 1. januar - 31. december 2016 for TingDesign ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Morten Ovesen,Thomas G. Schmidt,Nordjyske Bank,TingDesign ApS,BDO Statsautoriseret revisionsaktieselskab,,LÃ¸kken,2015-01-01,2015-12-31,,,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,Jammerbugt,2016-12-31,2016-01-01,,true,2017-03-25,HjÃ¸rring,,urn:ofk:oid:23804301,indberetninger-20180424,2.5124211,18923475,,2018-03-27T19:35:21.181Z,2017-05-03T13:24:55.034Z,regnskab,0.0,,2016-12-31,2016-01-01,X17-AH-42-KK,2017-05-03T13:24:55.200Z,,,,526964.0,,,,,,,,,,,,,,
18923475,2016-01-01,2016-01-01,c444,,http://regnskaber.virk.dk/57432981/ZG9rdW1lbnRsYWdlcjovLzAzLzhmLzVjLzQwLzMwL2RkNTktNDY3Mi05Y2UxLTRjYTgyMzcxODU1MQ.pdf,http://regnskaber.virk.dk/57432981/ZG9rdW1lbnRsYWdlcjovLzAzL2QyLzUwL2ZlLzI4LzkyNTEtNGM5ZS1hOWFlLTE1YzRiZDJmMjE1Mg.xml,true,HjÃ¸rring,9800.0,15.0,NÃ¸rrebro,LÃ¸kken,9480.0,3.0,SÃ¸ndergade,9480 LÃ¸kken,TinghÃ¸jgade 273,DK-9800 HjÃ¸rring,NÃ¸rrebro 15,Til kapitalejerne i TingDesign ApS,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2016 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar - 31. december 2016.",Direktionen anser fortsat betingelserne for at undlade revision for opfyldte.,,2017-03-25,1995-11-08,2017-04-25,,922.0,Statsautoriseret revisor,,,20222670.0,18923475.0,20222670.0,Direktionen har dags dato behandlet og godkendt Ã¥rsrapporten for 1. januar - 31. december 2016 for TingDesign ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Morten Ovesen,Thomas G. Schmidt,Nordjyske Bank,TingDesign ApS,BDO Statsautoriseret revisionsaktieselskab,,LÃ¸kken,2015-01-01,2015-12-31,,,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,Jammerbugt,2016-12-31,2016-01-01,,true,2017-03-25,HjÃ¸rring,,urn:ofk:oid:23804301,indberetninger-20180424,2.5124211,18923475,,2018-03-27T19:35:21.181Z,2017-05-03T13:24:55.034Z,regnskab,0.0,,2016-12-31,2016-01-01,X17-AH-42-KK,2017-05-03T13:24:55.200Z,,,,,,,,,,,,,,2713.0,922377.0,,,
18923475,2016-01-01,2016-12-31,c174,,http://regnskaber.virk.dk/57432981/ZG9rdW1lbnRsYWdlcjovLzAzLzhmLzVjLzQwLzMwL2RkNTktNDY3Mi05Y2UxLTRjYTgyMzcxODU1MQ.pdf,http://regnskaber.virk.dk/57432981/ZG9rdW1lbnRsYWdlcjovLzAzL2QyLzUwL2ZlLzI4LzkyNTEtNGM5ZS1hOWFlLTE1YzRiZDJmMjE1Mg.xml,true,HjÃ¸rring,9800.0,15.0,NÃ¸rrebro,LÃ¸kken,9480.0,3.0,SÃ¸ndergade,9480 LÃ¸kken,TinghÃ¸jgade 273,DK-9800 HjÃ¸rring,NÃ¸rrebro 15,Til kapitalejerne i TingDesign ApS,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2016 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar - 31. december 2016.",Direktionen anser fortsat betingelserne for at undlade revision for opfyldte.,9086.0,2017-03-25,1995-11-08,2017-04-25,-922.0,922.0,Statsautoriseret revisor,-25033.0,48757.0,20222670.0,18923475.0,20222670.0,Direktionen har dags dato behandlet og godkendt Ã¥rsrapporten for 1. januar - 31. december 2016 for TingDesign ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Morten Ovesen,Thomas G. Schmidt,Nordjyske Bank,TingDesign ApS,BDO Statsautoriseret revisionsaktieselskab,-7662.0,LÃ¸kken,2015-01-01,2015-12-31,31087.0,40173.0,47835.0,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,Jammerbugt,2016-12-31,2016-01-01,73790.0,true,2017-03-25,HjÃ¸rring,-9086.0,urn:ofk:oid:23804301,indberetninger-20180424,2.5124211,18923475,,2018-03-27T19:35:21.181Z,2017-05-03T13:24:55.034Z,regnskab,0.0,,2016-12-31,2016-01-01,X17-AH-42-KK,2017-05-03T13:24:55.200Z,,,,,,,,,,,,,,,,BDO Statsautoriseret revisionsaktieselskab,Andre erklÃ¦ringer uden sikkerhed,
18923475,2016-01-01,2016-12-31,c194,,http://regnskaber.virk.dk/57432981/ZG9rdW1lbnRsYWdlcjovLzAzLzhmLzVjLzQwLzMwL2RkNTktNDY3Mi05Y2UxLTRjYTgyMzcxODU1MQ.pdf,http://regnskaber.virk.dk/57432981/ZG9rdW1lbnRsYWdlcjovLzAzL2QyLzUwL2ZlLzI4LzkyNTEtNGM5ZS1hOWFlLTE1YzRiZDJmMjE1Mg.xml,true,HjÃ¸rring,9800.0,15.0,NÃ¸rrebro,LÃ¸kken,9480.0,3.0,SÃ¸ndergade,9480 LÃ¸kken,TinghÃ¸jgade 273,DK-9800 HjÃ¸rring,NÃ¸rrebro 15,Til kapitalejerne i TingDesign ApS,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2016 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar - 31. december 2016.",Direktionen anser fortsat betingelserne for at undlade revision for opfyldte.,,2017-03-25,1995-11-08,2017-04-25,,922.0,Statsautoriseret revisor,,,20222670.0,18923475.0,20222670.0,Direktionen har dags dato behandlet og godkendt Ã¥rsrapporten for 1. januar - 31. december 2016 for TingDesign ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Morten Ovesen,Thomas G. Schmidt,Nordjyske Bank,TingDesign ApS,BDO Statsautoriseret revisionsaktieselskab,,LÃ¸kken,2015-01-01,2015-12-31,31087.0,,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,Jammerbugt,2016-12-31,2016-01-01,,true,2017-03-25,HjÃ¸rring,,urn:ofk:oid:23804301,indberetninger-20180424,2.5124211,18923475,,2018-03-27T19:35:21.181Z,2017-05-03T13:24:55.034Z,regnskab,0.0,,2016-12-31,2016-01-01,X17-AH-42-KK,2017-05-03T13:24:55.200Z,,,,,,,,,,,,,,,,,,
18923475,2016-01-01,2016-12-31,c254,,http://regnskaber.virk.dk/57432981/ZG9rdW1lbnRsYWdlcjovLzAzLzhmLzVjLzQwLzMwL2RkNTktNDY3Mi05Y2UxLTRjYTgyMzcxODU1MQ.pdf,http://regnskaber.virk.dk/57432981/ZG9rdW1lbnRsYWdlcjovLzAzL2QyLzUwL2ZlLzI4LzkyNTEtNGM5ZS1hOWFlLTE1YzRiZDJmMjE1Mg.xml,true,HjÃ¸rring,9800.0,15.0,NÃ¸rrebro,LÃ¸kken,9480.0,3.0,SÃ¸ndergade,9480 LÃ¸kken,TinghÃ¸jgade 273,DK-9800 HjÃ¸rring,NÃ¸rrebro 15,Til kapitalejerne i TingDesign ApS,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2016 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar - 31. december 2016.",Direktionen anser fortsat betingelserne for at undlade revision for opfyldte.,,2017-03-25,1995-11-08,2017-04-25,,922.0,Statsautoriseret revisor,,,20222670.0,18923475.0,20222670.0,Direktionen har dags dato behandlet og godkendt Ã¥rsrapporten for 1. januar - 31. december 2016 for TingDesign ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Morten Ovesen,Thomas G. Schmidt,Nordjyske Bank,TingDesign ApS,BDO Statsautoriseret revisionsaktieselskab,,LÃ¸kken,2015-01-01,2015-12-31,31087.0,,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,Jammerbugt,2016-12-31,2016-01-01,,true,2017-03-25,HjÃ¸rring,,urn:ofk:oid:23804301,indberetninger-20180424,2.5124211,18923475,,2018-03-27T19:35:21.181Z,2017-05-03T13:24:55.034Z,regnskab,0.0,,2016-12-31,2016-01-01,X17-AH-42-KK,2017-05-03T13:24:55.200Z,,,,,,,,,,,,,,,,,,
18923475,2016-01-01,2016-12-31,c305,,http://regnskaber.virk.dk/57432981/ZG9rdW1lbnRsYWdlcjovLzAzLzhmLzVjLzQwLzMwL2RkNTktNDY3Mi05Y2UxLTRjYTgyMzcxODU1MQ.pdf,http://regnskaber.virk.dk/57432981/ZG9rdW1lbnRsYWdlcjovLzAzL2QyLzUwL2ZlLzI4LzkyNTEtNGM5ZS1hOWFlLTE1YzRiZDJmMjE1Mg.xml,true,HjÃ¸rring,9800.0,15.0,NÃ¸rrebro,LÃ¸kken,9480.0,3.0,SÃ¸ndergade,9480 LÃ¸kken,TinghÃ¸jgade 273,DK-9800 HjÃ¸rring,NÃ¸rrebro 15,Til kapitalejerne i TingDesign ApS,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2016 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar - 31. december 2016.",Direktionen anser fortsat betingelserne for at undlade revision for opfyldte.,,2017-03-25,1995-11-08,2017-04-25,,922.0,Statsautoriseret revisor,,,20222670.0,18923475.0,20222670.0,Direktionen har dags dato behandlet og godkendt Ã¥rsrapporten for 1. januar - 31. december 2016 for TingDesign ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Morten Ovesen,Thomas G. Schmidt,Nordjyske Bank,TingDesign ApS,BDO Statsautoriseret revisionsaktieselskab,,LÃ¸kken,2015-01-01,2015-12-31,,,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,Jammerbugt,2016-12-31,2016-01-01,,true,2017-03-25,HjÃ¸rring,,urn:ofk:oid:23804301,indberetninger-20180424,2.5124211,18923475,,2018-03-27T19:35:21.181Z,2017-05-03T13:24:55.034Z,regnskab,0.0,,2016-12-31,2016-01-01,X17-AH-42-KK,2017-05-03T13:24:55.200Z,,,,,,,,,,,,,,,,BDO Statsautoriseret revisionsaktieselskab,,
