entity,start_date,end_date,context,AARSRAPPORT_html,AARSRAPPORT_pdf,AARSRAPPORT_xml,AccountingPoliciesAreUnchangedFromPreviousPeriod,AddressOfAuditorCountry,AddressOfAuditorCountryIdentificationCode,AddressOfAuditorDistrictName,AddressOfAuditorPostCodeIdentifier,AddressOfAuditorStreetBuildingIdentifier,AddressOfAuditorStreetName,AddressOfReportingEntityDistrictName,AddressOfReportingEntityPostCodeIdentifier,AddressOfReportingEntityStreetBuildingIdentifier,AddressOfReportingEntityStreetName,AddressOfSubmittingEnterprisePostcodeAndTown,AddressOfSubmittingEnterpriseStreetAndNumber,AddresseeOfAuditorsReportOnOtherReport,AuditorsReportsOtherReports,AverageNumberOfEmployees,ClassOfReportingEntity,DateOfApprovalOfAnnualReport,DateOfGeneralMeeting,DescriptionOfAuditor,IdentificationNumberCvrOfReportingEntity,IdentificationNumberOfAuditor,IdentificationNumberPnrOfAuditFirm,InformationOnReportingClassOfEntity,InformationOnTypeOfSubmittedReport,NameAndSurnameOfAuditor,NameAndSurnameOfChairmanOfGeneralMeeting,NameAndSurnameOfMemberOfExecutiveBoard,NameOfReportingEntity,NameOfSubmittingEnterprise,PlaceOfSignatureOfStatement,PrecedingReportingPeriodStartDate,PredingReportingPeriodEndDate,ProfitLoss,ReportingPeriodEndDate,ReportingPeriodStartDate,SelectedElementsFromReportingClassC,SignatureOfAuditorsDate,SignatureOfAuditorsPlace,TheCompanyHasPresentedTheAnnualReportEtcWithReferenceToTheDanishFinancialStatementsAct78aConcerningTheExceptionForReportingClassCMediumsizeSubsidiariesWhichChoosesToPresentTheAnnualReportEtcAccordingToReportingClassB,TheReportingEntityAppliesTheExceptionConcerningOptingOutOfTheStatementByManagementEtc,TitleOfMemberOfExecutiveBoard,TypeOfAuditorAssistance,_id,_index,_score,cvrNummer,indlaesningsId,indlaesningsTidspunkt,offentliggoerelsesTidspunkt,offentliggoerelsestype,omgoerelse,regNummer,regnskabsperiode_slutDato,regnskabsperiode_startDato,sagsNummer,sidstOpdateret,GrossProfitLoss,IncomeFromOtherLongtermInvestmentsAndReceivables,OtherFinanceExpenses,ProfitLossFromOrdinaryActivitiesBeforeTax,ProfitLossFromOrdinaryOperatingActivities,TaxExpense,Assets,CashAndCashEquivalents,ContributedCapital,CurrentAssets,Equity,LiabilitiesAndEquity,LiabilitiesOtherThanProvisions,LongtermInvestmentsAndReceivables,LongtermInvestmentsInGroupEnterprises,NoncurrentAssets,OtherShorttermPayables,ProposedDividendRecognisedInEquity,ReserveForNetRevaluationAccordingToEquityMethod,RetainedEarnings,ShorttermLiabilitiesOtherThanProvisions,ShorttermPayablesToGroupEnterprises,ShorttermReceivables,ShorttermTaxReceivables,ShorttermTradePayables,IdentificationNumberCvrOfAuditFirm,NameOfAuditFirm
36729732,2017-01-01,2017-12-31,c10,http://regnskaber.virk.dk/23792763/ZG9rdW1lbnRsYWdlcjovLzAzLzRhL2I0LzllLzg3LzZhZmItNGQyYS05YzljLWFlOGVhYjc3MmFlYw.xhtml,http://regnskaber.virk.dk/23792763/ZG9rdW1lbnRsYWdlcjovLzAzLzQzL2VhLzBlL2YyLzIwMzgtNGI3My04NzhlLTVlYTFhMDIyOTI5Yw.pdf,http://regnskaber.virk.dk/23792763/ZG9rdW1lbnRsYWdlcjovLzAzLzk4LzBjLzBjLzg3LzlmNmUtNGZjMi04ZDg0LWUzNWU2M2U2NTg2ZA.xml,true,Danmark,DK,RudkÃ¸bing,5900.0,55.0,NÃ¸rrebro,Asperup,5466.0,3.0,Timsgyden,5900 RudkÃ¸bing,NÃ¸rrebro 55,Til anpartshaverne i Varneskov Holding ApS,Revisors erklÃ¦ring om opstilling af finansielle oplysninger,0.0,Regnskabsklasse B,2019-03-04,2019-05-09,"Registrerede revisorer, medlem af FSR",36729732.0,mne11207,1000190884.0,"Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.<br xmlns=""http://www.w3.org/1999/xhtml""/>Der er foretaget tilvalg af enkelte regler i regnskabsklasse C.<br xmlns=""http://www.w3.org/1999/xhtml""/>",Ãrsrapport,Michael Aalund,Alan Varneskov,Alan Varneskov,Varneskov Holding ApS,Lennart Hansen,Asperup,2017-01-01,2017-12-31,19331.0,2018-12-31,2018-01-01,true,2019-03-06,RudkÃ¸bing,false,false,DirektÃ¸r,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:27108481,indberetninger-20180424,2.5949402000000004,36729732.0,AWqcKm1mRYGX6_YTHiVH,2019-05-09T10:36:39.025Z,2019-05-09T10:36:26.848Z,regnskab,0.0,,2018-12-31,2018-01-01,X19-AR-30-UN,2019-05-09T10:36:27.102Z,,,,,,,,,,,,,,,,,,,,,,,,,,,
36729732,2017-01-01,2017-12-31,c4,http://regnskaber.virk.dk/23792763/ZG9rdW1lbnRsYWdlcjovLzAzLzRhL2I0LzllLzg3LzZhZmItNGQyYS05YzljLWFlOGVhYjc3MmFlYw.xhtml,http://regnskaber.virk.dk/23792763/ZG9rdW1lbnRsYWdlcjovLzAzLzQzL2VhLzBlL2YyLzIwMzgtNGI3My04NzhlLTVlYTFhMDIyOTI5Yw.pdf,http://regnskaber.virk.dk/23792763/ZG9rdW1lbnRsYWdlcjovLzAzLzk4LzBjLzBjLzg3LzlmNmUtNGZjMi04ZDg0LWUzNWU2M2U2NTg2ZA.xml,true,Danmark,DK,RudkÃ¸bing,5900.0,55.0,NÃ¸rrebro,Asperup,5466.0,3.0,Timsgyden,5900 RudkÃ¸bing,NÃ¸rrebro 55,Til anpartshaverne i Varneskov Holding ApS,Revisors erklÃ¦ring om opstilling af finansielle oplysninger,0.0,Regnskabsklasse B,2019-03-04,2019-05-09,"Registrerede revisorer, medlem af FSR",36729732.0,mne11207,1000190884.0,"Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.<br xmlns=""http://www.w3.org/1999/xhtml""/>Der er foretaget tilvalg af enkelte regler i regnskabsklasse C.<br xmlns=""http://www.w3.org/1999/xhtml""/>",Ãrsrapport,Michael Aalund,Alan Varneskov,Alan Varneskov,Varneskov Holding ApS,Lennart Hansen,Asperup,2017-01-01,2017-12-31,136637.0,2018-12-31,2018-01-01,true,2019-03-06,RudkÃ¸bing,false,false,DirektÃ¸r,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:27108481,indberetninger-20180424,2.5949402000000004,36729732.0,AWqcKm1mRYGX6_YTHiVH,2019-05-09T10:36:39.025Z,2019-05-09T10:36:26.848Z,regnskab,0.0,,2018-12-31,2018-01-01,X19-AR-30-UN,2019-05-09T10:36:27.102Z,-7181.0,142306.0,88.0,135037.0,-7181.0,-1600.0,,,,,,,,,,,,,,,,,,,,,
36729732,2017-01-01,2017-12-31,c6,http://regnskaber.virk.dk/23792763/ZG9rdW1lbnRsYWdlcjovLzAzLzRhL2I0LzllLzg3LzZhZmItNGQyYS05YzljLWFlOGVhYjc3MmFlYw.xhtml,http://regnskaber.virk.dk/23792763/ZG9rdW1lbnRsYWdlcjovLzAzLzQzL2VhLzBlL2YyLzIwMzgtNGI3My04NzhlLTVlYTFhMDIyOTI5Yw.pdf,http://regnskaber.virk.dk/23792763/ZG9rdW1lbnRsYWdlcjovLzAzLzk4LzBjLzBjLzg3LzlmNmUtNGZjMi04ZDg0LWUzNWU2M2U2NTg2ZA.xml,true,Danmark,DK,RudkÃ¸bing,5900.0,55.0,NÃ¸rrebro,Asperup,5466.0,3.0,Timsgyden,5900 RudkÃ¸bing,NÃ¸rrebro 55,Til anpartshaverne i Varneskov Holding ApS,Revisors erklÃ¦ring om opstilling af finansielle oplysninger,0.0,Regnskabsklasse B,2019-03-04,2019-05-09,"Registrerede revisorer, medlem af FSR",36729732.0,mne11207,1000190884.0,"Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.<br xmlns=""http://www.w3.org/1999/xhtml""/>Der er foretaget tilvalg af enkelte regler i regnskabsklasse C.<br xmlns=""http://www.w3.org/1999/xhtml""/>",Ãrsrapport,Michael Aalund,Alan Varneskov,Alan Varneskov,Varneskov Holding ApS,Lennart Hansen,Asperup,2017-01-01,2017-12-31,25000.0,2018-12-31,2018-01-01,true,2019-03-06,RudkÃ¸bing,false,false,DirektÃ¸r,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:27108481,indberetninger-20180424,2.5949402000000004,36729732.0,AWqcKm1mRYGX6_YTHiVH,2019-05-09T10:36:39.025Z,2019-05-09T10:36:26.848Z,regnskab,0.0,,2018-12-31,2018-01-01,X19-AR-30-UN,2019-05-09T10:36:27.102Z,,,,,,,,,,,,,,,,,,,,,,,,,,,
36729732,2017-01-01,2017-12-31,c8,http://regnskaber.virk.dk/23792763/ZG9rdW1lbnRsYWdlcjovLzAzLzRhL2I0LzllLzg3LzZhZmItNGQyYS05YzljLWFlOGVhYjc3MmFlYw.xhtml,http://regnskaber.virk.dk/23792763/ZG9rdW1lbnRsYWdlcjovLzAzLzQzL2VhLzBlL2YyLzIwMzgtNGI3My04NzhlLTVlYTFhMDIyOTI5Yw.pdf,http://regnskaber.virk.dk/23792763/ZG9rdW1lbnRsYWdlcjovLzAzLzk4LzBjLzBjLzg3LzlmNmUtNGZjMi04ZDg0LWUzNWU2M2U2NTg2ZA.xml,true,Danmark,DK,RudkÃ¸bing,5900.0,55.0,NÃ¸rrebro,Asperup,5466.0,3.0,Timsgyden,5900 RudkÃ¸bing,NÃ¸rrebro 55,Til anpartshaverne i Varneskov Holding ApS,Revisors erklÃ¦ring om opstilling af finansielle oplysninger,0.0,Regnskabsklasse B,2019-03-04,2019-05-09,"Registrerede revisorer, medlem af FSR",36729732.0,mne11207,1000190884.0,"Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.<br xmlns=""http://www.w3.org/1999/xhtml""/>Der er foretaget tilvalg af enkelte regler i regnskabsklasse C.<br xmlns=""http://www.w3.org/1999/xhtml""/>",Ãrsrapport,Michael Aalund,Alan Varneskov,Alan Varneskov,Varneskov Holding ApS,Lennart Hansen,Asperup,2017-01-01,2017-12-31,92306.0,2018-12-31,2018-01-01,true,2019-03-06,RudkÃ¸bing,false,false,DirektÃ¸r,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:27108481,indberetninger-20180424,2.5949402000000004,36729732.0,AWqcKm1mRYGX6_YTHiVH,2019-05-09T10:36:39.025Z,2019-05-09T10:36:26.848Z,regnskab,0.0,,2018-12-31,2018-01-01,X19-AR-30-UN,2019-05-09T10:36:27.102Z,,,,,,,,,,,,,,,,,,,,,,,,,,,
36729732,2017-12-31,2017-12-31,c12,http://regnskaber.virk.dk/23792763/ZG9rdW1lbnRsYWdlcjovLzAzLzRhL2I0LzllLzg3LzZhZmItNGQyYS05YzljLWFlOGVhYjc3MmFlYw.xhtml,http://regnskaber.virk.dk/23792763/ZG9rdW1lbnRsYWdlcjovLzAzLzQzL2VhLzBlL2YyLzIwMzgtNGI3My04NzhlLTVlYTFhMDIyOTI5Yw.pdf,http://regnskaber.virk.dk/23792763/ZG9rdW1lbnRsYWdlcjovLzAzLzk4LzBjLzBjLzg3LzlmNmUtNGZjMi04ZDg0LWUzNWU2M2U2NTg2ZA.xml,true,Danmark,DK,RudkÃ¸bing,5900.0,55.0,NÃ¸rrebro,Asperup,5466.0,3.0,Timsgyden,5900 RudkÃ¸bing,NÃ¸rrebro 55,Til anpartshaverne i Varneskov Holding ApS,Revisors erklÃ¦ring om opstilling af finansielle oplysninger,0.0,Regnskabsklasse B,2019-03-04,2019-05-09,"Registrerede revisorer, medlem af FSR",36729732.0,mne11207,1000190884.0,"Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.<br xmlns=""http://www.w3.org/1999/xhtml""/>Der er foretaget tilvalg af enkelte regler i regnskabsklasse C.<br xmlns=""http://www.w3.org/1999/xhtml""/>",Ãrsrapport,Michael Aalund,Alan Varneskov,Alan Varneskov,Varneskov Holding ApS,Lennart Hansen,Asperup,2017-01-01,2017-12-31,,2018-12-31,2018-01-01,true,2019-03-06,RudkÃ¸bing,false,false,DirektÃ¸r,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:27108481,indberetninger-20180424,2.5949402000000004,36729732.0,AWqcKm1mRYGX6_YTHiVH,2019-05-09T10:36:39.025Z,2019-05-09T10:36:26.848Z,regnskab,0.0,,2018-12-31,2018-01-01,X19-AR-30-UN,2019-05-09T10:36:27.102Z,,,,,,,718989.0,6069.0,50000.0,25668.0,693924.0,718989.0,25065.0,693321.0,693321.0,693321.0,18250.0,25000.0,211120.0,407804.0,25065.0,815.0,19599.0,19599.0,6000.0,,
36729732,2018-01-01,2018-12-31,c0,http://regnskaber.virk.dk/23792763/ZG9rdW1lbnRsYWdlcjovLzAzLzRhL2I0LzllLzg3LzZhZmItNGQyYS05YzljLWFlOGVhYjc3MmFlYw.xhtml,http://regnskaber.virk.dk/23792763/ZG9rdW1lbnRsYWdlcjovLzAzLzQzL2VhLzBlL2YyLzIwMzgtNGI3My04NzhlLTVlYTFhMDIyOTI5Yw.pdf,http://regnskaber.virk.dk/23792763/ZG9rdW1lbnRsYWdlcjovLzAzLzk4LzBjLzBjLzg3LzlmNmUtNGZjMi04ZDg0LWUzNWU2M2U2NTg2ZA.xml,true,Danmark,DK,RudkÃ¸bing,5900.0,55.0,NÃ¸rrebro,Asperup,5466.0,3.0,Timsgyden,5900 RudkÃ¸bing,NÃ¸rrebro 55,Til anpartshaverne i Varneskov Holding ApS,Revisors erklÃ¦ring om opstilling af finansielle oplysninger,0.0,Regnskabsklasse B,2019-03-04,2019-05-09,"Registrerede revisorer, medlem af FSR",36729732.0,mne11207,1000190884.0,"Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.<br xmlns=""http://www.w3.org/1999/xhtml""/>Der er foretaget tilvalg af enkelte regler i regnskabsklasse C.<br xmlns=""http://www.w3.org/1999/xhtml""/>",Ãrsrapport,Michael Aalund,Alan Varneskov,Alan Varneskov,Varneskov Holding ApS,Lennart Hansen,Asperup,2017-01-01,2017-12-31,75443.0,2018-12-31,2018-01-01,true,2019-03-06,RudkÃ¸bing,false,false,DirektÃ¸r,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:27108481,indberetninger-20180424,2.5949402000000004,36729732.0,AWqcKm1mRYGX6_YTHiVH,2019-05-09T10:36:39.025Z,2019-05-09T10:36:26.848Z,regnskab,0.0,,2018-12-31,2018-01-01,X19-AR-30-UN,2019-05-09T10:36:27.102Z,-10196.0,85284.0,2396.0,72692.0,-10196.0,-2751.0,,,,,,,,,,,,,,,,,,,,,
36729732,2018-01-01,2018-12-31,c1,http://regnskaber.virk.dk/23792763/ZG9rdW1lbnRsYWdlcjovLzAzLzRhL2I0LzllLzg3LzZhZmItNGQyYS05YzljLWFlOGVhYjc3MmFlYw.xhtml,http://regnskaber.virk.dk/23792763/ZG9rdW1lbnRsYWdlcjovLzAzLzQzL2VhLzBlL2YyLzIwMzgtNGI3My04NzhlLTVlYTFhMDIyOTI5Yw.pdf,http://regnskaber.virk.dk/23792763/ZG9rdW1lbnRsYWdlcjovLzAzLzk4LzBjLzBjLzg3LzlmNmUtNGZjMi04ZDg0LWUzNWU2M2U2NTg2ZA.xml,true,Danmark,DK,RudkÃ¸bing,5900.0,55.0,NÃ¸rrebro,Asperup,5466.0,3.0,Timsgyden,5900 RudkÃ¸bing,NÃ¸rrebro 55,Til anpartshaverne i Varneskov Holding ApS,Revisors erklÃ¦ring om opstilling af finansielle oplysninger,0.0,Regnskabsklasse B,2019-03-04,2019-05-09,"Registrerede revisorer, medlem af FSR",36729732.0,mne11207,1000190884.0,"Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.<br xmlns=""http://www.w3.org/1999/xhtml""/>Der er foretaget tilvalg af enkelte regler i regnskabsklasse C.<br xmlns=""http://www.w3.org/1999/xhtml""/>",Ãrsrapport,Michael Aalund,Alan Varneskov,Alan Varneskov,Varneskov Holding ApS,Lennart Hansen,Asperup,2017-01-01,2017-12-31,,2018-12-31,2018-01-01,true,2019-03-06,RudkÃ¸bing,false,false,DirektÃ¸r,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:27108481,indberetninger-20180424,2.5949402000000004,36729732.0,AWqcKm1mRYGX6_YTHiVH,2019-05-09T10:36:39.025Z,2019-05-09T10:36:26.848Z,regnskab,0.0,,2018-12-31,2018-01-01,X19-AR-30-UN,2019-05-09T10:36:27.102Z,,,,,,,,,,,,,,,,,,,,,,,,,,11157203.0,REVISIONSFIRMAET HARTVIG & AALUND APS
36729732,2018-01-01,2018-12-31,c2,http://regnskaber.virk.dk/23792763/ZG9rdW1lbnRsYWdlcjovLzAzLzRhL2I0LzllLzg3LzZhZmItNGQyYS05YzljLWFlOGVhYjc3MmFlYw.xhtml,http://regnskaber.virk.dk/23792763/ZG9rdW1lbnRsYWdlcjovLzAzLzQzL2VhLzBlL2YyLzIwMzgtNGI3My04NzhlLTVlYTFhMDIyOTI5Yw.pdf,http://regnskaber.virk.dk/23792763/ZG9rdW1lbnRsYWdlcjovLzAzLzk4LzBjLzBjLzg3LzlmNmUtNGZjMi04ZDg0LWUzNWU2M2U2NTg2ZA.xml,true,Danmark,DK,RudkÃ¸bing,5900.0,55.0,NÃ¸rrebro,Asperup,5466.0,3.0,Timsgyden,5900 RudkÃ¸bing,NÃ¸rrebro 55,Til anpartshaverne i Varneskov Holding ApS,Revisors erklÃ¦ring om opstilling af finansielle oplysninger,0.0,Regnskabsklasse B,2019-03-04,2019-05-09,"Registrerede revisorer, medlem af FSR",36729732.0,mne11207,1000190884.0,"Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.<br xmlns=""http://www.w3.org/1999/xhtml""/>Der er foretaget tilvalg af enkelte regler i regnskabsklasse C.<br xmlns=""http://www.w3.org/1999/xhtml""/>",Ãrsrapport,Michael Aalund,Alan Varneskov,Alan Varneskov,Varneskov Holding ApS,Lennart Hansen,Asperup,2017-01-01,2017-12-31,,2018-12-31,2018-01-01,true,2019-03-06,RudkÃ¸bing,false,false,DirektÃ¸r,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:27108481,indberetninger-20180424,2.5949402000000004,36729732.0,AWqcKm1mRYGX6_YTHiVH,2019-05-09T10:36:39.025Z,2019-05-09T10:36:26.848Z,regnskab,0.0,,2018-12-31,2018-01-01,X19-AR-30-UN,2019-05-09T10:36:27.102Z,,,,,,,,,,,,,,,,,,,,,,,,,,,
36729732,2018-01-01,2018-12-31,c3,http://regnskaber.virk.dk/23792763/ZG9rdW1lbnRsYWdlcjovLzAzLzRhL2I0LzllLzg3LzZhZmItNGQyYS05YzljLWFlOGVhYjc3MmFlYw.xhtml,http://regnskaber.virk.dk/23792763/ZG9rdW1lbnRsYWdlcjovLzAzLzQzL2VhLzBlL2YyLzIwMzgtNGI3My04NzhlLTVlYTFhMDIyOTI5Yw.pdf,http://regnskaber.virk.dk/23792763/ZG9rdW1lbnRsYWdlcjovLzAzLzk4LzBjLzBjLzg3LzlmNmUtNGZjMi04ZDg0LWUzNWU2M2U2NTg2ZA.xml,true,Danmark,DK,RudkÃ¸bing,5900.0,55.0,NÃ¸rrebro,Asperup,5466.0,3.0,Timsgyden,5900 RudkÃ¸bing,NÃ¸rrebro 55,Til anpartshaverne i Varneskov Holding ApS,Revisors erklÃ¦ring om opstilling af finansielle oplysninger,0.0,Regnskabsklasse B,2019-03-04,2019-05-09,"Registrerede revisorer, medlem af FSR",36729732.0,mne11207,1000190884.0,"Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.<br xmlns=""http://www.w3.org/1999/xhtml""/>Der er foretaget tilvalg af enkelte regler i regnskabsklasse C.<br xmlns=""http://www.w3.org/1999/xhtml""/>",Ãrsrapport,Michael Aalund,Alan Varneskov,Alan Varneskov,Varneskov Holding ApS,Lennart Hansen,Asperup,2017-01-01,2017-12-31,,2018-12-31,2018-01-01,true,2019-03-06,RudkÃ¸bing,false,false,DirektÃ¸r,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:27108481,indberetninger-20180424,2.5949402000000004,36729732.0,AWqcKm1mRYGX6_YTHiVH,2019-05-09T10:36:39.025Z,2019-05-09T10:36:26.848Z,regnskab,0.0,,2018-12-31,2018-01-01,X19-AR-30-UN,2019-05-09T10:36:27.102Z,,,,,,,,,,,,,,,,,,,,,,,,,,11157203.0,REVISIONSFIRMAET HARTVIG & AALUND APS
36729732,2018-01-01,2018-12-31,c5,http://regnskaber.virk.dk/23792763/ZG9rdW1lbnRsYWdlcjovLzAzLzRhL2I0LzllLzg3LzZhZmItNGQyYS05YzljLWFlOGVhYjc3MmFlYw.xhtml,http://regnskaber.virk.dk/23792763/ZG9rdW1lbnRsYWdlcjovLzAzLzQzL2VhLzBlL2YyLzIwMzgtNGI3My04NzhlLTVlYTFhMDIyOTI5Yw.pdf,http://regnskaber.virk.dk/23792763/ZG9rdW1lbnRsYWdlcjovLzAzLzk4LzBjLzBjLzg3LzlmNmUtNGZjMi04ZDg0LWUzNWU2M2U2NTg2ZA.xml,true,Danmark,DK,RudkÃ¸bing,5900.0,55.0,NÃ¸rrebro,Asperup,5466.0,3.0,Timsgyden,5900 RudkÃ¸bing,NÃ¸rrebro 55,Til anpartshaverne i Varneskov Holding ApS,Revisors erklÃ¦ring om opstilling af finansielle oplysninger,0.0,Regnskabsklasse B,2019-03-04,2019-05-09,"Registrerede revisorer, medlem af FSR",36729732.0,mne11207,1000190884.0,"Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.<br xmlns=""http://www.w3.org/1999/xhtml""/>Der er foretaget tilvalg af enkelte regler i regnskabsklasse C.<br xmlns=""http://www.w3.org/1999/xhtml""/>",Ãrsrapport,Michael Aalund,Alan Varneskov,Alan Varneskov,Varneskov Holding ApS,Lennart Hansen,Asperup,2017-01-01,2017-12-31,25000.0,2018-12-31,2018-01-01,true,2019-03-06,RudkÃ¸bing,false,false,DirektÃ¸r,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:27108481,indberetninger-20180424,2.5949402000000004,36729732.0,AWqcKm1mRYGX6_YTHiVH,2019-05-09T10:36:39.025Z,2019-05-09T10:36:26.848Z,regnskab,0.0,,2018-12-31,2018-01-01,X19-AR-30-UN,2019-05-09T10:36:27.102Z,,,,,,,,,,,,,,,,,,,,,,,,,,,
