entity,start_date,end_date,context,AARSRAPPORT_html,AARSRAPPORT_pdf,AARSRAPPORT_xml,AddressOfAuditorStreetBuildingIdentifier,AddressOfAuditorStreetName,AddressOfFinancialCountry,AddressOfFinancialDistrictName,AddressOfFinancialPostCodeIdentifier,AddressOfFinancialStreetName,AddressOfReportingEntityDistrictName,AddressOfReportingEntityPostCodeIdentifier,AddressOfReportingEntityStreetBuildingIdentifier,AddressOfReportingEntityStreetName,AddressOfSubmittingEnterprisePostcodeAndTown,AddressOfSubmittingEnterpriseStreetAndNumber,AuditorsReportsOtherReports,ClassOfReportingEntity,DateOfGeneralMeeting,DisclosureOfMainActivitiesAndAccountingAndFinancialMatters,DisclosureOfMortgagesAndCollaterals,EmailOfReportingEntity,IdentificationNumberCvrOfReportingEntity,InformationOnReportingClassOfEntity,InformationOnTypeOfSubmittedReport,LongtermLiabilitiesOtherThanProvisions,LongtermTaxPayables,NameAndSurnameOfChairmanOfGeneralMeeting,NameAndSurnameOfMemberOfExecutiveBoard,NameOfAuditFirm,NameOfFinancialInstitution,NameOfReportingEntity,NameOfSubmittingEnterprise,PrecedingReportingPeriodStartDate,PredingReportingPeriodEndDate,ProfitLoss,ReportingPeriodEndDate,ReportingPeriodStartDate,TelephoneNumberOfReportingEntity,TheReportingEntityAppliesTheExceptionConcerningOptingOutOfTheStatementByManagementEtc,TypeOfAuditorAssistance,_id,_index,_score,cvrNummer,indlaesningsId,indlaesningsTidspunkt,offentliggoerelsesTidspunkt,offentliggoerelsestype,omgoerelse,regNummer,regnskabsperiode_slutDato,regnskabsperiode_startDato,sagsNummer,sidstOpdateret,DepreciationAmortisationExpenseAndImpairmentLossesOfPropertyPlantAndEquipmentAndIntangibleAssetsRecognisedInProfitOrLoss,EmployeeBenefitsExpense,GrossProfitLoss,OtherFinanceExpenses,OtherFinanceIncome,OtherFinanceIncomeFromGroupEnterprises,ProfitLossFromOrdinaryActivitiesBeforeTax,ProfitLossFromOrdinaryOperatingActivities,TaxExpense,Assets,CashAndCashEquivalents,ContributedCapital,CurrentAssets,CurrentDeferredTaxAssets,Equity,FixturesFittingsToolsAndEquipment,Inventories,LiabilitiesAndEquity,LiabilitiesOtherThanProvisions,LongtermInvestmentsAndReceivables,ManufacturedGoodsAndGoodsForResale,NoncurrentAssets,OtherLongtermInvestments,OtherShorttermPayables,OtherShorttermReceivables,PropertyPlantAndEquipment,ProposedDividendRecognisedInEquity,RetainedEarnings,ShorttermDebtToBanks,ShorttermLiabilitiesOtherThanProvisions,ShorttermReceivables,ShorttermReceivablesFromGroupEnterprises,ShorttermTaxReceivables,ShorttermTradePayables,ShorttermTradeReceivables,NameAndSurnameOfMemberOfSupervisoryBoard
10660289,2013-10-01,2014-09-30,c10,http://regnskaber.virk.dk/98206601/ZG9rdW1lbnRsYWdlcjovLzAzL2ZmLzJhL2E0LzUyL2NlNGYtNDhjOC04M2NiLWI1MDVhNjg3ODgxMg.xhtml,http://regnskaber.virk.dk/98206601/ZG9rdW1lbnRsYWdlcjovLzAzLzA0LzEwLzFiL2YzLzJmMjEtNDFlMS1iOGM0LTllNmE0NGYyNmU4OA.pdf,http://regnskaber.virk.dk/98206601/ZG9rdW1lbnRsYWdlcjovLzAzLzk3LzFiLzk5LzgzLzFhYjgtNGUyNi1iMmMyLWNkNjBhMjlmMzAzZA.xml,6000 Kolding,LÃ¥sbygade 81,DK,Vejle,7100.0,Enghavevej 1,Vandel,7184.0,91.0,Hans Thomsens Vej,7190 Billund,Lindevej 12,Revisors erklÃ¦ring om opstilling af Ã¥rsregnskab,"Regnskabsklasse B, mikrovirksomhed",2015-12-30,"<p xmlns=""http://www.w3.org/1999/xhtml"">Ãrets resultat er sÃ¦rdeles tilfredsstillende.</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">7. PantsÃ¦tninger og sikkerhedsstillelser Selskabet har deponeret ejerpantebrev pÃ¥ i alt 302 t.kr. til sikkerhed for bankgÃ¦ld. Ejerpantebrevet giver pant i materielle anlÃ¦gsaktiver.</p>",jemix@peva.dk,10660289.0,"Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B, mikrovirksomhed.",Ãrsrapport,65579.0,65579.0,Jens Volby Michaelsen,Jens Voldby Michaelsen,Stataut. Revisor Ivan Christensen,Middelfart Sparekasse,Jemix A/S,Helle Michaelsen,2013-10-01,2014-09-30,70540.0,2015-09-30,2014-10-01,75332600.0,false,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:21946838,indberetninger-20180424,2.5953732000000005,10660289.0,,2018-03-28T18:00:55.408Z,2016-02-01T16:40:43.404Z,regnskab,0.0,,2015-09-30,2014-10-01,X16-AP-48-DT,2016-02-01T16:40:43.555Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10660289,2013-10-01,2014-09-30,c6,http://regnskaber.virk.dk/98206601/ZG9rdW1lbnRsYWdlcjovLzAzL2ZmLzJhL2E0LzUyL2NlNGYtNDhjOC04M2NiLWI1MDVhNjg3ODgxMg.xhtml,http://regnskaber.virk.dk/98206601/ZG9rdW1lbnRsYWdlcjovLzAzLzA0LzEwLzFiL2YzLzJmMjEtNDFlMS1iOGM0LTllNmE0NGYyNmU4OA.pdf,http://regnskaber.virk.dk/98206601/ZG9rdW1lbnRsYWdlcjovLzAzLzk3LzFiLzk5LzgzLzFhYjgtNGUyNi1iMmMyLWNkNjBhMjlmMzAzZA.xml,6000 Kolding,LÃ¥sbygade 81,DK,Vejle,7100.0,Enghavevej 1,Vandel,7184.0,91.0,Hans Thomsens Vej,7190 Billund,Lindevej 12,Revisors erklÃ¦ring om opstilling af Ã¥rsregnskab,"Regnskabsklasse B, mikrovirksomhed",2015-12-30,"<p xmlns=""http://www.w3.org/1999/xhtml"">Ãrets resultat er sÃ¦rdeles tilfredsstillende.</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">7. PantsÃ¦tninger og sikkerhedsstillelser Selskabet har deponeret ejerpantebrev pÃ¥ i alt 302 t.kr. til sikkerhed for bankgÃ¦ld. Ejerpantebrevet giver pant i materielle anlÃ¦gsaktiver.</p>",jemix@peva.dk,10660289.0,"Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B, mikrovirksomhed.",Ãrsrapport,65579.0,65579.0,Jens Volby Michaelsen,Jens Voldby Michaelsen,Stataut. Revisor Ivan Christensen,Middelfart Sparekasse,Jemix A/S,Helle Michaelsen,2013-10-01,2014-09-30,170540.0,2015-09-30,2014-10-01,75332600.0,false,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:21946838,indberetninger-20180424,2.5953732000000005,10660289.0,,2018-03-28T18:00:55.408Z,2016-02-01T16:40:43.404Z,regnskab,0.0,,2015-09-30,2014-10-01,X16-AP-48-DT,2016-02-01T16:40:43.555Z,41787.0,1235390.0,1531236.0,73148.0,34211.0,4656.0,219778.0,254059.0,49238.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
10660289,2013-10-01,2014-09-30,c8,http://regnskaber.virk.dk/98206601/ZG9rdW1lbnRsYWdlcjovLzAzL2ZmLzJhL2E0LzUyL2NlNGYtNDhjOC04M2NiLWI1MDVhNjg3ODgxMg.xhtml,http://regnskaber.virk.dk/98206601/ZG9rdW1lbnRsYWdlcjovLzAzLzA0LzEwLzFiL2YzLzJmMjEtNDFlMS1iOGM0LTllNmE0NGYyNmU4OA.pdf,http://regnskaber.virk.dk/98206601/ZG9rdW1lbnRsYWdlcjovLzAzLzk3LzFiLzk5LzgzLzFhYjgtNGUyNi1iMmMyLWNkNjBhMjlmMzAzZA.xml,6000 Kolding,LÃ¥sbygade 81,DK,Vejle,7100.0,Enghavevej 1,Vandel,7184.0,91.0,Hans Thomsens Vej,7190 Billund,Lindevej 12,Revisors erklÃ¦ring om opstilling af Ã¥rsregnskab,"Regnskabsklasse B, mikrovirksomhed",2015-12-30,"<p xmlns=""http://www.w3.org/1999/xhtml"">Ãrets resultat er sÃ¦rdeles tilfredsstillende.</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">7. PantsÃ¦tninger og sikkerhedsstillelser Selskabet har deponeret ejerpantebrev pÃ¥ i alt 302 t.kr. til sikkerhed for bankgÃ¦ld. Ejerpantebrevet giver pant i materielle anlÃ¦gsaktiver.</p>",jemix@peva.dk,10660289.0,"Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B, mikrovirksomhed.",Ãrsrapport,65579.0,65579.0,Jens Volby Michaelsen,Jens Voldby Michaelsen,Stataut. Revisor Ivan Christensen,Middelfart Sparekasse,Jemix A/S,Helle Michaelsen,2013-10-01,2014-09-30,100000.0,2015-09-30,2014-10-01,75332600.0,false,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:21946838,indberetninger-20180424,2.5953732000000005,10660289.0,,2018-03-28T18:00:55.408Z,2016-02-01T16:40:43.404Z,regnskab,0.0,,2015-09-30,2014-10-01,X16-AP-48-DT,2016-02-01T16:40:43.555Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10660289,2014-09-30,2014-09-30,c12,http://regnskaber.virk.dk/98206601/ZG9rdW1lbnRsYWdlcjovLzAzL2ZmLzJhL2E0LzUyL2NlNGYtNDhjOC04M2NiLWI1MDVhNjg3ODgxMg.xhtml,http://regnskaber.virk.dk/98206601/ZG9rdW1lbnRsYWdlcjovLzAzLzA0LzEwLzFiL2YzLzJmMjEtNDFlMS1iOGM0LTllNmE0NGYyNmU4OA.pdf,http://regnskaber.virk.dk/98206601/ZG9rdW1lbnRsYWdlcjovLzAzLzk3LzFiLzk5LzgzLzFhYjgtNGUyNi1iMmMyLWNkNjBhMjlmMzAzZA.xml,6000 Kolding,LÃ¥sbygade 81,DK,Vejle,7100.0,Enghavevej 1,Vandel,7184.0,91.0,Hans Thomsens Vej,7190 Billund,Lindevej 12,Revisors erklÃ¦ring om opstilling af Ã¥rsregnskab,"Regnskabsklasse B, mikrovirksomhed",2015-12-30,"<p xmlns=""http://www.w3.org/1999/xhtml"">Ãrets resultat er sÃ¦rdeles tilfredsstillende.</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">7. PantsÃ¦tninger og sikkerhedsstillelser Selskabet har deponeret ejerpantebrev pÃ¥ i alt 302 t.kr. til sikkerhed for bankgÃ¦ld. Ejerpantebrevet giver pant i materielle anlÃ¦gsaktiver.</p>",jemix@peva.dk,10660289.0,"Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B, mikrovirksomhed.",Ãrsrapport,65579.0,65579.0,Jens Volby Michaelsen,Jens Voldby Michaelsen,Stataut. Revisor Ivan Christensen,Middelfart Sparekasse,Jemix A/S,Helle Michaelsen,2013-10-01,2014-09-30,,2015-09-30,2014-10-01,75332600.0,false,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:21946838,indberetninger-20180424,2.5953732000000005,10660289.0,,2018-03-28T18:00:55.408Z,2016-02-01T16:40:43.404Z,regnskab,0.0,,2015-09-30,2014-10-01,X16-AP-48-DT,2016-02-01T16:40:43.555Z,,,,,,,,,,1913006.0,3.0,520000.0,1847712.0,31535.0,647805.0,60286.0,697016.0,1913006.0,1265201.0,5008.0,697016.0,65294.0,5008.0,315533.0,37500.0,60286.0,100000.0,27805.0,765968.0,1265201.0,1150693.0,123764.0,22000.0,183700.0,935894.0,
10660289,2014-10-01,2015-09-30,c0,http://regnskaber.virk.dk/98206601/ZG9rdW1lbnRsYWdlcjovLzAzL2ZmLzJhL2E0LzUyL2NlNGYtNDhjOC04M2NiLWI1MDVhNjg3ODgxMg.xhtml,http://regnskaber.virk.dk/98206601/ZG9rdW1lbnRsYWdlcjovLzAzLzA0LzEwLzFiL2YzLzJmMjEtNDFlMS1iOGM0LTllNmE0NGYyNmU4OA.pdf,http://regnskaber.virk.dk/98206601/ZG9rdW1lbnRsYWdlcjovLzAzLzk3LzFiLzk5LzgzLzFhYjgtNGUyNi1iMmMyLWNkNjBhMjlmMzAzZA.xml,6000 Kolding,LÃ¥sbygade 81,DK,Vejle,7100.0,Enghavevej 1,Vandel,7184.0,91.0,Hans Thomsens Vej,7190 Billund,Lindevej 12,Revisors erklÃ¦ring om opstilling af Ã¥rsregnskab,"Regnskabsklasse B, mikrovirksomhed",2015-12-30,"<p xmlns=""http://www.w3.org/1999/xhtml"">Ãrets resultat er sÃ¦rdeles tilfredsstillende.</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">7. PantsÃ¦tninger og sikkerhedsstillelser Selskabet har deponeret ejerpantebrev pÃ¥ i alt 302 t.kr. til sikkerhed for bankgÃ¦ld. Ejerpantebrevet giver pant i materielle anlÃ¦gsaktiver.</p>",jemix@peva.dk,10660289.0,"Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B, mikrovirksomhed.",Ãrsrapport,65579.0,65579.0,Jens Volby Michaelsen,Jens Voldby Michaelsen,Stataut. Revisor Ivan Christensen,Middelfart Sparekasse,Jemix A/S,Helle Michaelsen,2013-10-01,2014-09-30,253173.0,2015-09-30,2014-10-01,75332600.0,false,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:21946838,indberetninger-20180424,2.5953732000000005,10660289.0,,2018-03-28T18:00:55.408Z,2016-02-01T16:40:43.404Z,regnskab,0.0,,2015-09-30,2014-10-01,X16-AP-48-DT,2016-02-01T16:40:43.555Z,23325.0,1266414.0,1669162.0,80291.0,29011.0,4920.0,333063.0,379423.0,79890.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
10660289,2014-10-01,2015-09-30,c1,http://regnskaber.virk.dk/98206601/ZG9rdW1lbnRsYWdlcjovLzAzL2ZmLzJhL2E0LzUyL2NlNGYtNDhjOC04M2NiLWI1MDVhNjg3ODgxMg.xhtml,http://regnskaber.virk.dk/98206601/ZG9rdW1lbnRsYWdlcjovLzAzLzA0LzEwLzFiL2YzLzJmMjEtNDFlMS1iOGM0LTllNmE0NGYyNmU4OA.pdf,http://regnskaber.virk.dk/98206601/ZG9rdW1lbnRsYWdlcjovLzAzLzk3LzFiLzk5LzgzLzFhYjgtNGUyNi1iMmMyLWNkNjBhMjlmMzAzZA.xml,6000 Kolding,LÃ¥sbygade 81,DK,Vejle,7100.0,Enghavevej 1,Vandel,7184.0,91.0,Hans Thomsens Vej,7190 Billund,Lindevej 12,Revisors erklÃ¦ring om opstilling af Ã¥rsregnskab,"Regnskabsklasse B, mikrovirksomhed",2015-12-30,"<p xmlns=""http://www.w3.org/1999/xhtml"">Ãrets resultat er sÃ¦rdeles tilfredsstillende.</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">7. PantsÃ¦tninger og sikkerhedsstillelser Selskabet har deponeret ejerpantebrev pÃ¥ i alt 302 t.kr. til sikkerhed for bankgÃ¦ld. Ejerpantebrevet giver pant i materielle anlÃ¦gsaktiver.</p>",jemix@peva.dk,10660289.0,"Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B, mikrovirksomhed.",Ãrsrapport,65579.0,65579.0,Jens Volby Michaelsen,Jens Voldby Michaelsen,Stataut. Revisor Ivan Christensen,Middelfart Sparekasse,Jemix A/S,Helle Michaelsen,2013-10-01,2014-09-30,,2015-09-30,2014-10-01,75332600.0,false,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:21946838,indberetninger-20180424,2.5953732000000005,10660289.0,,2018-03-28T18:00:55.408Z,2016-02-01T16:40:43.404Z,regnskab,0.0,,2015-09-30,2014-10-01,X16-AP-48-DT,2016-02-01T16:40:43.555Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10660289,2014-10-01,2015-09-30,c2,http://regnskaber.virk.dk/98206601/ZG9rdW1lbnRsYWdlcjovLzAzL2ZmLzJhL2E0LzUyL2NlNGYtNDhjOC04M2NiLWI1MDVhNjg3ODgxMg.xhtml,http://regnskaber.virk.dk/98206601/ZG9rdW1lbnRsYWdlcjovLzAzLzA0LzEwLzFiL2YzLzJmMjEtNDFlMS1iOGM0LTllNmE0NGYyNmU4OA.pdf,http://regnskaber.virk.dk/98206601/ZG9rdW1lbnRsYWdlcjovLzAzLzk3LzFiLzk5LzgzLzFhYjgtNGUyNi1iMmMyLWNkNjBhMjlmMzAzZA.xml,6000 Kolding,LÃ¥sbygade 81,DK,Vejle,7100.0,Enghavevej 1,Vandel,7184.0,91.0,Hans Thomsens Vej,7190 Billund,Lindevej 12,Revisors erklÃ¦ring om opstilling af Ã¥rsregnskab,"Regnskabsklasse B, mikrovirksomhed",2015-12-30,"<p xmlns=""http://www.w3.org/1999/xhtml"">Ãrets resultat er sÃ¦rdeles tilfredsstillende.</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">7. PantsÃ¦tninger og sikkerhedsstillelser Selskabet har deponeret ejerpantebrev pÃ¥ i alt 302 t.kr. til sikkerhed for bankgÃ¦ld. Ejerpantebrevet giver pant i materielle anlÃ¦gsaktiver.</p>",jemix@peva.dk,10660289.0,"Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B, mikrovirksomhed.",Ãrsrapport,65579.0,65579.0,Jens Volby Michaelsen,Jens Voldby Michaelsen,Stataut. Revisor Ivan Christensen,Middelfart Sparekasse,Jemix A/S,Helle Michaelsen,2013-10-01,2014-09-30,,2015-09-30,2014-10-01,75332600.0,false,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:21946838,indberetninger-20180424,2.5953732000000005,10660289.0,,2018-03-28T18:00:55.408Z,2016-02-01T16:40:43.404Z,regnskab,0.0,,2015-09-30,2014-10-01,X16-AP-48-DT,2016-02-01T16:40:43.555Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10660289,2014-10-01,2015-09-30,c3,http://regnskaber.virk.dk/98206601/ZG9rdW1lbnRsYWdlcjovLzAzL2ZmLzJhL2E0LzUyL2NlNGYtNDhjOC04M2NiLWI1MDVhNjg3ODgxMg.xhtml,http://regnskaber.virk.dk/98206601/ZG9rdW1lbnRsYWdlcjovLzAzLzA0LzEwLzFiL2YzLzJmMjEtNDFlMS1iOGM0LTllNmE0NGYyNmU4OA.pdf,http://regnskaber.virk.dk/98206601/ZG9rdW1lbnRsYWdlcjovLzAzLzk3LzFiLzk5LzgzLzFhYjgtNGUyNi1iMmMyLWNkNjBhMjlmMzAzZA.xml,6000 Kolding,LÃ¥sbygade 81,DK,Vejle,7100.0,Enghavevej 1,Vandel,7184.0,91.0,Hans Thomsens Vej,7190 Billund,Lindevej 12,Revisors erklÃ¦ring om opstilling af Ã¥rsregnskab,"Regnskabsklasse B, mikrovirksomhed",2015-12-30,"<p xmlns=""http://www.w3.org/1999/xhtml"">Ãrets resultat er sÃ¦rdeles tilfredsstillende.</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">7. PantsÃ¦tninger og sikkerhedsstillelser Selskabet har deponeret ejerpantebrev pÃ¥ i alt 302 t.kr. til sikkerhed for bankgÃ¦ld. Ejerpantebrevet giver pant i materielle anlÃ¦gsaktiver.</p>",jemix@peva.dk,10660289.0,"Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B, mikrovirksomhed.",Ãrsrapport,65579.0,65579.0,Jens Volby Michaelsen,Jens Voldby Michaelsen,Stataut. Revisor Ivan Christensen,Middelfart Sparekasse,Jemix A/S,Helle Michaelsen,2013-10-01,2014-09-30,,2015-09-30,2014-10-01,75332600.0,false,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:21946838,indberetninger-20180424,2.5953732000000005,10660289.0,,2018-03-28T18:00:55.408Z,2016-02-01T16:40:43.404Z,regnskab,0.0,,2015-09-30,2014-10-01,X16-AP-48-DT,2016-02-01T16:40:43.555Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kjeld Norup
10660289,2014-10-01,2015-09-30,c4,http://regnskaber.virk.dk/98206601/ZG9rdW1lbnRsYWdlcjovLzAzL2ZmLzJhL2E0LzUyL2NlNGYtNDhjOC04M2NiLWI1MDVhNjg3ODgxMg.xhtml,http://regnskaber.virk.dk/98206601/ZG9rdW1lbnRsYWdlcjovLzAzLzA0LzEwLzFiL2YzLzJmMjEtNDFlMS1iOGM0LTllNmE0NGYyNmU4OA.pdf,http://regnskaber.virk.dk/98206601/ZG9rdW1lbnRsYWdlcjovLzAzLzk3LzFiLzk5LzgzLzFhYjgtNGUyNi1iMmMyLWNkNjBhMjlmMzAzZA.xml,6000 Kolding,LÃ¥sbygade 81,DK,Vejle,7100.0,Enghavevej 1,Vandel,7184.0,91.0,Hans Thomsens Vej,7190 Billund,Lindevej 12,Revisors erklÃ¦ring om opstilling af Ã¥rsregnskab,"Regnskabsklasse B, mikrovirksomhed",2015-12-30,"<p xmlns=""http://www.w3.org/1999/xhtml"">Ãrets resultat er sÃ¦rdeles tilfredsstillende.</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">7. PantsÃ¦tninger og sikkerhedsstillelser Selskabet har deponeret ejerpantebrev pÃ¥ i alt 302 t.kr. til sikkerhed for bankgÃ¦ld. Ejerpantebrevet giver pant i materielle anlÃ¦gsaktiver.</p>",jemix@peva.dk,10660289.0,"Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B, mikrovirksomhed.",Ãrsrapport,65579.0,65579.0,Jens Volby Michaelsen,Jens Voldby Michaelsen,Stataut. Revisor Ivan Christensen,Middelfart Sparekasse,Jemix A/S,Helle Michaelsen,2013-10-01,2014-09-30,,2015-09-30,2014-10-01,75332600.0,false,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:21946838,indberetninger-20180424,2.5953732000000005,10660289.0,,2018-03-28T18:00:55.408Z,2016-02-01T16:40:43.404Z,regnskab,0.0,,2015-09-30,2014-10-01,X16-AP-48-DT,2016-02-01T16:40:43.555Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Jens Voldby Michaelsen
10660289,2014-10-01,2015-09-30,c5,http://regnskaber.virk.dk/98206601/ZG9rdW1lbnRsYWdlcjovLzAzL2ZmLzJhL2E0LzUyL2NlNGYtNDhjOC04M2NiLWI1MDVhNjg3ODgxMg.xhtml,http://regnskaber.virk.dk/98206601/ZG9rdW1lbnRsYWdlcjovLzAzLzA0LzEwLzFiL2YzLzJmMjEtNDFlMS1iOGM0LTllNmE0NGYyNmU4OA.pdf,http://regnskaber.virk.dk/98206601/ZG9rdW1lbnRsYWdlcjovLzAzLzk3LzFiLzk5LzgzLzFhYjgtNGUyNi1iMmMyLWNkNjBhMjlmMzAzZA.xml,6000 Kolding,LÃ¥sbygade 81,DK,Vejle,7100.0,Enghavevej 1,Vandel,7184.0,91.0,Hans Thomsens Vej,7190 Billund,Lindevej 12,Revisors erklÃ¦ring om opstilling af Ã¥rsregnskab,"Regnskabsklasse B, mikrovirksomhed",2015-12-30,"<p xmlns=""http://www.w3.org/1999/xhtml"">Ãrets resultat er sÃ¦rdeles tilfredsstillende.</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">7. PantsÃ¦tninger og sikkerhedsstillelser Selskabet har deponeret ejerpantebrev pÃ¥ i alt 302 t.kr. til sikkerhed for bankgÃ¦ld. Ejerpantebrevet giver pant i materielle anlÃ¦gsaktiver.</p>",jemix@peva.dk,10660289.0,"Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B, mikrovirksomhed.",Ãrsrapport,65579.0,65579.0,Jens Volby Michaelsen,Jens Voldby Michaelsen,Stataut. Revisor Ivan Christensen,Middelfart Sparekasse,Jemix A/S,Helle Michaelsen,2013-10-01,2014-09-30,,2015-09-30,2014-10-01,75332600.0,false,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:21946838,indberetninger-20180424,2.5953732000000005,10660289.0,,2018-03-28T18:00:55.408Z,2016-02-01T16:40:43.404Z,regnskab,0.0,,2015-09-30,2014-10-01,X16-AP-48-DT,2016-02-01T16:40:43.555Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Helle Hasselager Michaelsen
