entity,start_date,end_date,context,AARSRAPPORT_html,AARSRAPPORT_pdf,AARSRAPPORT_xml,AccountingPoliciesAreUnchangedFromPreviousPeriod,AddressOfAuditorCountry,AddressOfAuditorCountryIdentificationCode,AddressOfAuditorDistrictName,AddressOfAuditorPostCodeIdentifier,AddressOfAuditorStreetBuildingIdentifier,AddressOfAuditorStreetName,AddressOfReportingEntityDistrictName,AddressOfReportingEntityPostCodeIdentifier,AddressOfReportingEntityStreetBuildingIdentifier,AddressOfReportingEntityStreetName,AddressOfSubmittingEnterprisePostcodeAndTown,AddressOfSubmittingEnterpriseStreetAndNumber,AddresseeOfAuditorsReportOnOtherReport,AuditorsReportsOtherReports,ClassOfReportingEntity,DateOfApprovalOfAnnualReport,DateOfGeneralMeeting,DescriptionOfAuditor,GrossProfitLoss,IdentificationNumberCvrOfReportingEntity,IdentificationNumberPnrOfAuditFirm,InformationOnReportingClassOfEntity,InformationOnTypeOfSubmittedReport,NameAndSurnameOfAuditor,NameAndSurnameOfChairmanOfGeneralMeeting,NameAndSurnameOfMemberOfExecutiveBoard,NameOfReportingEntity,NameOfSubmittingEnterprise,OtherFinanceExpenses,OtherFinanceIncome,OtherFinanceIncomeFromGroupEnterprises,PlaceOfSignatureOfStatement,PrecedingReportingPeriodStartDate,PredingReportingPeriodEndDate,ProfitLoss,ProfitLossFromOrdinaryActivitiesBeforeTax,ProfitLossFromOrdinaryOperatingActivities,ReportingPeriodEndDate,ReportingPeriodStartDate,SelectedElementsFromReportingClassC,SelectedElementsFromReportingClassD,SignatureOfAuditorsDate,SignatureOfAuditorsPlace,TaxExpense,TheCompanyHasPresentedTheAnnualReportEtcWithReferenceToTheDanishFinancialStatementsAct78aConcerningTheExceptionForReportingClassCMediumsizeSubsidiariesWhichChoosesToPresentTheAnnualReportEtcAccordingToReportingClassB,TheReportingEntityAppliesTheExceptionConcerningOptingOutOfTheStatementByManagementEtc,TitleOfMemberOfExecutiveBoard,TypeOfAuditorAssistance,_id,_index,_score,cvrNummer,indlaesningsId,indlaesningsTidspunkt,offentliggoerelsesTidspunkt,offentliggoerelsestype,omgoerelse,regNummer,regnskabsperiode_slutDato,regnskabsperiode_startDato,sagsNummer,sidstOpdateret,Assets,CashAndCashEquivalents,ContributedCapital,CurrentAssets,CurrentDeferredTaxAssets,Equity,FixturesFittingsToolsAndEquipment,Inventories,LiabilitiesAndEquity,LiabilitiesOtherThanProvisions,ManufacturedGoodsAndGoodsForResale,NoncurrentAssets,OtherShorttermReceivables,PropertyPlantAndEquipment,RetainedEarnings,ShorttermLiabilitiesOtherThanProvisions,ShorttermPayablesToShareholdersAndManagement,ShorttermReceivables,IdentificationNumberCvrOfAuditFirm,NameOfAuditFirm,NameAndSurnameOfMemberOfSupervisoryBoard
19861686,2014-01-01,2014-12-31,c5,http://regnskaber.virk.dk/68616891/ZG9rdW1lbnRsYWdlcjovLzAzLzA4L2JjLzBmL2QxLzMyOGEtNGQ3MS1iNzczLTcwYWVhZWQ0ODg0YQ.xhtml,http://regnskaber.virk.dk/68616891/ZG9rdW1lbnRsYWdlcjovLzAzLzUyL2FiLzZmLzhhLzMwZmEtNDU2Yi1hZWMwLThmMDg2NDdlOTdiNQ.pdf,http://regnskaber.virk.dk/68616891/ZG9rdW1lbnRsYWdlcjovLzAzLzdhL2I3LzUwLzNlLzE0YWItNDc1YS1hYjUxLWRiYzg5NDc1ZTBkMg.xml,true,Danmark,DK,BirkerÃ¸d,3460.0,8.0,Hovedgaden,Gentofte,2820.0,15.0,ToftekÃ¦rsvej,3460 BirkerÃ¸d,Hovedgaden 8,Til den daglige ledelse i Nordic Knit ApS,Revisors erklÃ¦ring om opstilling af Ã¥rsrapport,Regnskabsklasse B,2016-05-11,2016-05-11,Registreret revisor HD/CAND. MERC. AUD.,-47504.0,19861686.0,1000916331.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Erik Hultquist,Peter Magni Englesson,Peter Magni Englesson,NORDIC KNIT ApS,Erik Hultquist,768.0,0.0,573577.0,Gentofte,2014-01-01,2014-12-31,574890.0,525305.0,-47504.0,2015-12-31,2015-01-01,false,false,2016-05-11,BirkerÃ¸d,-49585.0,false,false,DirektÃ¸r,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:22365964,indberetninger-20180424,2.5955422,19861686.0,,2018-03-28T20:09:02.299Z,2016-05-16T10:22:42.191Z,regnskab,0.0,,2015-12-31,2015-01-01,X16-AV-57-JB,2016-05-16T10:22:42.331Z,,,,,,,,,,,,,,,,,,,,,
19861686,2014-01-01,2014-12-31,c7,http://regnskaber.virk.dk/68616891/ZG9rdW1lbnRsYWdlcjovLzAzLzA4L2JjLzBmL2QxLzMyOGEtNGQ3MS1iNzczLTcwYWVhZWQ0ODg0YQ.xhtml,http://regnskaber.virk.dk/68616891/ZG9rdW1lbnRsYWdlcjovLzAzLzUyL2FiLzZmLzhhLzMwZmEtNDU2Yi1hZWMwLThmMDg2NDdlOTdiNQ.pdf,http://regnskaber.virk.dk/68616891/ZG9rdW1lbnRsYWdlcjovLzAzLzdhL2I3LzUwLzNlLzE0YWItNDc1YS1hYjUxLWRiYzg5NDc1ZTBkMg.xml,true,Danmark,DK,BirkerÃ¸d,3460.0,8.0,Hovedgaden,Gentofte,2820.0,15.0,ToftekÃ¦rsvej,3460 BirkerÃ¸d,Hovedgaden 8,Til den daglige ledelse i Nordic Knit ApS,Revisors erklÃ¦ring om opstilling af Ã¥rsrapport,Regnskabsklasse B,2016-05-11,2016-05-11,Registreret revisor HD/CAND. MERC. AUD.,,19861686.0,1000916331.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Erik Hultquist,Peter Magni Englesson,Peter Magni Englesson,NORDIC KNIT ApS,Erik Hultquist,,,,Gentofte,2014-01-01,2014-12-31,574890.0,,,2015-12-31,2015-01-01,false,false,2016-05-11,BirkerÃ¸d,,false,false,DirektÃ¸r,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:22365964,indberetninger-20180424,2.5955422,19861686.0,,2018-03-28T20:09:02.299Z,2016-05-16T10:22:42.191Z,regnskab,0.0,,2015-12-31,2015-01-01,X16-AV-57-JB,2016-05-16T10:22:42.331Z,,,,,,,,,,,,,,,,,,,,,
19861686,2014-12-31,2014-12-31,c9,http://regnskaber.virk.dk/68616891/ZG9rdW1lbnRsYWdlcjovLzAzLzA4L2JjLzBmL2QxLzMyOGEtNGQ3MS1iNzczLTcwYWVhZWQ0ODg0YQ.xhtml,http://regnskaber.virk.dk/68616891/ZG9rdW1lbnRsYWdlcjovLzAzLzUyL2FiLzZmLzhhLzMwZmEtNDU2Yi1hZWMwLThmMDg2NDdlOTdiNQ.pdf,http://regnskaber.virk.dk/68616891/ZG9rdW1lbnRsYWdlcjovLzAzLzdhL2I3LzUwLzNlLzE0YWItNDc1YS1hYjUxLWRiYzg5NDc1ZTBkMg.xml,true,Danmark,DK,BirkerÃ¸d,3460.0,8.0,Hovedgaden,Gentofte,2820.0,15.0,ToftekÃ¦rsvej,3460 BirkerÃ¸d,Hovedgaden 8,Til den daglige ledelse i Nordic Knit ApS,Revisors erklÃ¦ring om opstilling af Ã¥rsrapport,Regnskabsklasse B,2016-05-11,2016-05-11,Registreret revisor HD/CAND. MERC. AUD.,,19861686.0,1000916331.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Erik Hultquist,Peter Magni Englesson,Peter Magni Englesson,NORDIC KNIT ApS,Erik Hultquist,,,,Gentofte,2014-01-01,2014-12-31,,,,2015-12-31,2015-01-01,false,false,2016-05-11,BirkerÃ¸d,,false,false,DirektÃ¸r,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:22365964,indberetninger-20180424,2.5955422,19861686.0,,2018-03-28T20:09:02.299Z,2016-05-16T10:22:42.191Z,regnskab,0.0,,2015-12-31,2015-01-01,X16-AV-57-JB,2016-05-16T10:22:42.331Z,1147958.0,63.0,125000.0,1147958.0,49585.0,883723.0,0.0,16023.0,1147958.0,264235.0,16023.0,0.0,1082287.0,0.0,758723.0,264235.0,264235.0,1131872.0,,,
19861686,2015-01-01,2015-12-31,c0,http://regnskaber.virk.dk/68616891/ZG9rdW1lbnRsYWdlcjovLzAzLzA4L2JjLzBmL2QxLzMyOGEtNGQ3MS1iNzczLTcwYWVhZWQ0ODg0YQ.xhtml,http://regnskaber.virk.dk/68616891/ZG9rdW1lbnRsYWdlcjovLzAzLzUyL2FiLzZmLzhhLzMwZmEtNDU2Yi1hZWMwLThmMDg2NDdlOTdiNQ.pdf,http://regnskaber.virk.dk/68616891/ZG9rdW1lbnRsYWdlcjovLzAzLzdhL2I3LzUwLzNlLzE0YWItNDc1YS1hYjUxLWRiYzg5NDc1ZTBkMg.xml,true,Danmark,DK,BirkerÃ¸d,3460.0,8.0,Hovedgaden,Gentofte,2820.0,15.0,ToftekÃ¦rsvej,3460 BirkerÃ¸d,Hovedgaden 8,Til den daglige ledelse i Nordic Knit ApS,Revisors erklÃ¦ring om opstilling af Ã¥rsrapport,Regnskabsklasse B,2016-05-11,2016-05-11,Registreret revisor HD/CAND. MERC. AUD.,-80418.0,19861686.0,1000916331.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Erik Hultquist,Peter Magni Englesson,Peter Magni Englesson,NORDIC KNIT ApS,Erik Hultquist,6.0,34000.0,0.0,Gentofte,2014-01-01,2014-12-31,-39376.0,-46424.0,-80418.0,2015-12-31,2015-01-01,false,false,2016-05-11,BirkerÃ¸d,-7048.0,false,false,DirektÃ¸r,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:22365964,indberetninger-20180424,2.5955422,19861686.0,,2018-03-28T20:09:02.299Z,2016-05-16T10:22:42.191Z,regnskab,0.0,,2015-12-31,2015-01-01,X16-AV-57-JB,2016-05-16T10:22:42.331Z,,,,,,,,,,,,,,,,,,,,,
19861686,2015-01-01,2015-12-31,c1,http://regnskaber.virk.dk/68616891/ZG9rdW1lbnRsYWdlcjovLzAzLzA4L2JjLzBmL2QxLzMyOGEtNGQ3MS1iNzczLTcwYWVhZWQ0ODg0YQ.xhtml,http://regnskaber.virk.dk/68616891/ZG9rdW1lbnRsYWdlcjovLzAzLzUyL2FiLzZmLzhhLzMwZmEtNDU2Yi1hZWMwLThmMDg2NDdlOTdiNQ.pdf,http://regnskaber.virk.dk/68616891/ZG9rdW1lbnRsYWdlcjovLzAzLzdhL2I3LzUwLzNlLzE0YWItNDc1YS1hYjUxLWRiYzg5NDc1ZTBkMg.xml,true,Danmark,DK,BirkerÃ¸d,3460.0,8.0,Hovedgaden,Gentofte,2820.0,15.0,ToftekÃ¦rsvej,3460 BirkerÃ¸d,Hovedgaden 8,Til den daglige ledelse i Nordic Knit ApS,Revisors erklÃ¦ring om opstilling af Ã¥rsrapport,Regnskabsklasse B,2016-05-11,2016-05-11,Registreret revisor HD/CAND. MERC. AUD.,,19861686.0,1000916331.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Erik Hultquist,Peter Magni Englesson,Peter Magni Englesson,NORDIC KNIT ApS,Erik Hultquist,,,,Gentofte,2014-01-01,2014-12-31,,,,2015-12-31,2015-01-01,false,false,2016-05-11,BirkerÃ¸d,,false,false,DirektÃ¸r,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:22365964,indberetninger-20180424,2.5955422,19861686.0,,2018-03-28T20:09:02.299Z,2016-05-16T10:22:42.191Z,regnskab,0.0,,2015-12-31,2015-01-01,X16-AV-57-JB,2016-05-16T10:22:42.331Z,,,,,,,,,,,,,,,,,,,15396105.0,Revisionsfirmaet Erik Hultquist,
19861686,2015-01-01,2015-12-31,c2,http://regnskaber.virk.dk/68616891/ZG9rdW1lbnRsYWdlcjovLzAzLzA4L2JjLzBmL2QxLzMyOGEtNGQ3MS1iNzczLTcwYWVhZWQ0ODg0YQ.xhtml,http://regnskaber.virk.dk/68616891/ZG9rdW1lbnRsYWdlcjovLzAzLzUyL2FiLzZmLzhhLzMwZmEtNDU2Yi1hZWMwLThmMDg2NDdlOTdiNQ.pdf,http://regnskaber.virk.dk/68616891/ZG9rdW1lbnRsYWdlcjovLzAzLzdhL2I3LzUwLzNlLzE0YWItNDc1YS1hYjUxLWRiYzg5NDc1ZTBkMg.xml,true,Danmark,DK,BirkerÃ¸d,3460.0,8.0,Hovedgaden,Gentofte,2820.0,15.0,ToftekÃ¦rsvej,3460 BirkerÃ¸d,Hovedgaden 8,Til den daglige ledelse i Nordic Knit ApS,Revisors erklÃ¦ring om opstilling af Ã¥rsrapport,Regnskabsklasse B,2016-05-11,2016-05-11,Registreret revisor HD/CAND. MERC. AUD.,,19861686.0,1000916331.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Erik Hultquist,Peter Magni Englesson,Peter Magni Englesson,NORDIC KNIT ApS,Erik Hultquist,,,,Gentofte,2014-01-01,2014-12-31,,,,2015-12-31,2015-01-01,false,false,2016-05-11,BirkerÃ¸d,,false,false,DirektÃ¸r,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:22365964,indberetninger-20180424,2.5955422,19861686.0,,2018-03-28T20:09:02.299Z,2016-05-16T10:22:42.191Z,regnskab,0.0,,2015-12-31,2015-01-01,X16-AV-57-JB,2016-05-16T10:22:42.331Z,,,,,,,,,,,,,,,,,,,,,
19861686,2015-01-01,2015-12-31,c3,http://regnskaber.virk.dk/68616891/ZG9rdW1lbnRsYWdlcjovLzAzLzA4L2JjLzBmL2QxLzMyOGEtNGQ3MS1iNzczLTcwYWVhZWQ0ODg0YQ.xhtml,http://regnskaber.virk.dk/68616891/ZG9rdW1lbnRsYWdlcjovLzAzLzUyL2FiLzZmLzhhLzMwZmEtNDU2Yi1hZWMwLThmMDg2NDdlOTdiNQ.pdf,http://regnskaber.virk.dk/68616891/ZG9rdW1lbnRsYWdlcjovLzAzLzdhL2I3LzUwLzNlLzE0YWItNDc1YS1hYjUxLWRiYzg5NDc1ZTBkMg.xml,true,Danmark,DK,BirkerÃ¸d,3460.0,8.0,Hovedgaden,Gentofte,2820.0,15.0,ToftekÃ¦rsvej,3460 BirkerÃ¸d,Hovedgaden 8,Til den daglige ledelse i Nordic Knit ApS,Revisors erklÃ¦ring om opstilling af Ã¥rsrapport,Regnskabsklasse B,2016-05-11,2016-05-11,Registreret revisor HD/CAND. MERC. AUD.,,19861686.0,1000916331.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Erik Hultquist,Peter Magni Englesson,Peter Magni Englesson,NORDIC KNIT ApS,Erik Hultquist,,,,Gentofte,2014-01-01,2014-12-31,,,,2015-12-31,2015-01-01,false,false,2016-05-11,BirkerÃ¸d,,false,false,DirektÃ¸r,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:22365964,indberetninger-20180424,2.5955422,19861686.0,,2018-03-28T20:09:02.299Z,2016-05-16T10:22:42.191Z,regnskab,0.0,,2015-12-31,2015-01-01,X16-AV-57-JB,2016-05-16T10:22:42.331Z,,,,,,,,,,,,,,,,,,,,,Maya WickstrÃ¸m
19861686,2015-01-01,2015-12-31,c4,http://regnskaber.virk.dk/68616891/ZG9rdW1lbnRsYWdlcjovLzAzLzA4L2JjLzBmL2QxLzMyOGEtNGQ3MS1iNzczLTcwYWVhZWQ0ODg0YQ.xhtml,http://regnskaber.virk.dk/68616891/ZG9rdW1lbnRsYWdlcjovLzAzLzUyL2FiLzZmLzhhLzMwZmEtNDU2Yi1hZWMwLThmMDg2NDdlOTdiNQ.pdf,http://regnskaber.virk.dk/68616891/ZG9rdW1lbnRsYWdlcjovLzAzLzdhL2I3LzUwLzNlLzE0YWItNDc1YS1hYjUxLWRiYzg5NDc1ZTBkMg.xml,true,Danmark,DK,BirkerÃ¸d,3460.0,8.0,Hovedgaden,Gentofte,2820.0,15.0,ToftekÃ¦rsvej,3460 BirkerÃ¸d,Hovedgaden 8,Til den daglige ledelse i Nordic Knit ApS,Revisors erklÃ¦ring om opstilling af Ã¥rsrapport,Regnskabsklasse B,2016-05-11,2016-05-11,Registreret revisor HD/CAND. MERC. AUD.,,19861686.0,1000916331.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Erik Hultquist,Peter Magni Englesson,Peter Magni Englesson,NORDIC KNIT ApS,Erik Hultquist,,,,Gentofte,2014-01-01,2014-12-31,,,,2015-12-31,2015-01-01,false,false,2016-05-11,BirkerÃ¸d,,false,false,DirektÃ¸r,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:22365964,indberetninger-20180424,2.5955422,19861686.0,,2018-03-28T20:09:02.299Z,2016-05-16T10:22:42.191Z,regnskab,0.0,,2015-12-31,2015-01-01,X16-AV-57-JB,2016-05-16T10:22:42.331Z,,,,,,,,,,,,,,,,,,,,,Peter Magni Englesson
19861686,2015-01-01,2015-12-31,c6,http://regnskaber.virk.dk/68616891/ZG9rdW1lbnRsYWdlcjovLzAzLzA4L2JjLzBmL2QxLzMyOGEtNGQ3MS1iNzczLTcwYWVhZWQ0ODg0YQ.xhtml,http://regnskaber.virk.dk/68616891/ZG9rdW1lbnRsYWdlcjovLzAzLzUyL2FiLzZmLzhhLzMwZmEtNDU2Yi1hZWMwLThmMDg2NDdlOTdiNQ.pdf,http://regnskaber.virk.dk/68616891/ZG9rdW1lbnRsYWdlcjovLzAzLzdhL2I3LzUwLzNlLzE0YWItNDc1YS1hYjUxLWRiYzg5NDc1ZTBkMg.xml,true,Danmark,DK,BirkerÃ¸d,3460.0,8.0,Hovedgaden,Gentofte,2820.0,15.0,ToftekÃ¦rsvej,3460 BirkerÃ¸d,Hovedgaden 8,Til den daglige ledelse i Nordic Knit ApS,Revisors erklÃ¦ring om opstilling af Ã¥rsrapport,Regnskabsklasse B,2016-05-11,2016-05-11,Registreret revisor HD/CAND. MERC. AUD.,,19861686.0,1000916331.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Erik Hultquist,Peter Magni Englesson,Peter Magni Englesson,NORDIC KNIT ApS,Erik Hultquist,,,,Gentofte,2014-01-01,2014-12-31,-39376.0,,,2015-12-31,2015-01-01,false,false,2016-05-11,BirkerÃ¸d,,false,false,DirektÃ¸r,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:22365964,indberetninger-20180424,2.5955422,19861686.0,,2018-03-28T20:09:02.299Z,2016-05-16T10:22:42.191Z,regnskab,0.0,,2015-12-31,2015-01-01,X16-AV-57-JB,2016-05-16T10:22:42.331Z,,,,,,,,,,,,,,,,,,,,,
19861686,2015-12-31,2015-12-31,c8,http://regnskaber.virk.dk/68616891/ZG9rdW1lbnRsYWdlcjovLzAzLzA4L2JjLzBmL2QxLzMyOGEtNGQ3MS1iNzczLTcwYWVhZWQ0ODg0YQ.xhtml,http://regnskaber.virk.dk/68616891/ZG9rdW1lbnRsYWdlcjovLzAzLzUyL2FiLzZmLzhhLzMwZmEtNDU2Yi1hZWMwLThmMDg2NDdlOTdiNQ.pdf,http://regnskaber.virk.dk/68616891/ZG9rdW1lbnRsYWdlcjovLzAzLzdhL2I3LzUwLzNlLzE0YWItNDc1YS1hYjUxLWRiYzg5NDc1ZTBkMg.xml,true,Danmark,DK,BirkerÃ¸d,3460.0,8.0,Hovedgaden,Gentofte,2820.0,15.0,ToftekÃ¦rsvej,3460 BirkerÃ¸d,Hovedgaden 8,Til den daglige ledelse i Nordic Knit ApS,Revisors erklÃ¦ring om opstilling af Ã¥rsrapport,Regnskabsklasse B,2016-05-11,2016-05-11,Registreret revisor HD/CAND. MERC. AUD.,,19861686.0,1000916331.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Erik Hultquist,Peter Magni Englesson,Peter Magni Englesson,NORDIC KNIT ApS,Erik Hultquist,,,,Gentofte,2014-01-01,2014-12-31,,,,2015-12-31,2015-01-01,false,false,2016-05-11,BirkerÃ¸d,,false,false,DirektÃ¸r,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:22365964,indberetninger-20180424,2.5955422,19861686.0,,2018-03-28T20:09:02.299Z,2016-05-16T10:22:42.191Z,regnskab,0.0,,2015-12-31,2015-01-01,X16-AV-57-JB,2016-05-16T10:22:42.331Z,1121320.0,35210.0,125000.0,762183.0,56633.0,844347.0,359137.0,27000.0,1121320.0,276973.0,27000.0,359137.0,643340.0,359137.0,719347.0,276973.0,276973.0,699973.0,,,
