entity,start_date,end_date,context,AARSRAPPORT_html,AARSRAPPORT_pdf,AARSRAPPORT_xml,AccumulatedRevaluationsOfInvestments,AddressOfReportingEntityDistrictName,AddressOfReportingEntityPostCodeIdentifier,AddressOfReportingEntityStreetBuildingIdentifier,AddressOfReportingEntityStreetName,AddressOfSubmittingEnterprisePostcodeAndTown,AddressOfSubmittingEnterpriseStreetAndNumber,AddresseeOfAuditorsReportOnAuditedFinancialStatements,ClassOfReportingEntity,DateOfApprovalOfAnnualReport,DateOfApprovalOfReport,DateOfFoundationOfReportingEntity,DateOfGeneralMeeting,FaxNumberOfReportingEntity,IdentificationNumberCvrOfReportingEntity,IdentificationNumberCvrOfSubmittingEnterprise,InformationOnTypeOfSubmittedReport,InvestmentsGross,NameAndSurnameOfChairmanOfGeneralMeeting,NameAndSurnameOfMemberOfExecutiveBoard,NameOfFinancialInstitution,NameOfReportingEntity,NameOfSubmittingEnterprise,PlaceOfSignatureOfStatement,PrecedingReportingPeriodStartDate,PredingReportingPeriodEndDate,RegisteredOfficeOfReportingEntity,RelatedEntityLegalForm,RelatedEntityName,RelatedEntityRegisteredOffice,ReportingPeriodEndDate,ReportingPeriodStartDate,ShareHeldByEntityOrConsolidatedEnterprisesInRelatedEntity,SignatureOfAuditorsDate,SignatureOfAuditorsPlace,TelephoneNumberOfReportingEntity,TypeOfAuditorAssistance,_id,_index,_score,cvrNummer,indlaesningsId,indlaesningsTidspunkt,offentliggoerelsesTidspunkt,offentliggoerelsestype,omgoerelse,regNummer,regnskabsperiode_slutDato,regnskabsperiode_startDato,sagsNummer,sidstOpdateret,Equity,ProfitLoss,ProfitLossRelatedToInvestments,GrossProfitLoss,IncomeFromInvestmentsInGroupEnterprises,OtherFinanceIncome,ProfitLossFromOrdinaryActivitiesBeforeTax,ProfitLossFromOrdinaryOperatingActivities,TaxExpenseOnOrdinaryActivities,LongtermInvestmentsAndReceivables,Assets,CashAndCashEquivalents,ContributedCapital,CurrentAssets,CurrentDeferredTaxAssets,LiabilitiesAndEquity,LiabilitiesOtherThanProvisions,LongtermInvestmentsInGroupEnterprises,LongtermLiabilitiesOtherThanProvisions,LongtermPayablesToGroupEnterprises,NoncurrentAssets,OtherShorttermPayables,RetainedEarnings,ShorttermLiabilitiesOtherThanProvisions,ShorttermPayablesToGroupEnterprises,ShorttermReceivables,ShorttermTaxReceivables,AddressOfAuditorCountry,EmailOfAuditor,AddressOfAuditorDistrictName,AddressOfAuditorPostCodeIdentifier,AddressOfAuditorStreetBuildingIdentifier,AddressOfAuditorStreetName,DescriptionOfAuditor,IdentificationNumberCvrOfAuditFirm,NameAndSurnameOfAuditor,NameOfAuditFirm,TelephoneNumberOfAuditor
29830959,2015-01-01,2015-01-01,c176,,http://regnskaber.virk.dk/95903892/ZG9rdW1lbnRsYWdlcjovLzAzLzhiLzE1Lzk1L2RiL2QxYmMtNDQzMS04OWRmLWQyOWEyMzEzODQxZQ.pdf,http://regnskaber.virk.dk/95903892/ZG9rdW1lbnRsYWdlcjovLzAzLzkwL2MyL2FkL2E4LzhjM2EtNDM5Ni1hNDViLTU1NDljYjkxMTY3Zg.xml,-287834.0,SakskÃ¸bing,4990.0,1.0,Fjordstien,"2100, KÃ¸benhavn Ã","Stockholmsgade, 45",kapitalejeren,Regnskabsklasse B,2017-06-16,2017-06-16,2006-12-21,2017-06-16,(+45) 54 70 02 05,29830959.0,34209936.0,Ãrsrapport,3259375.0,Frank Becker,Peter Gelhard,Nordea Bank Danmark A/S,P. G. Holding ApS,"Grant Thornton, Statsautoriseret Revisionspartnerselskab",SakskÃ¸bing,2015-01-01,2015-12-31,Guldborgsund,ApS,International Tarm Import ApS,Guldborgsund,2016-12-31,2016-01-01,70.0,2017-06-16,KÃ¸benhavn,(+45) 54 70 02 04,RevisionspÃ¥tegning,urn:ofk:oid:24265461,indberetninger-20180424,2.5118406,29830959.0,,2018-03-29T16:19:55.850Z,2017-06-21T09:14:27.690Z,regnskab,0.0,,2016-12-31,2016-01-01,X17-AN-67-AA,2017-06-21T09:14:27.939Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29830959,2015-01-01,2015-01-01,c720,,http://regnskaber.virk.dk/95903892/ZG9rdW1lbnRsYWdlcjovLzAzLzhiLzE1Lzk1L2RiL2QxYmMtNDQzMS04OWRmLWQyOWEyMzEzODQxZQ.pdf,http://regnskaber.virk.dk/95903892/ZG9rdW1lbnRsYWdlcjovLzAzLzkwL2MyL2FkL2E4LzhjM2EtNDM5Ni1hNDViLTU1NDljYjkxMTY3Zg.xml,,SakskÃ¸bing,4990.0,1.0,Fjordstien,"2100, KÃ¸benhavn Ã","Stockholmsgade, 45",kapitalejeren,Regnskabsklasse B,2017-06-16,2017-06-16,2006-12-21,2017-06-16,(+45) 54 70 02 05,29830959.0,34209936.0,Ãrsrapport,,Frank Becker,Peter Gelhard,Nordea Bank Danmark A/S,P. G. Holding ApS,"Grant Thornton, Statsautoriseret Revisionspartnerselskab",SakskÃ¸bing,2015-01-01,2015-12-31,Guldborgsund,ApS,International Tarm Import ApS,Guldborgsund,2016-12-31,2016-01-01,70.0,2017-06-16,KÃ¸benhavn,(+45) 54 70 02 04,RevisionspÃ¥tegning,urn:ofk:oid:24265461,indberetninger-20180424,2.5118406,29830959.0,,2018-03-29T16:19:55.850Z,2017-06-21T09:14:27.690Z,regnskab,0.0,,2016-12-31,2016-01-01,X17-AN-67-AA,2017-06-21T09:14:27.939Z,126650.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29830959,2015-01-01,2015-01-01,c741,,http://regnskaber.virk.dk/95903892/ZG9rdW1lbnRsYWdlcjovLzAzLzhiLzE1Lzk1L2RiL2QxYmMtNDQzMS04OWRmLWQyOWEyMzEzODQxZQ.pdf,http://regnskaber.virk.dk/95903892/ZG9rdW1lbnRsYWdlcjovLzAzLzkwL2MyL2FkL2E4LzhjM2EtNDM5Ni1hNDViLTU1NDljYjkxMTY3Zg.xml,,SakskÃ¸bing,4990.0,1.0,Fjordstien,"2100, KÃ¸benhavn Ã","Stockholmsgade, 45",kapitalejeren,Regnskabsklasse B,2017-06-16,2017-06-16,2006-12-21,2017-06-16,(+45) 54 70 02 05,29830959.0,34209936.0,Ãrsrapport,,Frank Becker,Peter Gelhard,Nordea Bank Danmark A/S,P. G. Holding ApS,"Grant Thornton, Statsautoriseret Revisionspartnerselskab",SakskÃ¸bing,2015-01-01,2015-12-31,Guldborgsund,ApS,International Tarm Import ApS,Guldborgsund,2016-12-31,2016-01-01,70.0,2017-06-16,KÃ¸benhavn,(+45) 54 70 02 04,RevisionspÃ¥tegning,urn:ofk:oid:24265461,indberetninger-20180424,2.5118406,29830959.0,,2018-03-29T16:19:55.850Z,2017-06-21T09:14:27.690Z,regnskab,0.0,,2016-12-31,2016-01-01,X17-AN-67-AA,2017-06-21T09:14:27.939Z,-429244.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29830959,2015-01-01,2015-12-31,c123,,http://regnskaber.virk.dk/95903892/ZG9rdW1lbnRsYWdlcjovLzAzLzhiLzE1Lzk1L2RiL2QxYmMtNDQzMS04OWRmLWQyOWEyMzEzODQxZQ.pdf,http://regnskaber.virk.dk/95903892/ZG9rdW1lbnRsYWdlcjovLzAzLzkwL2MyL2FkL2E4LzhjM2EtNDM5Ni1hNDViLTU1NDljYjkxMTY3Zg.xml,,SakskÃ¸bing,4990.0,1.0,Fjordstien,"2100, KÃ¸benhavn Ã","Stockholmsgade, 45",kapitalejeren,Regnskabsklasse B,2017-06-16,2017-06-16,2006-12-21,2017-06-16,(+45) 54 70 02 05,29830959.0,34209936.0,Ãrsrapport,,Frank Becker,Peter Gelhard,Nordea Bank Danmark A/S,P. G. Holding ApS,"Grant Thornton, Statsautoriseret Revisionspartnerselskab",SakskÃ¸bing,2015-01-01,2015-12-31,Guldborgsund,ApS,International Tarm Import ApS,Guldborgsund,2016-12-31,2016-01-01,70.0,2017-06-16,KÃ¸benhavn,(+45) 54 70 02 04,RevisionspÃ¥tegning,urn:ofk:oid:24265461,indberetninger-20180424,2.5118406,29830959.0,,2018-03-29T16:19:55.850Z,2017-06-21T09:14:27.690Z,regnskab,0.0,,2016-12-31,2016-01-01,X17-AN-67-AA,2017-06-21T09:14:27.939Z,,-19335.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29830959,2015-01-01,2015-12-31,c178,,http://regnskaber.virk.dk/95903892/ZG9rdW1lbnRsYWdlcjovLzAzLzhiLzE1Lzk1L2RiL2QxYmMtNDQzMS04OWRmLWQyOWEyMzEzODQxZQ.pdf,http://regnskaber.virk.dk/95903892/ZG9rdW1lbnRsYWdlcjovLzAzLzkwL2MyL2FkL2E4LzhjM2EtNDM5Ni1hNDViLTU1NDljYjkxMTY3Zg.xml,,SakskÃ¸bing,4990.0,1.0,Fjordstien,"2100, KÃ¸benhavn Ã","Stockholmsgade, 45",kapitalejeren,Regnskabsklasse B,2017-06-16,2017-06-16,2006-12-21,2017-06-16,(+45) 54 70 02 05,29830959.0,34209936.0,Ãrsrapport,,Frank Becker,Peter Gelhard,Nordea Bank Danmark A/S,P. G. Holding ApS,"Grant Thornton, Statsautoriseret Revisionspartnerselskab",SakskÃ¸bing,2015-01-01,2015-12-31,Guldborgsund,ApS,International Tarm Import ApS,Guldborgsund,2016-12-31,2016-01-01,70.0,2017-06-16,KÃ¸benhavn,(+45) 54 70 02 04,RevisionspÃ¥tegning,urn:ofk:oid:24265461,indberetninger-20180424,2.5118406,29830959.0,,2018-03-29T16:19:55.850Z,2017-06-21T09:14:27.690Z,regnskab,0.0,,2016-12-31,2016-01-01,X17-AN-67-AA,2017-06-21T09:14:27.939Z,,,912.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29830959,2015-01-01,2015-12-31,c3,,http://regnskaber.virk.dk/95903892/ZG9rdW1lbnRsYWdlcjovLzAzLzhiLzE1Lzk1L2RiL2QxYmMtNDQzMS04OWRmLWQyOWEyMzEzODQxZQ.pdf,http://regnskaber.virk.dk/95903892/ZG9rdW1lbnRsYWdlcjovLzAzLzkwL2MyL2FkL2E4LzhjM2EtNDM5Ni1hNDViLTU1NDljYjkxMTY3Zg.xml,,SakskÃ¸bing,4990.0,1.0,Fjordstien,"2100, KÃ¸benhavn Ã","Stockholmsgade, 45",kapitalejeren,Regnskabsklasse B,2017-06-16,2017-06-16,2006-12-21,2017-06-16,(+45) 54 70 02 05,29830959.0,34209936.0,Ãrsrapport,,Frank Becker,Peter Gelhard,Nordea Bank Danmark A/S,P. G. Holding ApS,"Grant Thornton, Statsautoriseret Revisionspartnerselskab",SakskÃ¸bing,2015-01-01,2015-12-31,Guldborgsund,ApS,International Tarm Import ApS,Guldborgsund,2016-12-31,2016-01-01,70.0,2017-06-16,KÃ¸benhavn,(+45) 54 70 02 04,RevisionspÃ¥tegning,urn:ofk:oid:24265461,indberetninger-20180424,2.5118406,29830959.0,,2018-03-29T16:19:55.850Z,2017-06-21T09:14:27.690Z,regnskab,0.0,,2016-12-31,2016-01-01,X17-AN-67-AA,2017-06-21T09:14:27.939Z,,-19335.0,,-26100.0,912.0,111.0,-25077.0,-26100.0,-5742.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29830959,2015-01-01,2015-12-31,c742,,http://regnskaber.virk.dk/95903892/ZG9rdW1lbnRsYWdlcjovLzAzLzhiLzE1Lzk1L2RiL2QxYmMtNDQzMS04OWRmLWQyOWEyMzEzODQxZQ.pdf,http://regnskaber.virk.dk/95903892/ZG9rdW1lbnRsYWdlcjovLzAzLzkwL2MyL2FkL2E4LzhjM2EtNDM5Ni1hNDViLTU1NDljYjkxMTY3Zg.xml,,SakskÃ¸bing,4990.0,1.0,Fjordstien,"2100, KÃ¸benhavn Ã","Stockholmsgade, 45",kapitalejeren,Regnskabsklasse B,2017-06-16,2017-06-16,2006-12-21,2017-06-16,(+45) 54 70 02 05,29830959.0,34209936.0,Ãrsrapport,,Frank Becker,Peter Gelhard,Nordea Bank Danmark A/S,P. G. Holding ApS,"Grant Thornton, Statsautoriseret Revisionspartnerselskab",SakskÃ¸bing,2015-01-01,2015-12-31,Guldborgsund,ApS,International Tarm Import ApS,Guldborgsund,2016-12-31,2016-01-01,70.0,2017-06-16,KÃ¸benhavn,(+45) 54 70 02 04,RevisionspÃ¥tegning,urn:ofk:oid:24265461,indberetninger-20180424,2.5118406,29830959.0,,2018-03-29T16:19:55.850Z,2017-06-21T09:14:27.690Z,regnskab,0.0,,2016-12-31,2016-01-01,X17-AN-67-AA,2017-06-21T09:14:27.939Z,,-19335.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29830959,2015-12-31,2015-12-31,c180,,http://regnskaber.virk.dk/95903892/ZG9rdW1lbnRsYWdlcjovLzAzLzhiLzE1Lzk1L2RiL2QxYmMtNDQzMS04OWRmLWQyOWEyMzEzODQxZQ.pdf,http://regnskaber.virk.dk/95903892/ZG9rdW1lbnRsYWdlcjovLzAzLzkwL2MyL2FkL2E4LzhjM2EtNDM5Ni1hNDViLTU1NDljYjkxMTY3Zg.xml,-286922.0,SakskÃ¸bing,4990.0,1.0,Fjordstien,"2100, KÃ¸benhavn Ã","Stockholmsgade, 45",kapitalejeren,Regnskabsklasse B,2017-06-16,2017-06-16,2006-12-21,2017-06-16,(+45) 54 70 02 05,29830959.0,34209936.0,Ãrsrapport,3259375.0,Frank Becker,Peter Gelhard,Nordea Bank Danmark A/S,P. G. Holding ApS,"Grant Thornton, Statsautoriseret Revisionspartnerselskab",SakskÃ¸bing,2015-01-01,2015-12-31,Guldborgsund,ApS,International Tarm Import ApS,Guldborgsund,2016-12-31,2016-01-01,70.0,2017-06-16,KÃ¸benhavn,(+45) 54 70 02 04,RevisionspÃ¥tegning,urn:ofk:oid:24265461,indberetninger-20180424,2.5118406,29830959.0,,2018-03-29T16:19:55.850Z,2017-06-21T09:14:27.690Z,regnskab,0.0,,2016-12-31,2016-01-01,X17-AN-67-AA,2017-06-21T09:14:27.939Z,,,,,,,,,,2972453.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29830959,2015-12-31,2015-12-31,c4,,http://regnskaber.virk.dk/95903892/ZG9rdW1lbnRsYWdlcjovLzAzLzhiLzE1Lzk1L2RiL2QxYmMtNDQzMS04OWRmLWQyOWEyMzEzODQxZQ.pdf,http://regnskaber.virk.dk/95903892/ZG9rdW1lbnRsYWdlcjovLzAzLzkwL2MyL2FkL2E4LzhjM2EtNDM5Ni1hNDViLTU1NDljYjkxMTY3Zg.xml,,SakskÃ¸bing,4990.0,1.0,Fjordstien,"2100, KÃ¸benhavn Ã","Stockholmsgade, 45",kapitalejeren,Regnskabsklasse B,2017-06-16,2017-06-16,2006-12-21,2017-06-16,(+45) 54 70 02 05,29830959.0,34209936.0,Ãrsrapport,,Frank Becker,Peter Gelhard,Nordea Bank Danmark A/S,P. G. Holding ApS,"Grant Thornton, Statsautoriseret Revisionspartnerselskab",SakskÃ¸bing,2015-01-01,2015-12-31,Guldborgsund,ApS,International Tarm Import ApS,Guldborgsund,2016-12-31,2016-01-01,70.0,2017-06-16,KÃ¸benhavn,(+45) 54 70 02 04,RevisionspÃ¥tegning,urn:ofk:oid:24265461,indberetninger-20180424,2.5118406,29830959.0,,2018-03-29T16:19:55.850Z,2017-06-21T09:14:27.690Z,regnskab,0.0,,2016-12-31,2016-01-01,X17-AN-67-AA,2017-06-21T09:14:27.939Z,-321929.0,,,,,,,,,2972453.0,3240771.0,247122.0,126650.0,268318.0,17196.0,3240771.0,3562700.0,2972453.0,3312505.0,3312505.0,2972453.0,25000.0,-448579.0,250195.0,225195.0,21196.0,4000.0,,,,,,,,,,,
29830959,2015-12-31,2015-12-31,c722,,http://regnskaber.virk.dk/95903892/ZG9rdW1lbnRsYWdlcjovLzAzLzhiLzE1Lzk1L2RiL2QxYmMtNDQzMS04OWRmLWQyOWEyMzEzODQxZQ.pdf,http://regnskaber.virk.dk/95903892/ZG9rdW1lbnRsYWdlcjovLzAzLzkwL2MyL2FkL2E4LzhjM2EtNDM5Ni1hNDViLTU1NDljYjkxMTY3Zg.xml,,SakskÃ¸bing,4990.0,1.0,Fjordstien,"2100, KÃ¸benhavn Ã","Stockholmsgade, 45",kapitalejeren,Regnskabsklasse B,2017-06-16,2017-06-16,2006-12-21,2017-06-16,(+45) 54 70 02 05,29830959.0,34209936.0,Ãrsrapport,,Frank Becker,Peter Gelhard,Nordea Bank Danmark A/S,P. G. Holding ApS,"Grant Thornton, Statsautoriseret Revisionspartnerselskab",SakskÃ¸bing,2015-01-01,2015-12-31,Guldborgsund,ApS,International Tarm Import ApS,Guldborgsund,2016-12-31,2016-01-01,70.0,2017-06-16,KÃ¸benhavn,(+45) 54 70 02 04,RevisionspÃ¥tegning,urn:ofk:oid:24265461,indberetninger-20180424,2.5118406,29830959.0,,2018-03-29T16:19:55.850Z,2017-06-21T09:14:27.690Z,regnskab,0.0,,2016-12-31,2016-01-01,X17-AN-67-AA,2017-06-21T09:14:27.939Z,126650.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
